displayUserNick,auctionSku,rateDate,rateContent
笑***光,颜色分类:63 天蓝色;尺寸:150/56A,2021-02-26 22:47:55,非常喜欢
花***妮,颜色分类:63 天蓝色;尺寸:150/58A,2021-02-24 11:12:15,很不错。159，100斤，腰围稍微大了点
川***客,颜色分类:63 天蓝色;尺寸:155/62A,2021-02-23 23:42:53,物超所值，商品设计完美，外观也很高大上，让人爱不释手。客服更是热情的没话说，这次购物很满意特别特别满意，超级好看，客服很有礼貌，很客气，良心商家，支持！实用性和颜值都非常的赞，我很喜欢，还会再来买的产品包装精致美观大气，目前用着非常不错，真实评价，希望可以帮到集美们
c***6,颜色分类:63 天蓝色;尺寸:160/68A,2021-02-23 20:54:47,不错
d***桑,颜色分类:63 天蓝色;尺寸:155/62A,2021-02-23 20:31:49,真&middot;神裤
a***3,颜色分类:63 天蓝色;尺寸:155/62A,2021-02-23 17:21:21,自提服务比直接在门店买单慢多了，巨麻烦，服了
c***1,颜色分类:63 天蓝色;尺寸:155/62A,2021-02-23 16:55:17,非常好
h***9,颜色分类:63 天蓝色;尺寸:155/62A,2021-02-23 09:57:42,跟姐姐买的，挺好的
小***袋,颜色分类:63 天蓝色;尺寸:160/70A,2021-02-22 21:35:08,比另一个款紧一点点，还是深色更显瘦
忘***9,颜色分类:63 天蓝色;尺寸:160/66A,2021-02-22 21:27:07,就是显得屁股有点大
s***1,颜色分类:63 天蓝色;尺寸:150/58A,2021-02-22 16:17:49,好评
a***8,颜色分类:63 天蓝色;尺寸:160/68A,2021-02-22 00:07:35,好评
c***i,颜色分类:63 天蓝色;尺寸:150/58A,2021-02-21 19:41:49,优秀的裤子，身高165，腰围69，臀围86，大腿50，小腿33，这个尺码正好，主要看腰围，不要贪大
简***0,颜色分类:63 天蓝色;尺寸:155/62A,2021-02-21 18:28:26,好喜欢这条裤子，这几天温度高，一条破洞裤妥妥的，155，110斤，很合适，真是对我们这种梨形太友好
2***c,颜色分类:63 天蓝色;尺寸:155/62A,2021-02-21 16:35:32,裤子很棒啊 穿上显得腿型很好 很青春 161 90斤穿这个肥了 换了个码 舒适性很好 里面还套着线裤也妥妥的 图片都是苹果原图 没修过 给仙女们参考 春天穿正好 冬天套也能穿 里面的衬衣299也是优衣库的
d***8,颜色分类:63 天蓝色;尺寸:155/62A,2021-02-21 15:51:28,非常不错的老爹裤，164，52KG很合适！
在***2,颜色分类:63 天蓝色;尺寸:155/62A,2021-02-21 13:10:36,很好！终于降价
雪***优,颜色分类:63 天蓝色;尺寸:160/66A,2021-02-21 08:47:05,质量很好，穿出来的效果超赞
w***芬,颜色分类:63 天蓝色;尺寸:150/58A,2021-02-20 21:47:51,超级好穿，巨好看！搭配小白鞋完美
j***s,颜色分类:63 天蓝色;尺寸:150/58A,2021-02-20 18:48:39,棒棒哒 满意 抢到就是赚到
c***0,颜色分类:63 天蓝色;尺寸:150/56A,2021-02-20 17:52:20,按臀围买的，包的特别好，无弹力牛仔，特别显身材，颜色特别好看！裤腿宽松，显腿直！
沛***w,颜色分类:63 天蓝色;尺寸:160/70A,2021-02-20 15:13:27,裤子偏宽松 不过颜色真的好看无疑
雪***0,颜色分类:63 天蓝色;尺寸:150/58A,2021-02-20 10:12:20,简直不要太好 可惜没有灰色的了
也***7,颜色分类:63 天蓝色;尺寸:160/64A,2021-02-20 09:18:38,167/55 这个尺码宽松，可以加绒裤。 149买的，挺合适。
t***8,颜色分类:63 天蓝色;尺寸:160/68A,2021-02-20 09:03:39,蛮好的，
l***e,颜色分类:63 天蓝色;尺寸:150/56A,2021-02-19 19:21:47,149捡漏，还是正合适的尺码，简直捡到宝了，对于我这种腰细腿粗星人巨合适！满分💯
h***7,颜色分类:63 天蓝色;尺寸:155/62A,2021-02-19 19:02:58,身高160，体重120
q***3,颜色分类:63 天蓝色;尺寸:155/62A,2021-02-19 14:02:05,158/50合适，梨形身材腰部有点松，149包邮还是可以，但没发觉&ldquo;神&rdquo;在哪
g***i,颜色分类:63 天蓝色;尺寸:160/64A,2021-02-19 08:01:54,身高168，体重54，穿160/64A，长度可以，腰肥，需要腰带的加持。
t***6,颜色分类:63 天蓝色;尺寸:150/56A,2021-02-19 02:43:30,布料稍硬，版型可以 。 160/92 ，OK
小***露,颜色分类:63 天蓝色;尺寸:155/62A,2021-02-18 18:47:13,好看，裤子偏宽松
a***n,颜色分类:63 天蓝色;尺寸:160/66A,2021-02-18 14:25:26,很不错
史***4,颜色分类:63 天蓝色;尺寸:160/64A,2021-02-18 10:54:52,很遮肉
w***3,颜色分类:63 天蓝色;尺寸:150/58A,2021-02-17 19:48:34,很不错
5***慧,颜色分类:63 天蓝色;尺寸:155/62A,2021-02-17 15:27:42,一般般。刚拿出来h很臭的牛仔味。试穿了一下刚刚好。没弹性。洗了一下希望不要变形缩水。
t***0,颜色分类:63 天蓝色;尺寸:150/58A,2021-02-17 14:42:23,正好.
l***7,颜色分类:63 天蓝色;尺寸:160/66A,2021-02-16 22:23:07,好评
l***3,颜色分类:63 天蓝色;尺寸:160/64A,2021-02-15 18:33:11,裤子收到了，但是拿到时标签是松的，感觉明显是退货
在***我,颜色分类:63 天蓝色;尺寸:150/56A,2021-02-15 18:32:07,超好 哈哈哈哈居然抢到了  刚好合适 在店里试过了
a***娟,颜色分类:63 天蓝色;尺寸:155/62A,2021-02-15 09:55:41,149还包邮，神裤真的是神裤太棒了249的时候入过两条
l***2,颜色分类:63 天蓝色;尺寸:150/56A,2021-02-14 15:10:00,质量很好 型也不错 特别赞
h***g,颜色分类:63 天蓝色;尺寸:160/66A,2021-02-14 12:21:13,满意
l***8,颜色分类:63 天蓝色;尺寸:160/66A,2021-02-14 10:50:56,大小合适，蓝色比黑色百搭点。
h***y,颜色分类:63 天蓝色;尺寸:160/68A,2021-02-14 08:51:01,哎呦 不错哦
琼***。,颜色分类:63 天蓝色;尺寸:160/70A,2021-02-13 22:47:31,码数偏大，68a和70a都能穿，显瘦什么的应该是看自己胖瘦程度的，我腿这么粗没有发现显瘦，不过优衣库的治疗没什么说的
月***画,颜色分类:63 天蓝色;尺寸:160/70A,2021-02-13 15:36:19,非常合身的裤子，不大不小。虽然是浅色的，但上身显瘦，就等天气暖和了再穿。先前买了同款灰色的，这次又买浅蓝色的，可以换着穿。
彭***7,颜色分类:63 天蓝色;尺寸:150/58A,2021-02-13 14:03:14,有点紧，不退了
9***g,颜色分类:63 天蓝色;尺寸:160/66A,2021-02-13 05:53:43,完美型，喜欢优衣库的设计，一般买不到，动不动就没货了，给大家做个参考163高，105斤。
c***q,颜色分类:63 天蓝色;尺寸:150/56A,2021-02-08 11:34:59,太好看了吧
团***6,颜色分类:63 天蓝色;尺寸:160/70A,2021-02-08 11:07:42,裤子绝了!我可太爱这条裤子了，裤子里面还塞了秋裤和保暖内衣。
p***n,颜色分类:63 天蓝色;尺寸:160/68A,2021-02-07 22:19:28,尺码合适，裤型完美，马丁靴的绝配，马上下单了同款不同色
翔***高,颜色分类:63 天蓝色;尺寸:155/62A,2021-02-07 18:19:50,好看
d***j,颜色分类:63 天蓝色;尺寸:160/66A,2021-02-04 16:37:48,线下取货，退货流程线下门店服务渣渣，让我不要任何操作等退款，物流单号都不填怎么来退款？
w***6,颜色分类:63 天蓝色;尺寸:160/70A,2021-02-02 16:28:34,实体店看到试了没有合适尺码，天猫居然有就下单了。全棉没有弹性，配白鞋穿有感觉。厚度适中，搭中长大衣挺有味。
t***5,颜色分类:63 天蓝色;尺寸:160/66A,2021-02-01 21:57:52,好看，买来等天暖和了穿.
半***3,颜色分类:63 天蓝色;尺寸:160/68A,2021-01-31 16:15:13,158穿着还是长，把毛碎边剪掉了，效果依然不错
曾***园,颜色分类:63 天蓝色;尺寸:150/56A,2021-01-31 16:02:23,155  48勉强穿下去，大腿有点紧，蹲下去更别说，懒得退，应该买58A
月***1,颜色分类:63 天蓝色;尺寸:160/70A,2021-01-31 12:17:21,穿着舒服 喜欢
s***7,颜色分类:63 天蓝色;尺寸:150/58A,2021-01-30 20:16:35,差评给苏宁优衣库.出门的时候报警器响了.店员追了出来.检查了我买的两件衣服.自提的裤子.然后说原因是自提的裤子门店什么提货系统没有登陆.提货人员工作没做好.然后顾客在众目睽睽之下被检查？
t***4,颜色分类:63 天蓝色;尺寸:155/62A,2021-01-29 12:05:33,不戳子
茉***事,颜色分类:63 天蓝色;尺寸:160/68A,2021-01-27 21:10:22,这款裤子在万达试过穿66A，料子比这个柔软，不知道66怎么小了，只能换了68A腰又嫌大了！料子真的比店里试的硬厚很多！要么批次不同！
差***1,颜色分类:63 天蓝色;尺寸:160/64A,2021-01-25 18:55:52,喜欢优衣库的牛仔裤，，
曾***2,颜色分类:63 天蓝色;尺寸:160/64A,2021-01-24 22:11:48,好穿，在实体店试过了买的。
陈***梅,颜色分类:63 天蓝色;尺寸:150/56A,2021-01-22 17:33:06,穿着很合身，也很舒适，造型也很好，非常满意喜欢
沫***诺,颜色分类:63 天蓝色;尺寸:160/68A,2021-01-22 13:03:18,真的是神裤，优衣库的裤子真的绝了，超级好看
z***6,颜色分类:63 天蓝色;尺寸:155/62A,2021-01-21 14:19:43,整体评价：重110 高162，这个码刚好，版型也喜欢
y***1,颜色分类:63 天蓝色;尺寸:160/66A,2021-01-20 23:43:01,1.64/124斤，穿这个160/66A码正好合适
m***3,颜色分类:63 天蓝色;尺寸:160/64A,2021-01-20 20:14:11,超级好穿
安***2,颜色分类:63 天蓝色;尺寸:155/62A,2021-01-20 15:55:28,实体店试过的，很合适，价格也优惠，属于宽松的，本人163/100斤，穿155/62A正好，腰有一丢丢大
l***5,颜色分类:63 天蓝色;尺寸:160/66A,2021-01-19 19:16:52,上身效果：好看
t***6,颜色分类:63 天蓝色;尺寸:150/56A,2021-01-17 08:27:22,裤子质量特别好
t***0,颜色分类:63 天蓝色;尺寸:155/62A,2021-01-16 10:28:04,喜欢
c***c,颜色分类:63 天蓝色;尺寸:150/58A,2021-01-12 16:26:34,👌🏻
n***1,颜色分类:63 天蓝色;尺寸:150/58A,2021-01-11 13:35:35,不错的
y***y,颜色分类:63 天蓝色;尺寸:150/56A,2021-01-09 21:08:23,裤型不错，质量一般。
廖***2,颜色分类:63 天蓝色;尺寸:150/58A,2021-01-07 14:25:44,买了才几天就又降了50，真坑
r***8,颜色分类:63 天蓝色;尺寸:160/68A,2021-01-05 23:07:30,此用户没有填写评论!
王***6,颜色分类:63 天蓝色;尺寸:160/66A,2020-12-26 21:23:58,很好穿
小***淘,颜色分类:63 天蓝色;尺寸:160/70A,2020-12-26 19:02:45,店里人员很专业！
n***h,颜色分类:63 天蓝色;尺寸:160/64A,2020-12-22 08:49:28,很好看哦，版型好
徐***西,颜色分类:63 天蓝色;尺寸:150/58A,2020-12-17 22:10:00,神裤，虽然第一次我买大了点，还好我坚持换小了一个号，不然就买不到这么好看的裤子了
竹***0,颜色分类:63 天蓝色;尺寸:160/70A,2020-12-13 22:41:24,170、125斤，穿70A腰围肥了一个尺码，裤腿也肥，穿68A合适。
竹***0,颜色分类:63 天蓝色;尺寸:160/68A,2020-12-13 22:39:11,170、125，生完宝宝腰围一直下不去，穿68A合适，能套一条打底裤。
文***蚊,颜色分类:63 天蓝色;尺寸:160/68A,2020-12-10 01:20:09,裤头太大了
兰***漪,颜色分类:05 天灰色;尺寸:155/62A,2020-12-08 17:37:01,喜欢优衣库，有不同的档长可以选
小***9,颜色分类:05 天灰色;尺寸:150/56A,2020-12-06 11:21:05,还行 破洞越穿越大
y***r,颜色分类:63 天蓝色;尺寸:160/64A,2020-12-06 06:43:38,只有不清晰的图，整体还是挺不错哒！ 除了跨部不是很软的以外，收腿，买！
小***吖,颜色分类:63 天蓝色;尺寸:150/56A,2020-12-05 07:51:25,整体评价：还不错 尺码推荐：157/44腰围70 尺码比较合适，裤子大腿部分有点太宽 厚薄度：秋季 面料品质：还可以 上身效果：店里第一次试感觉很不错，宽松又有型，到货试了感觉效果没那么满意，洗了之后有点不顺服，型有点垮，还可以吧。
c***n,颜色分类:63 天蓝色;尺寸:155/62A,2020-12-04 14:59:59,垃圾，不想多说什么
b***g,颜色分类:05 天灰色;尺寸:155/62A,2020-12-04 06:44:24,一般呢，试穿时摸着布料应该不错，但一下水就变硬邦邦的牛仔裤。已经剪了挂牌没及时发现还有裤脚的裁缝不好。歪歪扭扭的。很失望的一次在优衣库购买，服务态度也不是很好。解决不了问题。
t***糖,颜色分类:05 天灰色;尺寸:155/62A,2020-12-02 19:02:12,这条裤子真的爆好看！买它！
站***鱼,颜色分类:05 天灰色;尺寸:160/66A,2020-12-01 17:52:32,洗后变大了
明***r,颜色分类:63 天蓝色;尺寸:150/58A,2020-12-01 13:30:16,版型很好，也很舒服
悦***屋,颜色分类:05 天灰色;尺寸:160/68A,2020-12-01 13:23:29,没弹性料子，也不能买太小，春秋穿厚度合适。
c***2,颜色分类:63 天蓝色;尺寸:150/58A,2020-11-30 12:54:56,裤腰再细一点就好了
s***t,颜色分类:63 天蓝色;尺寸:160/64A,2020-11-29 15:01:46,很不错合身
言***姨,颜色分类:63 天蓝色;尺寸:155/62A,2020-11-28 23:28:39,裤型可以，码偏大
y***n,颜色分类:05 天灰色;尺寸:160/70A,2020-11-27 20:08:31,居然可以满减，不容易啊
哆***3,颜色分类:63 天蓝色;尺寸:150/56A,2020-11-27 08:17:47,优衣库的服装都值得信赖
q***h,颜色分类:63 天蓝色;尺寸:155/62A,2020-11-26 21:54:22,不错挺好
w***7,颜色分类:63 天蓝色;尺寸:150/58A,2020-11-26 15:24:37,很好，柔软舒适值得购买。
黄***4,颜色分类:63 天蓝色;尺寸:160/66A,2020-11-25 23:37:36,很容易皱，就显得很旧，是那种软的面料，非常皱，显旧不太好看。
筑***l,颜色分类:63 天蓝色;尺寸:155/62A,2020-11-25 20:24:52,裤子版型非常好，而且挺百搭，值得购入
s***8,颜色分类:63 天蓝色;尺寸:155/62A,2020-11-25 13:13:06,很好，不显胖，穿起来也舒服
酷***7,颜色分类:63 天蓝色;尺寸:150/56A,2020-11-24 13:14:21,在店里试过了再来买的，很合适
酷***7,颜色分类:05 天灰色;尺寸:150/56A,2020-11-24 13:14:21,裤子好看，裤长对于个子不高的女生很友好😁
笨***5,颜色分类:05 天灰色;尺寸:160/64A,2020-11-23 23:38:57,裤子非常好穿，颜色好看，和朋友一人买了一条。
笨***5,颜色分类:05 天灰色;尺寸:150/58A,2020-11-23 23:38:57,裤子非常好穿，颜色好看，和朋友一人买了一条。
吕***1,颜色分类:63 天蓝色;尺寸:150/56A,2020-11-23 22:11:57,这条裤子夏天就看中了，没舍得买，这次无意间发现降价了，立马入手，裤型特别好，就是腰稍微有点大
汝***酒,颜色分类:63 天蓝色;尺寸:165/74A,2020-11-23 20:36:36,！！！很喜欢这条！穿上立刻显瘦10kg！对胯宽女生非常友好 破洞设计也很好看 很值得！
f***9,颜色分类:63 天蓝色;尺寸:160/64A,2020-11-23 09:35:47,挺好
n***8,颜色分类:63 天蓝色;尺寸:150/56A,2020-11-22 12:38:28,折扣力度不大，裤子挺好
圪***蹴,颜色分类:05 天灰色;尺寸:160/68A,2020-11-22 12:04:20,裤子有一点点厚度，秋天穿很合适，颜色很耐看，版型很好，穿着一如既往的舒服
s***x,颜色分类:63 天蓝色;尺寸:160/66A,2020-11-21 19:13:50,裤型非常棒👍
爱***过,颜色分类:63 天蓝色;尺寸:150/56A,2020-11-21 19:06:59,好看，舒服，长期支持优衣库。
枇***蓉,颜色分类:63 天蓝色;尺寸:150/56A,2020-11-21 11:32:44,很好看，显得腿直，很好搭配。
t***敏,颜色分类:05 天灰色;尺寸:155/62A,2020-11-20 13:18:30,我158cm，102斤，小码居然合适，而且是长裤非9分。膝盖破洞的地方蹲下容易破开来
j***1,颜色分类:63 天蓝色;尺寸:160/64A,2020-11-19 20:38:08,物流很快，质感很好，很漂亮，很喜欢
柒***0,颜色分类:63 天蓝色;尺寸:160/70A,2020-11-19 09:25:11,不错。
鱼***p,颜色分类:05 天灰色;尺寸:155/62A,2020-11-18 22:52:15,160cm穿是全长，供参考哦！
y***5,颜色分类:63 天蓝色;尺寸:155/62A,2020-11-18 19:57:21,裤子版型穿着不舒服，裤裆超级卡.
黄***6,颜色分类:05 天灰色;尺寸:155/62A,2020-11-18 15:40:09,很好穿喔，质量很好，喜欢
x***0,颜色分类:63 天蓝色;尺寸:150/58A,2020-11-18 15:20:50,想换155/62的，未拆吊牌，全新，这个码穿有点瘦，双十一买的便宜，退了又可以，换的加咸鱼xiefeixue0
行***天,颜色分类:05 天灰色;尺寸:160/66A,2020-11-18 15:05:37,腰有点大
1***t,颜色分类:63 天蓝色;尺寸:150/56A,2020-11-18 12:59:34,是在店里看了好久的裤子，终于等到双十一活动闭眼入，宽松款，如果更优惠就好了
王***游,颜色分类:05 天灰色;尺寸:155/62A,2020-11-18 10:18:33,好
慕***希,颜色分类:63 天蓝色;尺寸:150/56A,2020-11-17 22:53:14,我感觉还行。第一次穿破洞裤。
小***觉,颜色分类:05 天灰色;尺寸:150/56A,2020-11-17 11:27:14,特意去店里试了码子再在网上买的，本来很满意，但是网上的码子穿起来偏大啊，腰都大了  哎
b***4,颜色分类:05 天灰色;尺寸:150/56A,2020-11-17 10:09:33,好的 有点偏大哦这款
l***7,颜色分类:05 天灰色;尺寸:150/58A,2020-11-16 20:12:23,164，52，尺码刚刚好
飞***萌,颜色分类:63 天蓝色;尺寸:150/56A,2020-11-16 18:50:46,都很好看。 白衬衫是帮舍友带的，上身很好看； 牛仔裤很神裤，确实挡肉； 打底衫帮别人买的，很经典了。
吧***y,颜色分类:05 天灰色;尺寸:155/62A,2020-11-16 09:36:18,好评
g***神,颜色分类:05 天灰色;尺寸:165/74A,2020-11-15 17:30:10,这个长度！i了i了！！！！
z***5,颜色分类:05 天灰色;尺寸:155/62A,2020-11-15 13:07:26,版型没得说，现在裤子基本首选优衣库了
戚***墨,颜色分类:63 天蓝色;尺寸:150/58A,2020-11-15 13:05:20,版型很不错 显腿长
k***n,颜色分类:63 天蓝色;尺寸:150/58A,2020-11-15 08:50:01,很舒服，也好看，双十一当天又追加了一条同款！
x***1,颜色分类:63 天蓝色;尺寸:150/56A,2020-11-14 21:34:35,裤型和颜色都不错。
亿***民,颜色分类:05 天灰色;尺寸:160/66A,2020-11-14 20:59:04,挺好的，质量不错，老客户了，先说商品质量： 产品总体不错，包装严实。再说商家服务：点赞 啦。最后点评快递：发货很快。买过很多次质量还是很好，日期新鲜，还会再买。质量不错，价格实惠，很好。
李***0,颜色分类:63 天蓝色;尺寸:150/58A,2020-11-14 16:46:27,这个裤子对梨形身材很友好，我163cm 51kg， 下身偏胖，58A刚刚好，又下单一条62A的灰色，应该能穿出比较休闲的感觉
t***4,颜色分类:63 天蓝色;尺寸:155/62A,2020-11-14 14:31:45,太神裤了吧！！吼吼看~ 172.54，合适！！
米***萱,颜色分类:05 天灰色;尺寸:160/64A,2020-11-14 13:46:08,不错
荆***3,颜色分类:63 天蓝色;尺寸:160/66A,2020-11-14 13:40:58,不错，就是自己该减肥了，再瘦一点会更好看
闯***妇,颜色分类:05 天灰色;尺寸:155/62A,2020-11-14 13:35:41,裤子款式还可以，胖瘦高矮都能穿，牛仔裤还不过时，美中不足是都搞这么大洞干嘛？
猫***子,颜色分类:63 天蓝色;尺寸:155/62A,2020-11-14 00:29:18,很好，穿着非常好。
雪***芯,颜色分类:63 天蓝色;尺寸:150/56A,2020-11-13 20:36:07,150cm，45kg，55身，肚子肉多，腿粗且腿型不好。个人评价：神裤也不能彻底挽救我的腿。侧面后面都很好，唯独正面，只能说马马虎虎。（镜子拍摄显瘦：)
t***1,颜色分类:63 天蓝色;尺寸:150/58A,2020-11-13 18:35:24,可以，就是快递都不送货上门了唉
a***1,颜色分类:63 天蓝色;尺寸:160/64A,2020-11-13 15:49:12,非常棒
z***朵,颜色分类:63 天蓝色;尺寸:155/62A,2020-11-13 14:29:00,试的时候觉得版型特别好 穿几天发现好像也没有那么神奇 但颜色挺喜欢的
c***1,颜色分类:63 天蓝色;尺寸:155/62A,2020-11-13 14:14:54,显腿直！168 108斤穿155/62A腰头比较合适，但是裤子会比较短，露膝盖的扣子会直接到大腿上。但是显腿直！！新裤子筋比较硬挺好看，穿久了变软效果会差一些
逮***塔,颜色分类:05 天灰色;尺寸:160/68A,2020-11-13 13:08:54,听说是神裤就买啦，没在实体店试过，所以看尺码选了个号。162 59kg，穿上略宽松。
唐***v,颜色分类:63 天蓝色;尺寸:160/64A,2020-11-13 10:40:59,整体评价：好 尺码推荐：好 厚薄度：好 面料品质：好 上身效果：好
蓝***羽,颜色分类:63 天蓝色;尺寸:160/66A,2020-11-13 08:02:49,裤子好看极了，非常非常棒
小***本,颜色分类:63 天蓝色;尺寸:155/62A,2020-11-12 10:18:21,在实体店试穿过，按照型号、尺寸下单，同样的尺寸实体店是ok的，旗舰店买了居然偏大，最后要去实体店换。
l***儿,颜色分类:05 天灰色;尺寸:155/62A,2020-11-11 10:39:28,在实体店试过还行适合我生产完发胖的大腿和腰身，已经是优衣库铁粉了
t***1,颜色分类:05 天灰色;尺寸:155/62A,2020-11-10 17:26:39,不错
t***2,颜色分类:63 天蓝色;尺寸:150/56A,2020-11-10 08:53:21,160/44kg 出这个很合适ok 版型很好 之前买过58A的，太大了 这个56A刚好
k***2,颜色分类:05 天灰色;尺寸:150/56A,2020-11-09 18:21:24,虽然腰围大，但是胯部紧
青***菜,颜色分类:05 天灰色;尺寸:160/68A,2020-11-08 19:17:45,整体评价：不错，舒适，喜欢，满意，就是双十一发货有丢丢慢 厚薄度：这个天气刚刚好（秋天） 面料品质：棉，很喜欢，很舒适
t***2,颜色分类:05 天灰色;尺寸:160/66A,2020-11-08 15:35:05,很不错，跟深色衣服和浅色衣服都可以很好的衔接，比较软够舒服，但不藏肉。很不错，跟深色衣服和浅色衣服都可以很好的衔接，比较软够舒服，但不藏肉。很不错，跟深色衣服和浅色衣服都可以很好的衔接，比较软够舒服，但不藏肉。很不错，跟深色衣服和浅色衣服都可以很好的衔接，比较软够舒服，但不藏肉
s***s,颜色分类:63 天蓝色;尺寸:165/74A,2020-11-08 09:00:04,跟代言人图片一整套买的，刚开始没上身觉得这个裤子挺贵的，穿完觉得贵的还是非常有道理的，超级显瘦，而且布料舒服
t***0,颜色分类:05 天灰色;尺寸:160/66A,2020-11-07 15:09:18,喜欢了很久的裤子，店里尺码不全了选择旗舰店。i了
聆***a,颜色分类:05 天灰色;尺寸:150/56A,2020-11-06 21:03:41,裤子很喜欢，想买很久一直担心腰大，161，50，平时买牛仔裤都是买64左右的腰围，看着尺码表腰围很大，穿上身还好，腰那里虽然有差不多一拳大小的空，但是因为臀围合适，裤子不会掉，这个尺码挺合身了，喜欢宽松的甚至可以买大一号。
杜***0,颜色分类:05 天灰色;尺寸:155/62A,2020-11-06 10:43:28,美
k***2,颜色分类:63 天蓝色;尺寸:150/56A,2020-11-05 14:49:51,腰部再收一点就不错了，其他很完美！十一的时候在实体店试过，299，这次249果断抢
d***3,颜色分类:63 天蓝色;尺寸:150/58A,2020-11-05 10:21:01,我是装柜试过 淘宝新用户还有➖80 划算
d***3,颜色分类:63 天蓝色;尺寸:160/70A,2020-11-04 19:46:51,实体店试穿过，尺码缺，果断来加入购物车，双十一下单。神裤版型非常好，零弹力，穿上显瘦显腿直。是我浅色系裤子穿得最好看的一次了吧&hellip;
o***x,颜色分类:63 天蓝色;尺寸:155/62A,2020-11-04 19:11:25,显瘦，颜色很好搭配
明***6,颜色分类:63 天蓝色;尺寸:155/62A,2020-11-04 17:46:31,太好看。
哇***耶,颜色分类:63 天蓝色;尺寸:150/56A,2020-11-04 13:59:36,喜欢，版型很棒！要是 有最小码就更棒了，穿这个有点大了，系个皮带就还行&hellip;&hellip;门店自提很方便
史***4,颜色分类:05 天灰色;尺寸:160/64A,2020-11-04 13:41:28,合身
e***2,颜色分类:05 天灰色;尺寸:160/64A,2020-11-04 08:10:12,非常可 超显瘦
毛***猫,颜色分类:63 天蓝色;尺寸:160/64A,2020-11-01 13:15:57,感觉没那么适合梨形身材，凑合穿啦
爱***阳,颜色分类:05 天灰色;尺寸:150/56A,2020-10-29 07:59:03,挺好的，一下买了三条
b***o,颜色分类:05 天灰色;尺寸:160/68A,2020-10-27 19:09:49,不愧是神裤，就是破洞的地方，我穿起来很卡膝盖，不过真的很好穿。
c***g,颜色分类:05 天灰色;尺寸:150/56A,2020-10-26 16:04:34,还可以 无褪色 挺好 没有弹性
若***朵,颜色分类:05 天灰色;尺寸:150/58A,2020-10-25 07:50:44,大小合适，防盗扣没取，说是寄回取，一个来回两个星期了，谁来弥补时间呢，自己想办法取掉了，发货的时候希望能上点心
忘***y,颜色分类:63 天蓝色;尺寸:150/56A,2020-10-22 22:51:43,太适合小个子的小姐姐了 版型很好看 喜欢💕
街***亮,颜色分类:05 天灰色;尺寸:160/64A,2020-10-22 09:25:50,好穿
r***5,颜色分类:63 天蓝色;尺寸:155/62A,2020-10-21 22:12:18,神裤名不虚传
爱***阳,颜色分类:63 天蓝色;尺寸:150/56A,2020-10-21 09:44:54,大小刚刚好
花***a,颜色分类:05 天灰色;尺寸:150/56A,2020-10-20 21:17:31,裤型很好
