displayUserNick,auctionSku,rateDate,rateContent
啦***是,颜色分类:62 粉蓝色;尺寸:150/56A,2021-02-26 15:41:12,好
t***5,颜色分类:69 藏青色;尺寸:160/70A,2021-01-25 21:42:47,价格优惠，正好需要买一条
大***车,颜色分类:66 蓝色;尺寸:150/58A,2021-01-24 18:25:53,高160重95，除了长！合身！
曲***2,颜色分类:62 粉蓝色;尺寸:160/64A,2021-01-22 16:18:35,颜色好看，就是裤脚是真的长。
t***7,颜色分类:66 蓝色;尺寸:155/62A,2021-01-22 13:17:09,一如既往地好
6***q,颜色分类:62 粉蓝色;尺寸:160/64A,2021-01-20 19:08:08,大小合适，上身效果好，弹性也可以，比一般裤子长（163cm，52kg）。咨询客服直接不回复。
t***3,颜色分类:62 粉蓝色;尺寸:160/68A,2021-01-18 14:09:12,很好看
r***n,颜色分类:62 粉蓝色;尺寸:160/70A,2021-01-15 14:55:57,除了太长，其他可以
璐***子,颜色分类:62 粉蓝色;尺寸:160/70A,2021-01-11 18:23:23,非常不错 就是长了点 看了评论 身高165 选了160的还是长很多 浅色好看 有厚度
都***儿,颜色分类:62 粉蓝色;尺寸:160/66A,2021-01-10 10:49:18,买两条了，很好穿，薄也舒服
子***贝,颜色分类:66 蓝色;尺寸:155/62A,2021-01-09 21:37:57,棉质面料，舒服，弹力，不足之处就是长了一截，未必160身高，穿160裤子，也短腿，是裤子长了吧？
周***雁,颜色分类:66 蓝色;尺寸:150/58A,2021-01-09 16:31:41,就是裤子真的长，要改裤脚
k***7,颜色分类:62 粉蓝色;尺寸:160/64A,2021-01-09 10:32:05,质量可以，穿着舒服，就是太长了，162，54穿这个码还长了十厘米，去店里改了，完美！
m***3,颜色分类:66 蓝色;尺寸:155/62A,2021-01-07 13:58:32,裤腿有点长 ，穿着还行
相***美,颜色分类:66 蓝色;尺寸:155/62A,2021-01-06 10:45:27,优衣库的衣服质量没得说，这次终于买到了不露脚脖子的长裤
吱***u,颜色分类:09 黑色;尺寸:160/66A,2021-01-04 22:18:55,非常棒！可惜码不全了要不给妈妈也来一条
q***1,颜色分类:62 粉蓝色;尺寸:160/70A,2021-01-04 17:18:27,修身显廋，腰围合适，长度稍长需改短，春秋款，面料柔软有弹性。
m***焕,颜色分类:66 蓝色;尺寸:155/62A,2021-01-04 16:18:55,裤子上有一个小疙瘩，懒得退换
t***5,颜色分类:69 藏青色;尺寸:155/62A,2021-01-02 14:38:29,内里严重色差，面料表面也存在色差!这是在处理严重不良品！
c***9,颜色分类:66 蓝色;尺寸:155/62A,2021-01-01 21:04:24,挺好
李***丹,颜色分类:09 黑色;尺寸:155/62A,2021-01-01 02:40:59,超级长
李***丹,颜色分类:66 蓝色;尺寸:155/62A,2021-01-01 02:37:53,超级长
j***8,颜色分类:66 蓝色;尺寸:160/68A,2020-12-31 09:18:50,抢了好几次守了几天夜，终于补货深蓝色了，就是价格不是去年的99元有些小遗憾，但这款式很好看哦～还买了模特图里的军绿针织外套，喜欢！
d***s,颜色分类:66 蓝色;尺寸:150/58A,2020-12-29 19:49:17,收到就拿去小区的改衣店改长度了。154，43公斤左右。合适
桑***桐,颜色分类:66 蓝色;尺寸:155/62A,2020-12-28 16:58:59,弹力够，但是对我来说显胖。小腿粗的真的慎入。
我***洁,颜色分类:62 粉蓝色;尺寸:160/70A,2020-12-26 08:15:52,柔软舒适，薄款中腰，颜色很美，适合春秋初夏
李***7,颜色分类:62 粉蓝色;尺寸:155/62A,2020-12-24 12:41:18,布料柔软，有弹性。里面穿了一个秋裤，坐标河南周口，气温，0度左右不冷。挺好的。推荐
v***9,颜色分类:62 粉蓝色;尺寸:160/66A,2020-12-23 20:56:53,优衣库的牛仔裤确实很有弹性，不勒，舒适，淡蓝色很好看，码数刚刚好。
小***i,颜色分类:62 粉蓝色;尺寸:150/58A,2020-12-23 15:57:44,非常好穿，1米73身高长短正合适！
小***i,颜色分类:62 粉蓝色;尺寸:155/62A,2020-12-23 15:57:44,非常好穿，1米73身高长短正合适！
小***i,颜色分类:66 蓝色;尺寸:150/58A,2020-12-23 15:57:44,非常好穿，1米73身高长短正合适！
s***蕊,颜色分类:62 粉蓝色;尺寸:160/64A,2020-12-23 15:39:33,质量不错，上身效果很好，浅色也不显腿粗，长度绝对够够的⊙▽⊙
d***d,颜色分类:62 粉蓝色;尺寸:160/66A,2020-12-21 18:42:40,175穿完全不短还长一些 很舒适
大***7,颜色分类:62 粉蓝色;尺寸:150/54A,2020-12-20 21:34:56,太长了
水***5,颜色分类:66 蓝色;尺寸:155/62A,2020-12-19 13:43:43,一如既往的好
m***命,颜色分类:62 粉蓝色;尺寸:155/62A,2020-12-19 11:52:00,裤子颜色不均匀，店里没个客服也是够无语的了，售前售后极差。
d***妮,颜色分类:66 蓝色;尺寸:160/64A,2020-12-19 10:10:52,此用户没有填写评论!
p***3,颜色分类:62 粉蓝色;尺寸:160/66A,2020-12-18 12:31:41,好
我***傲,颜色分类:62 粉蓝色;尺寸:155/62A,2020-12-16 20:36:29,裤子会比较长要剪一下
熊***5,颜色分类:62 粉蓝色;尺寸:155/62A,2020-12-16 11:20:13,确实很长，我163，50kg吧
f***2,颜色分类:62 粉蓝色;尺寸:160/64A,2020-12-15 23:41:24,最合适我腿型的优衣库牛仔裤，秒杀其他贵的牌子
滕***5,颜色分类:62 粉蓝色;尺寸:160/70A,2020-12-15 17:01:05,宝贝质量很好 漂亮 包装好 发货及时物流给力 全五分好评
陌***7,颜色分类:62 粉蓝色;尺寸:160/68A,2020-12-15 09:24:36,优衣库客户就是一个摆设，最差的客户，衣服发来商标就损坏了，等三天连个客户出来解决问题的人都没有，最后还说投诉不成立&hellip;&hellip;
夏***夜,颜色分类:62 粉蓝色;尺寸:160/64A,2020-12-14 07:46:52,172穿都超级长，但是颜色嫩
尚***论,颜色分类:69 藏青色;尺寸:150/54A,2020-12-13 18:11:12,骨架太小，想买到合身的裤子着实不容易，去年无意中在优衣库实体店买到一条很合身又有品质的裤子413115，54A的码数把我感动哭了，今年裤子穿残了本来想买多一条，怎么找也没有那款了，翻来覆去找了好久，对比尺寸终于找到这条425500，虽然码数也是54A，腰围和臀围还是大了1、2公分，也知足了，就着穿了
小***爱,颜色分类:66 蓝色;尺寸:155/62A,2020-12-13 16:13:27,对比我的九分裤，就离谱，长了差不多二十厘米。
t***0,颜色分类:69 藏青色;尺寸:160/66A,2020-12-13 13:22:27,裤子挺好～就是被别人退来退去商标都破了
l***6,颜色分类:62 粉蓝色;尺寸:160/66A,2020-12-11 22:36:50,发货快。次日达。牛仔裤很柔软。弹性非常好。穿起来很舒服。就是长了点。推荐购买。
谢***8,颜色分类:62 粉蓝色;尺寸:160/68A,2020-12-11 18:20:54,此用户没有填写评论!
廖***3,颜色分类:09 黑色;尺寸:150/54A,2020-12-11 16:27:17,失望
t***n,颜色分类:66 蓝色;尺寸:160/64A,2020-12-10 18:10:08,颜色很喜欢，就是裤子长了点
z***4,颜色分类:62 粉蓝色;尺寸:160/68A,2020-12-10 13:31:32,弹力大，虽然浅色但并不显胖，颜色好看。之前买的66码特别合身，但考虑冬天要套保暖裤又换了大一码，我172高117斤，给其他姐妹做个参考
风***1,颜色分类:62 粉蓝色;尺寸:160/64A,2020-12-08 18:24:03,可，就是优衣库客服真的不咋样
l***l,颜色分类:62 粉蓝色;尺寸:160/66A,2020-12-08 18:00:13,穿着非常合适，舒适，质量非常好
y***8,颜色分类:62 粉蓝色;尺寸:160/66A,2020-12-07 20:24:02,正好
h***o,颜色分类:62 粉蓝色;尺寸:160/70A,2020-12-07 16:42:03,趁便宜入手。
喵***屁,颜色分类:69 藏青色;尺寸:150/58A,2020-12-06 16:00:02,脱色，太长
一***光,颜色分类:62 粉蓝色;尺寸:160/66A,2020-12-05 23:46:23,腰腿还是挺合适的，就是裤长也太太太长了吧😂163cm的我去线下门店改裤长，裁完了11cm甚至还能穿出堆堆的效果，还能再卷一次。改裤长中间的五个小时又花了一千多试衣服买衣服。 浅色有些显胖，但是价格很香
1***苗,颜色分类:62 粉蓝色;尺寸:160/68A,2020-12-04 17:15:25,172/50 长度和尺码完美
w***w,颜色分类:62 粉蓝色;尺寸:150/58A,2020-12-03 13:45:12,不错
z***5,颜色分类:62 粉蓝色;尺寸:160/70A,2020-12-02 21:29:21,整体评价：裤子很舒服，弹性很大，摸着也柔软 尺码推荐：尺码正好 厚薄度：偏薄，适合春秋夏 面料品质：柔软
l***3,颜色分类:66 蓝色;尺寸:155/62A,2020-12-02 14:10:59,尺码标准，大小合适，质量很好。好评！
h***e,颜色分类:09 黑色;尺寸:150/58A,2020-12-02 10:52:23,又长又瘦
t***米,颜色分类:09 黑色;尺寸:150/54A,2020-12-01 13:37:43,可以
离***0,颜色分类:62 粉蓝色;尺寸:160/70A,2020-12-01 10:16:29,我只买高弹力裤，因为穿着很舒服，日常m码，但u家m码挺松的，要系皮带，这条比另一条水蓝色的要紧身一点，有点瑕疵，标签那有重新缝制的痕迹。另外客服真的要改进一下，机械式作答，而且u家的衣服价格不按常理出牌，买完即降的事遇上了，还不能退差价，有的商品还没有保价险。而且码数不对时还不能换货。
f***3,颜色分类:69 藏青色;尺寸:155/62A,2020-11-30 08:48:56,很好，就是深蓝色有点褪色
黑***魂,颜色分类:66 蓝色;尺寸:150/58A,2020-11-29 12:15:01,这款裤子买了三条，第一条全价，第二条199，第三条双十一的价格，但是感觉双十一这次买的和前面两条质量不一样，没有前两天的质感好，不知道买过的姐妹有没有感觉到
萧***风,颜色分类:62 粉蓝色;尺寸:160/66A,2020-11-28 11:43:28,包装很完美，颜值很高，感觉物超所值！客服也非常耐心细致，发货快物流给力，以后还会再来☺️
古***泉,颜色分类:62 粉蓝色;尺寸:160/64A,2020-11-27 11:04:47,平常穿155码，怕小了拍了160，大了点不够包，所以日常码就好，这次包裹里居然没有退货单就留下了 裤子弹性好，小短腿穿是真太太太长了
u***e,颜色分类:62 粉蓝色;尺寸:160/66A,2020-11-24 08:43:37,颜色好看，紧身牛仔裤显瘦～
g***洋,颜色分类:62 粉蓝色;尺寸:160/70A,2020-11-23 16:27:13,172，61公斤，腿上觉得很合适，腰有点大，可能应该买160/68A的，嫌麻烦就不换了，腰围大了一点点，用皮带还可以穿。春夏款的薄裤子，现在买很划算哟，留着来年穿。
其***西,颜色分类:62 粉蓝色;尺寸:160/64A,2020-11-23 13:34:32,172cm 57公斤 长度和颜色 款式都一如既往的舒服
十***7,颜色分类:62 粉蓝色;尺寸:160/66A,2020-11-23 10:53:59,第一次买优衣库的裤子腿长到怀疑自己172的身高是不是不够高 这个裤长够长尺码合适春夏穿一定很好看先屯着 尺码推荐：160/66A  适合172/53身材 厚薄度：薄 面料品质：牛仔
q***3,颜色分类:66 蓝色;尺寸:160/70A,2020-11-22 13:20:13,买了二条，开始蓝色的买的165的，其实还合身的，但是本人太矮胖了，开始觉的太显矮显胖了，就退了，后来又买了别的款回来，还是觉的这款有弹力舒服点。又买回来了，但是买的160的，买小了，各种不舒服，藏青色也买的160，但是刚好，这蓝色的弹力好像小了点，好像没青藏青色的弹力大
q***3,颜色分类:69 藏青色;尺寸:160/70A,2020-11-22 13:20:13,买了二个颜色，臧青色我觉的比蓝色的弹力好像大点，码数也大些，就是本人的腿太粗太短了，什么裤子也拯救不了我，就图个舒服
露***7,颜色分类:62 粉蓝色;尺寸:160/68A,2020-11-22 12:40:25,版型超好，很好看，很喜欢
嘀***2,颜色分类:66 蓝色;尺寸:155/62A,2020-11-21 12:17:42,挺好  但是物流超级超级无敌差 根本联系不到七八天了才派送   优衣库的客服就是个摆设
l***6,颜色分类:62 粉蓝色;尺寸:160/64A,2020-11-21 01:01:01,颜色好看。裤子很长。弹性好。发货也快。推荐购买。
阿***嗨,颜色分类:62 粉蓝色;尺寸:160/66A,2020-11-20 17:16:10,这个颜色特别喜欢，弹性很好，就是裤腿太长了，要裁剪一点
宝***糖,颜色分类:62 粉蓝色;尺寸:160/66A,2020-11-20 08:56:47,高167重115，裤子够长，腿短的MM要截一下裤边，颜色无色差，中高腰，薄款
雪***6,颜色分类:66 蓝色;尺寸:155/62A,2020-11-19 13:01:21,裤子太紧了，穿起来都是褶子。
逸***7,颜色分类:69 藏青色;尺寸:150/54A,2020-11-19 08:07:13,裤子太长了，拿去改了，挺好穿的，我偏瘦，店里很难买到腰围合适我的裤子，只有优衣库有150的尺**腰围刚好适合我
t***4,颜色分类:09 黑色;尺寸:155/62A,2020-11-18 13:40:27,此用户没有填写评论!
米***y,颜色分类:62 粉蓝色;尺寸:160/70A,2020-11-18 13:11:43,优衣库这个**裤子我每年都囤两条！ 176/133 这个颜色完全很显瘦裤型也好看！
k***0,颜色分类:66 蓝色;尺寸:160/68A,2020-11-18 12:22:52,裤腿有点长
i***t,颜色分类:62 粉蓝色;尺寸:160/66A,2020-11-18 11:03:22,质量很好，颜色也喜欢。除了有点长。
t***3,颜色分类:66 蓝色;尺寸:155/62A,2020-11-17 22:09:45,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物，有需要会再次光临的。"
j***n,颜色分类:62 粉蓝色;尺寸:160/66A,2020-11-17 21:46:56,很好
夏***帽,颜色分类:62 粉蓝色;尺寸:150/56A,2020-11-17 21:38:39,很软糯舒适，是喜欢的长度
亲***含,颜色分类:62 粉蓝色;尺寸:155/62A,2020-11-17 01:54:31,好看
豪***a,颜色分类:62 粉蓝色;尺寸:160/70A,2020-11-16 23:22:16,优衣库的衣服质量不错
t***8,颜色分类:69 藏青色;尺寸:160/66A,2020-11-16 22:21:30,这条裤子弹性真的超级，只可惜我腿型太丑了，穿着不好看再加上裤子超级长，好不容易捡漏的一条，真的犹豫了好久才退掉的，这么好的裤子应该让别的集美去展现它的价值而不是变成我压箱底的裤子
树***淘,颜色分类:69 藏青色;尺寸:155/62A,2020-11-16 19:23:07,大长了，要剪过
索***云,颜色分类:09 黑色;尺寸:150/58A,2020-11-16 19:07:47,非常好 尺码太合身了 ！喜欢这种裤型 这次连着买了三条裤子都很满意！
熙***6,颜色分类:62 粉蓝色;尺寸:160/64A,2020-11-16 18:26:11,做工无可挑剔，舒适柔软，身高167，160的穿上长度竟然还很富余。👍👍
r***8,颜色分类:62 粉蓝色;尺寸:160/66A,2020-11-16 11:37:05,到实体店换小一码了，多了个运费。168cm48kg，25的刚好，改了点裤脚，没原本那么好看，够长
蓝***猫,颜色分类:66 蓝色;尺寸:155/62A,2020-11-16 11:32:11,实体店入了一条，穿着舒适，双十一加购一条，价格和实体店促销一样。裤腿很长，自己拿外面裁改了。
q***1,颜色分类:69 藏青色;尺寸:160/66A,2020-11-15 22:30:10,裤子有弹性，紧身型
巫***浔,颜色分类:66 蓝色;尺寸:150/58A,2020-11-15 20:38:20,不错，优衣库这个系列的裤子最爱，不容易变形。
q***8,颜色分类:69 藏青色;尺寸:160/66A,2020-11-15 20:20:02,很不错，挺喜欢的，推荐购买，很好很好 整体评价：很不错，挺喜欢的，推荐购买，很好很好 尺码推荐：很不错，挺喜欢的，推荐购买，很好很好 上身效果：很不错，挺喜欢的，推荐购买，很好很好
婉***2,颜色分类:66 蓝色;尺寸:155/62A,2020-11-15 19:40:34,颜色超好看，但是裤子超长，要打扁
s***5,颜色分类:66 蓝色;尺寸:160/64A,2020-11-15 10:20:18,喜欢的不得了
x***9,颜色分类:09 黑色;尺寸:150/58A,2020-11-15 00:28:09,好
不***战,颜色分类:62 粉蓝色;尺寸:160/66A,2020-11-14 21:06:33,好看，便宜
和***5,颜色分类:69 藏青色;尺寸:160/66A,2020-11-14 18:25:06,尺码合适，裤型也很漂亮
p***1,颜色分类:66 蓝色;尺寸:155/62A,2020-11-14 10:25:21,质量没有问题，很好，裤型好，牛仔裤都买优衣库。但是优衣库真的很牛，连淘宝双十一满减都不参加，有这个底气，估计只此一家吧，这就是实力呀
严***y,颜色分类:09 黑色;尺寸:150/56A,2020-11-14 10:10:43,之前买另一条牛仔裤150/56A刚好合身，这个居然小很多很多，哭了。已经换过一次太麻烦就留下来。每次穿都好勒，优衣库的尺码好迷
学***购,颜色分类:66 蓝色;尺寸:160/64A,2020-11-13 17:37:40,两条裤子都是别人退货不要的，一条的吊牌不见了，满是折痕，另一条的就剩个吊牌，完事内标上还有洞，我也是服了
乐***包,颜色分类:62 粉蓝色;尺寸:160/66A,2020-11-13 15:47:40,整体评价：换了一个码结果腰围还是大，又得去买个腰带了
y***1,颜色分类:62 粉蓝色;尺寸:150/56A,2020-11-13 14:55:51,刚刚收到。试穿了一下很舒服，裤子有那么长，我所有的牛仔裤全是优衣库的。弹性好。
冰***7,颜色分类:62 粉蓝色;尺寸:150/58A,2020-11-12 22:11:04,舒服 满意
c***y,颜色分类:62 粉蓝色;尺寸:155/62A,2020-11-12 21:27:11,裤子比较长，弹力很大
小***3,颜色分类:09 黑色;尺寸:155/62A,2020-11-12 16:27:49,喜欢 裤腿够长
t***q,颜色分类:69 藏青色;尺寸:160/64A,2020-11-12 14:08:38,裤子面料比较舒适，裤型不错，但裤腿太长了，要拿到门店改短。
斯***克,颜色分类:66 蓝色;尺寸:160/64A,2020-11-12 13:37:37,掉色严重，其他都不错
琉***落,颜色分类:62 粉蓝色;尺寸:160/66A,2020-11-12 12:12:23,整体评价：这个差评优衣库实至名归！自己发货的时候没有取防盗扣，反复刁难买家，实在恶心！！！收到第一时间就联系客服，回复及其不耐烦不专业，要求拍商品全图、问题处图、发货清单、标签、水洗标。全部拍好告知要么自己退货重拍要么去实体店换货（库存概不负责）。选择去实体店自行取扣，告知了哪天去哪个店还不行 要求时间精确到小时！！！只能投诉，结果允许我三天内去指定店取扣，并且还是反复要求我精确时间，并暗示觉得我这件衣服是偷的。厌烦了决定退货重拍，结果退货申请给我拒绝了，要求我把退货申请从&ldquo;发错货&rdquo;改为&ldquo;做工问题&rdquo;，我拒绝并在此投诉，天猫客服介入直接通过了我的退货申请。
n***8,颜色分类:69 藏青色;尺寸:155/62A,2020-11-12 09:29:13,一直穿一直穿
七***6,颜色分类:62 粉蓝色;尺寸:160/70A,2020-11-12 00:47:56,很喜欢这条裤子，但是优衣库的客服真的emmm
w***姐,颜色分类:62 粉蓝色;尺寸:155/62A,2020-11-11 23:19:47,尺码偏大
t***7,颜色分类:09 黑色;尺寸:150/56A,2020-11-11 22:46:24,便宜
j***n,颜色分类:69 藏青色;尺寸:160/66A,2020-11-11 21:00:08,170厘米，106斤。在店里249时候买的160/66A就是我现在照片的号码，很合身，但是68A穿着也行，行动更舒适。不过因为没有号码了，就它吧，这种裤子经常深蹲的膝盖撑坏，多买一条囤货，其实更喜欢同款粉蓝色，浅色总是比深色更有层次，且这款浅色不显胖。如果不是上班必须穿深色，我会屯浅色，重点粉蓝款布料比藏青款的柔软舒适。 整体评价：很好，尤其是价格
可***敏,颜色分类:66 蓝色;尺寸:155/62A,2020-11-11 18:52:53,太长了，对小个子不友好！还要自己改！
s***n,颜色分类:09 黑色;尺寸:155/62A,2020-11-11 13:12:22,此用户没有填写评论!
文***3,颜色分类:09 黑色;尺寸:160/66A,2020-11-11 12:36:24,好评！
文***3,颜色分类:69 藏青色;尺寸:160/66A,2020-11-11 12:36:24,好评！
z***1,颜色分类:62 粉蓝色;尺寸:155/62A,2020-11-11 12:01:04,此用户没有填写评论!
猪***夕,颜色分类:62 粉蓝色;尺寸:160/70A,2020-11-11 09:35:31,一如既往的好！回购多次不同的颜色！
j***l,颜色分类:62 粉蓝色;尺寸:160/70A,2020-11-11 07:29:28,不错
c***0,颜色分类:66 蓝色;尺寸:160/64A,2020-11-10 12:25:54,裤子有弹性 ，很舒服，唯一裤子太长 需要修剪裤脚.
s***8,颜色分类:66 蓝色;尺寸:160/66A,2020-11-09 23:14:07,买的和去年一样的尺码，今年的感觉偏小，或许我又长肉了😂😂😂😂
虚***d,颜色分类:62 粉蓝色;尺寸:165/72A,2020-11-09 08:33:11,要不是为了这条裤子，真是的，物流慢的要*，到了五天也不送货，联系客服说可能丢了，让联系卖家，无奈卖家基本找不到人，人工客服太难联系了，真是有种店大欺客的感觉，不投诉，真的只是因为这条裤子，因为已经买过两条都不错。希望别人不要遇到像我一样的情况，太闹心了&hellip;&hellip;
江***0,颜色分类:66 蓝色;尺寸:160/66A,2020-11-08 13:42:37,整体评价：整体不错，修身 尺码推荐：尺码偏大 厚薄度：时候春秋穿
怪***花,颜色分类:69 藏青色;尺寸:150/58A,2020-11-08 09:32:00,167，90斤，23码，供参考，买了三个颜色
怪***花,颜色分类:66 蓝色;尺寸:150/58A,2020-11-08 09:32:00,167，90斤，23码，供参考
q***i,颜色分类:66 蓝色;尺寸:160/66A,2020-11-07 23:20:39,晚上睡前下的单，第二天一早就发货了。物流也是好快哦，还以为要第二天才能到呢。掌柜太善良了，真是干一行懂一行呀。在掌柜的指导下我都快变内行人士了！包装非常仔细、严实，到手上完好无损。宝贝和商家的描述一致，很靠谱。家里人看了也觉得很喜欢。感觉宝贝完全超乎我想象的好，一看就知道是我想要的。这是一次完美的购物体验。下次需要的时候我还会再来的，到时候麻烦掌柜给个优惠哦！
t***0,颜色分类:62 粉蓝色;尺寸:150/54A,2020-11-07 14:39:05,奈斯～～裤子总体不错，腰有一丢丢低
k***o,颜色分类:62 粉蓝色;尺寸:160/64A,2020-11-07 00:56:41,好
p***u,颜色分类:62 粉蓝色;尺寸:160/70A,2020-11-06 23:45:15,喜欢这个颜色，虽然浅但一点不显胖
q***d,颜色分类:62 粉蓝色;尺寸:160/68A,2020-11-06 19:24:55,大小合适，浅色显腿粗。
3***妞,颜色分类:66 蓝色;尺寸:160/66A,2020-11-05 22:54:49,店里试了 很满意但是店里没这个尺码
东***娃,颜色分类:66 蓝色;尺寸:165/72A,2020-11-05 21:24:48,买的号小了，留着夏天穿吧
l***7,颜色分类:66 蓝色;尺寸:155/62A,2020-11-05 19:32:29,弹性好！价格实惠，想趁优惠囤几条，可惜没码了！
t***7,颜色分类:69 藏青色;尺寸:150/56A,2020-11-05 18:41:39,价格便宜
