displayUserNick,auctionSku,rateDate,rateContent
石***2,颜色分类:68 深蓝色;尺寸:160/66A/M,2021-01-11 00:27:17,好
g***0,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-10-11 13:41:55,不错
桃***园,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-10-07 09:31:48,偏紧偏厚，版型上身效果好
烦***太,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-09-30 17:45:19,还行吧
l***8,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-09-28 11:07:06,非常满意
冯***油,颜色分类:61 水蓝色;尺寸:155/62A/S,2020-09-27 22:23:14,各个颜色都买了，喜欢
包***6,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-09-27 16:48:31,此用户没有填写评论!
落***y,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-09-27 08:35:06,穿起来很舒服，粗腿穿起来不显瘦，哭😭
7***羊,颜色分类:68 深蓝色;尺寸:155/62A/S,2020-09-26 22:09:32,无限回购的裤子！可惜今年一直没等到99的价格
7***1,颜色分类:61 水蓝色;尺寸:155/62A/S,2020-09-21 20:56:07,很好，软，有弹力
d***g,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-09-21 15:15:04,165 130正合适，穿着舒服
呵***9,颜色分类:68 深蓝色;尺寸:155/62A/S,2020-09-21 12:20:09,很舒服 特别软
z***8,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-09-19 23:34:31,n次回购，打底裤只买优衣库的
t***r,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-09-17 13:35:37,弹性很棒！120斤的妹子轻松穿，显瘦。
m***2,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-09-17 09:35:47,每个颜色都买了一条
t***9,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-09-16 13:09:55,一如既往的喜欢！
c***0,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-09-15 15:26:28,在实体店试过了，旗舰店有优惠，就在天猫上拍，跟实体店的一样，款式布料，正品。最近比较喜欢优衣库的衣服。
a***2,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-09-14 12:16:25,不错
q***1,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-09-13 17:32:36,同款第五条，不错👍
冯***锋,颜色分类:61 水蓝色;尺寸:155/62A/S,2020-09-13 12:42:52,很好👍
心***高,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-09-12 15:45:48,合身不错很显瘦
f***8,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-09-11 21:43:06,弹力很大，穿着舒适。
t***0,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-09-11 16:36:08,没有浅色的舒服，秋天深色显瘦，还可以
t***0,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-09-11 13:00:13,太好穿了，显瘦
r***i,颜色分类:61 水蓝色;尺寸:155/62A/S,2020-09-11 08:40:17,今年的第三条同款，非常好穿！
b***7,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-09-10 12:18:37,好
笨***2,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-09-09 17:18:09,非常好
d***e,颜色分类:61 水蓝色;尺寸:155/62A/S,2020-09-09 13:22:55,弹力很大，很舒服，矮个子的九分裤！
陈***1,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-09-08 20:04:58,试穿舒适，裤子有轻微脱色。
c***y,颜色分类:61 水蓝色;尺寸:160/70A/L,2020-09-08 17:24:07,一直穿的裤子，弹性大，很舒服，特价实惠。
梦***0,颜色分类:61 水蓝色;尺寸:155/62A/S,2020-09-08 14:56:15,不同体型穿不来效果肯定不一样 但是如实描述
s***0,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-09-07 10:37:56,裤子有弹力，穿着舒适，常年回购款。
z***2,颜色分类:61 水蓝色;尺寸:160/66A/M,2020-09-04 20:41:47,太满意了 质量好
x***0,颜色分类:61 水蓝色;尺寸:155/62A/S,2020-09-02 02:08:55,不错的可以的不错的可以的不错的可以的不错的不错的可以的不错的可以的不错的可以的不错的
宝***1,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-09-01 20:52:19,还可以，就是夏天穿有点厚
加***5,颜色分类:61 水蓝色;尺寸:165/78A/XL,2020-08-28 21:04:21,一级棒！！！
l***7,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-08-24 12:02:53,还可以
l***格,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-08-23 14:43:46,价格比实体店便宜
w***8,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-08-23 12:58:23,很好
钱***猪,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-08-22 23:04:21,最喜欢优衣库，一如既往的好穿
不***葱,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-08-22 20:56:46,东西还不错，不过我咋记着去年最低时候69还是59来着？买贵了。
小***0,颜色分类:68 深蓝色;尺寸:155/62A/S,2020-08-22 15:41:02,不错
泺***嘟,颜色分类:61 水蓝色;尺寸:160/66A/M,2020-08-21 00:32:24,真的特别垃圾，就穿了一次，洗了一次而已，我自己都不相信这质量，我也不是第一次买了，但是这起球速度我是头一次见大家自己看吧
t***3,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-08-20 21:28:15,优衣库铁粉一枚，裤子无敌好穿，特别喜欢！
v***1,颜色分类:61 水蓝色;尺寸:160/66A/M,2020-08-18 09:04:22,常年必备
c***a,颜色分类:68 深蓝色;尺寸:155/62A/S,2020-08-14 21:13:13,好好穿，舒服显瘦！
m***e,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-08-12 20:31:48,裤子很好穿，就是两边有真兜比较好，手机**股兜很容易丢
m***8,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-08-12 18:50:30,差评 服务太差比机器人还不知道变通
笨***蛙,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-08-11 21:51:04,除了褪色，其他都好
h***n,颜色分类:61 水蓝色;尺寸:160/66A/M,2020-08-11 21:02:19,质量很好，等到降价时买的，弹力很足～开心开心
杨***2,颜色分类:61 水蓝色;尺寸:160/66A/M,2020-08-09 10:32:07,已经买了好几次了，穿着非常舒服
阳***闻,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-08-08 21:32:34,好穿，合适！确实掉色！
扎***肃,颜色分类:68 深蓝色;尺寸:155/58A/XS,2020-08-08 11:54:37,1、质量非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。 2、收到货，第一时间拆包装，感觉质量还是比较好的，与卖家描述的还是一致的，非常满意，发货速度比较快，物流公司服务态度很好，运送速度很快，总的来说这次是很满意的一次购物，感谢卖家。
t***6,颜色分类:68 深蓝色;尺寸:155/62A/S,2020-08-06 19:30:00,还可以，裤腿可以再紧一点。还没洗过，很害怕掉色&hellip;&hellip;总体来说不错，这个价格很划算～
丹***i,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-08-06 18:46:47,特别好
c***s,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-08-06 15:05:17,129买的
木***年,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-08-06 13:20:27,好
陌***y,颜色分类:63 天蓝色;尺寸:155/62A/S,2020-08-04 17:40:32,此用户没有填写评论!
l***h,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-08-02 20:58:02,门店收银台男生服务很差，爱搭不理的，因为不是店里直购！
x***3,颜色分类:61 水蓝色;尺寸:160/70A/L,2020-08-02 13:55:37,面料舒服，很好的打底裤
后***景,颜色分类:61 水蓝色;尺寸:155/62A/S,2020-08-02 10:08:51,弹力大，修身舒适。
d***n,颜色分类:61 水蓝色;尺寸:160/70A/L,2020-07-31 21:15:02,整体评价：好 尺码推荐：合适 厚薄度：适中 面料品质：舒服 上身效果：紧身贴身
利***斯,颜色分类:61 水蓝色;尺寸:160/66A/M,2020-07-31 12:58:43,实体店试的是天蓝色，穿着确实舒服。当时比较仓促没有买。于是就上旗舰店搜了一下，只有深蓝和水蓝了，深色的夏天有点热而且褪色可能会更严重，虽然更喜欢天蓝色，但只能选水蓝，上身效果要比天蓝显胖，夏天颜色淡一点也无所谓了。
小***r,颜色分类:61 水蓝色;尺寸:160/70A/L,2020-07-30 21:39:56,前两年棉的含量比现在要高 同一款裤子
立***3,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-07-29 15:40:02,整体评价：高弹舒适
林***g,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-07-28 19:25:40,不错哦~很喜欢
2***h,颜色分类:61 水蓝色;尺寸:155/58A/XS,2020-07-28 15:11:16,此用户没有填写评论!
2***h,颜色分类:63 天蓝色;尺寸:155/58A/XS,2020-07-28 15:11:16,此用户没有填写评论!
2***h,颜色分类:68 深蓝色;尺寸:155/58A/XS,2020-07-28 15:11:16,此用户没有填写评论!
舞***0,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-07-27 22:11:15,软，裤形很好，质量也不错，两个颜色都买了，特别好搭配
高***桑,颜色分类:68 深蓝色;尺寸:155/62A/S,2020-07-27 21:53:22,就是打底裤
x***8,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-07-27 18:46:56,喜欢，唯一不足就是褪色。
黄***u,颜色分类:61 水蓝色;尺寸:160/66A/M,2020-07-27 17:25:14,紧身包腿，洗了有点掉色
兔***1,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-07-27 14:11:12,料子可以，不过掉颜色
蔡***2,颜色分类:61 水蓝色;尺寸:155/62A/S,2020-07-27 11:03:07,裤子穿上超级舒服，面料也很软
g***6,颜色分类:61 水蓝色;尺寸:160/70A/L,2020-07-27 10:36:23,有弹力，穿着舒服
老***1,颜色分类:61 水蓝色;尺寸:165/78A/XL,2020-07-26 13:02:41,这次又买了两条，还是一如既往的好穿，舒服
老***1,颜色分类:63 天蓝色;尺寸:165/78A/XL,2020-07-26 12:59:48,优衣库的裤子还是值得购买的，质量很好，最主要是舒服，这款我三个颜色买齐了
s***诺,颜色分类:61 水蓝色;尺寸:155/62A/S,2020-07-26 10:12:51,第一次线下自提，很不错呦。裤子的品质还是很好的，上身效果好，且舒服！又买了一条白色。第一次线下自提，很不错呦。裤子的品质还是很好的，上身效果好，且舒服！又买了一条白色。第一次线下自提，很不错呦。裤子的品质还是很好的，上身效果好，且舒服！又买了一条白色。
t***5,颜色分类:63 天蓝色;尺寸:165/78A/XL,2020-07-24 01:13:42,弹力大，紧身款，每次洗都掉色，这是一个缺点把
徐***8,颜色分类:63 天蓝色;尺寸:160/66A/M,2020-07-21 15:36:24,好看，舒服
r***5,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-07-19 21:59:06,今年出差，盲买的，万一试了不合适将来就去闲鱼转掉吧。。。反正购物的快乐我已经收到了。
c***y,颜色分类:61 水蓝色;尺寸:165/78A/XL,2020-07-17 22:36:49,超级舒服，好看，显瘦！好评！
士***君,颜色分类:61 水蓝色;尺寸:160/70A/L,2020-07-17 19:27:44,超级无敌舒服的面料！买起来
一***8,颜色分类:61 水蓝色;尺寸:160/66A/M,2020-07-17 15:56:29,裤子很舒服，弹性很大，不过淡颜色确实比较显胖，
m***3,颜色分类:61 水蓝色;尺寸:165/78A/XL,2020-07-17 11:51:45,此用户没有填写评论!
米***7,颜色分类:63 天蓝色;尺寸:160/66A/M,2020-07-16 16:40:44,此用户没有填写评论!
l***4,颜色分类:63 天蓝色;尺寸:165/78A/XL,2020-07-16 10:13:08,便宜，好呀好呀好的好的
x***5,颜色分类:63 天蓝色;尺寸:160/66A/M,2020-07-16 08:47:12,满意，跟我实体店买的一样，都是m稍微偏小一点点，
w***9,颜色分类:63 天蓝色;尺寸:160/70A/L,2020-07-15 15:22:16,弹性好。没有口袋，松紧腰
春***城,颜色分类:61 水蓝色;尺寸:155/58A/XS,2020-07-15 11:52:44,挺薄的，适合夏天。柔软舒适，版型不错。
y***2,颜色分类:61 水蓝色;尺寸:160/70A/L,2020-07-14 23:30:12,7分裤穿成了9分裤
漫***源,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-07-14 22:19:34,面料品质：面料特别柔软 整体评价：聚划算比实体店便宜太多了，果断囤货 上身效果：料子很舒服，不修身
z***8,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-07-14 16:42:25,装着舒服，就是有点退色
张***1,颜色分类:61 水蓝色;尺寸:165/78A/XL,2020-07-13 23:25:40,颜色很漂亮，有弹力穿起来很舒服，也显瘦
岭***子,颜色分类:61 水蓝色;尺寸:160/70A/L,2020-07-13 23:02:25,挺长的呀！弹力十足！
岭***子,颜色分类:63 天蓝色;尺寸:160/70A/L,2020-07-13 23:02:25,不错！打底很舒服！
t***5,颜色分类:63 天蓝色;尺寸:160/66A/M,2020-07-13 15:31:23,还可以，弹力很好，但是穿着真的很贴身，以至于私密部位形状都完全勒出来了，真的还是挺尴尬的，额（︶︿︶）
小***虾,颜色分类:63 天蓝色;尺寸:160/66A/M,2020-07-13 10:27:38,面料很舒服，比较软和。
天***5,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-07-12 15:20:44,裤子版型很好。
七***路,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-07-12 13:23:53,没想象的舒服，买了两条，一条有点瑕疵，懒得退了
a***9,颜色分类:61 水蓝色;尺寸:160/70A/L,2020-07-12 11:01:08,超舒服
猫***3,颜色分类:63 天蓝色;尺寸:165/78A/XL,2020-07-12 08:53:53,裤子版型很好，尺码标准，穿着舒服，就是有点掉色，这一点缺陷解决了就更完美了。
t***荷,颜色分类:63 天蓝色;尺寸:160/70A/L,2020-07-11 16:52:18,面料薄透气 舒适感好
海***姐,颜色分类:68 深蓝色;尺寸:155/62A/S,2020-07-11 14:36:45,裤子穿着很舒服，样子也好看，身高156，穿着就差不多是九分裤
n***n,颜色分类:61 水蓝色;尺寸:160/70A/L,2020-07-11 13:28:06,厚薄度：薄款的，面料不是很结实。不过适合夏天穿。
葛***6,颜色分类:63 天蓝色;尺寸:165/78A/XL,2020-07-11 07:54:54,超级舒适，差不多是八分裤吧！夏天穿也不会热，行动很方便，蛮修饰腿型的，值得入手！
甜***一,颜色分类:61 水蓝色;尺寸:160/70A/L,2020-07-10 12:45:00,前后同时拍了两条L码，但两条L码大小不一样。
s***i,颜色分类:63 天蓝色;尺寸:160/66A/M,2020-07-10 11:52:57,129买的，几年前买过一条现在回购，因为穿着真的很舒服 买了深色和浅色，浅色显胖退了只留了这个深色 身高158，体重95斤，M合适
妮***狗,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-07-10 10:14:29,舒服是舒服，太容易勾丝了。质量真的是一分价钱一分货了。
d***n,颜色分类:63 天蓝色;尺寸:160/66A/M,2020-07-10 01:31:21,舒服
阮***怡,颜色分类:63 天蓝色;尺寸:165/78A/XL,2020-07-09 23:48:30,买大了，裤子好穿的。
悦***6,颜色分类:63 天蓝色;尺寸:160/66A/M,2020-07-09 20:15:14,裤子穿着很舒服，又买了一条
刘***飞,颜色分类:61 水蓝色;尺寸:155/62A/S,2020-07-09 13:08:11,b
天***蛮,颜色分类:63 天蓝色;尺寸:160/66A/M,2020-07-09 10:30:36,在店里买了一条感觉很好穿，看到官网有活动，立马再来一条，穿着型特别好，我腿不直，但是穿起来不显，拯救我小短腿买裤难的问题哈哈哈
海***5,颜色分类:63 天蓝色;尺寸:165/78A/XL,2020-07-09 08:19:40,好穿，能再薄些就更好了
守***0,颜色分类:63 天蓝色;尺寸:165/78A/XL,2020-07-09 07:08:56,帮别人买的，应该不错，希望多做活动
乖***喔,颜色分类:63 天蓝色;尺寸:160/70A/L,2020-07-09 00:45:37,裤子给婆婆买的，婆婆穿着刚好，面料很好，优衣库的衣服真的挺好的，下次还会继续购买的 孩子的衣服属于多次回购了，老大也一直穿，很好很好
乖***喔,颜色分类:63 天蓝色;尺寸:160/70A/L,2020-07-09 00:42:39,这条裤子属于回购了，给婆婆买的，隔壁阿姨也喜欢，就买了两条，面料很柔软，很舒服，下次还会继续购买的
k***8,颜色分类:63 天蓝色;尺寸:165/78A/XL,2020-07-08 17:41:43,优衣库的忠粉
仙***薇,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-07-08 17:07:56,好穿
王***十,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-07-08 16:49:08,非常好的裤子，好久没有没有买到这么合适的裤型了。就是我想要的
r***s,颜色分类:63 天蓝色;尺寸:160/70A/L,2020-07-08 15:35:38,身高165，体重124，竟然这码也能塞得进～
y***j,颜色分类:61 水蓝色;尺寸:155/58A/XS,2020-07-08 14:32:12,气味有点多，洗了几遍还有
p***6,颜色分类:63 天蓝色;尺寸:160/70A/L,2020-07-08 13:51:37,160  50kg刚刚好，不松不紧，很舒服
l***w,颜色分类:61 水蓝色;尺寸:165/78A/XL,2020-07-08 12:00:36,适合打底穿
s***1,颜色分类:63 天蓝色;尺寸:160/70A/L,2020-07-08 07:36:15,身高160，体重110，L号的太合适了，轻薄柔软舒服有弹性，爱了。
w***a,颜色分类:63 天蓝色;尺寸:160/70A/L,2020-07-07 22:38:45,不错弹力很大舒服
洪***7,颜色分类:63 天蓝色;尺寸:165/78A/XL,2020-07-07 20:40:40,好评
t***0,颜色分类:63 天蓝色;尺寸:160/70A/L,2020-07-07 13:49:07,奈斯
1***泪,颜色分类:63 天蓝色;尺寸:165/78A/XL,2020-07-07 07:49:35,妈妈说好穿
p***o,颜色分类:63 天蓝色;尺寸:160/66A/M,2020-07-06 23:05:06,好评
甜***一,颜色分类:63 天蓝色;尺寸:160/70A/L,2020-07-06 20:48:32,不错
敏***u,颜色分类:61 水蓝色;尺寸:160/70A/L,2020-07-06 20:18:54,大小适合，弹性大，面料颜色一般。
l***1,颜色分类:61 水蓝色;尺寸:165/78A/XL,2020-07-06 18:50:08,167...66Kg穿㐅l正合适，布料柔软，有弹性，穿着舒服，3个颜色各买了一条。
s***i,颜色分类:61 水蓝色;尺寸:165/78A/XL,2020-07-06 13:42:33,还可以
l***1,颜色分类:63 天蓝色;尺寸:165/78A/XL,2020-07-06 08:56:01,这款裤子三个颜色都买了，穿着舒服，柔软，弹性大，值得购买。
润***贝,颜色分类:61 水蓝色;尺寸:160/70A/L,2020-07-05 18:43:18,好看，穿着舒服！好评
齐***3,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-07-05 18:35:42,不错
5***0,颜色分类:63 天蓝色;尺寸:165/78A/XL,2020-07-05 09:26:41,厚薄度：超级舒服的面料 给妈妈买的 弹性也大 等秋天给给自己入手一条黑色
逸***朵,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-07-05 01:18:31,颜色绝了，弹性相当好，版型也好，穿着很舒服，性价比超高，略微有掉色，谨慎搭配避免染色
z***3,颜色分类:63 天蓝色;尺寸:160/70A/L,2020-07-04 22:35:35,趁着活动赶紧又回购了一条！我妈爱上这条裤子了！弹性超级大
闲***子,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-07-04 19:02:56,顺丰快递真是快，昨天拍今天就到了，裤子挺好就是掉色，虽然看了评价说掉色，也挡不住要买的心，希望穿的时候不要染到衣服上就好了
l***y,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-07-04 14:48:34,很好的
y***g,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-07-04 11:39:42,版型很好，略微有点厚，空调房正好，显瘦 162 134斤L码很合适
淡***淀,颜色分类:61 水蓝色;尺寸:160/66A/M,2020-07-04 08:47:20,喜欢
m***5,颜色分类:61 水蓝色;尺寸:160/70A/L,2020-07-03 16:01:47,这个颜色不好，大小合适，穿着也舒服
m***s,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-07-03 06:24:42,还挺喜欢的
小***乐,颜色分类:61 水蓝色;尺寸:160/70A/L,2020-07-03 00:05:33,看评论这玩意真有用，按大家推荐的尺码买的腰围刚好，很舒服的面料。
h***3,颜色分类:61 水蓝色;尺寸:160/70A/L,2020-07-02 21:26:16,618买的，129入手，穿了优衣库的裤子好几年了，一直很喜欢，十分舒服，不紧绷，唯一不太好的就是稍微有点掉色&hellip;给大家参考下162高，60kg😂😂选的L
r***q,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-07-01 15:40:55,码数很合适，妈妈很喜欢
随***者,颜色分类:61 水蓝色;尺寸:160/70A/L,2020-07-01 10:18:40,很好很舒服。
t***1,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-06-30 22:34:08,合适，实惠
大***9,颜色分类:61 水蓝色;尺寸:155/62A/S,2020-06-30 20:34:58,好
妖***晴,颜色分类:61 水蓝色;尺寸:160/70A/L,2020-06-30 15:17:40,裤子很好看，也挺舒适的，卖家很好，快递也很好。
陈***4,颜色分类:63 天蓝色;尺寸:165/78A/XL,2020-06-30 14:44:26,穿着舒适，如果颜色再深一点就好了
j***t,颜色分类:63 天蓝色;尺寸:165/78A/XL,2020-06-30 13:43:08,活动期间购买，前面已经买了两条，这条备货，夏季还是浅一点的好，今年上的新款，由于这次还买了门店没货的商品，只能选择仓库发货，老实说收到的货明显没有门店自提选择的结实，感觉布料编织的不紧实，很容易就能磨坏的感觉，其它都还好。
l***1,颜色分类:63 天蓝色;尺寸:165/78A/XL,2020-06-30 11:17:31,好评
l***5,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-06-30 11:08:08,给婆婆买的，身高160、体重110，穿这个号刚好，九分长度，面料柔软舒适。之前的都穿坏了，会回购的裤子。就是今生今世说就是今生今世时间难上加难基督教的计算机界及顶焦度计
t***2,颜色分类:61 水蓝色;尺寸:155/62A/S,2020-06-30 08:44:39,裤子挺好的 特别的显身材 618活动力度挺大的 129买到的 和实体店一样
邝***英,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-06-29 20:11:40,实体店99元
卉***5,颜色分类:61 水蓝色;尺寸:155/62A/S,2020-06-29 16:12:54,这裤子特别舒服 又买了一条一摸一样的
某***5,颜色分类:61 水蓝色;尺寸:160/70A/L,2020-06-29 16:05:35,此用户没有填写评论!
x***6,颜色分类:61 水蓝色;尺寸:165/78A/XL,2020-06-29 14:57:32,实体店试了来买的，能有九分裤就好了。夏天穿也不热，弹性十足
瓜***4,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-06-29 11:37:20,除了会掉色不好，其他都很好！
n***8,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-06-29 05:56:21,舒适透气，弹性很好。
5***u,颜色分类:63 天蓝色;尺寸:160/66A/M,2020-06-28 22:28:36,此用户没有填写评论!
一***9,颜色分类:61 水蓝色;尺寸:160/66A/M,2020-06-28 16:29:31,155.92斤，不显瘦也不显胖，布料舒服弹力大。
一***9,颜色分类:63 天蓝色;尺寸:160/66A/M,2020-06-28 16:29:31,155.92斤，不显瘦也不显胖，布料舒服弹力大。
双***鲤,颜色分类:63 天蓝色;尺寸:155/62A/S,2020-06-28 14:32:42,面料穿着很舒服。弹力大，上身效果好。
c***k,颜色分类:63 天蓝色;尺寸:160/70A/L,2020-06-28 14:30:32,还没穿，基本款。薄款夏天穿凉快点。
幽***8,颜色分类:61 水蓝色;尺寸:160/70A/L,2020-06-28 12:34:13,非常舒服，好搭配
小***炸,颜色分类:63 天蓝色;尺寸:160/66A/M,2020-06-28 12:12:35,还可以，给妈妈买的
r***2,颜色分类:63 天蓝色;尺寸:165/78A/XL,2020-06-28 11:22:34,网购了这么多年，穿了优衣库这么多年，这次经历真让我大开眼界。收到优衣库官方旗舰店发的快递，竟然往外滴答水。我就纳闷，买的裤子，怎么会有水，打开发现裤子全都是湿的，湿到挂在那水都能滴下来的那种，有照片为证。第一时间联系客服，仿佛是对空气打字一样，完全没有回应。中午发的信息，晚上九点多客服回信息，发的也是答不对题。优衣库是经营困难，雇不起员工了吗？还是从美国请的客服，和国内有时差且看不懂中文。顺手搜了一下知乎和百度，网上有不少吐槽旗舰店客服服务态度差的，就这服务，还要客服有啥用。因为裤子来的时候已湿透，标签都泡烂了（忘记拍个照取证了），也没法试穿，只能等到晾干，两条裤子一个码，这条紧，面对没有有效客服的店，估计退换又是一顿扯皮，凑合着穿。不是疫情，实在要买优衣库的话，还是去门店能靠谱一些。本来可能一句解释和道歉的话就能解决的问题，这样一来给人极差的购物体验，不知道管理部门是否觉得划算。
y***1,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-06-27 23:00:49,裤型不错 穿上刚刚好
