displayUserNick,auctionSku,rateDate,rateContent
笑***光,颜色分类:63 天蓝色;尺寸:150/56A,2021-02-26 22:47:55,非常喜欢
妖***丢,颜色分类:67 海蓝色;尺寸:160/64A,2020-09-11 23:15:13,刷了好几天终于在某天清晨刷到，很软很好穿，买小一号正好！真是太超值了
t***3,颜色分类:63 天蓝色;尺寸:150/58A,2020-09-10 20:18:08,还挺好的裤子，就是有一股子味道，我妈说我又买了条烂裤子，希望它烂得慢一点。
我***潘,颜色分类:63 天蓝色;尺寸:160/68A,2020-09-09 11:45:36,非常满意！颜色版型都很喜欢，尺码确实偏大，可是是打算秋冬季套在打底裤外面穿的，所以大点也无妨！
t***2,颜色分类:63 天蓝色;尺寸:160/70A,2020-09-09 09:21:04,尺码偏大
彭***约,颜色分类:63 天蓝色;尺寸:155/62A,2020-09-08 22:40:56,挺好。
涩***蓝,颜色分类:67 海蓝色;尺寸:155/62A,2020-09-08 16:21:45,169.53kg，拍的同款白色正合适，蓝色的没试直接洗了，结果悲剧了，蓝色比白色大好多
夜***9,颜色分类:63 天蓝色;尺寸:160/70A,2020-09-08 15:53:45,还可以，裤腿太肥了
s***a,颜色分类:63 天蓝色;尺寸:160/64A,2020-09-08 15:02:09,喜欢，刚刚好
r***p,颜色分类:63 天蓝色;尺寸:165/72A,2020-09-07 14:32:57,大得没边了&hellip;&hellip;洗了 没法换了
梵***多,颜色分类:63 天蓝色;尺寸:160/70A,2020-09-06 12:04:11,质量不用担心，裤子尺码合身。我比较胖，157，63kg。遗传原因，腹部脂肪多，所以看上去不怎么好看。哈哈。裤子舒服就够了。
夏***边,颜色分类:63 天蓝色;尺寸:160/68A,2020-09-05 09:53:42,号码确实很大。宽松舒适。款式还行
a***5,颜色分类:63 天蓝色;尺寸:150/58A,2020-09-03 22:08:42,确实偏大一码
t***3,颜色分类:63 天蓝色;尺寸:150/56A,2020-09-02 23:09:05,厚薄适中 优秀的牛仔裤，性价比很高！
浮***静,颜色分类:63 天蓝色;尺寸:150/54A,2020-09-02 12:15:06,经常网购，总有大量的包裹收，有很多的评语要写！ 但是，总是写评语花掉了我大量的时间和精力！ 所以在一段时间里，我总是不去评价或者随便写写！ 但是，我又总是觉得好像有点对不住那些辛苦工作的卖家客服、仓管、老板。 于是我写下了一小段话，给我觉得能拿到我五星好评的卖家的宝贝评价里面以示感谢和尊敬！ 宝贝是性价比很高的，我每次都会先试用再评价的，虽然宝贝不一定是最好的，但在同等的价位里面绝对是表现最棒的。 （以上全属凑字数，更换了一次裤子确实腰大了，我166、47现在这码子刚好，不紧）
x***g,颜色分类:63 天蓝色;尺寸:160/68A,2020-09-02 08:37:56,优家的衣服是真的舒服。推荐！
t***5,颜色分类:63 天蓝色;尺寸:155/62A,2020-09-02 00:58:47,提前看了评论的我机智的买了155的 尽管一般买裤子我都买165的 回来试穿发现刚刚好 夸夸自己简直太优秀了哈哈哈哈
新***5,颜色分类:63 天蓝色;尺寸:160/66A,2020-09-01 17:38:37,后悔没听评价的，确实越穿越大&hellip;&hellip;
上***9,颜色分类:63 天蓝色;尺寸:155/62A,2020-09-01 00:31:49,实体店试了几次，质量挺好的。穿起来也很舒服。
y***文,颜色分类:63 天蓝色;尺寸:160/68A,2020-08-31 15:51:42,此用户没有填写评论!
s***8,颜色分类:67 海蓝色;尺寸:150/56A,2020-08-31 14:22:39,面料品质：这件衣服真不值当这价格！好歹还是长期做衣服的品牌！洗好几次了掉色先不说，关键掉好多小毛毛，所有衣服上都粘得满满的！无语！
h***3,颜色分类:63 天蓝色;尺寸:165/72A,2020-08-31 14:02:58,很好
t***6,颜色分类:63 天蓝色;尺寸:155/62A,2020-08-31 11:25:42,这款是真的偏大换小了一码然后很合适 颜色很好看料子很舒服 就是版型没高腰的好看吧
t***5,颜色分类:00 白色;尺寸:150/56A,2020-08-29 23:43:33,这是一个好评模版，不要看了下面都是废话。因为本姑娘很懒不想每个宝贝都写好评 所以才模仿网友的  好评模版  但是这个宝贝不管是质量 款式还是性价比 都是本姑娘喜欢的  如果是不喜欢的那本姑娘就会很生气 然后这个模版就变成了各种喋喋不休的吐槽  自然就不会撒下这个好评给各位淘友一个参考  本宝贝还是极好的
爱***3,颜色分类:63 天蓝色;尺寸:150/58A,2020-08-28 21:02:03,身高165，100斤，腰围宽松点，也算合适！
t***e,颜色分类:67 海蓝色;尺寸:160/70A,2020-08-28 16:58:10,尺码偏大，总体还不错，好评
井***a,颜色分类:63 天蓝色;尺寸:160/66A,2020-08-28 15:16:38,好看，
n***g,颜色分类:00 白色;尺寸:150/56A,2020-08-28 13:49:07,整体评价：退了，裤腿太长，显得腿短。质量可以，弹性挺大的，大家别买大了。
8***m,颜色分类:63 天蓝色;尺寸:150/58A,2020-08-28 11:59:11,价格实在是太友好了 穿上身好舒服 就是他家裤子我码数越买越小
拾***妹,颜色分类:67 海蓝色;尺寸:150/56A,2020-08-28 07:09:09,（155/52）开始忐忑的下了条58A，试穿有点松，怕后面越穿越大，追加了同色56A还有白色56A，试了能穿肚子那有点紧，最后还是留了这条，过水第一次穿时有点太包身，过了几天再穿又不会了😂，很舒适，我想我一定是瘦了☺️ 白色的到货看着脏兮兮的，而且感觉很厚，比这个色还厚一些，放弃了
胖***8,颜色分类:63 天蓝色;尺寸:160/70A,2020-08-28 00:46:55,160，66Kg，肚子大，平时XL，这个码刚刚合适，这家的裤子都比平时小一码，比绿色的宽松一点更舒适
芈***九,颜色分类:63 天蓝色;尺寸:150/54A,2020-08-27 12:25:06,173/55，体脂率大概10左右，穿这个码正好，供参考
h***0,颜色分类:00 白色;尺寸:155/62A,2020-08-26 19:13:05,值得购买，料子有弹性。裤型满意。
s***0,颜色分类:63 天蓝色;尺寸:160/68A,2020-08-26 17:37:56,喜欢
s***0,颜色分类:67 海蓝色;尺寸:160/68A,2020-08-26 17:37:56,喜欢
j***e,颜色分类:63 天蓝色;尺寸:155/62A,2020-08-26 16:32:04,挺好的
斯***安,颜色分类:63 天蓝色;尺寸:150/58A,2020-08-26 13:59:14,物流很快，牛仔裤很软，穿着舒服
a***6,颜色分类:67 海蓝色;尺寸:155/62A,2020-08-25 13:26:09,一般28的裤子，这个尺码正合适。
罗***儿,颜色分类:63 天蓝色;尺寸:160/68A,2020-08-25 12:24:02,好软呀！希望耐穿
凤***7,颜色分类:63 天蓝色;尺寸:160/68A,2020-08-25 12:14:37,高1.55米，重120斤，这个码刚好，想宽松点就再大一个码也可以
1***娟,颜色分类:63 天蓝色;尺寸:155/62A,2020-08-25 10:55:33,此用户没有填写评论!
等***8,颜色分类:67 海蓝色;尺寸:155/62A,2020-08-24 16:46:08,暴力快递，拆我快递！撕开后使用顺丰胶带封的口，客服处理太失望 一句道歉没有讲
云***2,颜色分类:67 海蓝色;尺寸:150/56A,2020-08-24 13:11:04,裤子布料柔软，穿着舒适，就是裤腿稍大了一些，总体还是满意的，尺码偏大，要比平时买的尺码偏大两个码，想买的亲们注意一下。
大***e,颜色分类:67 海蓝色;尺寸:155/62A,2020-08-24 12:25:43,身高168体重100，穿着稍微有点大，但是小的没号了宽松点穿着吧，去年买的白色很好穿
下***2,颜色分类:67 海蓝色;尺寸:160/68A,2020-08-23 15:44:50,尺码推荐：尺码很正
壶***叶,颜色分类:67 海蓝色;尺寸:150/58A,2020-08-23 07:35:22,屁屁和腿都胖的人。155，44公斤。看评论说偏大了要买小一码，于是买了150/58A。结果腰还是松了，得配腰带才行（用软尺量了自己腰大约是68-70取了上限所以买的58A）。 不配腰带也不会掉，就是松。然后有个问题，有时候，偶尔，会觉得裤子有点卡档? 是裤子版型问题?还是因为没洗过布料太硬的问题?还是说不大适合屁股肉多的人的问题?不清楚。等多穿几次多洗几次看看吧
z***1,颜色分类:63 天蓝色;尺寸:155/62A,2020-08-22 22:42:33,当真不好看，大腿位置裤型外扩，显腿粗，屁股大，不喜欢。懒得退而已。
z***欣,颜色分类:67 海蓝色;尺寸:150/58A,2020-08-22 16:38:13,还不错
小***淇,颜色分类:63 天蓝色;尺寸:155/62A,2020-08-21 23:51:37,个人觉得版型一般
牧***茫,颜色分类:63 天蓝色;尺寸:160/66A,2020-08-21 20:38:08,挺好看的，好搭配，160，53kg，这个码正好
m***6,颜色分类:67 海蓝色;尺寸:160/64A,2020-08-21 18:31:02,尺码推荐：身高173体重60腰围73穿着个码正合适 上身效果：穿着很显瘦，很好的把大腿肉遮住了
末***l,颜色分类:67 海蓝色;尺寸:150/56A,2020-08-20 22:36:13,便宜买的 还挺划算 上身还行吧 但最近降温一直没来得及穿呢便宜买的 还挺划算 上身还行吧 但最近降温一直没来得及穿呢便宜买的 还挺划算 上身还行吧 但最近降温一直没来得及穿呢便宜买的 还挺划算 上身还行吧 但最近降温一直没来得及穿呢
t***j,颜色分类:67 海蓝色;尺寸:155/62A,2020-08-20 18:42:14,168/106 肚脐眼处的腰围80 这个码刚好合适，就是本人胯有点宽，洗完有点点缩水往上提稍费点力，包裹的很好，卷边放下来就不短了。另外有点色差，实物颜色偏深，蓝黑色
t***2,颜色分类:67 海蓝色;尺寸:160/64A,2020-08-20 18:13:23,好看，不会尴尬，长度很合适，也很柔软，颜色也好看，就是平常的号有点点大，但是也可以穿，舒服！
阳***2,颜色分类:67 海蓝色;尺寸:150/58A,2020-08-20 12:51:17,舒适，不硬
v***资,颜色分类:63 天蓝色;尺寸:155/62A,2020-08-20 07:12:18,舒适
p***c,颜色分类:63 天蓝色;尺寸:160/64A,2020-08-20 07:02:47,厚薄度：薄，适合夏天 面料品质：软 尺码推荐：偏大，至少买小2个号 整体评价：比较好
冒***米,颜色分类:63 天蓝色;尺寸:150/54A,2020-08-19 20:23:31,上身效果：合适 厚薄度：中度 面料品质：较柔软 尺码推荐：比常规的偏大
看***华,颜色分类:63 天蓝色;尺寸:155/62A,2020-08-19 18:24:22,本人165，105，这个尺码正好
刘***0,颜色分类:63 天蓝色;尺寸:160/66A,2020-08-19 13:18:39,165，128斤，正好吧，穿上效果一般，料子软，舒服
浓***迷,颜色分类:63 天蓝色;尺寸:160/66A,2020-08-19 10:14:31,优衣库的售后服务很好，尺寸不对，退款及时，以后就在你家买衣服了
月***馆,颜色分类:67 海蓝色;尺寸:160/68A,2020-08-18 19:42:26,166/60kg，版型真好，差点让我以为自己不胖，错觉啊错觉
a***1,颜色分类:63 天蓝色;尺寸:160/64A,2020-08-18 19:15:24,尺码推荐：偏大好多
t***s,颜色分类:00 白色;尺寸:150/58A,2020-08-18 17:07:35,腰比较宽松，夏天的衣服宽松点舒服
馒***3,颜色分类:67 海蓝色;尺寸:160/70A,2020-08-18 16:59:35,挺好的
天***3,颜色分类:63 天蓝色;尺寸:150/56A,2020-08-18 16:27:11,优衣库的面料我一直觉得很好，不过就是裤子还是有点大，将就穿啦，也不想腰围那里太小了。可能还是我太瘦了吧哈哈哈哈 ～
t***2,颜色分类:00 白色;尺寸:155/62A,2020-08-18 13:54:25,完美
奔***位,颜色分类:63 天蓝色;尺寸:160/64A,2020-08-18 09:44:26,面料舒服，穿了几天腰围变大好多
c***h,颜色分类:67 海蓝色;尺寸:150/58A,2020-08-18 06:22:21,看了评论特意买小两码，果然正好，面料很舒服
0***n,颜色分类:67 海蓝色;尺寸:160/70A,2020-08-17 23:32:14,还可以
h***p,颜色分类:67 海蓝色;尺寸:160/70A,2020-08-17 20:05:38,好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好
乖***花,颜色分类:63 天蓝色;尺寸:160/66A,2020-08-17 19:07:57,很好看
j***e,颜色分类:67 海蓝色;尺寸:155/62A,2020-08-17 12:56:23,号大，肥了一些。但是抢到就是赚到。
那***洋,颜色分类:63 天蓝色;尺寸:155/62A,2020-08-17 11:38:51,天啊。。。居然是中腰，怪自己没有看清楚，不好看。。。不fashion......
紫***懿,颜色分类:63 天蓝色;尺寸:160/70A,2020-08-17 10:02:10,挺好的，很喜欢
雍***会,颜色分类:67 海蓝色;尺寸:155/62A,2020-08-17 08:18:32,前几天收到，试穿了一下偏大，尝试换小一号，可能是尾货处理，号码不全只能退货再重拍，看了下决定留下，昨天锻炼身体穿过了，面料不紧绷有弹性，不错大爱嘎。
冒***米,颜色分类:67 海蓝色;尺寸:150/58A,2020-08-16 20:00:03,还是偏大，不换了，差不多也能穿穿了。
c***c,颜色分类:67 海蓝色;尺寸:150/58A,2020-08-16 19:37:08,还挺好看的 下水会浮色 折起来会好看点
迷***4,颜色分类:67 海蓝色;尺寸:160/66A,2020-08-16 12:57:24,不错，号大，需要买小点
叶***1,颜色分类:63 天蓝色;尺寸:160/64A,2020-08-16 11:53:43,偏大哦
玻***g,颜色分类:00 白色;尺寸:160/70A,2020-08-16 08:40:02,尺码偏大，非常舒服😌
曼***7,颜色分类:00 白色;尺寸:160/70A,2020-08-15 18:45:18,很好。很不错。。。。
抹***冰,颜色分类:67 海蓝色;尺寸:150/58A,2020-08-15 15:47:06,舒适度挺好的，样子也好看，码子偏小一码，性价比不错
陈***1,颜色分类:67 海蓝色;尺寸:160/68A,2020-08-15 15:42:10,好
陈***1,颜色分类:67 海蓝色;尺寸:160/66A,2020-08-15 15:41:45,好
农***精,颜色分类:63 天蓝色;尺寸:150/54A,2020-08-15 12:31:13,很少评价 这次真的太满意了 天蓝色 姐妹们 一定要买它
恶***9,颜色分类:63 天蓝色;尺寸:160/64A,2020-08-15 09:35:46,此用户没有填写评论!
w***2,颜色分类:67 海蓝色;尺寸:160/66A,2020-08-15 05:28:38,越穿越大，越来越松，本来尺码就不准，我从165换到160，68，又换到160，64，没想到还是大了，懒得退就留下了，没想到越来越松，也就越来越大了，唉😔
虫***6,颜色分类:63 天蓝色;尺寸:155/62A,2020-08-15 01:09:38,可以，尺码偏大一码，一般穿中码的，这条买小码就够啦，160.100，版型不错
k***3,颜色分类:63 天蓝色;尺寸:160/68A,2020-08-14 22:33:38,实体店没见到这款，也没法试尺寸，尺码比其他短裤偏大不少。
陈***1,颜色分类:63 天蓝色;尺寸:160/66A,2020-08-14 20:20:25,好
陈***1,颜色分类:63 天蓝色;尺寸:160/64A,2020-08-14 20:20:25,好
花***5,颜色分类:00 白色;尺寸:150/56A,2020-08-14 18:12:03,第一次在实体店试的，但是店里没有小码，后来在网店发现有小码而且便宜50块钱。这款裤子码比较大，1米6，90斤，买了150/56的正合适，款式很好看，质量也很好。唯一想吐槽的是客服。
s***5,颜色分类:63 天蓝色;尺寸:160/68A,2020-08-14 14:50:37,还不错，纯棉的，刚洗会有浮色掉，就是毛毛边老得剪，距离变成三角裤不太远😂
i***仰,颜色分类:63 天蓝色;尺寸:150/58A,2020-08-14 12:23:52,要买小一号
上***配,颜色分类:63 天蓝色;尺寸:150/56A,2020-08-14 12:15:41,一直在优衣库买买买买买买买买买买买买买买买买买买买 穿着还不错 比较舒服 好好好好好 谢谢谢谢谢谢
郑***1,颜色分类:67 海蓝色;尺寸:160/70A,2020-08-13 17:52:29,裤子挺好的，就是买大了
呆***芋,颜色分类:67 海蓝色;尺寸:160/70A,2020-08-13 17:43:44,优衣库的粉，我和老公还有闺蜜都喜欢穿优衣库，舒服，款式简单大方，性价比也高，妥妥滴安排。
z***贝,颜色分类:00 白色;尺寸:155/62A,2020-08-12 22:30:10,没有弹力
t***9,颜色分类:63 天蓝色;尺寸:155/62A,2020-08-12 21:09:05,买大了。。。。。。。害 你们一定要记得往小里买
铃***汤,颜色分类:00 白色;尺寸:150/56A,2020-08-12 17:15:25,很好
蝶***4,颜色分类:63 天蓝色;尺寸:160/66A,2020-08-12 16:55:32,好
郁***宝,颜色分类:67 海蓝色;尺寸:160/68A,2020-08-12 13:28:31,160/120，68舒适不贴身
萍***9,颜色分类:00 白色;尺寸:155/62A,2020-08-12 12:44:45,第一次在网上买，买回来天就凉凉了，还没机会穿，优衣库都是比较简单大方的款式
谭***宝,颜色分类:00 白色;尺寸:160/64A,2020-08-12 11:43:29,好看！！！舒服！！！
t***7,颜色分类:00 白色;尺寸:155/62A,2020-08-12 10:30:38,裤子腰围穿上还有点大，裤腿也宽松，懒得退换货了，去实体店也没有码，凑合穿吧，另外一款都是买的这个码数，穿上刚好合适，，，，裤子腰围穿上还有点大，裤腿也宽松，懒得退换货了，去实体店也没有码，凑合穿吧，另外一款都是买的这个码数，穿上刚好合适，，，，
e***p,颜色分类:67 海蓝色;尺寸:160/64A,2020-08-12 06:18:25,腰围大了，其它还行
暗***6,颜色分类:63 天蓝色;尺寸:150/58A,2020-08-11 23:34:32,整体较好。只是腰围和臀围尺寸不太协调，腰松臀紧，将就穿。
y***6,颜色分类:00 白色;尺寸:150/56A,2020-08-11 19:56:01,物流很快，质感很好，很漂亮，很喜欢
雅***欢,颜色分类:67 海蓝色;尺寸:155/62A,2020-08-11 19:29:05,深蓝色的。是挺大的。下水洗了，有点褪色。牛仔特性。正常吧。好穿。满意的
8***花,颜色分类:67 海蓝色;尺寸:155/62A,2020-08-11 16:33:48,腰围大了、一般般
c***4,颜色分类:63 天蓝色;尺寸:160/68A,2020-08-11 15:44:39,163，138斤穿着合适
w***n,颜色分类:63 天蓝色;尺寸:160/70A,2020-08-11 14:18:12,挺好，挺舒服
习***陌,颜色分类:00 白色;尺寸:155/62A,2020-08-11 14:00:25,好 优衣库的裤子常年需要
伊***h,颜色分类:63 天蓝色;尺寸:150/58A,2020-08-11 12:35:42,颜色挺好的，款式也比较百搭
1***8,颜色分类:67 海蓝色;尺寸:155/62A,2020-08-11 09:23:11,太骗人了，发货在深圳，退货要退江苏那边
蓝***1,颜色分类:67 海蓝色;尺寸:155/62A,2020-08-11 00:40:54,160 110合身，有弹性
t***0,颜色分类:63 天蓝色;尺寸:165/72A,2020-08-10 20:53:38,很好！！很好！！很好！！很好！！很好！！很好！！很好！！很好！！很好！！很好！！很好！！很好！！很好！！很好！！很好！！很好！！很好！！很好！！很好！！很好！！很好！！很好！！很好！！很好！！很好！！
t***2,颜色分类:00 白色;尺寸:155/62A,2020-08-10 17:21:12,此用户没有填写评论!
t***2,颜色分类:67 海蓝色;尺寸:155/62A,2020-08-10 17:21:12,此用户没有填写评论!
两***7,颜色分类:67 海蓝色;尺寸:155/62A,2020-08-10 12:21:07,看评论说比平时小一码，到货正正好好，没有余份！感觉正常码拍是不是也行
刘***1,颜色分类:67 海蓝色;尺寸:160/68A,2020-08-10 09:29:41,码数太大了，
科***3,颜色分类:67 海蓝色;尺寸:155/62A,2020-08-09 22:32:02,很好，大小合适，前些日子在店里买了一条大了。现在网上便宜在买条。
开***7,颜色分类:63 天蓝色;尺寸:160/68A,2020-08-09 20:08:45,优衣库老顾客了，每年都买十件二十件的，质量好。
y***6,颜色分类:63 天蓝色;尺寸:155/62A,2020-08-09 16:36:08,160/100斤大小合适
e***y,颜色分类:67 海蓝色;尺寸:155/62A,2020-08-09 13:50:57,很好看 很洋气
金***8,颜色分类:67 海蓝色;尺寸:160/66A,2020-08-09 11:12:56,不错
蓝***3,颜色分类:67 海蓝色;尺寸:160/70A,2020-08-09 08:20:03,挺好看的，喜欢，，，
徐***亮,颜色分类:63 天蓝色;尺寸:165/72A,2020-08-08 17:37:16,尺码是真的大172  140斤穿着腰松很多
t***0,颜色分类:00 白色;尺寸:160/66A,2020-08-08 05:56:07,好
苹***6,颜色分类:00 白色;尺寸:160/68A,2020-08-08 01:10:37,版型好
邑***9,颜色分类:67 海蓝色;尺寸:160/66A,2020-08-07 23:06:08,此用户没有填写评论!
盈***y,颜色分类:63 天蓝色;尺寸:160/66A,2020-08-07 20:20:30,不错呀
苏***8,颜色分类:67 海蓝色;尺寸:155/62A,2020-08-07 17:31:45,很好，一直在这家买。
y***她,颜色分类:00 白色;尺寸:155/62A,2020-08-07 16:57:49,我168  105穿这个码  小姐姐可以参考一下   160的太大  150卡裆  胯宽有点紧  155正好  但是还是有点卡裆   但是回来裤子上有点脏   不要紧  懒得换了
要***涯,颜色分类:00 白色;尺寸:160/70A,2020-08-07 14:18:59,裤子很好，就是腰买大了&hellip;太难了
8***g,颜色分类:67 海蓝色;尺寸:155/62A,2020-08-07 11:36:26,还可以
红***芊,颜色分类:67 海蓝色;尺寸:160/64A,2020-08-07 10:51:47,165高114斤穿这个码合适！
东***天,颜色分类:00 白色;尺寸:150/58A,2020-08-07 09:25:42,比客服建议的码还要小 结果还是大了。已经拆了吊牌洗了 有人要可以转 就洗后试穿1次
r***洁,颜色分类:63 天蓝色;尺寸:160/70A,2020-08-07 01:18:59,有点买大了
百***希,颜色分类:63 天蓝色;尺寸:160/70A,2020-08-06 19:24:47,现在是胖子一个，但这件穿的下并且还算舒服，165高141斤屁股大腰围大，这个号码可以
j***a,颜色分类:63 天蓝色;尺寸:155/62A,2020-08-06 17:32:21,好评
l***4,颜色分类:67 海蓝色;尺寸:160/66A,2020-08-06 17:29:02,去店里找不到货网上下单，码数刚刚好
t***3,颜色分类:67 海蓝色;尺寸:155/62A,2020-08-06 15:13:35,完美！！腰细裤腿宽，适合腰细腿粗的人！！太棒了！很多牛仔裤都对这种身材的人不友好，这条太完美了。
刘***店,颜色分类:00 白色;尺寸:150/56A,2020-08-06 12:41:57,物美价廉 值得拥有
l***q,颜色分类:63 天蓝色;尺寸:150/58A,2020-08-06 10:57:28,尺码推荐：偏大两码，我160cm，98斤，这个买的150/58A，腰围还是有富余。 面料品质：面料还挺舒服 整体评价：总的来说挺满意的
