displayUserNick,auctionSku,rateDate,rateContent
m***m,颜色分类:09 黑色;尺寸:160/70A,2021-02-26 20:11:56,显瘦，适合秋冬穿
b***u,颜色分类:69 藏青色;尺寸:160/70A,2021-02-18 13:53:15,实体店买了黑色的 太喜欢高腰的了 立马又网上买 其他浅色担心会掉色 这个颜色更百搭些
m***g,颜色分类:69 藏青色;尺寸:165/74A,2021-02-18 12:50:32,刚拿到剪了吊牌就降价100块，不开心，一定要等到它打折再买，要不然太亏了，也不给退差价
木***h,颜色分类:09 黑色;尺寸:160/70A,2021-02-17 23:32:24,超喜欢优衣库这个裤子的设计，很适合腿不直但又想穿小脚裤的妹子们。167，57，这个码是在店里试过的非常合适。
w***i,颜色分类:68 深蓝色;尺寸:165/76A,2021-02-17 12:00:20,因为之前买的略大，但是很舒适。所以又入一条小一号的，满意！
l***r,颜色分类:09 黑色;尺寸:160/66A,2021-02-15 11:29:09,裤型不错 就是粘毛
w***7,颜色分类:69 藏青色;尺寸:155/62A,2021-02-14 15:54:37,超级棒，藏青色巨显瘦。OX腿型可以修饰。。。
e***l,颜色分类:69 藏青色;尺寸:160/66A,2021-02-13 08:25:01,裤型好，超显瘦。
红***飞,颜色分类:68 深蓝色;尺寸:165/76A,2021-02-12 10:46:11,裤型很好看，面料也柔软，穿着舒服，好评
明***7,颜色分类:09 黑色;尺寸:165/74A,2021-02-11 20:59:28,客服的服务与衣服的质量成反比
e***6,颜色分类:69 藏青色;尺寸:165/74A,2021-02-09 00:59:41,果然本短腿只适合九分裤，连裤脚都不用绞了😂
c***远,颜色分类:09 黑色;尺寸:160/64A,2021-02-08 12:17:33,很好
t***8,颜色分类:09 黑色;尺寸:160/70A,2021-02-05 22:21:34,非常好穿 质量好 回购
j***k,颜色分类:09 黑色;尺寸:160/66A,2021-02-04 11:47:23,穿久了裆部会有明显的褶皱，看着有点不舒服
a***a,颜色分类:69 藏青色;尺寸:155/62A,2021-01-31 12:04:56,料子有点硬，但是版型好
温***程,颜色分类:09 黑色;尺寸:155/62A,2021-01-30 17:08:52,裤型太好了，包裹性很好又不紧绷。
小***0,颜色分类:68 深蓝色;尺寸:160/68A,2021-01-30 14:11:57,质量好，穿着合体。
吧***y,颜色分类:09 黑色;尺寸:155/62A,2021-01-29 15:17:31,好评
z***8,颜色分类:68 深蓝色;尺寸:160/64A,2021-01-28 08:18:20,非常合身，上身舒服
j***5,颜色分类:09 黑色;尺寸:160/70A,2021-01-19 13:53:08,去年买的这个款式就很喜欢，终于蹲到新季了赶紧入了一条
娜***士,颜色分类:68 深蓝色;尺寸:160/66A,2021-01-18 01:39:09,裤子很好看，穿着挺舒服的
1***0,颜色分类:69 藏青色;尺寸:160/68A,2021-01-16 12:02:23,很好哦
t***6,颜色分类:09 黑色;尺寸:170/82A,2021-01-16 11:27:08,不错
可***7,颜色分类:68 深蓝色;尺寸:165/76A,2021-01-13 23:21:24,很好
可***7,颜色分类:69 藏青色;尺寸:165/74A,2021-01-13 23:21:14,很好
l***8,颜色分类:09 黑色;尺寸:175/86B,2021-01-10 01:14:28,入手了三条不同色的！
王***予,颜色分类:69 藏青色;尺寸:150/56A,2021-01-07 20:47:03,穿着修身舒服，实体店没这个码了，网店果断买了。
j***6,颜色分类:68 深蓝色;尺寸:165/76A,2021-01-06 14:17:05,宝贝非常满意！有需要再来。
霍***3,颜色分类:09 黑色;尺寸:170/82A,2021-01-03 10:58:15,显瘦
p***7,颜色分类:09 黑色;尺寸:155/62A,2021-01-02 17:29:42,之前买过一条藏蓝色，蛮好穿的，冬天来追加一条黑色搭配高筒靴
z***c,颜色分类:09 黑色;尺寸:170/82A,2021-01-01 12:14:42,挺好的
刀***定,颜色分类:07 青灰色;尺寸:160/66A,2020-12-30 15:55:26,不错，是比较紧身款的。
m***年,颜色分类:09 黑色;尺寸:165/76A,2020-12-30 11:22:32,158/63穿这个码差不多，腰会大一点，不过加条秋裤就合适了，不足的是黑色太容易粘毛了😂
g***y,颜色分类:68 深蓝色;尺寸:160/64A,2020-12-30 10:26:00,也太好了！快买！
c***2,颜色分类:09 黑色;尺寸:160/70A,2020-12-30 09:04:09,材质是亮面的。
l***8,颜色分类:69 藏青色;尺寸:175/86B,2020-12-29 13:32:36,今年看了好几个款式都是大腿裤，终于买到这种面料硬点的修身细裤腿的款式，爱了爱了
拙***3,颜色分类:69 藏青色;尺寸:160/70A,2020-12-28 23:05:12,囤货
嗅***4,颜色分类:68 深蓝色;尺寸:165/76A,2020-12-28 15:30:54,好评！
嗅***4,颜色分类:07 青灰色;尺寸:165/76A,2020-12-28 15:30:54,好评！
t***1,颜色分类:69 藏青色;尺寸:165/74A,2020-12-28 08:59:58,感觉和去年试穿的同款不一样，弹力很大比较薄，比较一般
发***人,颜色分类:07 青灰色;尺寸:170/82A,2020-12-27 21:13:52,裤子偏大了
我***9,颜色分类:09 黑色;尺寸:165/76A,2020-12-27 18:56:16,蛮好的，就是容易粘毛😂
t***6,颜色分类:69 藏青色;尺寸:175/86B,2020-12-26 22:17:22,腰太肥，其余都不错
q***0,颜色分类:07 青灰色;尺寸:160/70A,2020-12-26 14:42:00,差评！差评！发的是二手货，以次充好，完全没有售后！
w***i,颜色分类:68 深蓝色;尺寸:170/82A,2020-12-26 10:32:32,整体评价：满意。 尺码推荐：可以买小一码。我买的正常码，可以里面穿厚点的秋裤。 上身效果：显瘦。
熙***陌,颜色分类:68 深蓝色;尺寸:160/70A,2020-12-26 07:45:45,裤子很好   很喜欢
t***3,颜色分类:09 黑色;尺寸:165/74A,2020-12-26 00:03:48,162，58公斤，刚刚好
t***2,颜色分类:09 黑色;尺寸:175/90B,2020-12-25 20:43:12,洗了之后像旧裤子，有点硬
苏***7,颜色分类:09 黑色;尺寸:160/68A,2020-12-25 14:39:50,173 60kg 上身效果是合身略修身，布料比另一款柔软一点儿，可能因为含棉量稍高。还买了另一款的宝蓝色，车缝线是灰色的，不太喜欢就退了
r***颜,颜色分类:68 深蓝色;尺寸:165/76A,2020-12-25 13:15:34,不错，深蓝色比去年买的藏青色软
如***2,颜色分类:68 深蓝色;尺寸:150/56A,2020-12-25 10:47:01,裤子比较有型，高腰的也比较舒服，就是xs的对于小个子的我来说裤长太长了
t***1,颜色分类:09 黑色;尺寸:160/70A,2020-12-25 00:01:24,质量是没话说，只是腿粗星人还是要搭配好。膝盖那里会扯皱，也可以搭配靴子
r***0,颜色分类:68 深蓝色;尺寸:160/70A,2020-12-24 19:07:53,很舒服，回购
娇***水,颜色分类:09 黑色;尺寸:165/76A,2020-12-24 17:01:23,对我来说是必备神裤，特别显腿直，买了多少条了，每个色都有
e***9,颜色分类:07 青灰色;尺寸:160/64A,2020-12-24 15:40:40,裤子质量可以
h***g,颜色分类:07 青灰色;尺寸:170/82A,2020-12-24 14:25:04,穿着很舒服，特意买大了一码，冬天可以套厚点的裤子
z***8,颜色分类:09 黑色;尺寸:160/66A,2020-12-24 06:20:20,买回家好多款式，这款黑裤最显瘦，质量也好
m***e,颜色分类:07 青灰色;尺寸:160/66A,2020-12-23 18:15:05,优衣库的裤子不得不夸，看着不起眼，穿在身上真的能掩盖缺点
t***8,颜色分类:07 青灰色;尺寸:150/58A,2020-12-23 11:14:38,第二条了，今年特别喜欢牛仔裤，瘦腿的
l***2,颜色分类:69 藏青色;尺寸:160/70A,2020-12-23 11:05:15,这款感觉会掉色比较严重，因为吊牌都被染成蓝色的了。款式喜欢。
绿***3,颜色分类:09 黑色;尺寸:150/56A,2020-12-23 10:43:57,真正的高腰，不过我153cm穿150/56A裤长多出3cm，还挺舒服，也好看，买了两条，一条黑色一条宝蓝色
鑫***1,颜色分类:68 深蓝色;尺寸:155/62A,2020-12-23 10:34:31,穿起来很舒服，就是腰部能再高一点就更好了，优衣库的裤子很经穿。有一条最喜欢的穿了4年了。
p***柜,颜色分类:68 深蓝色;尺寸:160/66A,2020-12-22 19:37:54,尺码推荐：165/54 超级适合 厚薄度：微厚 适合秋冬  上身效果：好
彭***晖,颜色分类:69 藏青色;尺寸:150/58A,2020-12-22 14:30:13,很好还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错
张***雯,颜色分类:09 黑色;尺寸:160/70A,2020-12-22 13:18:17,整体评价：非常喜欢！9分小脚裤。显腿直！高腰保暖！图2、3是正常阳光下。纯黑色！唯一缺点：。粘毛严重。 尺码推荐：169、134斤。160/70A合适 厚薄度：偏厚，冬天穿正好！
f***1,颜色分类:68 深蓝色;尺寸:165/76A,2020-12-22 10:20:15,很好
i***c,颜色分类:07 青灰色;尺寸:160/68A,2020-12-22 09:58:21,很舒适
k***1,颜色分类:68 深蓝色;尺寸:160/64A,2020-12-21 18:07:50,特别合身，就像是量身打造的一样。
周***7,颜色分类:68 深蓝色;尺寸:160/66A,2020-12-21 17:37:27,很好很棒
b***8,颜色分类:09 黑色;尺寸:160/68A,2020-12-21 16:52:14,裤子很好差评，一分给物流，太过分
二***3,颜色分类:69 藏青色;尺寸:155/62A,2020-12-21 14:38:57,优衣库的牛仔裤🐮质感一如既往的好，稀饭稀饭，身高162体重100来给大家做个参考哦
w***g,颜色分类:07 青灰色;尺寸:165/76A,2020-12-21 13:35:44,很舒服，蛮厚实的，现在这种天穿也不冷
逸***z,颜色分类:68 深蓝色;尺寸:175/86B,2020-12-20 20:45:19,显瘦！高弹！就是腰大了，配皮带就好
沈***学,颜色分类:07 青灰色;尺寸:165/76A,2020-12-20 19:27:37,老妈喜欢优衣库
楠***6,颜色分类:07 青灰色;尺寸:170/82A,2020-12-20 15:04:06,太棒啦
m***g,颜色分类:07 青灰色;尺寸:150/58A,2020-12-20 09:50:26,很好，物美价廉，谢谢真诚的店家！说实话，这是我淘宝购物上一次愉快满意的购物。无论是客服的态度还是对物品，我都十分满意的。客服真诚服务、专业热情、有问必答，回复也很快，我问了不少问题，他（她）都不厌其烦，非常耐心解答，而且认真回答，这点是我向店家表示由衷的敬意，这样的淘宝店铺可不多了，这个才是今时今日应有服务精神 真是我想要的，收到的时候包装完整，打开后让我惊喜的是，比我想象中的还要好！
来***3,颜色分类:69 藏青色;尺寸:160/70A,2020-12-19 16:47:37,好
钻***甲,颜色分类:09 黑色;尺寸:160/68A,2020-12-19 10:36:36,很好，跟专柜一模一样，老妈很喜欢
w***o,颜色分类:07 青灰色;尺寸:175/86B,2020-12-18 21:51:40,买了3条，显瘦裤型好，藏蓝色面料硬挺一些，深蓝和灰色软一点弹力很好
夏***7,颜色分类:68 深蓝色;尺寸:160/68A,2020-12-18 15:44:14,"第一次拍大了，退了重新拍小一码合适，身高166cm,体重54kg,160/68A合适 ，此款裤子按个人腰围买合适。"
马***j,颜色分类:68 深蓝色;尺寸:160/66A,2020-12-18 15:07:52,挺好看的
l***r,颜色分类:68 深蓝色;尺寸:170/82A,2020-12-18 00:50:11,裤子收到了，质量很好，穿上很舒服，(*^__^*)非常满意的一次购物，物有所值，比实体店里实惠多了！
鸢***y,颜色分类:68 深蓝色;尺寸:160/66A,2020-12-17 19:21:36,比较紧身拍大一码
巧***蓝,颜色分类:68 深蓝色;尺寸:165/76A,2020-12-17 09:38:03,可以
1***e,颜色分类:69 藏青色;尺寸:165/74A,2020-12-17 08:04:55,裤子很有型
z***g,颜色分类:68 深蓝色;尺寸:160/70A,2020-12-16 23:50:00,活动比店里便宜100，可真值了！
呱***常,颜色分类:69 藏青色;尺寸:165/74A,2020-12-16 21:37:49,弹力很好，167  70公斤穿合适。面料比较挺阔，能修腿型，不掉色。很满意！推荐藏青色，百搭衣服不沉闷。
y***8,颜色分类:07 青灰色;尺寸:165/74A,2020-12-16 19:35:35,好
y***8,颜色分类:09 黑色;尺寸:165/74A,2020-12-16 19:35:35,非常好
y***g,颜色分类:68 深蓝色;尺寸:160/64A,2020-12-16 11:26:49,版型很好，满意
b***n,颜色分类:09 黑色;尺寸:160/70A,2020-12-16 09:35:55,来气，刚买了就便宜100元，跟客服沟通要累**太费劲！购物体验非常不好👎
火***鼠,颜色分类:68 深蓝色;尺寸:160/70A,2020-12-16 03:07:49,好看
亲***2,颜色分类:68 深蓝色;尺寸:165/74A,2020-12-15 23:33:22,厚实，不错
潮***7,颜色分类:09 黑色;尺寸:175/86B,2020-12-15 18:59:08,质量很好 长短合适 挺厚实的
r***7,颜色分类:68 深蓝色;尺寸:175/86B,2020-12-15 13:50:02,很不错
小***鱼,颜色分类:07 青灰色;尺寸:170/82A,2020-12-15 12:23:23,有弹力，很舒服，难得买到大号的裤子，更难得的是还降价了
z***7,颜色分类:09 黑色;尺寸:160/66A,2020-12-15 12:22:22,款型好看
t***0,颜色分类:09 黑色;尺寸:175/90B,2020-12-14 19:41:05,物美价廉！优衣库的老顾客啦，一如既往的喜欢优衣库。
t***5,颜色分类:09 黑色;尺寸:155/62A,2020-12-14 12:14:41,身高164，体重112斤，155号腰部正合适，九分ok。
1***n,颜色分类:69 藏青色;尺寸:160/70A,2020-12-13 23:36:25,非常合适，弹力很大，穿着很舒服。
耳***仔,颜色分类:68 深蓝色;尺寸:160/64A,2020-12-13 22:45:58,裤子很好看，版型很好，质量也不错
m***n,颜色分类:09 黑色;尺寸:160/68A,2020-12-13 20:23:38,比较紧身，大小合适，质地硬挺，去年买的同名称要稍微宽松些
沉***6,颜色分类:69 藏青色;尺寸:175/86B,2020-12-13 18:38:03,很厚实，有弹力但是不是特别大，身高165体重178的人可以秋裤套进去，略紧，不喜欢太宽松的感觉，这个挺好
沉***6,颜色分类:09 黑色;尺寸:175/86B,2020-12-13 18:38:03,很厚实，有弹力但是不是特别大，身高165体重178的人可以秋裤套进去，略紧，不喜欢太宽松的感觉，这个挺好
w***o,颜色分类:68 深蓝色;尺寸:175/86B,2020-12-13 16:24:46,买了3条，好穿显瘦，活动价比较合适
q***2,颜色分类:09 黑色;尺寸:165/74A,2020-12-13 14:01:08,168，58kg。合适。质量非常好
心***x,颜色分类:09 黑色;尺寸:150/58A,2020-12-13 00:02:59,面料是那种软的有弹性的，黑色有点粘毛！
s***g,颜色分类:07 青灰色;尺寸:165/76A,2020-12-12 19:35:50,前一条穿了一次就降价100 只好再下一条摊薄成本 比较喜欢的款式 这次先买了藏青色 拿到后发现太硬 舒适度差 立马退货再下一条青灰色 极速送达 比较柔软舒适 希望评价能帮到潜在买家
石***2,颜色分类:09 黑色;尺寸:160/64A,2020-12-12 19:09:21,发货很快，试穿的时候发现里面没办法加秋裤...我好像又胖了，只能等天气暖和一些才能穿了
3***3,颜色分类:69 藏青色;尺寸:155/62A,2020-12-12 19:08:05,本人158，85斤，穿这个码偏小了，版型好舍不得退掉，原本想换大一码，但是已经断货了，女儿一米五72斤，大小合适
o***x,颜色分类:68 深蓝色;尺寸:160/66A,2020-12-11 18:33:53,裤子很合身，有一定的厚度，双十二活动很划算
w***o,颜色分类:69 藏青色;尺寸:175/86B,2020-12-10 12:35:32,裤型非常好，显瘦显腿直，适合春秋穿，深色有点粘毛，其他都不错，又囤了一条
苏***光,颜色分类:68 深蓝色;尺寸:165/76A,2020-12-05 14:02:06,挺好的
s***g,颜色分类:68 深蓝色;尺寸:165/76A,2020-11-30 12:09:27,灵额 实体店没大码 只好网上下单了
小***c,颜色分类:69 藏青色;尺寸:175/86B,2020-11-30 08:27:15,此用户没有填写评论!
l***8,颜色分类:69 藏青色;尺寸:170/82A,2020-11-26 23:00:55,非常喜欢的裤型，买了3条，穿着很满意
l***8,颜色分类:68 深蓝色;尺寸:170/82A,2020-11-26 23:00:44,非常喜欢的裤型，买了3条，穿着很满意
l***8,颜色分类:07 青灰色;尺寸:170/82A,2020-11-26 23:00:44,非常喜欢的裤型，买了3条，穿着很满意
m***y,颜色分类:69 藏青色;尺寸:175/86B,2020-11-25 11:38:08,尺寸有点尴尬，选小一号太正好了穿不下棉毛裤，选这个尺码吧，又有点大了&hellip;加个腰带和棉毛裤也是宽松款了
