displayUserNick,auctionSku,rateDate,rateContent
2***g,颜色分类:08 深灰色;尺码:165/92A/XL,2020-12-12 12:48:16,版型更休闲
w***1,颜色分类:09 黑色;尺码:155/80A/S,2020-05-09 19:49:27,整体评价：干练 面料材质：不错 版型风格：版型很好，就是感觉我穿有一丢丢长一定要配高跟鞋。 搭配建议：像模特那样搭配很好看 我的身高体重：155，53kg
g***2,颜色分类:08 深灰色;尺码:160/84A/M,2020-05-09 11:21:20,本来拍浅灰色，拍错成深灰色了，回来试了感觉还可以，就留下了，搭配优衣库的碎花裙子上班穿
t***2,颜色分类:09 黑色;尺码:160/84A/M,2020-05-05 08:03:45,整体评价：刚刚好 面料材质：不错 版型风格：入门级社畜 搭配建议：黑西裤
乐***钟,颜色分类:08 深灰色;尺码:160/84A/M,2020-05-04 23:27:32,很好
樱***痕,颜色分类:09 黑色;尺码:165/92A/XL,2020-05-04 19:53:02,"宝贝质量非常棒棒滴！特别满意,真的很喜欢，发货速度快，包装好完整，快递物流服务态度很好，运送速度很快啊，都很满意哒哒"
z***j,颜色分类:08 深灰色;尺码:155/80A/S,2020-05-03 15:51:39,深灰色也是有条纹的。一分价钱一分货，599的西服相比399的质量就要好很多。
z***8,颜色分类:08 深灰色;尺码:165/92A/XL,2020-04-27 21:16:56,整体评价：很好
c***9,颜色分类:09 黑色;尺码:160/84A/M,2020-04-26 10:19:15,不错。
依***娘,颜色分类:09 黑色;尺码:155/80A/S,2020-04-23 08:11:51,版型，舒适度都很好，越穿越喜欢。
h***g,颜色分类:09 黑色;尺码:160/84A/M,2020-04-23 07:29:13,很好，160，115+M就合适了，L肩大了
b***0,颜色分类:69 藏青色;尺码:155/80A/S,2020-04-15 08:41:05,整体评价：好 面料材质：很舒服 版型风格：可正式可休闲 我的身高体重：165cm 45kg
s***g,颜色分类:08 深灰色;尺码:160/88A/L,2020-04-14 04:55:19,舒服
西***米,颜色分类:05 天灰色;尺码:160/84A/M,2020-04-13 16:38:07,美
伊***乎,颜色分类:05 天灰色;尺码:160/84A/M,2020-04-11 22:47:32,剪裁非常好，前面口袋两条线，背后三条线，不厚不薄的踮肩部位是我的最爱，西装为了保持版型没有人回会去开口袋的，上面胸口前有一个口袋是开的。两个扣子，黑色饱和度太高了。拍不出色彩来，但是是很鲜明的黑色，其实黑色很容易脏的，这件西装夹克的剪裁真的很好，但是黑色不如天灰色，那么温和，那么百搭，我更加喜欢灰色的，很温和，不刺眼，黑色饱和度很高的，腰围70，肩宽40，M可以扣上扣子，不尴尬的那种扣上~推荐天灰色，比黑色温和百搭~
伊***乎,颜色分类:09 黑色;尺码:160/84A/M,2020-04-11 22:47:31,剪裁非常好，前面口袋两条线，背后三条线，不厚不薄的踮肩部位是我的最爱，西装为了保持版型没有人回会去开口袋的，上面胸口前有一个口袋是开的。两个扣子，黑色饱和度太高了。拍不出色彩来，但是是很鲜明的黑色，其实黑色很容易脏的，这件西装夹克的剪裁真的很好，但是黑色不如天灰色，那么温和，那么百搭，我更加喜欢灰色的，很温和，不刺眼，黑色饱和度很高的，肩宽40，腰围70，有小肚子~可以扣上扣子，很体面的那种
午***露,颜色分类:09 黑色;尺码:155/80A/S,2020-04-06 12:30:50,身高162 体重104 上身和肩膀属于瘦的那种 穿这个码正好
1***y,颜色分类:09 黑色;尺码:155/80A/S,2020-04-04 16:21:43,个人觉得一般，像工服，需要搭配下。。
t***6,颜色分类:69 藏青色;尺码:160/84A/M,2020-03-28 12:53:44,喜欢，很好
深***3,颜色分类:69 藏青色;尺码:165/92A/XL,2020-03-23 16:08:39,偏肥了点
t***4,颜色分类:09 黑色;尺码:155/80A/S,2020-03-19 16:05:26,此用户没有填写评论!
末***8,颜色分类:05 天灰色;尺码:170/100B/XXL,2020-03-17 18:41:20,感觉灰色没有海军蓝好看，不知是不是裁剪问题，穿着不撑头，其实布料没有啥弹性。
末***8,颜色分类:69 藏青色;尺码:170/100B/XXL,2020-03-16 14:28:28,质量不错，布料稍微有点沾灰
j***7,颜色分类:09 黑色;尺码:160/84A/M,2020-03-16 13:43:04,还行
t***4,颜色分类:09 黑色;尺码:155/80A/S,2020-03-15 13:25:11,非常满意，希望优衣库越做越好！
木***5,颜色分类:05 天灰色;尺码:160/88A/L,2020-03-14 19:19:08,挺好的，很有质感。
黟***3,颜色分类:69 藏青色;尺码:155/80A/S,2020-03-12 13:57:38,158，57 长度合适 稍微有点紧 正好在减肥
r***s,颜色分类:09 黑色;尺码:160/84A/M,2020-03-10 00:58:07,做工很棒
啊***得,颜色分类:08 深灰色;尺码:155/80A/S,2020-03-09 16:56:47,穿起来沙沙响，总体一般般吧。价格让人拉高了期待。
冒***了,颜色分类:09 黑色;尺码:155/80A/S,2020-02-29 22:49:29,164身高-100斤，肩合适，腰肥了
x***1,颜色分类:09 黑色;尺码:160/84A/M,2020-02-27 20:30:36,衣服面料不厚，面料有质感，版型不错，春秋穿不错，168/105尺码合适。推荐购买
夏***3,颜色分类:05 天灰色;尺码:155/80A/S,2020-02-26 21:42:51,太好看了！166/47
t***7,颜色分类:05 天灰色;尺码:160/84A/M,2020-01-27 09:29:42,喜欢
朴***8,颜色分类:08 深灰色;尺码:150/76A/XS,2020-01-26 15:57:32,我的天呢，竟然给我发的是19年款春款的，快过年一直忙着，停下来过年才顾得上看，优衣库怎么也这样呢，应该告知我啊。这种错误太低级了。
j***1,颜色分类:09 黑色;尺码:160/88A/L,2020-01-23 21:48:52,常规款 不错
z***3,颜色分类:09 黑色;尺码:155/80A/S,2020-01-21 21:40:33,正式场合穿，款式比较适合个子不高的，虽然原价买，还是比较满意。
p***0,颜色分类:09 黑色;尺码:160/84A/M,2020-01-20 20:30:11,我的身高体重：身高160/体重59，中号合适，面料不错，弹力基本没有，就是西装料，里面穿毛衣和秋衣有点紧，喜欢，整体也是喜欢💕，期待春天来临，现在可以搭大衣里，空调房穿，非常喜欢，值得拥有，原价购买的599，好就贵，下手要快，手慢无
菲***2,颜色分类:69 藏青色;尺码:160/88A/L,2020-01-19 11:00:39,很合适很满意，好评！
7***号,颜色分类:09 黑色;尺码:150/76A/XS,2020-01-17 17:30:08,试搭了u系列白t+亚麻裤子，甚好！虽然是原价买的，但xs难得哈哈哈，满意！
南***9,颜色分类:09 黑色;尺码:160/88A/L,2020-01-17 09:32:18,好的特特好好好好好好质量好黑好的特特好好好好好好质量好黑好的特特好好好好好好质量好黑好的特特好好好好好好质量好黑
局***0,颜色分类:09 黑色;尺码:160/84A/M,2020-01-16 21:31:53,面试穿了三个小时 需要的便宜转 闲鱼局外人970430
落***猪,颜色分类:69 藏青色;尺码:160/84A/M,2020-01-16 12:23:25,衣服比较薄，但是款型和质地不错，159cm57kg穿M码，刚刚好。但是略胖的人不适合扣纽扣。这件衣服可正式可休闲。就是价格略略太贵。。。
小***r,颜色分类:09 黑色;尺码:160/88A/L,2020-01-13 15:54:57,面料比较薄，春夏款哦，可正装可休闲～
新***t,颜色分类:09 黑色;尺码:160/88A/L,2020-01-12 18:11:10,质量有点薄，但有内衬，哦还是不错的
天***明,颜色分类:09 黑色;尺码:155/80A/S,2020-01-10 23:28:48,抱着试一试的态度买了，收到衣服后觉得还可以。优衣库的忠实粉丝。
z***4,颜色分类:69 藏青色;尺码:175/108C/XXXL,2020-01-10 17:44:06,客服没人回这点已经遇过好几次了~完全自助购物~
蜻***3,颜色分类:05 天灰色;尺码:150/76A/XS,2020-01-10 10:59:50,想春天套轻薄的打底穿的，所以买小一码，可以
t***1,颜色分类:69 藏青色;尺码:165/92A/XL,2020-01-05 18:02:23,599就599咯，很薄也没关系。因为好看，也没有很弹力，哇哈哈哈哈哈哈。包装敢再简单点吗？包个快递袋就上，也不怕擦损？163.69kg，肩膀刚好，肚子部分很宽。
福***n,颜色分类:09 黑色;尺码:160/84A/M,2020-01-02 21:32:12,完美，很实用，一上架我就买了✌
