displayUserNick,auctionSku,rateDate,rateContent
c***n,颜色分类:11 粉红色;尺码:155/80A/S,2021-02-26 19:57:36,凑合吧。
空***言,颜色分类:38 深褐色;尺码:160/88A/L,2021-02-07 19:33:46,妈妈觉得不错，日常穿穿
x***2,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-02-07 12:58:56,衣服很不错，大小合身，五星好评！
t***2,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-02-07 12:46:43,好，买回来天天穿
n***e,颜色分类:11 粉红色;尺码:160/88A/L,2021-02-06 20:53:33,准确的说应该是灰粉色，比粉红色好穿，大号略大了一点，不过今年流行宽松，没太大问题
杨***9,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-02-06 18:09:49,给父母买的，他们很喜欢。
t***6,颜色分类:11 粉红色;尺码:165/92A/XL,2021-02-05 21:33:56,还不错，很轻
j***9,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-04 12:24:43,好
w***9,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-03 20:45:55,好评
d***6,颜色分类:03 灰色;尺码:160/84A/M,2021-02-03 18:25:55,很好，配货速度快！
s***8,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-03 18:13:51,舒适，轻巧，再买一件
苏***花,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-03 18:01:23,薄款，适合深圳这种夏常在的妃位。
麦***泡,颜色分类:11 粉红色;尺码:165/92A/XL,2021-02-03 14:20:59,此用户没有填写评论!
a***y,颜色分类:38 深褐色;尺码:160/88A/L,2021-02-02 19:35:34,帮同事购买的，她很满意，已经好评哦！
如***红,颜色分类:38 深褐色;尺码:160/88A/L,2021-02-02 18:17:43,买给妈**，还不错！！
舒***6,颜色分类:03 灰色;尺码:160/84A/M,2021-02-01 13:07:11,我的身高体重： 150 50kg  整体评价：买给妈妈穿，轻便舒适
z***5,颜色分类:38 深褐色;尺码:155/80A/S,2021-02-01 10:55:12,褐色很好看呀，搭配起来特别洋气
s***y,颜色分类:38 深褐色;尺码:160/88A/L,2021-02-01 09:32:42,小了
渣***1,颜色分类:11 粉红色;尺码:160/88A/L,2021-01-31 22:28:12,妈妈很喜欢，码数很符合，薄款很适合广东广西海南冬天穿
蔷***8,颜色分类:03 灰色;尺码:170/100B/XXL,2021-01-31 16:00:58,很好！很满意！
s***5,颜色分类:11 粉红色;尺码:160/84A/M,2021-01-31 14:42:57,不错不错哈哈哈哈哈哈哈哈哈哈哈哈好像有了没货
五***2,颜色分类:38 深褐色;尺码:160/84A/M,2021-01-31 14:42:22,给妈妈买的，肚子处有些紧张，其他还好
1***n,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-01-31 09:10:26,木问题
l***b,颜色分类:03 灰色;尺码:170/100B/XXL,2021-01-30 21:39:14,给老妈买的，非常好
妈***4,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-30 19:55:06,经典款，大方
t***1,颜色分类:11 粉红色;尺码:160/84A/M,2021-01-30 08:36:16,很喜欢💕是正品。穿上衣服舒服
滴***5,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-29 12:30:27,非常好，想找个合身的黑蓝色羽绒服，也不太容易，单位统一穿的黑蓝毛衣太冷，穿自己的衣服又显得不正式，衣服很轻便，还给了一个小收纳袋，很好
t***7,颜色分类:11 粉红色;尺码:165/92A/XL,2021-01-29 09:50:18,一是有白鸭绒做底衬，粉红色显得很漂亮，但由于我买的这款充绒量只有62克，没有白鸭绒的地方，粉红色就有些显黑，又不干净的感觉，有点遗憾。二是拉锁头如果有两个，可以从下面拉开的就更好了！其它都满意，优衣库的质量没的说，一如既往的喜欢！
q***o,颜色分类:11 粉红色;尺码:155/80A/S,2021-01-28 16:49:08,之前在优衣库买过类似款，挺喜欢的，这次买的这件说实话不喜欢，料子看起来很显旧，且没以前的修身，奈何没衣服急着穿，将就了。
t***5,颜色分类:03 灰色;尺码:170/100B/XXL,2021-01-28 10:30:59,很舒服的质料，又轻又暖
t***2,颜色分类:03 灰色;尺码:155/80A/S,2021-01-28 00:00:48,灰色显老，版型很丑，显老
j***u,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-01-27 23:38:36,不错，好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好
h***3,颜色分类:03 灰色;尺码:155/80A/S,2021-01-27 23:05:35,给妈妈买的很满意
回***心,颜色分类:11 粉红色;尺码:160/88A/L,2021-01-27 21:27:27,妈妈说还可以
苏***呀,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-01-27 10:30:39,很差劲很差劲，价格跌的跟过山车似的，然后这就是优衣库300块买的羽绒服？第一次过水，呵呵。打水漂的钱
l***3,颜色分类:03 灰色;尺码:170/100B/XXL,2021-01-27 00:56:06,尺码推荐：不准确，店里买XL的袖子太短，网上买XXL袖子太长衣服太宽，无解，而且鸭子味道真的很重，洗了一次还是有 申通快递特别不好！！运输状态四五天都不更新！送到家花了七八天，温度都回升了晕，而且运输特别暴力，箱子都烂成泥了
t***2,颜色分类:11 粉红色;尺码:165/92A/XL,2021-01-25 17:25:03,暖和，适合南方的冬天
v***i,颜色分类:03 灰色;尺码:155/80A/S,2021-01-25 12:50:35,比较薄，而且面料沙沙作响。
t***9,颜色分类:11 粉红色;尺码:160/88A/L,2021-01-24 14:45:16,厚度挺薄的，适合广东，还可以
7***l,颜色分类:03 灰色;尺码:170/100B/XXL,2021-01-24 14:33:34,不错
t***2,颜色分类:38 深褐色;尺码:160/84A/M,2021-01-24 13:33:45,挺好的，给奶奶买的，她很喜欢，轻薄轻便，穿起来很舒服
n***u,颜色分类:11 粉红色;尺码:160/88A/L,2021-01-24 00:43:49,家人穿着说不错。很棒。
t***0,颜色分类:11 粉红色;尺码:165/92A/XL,2021-01-21 23:09:42,不错，轻轻的
岳***灵,颜色分类:11 粉红色;尺码:155/80A/S,2021-01-21 10:25:44,我妈觉得很好，很喜欢
2***m,颜色分类:11 粉红色;尺码:155/80A/S,2021-01-20 10:44:03,颜色很好看，柔和粉嫩，少女感满满。质量一如既往的好。
简***珍,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-20 02:42:30,👌
l***9,颜色分类:11 粉红色;尺码:165/92A/XL,2021-01-19 14:15:23,挺暖和的
z***o,颜色分类:11 粉红色;尺码:165/92A/XL,2021-01-19 13:29:36,挺好的
芳***0,颜色分类:69 藏青色;尺码:155/80A/S,2021-01-19 11:32:27,好评
顺***r,颜色分类:11 粉红色;尺码:150/76A/XS,2021-01-18 22:16:54,很不错
w***8,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-18 16:23:29,穿着还挺暖和的，还一次都没有洗就钻毛严重！
z***1,颜色分类:03 灰色;尺码:155/80A/S,2021-01-18 15:24:37,很薄，款式很一般，显老气
顺***江,颜色分类:69 藏青色;尺码:165/92A/XL,2021-01-18 08:36:27,给家里买的挺好的。
冯***y,颜色分类:11 粉红色;尺码:160/84A/M,2021-01-17 21:53:20,还可以哦
t***9,颜色分类:11 粉红色;尺码:160/84A/M,2021-01-17 19:26:26,妈妈说很暖和
y***i,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-17 19:13:31,挺好。
z***5,颜色分类:11 粉红色;尺码:155/80A/S,2021-01-17 09:42:42,此用户没有填写评论!
q***7,颜色分类:03 灰色;尺码:160/84A/M,2021-01-17 09:04:03,可以
l***5,颜色分类:69 藏青色;尺码:165/92A/XL,2021-01-16 19:24:02,我穿有点大，但是舒服，还是留着
长***喜,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-01-16 12:53:35,优衣库女孩中毒了
凌***月,颜色分类:11 粉红色;尺码:165/92A/XL,2021-01-15 21:28:15,给妈妈买的，实体试穿后网上下单便宜一百，不错，轻，暖，妈妈喜欢
t***1,颜色分类:03 灰色;尺码:170/100B/XXL,2021-01-15 16:48:53,还可以！
g***m,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-15 10:31:40,轻盈，舒适，暖和，质量不错👍
j***定,颜色分类:11 粉红色;尺码:160/88A/L,2021-01-15 01:20:22,优衣库的衣服都不错
k***9,颜色分类:11 粉红色;尺码:175/108C/XXXL,2021-01-14 20:19:46,买给外婆的羽绒服 质量还行，最好的买到大码 ，颜色也不错。
q***7,颜色分类:69 藏青色;尺码:155/80A/S,2021-01-14 20:18:05,还不错
粉***湿,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-14 19:18:21,合适 我妈穿着好看 但好像颜色有点沉？
双***喵,颜色分类:69 藏青色;尺码:165/92A/XL,2021-01-14 16:39:58,发货快。轻薄 但是袖子略短 不影响
2***a,颜色分类:03 灰色;尺码:165/92A/XL,2021-01-14 10:51:53,整体评价：给妈妈买的，今年海南都冷了，穿着羽绒服才暖(｡･&omega;･｡)
林***y,颜色分类:11 粉红色;尺码:165/92A/XL,2021-01-14 10:43:42,还行
m***7,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-01-14 00:33:20,买完就降价，受不了！
大***豪,颜色分类:11 粉红色;尺码:155/80A/S,2021-01-14 00:14:17,衣服质量挺好的，款式不错
c***缓,颜色分类:11 粉红色;尺码:160/88A/L,2021-01-13 18:10:25,实体店买了件499 和这个一样充绒量57克 以后还是网上买划算
l***b,颜色分类:03 灰色;尺码:155/80A/S,2021-01-13 16:16:09,不值，太薄了。颜色也老
t***0,颜色分类:11 粉红色;尺码:160/84A/M,2021-01-13 16:12:17,此用户没有填写评论!
c***n,颜色分类:38 深褐色;尺码:160/88A/L,2021-01-13 14:51:08,衣服买后网站就立马降价，想问下这情况如何处理，这边联系客服也一直没回复。网上购物这么久，还真未遇到有这么不负责任的店铺。
x***6,颜色分类:69 藏青色;尺码:160/84A/M,2021-01-13 11:13:23,给妈妈买的，穿起来很合适。
c***4,颜色分类:69 藏青色;尺码:150/76A/XS,2021-01-13 10:57:21,不错👍性价比超高！非常喜欢😘
来***9,颜色分类:11 粉红色;尺码:155/80A/S,2021-01-13 10:30:57,此用户没有填写评论!
一***d,颜色分类:11 粉红色;尺码:155/80A/S,2021-01-13 10:26:53,经常网购，总有大量的包裹收，有很多的评语要写！ 但是，总是写评语花掉了我大量的时间和精力！ 所以在一段时间里，我总是不去评价或者随便写写！ 但是，我又总是觉得好像有点对不住那些辛苦工作的卖家客服、仓管、老板。 于是我写下了一小段话，给我觉得能拿到我五星好评的卖家的宝贝评价里面以示感谢和尊敬！ 宝贝是性价比很高的，我每次都会先试用再评价的，虽然宝贝不一定是最好的，但在同等的价位里面绝对是表现最棒的。
水***珑,颜色分类:38 深褐色;尺码:160/88A/L,2021-01-12 20:50:39,颜色很大气，按平时码买合身。
x***z,颜色分类:69 藏青色;尺码:160/84A/M,2021-01-12 20:40:06,轻薄暖，颜色很正。
g***1,颜色分类:11 粉红色;尺码:165/92A/XL,2021-01-12 16:09:14,好
7***静,颜色分类:11 粉红色;尺码:165/92A/XL,2021-01-11 20:44:54,我觉得优衣库的薄羽绒没有那么暖和了
掠***山,颜色分类:03 灰色;尺码:150/76A/XS,2021-01-11 19:40:07,太薄了吧，薄得怀疑不保暖的，上身还好吧，主要尺寸合适
b***d,颜色分类:03 灰色;尺码:160/88A/L,2021-01-11 17:47:47,此用户没有填写评论!
h***4,颜色分类:11 粉红色;尺码:160/84A/M,2021-01-11 16:29:22,样子可以，就是有一点跑毛
王***1,颜色分类:69 藏青色;尺码:155/80A/S,2021-01-10 23:03:33,很好很优秀，一直既往的好
梦***9,颜色分类:38 深褐色;尺码:165/92A/XL,2021-01-10 20:10:33,气质型，高级感，棒棒哒！
a***3,颜色分类:03 灰色;尺码:160/88A/L,2021-01-10 19:47:45,质量好
e***7,颜色分类:38 深褐色;尺码:160/88A/L,2021-01-10 12:18:08,给妈妈买的，一开始XL太大了，这个大小刚好，颜色也不错
c***2,颜色分类:11 粉红色;尺码:160/88A/L,2021-01-10 11:10:48,地摊货都比这强，谁买谁后悔
t***3,颜色分类:69 藏青色;尺码:160/84A/M,2021-01-09 15:48:52,既然刚买完就降价，跟客服沟通时被机器人给安排，保价服务点进去是这样的，那必须是差评！！！
弄***1,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-01-07 20:05:57,合适，喜欢！轻薄暖和！
t***3,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-01-07 15:03:37,整体评价：好 版型风格：好 材质厚度：适，老顾客，给好评
怀***1,颜色分类:11 粉红色;尺码:160/88A/L,2021-01-07 13:08:47,超好看
e***8,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-07 10:03:22,买来给孩子穿在校服里打底的，衣服很轻薄，感觉面料没有以前柔软了，还没穿已经有几处羽绒丝要从针脚孔钻出来的势头了。
x***1,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-06 19:03:49,充绒量实在有点太少了，再多点就好了，图个在办公室穿方便
y***5,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-06 16:59:53,此用户没有填写评论!
心***2,颜色分类:69 藏青色;尺码:165/92A/XL,2021-01-06 06:06:53,拍大了，实体店去换了小一码，完美！
麝***鼠,颜色分类:11 粉红色;尺码:160/84A/M,2021-01-05 13:51:44,在店里试过，觉得粉色好看些，看到降价就买了，广州冬天不太冷，感觉十度左右都可以穿。
9***9,颜色分类:03 灰色;尺码:160/84A/M,2021-01-05 10:35:07,一直都没有收到货。 打电话一直没有人接。 找客服一直没有人工。 去服务点一直找不到货，说等回复，却一直无回复。 然后又打电话没有人接&hellip;&hellip;去服务点找不到货&hellip;&hellip; 客服没有人工&hellip;&hellip; 在没有收到货物时，竟然被确认签收了。
长***9,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-01-04 11:59:07,全家大半衣服都是买优衣库的，价廉物美
贺***堡,颜色分类:11 粉红色;尺码:175/108C/XXXL,2021-01-03 14:50:34,nice
维***8,颜色分类:03 灰色;尺码:170/100B/XXL,2021-01-03 09:45:55,不错
巧***哦,颜色分类:69 藏青色;尺码:160/84A/M,2021-01-02 18:54:05,我觉得优衣库的薄羽绒没有那么暖和了
t***2,颜色分类:38 深褐色;尺码:170/100B/XXL,2021-01-02 09:41:25,选来选去还是优衣库线上线下秉持一致👍质优价廉👍👍
t***3,颜色分类:03 灰色;尺码:160/88A/L,2020-12-31 21:30:08,布料好，轻，薄得让我怀凝它的保暖性。
l***y,颜色分类:69 藏青色;尺码:160/88A/L,2020-12-29 23:36:37,女儿很满意
j***k,颜色分类:69 藏青色;尺码:170/100B/XXL,2020-12-29 11:06:32,蛮好的
十***易,颜色分类:69 藏青色;尺码:160/84A/M,2020-12-28 08:47:14,好
h***i,颜色分类:03 灰色;尺码:170/100B/XXL,2020-12-27 21:54:59,实体店里没有码，就网上买了，很轻，穿着舒服
w***n,颜色分类:38 深褐色;尺码:160/88A/L,2020-12-15 10:03:59,不错
l***2,颜色分类:38 深褐色;尺码:170/100B/XXL,2020-12-11 10:19:26,买给老**，她很喜欢。深褐色是她的最爱。
