displayUserNick,auctionSku,rateDate,rateContent
s***8,颜色分类:00 白色;尺码:170/95/M,2021-02-27 19:37:42,挺好的。
w***6,颜色分类:00 白色;尺码:170/95/M,2020-12-03 11:01:38,别买
m***n,颜色分类:00 白色;尺码:170/95/M,2020-12-02 18:32:03,质量很过关，品质有保障，相当不错的选择，好多朋友看我用都想买，我都推荐了
y***2,颜色分类:09 黑色;尺码:175/100/L,2020-12-02 11:25:56,此用户没有填写评论!
一***8,颜色分类:00 白色;尺码:175/100/L,2020-11-29 17:52:55,非常舒适👍
h***8,颜色分类:00 白色;尺码:180/105/XL,2020-11-29 15:18:09,很凉，容易透
j***7,颜色分类:09 黑色;尺码:170/95/M,2020-11-29 12:59:25,很舒服
l***e,颜色分类:69 藏青色;尺码:165/90/S,2020-11-28 17:14:12,可以的
红***1,颜色分类:69 藏青色;尺码:175/100/L,2020-11-28 15:04:30,面料和之前的比薄了很多
西***给,颜色分类:69 藏青色;尺码:175/100/L,2020-11-28 13:54:16,这次真的差评了，衣服自己的质量问题，找客服解决半天也不出来，出来了就是机器人般的回复，告诉我退换货，我说了我买衣服是用来穿的，不是退换货玩的，而且我指出来了，如果换货能换到没有质量问题的我也可以，但是客服也根本无法保证下一件就是没有问题的，而且我说得很明白，这就是包装的问题，是包装导致的衣服的压痕，洗也洗不掉的，把衣服的材料都给破坏了，怎么说就不听呢
西***给,颜色分类:09 黑色;尺码:175/100/L,2020-11-28 13:54:16,衣服坏了，最让我生气的是客服的态度，无语
幸***5,颜色分类:09 黑色;尺码:180/105/XL,2020-11-28 09:13:50,好
j***6,颜色分类:69 藏青色;尺码:180/105/XL,2020-11-27 17:47:01,有一年双十一买到过39的airism睡衣 估计改版了货号也搜不到了 相似的就是这款 睡觉穿很舒服😌
x***e,颜色分类:09 黑色;尺码:175/100/L,2020-11-27 15:25:36,物流满分💯，包装快递满分💯，配送员态度满分💯，购物让人开心，吃土使我快乐~ʜᴀᴘᴘʏ̆̈◞̆
簌***嘟,颜色分类:00 白色;尺码:170/95/M,2020-11-27 12:44:27,实在太像线衣了只能打底
宋***4,颜色分类:00 白色;尺码:180/105/XL,2020-11-27 11:56:24,很舒服，不错不错，啊
宋***4,颜色分类:09 黑色;尺码:180/105/XL,2020-11-27 11:56:24,很舒服，不错不错
e***g,颜色分类:09 黑色;尺码:165/90/S,2020-11-27 11:50:45,可以。。。。。
e***g,颜色分类:69 藏青色;尺码:165/90/S,2020-11-27 11:50:44,可以。。。。。
w***5,颜色分类:09 黑色;尺码:165/90/S,2020-11-26 20:11:16,此用户没有填写评论!
丝***_,颜色分类:00 白色;尺码:170/95/M,2020-11-26 13:57:38,凑合
丝***_,颜色分类:09 黑色;尺码:170/95/M,2020-11-26 13:57:38,凑合
犯***呵,颜色分类:00 白色;尺码:170/95/M,2020-11-26 12:03:01,非常舒服
m***c,颜色分类:00 白色;尺码:175/100/L,2020-11-25 23:51:01,一直很优秀，蛮舒服！
t***1,颜色分类:00 白色;尺码:170/95/M,2020-11-25 23:22:25,非常好！！！很喜欢。
t***1,颜色分类:09 黑色;尺码:170/95/M,2020-11-25 23:22:25,内穿，挺不错。
赵***依,颜色分类:00 白色;尺码:175/100/L,2020-11-25 23:15:44,棒
t***4,颜色分类:00 白色;尺码:180/105/XL,2020-11-25 16:24:51,就挺一般吧  而且稍微有点薄 有点透 别的还可以 这个价钱 要求就不那么多了
c***i,颜色分类:00 白色;尺码:175/100/L,2020-11-25 10:33:05,非常舒服 很亲肤 柔软 是像莫代尔的材质
l***5,颜色分类:00 白色;尺码:165/90/S,2020-11-24 20:08:23,打底穿，很轻薄。
相***湖,颜色分类:69 藏青色;尺码:175/100/L,2020-11-24 09:14:37,不错穿着很舒服 点赞
相***湖,颜色分类:09 黑色;尺码:175/100/L,2020-11-24 09:14:37,不错穿着很舒服 点赞
可***诗,颜色分类:09 黑色;尺码:175/100/L,2020-11-23 23:16:48,买了n次  好评
土***刚,颜色分类:69 藏青色;尺码:170/95/M,2020-11-23 21:26:25,很舒服，很喜欢
何***4,颜色分类:00 白色;尺码:180/105/XL,2020-11-22 12:49:06,料子非常舒服
l***8,颜色分类:69 藏青色;尺码:180/105/XL,2020-11-22 12:06:17,非常好
l***8,颜色分类:00 白色;尺码:180/105/XL,2020-11-22 12:06:17,非常好
一***1,颜色分类:00 白色;尺码:170/95/M,2020-11-22 08:21:02,衣服很不错，双十一买了四五件，好评
朕***此,颜色分类:00 白色;尺码:180/105/XL,2020-11-21 21:29:24,这款穿上比较凉爽，版型比较贴身，适合打底
h***l,颜色分类:09 黑色;尺码:175/100/L,2020-11-21 13:45:36,舒服
小***n,颜色分类:09 黑色;尺码:175/100/L,2020-11-21 06:31:29,买来给男票当睡衣的非常舒服
小***n,颜色分类:00 白色;尺码:170/95/M,2020-11-21 06:31:29,每年都要入两三件的衣服，男士最爱，打折入合适
啊***咦,颜色分类:69 藏青色;尺码:175/100/L,2020-11-20 23:55:25,穿上就很舒服懒得去店里买就走淘宝了
w***t,颜色分类:69 藏青色;尺码:165/90/S,2020-11-20 23:55:16,合适
t***白,颜色分类:09 黑色;尺码:175/100/L,2020-11-20 19:24:34,材料很舒服
路***图,颜色分类:00 白色;尺码:180/105/XL,2020-11-20 17:32:10,好的。买很多次了
欧***3,颜色分类:00 白色;尺码:180/105/XL,2020-11-20 17:01:31,很好
t***1,颜色分类:00 白色;尺码:170/95/M,2020-11-20 15:37:23,p12 29.五脏具有的共同特点，不包括（a） A.实而不能满 B.藏精气而不泻  C.实体性器官D.可行气于腑 E.病则多虚证  P6 28.五味入五脏，多食甘则伤（c） A.心 B.肝 C.脾 D.肺 E.肾  P13 42.病人动则气喘，呼多吸少，多是因为（a） A. 肾失纳气 B.心不主血 C.肺失主气 D.肝失疏泄 E.脾失运化  P12  28.思为脾之志，但还与何脏相关（E） A. 心包B. 肝 C.肺 D. 肾 E.心  P6 32.所谓&ldquo;见肝之病知肝传脾&rdquo;是指（a） A.木乘生 B.木克土 C. 土侮木 D. 母病及子E.子病及母  P14 52.目分五轮，其中黑睛为（D） A. 血轮 B. 气轮 C.水轮 D.风轮 E.肉轮  P13 40.人体生命活动的原动力是指（D） A.先天之精气 B. 后天之谷气 C.宗气 D.原气 E.卫气  P5 17.&ldquo;阳病治阴&rdquo;的治疗原则适用于（A） A. 阴虚阳亢 B. 阳虚阴胜 C.阳气暴脱 D. 阴损及阳 E.阳损及阴
a***0,颜色分类:00 白色;尺码:180/105/XL,2020-11-20 12:13:34,面料很舒服，北方冬天卫衣里打底穿
谷***囡,颜色分类:09 黑色;尺码:175/100/L,2020-11-20 10:08:29,可以
谷***囡,颜色分类:00 白色;尺码:175/100/L,2020-11-20 10:08:29,可以
秋***散,颜色分类:69 藏青色;尺码:165/90/S,2020-11-20 09:28:23,这个系列穿着舒服
h***e,颜色分类:09 黑色;尺码:175/100/L,2020-11-20 08:27:58,穿着修身，内搭舒服。双十一44.05元入手。
金***烨,颜色分类:09 黑色;尺码:175/100/L,2020-11-19 23:17:12,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。"
金***烨,颜色分类:69 藏青色;尺码:175/100/L,2020-11-19 23:17:12,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。"
q***0,颜色分类:09 黑色;尺码:175/100/L,2020-11-19 17:53:20,此用户没有填写评论!
m***i,颜色分类:69 藏青色;尺码:175/100/L,2020-11-19 11:24:31,可以
m***i,颜色分类:09 黑色;尺码:175/100/L,2020-11-19 11:24:31,可以
杳***6,颜色分类:09 黑色;尺码:180/105/XL,2020-11-19 10:42:56,经典秋冬打底，外面穿衬衣，很服帖
杳***6,颜色分类:00 白色;尺码:180/105/XL,2020-11-19 10:42:56,经典秋冬打底，外面穿衬衣，很服帖
s***7,颜色分类:69 藏青色;尺码:175/100/L,2020-11-19 10:29:31,这是一个好评模版，说明购买的商品较满意，包装完好，质量给力，做工精致，客服热情，发货速度，放心使用，值得推荐，性价比高，继续回购
安***2,颜色分类:00 白色;尺码:170/95/M,2020-11-19 10:09:16,好
爱***狸,颜色分类:00 白色;尺码:165/90/S,2020-11-19 09:35:08,好
t***8,颜色分类:09 黑色;尺码:175/100/L,2020-11-19 08:21:35,这个衣服太长了
社***4,颜色分类:09 黑色;尺码:170/95/M,2020-11-19 00:31:07,东西质量非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。
小***曦,颜色分类:69 藏青色;尺码:175/100/L,2020-11-19 00:05:10,发货速度，包装OK，买来备用，期待质量！
小***曦,颜色分类:00 白色;尺码:175/100/L,2020-11-19 00:05:10,发货速度，包装OK，买来备用，期待质量！
小***曦,颜色分类:09 黑色;尺码:170/95/M,2020-11-19 00:05:10,发货速度，包装OK，买来备用，期待质量！
小***f,颜色分类:69 藏青色;尺码:180/105/XL,2020-11-18 23:21:35,好
h***红,颜色分类:00 白色;尺码:180/105/XL,2020-11-18 21:41:23,淘宝已经渗透了我的生活，即使发现有问题，我只能想我还有京东，真的，疫情以后，越来越习惯京东，至于天猫超市，绝对是因为我充了88会员，充了天猫超市卡，套娃套到*，以前可以买鲜美菜场，随便你套，不行我还可以买盒马，直到有一天，菜场没了，失去了充卡的动力，并且发现饿了么买盒**鲜美菜场更划算，之前觉得鲜美菜场比盒马app划算是因为我经常充卡，算赠送也是95折了，直到我发现盒马有的商品只在饿了么促销，饿了么价格更低还可以叠加豆豆换券。而且猫超一买就好几箱，大促期间快递员电话短信都没有直接放在驿站，真的很坑，大促一个月最少一次。
k***3,颜色分类:00 白色;尺码:175/100/L,2020-11-18 18:49:11,太服适了，比实店便宜。
魅***。,颜色分类:69 藏青色;尺码:170/95/M,2020-11-18 15:10:18,it is good.
l***i,颜色分类:00 白色;尺码:170/95/M,2020-11-18 08:54:50,那种网眼的airism不卖了吗，这个有点闷穿着没凉的效果
任***4,颜色分类:00 白色;尺码:175/100/L,2020-11-17 23:35:55,衣服穿着很舒服，打底穿在里面，买的第三件了
b***6,颜色分类:69 藏青色;尺码:175/100/L,2020-11-17 21:05:21,好
b***6,颜色分类:09 黑色;尺码:175/100/L,2020-11-17 21:05:21,好
依***6,颜色分类:09 黑色;尺码:180/105/XL,2020-11-17 20:20:31,舒服，透气，和实体店买的一样，薄如蝉翼，喜欢，下次还来买
k***t,颜色分类:00 白色;尺码:170/95/M,2020-11-17 19:51:12,一如既往地舒服柔软
t***2,颜色分类:09 黑色;尺码:170/95/M,2020-11-17 18:43:20,一如既往
t***1,颜色分类:00 白色;尺码:175/100/L,2020-11-17 15:58:43,穿上很舒服，大小也合适
英***4,颜色分类:00 白色;尺码:170/95/M,2020-11-17 12:31:40,蛮好的  不错  大小合适
o***2,颜色分类:09 黑色;尺码:170/95/M,2020-11-17 11:39:27,物廉价美，物有所值，值得购买，强力推荐，下次还来光顾帮衬！
韩***晨,颜色分类:00 白色;尺码:165/90/S,2020-11-17 10:18:49,一直穿的这款打底衫
l***4,颜色分类:00 白色;尺码:175/100/L,2020-11-17 08:53:46,一直等到双十一入手，比正价便宜，品质好
俊***友,颜色分类:00 白色;尺码:180/105/XL,2020-11-17 08:04:17,很满意。
l***0,颜色分类:00 白色;尺码:170/95/M,2020-11-17 07:17:20,老公喜欢
l***0,颜色分类:09 黑色;尺码:170/95/M,2020-11-17 07:17:20,老公喜欢
龙***装,颜色分类:09 黑色;尺码:180/105/XL,2020-11-17 02:39:01,非常满意
施***8,颜色分类:09 黑色;尺码:175/100/L,2020-11-16 22:57:01,好
施***8,颜色分类:00 白色;尺码:170/95/M,2020-11-16 22:57:01,好
d***g,颜色分类:00 白色;尺码:170/95/M,2020-11-16 21:55:21,还好
y***n,颜色分类:00 白色;尺码:165/90/S,2020-11-16 21:20:12,回购款
i***e,颜色分类:69 藏青色;尺码:175/100/L,2020-11-16 19:08:51,不多说了 每年都买
草***o,颜色分类:09 黑色;尺码:170/95/M,2020-11-16 18:45:06,质量堪忧
草***o,颜色分类:69 藏青色;尺码:170/95/M,2020-11-16 18:45:06,质量堪忧
p***e,颜色分类:09 黑色;尺码:180/105/XL,2020-11-16 17:54:16,一如既往的好
s***蝉,颜色分类:69 藏青色;尺码:170/95/M,2020-11-16 16:51:21,好丝滑
l***9,颜色分类:69 藏青色;尺码:180/105/XL,2020-11-16 15:11:42,很好
l***9,颜色分类:09 黑色;尺码:180/105/XL,2020-11-16 15:11:42,很好
y***3,颜色分类:00 白色;尺码:180/105/XL,2020-11-16 12:39:31,可以，轻、薄
石***古,颜色分类:00 白色;尺码:170/95/M,2020-11-16 12:09:59,巨薄
w***p,颜色分类:09 黑色;尺码:170/95/M,2020-11-16 11:39:05,薄
k***y,颜色分类:00 白色;尺码:175/100/L,2020-11-16 11:29:50,实体店79，双十一59，便宜二十，日子就是这么过的么！
k***y,颜色分类:09 黑色;尺码:175/100/L,2020-11-16 11:29:50,实体店79，双十一59，便宜二十，日子就是这么过的么！
秋***拓,颜色分类:00 白色;尺码:175/100/L,2020-11-16 11:11:39,买来打底穿的，很软很滑很舒服，双十一买的很划算
9***6,颜色分类:09 黑色;尺码:175/100/L,2020-11-16 10:33:01,照着上次门店买的型号下单买的，结果料子完全不一样，薄如蝉翼，根本没法穿出去😂
q***a,颜色分类:69 藏青色;尺码:170/95/M,2020-11-15 23:36:55,衣服舒适合身 吸汗速干 秋冬季当衬衫卫衣的打底绝对合适 爱了
q***a,颜色分类:00 白色;尺码:170/95/M,2020-11-15 23:36:55,衣服舒适合身 吸汗速干 秋冬季当卫衣的打底绝对合适
大***7,颜色分类:69 藏青色;尺码:175/100/L,2020-11-15 22:32:47,我多年来第一个差评，优衣库的人工客服太差了！
郭***0,颜色分类:69 藏青色;尺码:170/95/M,2020-11-15 21:22:12,码数还可以，可能我偏瘦吧，看尺码选的，就是下摆太长了，其他合适，而且太薄了，跟2年前买的薄太多了，优惠力度小到离谱，什么300减30，拉平均一件优惠不了几块，除了顺丰还选其他物流，慢的要*，3到4日才收到，还双十一，优衣库以后不用参加双十一了，体验感太差了，相对其他牌子
影***麟,颜色分类:00 白色;尺码:175/100/L,2020-11-15 20:25:35,我要给好评&hellip;&hellip;评到所有人都看到为止！ 东西收到以后马上查看，发现与图片描述一致，超级喜欢，卖家发货速度很快，服务也很到位，给老板点个赞，下次还会来购买.
w***u,颜色分类:09 黑色;尺码:175/100/L,2020-11-15 17:55:04,轻薄透气，修身，延展性好。
a***a,颜色分类:09 黑色;尺码:170/95/M,2020-11-15 11:35:40,舒适
s***h,颜色分类:69 藏青色;尺码:175/100/L,2020-11-15 10:10:13,价格合适，非常满意。。。
s***m,颜色分类:69 藏青色;尺码:170/95/M,2020-11-15 09:26:16,穿着很舒服。
l***9,颜色分类:69 藏青色;尺码:175/100/L,2020-11-15 09:21:55,每年的双十一都要在优衣库买买买，买了好几年了，质量舒适度都非常好
h***1,颜色分类:69 藏青色;尺码:170/95/M,2020-11-15 03:18:48,说实话，跟实体店差别很大，薄、透还丝光材质，以为优衣库最省心真的太天真
s***n,颜色分类:00 白色;尺码:175/100/L,2020-11-14 23:23:21,非常不错，性价比高，双11活动好
a***9,颜色分类:69 藏青色;尺码:180/105/XL,2020-11-14 23:06:20,还可以，从附近寄过来的很快到货
s***6,颜色分类:09 黑色;尺码:170/95/M,2020-11-14 22:34:31,嗯嗯嗯很好
t***0,颜色分类:09 黑色;尺码:165/90/S,2020-11-14 21:36:19,很舒服，第二次购买了
q***8,颜色分类:00 白色;尺码:175/100/L,2020-11-14 19:28:57,优衣库的东西一直让人放心，但是优衣库的在线服务一直让人糟心，一个半小时才有人回复
s***9,颜色分类:00 白色;尺码:175/100/L,2020-11-14 17:17:15,薄
j***m,颜色分类:69 藏青色;尺码:165/90/S,2020-11-14 16:43:09,速干的面料，轻薄，老公喜欢。
c***0,颜色分类:00 白色;尺码:180/105/XL,2020-11-14 15:24:20,回购多次，老公一直穿这个，比全棉的耐穿！
左***暧,颜色分类:00 白色;尺码:175/100/L,2020-11-14 15:04:19,跟我在线下买的根本都不是一个料子，
左***左,颜色分类:69 藏青色;尺码:175/100/L,2020-11-14 12:00:00,蛮好，实用
毛***天,颜色分类:00 白色;尺码:175/100/L,2020-11-14 10:40:41,轻薄贴身好穿
n***8,颜色分类:00 白色;尺码:180/105/XL,2020-11-14 10:34:52,无限回购的一款
n***8,颜色分类:09 黑色;尺码:180/105/XL,2020-11-14 10:34:52,无限回购 很好
骑***弥,颜色分类:00 白色;尺码:170/95/M,2020-11-14 01:10:29,穿着还不错的，打底衫！
g***3,颜色分类:00 白色;尺码:175/100/L,2020-11-13 19:53:09,不错
x***7,颜色分类:00 白色;尺码:175/100/L,2020-11-13 14:39:48,挺舒服。
金***泡,颜色分类:09 黑色;尺码:170/95/M,2020-11-13 13:24:20,一般吧
金***泡,颜色分类:69 藏青色;尺码:170/95/M,2020-11-13 13:24:20,一般吧
庄***6,颜色分类:09 黑色;尺码:175/100/L,2020-11-13 12:55:57,好评
x***4,颜色分类:69 藏青色;尺码:175/100/L,2020-11-13 12:20:20,最喜欢穿这个材质的衣服了，舒服，速干
2***n,颜色分类:00 白色;尺码:175/100/L,2020-11-13 11:36:27,一直买 这次换线上采购了 穿着舒服
c***8,颜色分类:00 白色;尺码:175/100/L,2020-11-13 10:08:02,不错
y***g,颜色分类:69 藏青色;尺码:180/105/XL,2020-11-12 22:15:14,给老公买的第四件
朔***仁,颜色分类:00 白色;尺码:175/100/L,2020-11-12 21:00:17,不错
朔***仁,颜色分类:09 黑色;尺码:175/100/L,2020-11-12 21:00:17,不错
水***4,颜色分类:09 黑色;尺码:170/95/M,2020-11-12 20:53:37,买错了
a***5,颜色分类:00 白色;尺码:170/95/M,2020-11-12 19:44:56,很舒服
s***9,颜色分类:69 藏青色;尺码:170/95/M,2020-11-12 19:40:37,优衣库，一如既往的好，放心信赖！
徐***贝,颜色分类:00 白色;尺码:180/105/XL,2020-11-12 14:53:15,买三件 两件没给我取钉 我也是无语了 找客服也是半天不回复 最后还要特意跑一趟优衣库门店去取钉 本来网购不就是图方便省事么
l***9,颜色分类:00 白色;尺码:170/95/M,2020-11-12 13:39:20,比店里的包装差，而且皱的一塌糊涂，像压了千年的库存，领子洗两次就变形了
谢***3,颜色分类:69 藏青色;尺码:175/100/L,2020-11-12 10:09:20,质量没得说OK，顺丰快递真快、点个赞
菜***龟,颜色分类:00 白色;尺码:175/100/L,2020-11-11 22:42:29,质量刚刚滴
c***6,颜色分类:00 白色;尺码:175/100/L,2020-11-11 21:30:37,好哦
小***4,颜色分类:69 藏青色;尺码:175/100/L,2020-11-11 17:01:32,每年双十一要买几件，老公最爱。。。
s***h,颜色分类:69 藏青色;尺码:175/100/L,2020-11-11 08:26:01,很好穿，强烈推荐。。。。
黄***8,颜色分类:00 白色;尺码:175/100/L,2020-11-11 03:09:03,我169cm/70kg平时优衣库上衣一律170/92 M，这内衣建议买大一号 嘿嘿嘿 非常薄，会产生不穿衣服的错觉
小***啊,颜色分类:09 黑色;尺码:180/105/XL,2020-11-10 22:51:59,常买常用常备
不***星,颜色分类:09 黑色;尺码:170/95/M,2020-11-10 22:08:48,轻薄
李***a,颜色分类:00 白色;尺码:175/100/L,2020-11-10 21:32:38,好
我***0,颜色分类:00 白色;尺码:170/95/M,2020-11-10 17:20:59,非常舒服的面料，打底很不错
a***a,颜色分类:09 黑色;尺码:170/95/M,2020-11-10 16:05:20,买错了几十块钱懒得退了，面料很轻薄&apos;只适合夏天穿吧，穿了很gay
莫***啦,颜色分类:69 藏青色;尺码:165/90/S,2020-11-10 14:30:57,便宜，全新，价格亲民
莫***啦,颜色分类:00 白色;尺码:165/90/S,2020-11-10 14:30:57,便宜，全新，价格亲民
s***y,颜色分类:00 白色;尺码:170/95/M,2020-11-10 13:26:50,bu cuo bu cuo
