displayUserNick,auctionSku,rateDate,rateContent
花***爷,颜色分类:31 米色;尺码:165/90/S,2021-03-03 22:15:37,可买
i***6,颜色分类:57 深橄榄色;尺码:175/100/L,2021-01-24 17:59:00,纯棉面料，有点厚实，很舒服。裤腰有绑带，但穿起来裤型大方，下半截象西装裤一样。很喜欢优衣库的男装裤，比较宽松。上次买的是199，这次降了50元，果断再买一条。
i***6,颜色分类:31 米色;尺码:175/100/L,2021-01-06 18:34:17,第一次尝试买这种裤，想不到很成功。裤型很好，穿起来斯文大方，休闲。布料也非常不错，就是价格有点小贵，准备收藏起来，等降价时再入手别的颜色。
z***人,颜色分类:31 米色;尺码:175/100/L,2021-01-06 10:48:38,买给老弟的，之前在店里试穿过，搞活动买很划算，超棒
飞***8,颜色分类:31 米色;尺码:165/90/S,2021-01-04 18:26:17,这条裤子一起买了两条，版型不错，而且穿起来也很舒服
r***g,颜色分类:31 米色;尺码:170/95/M,2021-01-03 10:41:25,舒服，广东冬天还可以穿
e***7,颜色分类:69 藏青色;尺码:175/100/L,2021-01-02 23:45:52,超赞的裤子
发***2,颜色分类:08 深灰色;尺码:175/100/L,2021-01-02 13:50:34,有点肥了
和***6,颜色分类:69 藏青色;尺码:165/90/S,2021-01-02 09:41:15,粘毛严重，看上去好旧
t***5,颜色分类:69 藏青色;尺码:170/95/M,2020-12-29 14:45:37,内裤发热没有说的那么保暖，毕竟薄🙂版型好的
于***4,颜色分类:69 藏青色;尺码:170/95/M,2020-12-29 08:19:22,比实体店的腰大
c***w,颜色分类:69 藏青色;尺码:175/100/L,2020-12-25 08:42:43,满意
i***离,颜色分类:08 深灰色;尺码:165/90/S,2020-12-24 22:56:27,客服态度很好 送货快 包装很好  满意
t***0,颜色分类:31 米色;尺码:170/95/M,2020-12-24 17:45:47,大小合适，做工精良，出口品质，最满意的一次淘货，很喜欢，下次会再来！
t***7,颜色分类:31 米色;尺码:170/95/M,2020-12-24 12:54:44,可以，很不错
a***5,颜色分类:69 藏青色;尺码:170/95/M,2020-12-24 10:24:01,穿起来舒服，值得买
欧***立,颜色分类:08 深灰色;尺码:180/105/XL,2020-12-24 01:04:45,买了两条
x***0,颜色分类:57 深橄榄色;尺码:170/95/M,2020-12-23 14:27:41,很不错
w***8,颜色分类:08 深灰色;尺码:170/95/M,2020-12-23 07:42:47,还可以吧
h***4,颜色分类:69 藏青色;尺码:165/90/S,2020-12-23 00:42:50,"给老爸买的。实物的色和图片稍有差异，但还是挺满意的。物有所值店已经收藏了很久，不过是第一次下手。应该说还不错。衣服很好 面料很舒服, 下次记得送点小礼品哦。卖家人很好 这个还没用 看包装应该不错衣服很好 面料很舒服, 下次记得送点小礼品哦。卖家人很好 这个还没用 看包装应该不错吧实物的色和图片稍有差异，但还是挺满意的。物有所值店已经收藏了很久，不过是第一次下手。应该说还不错。衣服很好 面料很舒服, 下次记得送点小礼品哦。"
邱***夕,颜色分类:69 藏青色;尺码:165/90/S,2020-12-22 20:51:34,很舒适
t***2,颜色分类:69 藏青色;尺码:175/100/L,2020-12-22 20:29:47,有点粘毛0
t***1,颜色分类:31 米色;尺码:180/105/XL,2020-12-22 11:42:21,质量不错，穿的也可以
大***星,颜色分类:69 藏青色;尺码:165/90/S,2020-12-22 11:10:23,不错
q***2,颜色分类:31 米色;尺码:165/90/S,2020-12-20 21:32:51,很喜欢这种九分裤 之前买了两条了 再买个浅色
l***4,颜色分类:69 藏青色;尺码:165/90/S,2020-12-20 19:51:13,好
0***好,颜色分类:31 米色;尺码:175/100/L,2020-12-20 18:55:47,爱了，第一次买米色，意外的好看。裤型也好 ，大小这次也买合适了
d***9,颜色分类:69 藏青色;尺码:165/90/S,2020-12-19 23:20:00,很好，是同款第二条了
兰***丶,颜色分类:69 藏青色;尺码:165/90/S,2020-12-19 23:02:13,优衣库的码一向很准诶，质量也还可以，款式简单好看，以后买衣服就买优衣库好了
行***伤,颜色分类:08 深灰色;尺码:170/95/M,2020-12-19 22:59:26,可以，很不错
2***巴,颜色分类:31 米色;尺码:170/95/M,2020-12-18 11:57:34,发货太慢了，裤子还可以
m***4,颜色分类:08 深灰色;尺码:175/100/L,2020-12-18 11:23:55,不是很厚，布料不错
孔***0,颜色分类:69 藏青色;尺码:170/95/M,2020-12-17 20:24:13,九分裤，个人觉得再长点更好，韵达快递服务态度差评
秋***爹,颜色分类:31 米色;尺码:165/90/S,2020-12-17 16:21:26,偏薄，只能留到春天穿了。米色好看，矮个子买九分裤当长裤穿，然而裤腰太大了，应该买xs的，然而xs长期没货......难过
张***o,颜色分类:08 深灰色;尺码:175/100/L,2020-12-15 12:44:59,男女都可以穿。很好满意
张***o,颜色分类:31 米色;尺码:175/100/L,2020-12-15 12:44:59,男女都可以穿满意。
t***3,颜色分类:08 深灰色;尺码:165/90/S,2020-12-15 10:51:18,好
寒***巴,颜色分类:69 藏青色;尺码:175/100/L,2020-12-15 09:07:06,此用户没有填写评论!
如***常,颜色分类:31 米色;尺码:170/95/M,2020-12-14 21:28:32,女生172，62kg，M码裤头大了，但是别的地方都挺好，感觉有点像八分裤了。质地非常舒服，很喜欢这裤子啦～实体店没看到有，盲选的码数，算是很合适了。
山***代,颜色分类:69 藏青色;尺码:170/95/M,2020-12-14 10:39:16,很合身，一直买优衣库！
t***5,颜色分类:57 深橄榄色;尺码:165/90/S,2020-12-14 10:23:55,实在是一般，适合夏天。。。s码感觉还有点点点松，奇了怪了
玫***2,颜色分类:69 藏青色;尺码:175/100/L,2020-12-14 07:47:50,布料很软 好穿
m***3,颜色分类:31 米色;尺码:170/95/M,2020-12-13 20:07:16,跟去年的弹力九分裤一样，稍微裤腿比以前的窄了一点点，也可能是19款的被我穿松了
m***3,颜色分类:69 藏青色;尺码:170/95/M,2020-12-13 20:07:15,跟去年的弹力九分裤一样，稍微裤腿比以前的窄了一点点，也可能是19款的被我穿松了
m***3,颜色分类:08 深灰色;尺码:170/95/M,2020-12-13 20:07:15,跟去年的弹力九分裤一样，稍微裤腿比以前的窄了一点点，也可能是19款的被我穿松了
聂***泽,颜色分类:69 藏青色;尺码:165/90/S,2020-12-13 11:34:42,之前买M码穿出了长裤的感觉，现在S码，终于九分裤了，哈哈哈哈哈哈哈
t***元,颜色分类:31 米色;尺码:180/105/XL,2020-12-13 10:25:56,此用户没有填写评论!
t***6,颜色分类:31 米色;尺码:165/90/S,2020-12-12 23:37:00,质量不错，弹性很好
f***默,颜色分类:08 深灰色;尺码:165/90/S,2020-12-12 21:04:02,正合适
总***教,颜色分类:69 藏青色;尺码:165/90/S,2020-12-12 14:19:01,裤子没毛病，版型是我最喜欢的
t***5,颜色分类:69 藏青色;尺码:165/90/S,2020-12-12 14:14:06,推荐，很舒服~
g***g,颜色分类:57 深橄榄色;尺码:185/110/XXL,2020-12-11 22:36:17,大小合适
只***烂,颜色分类:31 米色;尺码:175/100/L,2020-12-11 17:51:35,此用户没有填写评论!
哈***了,颜色分类:57 深橄榄色;尺码:170/95/M,2020-12-10 20:27:22,不知道是第几条优衣库，感觉可以。没有皮带扣
穿***子,颜色分类:31 米色;尺码:175/100/L,2020-12-10 13:32:35,冲冲冲冲冲冲真不错
最***5,颜色分类:69 藏青色;尺码:165/90/S,2020-12-10 11:11:02,挺好的，买过两条了
丰***饰,颜色分类:08 深灰色;尺码:165/90/S,2020-12-06 19:03:18,穿着舒服但是太宽松了！可以做运动裤！
a***的,颜色分类:69 藏青色;尺码:170/95/M,2020-12-05 11:44:22,不错，老弟175 59kg m码刚好。
a***的,颜色分类:08 深灰色;尺码:170/95/M,2020-12-05 11:43:11,不错，老弟173 61kg m码刚好。
m***l,颜色分类:57 深橄榄色;尺码:170/95/M,2020-12-04 22:52:43,面料柔软不掉色。透气性好。可以外传，甚至可以做睡裤穿。价格适中。
杨***e,颜色分类:69 藏青色;尺码:170/95/M,2020-12-04 20:54:43,还不错，米色百搭
好***子,颜色分类:31 米色;尺码:165/90/S,2020-12-04 12:17:41,裤子还是好看的，就是优衣库的物流速度和人工客服就不言而喻了，之前在店里试的等活动时候才买的
杰***m,颜色分类:57 深橄榄色;尺码:165/90/S,2020-12-04 12:10:37,裤子好像比上一年的款好，看起来没那么容易变旧
t***1,颜色分类:31 米色;尺码:165/90/S,2020-12-04 07:27:49,吹爆这条裤子，一眼就喜欢上了😁😁😁
v***﹋,颜色分类:31 米色;尺码:170/95/M,2020-12-04 00:24:03,此用户没有填写评论!
对***气,颜色分类:31 米色;尺码:175/100/L,2020-12-02 17:14:43,合适舒服
丨***仔,颜色分类:69 藏青色;尺码:165/90/S,2020-12-02 09:08:50,此用户没有填写评论!
t***8,颜色分类:31 米色;尺码:175/100/L,2020-12-02 07:18:00,以前实体店买过的，被挂坏了，当地门店又没有合适尺码，选择网购，也很方便
t***5,颜色分类:69 藏青色;尺码:170/95/M,2020-12-01 21:06:10,裤子裤腰太大了
生***贵,颜色分类:69 藏青色;尺码:175/100/L,2020-12-01 10:54:53,挺好的，休闲风格，也不起皱，倒是容易褪色
s***4,颜色分类:31 米色;尺码:165/90/S,2020-11-30 21:51:07,宽松，很舒服。
泽***亭,颜色分类:69 藏青色;尺码:175/100/L,2020-11-30 21:04:55,尺码很正，穿着也还合适
t***8,颜色分类:31 米色;尺码:175/100/L,2020-11-30 19:45:59,第二次买了，裤子质量很好，穿上很舒服。
嘉***好,颜色分类:08 深灰色;尺码:170/95/M,2020-11-30 12:32:58,好看，舒服！
文***好,颜色分类:57 深橄榄色;尺码:175/100/L,2020-11-30 10:04:22,一模一样
天***1,颜色分类:69 藏青色;尺码:165/90/S,2020-11-29 19:00:51,还行，老公穿着挺合适。
t***3,颜色分类:08 深灰色;尺码:170/95/M,2020-11-29 11:38:53,好看好穿
w***8,颜色分类:31 米色;尺码:165/90/S,2020-11-29 00:50:34,此用户没有填写评论!
花***瓜,颜色分类:57 深橄榄色;尺码:165/90/S,2020-11-28 16:19:34,实体店试过后等降价买的
花***瓜,颜色分类:69 藏青色;尺码:165/90/S,2020-11-28 16:19:34,实体店试过后等降价买的
随***型,颜色分类:08 深灰色;尺码:170/95/M,2020-11-28 14:43:16,香香香
知***7,颜色分类:31 米色;尺码:170/95/M,2020-11-28 09:26:35,优衣库的质量不错，下次还会光顾
p***6,颜色分类:69 藏青色;尺码:170/95/M,2020-11-27 23:03:32,买给男朋友的，男朋友很喜欢，对腿粗的男生很友好，喜欢的朋友可以入手了
x***2,颜色分类:31 米色;尺码:170/95/M,2020-11-27 18:48:09,很好
莫***刘,颜色分类:08 深灰色;尺码:165/90/S,2020-11-27 17:48:53,"看看鲁迅全集的目录,大概就没人敢说这不是个渊博的人。可是渊博二字还不是对鲁迅先生的恰好赞同。 　　茅盾：要冒这一切伟大的永久纪念的必得办到,由一个先决条件：学习鲁迅! 　　鲁迅逝世时，郁达夫在《怀鲁迅》中写下这样的话：没有伟大的人物出现的民族，是世界上最可怜的生物之群;虽有了伟大人物，而不知拥护、爱戴、崇拜的国家，是没有希望的奴隶之邦。&mdash;&mdash;《怀鲁迅》郁达夫，一九三六年十月二十四日在上海，原载一九三六年十一月一日《文学》第七卷第五号。"
m***l,颜色分类:08 深灰色;尺码:175/100/L,2020-11-27 17:45:58,舒服
雨***儿,颜色分类:31 米色;尺码:170/95/M,2020-11-27 12:40:42,此用户没有填写评论!
叉***2,颜色分类:69 藏青色;尺码:170/95/M,2020-11-27 02:24:46,辣鸡，发过来的货没有去掉防盗扣，客服不理，没有换货按钮，只有退款重拍或者线下门店换货，用了双十一惊喜红包，退款重拍相当于再买一次，去换货地址很远，路费停车费也贵，还浪费时间。
p***5,颜色分类:08 深灰色;尺码:165/90/S,2020-11-26 21:25:53,此用户没有填写评论!
我***淮,颜色分类:57 深橄榄色;尺码:170/95/M,2020-11-26 10:43:19,质量很好哦，发货也很快，一家非常喜欢的店铺，我要疯狂推荐给朋友们
大***军,颜色分类:08 深灰色;尺码:170/95/M,2020-11-25 23:06:01,给男朋友买的，非常适合。他很喜欢
焦***婷,颜色分类:08 深灰色;尺码:180/105/XL,2020-11-25 19:34:37,裤子有点大，170，76公斤，穿L的比较合适
梦***4,颜色分类:69 藏青色;尺码:170/95/M,2020-11-25 16:17:48,好👌🏻！
叫***9,颜色分类:69 藏青色;尺码:170/95/M,2020-11-25 12:19:39,第二次购买，一如既往的喜欢
翰***笨,颜色分类:31 米色;尺码:175/100/L,2020-11-25 09:55:58,这条裤子特别舒服！
最***0,颜色分类:31 米色;尺码:165/90/S,2020-11-25 09:49:28,不错，很合身
z***6,颜色分类:08 深灰色;尺码:165/90/S,2020-11-24 20:44:42,给男朋友买的，还可以
w***0,颜色分类:69 藏青色;尺码:165/90/S,2020-11-24 19:53:24,在店里试过，双十一省50元。好像是男款的，但是我穿着挺好的。平时优家的九分裤L码就穿这款S码。面料略有弹性，比较厚。
金***3,颜色分类:69 藏青色;尺码:170/95/M,2020-11-24 15:03:53,裤子不错，买的第二条同款了
从***过,颜色分类:69 藏青色;尺码:170/95/M,2020-11-24 15:01:13,一般般
心***9,颜色分类:69 藏青色;尺码:175/100/L,2020-11-24 13:09:39,裤子质量不错，就是大了，去店里换了条，好评
穹***龙,颜色分类:31 米色;尺码:170/95/M,2020-11-24 12:36:09,此用户没有填写评论!
w***1,颜色分类:69 藏青色;尺码:165/90/S,2020-11-24 12:20:15,买错颜色了，版型可以的，只能穿小码，不然太长了，但是小码感觉腰又紧了点😓
n***s,颜色分类:08 深灰色;尺码:165/90/S,2020-11-24 11:20:33,裤子很舒服 质量灰常好
q***3,颜色分类:69 藏青色;尺码:170/95/M,2020-11-24 01:28:33,裤子穿着很舒服 料子舒服
t***1,颜色分类:08 深灰色;尺码:180/105/XL,2020-11-23 22:50:56,不错不错
t***1,颜色分类:69 藏青色;尺码:180/105/XL,2020-11-23 22:50:55,不错不错
t***1,颜色分类:31 米色;尺码:180/105/XL,2020-11-23 22:50:55,不错不错
f***y,颜色分类:08 深灰色;尺码:165/90/S,2020-11-23 20:16:17,裤子稍微有点薄，春秋天穿应该还是不错的
f***y,颜色分类:57 深橄榄色;尺码:165/90/S,2020-11-23 20:16:17,裤子稍微有点薄，春秋天穿应该还是不错的
c***c,颜色分类:57 深橄榄色;尺码:160/85/XS,2020-11-23 16:04:10,好
像***g,颜色分类:31 米色;尺码:165/90/S,2020-11-23 12:40:09,167/52 穿起来非常合适！九分裤实际上成了十分裤！ 建议不确定自己穿起来合不合适的人可以先到线下店试试！
小***6,颜色分类:31 米色;尺码:175/100/L,2020-11-23 11:13:38,身高170cm，腰围粗，体重140斤，选了L码 裤子腰围很适合，本人腿不粗，所以裤腿显得有些宽，基本上是满意。裤子手洗无任何质量问题，仅供参考
桂***刚,颜色分类:69 藏青色;尺码:170/95/M,2020-11-23 07:32:04,裤腿小腿部分有点宽
y***r,颜色分类:08 深灰色;尺码:175/100/L,2020-11-22 23:48:29,宝贝收到咯👌🏻，真的很棒呀！🌈质量真是没话说，非常满意！🆗开心开心😃
1***婆,颜色分类:31 米色;尺码:170/95/M,2020-11-22 22:36:20,很喜欢.穿着很舒服，价格很划算，剩了70快大洋，哈哈，整天搭衣服也很好搭，，可以当起居服穿，多功能，好
t***1,颜色分类:57 深橄榄色;尺码:170/95/M,2020-11-22 16:35:14,东西超级方便，超级简单实用我喜欢，我会再买的
简***d,颜色分类:31 米色;尺码:170/95/M,2020-11-22 15:40:00,此用户没有填写评论!
大***星,颜色分类:31 米色;尺码:170/95/M,2020-11-22 12:19:30,不错
1***d,颜色分类:31 米色;尺码:165/90/S,2020-11-22 00:09:25,图片有色差
不***8,颜色分类:08 深灰色;尺码:170/95/M,2020-11-21 12:17:41,帅气的小女孩儿的时候就会觉得很好看首映礼很震撼的感觉，我的人生就是说我不知道你是谁的青春岁月静好
八***舞,颜色分类:08 深灰色;尺码:170/95/M,2020-11-21 01:41:43,长短正好，穿起来还行。身高172m号
李***9,颜色分类:31 米色;尺码:165/90/S,2020-11-20 22:33:47,九分裤很合适
小***么,颜色分类:69 藏青色;尺码:180/105/XL,2020-11-20 21:34:19,已收到，发货速度包装完好，你值得拥有，不错，好、......
y***3,颜色分类:69 藏青色;尺码:165/90/S,2020-11-20 19:49:33,舒适，舒适，还是舒适！太好穿了，唯一让人头疼的是同样的码子，米色的那条偏小。
y***3,颜色分类:31 米色;尺码:165/90/S,2020-11-20 19:49:32,一起买的两条，同样的码子，这个米色偏小。这种情况已经出现第二次了。品控太差了吧！
我***s,颜色分类:31 米色;尺码:170/95/M,2020-11-20 15:41:16,有点大，172，穿M还是大了点，买S应该刚好，
醉***世,颜色分类:08 深灰色;尺码:170/95/M,2020-11-20 08:06:38,非常舒服
m***贝,颜色分类:31 米色;尺码:165/90/S,2020-11-19 23:23:21,还不错，质量
阿***华,颜色分类:31 米色;尺码:175/100/L,2020-11-19 21:26:31,宝贝收到了，才过来评价， 首先我必须说一下客服的服务态度是相当的欧耶了，然后再说说宝贝，宝贝的质量和款式都好，也是本人喜欢的风格，穿着特有范儿，料子一点也不闷，特别透气，舒服，出去旅游可以穿啦，太开心啦，以后还会再来你家的呦，其实，还有一套你们的宝贝，已经在路上了，期待下一个惊喜，爱你们呦么么哒～(^з^)-
王***6,颜色分类:69 藏青色;尺码:175/100/L,2020-11-19 18:25:57,抱歉 忘了确认收货
l***1,颜色分类:31 米色;尺码:175/100/L,2020-11-19 14:22:17,回购的，穿着很舒服。
c***o,颜色分类:69 藏青色;尺码:165/90/S,2020-11-19 13:16:49,正好合适
c***1,颜色分类:69 藏青色;尺码:170/95/M,2020-11-19 12:58:00,非常好，性价比高！
l***3,颜色分类:69 藏青色;尺码:175/100/L,2020-11-19 10:35:00,还不错，和实体店差不多。
从***游,颜色分类:31 米色;尺码:165/90/S,2020-11-19 08:06:47,裤子质感不错，颜色好看，宽松有微微弹性穿着舒服。
x***l,颜色分类:31 米色;尺码:165/90/S,2020-11-18 15:35:08,好评
l***2,颜色分类:69 藏青色;尺码:170/95/M,2020-11-18 14:17:30,优衣库的东西不用多说，就是好穿
r***s,颜色分类:08 深灰色;尺码:170/95/M,2020-11-18 12:23:44,很满意，线下买过一次条，换个色再买一次
o***r,颜色分类:08 深灰色;尺码:170/95/M,2020-11-18 12:06:26,弹性好，穿着舒服，就是太老年化了
t***1,颜色分类:69 藏青色;尺码:170/95/M,2020-11-18 10:59:54,东西还不错，但是物流太差了，不建议用韵达，最近韵达做的烂绝对不是无缘无故的，好多基层物流人员不管不顾，东西不派送
a***4,颜色分类:31 米色;尺码:170/95/M,2020-11-18 09:04:08,很好穿
我***瑶,颜色分类:69 藏青色;尺码:165/90/S,2020-11-18 08:24:18,喜欢，男朋友穿了好看。 170 125买了s码，合适
海***约,颜色分类:31 米色;尺码:165/90/S,2020-11-18 07:09:42,还可以很不错
l***伦,颜色分类:31 米色;尺码:170/95/M,2020-11-18 00:02:20,不错
m***0,颜色分类:31 米色;尺码:175/100/L,2020-11-17 22:08:16,非常合适 双十一物流也很快
不***v,颜色分类:69 藏青色;尺码:165/90/S,2020-11-17 21:47:22,舒服，170，55穿裤脚还是有点点长，
邀***亡,颜色分类:08 深灰色;尺码:175/100/L,2020-11-17 21:11:47,短袖和店里卖的同码不同大小
l***3,颜色分类:69 藏青色;尺码:165/90/S,2020-11-17 12:32:17,不错
p***1,颜色分类:31 米色;尺码:170/95/M,2020-11-17 10:28:55,还可以
w***7,颜色分类:08 深灰色;尺码:170/95/M,2020-11-17 10:26:08,还可以
星***9,颜色分类:69 藏青色;尺码:165/90/S,2020-11-17 09:18:23,优秀一如既往
w***y,颜色分类:08 深灰色;尺码:165/90/S,2020-11-16 21:34:32,挺好的，布料舒适，大小合适
t***1,颜色分类:08 深灰色;尺码:165/90/S,2020-11-16 19:38:09,多次购买，双十一做活动实惠
落***悬,颜色分类:31 米色;尺码:165/90/S,2020-11-16 19:34:12,比较宽松，建议买小一号
1***k,颜色分类:31 米色;尺码:170/95/M,2020-11-16 18:28:24,挺好的
