displayUserNick,auctionSku,rateDate,rateContent
x***e,颜色:55 青绿色;尺码:175/100A/L,2021-03-05 08:46:44,非常好
飘***天,颜色:09 黑色;尺码:185/120C/XXXL,2021-01-25 06:16:26,还可以
y***2,颜色:55 青绿色;尺码:170/92A/M,2021-01-24 20:57:09,质量不错，贴身舒服~
l***5,颜色:03 灰色;尺码:170/92A/M,2021-01-24 17:04:46,满意
l***y,颜色:55 青绿色;尺码:170/92A/M,2021-01-24 13:50:53,很好！老公很喜欢！
l***y,颜色:36 褐色;尺码:170/92A/M,2021-01-24 13:50:11,很好！老公很喜欢！
x***v,颜色:03 灰色;尺码:170/92A/M,2021-01-24 09:56:48,好评
b***娘,颜色:36 褐色;尺码:175/100A/L,2021-01-24 09:56:38,39值了不错。。。
青***米,颜色:36 褐色;尺码:175/100A/L,2021-01-23 17:38:32,非常好！咖色洋气 质量好版型好！特别的喜欢！老爸满意 大爱优衣库 值得推荐价格实在物流快！好！！！开心购物
翠***0,颜色:69 藏青色;尺码:175/100A/L,2021-01-23 13:33:45,非常好！正品。质量版型很满意特别舒服，喜欢的不行、哈老公特喜欢这个跨坎背心！开心购物100分赞！
l***3,颜色:55 青绿色;尺码:175/100A/L,2021-01-23 09:35:05,面料舒适
l***3,颜色:08 深灰色;尺码:175/100A/L,2021-01-23 09:18:29,穿着舒适！
l***3,颜色:36 褐色;尺码:175/100A/L,2021-01-23 09:18:29,穿着舒适，多买几件换着穿！
t***2,颜色:08 深灰色;尺码:165/84A/S,2021-01-23 02:24:57,因为颜色都没有了.就买了深灰色.也挺好看的.lg168 115斤吧应该是.买的S差不多.下次做活动要再买一件哈.
1***y,颜色:03 灰色;尺码:175/100A/L,2021-01-23 01:34:30,老公立马穿上了，爱的很😂
最***值,颜色:03 灰色;尺码:175/100A/L,2021-01-22 19:51:32,有点儿偏大了&hellip;
伊***雗,颜色:55 青绿色;尺码:175/100A/L,2021-01-22 18:19:23,最欣慰的就是退货申请单，商家很贴心，之前退货商家让写乱七八糟一堆东西，***烦😡。但优衣库不一样，把需要你写的东西已经全部打印好啦，很贴心很暖，还有就是东西不错👍
漫***花,颜色:03 灰色;尺码:175/100A/L,2021-01-22 14:52:09,比较薄，还行吧
t***9,颜色:36 褐色;尺码:175/100A/L,2021-01-22 11:52:13,我没想到我180  买个175的居然也大了  应该买小两个号
谁***5,颜色:03 灰色;尺码:170/92A/M,2021-01-22 11:34:23,好
谁***5,颜色:69 藏青色;尺码:170/92A/M,2021-01-22 11:34:23,好
未***u,颜色:36 褐色;尺码:170/92A/M,2021-01-22 10:58:25,背心里面会起球，比较薄、颜色正
l***7,颜色:03 灰色;尺码:170/92A/M,2021-01-22 06:53:47,帮人买的 说穿着舒服所以这次又回购了
y***m,颜色:55 青绿色;尺码:180/108B/XL,2021-01-21 23:04:16,实体店没有&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;只能网上买
心***者,颜色:00 白色;尺码:170/92A/M,2021-01-21 23:00:33,非常好
心***者,颜色:03 灰色;尺码:170/92A/M,2021-01-21 23:00:33,非常好
d***h,颜色:55 青绿色;尺码:180/108B/XL,2021-01-21 21:31:07,厚实暖和
a***b,颜色:36 褐色;尺码:175/100A/L,2021-01-21 21:08:54,一如既往的支持
夕***好,颜色:00 白色;尺码:170/92A/M,2021-01-21 20:24:05,给男朋友买的，很舒服，大小也合适
h***8,颜色:00 白色;尺码:170/92A/M,2021-01-21 17:41:23,此用户没有填写评论!
温***4,颜色:55 青绿色;尺码:180/108B/XL,2021-01-21 17:10:01,去店里没有卖的 在这买
温***4,颜色:55 青绿色;尺码:175/100A/L,2021-01-21 17:09:06,店里没有卖的 这里找到了
爱***g,颜色:69 藏青色;尺码:175/100A/L,2021-01-21 15:13:41,不错的，第三次购买了
b***l,颜色:03 灰色;尺码:180/108B/XL,2021-01-21 10:18:13,一如既往的好
d***8,颜色:55 青绿色;尺码:175/100A/L,2021-01-21 08:57:03,多次购买 优衣库的铁粉 性价比很高
静***8,颜色:08 深灰色;尺码:170/92A/M,2021-01-20 23:27:25,将就
静***8,颜色:03 灰色;尺码:170/92A/M,2021-01-20 23:27:25,普通
q***y,颜色:55 青绿色;尺码:165/84A/S,2021-01-20 22:39:48,很好
w***4,颜色:55 青绿色;尺码:175/100A/L,2021-01-20 20:51:36,很满意的背心
没***汤,颜色:55 青绿色;尺码:175/100A/L,2021-01-20 19:42:17,可
x***6,颜色:69 藏青色;尺码:175/100A/L,2021-01-20 18:46:11,质量不错，经济实惠，值得购买
l***w,颜色:08 深灰色;尺码:165/84A/S,2021-01-20 17:56:32,好！
l***w,颜色:55 青绿色;尺码:165/84A/S,2021-01-20 17:56:32,好！
金***9,颜色:09 黑色;尺码:180/108B/XL,2021-01-20 17:51:12,买了好几个这个背心了，挺好穿
w***4,颜色:69 藏青色;尺码:175/100A/L,2021-01-20 15:45:38,买了很多次了，很不错，满意
s***h,颜色:08 深灰色;尺码:170/92A/M,2021-01-20 11:45:37,挺好的 之前在实体店买过 后来店里没有了 网上还能买到 棉含量比较高 不太容易变形 要是能包邮就更好了
a***6,颜色:03 灰色;尺码:175/100A/L,2021-01-20 11:01:22,多次购买了，质量不错很柔软贴身穿着舒服。
安***间,颜色:55 青绿色;尺码:165/84A/S,2021-01-20 09:30:48,物美价廉
安***间,颜色:08 深灰色;尺码:165/84A/S,2021-01-20 09:30:48,物美价廉
薰***1,颜色:55 青绿色;尺码:180/108B/XL,2021-01-19 22:31:31,好评
薰***1,颜色:03 灰色;尺码:180/108B/XL,2021-01-19 22:31:31,好评
淘***良,颜色:03 灰色;尺码:170/92A/M,2021-01-19 21:52:09,非常好，就是总缺货，没有码。
丶***柳,颜色:03 灰色;尺码:170/92A/M,2021-01-19 19:51:50,物美价廉，物流很快，值得购买
q***3,颜色:36 褐色;尺码:175/100A/L,2021-01-19 19:47:44,给女朋友买的，有机会让她穿
我***话,颜色:03 灰色;尺码:170/92A/M,2021-01-19 18:45:31,很快就到了，全新正品👑，包装很仔细，没有问题
s***好,颜色:08 深灰色;尺码:165/84A/S,2021-01-19 13:10:59,之前凑单买了个黑色的，觉得不错再买条
