displayUserNick,auctionSku,rateDate,rateContent
b***n,颜色分类:69 藏青色;尺码:165/90/S,2021-03-05 13:40:49,不错
s***j,颜色分类:31 米色;尺码:175/88A/L,2021-02-24 18:52:31,不错，喜欢，性价比高，以后会经常光顾
啷***8,颜色分类:69 藏青色;尺码:160/64A/XS,2021-02-24 17:40:38,为什么非要让人感觉像买了个盗版呢？！！！
t***7,颜色分类:57 深橄榄色;尺码:165/72A/S,2021-02-24 15:27:26,物流很快
t***7,颜色分类:31 米色;尺码:165/72A/S,2021-02-24 15:27:26,物流很快
t***8,颜色分类:31 米色;尺码:160/64A/XS,2021-02-24 15:19:08,他家的常客。
光***海,颜色分类:08 深灰色;尺码:175/88A/L,2021-02-23 22:22:21,好
笑***3,颜色分类:69 藏青色;尺码:170/80A/M,2021-02-23 19:55:45,尺码标准明显不一样，写的175/88，170/80 买过来175/100，170/95。 本来好好的175买的170款，裤子短强行八分裤，裤腿略大。但是料子还不错 优衣库客服有多绝大家都知道，不想再说了
笑***3,颜色分类:31 米色;尺码:170/80A/M,2021-02-23 19:55:45,尺码标准明显不一样，写的175/88，170/80 买过来175/100，170/95。 本来好好的175买的170款，裤子短强行八分裤，裤腿略大。但是料子还不错 优衣库客服有多绝大家都知道，不想再说了
l***7,颜色分类:31 米色;尺码:175/88A/L,2021-02-23 11:32:38,挺好的
枫***u,颜色分类:69 藏青色;尺码:165/72A/S,2021-02-23 00:36:05,实体店试过，很O**K
w***1,颜色分类:31 米色;尺码:170/80A/M,2021-02-22 12:50:00,先前实体店买过一条，质感和版型相当不错，再入一条
笑***3,颜色分类:31 米色;尺码:175/88A/L,2021-02-19 15:41:39,码数偏大好多， 客服是真的烂，信息发过去过一两个小时才回，过两分钟说我们不回复拜拜了，感情我们得等着客服，客服是大爷嘛？
t***2,颜色分类:69 藏青色;尺码:170/80A/M,2021-02-19 15:19:48,此用户没有填写评论!
k***2,颜色分类:57 深橄榄色;尺码:170/80A/M,2021-02-18 11:44:14,面料柔软舒适，穿上合身，还是不错的
m***8,颜色分类:66 蓝色;尺码:175/88A/L,2021-02-11 12:28:34,还行
没***熊,颜色分类:57 深橄榄色;尺码:175/88A/L,2021-02-08 18:10:13,舒服
t***3,颜色分类:31 米色;尺码:170/80A/M,2021-02-08 17:30:30,裤子买大了，给老爸了。再给自己买一条
莎***默,颜色分类:69 藏青色;尺码:165/72A/S,2021-02-08 13:30:51,好看 适合我这种腿粗的😭
t***2,颜色分类:57 深橄榄色;尺码:185/104C/XXL,2021-02-06 22:30:35,垃圾，很不好拿到以后是脏的
行***于,颜色分类:08 深灰色;尺码:170/80A/M,2021-02-06 22:16:14,不错
z***7,颜色分类:31 米色;尺码:175/88A/L,2021-02-06 10:59:07,挺好的
t***0,颜色分类:31 米色;尺码:175/88A/L,2021-02-06 07:39:58,特别好，给儿子买的穿着特别好看
z***4,颜色分类:69 藏青色;尺码:165/72A/S,2021-02-05 22:05:32,这裤子杠杠的
t***0,颜色分类:08 深灰色;尺码:160/64A/XS,2021-02-05 18:58:22,买了两条不同的颜色，大小合适。
t***0,颜色分类:69 藏青色;尺码:160/64A/XS,2021-02-05 18:57:48,买了两条，大小合适。
闫***楷,颜色分类:31 米色;尺码:170/80A/M,2021-02-05 10:12:02,挺不错的，很满意。穿上特别合适，客服态度很好，给你点个赞
w***s,颜色分类:69 藏青色;尺码:175/88A/L,2021-02-03 22:41:57,买175/88的跟我发了175/100  大了好多跟客服讲直接不理人！这种店根本不能买了
阿***咪,颜色分类:31 米色;尺码:170/80A/M,2021-02-02 13:10:31,每次衣服都很喜欢 质量很好
询***格,颜色分类:57 深橄榄色;尺码:165/72A/S,2021-02-01 10:32:29,衣服着实舒服，把自己气质显示，哈哈哈 实惠，等你打折存着
披***8,颜色分类:08 深灰色;尺码:170/80A/M,2021-02-01 08:59:20,面料舒服 合适
张***4,颜色分类:08 深灰色;尺码:175/88A/L,2021-02-01 08:58:32,店里试过趁活动网上买的，这款裤子看上去平平无奇，上腿很好看，修饰腿型，材质也舒服
t***7,颜色分类:69 藏青色;尺码:170/80A/M,2021-01-31 22:16:25,合身
巴***5,颜色分类:08 深灰色;尺码:170/80A/M,2021-01-31 09:32:39,老公很喜欢。
h***3,颜色分类:57 深橄榄色;尺码:185/104C/XXL,2021-01-30 19:25:41,很好
生***9,颜色分类:69 藏青色;尺码:185/104C/XXL,2021-01-30 18:32:43,好评
t***0,颜色分类:69 藏青色;尺码:175/88A/L,2021-01-30 12:57:41,挺不错的，自己比较瘦所以感觉裤子肥了点
江***0,颜色分类:57 深橄榄色;尺码:170/80A/M,2021-01-29 17:15:39,本人172/60，都说优衣库衣服要买小一码，本来以为买的M码大了，结果今天回来试穿效果不错，北方冬天，加秋裤加保暖裤，穿起来刚刚好，没有那种紧巴巴或者皱巴巴的感觉，点赞，此处省略三十二个字
l***8,颜色分类:31 米色;尺码:170/80A/M,2021-01-26 22:57:36,没降价买了一条，降价了又买了一条棒棒哒
t***7,颜色分类:08 深灰色;尺码:180/96B/XL,2021-01-26 22:08:54,一到手我就开始马不停蹄的评论，我不得不暴几句粗话，因为我真的受不了了，我赣他的DJ，***不小心买大了，这是我的问题，但是我去咨询那个客服，咨询了差不多半个钟头，跟**对空气说话一样 有意者自己看，换了n个所谓的人工客服，但是只发完了电脑一样的回答就不在了，我说***13，嗯是要恶心人吗？
团***嘻,颜色分类:69 藏青色;尺码:185/104C/XXL,2021-01-26 19:47:45,裤型，布料，做工都好！我们都是把九分裤当长裤穿！就是感觉松紧带那里不是太满意
b***9,颜色分类:31 米色;尺码:170/80A/M,2021-01-26 09:56:09,裤子版型好，颜色正，面料舒适，一下子买了两件上衣，搭一起挺好的！包装完好，感觉是正品！
商***s,颜色分类:69 藏青色;尺码:170/80A/M,2021-01-23 14:33:24,买的第5条，之前买的码大了，这个刚好，裤脚卷一下就好了，我165，75kg
商***s,颜色分类:57 深橄榄色;尺码:170/80A/M,2021-01-23 14:33:24,买的第4条，之前买的码大了，这个刚好，裤脚卷一下就好了，我165，75kg
孙***龙,颜色分类:08 深灰色;尺码:165/72A/S,2021-01-22 09:51:16,第一条裤子喷消毒水掉色了😂😂😂，裤子很好看又来买一条
h***0,颜色分类:08 深灰色;尺码:175/88A/L,2021-01-19 21:04:50,合身
t***1,颜色分类:57 深橄榄色;尺码:175/88A/L,2021-01-19 01:27:48,我穿鞋一米七四 体重118斤 买的L码 长度到鞋中间 布料不皱 腰大了
t***8,颜色分类:31 米色;尺码:160/64A/XS,2021-01-18 21:21:46,发货超级快，到货超级快，包装很精致，真的是开启了新世界的大门&hellip;&hellip;
王***6,颜色分类:31 米色;尺码:165/72A/S,2021-01-17 23:23:28,已经在店里试过了，放在购物车里一直等降价都没降。后来等不及了直接下单。买完第二天上衣降了20。整体很满意，裤子味道大，其他陡挺好的
冬***马,颜色分类:69 藏青色;尺码:185/120C/XXXXL,2021-01-17 09:10:41,给孩子买的，穿着非常舒服，有弹力不勒，活动不紧绷，裤型好，显腿长，而且性价比高，会经常光顾贵店，祝卖家生意兴隆财源广进
关***生,颜色分类:69 藏青色;尺码:185/104C/XXL,2021-01-16 13:33:27,质量很好很舒服
不***桂,颜色分类:57 深橄榄色;尺码:165/72A/S,2021-01-13 20:51:55,不错嘛
t***0,颜色分类:66 蓝色;尺码:165/72A/S,2021-01-13 20:39:25,挺好的
不***桂,颜色分类:31 米色;尺码:170/80A/M,2021-01-12 22:06:55,真的不错嘛
不***桂,颜色分类:57 深橄榄色;尺码:170/80A/M,2021-01-12 22:06:55,真的不错啊
t***8,颜色分类:08 深灰色;尺码:165/72A/S,2021-01-10 16:29:48,此用户没有填写评论!
冬***雪,颜色分类:08 深灰色;尺码:180/96B/XL,2021-01-10 07:26:44,默认好东西
e***8,颜色分类:69 藏青色;尺码:170/80A/M,2021-01-09 20:24:46,实物与描述的一样，质量相当好，卖家态度也好，有问必答，发货速度杠杠的，值得购买哦性价比很高，很实惠，使用起来感觉很好，非常完美.^◡^.价格实惠，质量杠杠的，非常好的一次购物，下次还来
原***啊,颜色分类:08 深灰色;尺码:185/120C/XXXXL,2021-01-08 21:00:52,好贵
t***7,颜色分类:31 米色;尺码:160/64A/XS,2021-01-08 16:28:23,挺好的吧
t***4,颜色分类:31 米色;尺码:170/80A/M,2021-01-08 01:50:33,多次购买赞👍推荐购买
锋***宝,颜色分类:57 深橄榄色;尺码:160/64A/XS,2021-01-06 23:54:10,还行 当睡裤也舒服
锋***宝,颜色分类:08 深灰色;尺码:160/64A/XS,2021-01-06 23:54:10,还行 当睡裤也舒服
m***i,颜色分类:08 深灰色;尺码:165/72A/S,2021-01-04 22:13:42,非常好，完美
癫***店,颜色分类:66 蓝色;尺码:160/64A/XS,2021-01-04 21:17:21,两条裤子，同一个码，一条穿出九分裤，一条穿出长裤的感觉
癫***店,颜色分类:69 藏青色;尺码:160/64A/XS,2021-01-04 21:17:21,两条裤子，同一个码，一条穿出九分裤，一条穿出长裤的感觉
t***r,颜色分类:69 藏青色;尺码:160/64A/XS,2021-01-04 08:05:33,此用户没有填写评论!
t***r,颜色分类:69 藏青色;尺码:165/72A/S,2021-01-04 08:05:33,此用户没有填写评论!
s***n,颜色分类:69 藏青色;尺码:180/96B/XL,2021-01-02 00:34:48,不错 适合我这个肥仔 175  78kg合适
7***a,颜色分类:08 深灰色;尺码:160/64A/XS,2021-01-01 09:56:36,刚买完就降价服气了
t***3,颜色分类:08 深灰色;尺码:170/80A/M,2020-12-30 14:02:45,此用户没有填写评论!
伤***2,颜色分类:69 藏青色;尺码:165/72A/S,2020-12-28 18:37:10,宝贝与描述基本一致，发货很快，值得一买双十一物流很快，👍产品很快就收到了，比想象中还好，不错不错！希望能耐用💛看起来还不错，包装的很仔细，价格也非常公道，还会继续买买买！✌当时买的时候还在犹豫价格，买来之后一点都不后悔，而且物流还快，可以入手简直太好用了，只能用完美来形容！强烈推荐！
伤***2,颜色分类:08 深灰色;尺码:165/72A/S,2020-12-28 18:37:10,大小合适，做工精良，出口品质，最满意的一次淘货，很喜欢，下次会再来！🎈商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！宝贝收到啦，实物真的好看，价格非常实惠，强烈推荐这款，超级喜欢质量很好哦，发货也很快，一家非常喜欢的店铺，我要疯狂推荐给朋友们
杨***莺,颜色分类:08 深灰色;尺码:180/96B/XL,2020-12-28 17:42:24,满意
杨***莺,颜色分类:69 藏青色;尺码:180/96B/XL,2020-12-28 17:42:24,满意
七***远,颜色分类:57 深橄榄色;尺码:185/104C/XXL,2020-12-27 15:13:25,裤子版型很好
卜***静,颜色分类:08 深灰色;尺码:170/80A/M,2020-12-26 20:04:23,好
t***8,颜色分类:57 深橄榄色;尺码:165/72A/S,2020-12-26 00:54:28,此用户没有填写评论!
t***8,颜色分类:69 藏青色;尺码:165/72A/S,2020-12-26 00:54:13,此用户没有填写评论!
1***念,颜色分类:69 藏青色;尺码:170/80A/M,2020-12-25 12:50:01,这件裤子比较宽松，厚度春秋穿合适，整体满意
挂***何,颜色分类:31 米色;尺码:160/64A/XS,2020-12-24 22:12:01,穿起来很合身，没有色差，满意
t***0,颜色分类:69 藏青色;尺码:165/72A/S,2020-12-24 17:36:46,质量很好，面料很舒服。
泥***7,颜色分类:69 藏青色;尺码:170/80A/M,2020-12-24 17:36:39,第二次买。舒服的面料，
貂***谁,颜色分类:08 深灰色;尺码:170/80A/M,2020-12-24 16:13:23,爱笑的女孩总比别人更容易长鱼尾纹、法令纹、干纹、细纹、各种纹&hellip;
欧***立,颜色分类:69 藏青色;尺码:180/96B/XL,2020-12-24 01:04:45,不错
小***0,颜色分类:31 米色;尺码:170/80A/M,2020-12-23 11:16:38,第二次买，舒适，就是比之前贵了
s***o,颜色分类:69 藏青色;尺码:165/72A/S,2020-12-23 00:27:17,早买早享受，这颜色不错 就是感觉比同款同**20年款，腰稍微宽了一丢丢
t***2,颜色分类:08 深灰色;尺码:160/64A/XS,2020-12-22 21:28:04,非常好
蔡***梦,颜色分类:08 深灰色;尺码:180/96B/XL,2020-12-22 19:32:43,这么大的品牌，没有顺丰包邮实在拉胯。
我***3,颜色分类:08 深灰色;尺码:175/88A/L,2020-12-22 02:55:47,物超所值
l***q,颜色分类:31 米色;尺码:165/72A/S,2020-12-21 20:04:43,好！非常好！质量好，和实体店一样，颜色正，是我喜欢的
t***8,颜色分类:69 藏青色;尺码:165/72A/S,2020-12-21 18:31:54,挺不错
r***n,颜色分类:57 深橄榄色;尺码:180/96B/XL,2020-12-21 17:05:05,已经在优衣库买了好久的衣服啦，尺码齐全穿着舒适
t***8,颜色分类:57 深橄榄色;尺码:170/80A/M,2020-12-21 12:41:04,厚度适中，风格偏大众，不错
t***8,颜色分类:69 藏青色;尺码:170/80A/M,2020-12-21 12:41:04,厚度适中，风格偏大众，不错
冷***3,颜色分类:69 藏青色;尺码:165/72A/S,2020-12-20 23:45:43,还不错吧
l***4,颜色分类:69 藏青色;尺码:165/72A/S,2020-12-20 19:51:13,好
t***1,颜色分类:31 米色;尺码:170/80A/M,2020-12-20 18:43:35,非常nice
t***3,颜色分类:57 深橄榄色;尺码:165/72A/S,2020-12-20 18:11:31,合身，有下垂感
x***安,颜色分类:69 藏青色;尺码:160/64A/XS,2020-12-19 23:09:16,合身  不错
一***2,颜色分类:69 藏青色;尺码:170/80A/M,2020-12-19 13:27:46,很好
f***7,颜色分类:08 深灰色;尺码:165/72A/S,2020-12-19 12:57:36,版型非常宽大，感觉比较适合大胖子跟大高个
w***n,颜色分类:08 深灰色;尺码:165/72A/S,2020-12-19 09:57:31,不错，很合身，好看，穿着也舒服。
小***5,颜色分类:31 米色;尺码:170/80A/M,2020-12-18 22:01:16,洗完之后真的想扔！全是皱子，再见！
尼***马,颜色分类:08 深灰色;尺码:160/64A/XS,2020-12-18 09:59:22,完美      170 50kg 刚好合适！
草***y,颜色分类:57 深橄榄色;尺码:160/64A/XS,2020-12-17 17:30:13,回购的第三条了，好穿
草***y,颜色分类:31 米色;尺码:160/64A/XS,2020-12-17 17:30:13,非常喜欢，又回购了两条😚😚😚
t***8,颜色分类:08 深灰色;尺码:165/72A/S,2020-12-17 09:40:49,一米六不到，可以参考一下s。反正我觉得可以拍大一点
o***的,颜色分类:69 藏青色;尺码:170/80A/M,2020-12-16 23:38:26,买回来还没穿就降价50了，保价险还一直拒绝赔差价，呸
饣***每,颜色分类:69 藏青色;尺码:165/72A/S,2020-12-16 20:21:42,快递是真的差，在派送中，电话信息都没一个，直接就给我派送到驿站自取？
钟***玢,颜色分类:31 米色;尺码:170/80A/M,2020-12-16 15:42:50,适合肥腿
海***7,颜色分类:08 深灰色;尺码:170/80A/M,2020-12-16 07:51:18,很合适
t***8,颜色分类:31 米色;尺码:180/96B/XL,2020-12-16 00:13:36,穿着舒服
翁***六,颜色分类:69 藏青色;尺码:170/80A/M,2020-12-15 22:08:13,超级显瘦，身高170体重158，穿m就够了
酷***凯,颜色分类:08 深灰色;尺码:170/80A/M,2020-12-15 09:40:30,裤子穿着很舒服，冬天腿上可以穿厚一点也没问题，看不出来。
h***馨,颜色分类:08 深灰色;尺码:185/120C/XXXXL,2020-12-14 23:04:32,好，4xl挺大的
x***u,颜色分类:08 深灰色;尺码:165/72A/S,2020-12-14 22:09:00,裤子合身且做工好，物美价廉，好评！
s***i,颜色分类:08 深灰色;尺码:170/80A/M,2020-12-14 17:57:24,一直都不错
中***色,颜色分类:57 深橄榄色;尺码:165/72A/S,2020-12-14 12:36:33,在店里第一次看到就喜欢了，价格249，没买，第二次去逛的时候价格变199了，买了一条黑色的，穿的舒服，网上又买了一条，价格149。整体满意。
r***9,颜色分类:57 深橄榄色;尺码:165/72A/S,2020-12-13 22:30:41,挺好的
尘***1,颜色分类:31 米色;尺码:175/88A/L,2020-12-13 20:40:59,非常满意，到明年开春后就能穿了
团***团,颜色分类:57 深橄榄色;尺码:170/80A/M,2020-12-13 20:07:57,还可以吧，颜色相对来说跟图上差不多吧感觉
t***7,颜色分类:69 藏青色;尺码:170/80A/M,2020-12-13 16:37:39,柔软，舒适，有弹力。一家三口全身优衣库。
新***锦,颜色分类:08 深灰色;尺码:160/64A/XS,2020-12-13 15:09:32,穿着舒服，就是有点大了
做***仰,颜色分类:57 深橄榄色;尺码:175/88A/L,2020-12-13 14:33:48,衣服质量还可以，给实体店没有区别，现在活动期间还便宜50块钱，感觉很划算！
我***7,颜色分类:69 藏青色;尺码:170/80A/M,2020-12-13 14:29:51,还不错
x***3,颜色分类:08 深灰色;尺码:175/88A/L,2020-12-12 22:33:05,很不错这条裤子，颜色会好搭配，码数很准，长度刚刚好，不用改裤脚，外出居家都不错。满意
上***_,颜色分类:08 深灰色;尺码:180/96B/XL,2020-12-12 21:46:46,不错！挺好的！！！不错！挺好的！不错！挺好的！！！180cm     95kg
w***s,颜色分类:69 藏青色;尺码:160/64A/XS,2020-12-12 18:47:21,修身款，圆润装饰。
随***1,颜色分类:31 米色;尺码:160/64A/XS,2020-12-06 15:02:04,这裤子保暖效果还不错，坐标广东。就是为什么没有拉链？算了，反正我的弟弟挺大挺长的，每次嘘嘘都要脱下才能拿得出来
x***1,颜色分类:57 深橄榄色;尺码:160/64A/XS,2020-11-29 12:43:51,好评，实体店试过才下单的。
