displayUserNick,auctionSku,rateDate,rateContent
习***7,颜色分类:00 白色;尺码:160/85/XS,2021-03-05 12:30:22,挺薄的
乖***丁,颜色分类:00 白色;尺码:180/105/XL,2021-02-03 10:11:09,颜色款式都很喜欢，好评好评好评
乖***丁,颜色分类:69 藏青色;尺码:180/105/XL,2021-02-03 10:11:09,颜色款式都很喜欢，好评好评好评
乖***丁,颜色分类:63 天蓝色;尺码:180/105/XL,2021-02-03 10:11:09,颜色款式都很喜欢，好评好评好评
京***使,颜色分类:08 深灰色;尺码:175/100/L,2021-02-02 23:44:48,舒适度非常好 颜色很正
t***3,颜色分类:69 藏青色;尺码:170/95/M,2021-02-02 20:01:55,这件衣服，穿起来特别舒服！
d***2,颜色分类:09 黑色;尺码:180/105/XL,2021-02-02 12:04:42,好
阿***古,颜色分类:69 藏青色;尺码:170/95/M,2021-02-01 18:26:34,还行
上***6,颜色分类:69 藏青色;尺码:185/120/XXXXL,2021-02-01 11:38:11,还行
t***8,颜色分类:09 黑色;尺码:170/95/M,2021-02-01 07:32:05,一如既往好，拿来运动都蛮合适
h***y,颜色分类:00 白色;尺码:185/110/XXL,2021-01-30 21:29:50,白色短袖T恤照片拍不好，但是质量真心不错，面料柔软有垂坠感，车线整齐。还会再买
t***3,颜色分类:00 白色;尺码:180/105/XL,2021-01-29 13:43:18,收到货了，还没有用，摸着手感很喜欢，打底穿！🥺
荔***y,颜色分类:09 黑色;尺码:185/115/XXXL,2021-01-28 09:43:22,还行
荔***y,颜色分类:08 深灰色;尺码:185/115/XXXL,2021-01-28 09:43:22,还行
g***1,颜色分类:69 藏青色;尺码:180/105/XL,2021-01-26 18:56:22,闻起来有点儿味道，先洗一下
小***5,颜色分类:09 黑色;尺码:170/95/M,2021-01-25 19:16:37,好评
小***5,颜色分类:00 白色;尺码:170/95/M,2021-01-25 19:16:36,好评
j***0,颜色分类:09 黑色;尺码:180/105/XL,2021-01-25 11:28:51,谢谢！！
t***8,颜色分类:30 浅米色;尺码:170/95/M,2021-01-24 15:52:55,浅色的挺好
t***8,颜色分类:30 浅米色;尺码:170/95/M,2021-01-24 15:49:42,浅色 不错
李***1,颜色分类:08 深灰色;尺码:185/110/XXL,2021-01-22 22:47:09,质感好，很舒适
见***8,颜色分类:08 深灰色;尺码:180/105/XL,2021-01-22 22:40:19,买给爸爸的，颜色没有橄榄色好看，面料很舒服
函***屋,颜色分类:08 深灰色;尺码:185/120/XXXXL,2021-01-22 19:25:32,喜欢
j***0,颜色分类:09 黑色;尺码:185/110/XXL,2021-01-22 18:58:33,舒服！！谢谢！！
t***6,颜色分类:63 天蓝色;尺码:175/100/L,2021-01-21 11:21:30,不错
林***头,颜色分类:69 藏青色;尺码:160/85/XS,2021-01-16 19:14:51,不错，很好
s***头,颜色分类:69 藏青色;尺码:175/100/L,2021-01-11 08:34:28,买给男朋友的
