displayUserNick,auctionSku,rateDate,rateContent
w***4,颜色分类:69 藏青色;尺码:165/92A/XL,2021-02-26 18:57:36,很好！！！！
樊***驼,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-07 11:06:30,很棒的啊！我在优衣库买了一身穿起来我觉得很好看！而且服务也好。
h***2,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-06 21:45:19,很休闲，但是有点透
光***央,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-06 20:25:50,很好
光***央,颜色分类:64 湖蓝色;尺码:160/88A/L,2021-02-06 20:25:50,很好
l***n,颜色分类:42 浅黄色;尺码:155/80A/S,2021-02-05 13:30:00,非常好看，显得很温柔，颜色也不错，很适合春夏
w***禾,颜色分类:01 乳白色;尺码:175/108C/XXXL,2021-02-05 08:29:39,喜欢，买了两个颜色
b***7,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-04 23:47:22,好
q***y,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-03 18:21:00,此用户没有填写评论!
m***敌,颜色分类:42 浅黄色;尺码:160/88A/L,2021-02-03 15:49:59,好评
t***1,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-03 13:21:51,还可以，有点麻的感觉。
苦***子,颜色分类:01 乳白色;尺码:165/92A/XL,2021-02-03 12:03:21,面料很舒服，清清爽爽的一件小衬衫，很喜欢！
我***i,颜色分类:42 浅黄色;尺码:155/80A/S,2021-02-03 04:12:22,都很好呀，喜欢优衣库
阳***田,颜色分类:01 乳白色;尺码:150/76A/XS,2021-02-02 20:05:30,漂亮，舒适，很温馨的颜色。
黄***u,颜色分类:01 乳白色;尺码:150/76A/XS,2021-02-01 22:49:34,原价买贵了应该等降价入
t***4,颜色分类:64 湖蓝色;尺码:150/76A/XS,2021-02-01 22:04:32,此用户没有填写评论!
b***1,颜色分类:42 浅黄色;尺码:150/76A/XS,2021-02-01 20:24:13,黄色很好看，身上太宽松
x***n,颜色分类:64 湖蓝色;尺码:155/80A/S,2021-01-27 14:16:27,好
t***8,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-26 17:44:14,还不错，值得入手
嘉***咪,颜色分类:42 浅黄色;尺码:170/100B/XXL,2021-01-25 08:10:28,颜色很好看，不知上身效果怎样，面料手感舒服
买***号,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-21 20:48:33,此用户没有填写评论!
l***u,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-21 17:56:56,这件衬衫七分袖应该是抬起胳膊算的，正常穿着基本算长袖。面料含麻，但还不是全麻的，手感比较细腻，有点顺滑的料子。穿浅色内衣不透，颜色偏米白色吧。不是纯白的感觉。基础百搭款，还不错。
z***8,颜色分类:64 湖蓝色;尺码:155/80A/S,2021-01-20 17:15:49,好慷慨解囊
t***2,颜色分类:01 乳白色;尺码:150/76A/XS,2021-01-20 14:48:48,质感很好，小个子也可以穿
现***馆,颜色分类:01 乳白色;尺码:150/76A/XS,2021-01-20 14:35:07,还可以，店里试了下单的
君***娃,颜色分类:42 浅黄色;尺码:150/76A/XS,2021-01-19 23:25:00,款式和颜色很喜欢，会继续关注的
毛***福,颜色分类:01 乳白色;尺码:165/92A/XL,2021-01-17 21:44:48,穿着很舒服，很好看的衣服，这下很担心另外两件，我拍大了一号。
我***3,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-16 00:07:14,洗了不仅缩水，还很容易皱
z***9,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-12 16:40:05,好
马***音,颜色分类:42 浅黄色;尺码:150/76A/XS,2021-01-11 17:47:18,黄色好看，是很宽松的版型
如***风,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-04 08:19:19,柔软舒适，物美价廉
t***9,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-01 18:41:17,好看 舒适透气
陈***9,颜色分类:42 浅黄色;尺码:165/92A/XL,2020-12-31 09:10:00,好看
余***5,颜色分类:64 湖蓝色;尺码:170/100B/XXL,2020-12-26 20:58:58,看图这颜色不对眼，可是在实体店一眼就相中。果然没有让我失望，非常喜欢
