displayUserNick,auctionSku,rateDate,rateContent
x***p,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-27 11:08:44,很喜欢
t***k,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-25 01:56:39,好看！是电影里看到的松散棉质衬衫的感觉，颜色很喜欢！
t***k,颜色分类:52 翠绿色;尺码:160/88A/L,2021-02-25 01:56:39,这颜色太奶太绝！透肤程度比白色好很多，我觉得可以不穿打底
淘***头,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-24 14:13:35,颜色很柔和好看，不是软塌塌的款，有点儿小硬挺适合春夏穿会很凉快不闷，是有点透款不过接近肤色不会难看的感觉，买平时偏小一码合适，搭配马甲一起买的颜色绝配显温柔，春天的色彩，小个子女生不用担心完全没问题
l***y,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-24 12:53:39,透 但是面料舒服
菲***儿,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-24 12:31:06,这件就属于单看基本不会买 搭配起来发现是宝藏 可惜xs码断货 s码肩膀有一点点大 很薄的款 搭丝巾可以营造法式浪漫感 挺百搭的一件
风***香,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-24 12:01:08,无弹性，易皱 面料舒服 略透明，式样好看
微***0,颜色分类:52 翠绿色;尺码:160/84A/M,2021-02-24 11:28:24,喜欢这个颜色，手机拍不出来
阳***白,颜色分类:46 鹅黄色;尺码:160/84A/M,2021-02-24 10:41:24,挺好看的，码数正
l***9,颜色分类:46 鹅黄色;尺码:160/88A/L,2021-02-24 09:20:18,颜色特别可爱，显白，就是面料容易出皱
木***0,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-24 08:51:49,比较透，需要穿个内搭
5***淘,颜色分类:08 深灰色;尺码:155/80A/S,2021-02-24 04:01:56,很好看。
r***d,颜色分类:08 深灰色;尺码:160/84A/M,2021-02-23 23:06:20,是蒸汽熨斗无法抚平的皱，强迫症患者请慎重购买
t***8,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-23 21:38:22,薄款衬衣陪马甲穿的
蝉***r,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-23 19:05:23,163，98买大了懒得换，应该买xs薄，透，易皱。还成吧。
翊***鸾,颜色分类:52 翠绿色;尺码:160/84A/M,2021-02-23 19:01:34,真的太薄了，也挺透的
t***2,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-23 16:43:39,非常透，薄，但是好看
可***8,颜色分类:46 鹅黄色;尺码:150/76A/XS,2021-02-23 15:35:38,可以。
月***6,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-23 11:10:16,超级透要穿打底，不过款式超赞，留下了
x***1,颜色分类:52 翠绿色;尺码:150/76A/XS,2021-02-23 10:20:24,买了米色，大了点，又买了这件绿色，挺好的，值得入手，透明里面需要要穿打底
p***2,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-23 09:25:35,除了透 没毛病
盛***络,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-22 22:38:34,身高168，体重110，衬衫M码，偏大点，这款衬衫是宽松版，大家可以根据个人喜欢的感觉选择尺码。
1***y,颜色分类:46 鹅黄色;尺码:150/76A/XS,2021-02-22 20:27:50,质量真的不咋的，买来叠穿大衣的，因为没型没发叠穿，太薄了，不值这个价
r***4,颜色分类:30 浅米色;尺码:165/92A/XL,2021-02-22 20:17:54,好
c***1,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-22 19:27:39,确实有点大，但是xs没有了，只能当oversize穿了，颜色还是挺好看的，低调的美，还是配吊带好看，穿t恤的话，袖子会撑大
朱***罚,颜色分类:46 鹅黄色;尺码:150/76A/XS,2021-02-22 18:51:03,挺好的
蜜***8,颜色分类:52 翠绿色;尺码:150/76A/XS,2021-02-22 18:40:19,颜色、尺码合适
梧***2,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-22 15:31:21,💌收到立马打开看了一下，非常不错，质量超好，颜值又高😘，推荐推荐🉑
小***5,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-22 12:12:11,非常好的料 不过很透
咕***啦,颜色分类:52 翠绿色;尺码:155/80A/S,2021-02-21 22:17:06,上身效果：好 厚薄度：薄 面料品质：透气 161，50公斤，s合适，n宽松，图片是s。需要穿打底
爱***田,颜色分类:46 鹅黄色;尺码:150/76A/XS,2021-02-21 22:01:31,特价促销活动买的，颜色太好看了，春天的味道，可以叠穿，也可以配吊带连衣裙穿！
永***见,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-21 21:05:15,还不错
韩***1,颜色分类:08 深灰色;尺码:170/100B/XXL,2021-02-21 20:34:28,超级喜欢，里面要配小背心啊
祥***0,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-21 19:51:40,还没穿，看上去有点透
张***3,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-21 18:08:42,质量是纯棉的，透视薄型，挺简单的款式，喜欢😍。质量是纯棉的，透视薄型，挺简单的款式，喜欢😍。质量是纯棉的，透视薄型，挺简单的款式，喜欢😍。
张***3,颜色分类:46 鹅黄色;尺码:160/84A/M,2021-02-21 18:07:11,质量是纯棉的，透视薄型，，鹅黄色很显白。喜欢😍，推荐给朋友了。质量是纯棉的，透视薄型，，鹅黄色很显白。喜欢😍，推荐给朋友了。质量是纯棉的，透视薄型，，鹅黄色很显白。喜欢😍，推荐给朋友了。
t***2,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-21 16:19:41,是透的 只能搭配穿  但是很舒服
淘***贝,颜色分类:46 鹅黄色;尺码:160/84A/M,2021-02-21 13:41:03,穿一次就皱巴巴的跟擦桌布一样
d***7,颜色分类:52 翠绿色;尺码:150/76A/XS,2021-02-21 13:16:09,还以为会是更柔软的料子，但摸起来是有些硬的，略有点小失望，不过很透气，还是留下来了
b***2,颜色分类:52 翠绿色;尺码:155/80A/S,2021-02-21 09:26:29,好
c***4,颜色分类:46 鹅黄色;尺码:165/92A/XL,2021-02-21 04:23:59,满意
l***r,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-20 23:07:57,做工很好，很好看喜欢😍
j***4,颜色分类:46 鹅黄色;尺码:160/84A/M,2021-02-20 20:47:10,不错
方***雅,颜色分类:08 深灰色;尺码:170/100B/XXL,2021-02-20 20:19:16,商品质量不错，细节、品质、做工都非常好，发货贼快，快递也给力，棒棒哒~🌸🌸🌸
清***天,颜色分类:46 鹅黄色;尺码:165/92A/XL,2021-02-20 19:57:50,真的是超级好看！！！好看到我还没来得及下水，我就急不可耐地穿出来了。超级无敌显白！！很年轻感，穿上去我就是最酷的炸街女孩！！！强烈安利！
小***一,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-20 18:03:34,衣服全棉好搭配，比较透需要内搭
天***9,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-20 17:00:09,透需要打底，款式还不错，也可以当防晒衫外搭什么的
七***淘,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-20 13:26:34,好看，就是布料挺容易皱
s***8,颜色分类:52 翠绿色;尺码:165/92A/XL,2021-02-20 13:19:33,还可以吧
r***3,颜色分类:52 翠绿色;尺码:160/84A/M,2021-02-20 13:04:06,喜欢，就是爱出褶
m***8,颜色分类:46 鹅黄色;尺码:160/84A/M,2021-02-20 08:23:58,不是鹅黄色，最接近柠檬黄，特别透，轻薄，是纯棉，可以单穿要加打底，也可以做防晒衣
水***5,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-20 08:15:40,niceeeeee
呵***么,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-19 22:01:56,好
嘟***t,颜色分类:46 鹅黄色;尺码:150/76A/XS,2021-02-19 20:25:54,好看！
末***年,颜色分类:52 翠绿色;尺码:160/88A/L,2021-02-19 19:35:08,妈妈说颜色挺适合我，很喜欢这颜色，比较显气质
天***舞,颜色分类:46 鹅黄色;尺码:160/88A/L,2021-02-19 17:37:39,比较嫩的黄色
x***1,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-19 17:28:06,好看，大一号啊，比平时要小一号购买才行
阿***琦,颜色分类:52 翠绿色;尺码:160/88A/L,2021-02-19 10:48:11,好薄适合夏天
岁***6,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-19 10:47:17,很薄，太容易皱了。
南***1,颜色分类:52 翠绿色;尺码:155/80A/S,2021-02-19 09:35:51,春季款颜色真是绝了！好看！
m***e,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-19 08:50:39,此用户没有填写评论!
兰***女,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-18 21:52:12,真的绝了绝了绝了 内搭外穿两相宜 尤其适合内搭圆领毛衣 颜色本身也很仙很奶 版型也无敌 但一定要比平时小一个码买
一***年,颜色分类:52 翠绿色;尺码:160/84A/M,2021-02-18 18:49:22,尺码偏大，宽松版型，本人167-52kg，m码非常宽松，如果内搭小一码更好，如果外穿当防晒那就无所谓了。布料很薄，很柔软
m***m,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-18 18:01:24,比较透，但是是我喜欢的颜色和质感
y***5,颜色分类:08 深灰色;尺码:155/80A/S,2021-02-18 16:29:55,买的灰色，还挺好看的，颜色蛮高级，春夏当做开衫穿，里面可以搭吊带
王***3,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-18 14:53:00,透明的 收下了
琛***m,颜色分类:08 深灰色;尺码:160/84A/M,2021-02-18 13:04:21,棒，这才是我的衣服
瑞***5,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-18 08:21:47,衬衣非常薄，质量也不太好，不值这个价。
马***蓝,颜色分类:46 鹅黄色;尺码:155/80A/S,2021-02-17 22:58:34,很好，薄且透，性价比很高，颜色很美，所以买了四个颜色，打算叠穿
j***4,颜色分类:46 鹅黄色;尺码:160/84A/M,2021-02-17 22:50:58,包装非常结实，东西保护得很好，值得好评
师***萌,颜色分类:52 翠绿色;尺码:160/84A/M,2021-02-17 22:19:59,最近很喜欢这种简单的感觉
f***o,颜色分类:52 翠绿色;尺码:175/108C/XXXL,2021-02-17 18:42:24,颜色好看，坐等夏天穿
o***o,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-17 17:45:18,170，102斤，穿M正好，但是大一号更有内味，买的L，实物更好看，拍不出米色的温柔
b***1,颜色分类:08 深灰色;尺码:170/100B/XXL,2021-02-17 13:34:25,挺好的店里看好来网上下单
c***2,颜色分类:46 鹅黄色;尺码:150/76A/XS,2021-02-17 12:55:46,很舒服 在实体店试过 一般穿s这个小一号还是挺宽松的
李***l,颜色分类:46 鹅黄色;尺码:160/84A/M,2021-02-17 10:13:33,薄，容易皱
颀***b,颜色分类:30 浅米色;尺码:150/76A/XS,2021-02-17 00:41:19,搭配马甲一起买的，领子好看，单穿不合适，太薄了
c***7,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-16 17:59:59,好看。淡黄色淡青色都买了一件。
y***e,颜色分类:52 翠绿色;尺码:150/76A/XS,2021-02-15 08:50:29,非常喜欢，薄透款。样式比较基本款，要穿好看还要好好搭配
苍***7,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-14 23:36:03,做工不错，稍微有点透，里面穿个背心合适，可以敞开穿，比较休闲
b***2,颜色分类:08 深灰色;尺码:150/76A/XS,2021-02-14 23:02:56,整体评价：简约舒适  尺码推荐：正常选择 厚薄度：轻薄 幽若轻纱 面料品质：纯棉面料 上身效果：简单 白搭 不费脑
轻***山,颜色分类:52 翠绿色;尺码:150/76A/XS,2021-02-14 10:26:56,略透，略宽松。
旷***君,颜色分类:46 鹅黄色;尺码:150/76A/XS,2021-02-13 17:31:08,实体店看到挺好看，很薄，适合防晒，也流行，打折入手
王***0,颜色分类:46 鹅黄色;尺码:150/76A/XS,2021-02-11 20:08:08,才买了几天就降价50
大***嗷,颜色分类:30 浅米色;尺码:170/100B/XXL,2021-02-11 19:21:06,很好
s***n,颜色分类:52 翠绿色;尺码:155/80A/S,2021-02-11 12:25:32,面料品质：面料是纱质的很舒服，有点透，里面穿件小背心 整体评价：颜色非常适合春夏穿～
翅***空,颜色分类:46 鹅黄色;尺码:155/80A/S,2021-02-11 08:13:09,较薄，颜色好看。
高***1,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-09 14:57:32,肥大款，留了小一码也是宽松的，料质薄软半透（织的稀），穿上很有感觉，这个浅米颜色也很棒
山***子,颜色分类:52 翠绿色;尺码:150/76A/XS,2021-02-09 10:53:02,很舒服
最***的,颜色分类:46 鹅黄色;尺码:160/84A/M,2021-02-07 21:53:44,衣服特别薄
y***0,颜色分类:46 鹅黄色;尺码:165/92A/XL,2021-02-07 20:50:02,颜色深了点，没有模特的那么亮，要是模特的颜色就好了
法***1,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-07 14:49:02,质量非常好  我很喜欢
最***橙,颜色分类:30 浅米色;尺码:165/92A/XL,2021-02-07 09:24:30,好
夏***角,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-06 23:49:09,朋友穿起来好看
w***p,颜色分类:46 鹅黄色;尺码:150/76A/XS,2021-02-06 22:34:21,给媳妇买的，穿上非常漂亮
s***9,颜色分类:08 深灰色;尺码:155/80A/S,2021-02-06 17:33:07,工作服
s***9,颜色分类:08 深灰色;尺码:155/80A/S,2021-02-06 17:32:24,工作服
l***拉,颜色分类:46 鹅黄色;尺码:150/76A/XS,2021-02-06 16:11:57,轻薄半透，当防晒衣好了
豆***培,颜色分类:46 鹅黄色;尺码:150/76A/XS,2021-02-05 18:56:43,店里试过的
v***a,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-04 15:10:00,舒服，就是有点透
t***3,颜色分类:52 翠绿色;尺码:155/80A/S,2021-02-04 13:15:38,很春夏
n***6,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-03 22:30:18,老粉丝了，下次再来
z***o,颜色分类:52 翠绿色;尺码:150/76A/XS,2021-02-03 17:05:02,颜色很清新，半透明款，容易皱，冲颜色买的，宽松版，可以买正常码或者小一码
y***1,颜色分类:08 深灰色;尺码:160/88A/L,2021-02-03 16:48:58,好看
x***1,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-03 12:02:52,好看的
卓***l,颜色分类:08 深灰色;尺码:150/76A/XS,2021-02-02 13:39:33,好看 好搭 买就完了&hellip;
t***e,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-02 12:18:33,非常好看，很舒服
菲***2,颜色分类:46 鹅黄色;尺码:160/88A/L,2021-02-01 21:37:11,颜色好看，宽松版型。
李***7,颜色分类:46 鹅黄色;尺码:150/76A/XS,2021-02-01 16:11:49,还行吧 不值这个价
快***晏,颜色分类:30 浅米色;尺码:150/76A/XS,2021-02-01 15:59:27,此用户没有填写评论!
m***4,颜色分类:52 翠绿色;尺码:160/88A/L,2021-02-01 09:00:34,面料品质：不舒服
l***g,颜色分类:46 鹅黄色;尺码:160/84A/M,2021-01-31 16:59:29,很亮，比较薄，需要打底
s***p,颜色分类:30 浅米色;尺码:150/76A/XS,2021-01-31 00:38:40,155，45kg，xs合适，也是宽松的。 挺透明，需要打底，米色挺好看的。
j***w,颜色分类:52 翠绿色;尺码:170/100B/XXL,2021-01-30 18:46:59,170 130合适好看 买了两件
a***2,颜色分类:46 鹅黄色;尺码:160/84A/M,2021-01-30 15:31:06,此用户没有填写评论!
t***e,颜色分类:52 翠绿色;尺码:155/80A/S,2021-01-29 11:22:19,轻薄，太适合夏天了，颜色也非常好看。还想入件白色，比皮肤衣透气
清***6,颜色分类:46 鹅黄色;尺码:160/84A/M,2021-01-29 09:06:01,颜色很漂亮，春天的感觉，若隐若现
w***1,颜色分类:46 鹅黄色;尺码:160/88A/L,2021-01-28 13:27:15,颜色正好，显白，夏天可当防晒衣
了***了,颜色分类:46 鹅黄色;尺码:160/84A/M,2021-01-28 08:56:26,薄透
z***0,颜色分类:46 鹅黄色;尺码:160/84A/M,2021-01-28 08:09:07,衬衫颜色挺好看，我是外搭黑色衣服穿，露出衣领很好看呢，春天的气息呀
乔***林,颜色分类:46 鹅黄色;尺码:160/84A/M,2021-01-26 12:05:11,款式偏宽松，料子比较透
f***9,颜色分类:30 浅米色;尺码:155/80A/S,2021-01-26 08:32:23,对矮个子来说有些长，衣服很透
j***w,颜色分类:30 浅米色;尺码:170/100B/XXL,2021-01-25 18:08:09,好看！
d***1,颜色分类:30 浅米色;尺码:165/92A/XL,2021-01-25 10:59:23,为了代言人买了一整套。忽略我的棉拖鞋。衬衫很满意。浅色很透，必须打底或者搭配背心。
毛***福,颜色分类:46 鹅黄色;尺码:165/92A/XL,2021-01-24 21:33:45,很喜欢很喜欢，尤其是裤子，简直不要太好看，以后还会光顾哒。
猪***3,颜色分类:30 浅米色;尺码:160/88A/L,2021-01-24 09:52:18,日常搭配所需，棉质材料，舒服
忽***木,颜色分类:52 翠绿色;尺码:155/80A/S,2021-01-23 08:46:29,好看
远***空,颜色分类:52 翠绿色;尺码:155/80A/S,2021-01-23 01:13:47,颜色很好看，果绿色，非常春天气息很显气质，半透明的衬衫，要穿内搭吊带或者外搭针织背心，还是很美的
x***f,颜色分类:30 浅米色;尺码:160/84A/M,2021-01-20 20:48:16,也颜色好漂亮，型也很棒有种慵懒感觉，让我想起了流金岁月里张曼玉年轻时穿的那件衬衫
r***u,颜色分类:46 鹅黄色;尺码:150/76A/XS,2021-01-19 22:03:48,超好看～
l***n,颜色分类:08 深灰色;尺码:160/84A/M,2021-01-18 15:13:06,非常的薄和透，比夏季皮肤衣还薄
m***y,颜色分类:46 鹅黄色;尺码:160/84A/M,2021-01-17 13:50:43,偏薄，颜色喜欢
b***2,颜色分类:08 深灰色;尺码:160/84A/M,2021-01-16 19:43:12,买大了一码，当外套穿，很好！
夏***8,颜色分类:46 鹅黄色;尺码:150/76A/XS,2021-01-15 09:12:43,就&hellip;&hellip;挺好看的，等不到降价了，早穿早开心，强烈推荐鹅黄，炒鸡显白
办***6,颜色分类:52 翠绿色;尺码:170/100B/XXL,2021-01-09 17:34:15,好像买大了一号&hellip;&hellip;
金***宁,颜色分类:46 鹅黄色;尺码:150/76A/XS,2021-01-08 14:27:29,今年流行鹅黄色，美，质量赞，微透，刚刚好！
