displayUserNick,auctionSku,rateDate,rateContent
麒***5,颜色:33 卡其色;尺码:175/100A/L,2021-03-05 06:27:49,大小合适！
仰***y,颜色:33 卡其色;尺码:170/92A/M,2021-03-02 18:44:23,整体评价：做工车缝很好 面料品质：全棉
j***5,颜色:69 藏青色;尺码:175/100A/L,2021-03-02 18:32:01,不错
换***了,颜色:33 卡其色;尺码:165/84A/S,2021-03-02 16:04:01,好评！
宝***6,颜色:33 卡其色;尺码:165/84A/S,2021-03-02 09:18:29,不错，不大不小
幸***起,颜色:69 藏青色;尺码:185/128C/XXXXL,2021-03-02 00:16:30,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物"
f***3,颜色:33 卡其色;尺码:180/108B/XL,2021-03-01 20:05:47,面料非常舒服，物流速度一流。很喜欢优衣库的衣服，老公穿了很帅气 颜色非常合适，实体店都卖断货了，还好淘宝有货。
h***6,颜色:33 卡其色;尺码:170/92A/M,2021-03-01 16:23:51,还不错
y***4,颜色:69 藏青色;尺码:185/128C/XXXXL,2021-03-01 14:17:22,很好、就是买的太肥了
我***拼,颜色:33 卡其色;尺码:175/100A/L,2021-03-01 09:15:50,舒适，春天合适
r***n,颜色:01 乳白色;尺码:165/84A/S,2021-02-28 23:46:59,非常轻薄。适合初夏，和空调房。白色很显年轻。也百搭。很喜欢。
格***x,颜色:33 卡其色;尺码:170/92A/M,2021-02-28 21:40:56,很不错的一件衣服
1***珍,颜色:33 卡其色;尺码:165/84A/S,2021-02-28 20:34:32,这个款式裂墙推荐！🚲款式外观设计简约略🏂显质感，适合春秋天穿，颜色无色差，🏸衣服尺码标准，🥇裁剪缝合细致，面料柔软舒适，穿上很🔻🔻帅气，手感、款式和颜色都很好，穿起来很洋气。大小也合适，🔛洗过之后没有🔹🔹掉色现象
史***5,颜色:33 卡其色;尺码:165/84A/S,2021-02-28 19:15:41,难看的很，不要买这衣服
t***1,颜色:69 藏青色;尺码:175/100A/L,2021-02-28 18:34:34,比想象的好
学***龙,颜色:33 卡其色;尺码:170/92A/M,2021-02-28 17:45:26,上身效果：简约时尚
w***x,颜色:69 藏青色;尺码:175/100A/L,2021-02-28 15:12:08,质量薄的哭。都有点儿透 慎拍
t***2,颜色:01 乳白色;尺码:165/84A/S,2021-02-28 12:02:25,衣服还可以
可***婧,颜色:33 卡其色;尺码:180/108B/XL,2021-02-28 09:44:04,挺好的，拿到后，老公立马就上身试了一下，很喜欢。
含***2,颜色:01 乳白色;尺码:170/92A/M,2021-02-27 22:50:18,大小合适，做工精良，出口品质，最满意的一次淘货，很喜欢，下次会再来！五星好评，非常好！想不到那么快就到了！
b***y,颜色:69 藏青色;尺码:180/108B/XL,2021-02-27 21:51:56,不值这个价，这款式和我在gap买的羽绒服款式一毛一样，这个就是一层布，两个贴牌大王
大***泓,颜色:33 卡其色;尺码:180/108B/XL,2021-02-27 18:23:46,面料柔软，穿着舒适
z***8,颜色:33 卡其色;尺码:180/108B/XL,2021-02-27 10:24:50,在店里试了L码瘦了点，线上有XL下单二天就收到试穿很满意。
笑***颖,颜色:33 卡其色;尺码:165/84A/S,2021-02-27 09:07:38,在专柜没有卡其色，下单买了，好看
赛***吃,颜色:33 卡其色;尺码:180/108B/XL,2021-02-26 23:08:00,可以
s***6,颜色:69 藏青色;尺码:170/92A/M,2021-02-26 21:13:15,挺好的，和实体店一模一样
a***板,颜色:33 卡其色;尺码:170/92A/M,2021-02-26 19:12:44,质量很好
t***2,颜色:69 藏青色;尺码:180/108B/XL,2021-02-26 18:17:33,快递是店里发来的嘛？连个外包装都没有。
p***e,颜色:33 卡其色;尺码:175/100A/L,2021-02-26 16:55:10,178cm，大肚子的胖胖觉得挺合适。衣服比较薄，适合春季。
彭***1,颜色:33 卡其色;尺码:170/92A/M,2021-02-26 12:06:17,非常帅气
向***9,颜色:01 乳白色;尺码:160/76A/XS,2021-02-26 10:28:45,很好
t***5,颜色:33 卡其色;尺码:165/84A/S,2021-02-25 22:34:43,纽扣很喜欢！材料摸起来很舒服，而且发过来没有异味还挺香的！满意！
c***1,颜色:01 乳白色;尺码:170/92A/M,2021-02-25 21:04:20,173，135斤，穿M合身
萌***色,颜色:33 卡其色;尺码:180/108B/XL,2021-02-25 20:04:50,优衣库，我的衣柜
奇***丁,颜色:33 卡其色;尺码:180/108B/XL,2021-02-25 19:09:34,是纯棉的，都挺好的唯一不足就是稍微有一点薄
永***远,颜色:69 藏青色;尺码:180/108B/XL,2021-02-25 18:03:44,好评，南方的春季合适，品质不错
t***0,颜色:33 卡其色;尺码:170/92A/M,2021-02-25 10:48:26,非常好看百搭的夹克，宽松版型，多胖都能穿！
a***0,颜色:33 卡其色;尺码:175/100A/L,2021-02-24 19:12:49,不错
h***6,颜色:69 藏青色;尺码:180/108B/XL,2021-02-23 21:44:28,版型很cool  薄薄的
不***8,颜色:33 卡其色;尺码:170/92A/M,2021-02-23 20:49:21,质量很不错，很喜欢。
香***餐,颜色:33 卡其色;尺码:175/100A/L,2021-02-23 19:01:25,衣服想当好看，就是特别薄，跟衬衫一样，就一层布，但是很好看，北方现在还穿不上，暖和点了才能穿
傻***儿,颜色:33 卡其色;尺码:170/92A/M,2021-02-23 17:45:33,有点薄，有点贵
t***2,颜色:69 藏青色;尺码:170/92A/M,2021-02-23 16:10:55,太粘毛了
凉***眠,颜色:33 卡其色;尺码:175/100A/L,2021-02-23 14:47:14,*******，衣服挺好，*****，感觉就是一群**
l***3,颜色:69 藏青色;尺码:170/92A/M,2021-02-23 14:20:28,比较沾毛，真的薄
老***溃,颜色:33 卡其色;尺码:170/92A/M,2021-02-23 07:38:36,太薄了。。。
第***入,颜色:33 卡其色;尺码:170/92A/M,2021-02-22 22:51:16,物流还是非常给力的，包装有点简陋，可以理解
祈***者,颜色:33 卡其色;尺码:180/108B/XL,2021-02-22 22:00:56,挺薄的
欧***9,颜色:33 卡其色;尺码:165/84A/S,2021-02-22 17:48:37,好看的外套
k***宝,颜色:69 藏青色;尺码:185/112C/XXL,2021-02-22 16:46:39,非常满意，在实体店试了，没号。在旗舰店买，爱了爱了
钟***e,颜色:69 藏青色;尺码:160/76A/XS,2021-02-22 10:25:38,挺好的男朋友很喜欢穿哦
钟***e,颜色:01 乳白色;尺码:160/76A/XS,2021-02-22 10:25:38,不错，好看，舒适。
紫***l,颜色:01 乳白色;尺码:185/112C/XXL,2021-02-21 22:04:30,情侣装走起
f***在,颜色:69 藏青色;尺码:180/108B/XL,2021-02-21 18:53:58,可以，挺好
黄***与,颜色:33 卡其色;尺码:175/100A/L,2021-02-21 17:47:01,整体评价：衣服很合身，很好很喜欢
我***一,颜色:33 卡其色;尺码:170/92A/M,2021-02-21 17:37:51,目前还计较合身，外套有奶香
w***e,颜色:69 藏青色;尺码:185/128C/XXXXL,2021-02-21 12:26:15,还行
z***1,颜色:33 卡其色;尺码:180/108B/XL,2021-02-21 11:52:02,非常合适&hellip;太帅了&hellip;
a***垒,颜色:69 藏青色;尺码:180/108B/XL,2021-02-21 11:40:06,非常满意～版型好看
t***4,颜色:69 藏青色;尺码:180/108B/XL,2021-02-20 22:17:14,特别好看😍
t***8,颜色:69 藏青色;尺码:170/92A/M,2021-02-20 18:34:46,衣服很喜欢，南方人就喜欢这样的厚度，面料也很舒服
一***美,颜色:33 卡其色;尺码:175/100A/L,2021-02-20 14:39:53,男朋友选的 穿着非常合适 175cm 65kg
y***i,颜色:01 乳白色;尺码:175/100A/L,2021-02-20 14:14:43,好看，不过有点薄，质感不错，喜欢
c***6,颜色:33 卡其色;尺码:160/76A/XS,2021-02-20 09:54:54,此用户没有填写评论!
善***哥,颜色:01 乳白色;尺码:170/92A/M,2021-02-20 09:35:35,整体评价：好 材质特性：纯棉 面料品质：白色好看显年轻🤦🏻&zwj;♂️ 厚薄度：偏薄，适合开春二十多度的天气
r***生,颜色:33 卡其色;尺码:170/92A/M,2021-02-19 15:18:31,穿起来很好看，春天很适合
t***0,颜色:33 卡其色;尺码:175/100A/L,2021-02-19 13:53:00,1.78体重146斤，要的L正好！料子很薄，适合春天穿正好，里面穿个卫衣
秋***9,颜色:33 卡其色;尺码:180/108B/XL,2021-02-19 12:08:11,还不错
浅***领,颜色:69 藏青色;尺码:170/92A/M,2021-02-19 00:01:12,衣服很不错
f***i,颜色:33 卡其色;尺码:175/100A/L,2021-02-18 23:36:44,款式和颜色还行，尺码也合适。略薄。
t***8,颜色:33 卡其色;尺码:170/92A/M,2021-02-18 19:20:31,本来都打算退了，看到实物真是喜欢面料很舒服，看来我很适合优衣库。
s***n,颜色:69 藏青色;尺码:170/92A/M,2021-02-18 10:28:07,物流速度快，优惠的时候买的，很喜欢，就是网有点薄
佛***5,颜色:33 卡其色;尺码:175/100A/L,2021-02-17 19:04:35,178厘米 体重78公斤 L码合身 尺码推荐：Ｌ
2***力,颜色:33 卡其色;尺码:175/100A/L,2021-02-17 16:30:38,衣服还可以，
t***8,颜色:33 卡其色;尺码:180/108B/XL,2021-02-16 18:09:22,挺好的，和想象中一样，随意搭都很好看，满意！
宇***1,颜色:01 乳白色;尺码:170/92A/M,2021-02-13 21:24:38,春秋薄款，效果很好。但是优衣库客服太差。
y***仪,颜色:01 乳白色;尺码:170/92A/M,2021-02-13 12:33:42,好看
臭***2,颜色:69 藏青色;尺码:175/100A/L,2021-02-12 23:37:28,相当不错
东***卿,颜色:01 乳白色;尺码:180/108B/XL,2021-02-12 22:39:57,送男朋友的，他很喜欢！
d***o,颜色:33 卡其色;尺码:185/112C/XXL,2021-02-12 18:51:24,号码偏大，裤子衣服都买大了，习惯性好评。
1***a,颜色:33 卡其色;尺码:175/100A/L,2021-02-12 12:26:40,这款是单层薄款外套，若有里衬就好多啦。
p***y,颜色:33 卡其色;尺码:185/128C/XXXXL,2021-02-11 19:10:59,优秀
明***溪,颜色:69 藏青色;尺码:180/108B/XL,2021-02-11 15:15:03,全棉的面料，薄款，有点透亮，性价比一般。版型设计挺好的。适合春天。
q***x,颜色:33 卡其色;尺码:170/92A/M,2021-02-11 13:15:49,好评。好薄。
初***念,颜色:33 卡其色;尺码:175/100A/L,2021-02-11 13:12:40,不好看，失败的购物体验
t***1,颜色:69 藏青色;尺码:175/100A/L,2021-02-11 12:40:12,好看是真的好看，就是有点贵
z***1,颜色:69 藏青色;尺码:185/128C/XXXXL,2021-02-11 06:49:56,衣服很薄，穿着臃肿不是很好看。感谢快递小哥送到家谢谢啊！
没***白,颜色:33 卡其色;尺码:170/92A/M,2021-02-10 23:53:45,好
陆***q,颜色:69 藏青色;尺码:185/112C/XXL,2021-02-10 21:57:32,觉得一般吧，天热一点可以套上了
j***l,颜色:69 藏青色;尺码:185/120C/XXXL,2021-02-10 21:34:28,不错
m***文,颜色:69 藏青色;尺码:165/84A/S,2021-02-10 17:53:03,好看，就是薄了点
t***3,颜色:33 卡其色;尺码:170/92A/M,2021-02-10 12:31:01,好看
z***h,颜色:69 藏青色;尺码:180/108B/XL,2021-02-09 21:49:32,整体评价：薄，很薄，适合初夏穿，价格小贵
河***村,颜色:33 卡其色;尺码:175/100A/L,2021-02-09 20:46:59,"170,78kg有肚子，稍微微有点大，请参考"
l***6,颜色:33 卡其色;尺码:170/92A/M,2021-02-09 19:29:44,适合帅哥穿的哈哈哈
n***n,颜色:01 乳白色;尺码:180/108B/XL,2021-02-09 13:55:58,非常的好，之前在实体店试穿过，比较百搭，款式也非常的好，大爱
明***溪,颜色:01 乳白色;尺码:180/108B/XL,2021-02-09 13:22:22,款式风格嗯挺好的，性价比不高，春日薄款。物流速度很快的啊。。。。。。。。
临***4,颜色:69 藏青色;尺码:185/112C/XXL,2021-02-09 00:12:36,物流快，衣服孩子很喜欢
n***t,颜色:33 卡其色;尺码:165/84A/S,2021-02-08 19:48:36,料子和版型都很好
t***2,颜色:33 卡其色;尺码:180/108B/XL,2021-02-07 14:26:32,衣服偏大，打开有一股刺鼻的味道。本来打算退货的我有事耽误了几天然后我这里的快递就停了
a***9,颜色:33 卡其色;尺码:165/84A/S,2021-02-06 22:25:43,上身效果：还不錯，合身 尺码推荐：高155，重116穿s碼剛剛好 整体评价：70岁穿很顯年輕，永不过時的卡其色不局限年齡，推薦買 厚薄度：春秋季
t***6,颜色:69 藏青色;尺码:170/92A/M,2021-02-06 19:10:49,本人身高175，体重140。 传170/92A合身（偏宽松一点）。
d***5,颜色:33 卡其色;尺码:185/128C/XXXXL,2021-02-06 16:14:42,号码合适 没谁了
d***j,颜色:33 卡其色;尺码:160/76A/XS,2021-02-06 11:12:34,在店里试了，但是没有尺码，所以来旗舰店买了。
t***7,颜色:33 卡其色;尺码:185/112C/XXL,2021-02-06 09:51:28,还不错，我185身高，穿上比较宽松，颜色有点偏米黄，和图片有点色差，其他一切都蛮好。
w***p,颜色:69 藏青色;尺码:165/84A/S,2021-02-06 09:38:25,好看，就是太薄了
t***9,颜色:33 卡其色;尺码:175/100A/L,2021-02-05 20:57:38,与我想象的一样，不错👍
放***熊,颜色:69 藏青色;尺码:170/92A/M,2021-02-05 16:16:08,特别好看🤩
f***5,颜色:69 藏青色;尺码:175/100A/L,2021-02-05 14:28:57,不错
四***亮,颜色:33 卡其色;尺码:185/120C/XXXL,2021-02-05 12:35:21,第一次号买大了，又调了小一**。退换货很方便快捷，衣服穿上也很舒服。
k***4,颜色:33 卡其色;尺码:175/100A/L,2021-02-05 11:53:23,打折后性价比不错
禁***诺,颜色:33 卡其色;尺码:170/92A/M,2021-02-05 09:32:33,很合身，就是薄了点，适合春秋季节穿
t***8,颜色:69 藏青色;尺码:175/100A/L,2021-02-05 09:30:13,给男朋友买的 尺码偏大 建议瘦的人选小一码
d***k,颜色:33 卡其色;尺码:185/112C/XXL,2021-02-04 23:43:11,不错
b***e,颜色:33 卡其色;尺码:180/108B/XL,2021-02-04 18:11:02,除了薄没毛病
郑***男,颜色:69 藏青色;尺码:175/100A/L,2021-02-04 17:34:21,质量很好，就是太薄了，
t***9,颜色:33 卡其色;尺码:170/92A/M,2021-02-04 12:22:55,真的薄
0***发,颜色:33 卡其色;尺码:175/100A/L,2021-02-03 21:55:26,拆开袋子一股呛鼻子的刺激性味道，都不敢穿了，洗好晾一天看看，靠，跟实体店完全不同，购物体验极差，249当打水漂了，以后直接实体店拿货！！！！！
唯***p,颜色:01 乳白色;尺码:170/92A/M,2021-02-03 16:13:23,一层，
g***1,颜色:33 卡其色;尺码:175/100A/L,2021-02-03 06:51:39,面料舒适，合适。
s***n,颜色:33 卡其色;尺码:175/100A/L,2021-02-03 05:22:04,很好
6***e,颜色:33 卡其色;尺码:165/84A/S,2021-02-02 22:43:16,薄得很，夏天早晚穿一下还差不多
肥***克,颜色:69 藏青色;尺码:185/112C/XXL,2021-02-02 20:23:22,发货神速，品质优良！
淘***3,颜色:69 藏青色;尺码:170/92A/M,2021-02-02 15:16:54,穿上真帅
赖***桥,颜色:33 卡其色;尺码:165/84A/S,2021-02-02 05:10:13,有色差
夏***5,颜色:33 卡其色;尺码:175/100A/L,2021-02-02 00:45:35,春秋新款，冬天太冷穿不了
c***d,颜色:01 乳白色;尺码:185/120C/XXXL,2021-02-01 21:15:08,两个星期后就降了50元，好心痛啊！被割韭菜了
张***p,颜色:33 卡其色;尺码:170/92A/M,2021-01-31 16:48:40,很满意的一次购物，商家服务好，发货神速，物流也很给力，宝贝收到后非常喜欢，买得放心，用得安心尺寸刚刚好，质量也非常好，店家的包装太用心了，值得推荐！
t***d,颜色:69 藏青色;尺码:165/84A/S,2021-01-31 14:04:18,比较薄，版型宽松，没拉链都是扣子，要一个一个扣，有点不习惯
疏***8,颜色:69 藏青色;尺码:185/112C/XXL,2021-01-31 13:57:36,OK
t***3,颜色:69 藏青色;尺码:185/112C/XXL,2021-01-30 19:31:46,好
烦***3,颜色:33 卡其色;尺码:160/76A/XS,2021-01-30 11:43:08,便宜又实惠，买了好多，宝贝一如既往的好😊，性价比非常高，大品牌值得信赖👍
伤***笑,颜色:69 藏青色;尺码:180/108B/XL,2021-01-29 18:05:39,整体评价：是工装外套，挺好的。没必要太短，宽松点挺好
傲***君,颜色:33 卡其色;尺码:160/76A/XS,2021-01-29 16:25:03,首先衣服好评，就是刚买不到一周时间就降了50块！这个差评！
风***8,颜色:33 卡其色;尺码:175/100A/L,2021-01-29 08:08:01,有点薄
紫***屋,颜色:33 卡其色;尺码:170/92A/M,2021-01-28 10:34:52,买给我弟的，他很满意
郭***强,颜色:33 卡其色;尺码:165/84A/S,2021-01-26 18:09:16,性价比不高
康***修,颜色:69 藏青色;尺码:175/100A/L,2021-01-26 17:17:56,质量很好 好评
冬***家,颜色:69 藏青色;尺码:185/120C/XXXL,2021-01-26 10:53:00,整体评价：如果99就合适了，但是款式和做工确实不错。习惯了穿优衣库，网上那些乱七八糟的衣服真的不想买了。而且优衣库的大码服装对胖子真的很友好！真爱粉🤣 材质特性：纯棉 上身效果：很好看 尺码推荐：偏大 厚薄度：很薄 面料品质：有点吸毛
美***n,颜色:69 藏青色;尺码:165/84A/S,2021-01-26 07:38:04,此用户没有填写评论!
岑***3,颜色:33 卡其色;尺码:160/76A/XS,2021-01-25 22:45:19,很薄，299不值，降到149再考虑入手
r***h,颜色:69 藏青色;尺码:180/108B/XL,2021-01-24 21:30:06,上身效果不错，质量不错，很满意。
博***行,颜色:33 卡其色;尺码:170/92A/M,2021-01-24 13:27:01,版型很好
骆***生,颜色:69 藏青色;尺码:165/84A/S,2021-01-23 11:00:28,厚薄度：很薄，适合春秋季穿 藏青色容易粘毛 其他没啥毛病
c***e,颜色:69 藏青色;尺码:170/92A/M,2021-01-23 10:40:31,对象说说尺寸刚刚好，179cm
2***s,颜色:33 卡其色;尺码:175/100A/L,2021-01-23 10:15:22,衣服不错 适合春秋穿着 偏宽松建议小一码!
t***0,颜色:33 卡其色;尺码:175/100A/L,2021-01-22 21:17:21,推荐的尺码不合适
r***6,颜色:33 卡其色;尺码:175/100A/L,2021-01-22 20:52:01,尺码推荐：身高173体重80kg 穿175刚刚好
我***4,颜色:69 藏青色;尺码:180/108B/XL,2021-01-22 09:54:48,好
字***3,颜色:33 卡其色;尺码:170/92A/M,2021-01-21 19:32:45,最多给150
快***8,颜色:33 卡其色;尺码:180/108B/XL,2021-01-20 09:22:32,大气修闲，颜色百搭，大高个穿上挺㴋洒。
妮***了,颜色:33 卡其色;尺码:160/76A/XS,2021-01-19 17:58:09,款式质地很好
轻***8,颜色:33 卡其色;尺码:180/108B/XL,2021-01-18 22:23:45,好评！
d***3,颜色:69 藏青色;尺码:185/112C/XXL,2021-01-18 20:22:30,好
n***t,颜色:69 藏青色;尺码:165/84A/S,2021-01-18 09:37:39,好
t***8,颜色:33 卡其色;尺码:180/108B/XL,2021-01-17 21:06:46,很舒服。下次还来买正品
馒***8,颜色:69 藏青色;尺码:170/92A/M,2021-01-17 17:56:03,"款式不错，就是布料太薄了点。173cm,58kg,合身。如果有活动购入划算，原价买贵了。"
z***4,颜色:33 卡其色;尺码:175/100A/L,2021-01-14 16:47:08,挺好的
山***9,颜色:33 卡其色;尺码:170/92A/M,2021-01-14 16:47:02,突然有天收到个莫名的快递 打开一看这破牌子送了个靠枕 真***脏 要么就别送 这不是恶心人
b***0,颜色:69 藏青色;尺码:170/92A/M,2021-01-14 11:39:15,好看是好看的，但是真的很薄
c***1,颜色:33 卡其色;尺码:165/84A/S,2021-01-14 09:43:15,款式新颖，容易搭配，适合秋天外搭
c***h,颜色:33 卡其色;尺码:185/128C/XXXXL,2021-01-12 14:30:35,好！非常好！质量好，和实体店一样，颜色正，是我喜欢的宝贝收到啦，实物真的好看，价格非常实惠，强烈推荐这款，超级喜欢💌心仪已久，果断下手，用过之后感觉很不错，是正品，快递也很给力，果然名副其实👍宝贝确实很棒，个人非常喜欢，朋友也说好来着，推荐购买商品收到咯，特别喜欢，一收到就迫不及待地打开了，家人也很满意，这次购物体验不错
然***叔,颜色:33 卡其色;尺码:180/108B/XL,2021-01-11 10:34:48,非常棒！
w***c,颜色:69 藏青色;尺码:180/108B/XL,2021-01-09 18:34:14,很不错，很赞。
w***d,颜色:33 卡其色;尺码:160/76A/XS,2021-01-06 20:47:42,合身
y***p,颜色:33 卡其色;尺码:170/92A/M,2021-01-06 12:42:48,还不错，就是有点薄
f***d,颜色:69 藏青色;尺码:185/120C/XXXL,2021-01-05 08:23:36,质量还行，价格略贵
独***此,颜色:33 卡其色;尺码:170/92A/M,2021-01-04 15:56:43,冬天穿有点薄，春天可以穿外面
半***y,颜色:69 藏青色;尺码:170/92A/M,2020-12-30 09:34:53,衣服版型偏大，平时男友穿175的这一件穿170就行。 款式还可以，比较薄，适合冬天在办公室或者等到春天再穿 快递放到快递柜，收了5毛钱
x***4,颜色:01 乳白色;尺码:170/92A/M,2020-12-29 15:46:12,🉑️🉑️🉑️！
j***g,颜色:01 乳白色;尺码:175/100A/L,2020-12-28 12:03:02,💌收到立马打开看了一下，非常不错，质量超好，颜值又高😘，推荐推荐🉑✨已经多次购买了，家庭必备，购买价格实惠，送货速度很快，🎁包装也很精美尺寸刚刚好，质量也非常好，店家的包装太用心了，值得推荐！
舔***酱,颜色:69 藏青色;尺码:185/112C/XXL,2020-12-27 21:54:14,这件罩衫太帅了！版型炸裂！183 150 XXL宽松！纽扣用的是Japan sun grip的 赞
e***8,颜色:69 藏青色;尺码:170/92A/M,2020-12-27 13:53:50,实体店试穿过，质量无可挑剔，式样也老可青，是为春天准备的，现在还没到穿的时候。
