displayUserNick,auctionSku,rateDate,rateContent
l***0,颜色:69 藏青色;尺码:165/84A/S,2021-03-05 10:06:48,穿大衣必备
失***了,颜色:09 黑色;尺码:180/108B/XL,2021-02-25 12:01:55,不错，有活动赶紧买了一件
e***0,颜色:56 橄榄色;尺码:165/84A/S,2021-02-25 09:53:29,很好
t***y,颜色:69 藏青色;尺码:180/108B/XL,2021-02-24 19:18:51,好合适
h***人,颜色:69 藏青色;尺码:170/92A/M,2021-02-24 18:52:20,活动很便宜
w***i,颜色:56 橄榄色;尺码:175/100A/L,2021-02-24 11:44:43,不错哦，穿在里面，外面套大衣
雄***一,颜色:69 藏青色;尺码:165/84A/S,2021-02-23 19:58:39,挺好的啊！
h***v,颜色:09 黑色;尺码:165/84A/S,2021-02-23 18:27:30,非常不错，便宜又好用。
t***8,颜色:08 深灰色;尺码:165/84A/S,2021-02-23 11:26:34,深灰色，图片有点红，实物颜色很正，做工精细
抗***感,颜色:56 橄榄色;尺码:180/108B/XL,2021-02-23 10:51:30,挺好
哆***0,颜色:09 黑色;尺码:165/84A/S,2021-02-23 10:16:53,第三件
l***b,颜色:69 藏青色;尺码:170/92A/M,2021-02-23 10:08:29,不错，轻便。。。。。
厦***e,颜色:69 藏青色;尺码:180/108B/XL,2021-02-23 08:44:10,稍微有点大，稍微有点大。
c***1,颜色:08 深灰色;尺码:165/84A/S,2021-02-22 22:30:08,很满意
s***m,颜色:69 藏青色;尺码:165/84A/S,2021-02-22 19:38:19,最近的天气特别适合穿，里面搭配连帽卫衣，热了脱，冷了穿。身高160，体重117，供参考。
汽***2,颜色:69 藏青色;尺码:180/108B/XL,2021-02-22 18:34:04,好
t***1,颜色:69 藏青色;尺码:160/76A/XS,2021-02-22 16:55:33,很好
夏***3,颜色:69 藏青色;尺码:170/92A/M,2021-02-22 14:43:01,不错 还想再买件大码灰色
水***q,颜色:69 藏青色;尺码:180/108B/XL,2021-02-22 08:03:03,衣服不错，软软的，活动买划算
耗***米,颜色:69 藏青色;尺码:170/92A/M,2021-02-21 21:25:12,回购
t***1,颜色:69 藏青色;尺码:180/108B/XL,2021-02-21 18:52:06,发货很快质量好非常喜欢推荐
v***m,颜色:09 黑色;尺码:180/108B/XL,2021-02-21 18:35:10,在实体店看了好几次，由于优衣库今年大幅度涨价，所以399的价格后来299的价格都让我望而却步，好在年后终于等到降价了，199，很香啊，应该不会再降了，一下买了两件，再敢降价就再买一件，单穿一般，有点老气，但是当冲锋衣内胆非常棒，冲锋衣拉紧拉链脖子不拘束，比较薄，0度穿肯定不行，套在羽绒服里没问题
t***3,颜色:56 橄榄色;尺码:170/92A/M,2021-02-21 12:22:45,这个色有些显老，衣服是轻薄款的 当做打底的羊毛衫合适
维***贝,颜色:69 藏青色;尺码:160/76A/XS,2021-02-21 11:00:12,不错，轻薄暖和。
维***贝,颜色:69 藏青色;尺码:180/108B/XL,2021-02-21 11:00:12,给老公买的，应该挺实用的。
m***n,颜色:56 橄榄色;尺码:175/100A/L,2021-02-21 10:37:25,不错
w***7,颜色:08 深灰色;尺码:180/108B/XL,2021-02-21 08:53:19,正合适！
狸***0,颜色:69 藏青色;尺码:170/92A/M,2021-02-21 07:55:53,包装拆开，有点臭
l***g,颜色:69 藏青色;尺码:170/92A/M,2021-02-20 18:51:58,5折入手 漂亮
哆***0,颜色:69 藏青色;尺码:170/92A/M,2021-02-20 17:36:12,女，身高165，体重125，买来套白色卫衣，袖子稍微有点长，很轻是真的，保暖也可以！本来是放办公室干活儿穿，下班忘记脱了，走街上居然也可以！不像内胆，完全可以外穿。
吉***i,颜色:69 藏青色;尺码:180/108B/XL,2021-02-20 16:50:43,薄，但是实用
a***k,颜色:56 橄榄色;尺码:170/92A/M,2021-02-20 10:47:52,和想象的一样好，为明年冬天做准备。
简***p,颜色:69 藏青色;尺码:180/108B/XL,2021-02-20 09:42:11,儿子183米，84公斤，XL码合适，现在买划算，性价比高，儿子很喜欢
l***7,颜色:09 黑色;尺码:180/108B/XL,2021-02-20 09:05:32,有点薄。质量很好！
h***n,颜色:69 藏青色;尺码:170/92A/M,2021-02-19 19:43:24,羽绒内胆背心还是优衣库的好穿，虽然贵，哈哈
z***8,颜色:09 黑色;尺码:165/84A/S,2021-02-19 19:22:25,好
快***t,颜色:69 藏青色;尺码:180/108B/XL,2021-02-19 18:45:36,店里没有尺码了，这个天气，老人家穿着正好
杨***3,颜色:69 藏青色;尺码:180/108B/XL,2021-02-19 17:51:11,好
不***话,颜色:69 藏青色;尺码:170/92A/M,2021-02-19 11:53:10,薄，建议夏天穿，你细品
陕***8,颜色:69 藏青色;尺码:180/108B/XL,2021-02-19 11:40:13,99不能再多了？
中***金,颜色:09 黑色;尺码:175/100A/L,2021-02-19 09:10:48,性价比非常高🍀，可以放心购买👍，做工非常精致🌈，值得购买😜！价格实惠，质量杠杠的，非常好的一次购物，下次还来
s***y,颜色:56 橄榄色;尺码:175/100A/L,2021-02-19 07:39:43,味道真的很大
粉***9,颜色:69 藏青色;尺码:180/108B/XL,2021-02-18 21:06:18,满意
t***0,颜色:69 藏青色;尺码:170/92A/M,2021-02-18 20:38:18,穿着还可以。里面必须搭一件儿，不然过于宽松了。
m***1,颜色:09 黑色;尺码:175/100A/L,2021-02-18 15:49:33,整体评价：等到降价就很值
m***1,颜色:69 藏青色;尺码:170/92A/M,2021-02-18 15:49:33,整体评价：等到降价就很值 经典款，家里人手一件
m***1,颜色:09 黑色;尺码:180/108B/XL,2021-02-18 15:49:33,整体评价：等到降价就很值
t***1,颜色:09 黑色;尺码:165/84A/S,2021-02-18 15:00:38,又买件
某***树,颜色:09 黑色;尺码:180/108B/XL,2021-02-18 12:15:35,熬到最后的打折就是胜利✌🏻️
w***8,颜色:69 藏青色;尺码:170/92A/M,2021-02-18 11:01:08,终于买到你 暖和 质量好 199买的
就***师,颜色:08 深灰色;尺码:180/108B/XL,2021-02-18 08:07:54,这个天穿正好 180 70 宽松合适。一搭配不好，就是中年男子
t***1,颜色:09 黑色;尺码:180/108B/XL,2021-02-17 22:54:46,非常喜欢推荐
t***1,颜色:69 藏青色;尺码:180/108B/XL,2021-02-17 22:54:46,发货很快质量好非常喜欢推荐
怀***狗,颜色:08 深灰色;尺码:165/84A/S,2021-02-17 19:18:27,放购物车很久了，趁降到199果断下手了，用作内胆穿
m***0,颜色:09 黑色;尺码:175/100A/L,2021-02-17 16:40:31,轻微漏绒 比较薄 内穿完美 外穿冬天不行 总体不错 199入的还好
等***爱,颜色:08 深灰色;尺码:165/84A/S,2021-02-17 13:03:41,很好
l***u,颜色:69 藏青色;尺码:160/76A/XS,2021-02-17 11:53:03,南宁都二十几℃了，就留着今年冬天穿了，我不喜欢穿羽绒服，看起来臃肿，所以买这种内衬，冬天出门就可以穿各种外套了，就像偶像剧主角那种下雪天还可以穿不保暖都是又好看的种风衣外套或者粗话毛衣。
中***金,颜色:09 黑色;尺码:170/92A/M,2021-02-17 07:43:39,质量挺好，物流也很快，赞！
m***7,颜色:09 黑色;尺码:165/84A/S,2021-02-16 23:40:57,有质量问题，最下面一个扣子非常松，一坐下来就会弹开，扣不紧，上面几个扣子就比较紧。影响保暖效果，严重怀疑残次品混着卖，必须手动差评了
g***1,颜色:56 橄榄色;尺码:180/108B/XL,2021-02-16 21:53:26,给老爸买的，不错
随***5,颜色:69 藏青色;尺码:170/92A/M,2021-02-16 21:20:14,宝贝货真价实品牌的保证，材质柔软超薄，大小尺寸刚刚好！
飞***间,颜色:69 藏青色;尺码:170/92A/M,2021-02-16 18:25:01,整体评价：不错 厚薄度：轻薄内搭
x***5,颜色:69 藏青色;尺码:170/92A/M,2021-02-16 08:36:40,比实体店要薄
吃***肥,颜色:56 橄榄色;尺码:180/108B/XL,2021-02-15 21:06:46,发货快，到货快，衣服穿着不错
j***n,颜色:09 黑色;尺码:180/108B/XL,2021-02-15 15:08:29,很好，喜欢
j***n,颜色:56 橄榄色;尺码:180/108B/XL,2021-02-15 15:08:29,很好，喜欢
t***3,颜色:09 黑色;尺码:165/84A/S,2021-02-15 14:51:06,这衣服确实是不错的
牛***n,颜色:69 藏青色;尺码:170/92A/M,2021-02-15 14:21:47,还不错啊
陌***9,颜色:69 藏青色;尺码:180/108B/XL,2021-02-14 15:49:20,很赞
t***2,颜色:69 藏青色;尺码:170/92A/M,2021-02-14 10:41:44,薄厚适中，适合春秋穿
疯***会,颜色:08 深灰色;尺码:175/100A/L,2021-02-13 18:12:17,很好
猪***2,颜色:09 黑色;尺码:180/108B/XL,2021-02-13 12:39:46,好
三***6,颜色:09 黑色;尺码:165/84A/S,2021-02-12 18:27:32,正常、打底选小一号紧身暖和
t***3,颜色:09 黑色;尺码:180/108B/XL,2021-02-12 15:34:50,质量可以，是优衣库正品，只是太薄了，见过薄的，没见过这么薄的。
w***0,颜色:09 黑色;尺码:165/84A/S,2021-02-12 10:57:37,174，122，S码刚好，性别女；目前没发现跑毛现象，衣服做工也还不错
h***d,颜色:69 藏青色;尺码:170/92A/M,2021-02-11 23:04:34,真香
f***e,颜色:69 藏青色;尺码:175/100A/L,2021-02-11 20:50:08,175，体重130，刚好。
t***3,颜色:09 黑色;尺码:175/100A/L,2021-02-11 19:27:50,很好
s***l,颜色:09 黑色;尺码:170/92A/M,2021-02-11 16:28:12,买了两个号码，留下m的，合适，性价比高，这个时候买羽绒真的是合算，可惜没有灰色的呢
钟***4,颜色:09 黑色;尺码:165/84A/S,2021-02-11 10:24:11,买了几件羽绒服，就这件不会皱皱的。
蜡***5,颜色:69 藏青色;尺码:175/100A/L,2021-02-10 20:38:15,优衣库的羽绒服里外已经买了四件，非常好，物美价廉。
h***n,颜色:69 藏青色;尺码:170/92A/M,2021-02-10 10:56:35,好好
放***熊,颜色:08 深灰色;尺码:170/92A/M,2021-02-09 17:04:37,可以的，内穿外搭都不错
t***1,颜色:09 黑色;尺码:180/108B/XL,2021-02-09 12:56:13,发货很快质量好非常喜欢推荐
胡***d,颜色:69 藏青色;尺码:170/92A/M,2021-02-09 08:08:03,很多年的老款啦！穿了确实好，所以回购！优衣库的东西，人性化设计真的没话说，质量不能说多好！但绝对是中规中矩绝对够了，很暖心。内外穿均可，搭配起来也很好！保暖性也OK。强烈推荐人人必备这款！
t***1,颜色:09 黑色;尺码:180/108B/XL,2021-02-08 12:37:43,很喜欢
t***1,颜色:69 藏青色;尺码:180/108B/XL,2021-02-07 14:08:28,发货很快质量好非常喜欢推荐
成***达,颜色:09 黑色;尺码:165/84A/S,2021-02-07 12:29:30,薄，十度以上穿正好
善***长,颜色:08 深灰色;尺码:170/92A/M,2021-02-07 11:43:26,整体评价：以前买的优衣库质量都可以，这次有点踩雷了，这边上还有这种一坨的细线 材质特性：比较柔软，轻薄 尺码推荐：身高171，体重145，选170尺码，还可以，合身吧 厚薄度：薄，也就家穿穿，要是冷外面肯定扛不住
s***i,颜色:08 深灰色;尺码:170/92A/M,2021-02-06 20:55:43,轻薄的内穿款，搭配大衣非常合适
