displayUserNick,auctionSku,rateDate,rateContent
淇***1,颜色:46 鹅黄色;尺码:165/84A/S,2021-03-05 09:28:53,捡漏，可惜小了
冰***5,颜色:46 鹅黄色;尺码:180/108B/XL,2021-02-17 21:41:54,轻羽还是优衣库家是代表，挺好的，就是颜色太亮了，别的颜色又没有大号，不过价格太便宜了，就还是一人买了一件，随便穿穿挺好看的，优衣库打折的时候，价格还是很便宜的。
y***1,颜色:46 鹅黄色;尺码:165/84A/S,2021-02-15 19:20:25,非常不错，比一般的轻羽绒要厚
t***2,颜色:69 藏青色;尺码:165/84A/S,2021-02-13 21:37:01,很薄，很轻，也很保暖！适合不太冷的时候穿，零度以下联系买大款。
t***7,颜色:46 鹅黄色;尺码:180/108B/XL,2021-02-12 09:30:02,给家人买的 她很喜欢
我***忠,颜色:59 墨绿色;尺码:165/84A/S,2021-02-08 23:07:42,我不知道为什么会有这样的衣服，到处都是绒毛，而且衣服有一股骚鸭子味，反正很臭，客服永远都是已读不回复，这快过年了，来不及处理了，也算优衣库铁杆粉了，真的真的，这件衣服不值得，千万别买&hellip;千万
王***k,颜色:46 鹅黄色;尺码:180/108B/XL,2021-02-06 12:31:42,这个颜色还是女的穿靓
提***涉,颜色:46 鹅黄色;尺码:165/84A/S,2021-02-05 23:57:39,挺便宜而且还不错，挺便宜而且还不错
t***4,颜色:46 鹅黄色;尺码:165/84A/S,2021-02-05 20:37:52,不错啊啊啊啊啊啊啊啊啊啊啊
r***4,颜色:46 鹅黄色;尺码:180/108B/XL,2021-02-05 16:23:26,整体评价：质量不错 上身效果：很合身
左***z,颜色:46 鹅黄色;尺码:165/84A/S,2021-02-05 15:27:46,一直想买的颜色，出门旅游时穿，好评
f***e,颜色:46 鹅黄色;尺码:180/108B/XL,2021-02-05 11:13:44,羽绒服不错，黄色靓丽
m***8,颜色:46 鹅黄色;尺码:170/92A/M,2021-02-04 20:01:27,衣服价格实惠，穿了也很温暖
y***t,颜色:69 藏青色;尺码:165/84A/S,2021-02-04 17:55:46,很好的衣服
f***g,颜色:46 鹅黄色;尺码:180/108B/XL,2021-02-04 16:30:39,合适，保暖，轻便。
d***y,颜色:69 藏青色;尺码:165/84A/S,2021-02-03 20:22:39,优衣库的无缝羽绒服还是挺暖和的，这回买件轻羽试试。确实很轻薄，基本上没啥重量。面料是防水的那种，里面还有个收纳袋。大小可以去线下店里试一下，我就是店里穿了，才买的这断**。质量应该没啥问题，估计我这件是人家退的，袋子不一样。总体满意，十多度天气穿着不冷，也可以内穿加个外套。
周***虹,颜色:46 鹅黄色;尺码:165/84A/S,2021-02-03 08:40:05,码偏小，要买大两个码才行。基本都在优衣库买衣服，但这次购买的不是很满意，蓝色的好像是别人退的货，包装不同而且乱，本来打算退货的，太麻烦就算了（我现在有一单在退的，一个月了还没成功，可能是快递搞丢了）。
q***1,颜色:69 藏青色;尺码:165/84A/S,2021-02-02 11:45:13,买了灰色和藏青色，我更喜欢灰色，但老公穿上身藏青色效果更好，都留下了，每年优衣库买买买
q***1,颜色:03 灰色;尺码:165/84A/S,2021-02-02 11:44:24,买了灰色和藏蓝色，我更喜欢灰色，但老公上身藏青色更好看，都留下了，每年都在优衣库买买买
小***e,颜色:09 黑色;尺码:160/76A/XS,2021-02-02 10:29:20,保暖是真的保暖 跑绒也是真的跑绒 每天掉十几根 联系客服也没人
街***瞳,颜色:46 鹅黄色;尺码:170/92A/M,2021-02-01 12:39:35,一直买的优衣库 值得信赖
衣***8,颜色:66 蓝色;尺码:165/84A/S,2021-02-01 12:09:40,给小外甥买的，特别喜欢，一到家就玩上了
c***4,颜色:66 蓝色;尺码:165/84A/S,2021-01-31 23:02:15,整体不错，轻
叶***8,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-31 19:40:28,轻薄柔软，穿着舒服😌
晴***y,颜色:46 鹅黄色;尺码:165/84A/S,2021-01-31 06:44:23,女生，身高162体重47公斤，这个码穿着舒服，退了女款留了男款，哈哈哈
云***寒,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-30 13:58:11,199购买，非常薄，但是保温效果还是可以的，中间层穿着。
t***0,颜色:66 蓝色;尺码:165/84A/S,2021-01-30 08:00:30,款式比较小。建议大家拍大一号
米***物,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-29 15:19:22,感觉实物比图片更好看，价格和质量成正比，这次购物非常满意，喜欢的宝宝赶紧下手。
s***w,颜色:69 藏青色;尺码:160/76A/XS,2021-01-28 22:32:20,够暖够薄够轻，这已经是买的第二件了
网***9,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-28 08:30:28,可以可以，非常可以，如果再便宜点就更好了
o***n,颜色:59 墨绿色;尺码:165/84A/S,2021-01-27 23:38:55,非常非常喜欢
5***陈,颜色:69 藏青色;尺码:165/84A/S,2021-01-27 22:23:22,很喜欢💕
5***陈,颜色:66 蓝色;尺码:165/84A/S,2021-01-27 22:22:58,很好👍
g***2,颜色:59 墨绿色;尺码:165/84A/S,2021-01-27 21:40:59,性价比比较高
r***0,颜色:66 蓝色;尺码:180/108B/XL,2021-01-27 18:08:21,早上好不容易买到XL号
炫***叶,颜色:69 藏青色;尺码:165/84A/S,2021-01-27 17:47:55,属实比较轻薄，面料也很薄，稍锋利点的地方刮一下几天破了。
妖***3,颜色:03 灰色;尺码:165/84A/S,2021-01-27 16:55:26,羽绒服还是一如即往的好，只是物流比较慢
水***姝,颜色:69 藏青色;尺码:165/84A/S,2021-01-27 15:33:32,买过别的羽绒挺好的，这件一直跑绒，没法好评
小***莓,颜色:59 墨绿色;尺码:165/84A/S,2021-01-27 15:08:16,这个颜色比深蓝色好看点，挺小的而且很薄，只能说优衣库品控非常一般，原价最多卖一百多。
小***捷,颜色:69 藏青色;尺码:165/84A/S,2021-01-27 15:00:02,很好，百搭
j***4,颜色:66 蓝色;尺码:165/84A/S,2021-01-27 14:48:24,衣服很暖和，居家穿很舒服，办公室穿也很棒
c***4,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-27 00:12:30,质量不错.便宜又优惠
f***t,颜色:66 蓝色;尺码:165/84A/S,2021-01-26 22:57:52,好穿
h***兹,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-26 22:06:10,老爸穿好看的
j***1,颜色:09 黑色;尺码:160/76A/XS,2021-01-26 19:53:33,不错不错！
小***y,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-26 11:48:23,送给勤劳勇敢的粑粑做家务穿了，很好很合适！
听***雾,颜色:46 鹅黄色;尺码:170/92A/M,2021-01-26 11:14:09,面料品质：静电非常大，都要快被电晕了。其他都还好
g***e,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-26 11:11:42,good
被***肤,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-26 09:20:27,美团外卖上身😂
吃***娇,颜色:69 藏青色;尺码:165/84A/S,2021-01-25 22:53:29,给老公买的，看到有号就买了，很合身，不过现在穿有点冷，春节暖和点了就可以穿了，颜色很衬肤色，大小合适，就是便宜的时候号码不全要不再买一件给自己😁后面穿的衣服在上图
王***k,颜色:46 鹅黄色;尺码:165/84A/S,2021-01-25 18:30:05,挺好。女性胯宽的不太适合，90公分以上的需要挽起来穿。
j***1,颜色:66 蓝色;尺码:165/84A/S,2021-01-25 12:51:18,从来没有失望过。
y***5,颜色:66 蓝色;尺码:165/84A/S,2021-01-25 10:36:33,跟描述不一样，并没有袋子
a***9,颜色:66 蓝色;尺码:165/84A/S,2021-01-25 10:05:55,南方地区，适用，冬天ok的！（地标：广州） 寒冬的话，外面再穿个冲锋衣壳子也就够了！
合***车,颜色:09 黑色;尺码:165/84A/S,2021-01-25 09:44:15,黑色百搭。广州天气够了。
t***1,颜色:66 蓝色;尺码:165/84A/S,2021-01-25 09:34:34,衣服非常轻，然后也非常的保暖！
霸***舞,颜色:46 鹅黄色;尺码:170/92A/M,2021-01-25 02:01:50,优衣库yyds
h***r,颜色:46 鹅黄色;尺码:165/84A/S,2021-01-24 22:05:00,去年的款跟跟今年没差，价格便宜好多，入手了这个和另一款羽绒马甲，划算。
w***l,颜色:66 蓝色;尺码:165/84A/S,2021-01-24 16:49:56,比较修身
震***格,颜色:66 蓝色;尺码:165/84A/S,2021-01-24 09:09:00,又轻又薄，厦门冬天差不多可以，儿子145，体重86斤穿稍大点，这样正好，童装已经都不行了，只能买成人装小码，他喜欢宽松的衣服。
s***8,颜色:69 藏青色;尺码:165/84A/S,2021-01-23 23:20:19,很好
s***w,颜色:66 蓝色;尺码:160/76A/XS,2021-01-23 21:18:46,够暖够轻够薄
w***p,颜色:46 鹅黄色;尺码:170/92A/M,2021-01-23 20:54:46,土黄色也挺好看的，这个价格很划算了
c***a,颜色:46 鹅黄色;尺码:175/100A/L,2021-01-23 19:17:18,布料一如既往的好，这款尺码稍微偏小，L号和前年灰色款的M差不多，最近降温当内胆穿，超级暖和，无色差很好看～
m***u,颜色:66 蓝色;尺码:165/84A/S,2021-01-23 17:35:18,199真香。
夜***3,颜色:59 墨绿色;尺码:165/84A/S,2021-01-23 16:42:07,"东西质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，服务态度很好，运送速度很快，很满意的一次购物。"
第***哆,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-23 15:24:24,挺好的666666666666
洋***当,颜色:46 鹅黄色;尺码:175/100A/L,2021-01-23 14:47:00,还没穿，价格实惠。
搁***p,颜色:46 鹅黄色;尺码:165/84A/S,2021-01-23 13:08:50,很舒服的羽绒服，也很保暖
世***0,颜色:46 鹅黄色;尺码:165/84A/S,2021-01-23 08:35:42,现在优衣库真的难买到199的轻薄羽绒。看便宜给自己买了件。158 105j s合适
月***7,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-22 18:00:36,暖和
c***8,颜色:66 蓝色;尺码:165/84A/S,2021-01-22 12:49:40,很好
j***庆,颜色:69 藏青色;尺码:165/84A/S,2021-01-22 11:58:56,非常的薄，不保暖，差评。
青***f,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-22 10:44:34,差评，一直钻毛，弄得到处都是，就像个到了中年因为压力太大开始脱发的大叔
m***q,颜色:69 藏青色;尺码:165/84A/S,2021-01-22 00:19:43,喜欢的颜色没有啦~不过这个质量还是ok哒~
寂***洲,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-21 22:34:34,比较皱。性价比超高的
飞***6,颜色:03 灰色;尺码:165/84A/S,2021-01-21 20:43:03,毛都钻出来 质量一般
d***7,颜色:66 蓝色;尺码:165/84A/S,2021-01-21 19:30:41,质量超好，便宜超值，十分满意。
n***4,颜色:09 黑色;尺码:165/84A/S,2021-01-21 12:15:01,东西很不错的，物流很快的，真棒！
一***6,颜色:46 鹅黄色;尺码:165/84A/S,2021-01-21 12:00:28,羽绒服收到了，优衣库的衣服还是挺好的，轻轻的，穿着挺舒服的，好
胖***6,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-21 09:58:24,好！是优衣库铁杆粉，会继续光顾的。
胖***6,颜色:46 鹅黄色;尺码:175/100A/L,2021-01-21 09:58:24,好！非常好！会继续光顾的。
小***7,颜色:46 鹅黄色;尺码:165/84A/S,2021-01-20 21:45:51,这价格超值
小***5,颜色:46 鹅黄色;尺码:175/100A/L,2021-01-20 19:59:56,很轻便，很舒服，很透气。儿子学校要求穿校服，套在里面刚刚好，很适合学生冬季。
l***g,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-20 18:23:14,帅~
z***故,颜色:03 灰色;尺码:165/84A/S,2021-01-20 15:43:36,虽然我室友说我这个像饿了7天的米其林轮胎人，但是这个还是很棒的
m***油,颜色:03 灰色;尺码:165/84A/S,2021-01-20 14:24:27,厚薄度：有点薄
l***z,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-20 13:07:42,还行吧
1***w,颜色:46 鹅黄色;尺码:165/84A/S,2021-01-20 09:02:09,好
l***5,颜色:69 藏青色;尺码:165/84A/S,2021-01-20 08:23:59,习惯好评，掉毛严重。
5***e,颜色:46 鹅黄色;尺码:170/92A/M,2021-01-20 01:51:15,OK
c***4,颜色:69 藏青色;尺码:165/84A/S,2021-01-19 22:55:23,衣服有点薄，但比较保暖，价格也便宜，很不错。
可***7,颜色:46 鹅黄色;尺码:185/112C/XXL,2021-01-19 21:52:33,衣服的实际颜色比图片好看，商品介绍灰鸭绒，实际是白鸭绒，没注意满200包邮，实付199出了7元邮费，性价比还是很高的。
陈***润,颜色:66 蓝色;尺码:170/92A/M,2021-01-19 20:45:39,173.62公斤合适，很不错，超级超级好，去年买了黑色的
d***n,颜色:69 藏青色;尺码:165/84A/S,2021-01-19 18:29:51,趁打折买的，不错
o***8,颜色:09 黑色;尺码:165/84A/S,2021-01-19 17:29:01,合适
那***果,颜色:46 鹅黄色;尺码:175/100A/L,2021-01-19 16:36:40,一百分，祝店家生意兴隆～
倪***青,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-19 14:02:46,不好不保暖
构***生,颜色:66 蓝色;尺码:165/84A/S,2021-01-19 13:43:18,下次购物物流没有送货至收货地址，没有经过同意直接放菜鸟驿站，直接物流差评。
默***吻,颜色:46 鹅黄色;尺码:175/100A/L,2021-01-19 12:05:48,衣服我儿子穿上很阳光，大小刚刚好，非常满意
b***3,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-19 11:37:22,很輕薄!保暖 真值得
鱼***7,颜色:03 灰色;尺码:165/84A/S,2021-01-19 11:09:57,超级合身，就像量身定制的，165cm、54kg，供参考
姚***4,颜色:66 蓝色;尺码:165/84A/S,2021-01-18 18:01:17,特价199还可以
黄***5,颜色:46 鹅黄色;尺码:165/84A/S,2021-01-18 17:29:01,偏小，又薄，绒少
l***0,颜色:69 藏青色;尺码:165/84A/S,2021-01-18 15:29:21,还没穿，应该不错，性价比高。。
q***a,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-18 14:45:56,颜色有点怪
s***i,颜色:46 鹅黄色;尺码:170/92A/M,2021-01-18 13:55:43,勉强还可以吧，布料看起来有点粗糙
y***源,颜色:59 墨绿色;尺码:165/84A/S,2021-01-18 12:26:42,质一般会掉绒，码数偏小一点，没必要退货
y***u,颜色:66 蓝色;尺码:165/84A/S,2021-01-18 09:20:00,颜色有点丑啊&hellip;&hellip;&hellip;&hellip;
烟***2,颜色:09 黑色;尺码:165/84A/S,2021-01-18 08:11:51,167，55公斤，买了男装刚刚好，蹲到断码特价就是实惠。
田***业,颜色:66 蓝色;尺码:165/84A/S,2021-01-17 23:06:42,含绒量64，真的太薄，差不多价格的波斯登的含绒量80左右。
w***1,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-17 22:28:41,其他颜色没有只有黄色，质量很好，尺码正，颜色版型很好看。搞活动买的很便宜的！快递很给力！
n***行,颜色:69 藏青色;尺码:165/84A/S,2021-01-17 21:33:35,挺好
c***7,颜色:66 蓝色;尺码:170/92A/M,2021-01-17 19:13:14,好看，又便宜
a***f,颜色:59 墨绿色;尺码:165/84A/S,2021-01-17 17:07:54,东西不错，颜色还好，买了男式女穿，款式有差别，男式肩宽下摆窄
e***孓,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-17 15:15:34,图片颜色靓丽一些，黄色实物要暗一些
t***z,颜色:69 藏青色;尺码:165/84A/S,2021-01-17 13:31:24,优衣库基本上是我多年以来的上衣+裤的承包商了，所以我也不需要进行其他评价。
g***z,颜色:46 鹅黄色;尺码:165/84A/S,2021-01-17 13:19:49,物有所值，值得购买。
杨***8,颜色:69 藏青色;尺码:165/84A/S,2021-01-17 00:15:10,还可以
小***妞,颜色:66 蓝色;尺码:165/84A/S,2021-01-17 00:12:17,还不错。感觉好像是19年的款。不过广东穿还是蛮好的。
x***9,颜色:09 黑色;尺码:165/84A/S,2021-01-16 20:24:24,衣服很好，中通快递太差劲！
等***子,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-16 20:17:28,一如既往的好，值得信赖的品牌。
等***子,颜色:59 墨绿色;尺码:165/84A/S,2021-01-16 20:17:27,一如既往的好，值得信赖的品牌。
y***f,颜色:66 蓝色;尺码:165/84A/S,2021-01-16 19:41:53,做工质量都好，买来当冲锋衣内胆，就是有点偏短
身***间,颜色:09 黑色;尺码:160/76A/XS,2021-01-16 17:36:15,此用户没有填写评论!
乐***欢,颜色:09 黑色;尺码:165/84A/S,2021-01-16 13:32:08,送货速度快。服务很好。产品保护很好。
张***g,颜色:09 黑色;尺码:165/84A/S,2021-01-16 11:49:23,非常喜欢， 上身效果：走超级好
l***8,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-16 10:01:02,买来搁家穿穿
t***4,颜色:46 鹅黄色;尺码:175/100A/L,2021-01-16 04:33:25,保暖性还行 有点钻毛 款式偏短
小***9,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-15 15:06:48,会钻毛
e***n,颜色:09 黑色;尺码:165/84A/S,2021-01-15 12:09:48,可以的，轻薄款，只有s号了
t***0,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-15 09:44:46,好
t***8,颜色:69 藏青色;尺码:165/84A/S,2021-01-15 07:31:20,非常好的羽绒服，这是第二件了
t***8,颜色:59 墨绿色;尺码:165/84A/S,2021-01-15 00:42:23,保暖性挺好的，出差必备。
t***1,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-14 18:05:24,好好
x***1,颜色:69 藏青色;尺码:165/84A/S,2021-01-14 16:33:55,掉毛严重
天***恋,颜色:69 藏青色;尺码:165/84A/S,2021-01-14 16:13:25,还可以吧
饮***儿,颜色:59 墨绿色;尺码:165/84A/S,2021-01-14 12:15:28,家里人喜欢
g***1,颜色:09 黑色;尺码:165/84A/S,2021-01-13 23:40:28,质量好
张***4,颜色:66 蓝色;尺码:165/84A/S,2021-01-13 23:30:00,看价钱不错就先入了，充绒不多本来就想着衬在里面的
钟***4,颜色:66 蓝色;尺码:165/84A/S,2021-01-13 18:38:17,薄，偏小，只能当内胆穿了。这货也就值199元，原价太坑了
r***8,颜色:46 鹅黄色;尺码:175/100A/L,2021-01-13 17:34:49,实惠，颜色正，孩子挺喜欢的
j***g,颜色:46 鹅黄色;尺码:175/100A/L,2021-01-13 17:21:31,很轻很暖很舒服，赞赞
杨***哟,颜色:09 黑色;尺码:165/84A/S,2021-01-13 17:07:36,很划算 但是不影响它掉毛 😂😂很暖和
h***君,颜色:09 黑色;尺码:165/84A/S,2021-01-13 15:56:54,好看，划算
独***月,颜色:69 藏青色;尺码:165/84A/S,2021-01-13 15:17:16,挺好，不错的，很好
a***7,颜色:46 鹅黄色;尺码:170/92A/M,2021-01-13 14:07:34,整体评价：当校服的内胆来穿一级棒，性价比杠杠滴
你***字,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-13 11:34:10,买给爸爸，很方便，就是太难抢颜色了
四***伤,颜色:46 鹅黄色;尺码:170/92A/M,2021-01-13 10:56:07,很便宜。物流略慢。不是很暖和。扣一分是因为没穿几天，手臂的屈臂关节内侧的羽绒已经被压扁，不能复原了。
合***车,颜色:69 藏青色;尺码:160/76A/XS,2021-01-13 10:37:36,连续买了两件，广东足够了设计也好也轻。
t***9,颜色:09 黑色;尺码:160/76A/XS,2021-01-13 08:57:26,偏小，衣长很短，你们看好衣长下单
隔***3,颜色:59 墨绿色;尺码:165/84A/S,2021-01-13 08:38:03,轻薄贴身，按正常尺码即可
s***7,颜色:46 鹅黄色;尺码:165/84A/S,2021-01-13 08:05:35,太薄了
c***8,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-12 22:25:03,很好很不错 很好很不错
蒋***7,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-12 21:47:27,挺好的
t***5,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-12 21:01:29,不错哦
诺***3,颜色:03 灰色;尺码:165/84A/S,2021-01-12 20:45:50,十度左右可以穿，接近零下就有点冷了
凌***然,颜色:69 藏青色;尺码:165/84A/S,2021-01-12 20:41:39,掉绒严重
d***8,颜色:66 蓝色;尺码:165/84A/S,2021-01-12 20:31:41,服务太差问什么都不回答uq38客服真的太差了。
b***g,颜色:09 黑色;尺码:165/84A/S,2021-01-12 17:35:34,很好
小***头,颜色:66 蓝色;尺码:165/84A/S,2021-01-12 16:55:47,此用户没有填写评论!
l***w,颜色:46 鹅黄色;尺码:170/92A/M,2021-01-12 13:27:53,吊牌是被剪过重新绑回去的   袖口有笔渍  包装袋破损   客服半天都不回我  详情页的收纳袋也没法给我   优衣库这次恶心到我了   居然拿一件有瑕疵的退换货来销售   真给日本口碑丢脸   拉入黑名单！
梅***g,颜色:66 蓝色;尺码:165/84A/S,2021-01-12 11:53:33,拉链是坏的，可以退吗
优***9,颜色:03 灰色;尺码:165/84A/S,2021-01-12 11:04:57,短款，保暖好，北方也够用。499那款太厚了。
a***0,颜色:09 黑色;尺码:165/84A/S,2021-01-12 09:41:49,还行 挺暖和 价格还算合适 挺满意的
天***赖,颜色:46 鹅黄色;尺码:180/108B/XL,2021-01-12 08:07:15,191历史最低，谁说没有收纳袋，明明在衣服里面有。我172，150多斤，买180的刚好。其实这些只是厂家清库存。或者说是尾货。价格打6-7折很正常的。并不影响实体店销售。你们要是买贵了能保价的就保价。过了时间只能认了。要么你就买东西前下载一个软件，查看历史成交价格，同时订阅优惠价格通知。实时监控喜欢的宝贝价格。
q***7,颜色:46 鹅黄色;尺码:170/92A/M,2021-01-12 00:28:50,整体评价：薄得狠 一次性的衣服 天热不适合 天气冷又不暖和 几内
t***2,颜色:46 鹅黄色;尺码:165/84A/S,2021-01-11 17:42:50,质量很好，特别是帽子设计的很好。颜色很亮叠加穿着最好看。价格优惠。没有Xs了，买的S也行。
z***燕,颜色:46 鹅黄色;尺码:170/92A/M,2021-01-11 15:59:01,还行
x***8,颜色:66 蓝色;尺码:165/84A/S,2021-01-11 15:45:24,太薄了，没感觉羽绒的存在，南方冬天穿都觉得冷，包装也太简单了，衣服也是脏的，就值99元
暗***i,颜色:69 藏青色;尺码:165/84A/S,2021-01-11 14:55:57,此用户没有填写评论!
t***6,颜色:66 蓝色;尺码:165/84A/S,2021-01-11 14:44:39,会跑绒，一般般
w***灬,颜色:69 藏青色;尺码:165/84A/S,2021-01-11 13:00:51,宝贝收到啦，实物真的好看，价格非常实惠，强烈推荐这款，超级喜欢
u***e,颜色:66 蓝色;尺码:165/84A/S,2021-01-11 11:54:17,颜色实际艳一些，喜欢
n***1,颜色:66 蓝色;尺码:165/84A/S,2021-01-11 11:44:43,很好，喜欢
云***3,颜色:59 墨绿色;尺码:165/84A/S,2021-01-11 08:46:56,墨绿色，身边各种人觉得丑拒，还好我脸皮厚。穿的倒是还是很舒服的。
y***1,颜色:46 鹅黄色;尺码:170/92A/M,2021-01-11 01:01:29,很划算
我***菱,颜色:09 黑色;尺码:165/84A/S,2021-01-10 21:38:10,男款比女款充绒量高，推荐。
j***1,颜色:69 藏青色;尺码:165/84A/S,2021-01-10 21:37:14,相信优衣库没错了，每次都是相当满意!
p***5,颜色:69 藏青色;尺码:165/84A/S,2021-01-10 19:31:51,不暖便宜没好货
x***1,颜色:69 藏青色;尺码:165/84A/S,2021-01-10 18:48:25,女，168cm，53kg，喜欢宽松S码刚好，非常喜欢
平***7,颜色:69 藏青色;尺码:165/84A/S,2021-01-10 16:28:06,东西是好，尺码小了
我***姐,颜色:46 鹅黄色;尺码:165/84A/S,2021-01-10 14:31:48,买了男式s 亮黄色女生穿毫无违和感，也可以塞下厚一点的卫衣。
萌***蒙,颜色:69 藏青色;尺码:165/84A/S,2021-01-10 12:30:15,比较修身，下摆围偏紧，防风吧。
