displayUserNick,auctionSku,rateDate,rateContent
我***拐,颜色:69 藏青色;尺码:165/84A/S,2021-03-05 11:12:56,蛮好现在穿正好
曹***6,颜色:35 浅褐色;尺码:170/92A/M,2021-02-18 13:05:57,醉了，这个我看评价还可以的嘛，给老爸穿感觉不好看，显老还，我穿着也显老，浅褐色的，离谱，其他没问题，颜色不好看
浩***宇,颜色:69 藏青色;尺码:175/100A/L,2021-02-18 09:36:38,藏蓝色挺好看的，轻薄不臃肿，上班或者日常都可以
虚***颜,颜色:35 浅褐色;尺码:170/92A/M,2021-02-17 23:20:34,还不错
柑***色,颜色:69 藏青色;尺码:175/100A/L,2021-02-17 15:25:08,我爸穿真的很好看！嘿嘿
文***7,颜色:69 藏青色;尺码:175/100A/L,2021-02-16 22:02:00,优家的衣服，一如既往的推荐。
转***格,颜色:69 藏青色;尺码:170/92A/M,2021-02-15 16:45:29,服务态度十分差，不站在消费者角度解决问题，拖拉敷衍，购物体验非常不满意！
财***e,颜色:15 珊瑚红色;尺码:175/100A/L,2021-02-15 13:10:18,袖子略长，衣服适合5度左右天气，穿着舒适，漂亮。
t***2,颜色:15 珊瑚红色;尺码:180/108B/XL,2021-02-15 12:34:38,此用户没有填写评论!
t***8,颜色:15 珊瑚红色;尺码:180/108B/XL,2021-02-15 10:37:09,很棒的衣服，值得买！
李***飞,颜色:35 浅褐色;尺码:165/84A/S,2021-02-15 02:09:08,最多值三百块
淅***雨,颜色:15 珊瑚红色;尺码:165/84A/S,2021-02-14 20:31:34,买给爸爸的新年衣服，很喜欢，之前买大了一号，退了重新拍，我爹169，体重120左右，拍这个刚好，穿着不错
传***3,颜色:15 珊瑚红色;尺码:175/100A/L,2021-02-14 15:21:15,给男朋友买的，他很喜欢
d***x,颜色:09 黑色;尺码:175/100A/L,2021-02-14 09:39:49,过年买的，顺丰快递给力
q***2,颜色:57 深橄榄色;尺码:170/92A/M,2021-02-14 09:30:35,百搭很好看，身体175，147斤，M号非常合适，很轻巧，不臃肿。橄榄色给兄弟了，比我穿着更好看
q***2,颜色:35 浅褐色;尺码:170/92A/M,2021-02-14 09:30:35,百搭很好看，身体175，147斤，M号非常合适，很轻巧，不臃肿。
默***6,颜色:15 珊瑚红色;尺码:175/100A/L,2021-02-14 00:24:00,很好
炫***8,颜色:09 黑色;尺码:165/84A/S,2021-02-13 11:12:13,有点小贵，买回来就热了，没穿过
黄***0,颜色:69 藏青色;尺码:170/92A/M,2021-02-13 00:47:39,174 142斤穿M码比较宽松点，就是比较容易沾灰
l***g,颜色:57 深橄榄色;尺码:165/84A/S,2021-02-12 19:30:43,此用户没有填写评论!
丁***1,颜色:09 黑色;尺码:165/84A/S,2021-02-12 14:00:34,超级棒 北京10来度的天我穿正好！ 简单经典～ 面料也很不错.  衣服的确偏大一点 平时老公M 这款S就够了 精神小伙 尺码推荐：173 140斤 S码正好
小***1,颜色:15 珊瑚红色;尺码:175/100A/L,2021-02-12 11:22:53,好看
k***x,颜色:09 黑色;尺码:180/108B/XL,2021-02-11 21:19:34,掉毛！无敌！特别！！！！真的很严重！！！！！再在里面加一层内衬隔一下应该就不会跑毛了！！！
爱***畅,颜色:15 珊瑚红色;尺码:185/112C/XXL,2021-02-11 20:51:00,我男朋友190，以前一直买不到优衣库的尺码，现在有大码了可好了，以后可以一家人的衣服一站式搞定了
h***4,颜色:69 藏青色;尺码:175/100A/L,2021-02-11 14:41:49,整体评价： 整体评价：我们的产品是一个月一次性买，一天三次都可以。
响***涧,颜色:35 浅褐色;尺码:170/92A/M,2021-02-11 12:54:00,物美价廉，很舒适！
l***4,颜色:57 深橄榄色;尺码:175/100A/L,2021-02-11 12:41:04,尺码合适，非常喜欢！门店自提很方便
单***江,颜色:35 浅褐色;尺码:175/100A/L,2021-02-10 20:34:28,颜色比图片颜色暗，领子特别容易脏，油乎乎的，衣服版型还不错
上***王,颜色:09 黑色;尺码:180/108B/XL,2021-02-10 15:05:14,优衣库的这个男装外套质量很好，轻薄保暖！
c***7,颜色:35 浅褐色;尺码:165/84A/S,2021-02-10 14:41:54,此用户没有填写评论!
x***2,颜色:57 深橄榄色;尺码:185/112C/XXL,2021-02-10 12:48:35,颜色再深一点就更好了，老公1.82.100kg穿上正好，再也不用发愁给他买衣服了，以后就这家了
s***淼,颜色:35 浅褐色;尺码:170/92A/M,2021-02-10 11:02:28,蛮好看的
y***f,颜色:15 珊瑚红色;尺码:180/108B/XL,2021-02-10 08:57:57,不错
w***1,颜色:69 藏青色;尺码:170/92A/M,2021-02-09 23:28:27,还有两天就过年了，没想到年前就收到了，顺丰快递很给力，衣服和实体店一样，没有M码才在网上买的，衣服里面很滑顺，外面面料不粘水，落水成珠。
美***1,颜色:69 藏青色;尺码:175/100A/L,2021-02-09 19:09:55,尺码偏大两个尺码，平常穿  185的码，穿175都还是稍微大一点点，有人评价说大一个码好看不是这样的，衣服大了会显得肥，衣服也确认容易沾灰，衣服稍微设计短一点，衣袖修身一点就完美了
豆***1,颜色:09 黑色;尺码:175/100A/L,2021-02-09 19:07:37,尺码大
生***1,颜色:69 藏青色;尺码:165/84A/S,2021-02-09 16:19:40,整体版型挺好的，很轻便，在南方嘛保暖妥妥的。正常体型一定记得买小一号。
m***e,颜色:69 藏青色;尺码:175/100A/L,2021-02-09 14:30:02,性价比真的很高。在美国一直穿Patagonia。这个质量做工丝毫不差，版型更简洁挺括，价格是国内买Patagonia 的零头。以后就全部优衣库了。给一个尺寸参考：180 75kg，L略宽松。
t***5,颜色:15 珊瑚红色;尺码:170/92A/M,2021-02-09 14:05:26,此用户没有填写评论!
丿***灬,颜色:69 藏青色;尺码:165/84A/S,2021-02-09 13:59:14,我体重175，体重130，穿S的有点小
z***f,颜色:35 浅褐色;尺码:175/100A/L,2021-02-08 20:00:47,颜色好看，款式大气，不错。
t***白,颜色:69 藏青色;尺码:170/92A/M,2021-02-08 15:36:36,此用户没有填写评论!
恰***9,颜色:69 藏青色;尺码:175/100A/L,2021-02-08 11:36:31,衣服很轻，款式也不错，就是收到的时候袖口上在是脏的，不知道杂回事。
郭***8,颜色:15 珊瑚红色;尺码:180/108B/XL,2021-02-08 11:23:39,非常喜欢
1***f,颜色:15 珊瑚红色;尺码:165/84A/S,2021-02-08 10:25:43,很合适  弟弟喜欢
心***c,颜色:69 藏青色;尺码:170/92A/M,2021-02-07 17:30:07,服务太差了。信息不回
石***m,颜色:57 深橄榄色;尺码:170/92A/M,2021-02-07 17:05:48,适合南方的冬天，很轻，就是透气不是很好，后脖颈那里很容易吸干和油，看起来湿湿的。
y***1,颜色:09 黑色;尺码:175/100A/L,2021-02-07 13:27:17,很好 物流也很快
哈***c,颜色:35 浅褐色;尺码:170/92A/M,2021-02-07 10:49:44,物流服务很棒，衣服也不错
q***8,颜色:69 藏青色;尺码:165/84A/S,2021-02-07 08:27:17,不错
h***2,颜色:35 浅褐色;尺码:165/84A/S,2021-02-06 20:33:00,整体评价：优衣库的东西质量太好了，保暖，轻便，做工很棒，款式颜色年轻 材质特性：手感很好 上身效果：很赞 面料品质：很棒
老***烟,颜色:09 黑色;尺码:165/84A/S,2021-02-06 20:11:44,版型正，容易粘灰，适合暖冬
h***8,颜色:57 深橄榄色;尺码:180/108B/XL,2021-02-06 18:58:38,不错
g***5,颜色:69 藏青色;尺码:170/92A/M,2021-02-06 17:15:19,藏青色上身效果不错喜欢宽松的可以买大一码，缺点就是容易粘毛！
l***4,颜色:69 藏青色;尺码:170/92A/M,2021-02-06 15:14:34,喜欢
h***痴,颜色:69 藏青色;尺码:165/84A/S,2021-02-06 14:06:44,整体还不错，价格嘛还行，衣服穿起来也很大方得体，挺好的
肖***6,颜色:15 珊瑚红色;尺码:175/100A/L,2021-02-06 11:50:23,小孩过年的新衣 喜庆
t***6,颜色:69 藏青色;尺码:170/92A/M,2021-02-06 08:59:56,满意穿着显瘦173cm73kg穿着正好
t***2,颜色:69 藏青色;尺码:175/100A/L,2021-02-05 23:31:11,衣服包裹性很好很结实很暖和，穿上很好看
h***n,颜色:69 藏青色;尺码:170/92A/M,2021-02-05 23:04:54,因为有很多兜可以放东西，儿子很喜欢，699买的，没蹲到599
每***s,颜色:69 藏青色;尺码:180/108B/XL,2021-02-05 21:56:10,还可以
t***8,颜色:09 黑色;尺码:175/100A/L,2021-02-05 19:27:23,包装很好，质量非常棒，宝贝完全符合卖家的描述，可以放心购买😍感谢🙏
陶***9,颜色:35 浅褐色;尺码:175/100A/L,2021-02-05 18:13:55,很好
m***4,颜色:09 黑色;尺码:175/100A/L,2021-02-05 15:21:34,穿着挺舒服的，保暖衣性能也好，面料啥的也可以
m***3,颜色:69 藏青色;尺码:175/100A/L,2021-02-05 13:29:24,合适
z***滚,颜色:35 浅褐色;尺码:165/84A/S,2021-02-05 08:31:51,质感还不错呢 女生穿也好看
我***7,颜色:57 深橄榄色;尺码:180/108B/XL,2021-02-04 23:10:32,质量很差，钻绒非常厉害，无任何售后可言，找客服的话，回复永远都是请问你是什么问题，无限循环回复，跟机器人无区别，买了几件其中有一件都烂了，联系了客服八百次，客服才切入正题给我登记了支付宝账户说运费退给我，等了一个月都没转，累了，不会再来
j***0,颜色:35 浅褐色;尺码:170/92A/M,2021-02-04 22:44:19,非常好，宝贝很高大上，质量很好，看上去就给人一种高级感，价格也合适，这次网购很愉快，大赞👍
m***8,颜色:09 黑色;尺码:175/100A/L,2021-02-04 22:15:39,舒适度一般，这种面料还挺容易粘上东西的。 还行吧 不蓬松的 还好，南方还行 有漏毛
t***黎,颜色:35 浅褐色;尺码:165/84A/S,2021-02-04 21:59:34,挺好吃的
随***灯,颜色:35 浅褐色;尺码:165/84A/S,2021-02-04 19:26:35,刚到货就降价，坑一个是一个？
李***a,颜色:69 藏青色;尺码:175/100A/L,2021-02-04 18:31:34,衣服刚买。就跌价
y***y,颜色:35 浅褐色;尺码:165/84A/S,2021-02-04 16:39:48,不错
独***皇,颜色:57 深橄榄色;尺码:175/100A/L,2021-02-04 16:03:24,大小合适，穿着舒服很满意
王***0,颜色:09 黑色;尺码:165/84A/S,2021-02-04 14:57:03,真恶心，承诺的服务做不到，也就那样吧，不会再来消费了
我***丫,颜色:69 藏青色;尺码:180/108B/XL,2021-02-04 14:42:43,特别容易粘一些脏东西
c***鹏,颜色:15 珊瑚红色;尺码:170/92A/M,2021-02-04 12:33:12,整体评价：599入手，价格还算不错。 材质特性：主要是棉袄，羽绒充绒量很少，只是一小部分有。 尺码推荐：这个尺码是挺偏大的，一般175/65-70，买m应该是够的，顶顶够。 厚薄度：比较适合淮河以南的冬天穿，零下还是有点难顶的。
袁***3,颜色:35 浅褐色;尺码:175/100A/L,2021-02-03 20:38:35,很好很好很好
我***头,颜色:15 珊瑚红色;尺码:175/100A/L,2021-02-03 20:36:59,不错！
小***嘛,颜色:35 浅褐色;尺码:175/100A/L,2021-02-02 20:50:45,很好
为***费,颜色:35 浅褐色;尺码:175/100A/L,2021-02-02 20:45:42,上身效果：老爸说穿起来显老 哈哈哈哈其实还好啦
张***贝,颜色:35 浅褐色;尺码:175/100A/L,2021-02-02 18:41:28,价格优惠
黑***b,颜色:69 藏青色;尺码:170/92A/M,2021-02-02 18:38:01,非常好，很暖和，又不会臃肿。
s***f,颜色:69 藏青色;尺码:175/100A/L,2021-02-02 16:36:43,快过年了 给老公买件新衣服 让他开心一下
j***y,颜色:69 藏青色;尺码:170/92A/M,2021-02-02 16:01:23,从原价799等到599，衣服超值。
s***9,颜色:35 浅褐色;尺码:180/108B/XL,2021-02-02 15:13:46,衣服的版式不错，码数的话稍微会偏大。 在优衣库门店试过才知道，本人183cm 74kg 门店穿L的也很合身，内搭薄毛衣。网店买的XL浅褐色。 在南方地区挺挡风的，也不会很冷。保暖性能足够。比较推荐购买！ 店内价格699元，网店在599时入手，感觉价格比较适中。
a***x,颜色:35 浅褐色;尺码:165/84A/S,2021-02-02 10:49:01,挺好的 就是没有活动原价买
花***影,颜色:69 藏青色;尺码:175/100A/L,2021-02-02 08:48:27,新年衣服，很好看呀
李***宇,颜色:15 珊瑚红色;尺码:180/108B/XL,2021-02-02 08:36:30,儿子180CM145斤，其实应该穿Ｌ码更合身，不过现在的XL也不错
浪***天,颜色:69 藏青色;尺码:170/92A/M,2021-02-02 08:05:39,还可以。
景***琳,颜色:09 黑色;尺码:175/100A/L,2021-02-02 07:23:59,偏大一点，容易粘毛
m***o,颜色:09 黑色;尺码:180/108B/XL,2021-02-02 01:01:45,之前买了红色，现在价格便宜了，就又买了一件
t***2,颜色:57 深橄榄色;尺码:175/100A/L,2021-02-01 23:46:03,上身好看
听***袭,颜色:09 黑色;尺码:165/84A/S,2021-02-01 22:48:39,奈斯
c***e,颜色:69 藏青色;尺码:170/92A/M,2021-02-01 22:02:54,买小了 在线下换了大一号 线下店售后不错 就是线上客服太应付人了
拥***9,颜色:35 浅褐色;尺码:170/92A/M,2021-02-01 21:19:43,还不错
e***c,颜色:09 黑色;尺码:175/100A/L,2021-02-01 20:47:22,可以，已经穿上了
琼***q,颜色:15 珊瑚红色;尺码:175/100A/L,2021-02-01 18:50:19,挺好的，男朋友喜欢就行
t***n,颜色:15 珊瑚红色;尺码:165/84A/S,2021-02-01 17:43:13,尺码有点偏大
王***4,颜色:35 浅褐色;尺码:170/92A/M,2021-02-01 17:09:52,衣服不评论，服务态度超级差，能把人气*
三***o,颜色:57 深橄榄色;尺码:165/84A/S,2021-02-01 16:15:01,我每个月林林总总要买很多东西，如果逐一评价我会很崩溃，所以特别制作一下模版。当你看到这段话的时候，说明我对此产品很是满意，后来者可以放心大胆的购买。当然我并非一个不负责任的买家，如果产品不好，我也会花一番功夫来好好评论的！
时***i,颜色:15 珊瑚红色;尺码:180/108B/XL,2021-02-01 12:22:23,衣服好看，物流速度也快
大***9,颜色:35 浅褐色;尺码:170/92A/M,2021-02-01 10:32:12,版型挺好的 给老公买的  含量不高的，不过今年南京过年不冷，刚好穿呢
l***q,颜色:69 藏青色;尺码:170/92A/M,2021-02-01 09:36:39,不是很厚的衣服，但款式可以，尺码偏大，买小一码合适。
y***o,颜色:15 珊瑚红色;尺码:170/92A/M,2021-02-01 00:13:41,优衣库的衣服真心性价比超高，质量好款式大方又不容易过时，颜色也好看，防风防水又耐脏，快过年了又恰逢本命年，第一次给老公买红色的衣服，出乎意料的好看，老公很喜欢，强烈推荐
w***3,颜色:69 藏青色;尺码:175/100A/L,2021-01-31 23:35:48,外套挺大的。穿的是我平常小一码。颜色好看，材质轻便，保暖。比实体店便宜！
清***羊,颜色:69 藏青色;尺码:175/100A/L,2021-01-31 17:03:25,很好
b***8,颜色:15 珊瑚红色;尺码:165/84A/S,2021-01-31 15:46:30,很满意，羽绒服太没有特色，这个看上去不像羽绒服，像冲锋衣😄
t***2,颜色:15 珊瑚红色;尺码:170/92A/M,2021-01-31 15:40:37,很不错
w***w,颜色:69 藏青色;尺码:170/92A/M,2021-01-31 15:19:34,很少评价优衣库，但这次不得不吐槽一下，活还在路上就降价，果断拒收，重新拍。袖子与身子一样长，羽绒极少，由于静电，极易沾灰，但做工没的说。
t***9,颜色:69 藏青色;尺码:170/92A/M,2021-01-31 15:00:56,优衣库的衣服确实不错，第一次买被圈粉了。这款衣服简洁大方，轻便同时保暖，而且性价比高！推荐！ 正在洗衣机里面清洗。
c***精,颜色:69 藏青色;尺码:180/108B/XL,2021-01-31 13:50:33,老爸很喜欢，很轻，穿起来舒服
w***1,颜色:35 浅褐色;尺码:185/112C/XXL,2021-01-31 10:41:44,配踢不烂简直完美，一定要买大一码才好看
t***2,颜色:15 珊瑚红色;尺码:170/92A/M,2021-01-31 10:34:27,不值这个价 599 品牌效应占比吧
t***9,颜色:69 藏青色;尺码:165/84A/S,2021-01-31 00:34:36,这个真的太🉑了，🎁包装很精美，宝贝做工比较精细，商家特别好❤，有问题都及时处理👍，确实是一次相当满意的网购，还会再来的😘
t***0,颜色:09 黑色;尺码:170/92A/M,2021-01-30 21:52:35,有点粘毛，其他都很好
t***2,颜色:69 藏青色;尺码:175/100A/L,2021-01-30 21:49:36,挺好
l***2,颜色:57 深橄榄色;尺码:165/84A/S,2021-01-30 21:04:38,好评！！
飘***2,颜色:69 藏青色;尺码:185/112C/XXL,2021-01-30 18:45:07,好看，版型很好
t***3,颜色:15 珊瑚红色;尺码:175/100A/L,2021-01-30 18:17:13,很不错。
y***1,颜色:09 黑色;尺码:180/108B/XL,2021-01-30 17:53:32,合身
t***8,颜色:15 珊瑚红色;尺码:170/92A/M,2021-01-30 17:32:21,衣服本身没有任何问题！产品是很好的。但是，在这里要请各位买家注意，尽管是官方店，优衣库家网店的客服态度非常可恶！非常可恶！之前买的一件衣服直接退货，还不该退款拖了很久。这家客服的态度非常糟糕非常糟糕！很多个人工客服都是答非所问，敷衍了事，和实体店的员工完全不一样。请各位买家尽量在实体店下单，非必要不要来网店。
有***怕,颜色:09 黑色;尺码:175/100A/L,2021-01-30 17:08:11,还可以
i***o,颜色:69 藏青色;尺码:180/108B/XL,2021-01-30 16:22:20,老爸穿很适合！
墨***尘,颜色:15 珊瑚红色;尺码:175/100A/L,2021-01-30 15:20:24,好看好看好看，好评好评好评！！
m***6,颜色:15 珊瑚红色;尺码:175/100A/L,2021-01-30 10:12:43,做工面料都很不错，色泽也正，尺码正好，满意。
你***选,颜色:09 黑色;尺码:175/100A/L,2021-01-30 09:50:04,物流是真的慢
蓝***z,颜色:09 黑色;尺码:170/92A/M,2021-01-30 08:37:10,比想象中的要薄一些，整体还不错
c***8,颜色:35 浅褐色;尺码:170/92A/M,2021-01-30 08:35:26,很好，老公喜欢。确实要买小一码
t***0,颜色:09 黑色;尺码:170/92A/M,2021-01-29 23:19:55,很好
x***o,颜色:69 藏青色;尺码:165/84A/S,2021-01-29 23:19:23,收到货，第一时间拆包装，感觉质量还是比较好的，与卖家描述的还是一致的，非常满意，发货速度比较快，物流公司服务态度很好，运送速度很快，总的来说这次是很满意的一次购物，感谢卖家。
l***6,颜色:09 黑色;尺码:175/100A/L,2021-01-29 22:09:02,质量还可以，就是有些贵，身高170体重160斤身型肚子大，买了L刚好
z***3,颜色:69 藏青色;尺码:165/84A/S,2021-01-29 21:21:20,箱子是漏了，后补的胶，衣服全是土。
无***g,颜色:69 藏青色;尺码:165/84A/S,2021-01-29 19:15:06,物流真的**了，五天才送到。今天我打电话去问还挂我电话，哪有这样的物流，佛了
无***6,颜色:15 珊瑚红色;尺码:170/92A/M,2021-01-29 18:39:22,跟好 买给我爸的 很合适
妞***个,颜色:69 藏青色;尺码:165/84A/S,2021-01-29 18:35:25,线下试了黑色的，没藏青了，店里温度高，感觉还行，好看，线上买的藏青，到手穿上有点冷啊，毕竟羽绒就那点
郑***1,颜色:35 浅褐色;尺码:185/112C/XXL,2021-01-29 16:03:06,看着还不错
大***子,颜色:69 藏青色;尺码:165/84A/S,2021-01-29 15:41:39,好穿，款型很好，性价比高，值得
莫***n,颜色:69 藏青色;尺码:170/92A/M,2021-01-29 14:59:05,爷爷身高176，体重65，M码正好。
含***雨,颜色:69 藏青色;尺码:175/100A/L,2021-01-29 14:13:14,这是我在淘宝买服装商品最满意的一次，衣服很好，我很喜欢！不过有个问题，优衣库的衣码偏大，我身高181体重175，全是较胖，穿180的衣码，居然嫌大，买了175正合身！供看评论的朋友参考！
程***踢,颜色:35 浅褐色;尺码:185/120C/XXXL,2021-01-29 13:16:43,还不错的。
风***i,颜色:35 浅褐色;尺码:170/92A/M,2021-01-29 13:10:20,给爸爸买的，和去年买过的一件一个款式，但是这个质量还算了，还没回去看看，爸爸说可以。
t***6,颜色:57 深橄榄色;尺码:175/100A/L,2021-01-29 12:59:18,整体评价：很合适 ，不过好像要钻毛
k***0,颜色:35 浅褐色;尺码:170/92A/M,2021-01-29 10:42:38,舒服，轻而不薄，颜色稍微深了点，不过也可以接受。
g***s,颜色:09 黑色;尺码:180/108B/XL,2021-01-29 00:26:31,good good～一如既往的好，优衣库质量保证
y***球,颜色:09 黑色;尺码:175/100A/L,2021-01-28 21:43:35,很好  和去年的一样 做工精致 样子简单时尚
l***0,颜色:35 浅褐色;尺码:170/92A/M,2021-01-28 20:49:27,帽子不加羽绒就完美了
l***0,颜色:69 藏青色;尺码:170/92A/M,2021-01-28 20:48:24,173，135斤
h***君,颜色:09 黑色;尺码:170/92A/M,2021-01-28 18:14:39,外公和公公各一件，防风保暖
淘***宝,颜色:57 深橄榄色;尺码:175/100A/L,2021-01-28 17:08:41,实体店试穿的，网上买的，其他方面都还好，幸亏看了评论
h***1,颜色:15 珊瑚红色;尺码:175/100A/L,2021-01-28 16:39:58,外层有点像防风风衣，整体偏薄，颜色好看，枣红色不扎眼，尺码标准
w***8,颜色:35 浅褐色;尺码:180/108B/XL,2021-01-28 15:49:37,衣服很好，快递要改进，收到时被划开一个口子，还好衣服没关系
安***1,颜色:69 藏青色;尺码:180/108B/XL,2021-01-28 14:52:55,男朋友 很喜欢 XL合适他
l***0,颜色:69 藏青色;尺码:165/84A/S,2021-01-28 13:57:16,质量好，服务好
l***0,颜色:57 深橄榄色;尺码:165/84A/S,2021-01-28 13:57:16,质量好，服务好
最***晴,颜色:35 浅褐色;尺码:170/92A/M,2021-01-28 13:25:03,很薄很薄
t***2,颜色:15 珊瑚红色;尺码:170/92A/M,2021-01-28 12:50:59,好看！帅气！
t***6,颜色:57 深橄榄色;尺码:170/92A/M,2021-01-28 12:04:48,爸爸很喜欢
t***1,颜色:69 藏青色;尺码:165/84A/S,2021-01-28 11:53:22,好看
美***吖,颜色:09 黑色;尺码:180/108B/XL,2021-01-28 08:38:17,老公穿很合身
c***n,颜色:57 深橄榄色;尺码:170/92A/M,2021-01-28 01:15:40,男友穿好帥
吉***8,颜色:57 深橄榄色;尺码:165/84A/S,2021-01-28 00:34:52,实体店没有这个码了，马上线上下单，完美
n***6,颜色:09 黑色;尺码:180/108B/XL,2021-01-27 21:58:21,吸毛，吸毛
m***7,颜色:57 深橄榄色;尺码:170/92A/M,2021-01-27 18:06:15,有点薄，偏大
