displayUserNick,auctionSku,rateDate,rateContent
k***8,颜色:57 深橄榄色;尺码:170/80A/M,2021-03-04 11:14:13,不错
y***2,颜色:57 深橄榄色;尺码:175/88A/L,2021-01-01 09:13:20,和实体店同品质 发货速度快
王***0,颜色:57 深橄榄色;尺码:180/96B/XL,2020-12-31 16:54:42,性价比很高，裤子材质很软，穿着挺舒服，趁着活动价入手，非常划算，很多衣服都是在优衣库买的！！！
c***c,颜色:57 深橄榄色;尺码:170/80A/M,2020-12-31 12:06:18,发的顺丰快递，裤子弹性十足，穿着很舒服！
j***o,颜色:57 深橄榄色;尺码:165/72A/S,2020-12-30 11:51:00,东西不错，但是太紧身了，不适合本人。
诚***芒,颜色:57 深橄榄色;尺码:175/88A/L,2020-12-29 19:26:14,小腿有点紧，较贴身，面料摸着挺舒服，透着一股香味，174cm/78kg，腰围刚刚好，如果小腿宽松些就完美！
会***v,颜色:57 深橄榄色;尺码:165/72A/S,2020-12-29 12:23:07,屯着
游***语,颜色:57 深橄榄色;尺码:170/80A/M,2020-12-28 12:30:37,质量好，弹性大，和产品描述一致，确实是紧身裤，要求体型。175，60，m正好。
n***e,颜色:57 深橄榄色;尺码:170/80A/M,2020-12-28 11:33:39,物美价廉，不过属于低腰短档的裤子，个人比较喜欢中腰和高腰的裤子。
a***9,颜色:57 深橄榄色;尺码:175/88A/L,2020-12-28 09:36:10,完美
g***9,颜色:57 深橄榄色;尺码:175/88A/L,2020-12-27 22:54:21,材质特性：弹力十足 上身效果：好
r***4,颜色:57 深橄榄色;尺码:180/96B/XL,2020-12-27 15:44:31,有活动直接闭眼入，没说的，有型，实惠！
h***8,颜色:57 深橄榄色;尺码:175/88A/L,2020-12-27 13:18:10,实体店试好尺寸网上买，挺方便的
宝***地,颜色:57 深橄榄色;尺码:175/88A/L,2020-12-23 11:50:01,挺好的，值得购买
