displayUserNick,auctionSku,rateDate,rateContent
s***0,颜色:09 黑色;尺码:165/76A,2021-03-05 09:34:25,好
一***分,颜色:09 黑色;尺码:170/82A,2020-12-01 19:56:24,厚，料子还不错！适合冬天穿 厚，料子还不错！适合冬天穿 厚，料子还不错！适合冬天穿 厚，料子还不错！适合冬天穿 厚，料子还不错！适合冬天穿
h***1,颜色:09 黑色;尺码:170/82A,2020-11-22 19:24:07,不错
藤***1,颜色:09 黑色;尺码:170/82A,2020-11-22 13:23:36,不错，效果挺好的。好评！
t***7,颜色:09 黑色;尺码:160/70A,2020-11-18 19:26:50,产品质量很好，设计特别合身，裤型也特别好看！穿着特舒服！快递很快，服务态度很好！很满意！
l***i,颜色:09 黑色;尺码:175/84A,2020-11-14 13:12:54,质量非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。
俗***字,颜色:68 深蓝色;尺码:175/84A,2020-10-14 17:12:00,两条裤子型号一样，左边的实体店买的，右边的是网上买的还是深蓝色的，标牌不小心扯了，就将就穿吧
t***1,颜色:09 黑色;尺码:165/76A,2020-09-23 10:26:54,防盗扣都没取，问客服半天没人理
b***棉,颜色:09 黑色;尺码:165/72A,2020-08-17 23:11:39,就是有点厚，料子还不错！适合冬天穿
s***n,颜色:09 黑色;尺码:170/78A,2020-06-14 11:08:12,很好
紫***彤,颜色:09 黑色;尺码:170/78A,2020-06-07 04:20:33,还好
n***2,颜色:09 黑色;尺码:170/78A,2020-05-20 10:23:44,很厚，很有弹力，很修身，颜色很正
s***生,颜色:09 黑色;尺码:175/86A,2020-05-11 07:05:44,长了，裤脚宽了
白***7,颜色:09 黑色;尺码:165/72A,2020-05-04 09:51:56,此用户没有填写评论!
苦***觉,颜色:09 黑色;尺码:165/72A,2020-04-24 12:06:34,裤子质量满意
k***t,颜色:09 黑色;尺码:175/84A,2020-04-12 08:13:28,正品，质量不错
淘***格,颜色:09 黑色;尺码:165/76A,2020-04-10 15:46:31,除了粘毛没其他问题
黄***明,颜色:09 黑色;尺码:160/70A,2020-04-07 10:05:30,此用户没有填写评论!
c***7,颜色:09 黑色;尺码:175/84A,2020-04-04 21:09:20,裤子不错，修身有弹性，黑色有点粘毛
朱***5,颜色:09 黑色;尺码:165/72A,2020-04-03 12:01:06,有点点粘毛，其他还好
k***7,颜色:09 黑色;尺码:175/84A,2020-03-30 10:34:35,上身效果好，有些长，还没裁边。
0***果,颜色:09 黑色;尺码:170/78A,2020-03-28 16:31:50,优衣库的裤子非常好
r***亮,颜色:09 黑色;尺码:170/82A,2020-03-16 16:46:57,弹力很好   正正好好 督促我减肥
w***8,颜色:09 黑色;尺码:175/84A,2020-03-11 06:41:01,专柜一样的，不错！！
s***轩,颜色:09 黑色;尺码:175/84A,2020-03-10 17:50:18,穿起来很舒服，本身以为自己腿粗穿不上了，没想到轻轻松松穿上了，还不显腿粗！
