displayUserNick,auctionSku,rateDate,rateContent
a***6,颜色:69 藏青色;尺码:165/72A,2021-03-04 21:32:18,没什么弹力
g***z,颜色:69 藏青色;尺码:170/82A,2020-08-15 13:41:38,牛*就完事了，问个**大小，差不多掂量一下，拿过来就一个字，穿就完事了，脱个**浆？洗什么洗？就是一穿爱怎么地怎么地。没有这种精神还养什么牛？
t***2,颜色:69 藏青色;尺码:160/68A,2020-08-14 07:26:29,物流一般，裤子满意。修身但不紧身。
w***2,颜色:69 藏青色;尺码:165/76A,2020-07-01 17:35:55,物流还是可以的 就是裤子的面料真心硬 评论说这是原牛该有的特性 抱歉 我不理解你们所谓的特性 个人不喜欢某些人口中的养牛 我买牛仔裤仅仅是为了穿 希望穿穿就会变软吧 本人身高181 体重137斤   穿这个码数感觉略紧了些 但是腰围合适就留下来了
我***欢,颜色:69 藏青色;尺码:170/78A,2020-07-01 07:30:29,有点厚，但是穿上挺有型，很好看，尺码刚刚好
阿***7,颜色:69 藏青色;尺码:165/76A,2020-06-30 22:31:45,布料有点硬
纽***丁,颜色:69 藏青色;尺码:170/82A,2020-06-24 10:45:39,好评，就是有急事需要客服协助处理，一直不回非常的烦。
邓***亮,颜色:69 藏青色;尺码:175/86A,2020-06-20 20:08:06,面料有点厚。夏天穿可能有点热
h***1,颜色:69 藏青色;尺码:175/84A,2020-06-20 12:40:06,1.这个品牌让我很失望，相同货号款式和五金件缺不一样，商品描述中没有，售前客服根本没有任何回复，都是机器人在解答。 2.售后客服也和**一样没有回复，售后流程不清不楚，无人解答。这个评价一个星都不想给，如果能给负数我肯定给-100分，这样的商家简直让人失望至极。
h***1,颜色:69 藏青色;尺码:175/86A,2020-06-20 12:40:06,1.这个品牌让我很失望，相同货号款式和五金件缺不一样，商品描述中没有，售前客服根本没有任何回复，都是机器人在解答。 2.售后客服也和**一样没有回复，售后流程不清不楚，无人解答。这个评价一个星都不想给，如果能给负数我肯定给-100分，这样的商家简直让人失望至极。
怪***事,颜色:69 藏青色;尺码:160/70A,2020-06-18 20:06:13,第一次养牛 试试
k***2,颜色:69 藏青色;尺码:165/76A,2020-06-08 00:06:56,质量很好！
5***子,颜色:69 藏青色;尺码:175/84A,2020-05-12 17:43:19,还没用呢！先好评吧！希望对得起我的这份信任！这是一个好评模版，不要看了下面都是废话。因为本姑娘很懒不想每个宝贝都写好评 所以才模仿网友的 &nbsp;好评模版 &nbsp;但是这个宝贝不管是质量 款式还是性价比 都是本姑娘喜欢的 &nbsp;如果是不喜欢的那本姑娘就会很生气 然后这个模版就变成了各种喋喋不休的吐槽 &nbsp;自然就不会撒下这个好评给各位淘友一个参考 &nbsp;本宝贝还是极好的
s***漠,颜色:69 藏青色;尺码:170/78A,2020-05-11 10:55:10,版型很长 171身高穿170的码起码改了7公分的长度之后还是略长  版型真的非常硬 加上很久没穿修身款臀部特别紧 感觉路都不会走了😂 样式还行 但除非很喜欢这个款不然不是特别推荐
a***1,颜色:69 藏青色;尺码:175/84A,2020-05-11 09:46:03,这个就是裤子有点长。
t***9,颜色:69 藏青色;尺码:175/86A,2020-05-05 14:46:11,裤子布料感觉有点硬硬，其他还可以
d***6,颜色:69 藏青色;尺码:170/78A,2020-05-01 21:09:01,裤型可以，颜色尺码准，但面料非常硬，是优衣库的面料没错了
a***8,颜色:69 藏青色;尺码:165/76A,2020-04-28 19:09:38,很精致，质量非常好，很满意的一次购物。谢谢店家！
张***大,颜色:69 藏青色;尺码:185/100B,2020-04-24 17:57:09,不错😊
曼***5,颜色:69 藏青色;尺码:170/82A,2020-04-20 08:44:05,料子太硬了
g***g,颜色:69 藏青色;尺码:180/96B,2020-04-16 10:45:39,原牛老公很喜欢，就是比较硬，款式也很好，
轩***i,颜色:69 藏青色;尺码:170/82A,2020-04-11 09:31:58,原牛很满意
h***8,颜色:69 藏青色;尺码:175/88A,2020-04-02 21:22:15,上身效果：不是直筒的，修身的。 厚薄度：偏厚的材料。 尺码推荐：很准，就是按照尺码买的。 整体评价：还是很不错的，做工很细。 材质特性：材质有硬度，很有型，也有弹性。 面料品质：唯一不好就是这个颜色，什么鬼颜色。
蔡***3,颜色:69 藏青色;尺码:170/78A,2020-04-02 13:30:41,一直都是优衣库原牛的忠实粉丝，一如既往地好！
听***傲,颜色:69 藏青色;尺码:180/90B,2020-03-28 06:37:21,不错不错
s***d,颜色:69 藏青色;尺码:165/76A,2020-03-24 23:42:50,唉这裤子太长了，为啥非要搞这么长，别家的稍微挽下边就能穿，你这不得不去裁剪下啊，好麻烦。
r***z,颜色:69 藏青色;尺码:165/72A,2020-03-22 16:29:25,好，合适，不亏，666，推荐。
w***r,颜色:69 藏青色;尺码:165/76A,2020-03-21 14:18:33,不错 不错比较喜欢 蛮好的
t***4,颜色:69 藏青色;尺码:160/70A,2020-03-15 20:07:17,上身效果：很棒 性价比很高 厚薄度：薄厚刚刚好  尺码推荐：不管怎样都要改裤长 整体评价：我有两条一摸一样的 第一条改的稍微有点短了
t***域,颜色:69 藏青色;尺码:175/86A,2020-03-14 04:59:32,牛仔裤基本还算修身的，这条不像优家其他那么宽松。去实体店换大了一码。一
魔***祭,颜色:69 藏青色;尺码:175/84A,2020-03-06 20:11:43,好看
t***8,颜色:69 藏青色;尺码:170/78A,2020-03-06 17:05:07,175    70  不算紧绷    非常合适     裤腿也太长了叭     看来要麻烦裁缝师傅了
y***t,颜色:69 藏青色;尺码:175/84A,2020-03-03 06:13:06,发货很快，还是一如既往的优衣库，性价比很高，质量款式都中规中矩，好评。
没***转,颜色:69 藏青色;尺码:175/88A,2020-03-02 15:22:59,跟一千多的原牛没区别大赞
旧***0,颜色:69 藏青色;尺码:180/90B,2020-03-02 14:34:42,裤子版型稍微有点偏小，希望穿穿会变松，裤腿有点长了要去修一下，199入的
楚***9,颜色:69 藏青色;尺码:180/90B,2020-03-02 10:57:20,优衣库最差牛仔裤，没有之一，料子硬，扎肉，我以为洗一下就好，还是那样也没法退了。
b***7,颜色:69 藏青色;尺码:170/78A,2020-03-01 18:38:51,好
t***8,颜色:69 藏青色;尺码:170/78A,2020-02-26 12:57:22,非常爱
t***9,颜色:69 藏青色;尺码:170/78A,2020-02-23 17:12:18,由于武汉疫情，这是我等的最久的一个快递
u***a,颜色:69 藏青色;尺码:170/82A,2020-02-22 17:21:31,布料有点硬，说是中腰，但还是低。
愚***乖,颜色:69 藏青色;尺码:170/82A,2020-02-16 18:31:33,一般
q***6,颜色:69 藏青色;尺码:160/68A,2020-02-09 11:41:54,裤子非常好。
