displayUserNick,auctionSku,rateDate,rateContent
汤***园,颜色分类:03 灰色;尺寸:160/70A/L,2021-02-27 12:27:33,好的哈
毽***包,颜色分类:08 深灰色;尺寸:160/66A/M,2021-02-05 08:59:25,给婆婆买的，没有男款的厚，很薄了，不满意
w***0,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-04 22:54:21,裤子总体挺好，就是腰围大，只能收紧带子了
缘***卦,颜色分类:08 深灰色;尺寸:160/66A/M,2021-02-04 18:41:13,很好
l***8,颜色分类:01 乳白色;尺寸:165/78A/XL,2021-02-04 15:45:18,穿着舒服，质量好，好评
宝***菜,颜色分类:09 黑色;尺寸:170/82A/XXL,2021-02-04 15:20:22,挺好穿的
l***1,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-04 14:05:32,妈妈说很好，面料很软。
a***3,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-04 13:51:28,穿着舒服的，加薄薄一层绒但很薄，上海的冬天穿肯定是不行的，2月份的上海单穿都冷，只能春秋季穿。156CM，50KG穿着正好，显屁股，剪了吊牌了，后悔没买M码。。。 黑色，不算很透但黑色很容易粘毛屑
k***a,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-04 12:28:54,尚可，较薄
a***5,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-04 10:48:38,此用户没有填写评论!
阿***阿,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-04 10:37:21,一如既往的好
晨***馨,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-04 10:01:56,很快就到了，全新正品👑，包装很仔细，没有问题物流很快，物品完好无损，用起来很舒服，喜欢💕物美价廉，物流给力，值得回购本来还很担心东西不好，拿到手发现完全多虑了，五星好评整体来说，还是很好的，非常值得再次回购物流很快，质感很好，很漂亮，很喜欢
j***9,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-03 23:32:24,还可以吧
我***告,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-03 20:30:23,此用户没有填写评论!
c***2,颜色分类:08 深灰色;尺寸:165/78A/XL,2021-02-03 18:18:13,不错
海***2,颜色分类:01 乳白色;尺寸:165/78A/XL,2021-02-03 17:26:36,优衣库的衣服  一直让我种草 经济实惠
l***n,颜色分类:08 深灰色;尺寸:155/62A/S,2021-02-03 14:08:09,给老**新年礼物 很好
快***0,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-03 12:09:38,掌柜的服务态度真好，发货很快。商品质量也相当不错。太喜欢了，谢谢！
精***1,颜色分类:03 灰色;尺寸:160/70A/L,2021-02-03 10:22:57,质量好舒服第二条
桃***6,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-03 10:19:22,好穿，店里试过了，没有码就网购拉
爱***远,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-03 09:27:47,哈哈哈哈哈哈哈哈哈哈哈哈好
a***6,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-03 08:44:52,太薄了不暖和
j***6,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-03 01:11:20,很好 卖给姨**
衣***希,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-02 17:52:22,可以
风***l,颜色分类:08 深灰色;尺寸:155/62A/S,2021-02-02 17:48:05,腰围很大，没有弹力，就靠抽绳调整，不算厚实，内里有一层长绒，穿起来还是蛮舒服的。
q***7,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-02 15:23:18,太可了 把优衣库的裤子基本买了个遍
大***8,颜色分类:08 深灰色;尺寸:155/62A/S,2021-02-02 13:07:13,此用户没有填写评论!
k***n,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-02 12:50:08,161 51kg m正好 一点点小
雨***2,颜色分类:08 深灰色;尺寸:160/66A/M,2021-02-02 11:25:39,不是仿羊羔绒
牙***心,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-02 10:16:19,很好  上班推荐
罗***6,颜色分类:03 灰色;尺寸:160/66A/M,2021-02-02 09:08:03,对我来说太薄了，没有男款厚
多***空,颜色分类:03 灰色;尺寸:160/70A/L,2021-02-02 07:59:07,165cm50kg，穿这个号腰围大不少
小***7,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-01 22:45:07,太簿了，帕帕的
t***2,颜色分类:08 深灰色;尺寸:155/62A/S,2021-02-01 21:57:00,好评
h***6,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-01 20:07:30,第一次在网上购买，也是看评价才买的，质量还不错，也很便宜，有需要的朋友可放心购买发货快，包装严实，商品质量非常好，比专柜便宜很多，客服服务态度也特别好，好评
兰***时,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-01 17:23:49,裤子是棉的，款式大方，春秋可以穿。
a***1,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-01 16:02:05,160高100斤，裤子正合适腰间宽松，盲买来居家穿的，但出门也是可以，质量很好以至于收到后想立马再买一条！
l***桑,颜色分类:08 深灰色;尺寸:160/66A/M,2021-02-01 15:53:19,这条运动裤我超喜欢，买了两条成人的，一条童装的。一开始没买到XS，买的S，有点宽松，特别是腰跟屁股那里，后面有XS了又追加了一条，成人款是有绑带的，童装没有。现在搞活动又入了一条给妈妈，妈妈身高160，体重100斤左右，穿M码合适。
小***x,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-01 15:36:12,很好穿，也舒服，里面是薄绒，有点薄了
t***2,颜色分类:08 深灰色;尺寸:160/70A/L,2021-02-01 15:34:53,给阿姨和麻麻买的，穿着舒服价格也实惠很喜欢
m***y,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-01 14:18:53,质量一般
莫***贝,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-01 08:45:24,裤子买的第二条啦，喜欢，不特别厚
c***j,颜色分类:08 深灰色;尺寸:160/70A/L,2021-02-01 02:01:49,质量很好。优衣库物美价廉
莫***宇,颜色分类:09 黑色;尺寸:155/62A/S,2021-01-31 23:22:03,质量很好满意快递速度快
z***6,颜色分类:08 深灰色;尺寸:160/70A/L,2021-01-31 22:08:45,不错
小***4,颜色分类:01 乳白色;尺寸:155/62A/S,2021-01-31 21:35:44,🎈商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！
小***4,颜色分类:09 黑色;尺寸:155/62A/S,2021-01-31 21:35:44,很好看。不错
t***0,颜色分类:09 黑色;尺寸:160/66A/M,2021-01-31 19:57:33,质量非常好
m***7,颜色分类:09 黑色;尺寸:165/78A/XL,2021-01-31 19:54:31,回购的，第三条
珠***1,颜色分类:03 灰色;尺寸:160/70A/L,2021-01-31 19:44:47,非常好穿，如果裤长再长一点就好了
t***5,颜色分类:01 乳白色;尺寸:160/66A/M,2021-01-31 19:29:14,物美价廉
z***k,颜色分类:08 深灰色;尺寸:155/62A/S,2021-01-31 16:40:03,舒适柔软，性价比极高。就是149买的，略贵 每年要买很多优衣库，一年四季都有
y***0,颜色分类:08 深灰色;尺寸:155/62A/S,2021-01-31 14:43:00,绝对舒服哈啊哈
t***3,颜色分类:03 灰色;尺寸:165/78A/XL,2021-01-31 13:28:19,衣裤的面料还是不错的，但是姑娘穿的太大，吊牌己撕就不退了，我们大人穿
雨***1,颜色分类:09 黑色;尺寸:160/70A/L,2021-01-31 11:29:29,宽松柔软舒服，码数有点偏大，腰有点松
w***0,颜色分类:03 灰色;尺寸:160/70A/L,2021-01-31 09:37:20,我买过一条黑色的裤子现在又买了一条灰色的，码数选的一样的，可是灰色的长度却比黑色长了大概5cm，舒服还是很舒服的，就是这个长短有点尴尬😓
s***n,颜色分类:09 黑色;尺寸:160/66A/M,2021-01-31 09:36:55,喜欢，好穿的裤子，保暖又显瘦
好***晴,颜色分类:09 黑色;尺寸:160/66A/M,2021-01-31 09:30:19,好评
w***0,颜色分类:09 黑色;尺寸:160/70A/L,2021-01-30 22:40:23,此用户没有填写评论!
8***s,颜色分类:01 乳白色;尺寸:165/78A/XL,2021-01-30 21:43:00,挺宽松的 版型很好
k***事,颜色分类:09 黑色;尺寸:160/70A/L,2021-01-30 21:42:40,好。
k***事,颜色分类:03 灰色;尺寸:160/70A/L,2021-01-30 21:39:48,舒服显瘦
l***b,颜色分类:08 深灰色;尺寸:165/78A/XL,2021-01-30 21:34:46,可以
莫***斤,颜色分类:03 灰色;尺寸:165/78A/XL,2021-01-30 21:11:19,还可以，适合有点胖的姑娘
秋***晨,颜色分类:09 黑色;尺寸:160/66A/M,2021-01-30 20:56:46,喜欢这条裤子，穿着很舒适。
w***5,颜色分类:09 黑色;尺寸:160/66A/M,2021-01-30 20:52:15,质量越做做差了，没有之前的好。价格还贵了很多，以前买只要99
w***5,颜色分类:08 深灰色;尺寸:160/66A/M,2021-01-30 20:52:15,质量越做做差了，没有之前的好。价格还贵了很多，以前买只要99
开***3,颜色分类:09 黑色;尺寸:155/62A/S,2021-01-30 20:04:58,没有去年的厚实
开***9,颜色分类:09 黑色;尺寸:165/78A/XL,2021-01-30 19:22:03,舒服！适合现在广州的天气
游***分,颜色分类:09 黑色;尺寸:160/66A/M,2021-01-30 18:32:52,显瘦哈
t***7,颜色分类:09 黑色;尺寸:160/66A/M,2021-01-30 17:39:42,优衣库一如既往的好
s***h,颜色分类:09 黑色;尺寸:160/66A/M,2021-01-30 17:22:43,比想象中的要薄，其他都还好。
葵***亮,颜色分类:09 黑色;尺寸:160/66A/M,2021-01-30 17:08:12,孕4个月可穿
