displayUserNick,auctionSku,rateDate,rateContent
毛***5,颜色分类:02 浅灰色;尺码:155/68C/S,2021-01-16 18:33:47,快准狠 老客户
t***1,颜色分类:69 藏青色;尺码:165/76C/L,2020-03-29 19:25:24,先买的灰色，后买的藏青色，居然材质不一样，不过还可以，但是本人感觉舒适度不及灰色的，灰色的更软和一点
a***5,颜色分类:09 黑色;尺码:160/70C/M,2020-03-29 12:06:55,面料材质很舒服，165 108斤，孕三月，穿m码略宽松，可以穿到生
s***g,颜色分类:69 藏青色;尺码:165/76C/L,2020-03-28 23:03:50,很不错，腰上穿的很舒服
夏***r,颜色分类:09 黑色;尺码:165/76C/L,2020-03-28 17:02:12,本来是想上班穿的，后来发现衬衫没办法放里面，比较尴尬，外穿挺丑的，裤子穿着也长，还不如直接买条牛仔裤了。
h***0,颜色分类:02 浅灰色;尺码:170/82C/XL,2020-03-27 23:41:21,面料很舒服，现在穿刚刚好。可以上班穿
b***0,颜色分类:09 黑色;尺码:170/82C/XL,2020-03-27 22:42:03,质量很好的裤子，很显瘦，适合夏天，百搭
d***i,颜色分类:09 黑色;尺码:170/82C/XL,2020-03-27 21:15:20,料子很舒服，也有型
燕***7,颜色分类:02 浅灰色;尺码:160/70C/M,2020-03-27 19:35:41,第二条，浅色也不错
v***8,颜色分类:09 黑色;尺码:165/76C/L,2020-03-27 12:13:46,裤子尺码偏小 有点静电
b***e,颜色分类:69 藏青色;尺码:170/82C/XL,2020-03-26 22:55:45,非常满意，裤子是薄的，很舒服。
a***6,颜色分类:09 黑色;尺码:160/70C/M,2020-03-26 15:47:52,码数很标准，根据自己的臀围就没错，腰围是可伸缩的，穿着不掉档，布料穿着也舒服
s***6,颜色分类:69 藏青色;尺码:170/82C/XL,2020-03-26 12:38:39,穿着刚刚好，估计下次再买就要大一号了
a***8,颜色分类:69 藏青色;尺码:160/70C/M,2020-03-26 09:38:28,超级舒服，也显瘦
无***君,颜色分类:09 黑色;尺码:160/70C/M,2020-03-24 19:21:22,很舒服
卡***头,颜色分类:09 黑色;尺码:165/76C/L,2020-03-23 19:46:20,此用户没有填写评论!
s***8,颜色分类:02 浅灰色;尺码:160/70C/M,2020-03-22 19:48:36,面料不错 三个月穿有点宽松 腰往下掉
陈***人,颜色分类:09 黑色;尺码:160/70C/M,2020-03-22 18:50:41,超级无敌好穿，又加购了一条。肚子那里不勒，裤腿舒适
g***7,颜色分类:09 黑色;尺码:165/76C/L,2020-03-22 08:57:14,很好
g***7,颜色分类:02 浅灰色;尺码:165/76C/L,2020-03-22 08:57:14,160高，112斤，有点大
橙***0,颜色分类:09 黑色;尺码:160/70C/M,2020-03-21 22:33:26,很舒服的小西装裤
t***8,颜色分类:02 浅灰色;尺码:165/76C/L,2020-03-21 21:49:29,此用户没有填写评论!
秋***0,颜色分类:09 黑色;尺码:165/76C/L,2020-03-21 21:40:07,舒适 有型
t***1,颜色分类:02 浅灰色;尺码:165/76C/L,2020-03-21 18:41:27,超级舒服
谷***3,颜色分类:69 藏青色;尺码:165/76C/L,2020-03-21 14:49:36,很好
r***9,颜色分类:09 黑色;尺码:170/82C/XL,2020-03-21 12:08:18,穿起来很舒服，还很显瘦
素***人,颜色分类:09 黑色;尺码:165/76C/L,2020-03-20 10:18:47,又入了一条M码，小了，可转
绒***l,颜色分类:69 藏青色;尺码:160/70C/M,2020-03-20 09:22:39,尺寸大小：裤子很短，再大一码只宽不长，客服永远很忙，对于购物没有什么实质性建议和帮助、凑合穿吧。
t***5,颜色分类:09 黑色;尺码:170/82C/XL,2020-03-19 22:29:41,此用户没有填写评论!
t***3,颜色分类:09 黑色;尺码:170/82C/XL,2020-03-19 18:47:22,非常舒服 特别适合孕妇
芽***y,颜色分类:69 藏青色;尺码:165/76C/L,2020-03-19 17:31:12,特别好
小***膀,颜色分类:69 藏青色;尺码:160/70C/M,2020-03-19 14:27:07,好
w***1,颜色分类:69 藏青色;尺码:160/70C/M,2020-03-18 14:03:58,面料舒适，158/95斤，m号宽松舒适，给后面月份大的时候留点空间。
s***泽,颜色分类:69 藏青色;尺码:160/70C/M,2020-03-17 20:49:36,挺好的，舒服，好看
c***1,颜色分类:09 黑色;尺码:165/76C/L,2020-03-17 16:04:53,裤型好看，质量、做工也很不错。
t***2,颜色分类:09 黑色;尺码:165/76C/L,2020-03-17 15:30:04,"买这条裤子真是一波三折，刚开始不知道腰部可以调节，买了L腰部太大退了买M,结果M臀部刚好怕后期太紧又退买L🤣，160   53kg最胖的就是臀部，所以L合适，后期肚子还有很大的发挥空间！"
c***e,颜色分类:69 藏青色;尺码:155/68C/S,2020-03-17 14:48:59,别选中通，服务态度极差无比！！！
l***1,颜色分类:09 黑色;尺码:160/70C/M,2020-03-16 20:22:32,3个月，平时穿26裤子，稍大了些
h***u,颜色分类:02 浅灰色;尺码:160/70C/M,2020-03-16 16:34:39,第二次买了，挺好穿的！ ok
拐***y,颜色分类:09 黑色;尺码:160/70C/M,2020-03-15 22:21:32,孕三个月，166cm55kg穿M码臀围和腿部合适，腰部略宽松，因为这条裤子臀部没有什么松紧空间，建议按臀围选尺码，现在穿稍微薄了一点，适合五六月的天气，可能L码更合适一点，懒得换了希望到时还能穿的了，款式很适合上班族，面料很舒服
t***a,颜色分类:69 藏青色;尺码:160/70C/M,2020-03-15 21:10:33,太优秀了！准备过一段时间再来买一条
b***d,颜色分类:09 黑色;尺码:170/82C/XL,2020-03-15 20:57:48,还可以
h***3,颜色分类:69 藏青色;尺码:155/68C/S,2020-03-15 20:17:14,此用户没有填写评论!
j***s,颜色分类:09 黑色;尺码:165/76C/L,2020-03-15 18:07:20,尺寸大小：身高167，体重63公斤，孕19周，大小合适，可以调节松紧，应该可以穿到生
a***3,颜色分类:02 浅灰色;尺码:165/76C/L,2020-03-14 10:24:05,此用户没有填写评论!
茫***妖,颜色分类:02 浅灰色;尺码:155/68C/S,2020-03-13 22:38:27,布料柔软细腻 舒服 裤型好看 感觉产后还能穿 又买了条黑色L码
逆***荒,颜色分类:09 黑色;尺码:155/64B/XS,2020-03-13 21:36:53,很好    只是黑色显得有些粘毛   穿着很舒服
瓜***号,颜色分类:09 黑色;尺码:170/82C/XL,2020-03-12 12:06:05,穿着很舒服多了
t***2,颜色分类:09 黑色;尺码:160/70C/M,2020-03-12 10:53:32,165，112斤，怀孕4个月，穿上正好，肚子还有宽松，很舒适，希望能多穿一段时间
盐***可,颜色分类:09 黑色;尺码:160/70C/M,2020-03-11 09:51:06,还没有试 看着稍肥 可以放一放再穿 质感很好
超***咻,颜色分类:09 黑色;尺码:170/82C/XL,2020-03-10 19:54:06,不错
半***城,颜色分类:09 黑色;尺码:165/76C/L,2020-03-10 09:10:53,非常不错
葵***8,颜色分类:69 藏青色;尺码:170/82C/XL,2020-03-09 22:22:03,果然是神物，孕妇第一推荐！
l***丁,颜色分类:09 黑色;尺码:170/82C/XL,2020-03-09 15:06:59,不错，是正版，喜欢的朋友可以快点入手。比实体店便宜多了
燕***7,颜色分类:09 黑色;尺码:160/70C/M,2020-03-09 08:52:01,腹围92厘米，55公斤，合身略小，显腿细腿直，料子穿起来挺舒服的。想换大的又怕太大，还是收着吧
g***n,颜色分类:09 黑色;尺码:170/82C/XL,2020-03-08 20:12:44,面料很舒适，有点掉档，其他还好。
m***n,颜色分类:69 藏青色;尺码:175/88C/XXL,2020-03-08 18:51:46,当工装裤很不错，合适
鸟***香,颜色分类:09 黑色;尺码:155/68C/S,2020-03-07 12:17:14,稍微有点小
椰***朵,颜色分类:09 黑色;尺码:155/68C/S,2020-03-07 11:55:44,很棒！很合身显腿瘦
z***o,颜色分类:69 藏青色;尺码:175/88C/XXL,2020-03-06 20:21:09,给我妈买的 老人穿上舒服
q***8,颜色分类:69 藏青色;尺码:175/88C/XXL,2020-03-05 18:37:10,此用户没有填写评论!
c***1,颜色分类:69 藏青色;尺码:175/88C/XXL,2020-03-04 20:35:59,稍微有点大，但不敢换再小一号了，怕自己再胖了。161，体重136斤，孕七个月
l***a,颜色分类:09 黑色;尺码:165/76C/L,2020-03-04 19:05:48,略紧一点，很修身
墨***a,颜色分类:09 黑色;尺码:160/70C/M,2020-03-04 15:57:42,四个多月，105斤穿腿和肚子刚合适。可惜现在穿又太薄。希望过些天暖和了还能穿。
a***0,颜色分类:09 黑色;尺码:170/82C/XL,2020-02-27 23:22:32,好穿
t***9,颜色分类:09 黑色;尺码:165/76C/L,2020-02-27 21:55:30,特别好会继续回购！特别好会继续回购！特别好会继续回购！特别好会继续回购！特别好会继续回购！特别好会继续回购！特别好会继续回购！特别好会继续回购！特别好会继续回购！特别好会继续回购！
