displayUserNick,auctionSku,rateDate,rateContent
q***x,颜色:35 浅褐色;尺码:170/78A,2021-02-08 11:46:28,好评。
g***i,颜色:69 藏青色;尺码:170/82A,2020-12-20 10:07:12,第二次买，适合深秋单穿，加保暖秋裤克过冬，一如既往的满意
4***y,颜色:09黑色;尺码:165/76A,2020-12-19 22:47:30,太长了
4***y,颜色:56 橄榄色;尺码:165/76A,2020-12-19 22:47:30,太长了
网***啥,颜色:69 藏青色;尺码:170/78A,2020-12-19 13:33:28,挺好，性价比不错。
磨***面,颜色:09黑色;尺码:170/78A,2020-12-18 09:58:00,就是有点长，要处理一下
n***0,颜色:09黑色;尺码:175/88A,2020-12-17 17:15:54,最近买的都有点粘毛没以前的款式好
y***3,颜色:69 藏青色;尺码:170/82A,2020-12-15 20:59:48,东西不错
p***w,颜色:56 橄榄色;尺码:165/72A,2020-12-15 08:05:53,好 常年穿
安***2,颜色:35 浅褐色;尺码:175/88A,2020-12-14 21:34:08,完美自从今年发现优衣库这个宝藏 已经买了n件衣服 除了大小没掌握明白 其他全OK
s***e,颜色:35 浅褐色;尺码:170/82A,2020-12-13 09:41:35,此用户没有填写评论!
h***3,颜色:69 藏青色;尺码:170/78A,2020-12-12 18:35:41,此用户没有填写评论!
t***3,颜色:09黑色;尺码:170/78A,2020-12-11 14:49:39,裤子没标签不像是新的
蛋***咪,颜色:56 橄榄色;尺码:170/78A,2020-12-10 23:18:10,好
c***w,颜色:35 浅褐色;尺码:170/82A,2020-12-10 21:28:23,网上买的和实体店的袜子差别巨大，实体店的比较厚实，织的也比较密，晚上的非常削薄，优衣库也开始学套路了，被坑了&hellip;&hellip;
l***g,颜色:09黑色;尺码:175/88A,2020-12-10 11:24:53,买大了，去实体店换了合适码，质量没得说
阿***6,颜色:69 藏青色;尺码:170/82A,2020-12-09 15:17:46,此用户没有填写评论!
y***s,颜色:69 藏青色;尺码:175/88A,2020-12-06 15:19:27,最喜欢穿优衣库家的裤子了，就是今年双十一几乎没有什么优惠了
多***i,颜色:09黑色;尺码:160/70A,2020-12-03 21:29:20,身高178体重110，买的160，这款偏大太多了，在店里都没找到合适的型号，看到官网有最小号，买的慎重，建议去店里试一下
你***z,颜色:56 橄榄色;尺码:160/70A,2020-12-03 11:38:02,肥仔藏肉裤，瘦子不适合
你***z,颜色:69 藏青色;尺码:160/70A,2020-12-03 11:38:02,肥仔藏肉裤，瘦子不适合
l***m,颜色:35 浅褐色;尺码:160/70A,2020-12-03 02:03:00,此用户没有填写评论!
l***m,颜色:69 藏青色;尺码:160/70A,2020-12-03 02:03:00,此用户没有填写评论!
回***猫,颜色:09黑色;尺码:170/78A,2020-12-02 22:20:18,此用户没有填写评论!
回***猫,颜色:35 浅褐色;尺码:170/78A,2020-12-02 22:20:18,此用户没有填写评论!
y***2,颜色:69 藏青色;尺码:175/88A,2020-12-02 16:44:43,整体评价：很不错，材质很舒服。  厚薄度：还厚实的
神***面,颜色:69 藏青色;尺码:165/72A,2020-12-01 23:34:52,不错
t***2,颜色:69 藏青色;尺码:170/82A,2020-12-01 17:50:58,一直买这个款，就是要改裤角。。
l***c,颜色:09黑色;尺码:175/88A,2020-11-30 20:26:24,胖子难买裤子 挺好的
z***9,颜色:09黑色;尺码:175/88A,2020-11-30 16:01:09,服务太差，简单的事情整得太麻烦了！
z***9,颜色:69 藏青色;尺码:175/88A,2020-11-30 16:01:08,史上最差服务，没有之一，不接受反驳！裤子买大了，要换货，首先，不能自助换货，要人工审批，好，我忍了！等到傲娇的卖家同意了之后，我发了快递、给了单号，卖家说没有查到！我今天查了，卖家已经签收。目前我没收到换回来的货，订单已经自动签收了！后续会追评！
多***狼,颜色:56 橄榄色;尺码:170/82A,2020-11-30 08:43:09,线下换货很方便
q***x,颜色:69 藏青色;尺码:170/78A,2020-11-29 16:18:35,好评。
t***y,颜色:69 藏青色;尺码:160/70A,2020-11-28 22:51:54,还行 稍微长了点 已拿去店里改短了
t***y,颜色:56 橄榄色;尺码:160/70A,2020-11-28 22:51:54,给家人买的 今年双十一感觉优惠力度不大 裤子长了点 已拿去店里裁短了
陈***5,颜色:09黑色;尺码:170/82A,2020-11-28 19:02:18,就是裤脚要自己剪麻烦，还要再付10块去剪裤脚
郭***璐,颜色:09黑色;尺码:180/90B,2020-11-28 18:08:45,质量一般
荣***婷,颜色:69 藏青色;尺码:170/82A,2020-11-28 01:01:23,很好
c***8,颜色:09黑色;尺码:175/84A,2020-11-26 21:21:43,质量可以，满意。
c***i,颜色:09黑色;尺码:170/78A,2020-11-26 20:03:53,很合身，大家按腰围买大2cm就好了，裤长都一样，我186cm/67kg买的82A
黑***子,颜色:09黑色;尺码:175/88A,2020-11-26 17:34:24,买的第二条这个货号的裤子了，质量不错。
徐***7,颜色:69 藏青色;尺码:170/82A,2020-11-26 13:26:42,裤子上身好看，纯棉的有力度。
l***i,颜色:35 浅褐色;尺码:165/76A,2020-11-26 12:25:47,此用户没有填写评论!
m***5,颜色:35 浅褐色;尺码:170/78A,2020-11-25 23:26:54,裤子是回购，这是第三条了，质感不错
m***1,颜色:69 藏青色;尺码:175/88A,2020-11-25 22:22:48,整体评价：很舒服
m***3,颜色:69 藏青色;尺码:170/82A,2020-11-24 22:25:46,裤子质量一直都很好，老公就喜欢他们家的裤子
l***2,颜色:09黑色;尺码:170/82A,2020-11-24 20:56:31,不错，这个尺码，裤腿宽度挺好，但腰有点紧
l***2,颜色:09黑色;尺码:175/84A,2020-11-24 20:55:11,不错，很喜欢
l***6,颜色:56 橄榄色;尺码:180/90B,2020-11-24 14:27:30,大小合适、性价比高
欣***惜,颜色:09黑色;尺码:175/88A,2020-11-24 12:19:42,不错
楚***去,颜色:09黑色;尺码:180/90B,2020-11-23 21:37:01,这和实体店是一样式的，质量好。遇上1111，折扣大大大。ok！
楚***去,颜色:69 藏青色;尺码:180/90B,2020-11-23 21:37:01,这和实体店是一样式的，质量好。遇上1111，折扣大大大。好！
汤***花,颜色:35 浅褐色;尺码:165/76A,2020-11-23 02:18:16,质量很好 老公一直买优衣库的裤子 正好双十一有活动 就立马买了 隔天就收到了
m***i,颜色:09黑色;尺码:170/78A,2020-11-22 23:32:16,比店里划算，爸爸挺满意的
z***1,颜色:09黑色;尺码:175/88A,2020-11-22 21:47:57,还行吧 是比较松垮的直筒裤型 适合配马丁靴 尺码买大了 去店里换的 面料有点粘毛 也容易起褶
旺***贝,颜色:35 浅褐色;尺码:180/90B,2020-11-21 07:32:32,右裤兜里有个小兜，放钥匙或车钥匙很方便
t***6,颜色:69 藏青色;尺码:170/82A,2020-11-20 21:03:28,款式、布料、做工、服务，均一流
无***本,颜色:56 橄榄色;尺码:180/90B,2020-11-20 18:50:14,非常满意，感谢店家！
b***y,颜色:56 橄榄色;尺码:170/82A,2020-11-20 18:45:58,不错适合日常穿
。***k,颜色:35 浅褐色;尺码:170/82A,2020-11-20 16:57:10,东西质量还可以，快递速度也很给力非常好，宝贝很高大上，质量很好，看上去就给人一种高级感，价格也合适，这次网购很愉快，大赞👍💌终于对它下手了，颜值是真的没话说❤，材质很好，物美价廉，趁活动赶紧囤起来质量挺好，物流也很快，赞！绝对是最开心的一次购物，店家服务态度很好，售后也是
p***4,颜色:56 橄榄色;尺码:165/72A,2020-11-20 12:27:44,常穿的裤型，价格真漂亮，就是裤腿好长要去修剪
h***g,颜色:69 藏青色;尺码:165/72A,2020-11-20 11:44:59,还不错
郑***淳,颜色:09黑色;尺码:175/88A,2020-11-20 09:41:38,整体评价：太垃圾了！布料越来越差，版型越来越丑，黏毛到一个不行！
且***3,颜色:09黑色;尺码:170/82A,2020-11-19 22:31:25,发错货了，裤子发成衣服，客服效率极低，好几天了都还没解决
页***吉,颜色:69 藏青色;尺码:180/90B,2020-11-19 12:07:52,很不错，大小合适，穿着舒服
l***9,颜色:69 藏青色;尺码:170/82A,2020-11-19 10:16:27,第二条。 满意！
n***b,颜色:69 藏青色;尺码:175/88A,2020-11-18 13:21:51,还不错，给老爸买的，很合适
平***1,颜色:35 浅褐色;尺码:175/84A,2020-11-17 22:13:10,整体评价：可一颜色好 材质特性：可一 上身效果：宽松吧 厚薄度：一班 面料品质：可一，：这款这号裤腿比428910的175/88还长！
q***9,颜色:35 浅褐色;尺码:175/88A,2020-11-17 21:28:23,不错不错不错不错不错
s***6,颜色:56 橄榄色;尺码:175/88A,2020-11-17 10:29:14,大小合适，质量满意！裤型好看！！！！
z***7,颜色:69 藏青色;尺码:175/88A,2020-11-17 07:56:43,还不错，一直穿这个品牌衣服
不***头,颜色:35 浅褐色;尺码:165/76A,2020-11-16 22:01:05,一如既往好评，就是裤子长了点（是我腿短了）
y***2,颜色:35 浅褐色;尺码:175/88A,2020-11-16 20:11:58,好好好
y***2,颜色:56 橄榄色;尺码:175/88A,2020-11-16 20:11:58,好好好
y***2,颜色:69 藏青色;尺码:175/88A,2020-11-16 20:11:58,好好好
l***9,颜色:35 浅褐色;尺码:170/78A,2020-11-16 17:28:40,这裤子180的都可以穿170😂😂😂😂好长的。面料厚适合现在温度，赞一个
立***7,颜色:35 浅褐色;尺码:175/84A,2020-11-16 17:02:24,太宽了
梦***3,颜色:35 浅褐色;尺码:170/82A,2020-11-16 15:14:21,很实惠，而且版型也不错
周***4,颜色:09黑色;尺码:165/76A,2020-11-16 11:41:46,非常好，宝贝很高大上，质量很好，看上去就给人一种高级感，价格也合适，这次网购很愉快，大赞👍从没想过这么实惠的价格能买到这么好的宝贝，下次还来你家
菩***鼠,颜色:09黑色;尺码:170/82A,2020-11-16 10:05:55,比以往的版型要宽松一些
徒***8,颜色:09黑色;尺码:175/88A,2020-11-15 20:31:57,东西收到了非常的好，5分好评。
h***9,颜色:09黑色;尺码:165/72A,2020-11-15 19:24:10,不错
木***流,颜色:69 藏青色;尺码:175/84A,2020-11-15 15:50:22,老公很喜欢
d***8,颜色:56 橄榄色;尺码:175/88A,2020-11-15 15:38:27,尺码实在太大
文***m,颜色:35 浅褐色;尺码:175/88A,2020-11-15 15:33:11,给儿子买的，他就穿优衣库的衣服，别的不要。
梦***3,颜色:09黑色;尺码:170/82A,2020-11-15 14:48:49,版型很好
t***5,颜色:35 浅褐色;尺码:175/88A,2020-11-15 00:03:21,物美价廉，值得购买！尺码合适，下次再来！
4***y,颜色:69 藏青色;尺码:165/76A,2020-11-14 21:49:46,好
4***y,颜色:09黑色;尺码:165/76A,2020-11-14 21:49:46,好
w***1,颜色:09黑色;尺码:170/82A,2020-11-14 17:38:48,很好
未***怕,颜色:09黑色;尺码:170/78A,2020-11-14 11:41:40,此用户没有填写评论!
姚***超,颜色:56 橄榄色;尺码:165/72A,2020-11-13 22:37:05,给老公买的，到店里去改了裤长。
昊***婷,颜色:35 浅褐色;尺码:165/76A,2020-11-13 19:06:19,裤腿太长，稍微偏胖。身高没有185穿着会很长，需要截肢
安***0,颜色:09黑色;尺码:170/78A,2020-11-13 17:24:39,挺好
安***0,颜色:09黑色;尺码:165/76A,2020-11-13 17:24:39,挺好
小***壁,颜色:69 藏青色;尺码:175/84A,2020-11-13 15:34:21,不错
w***y,颜色:35 浅褐色;尺码:170/82A,2020-11-13 10:50:39,此用户没有填写评论!
x***2,颜色:35 浅褐色;尺码:175/88A,2020-11-13 08:15:33,好
x***2,颜色:69 藏青色;尺码:175/88A,2020-11-13 08:15:33,好
f***2,颜色:35 浅褐色;尺码:180/90B,2020-11-12 22:55:19,店里看到觉得不错，后来在网上下单了
菊***8,颜色:35 浅褐色;尺码:170/78A,2020-11-12 22:36:19,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
o***乐,颜色:69 藏青色;尺码:165/76A,2020-11-12 22:08:46,客服不给力
k***m,颜色:69 藏青色;尺码:160/70A,2020-11-12 19:42:54,好看，本来拍黑色的，结果被秒了，藏青很黑色很近，就是裤脚太长要改
k***m,颜色:35 浅褐色;尺码:160/70A,2020-11-12 19:42:54,深米色 冬天穿很赞 裤脚太长要改
t***6,颜色:69 藏青色;尺码:175/88A,2020-11-12 19:32:25,好
文***儿,颜色:35 浅褐色;尺码:175/88A,2020-11-12 12:39:32,挺好挺好
深***岭,颜色:56 橄榄色;尺码:170/82A,2020-11-11 22:02:33,🆒是正品，跟商店里买的是一样的，在这网购方便快捷，品质放心，还会光顾！.^◡^.
b***球,颜色:69 藏青色;尺码:170/82A,2020-11-11 08:25:25,合身，面料也还行，有点略长
普***8,颜色:09黑色;尺码:175/88A,2020-11-10 20:57:59,一如既往的好
这***懂,颜色:09黑色;尺码:170/82A,2020-11-10 14:38:33,整体评价：整体偏长，去线下修了裤长之后就很适合
小***4,颜色:09黑色;尺码:175/88A,2020-11-10 14:02:16,老公一直穿的都是这款，非常好
k***z,颜色:35 浅褐色;尺码:175/84A,2020-11-10 12:38:25,多次购买该款产品，也在实体店买过，各方面都满意！
t***7,颜色:56 橄榄色;尺码:175/84A,2020-11-10 10:58:02,挺好的，再次购买
l***z,颜色:09黑色;尺码:170/82A,2020-11-10 09:30:25,一直很喜欢优衣库的宝贝，就是这物流，真的很差很差。非常慢，
b***s,颜色:69 藏青色;尺码:170/82A,2020-11-10 06:36:00,肥版的直筒裤，很舒服，不足的是裤腿长了点需要找裁缝修一下边
q***m,颜色:69 藏青色;尺码:175/84A,2020-11-09 08:24:12,买很多次了，万年经典款。
一***七,颜色:35 浅褐色;尺码:170/82A,2020-11-08 11:06:15,同网尺寸，其他颜色断几厘米&hellip;&hellip;
d***o,颜色:56 橄榄色;尺码:165/72A,2020-11-07 20:47:58,衣服是帮同事买的，质量是否合适我不评论，但是优衣库的服务超级差，优衣库是没有专门的售后处理退款的吗，等到系统退款时间到才能收到退款，找客服敷衍回答就只能等着吧，而且优衣库的客服能不能自动回复设置的带点脑子，我找你们时已读不回，我不找你们了开始疯狂给我发消息，没用的消息发一大堆我真的是要投诉你们骚扰人了，找你们要紧的事情拖着永远拖着，我以前在你们家买过一次有过这种体验之后我是不会再在你们家买的，要不是这次要帮同事买，我个人如果要买东西是绝对不会再来你们家的，就下面这些截图里还有人撤回的呢，有精力发这些推广，麻烦安排点人手去处理处理退款吧
q***9,颜色:69 藏青色;尺码:175/88A,2020-11-06 22:46:04,不错，一直穿优衣库的裤子和衬衫
微***岚,颜色:09黑色;尺码:170/78A,2020-11-06 20:43:58,在网上买大了可以直接去门店退换，十分方便，好评！
t***3,颜色:09黑色;尺码:160/70A,2020-11-06 16:45:00,此用户没有填写评论!
我***东,颜色:09黑色;尺码:175/84A,2020-11-06 07:16:21,从b站一个模特推荐来的，裤子做工和质感非常好，我裸高186，145斤，穿175的/84A的，卷下裤脚正正好好，版型非常nice
h***2,颜色:69 藏青色;尺码:175/88A,2020-11-05 21:14:59,还可以！
w***i,颜色:09黑色;尺码:175/84A,2020-11-05 19:06:14,还不错
f***2,颜色:56 橄榄色;尺码:170/78A,2020-11-05 17:44:43,非常喜欢，快递巨快
s***a,颜色:69 藏青色;尺码:170/82A,2020-11-05 16:32:06,裤子很合身，自行找师傅裁剪裤腿即可～
c***8,颜色:09黑色;尺码:180/90B,2020-11-05 08:53:34,好！
薛***9,颜色:09黑色;尺码:175/88A,2020-11-04 20:59:01,还可以，老优衣库了。
小***丶,颜色:09黑色;尺码:170/82A,2020-11-04 00:13:00,整体评价：性价比不错 材质特性：全棉 上身效果：百搭 尺码推荐：180 140 82正好 厚薄度：适中
络***联,颜色:09黑色;尺码:165/76A,2020-11-03 23:05:13,裤子有点长
和***老,颜色:56 橄榄色;尺码:180/90B,2020-11-02 17:49:10,质量可以，非常合适
b***1,颜色:09黑色;尺码:180/90B,2020-11-01 15:32:20,比较愉快的第一次优衣库购物体验
颜***g,颜色:56 橄榄色;尺码:170/78A,2020-10-29 03:28:59,挺好的，店里试过才买的，不过店家有改裤脚服务更好
1***b,颜色:35 浅褐色;尺码:175/88A,2020-10-28 19:14:02,拍了后降价50
c***o,颜色:31 米色;尺码:170/78A,2020-10-27 11:01:12,优衣库的衣服穿着很舒服，这件裤子以前买过一条，现在已经穿到没法继续穿了，所以又买了一条类似的，之后应该还会再买一条
k***5,颜色:31 米色;尺码:170/78A,2020-10-25 10:49:57,很好
梦***c,颜色:69 藏青色;尺码:180/90B,2020-10-23 14:48:24,很好
t***3,颜色:31 米色;尺码:175/88A,2020-10-18 23:55:40,优衣库的衣服穿着很舒服，这件裤子以前买过一条，现在已经穿到没法继续穿了，所以又买了一条类似的，之后应该还会再买一条
此***真,颜色:09黑色;尺码:165/76A,2020-10-16 07:49:32,好
l***y,颜色:31 米色;尺码:180/94B,2020-10-15 20:22:02,差，就这一个字
毛***椒,颜色:69 藏青色;尺码:160/70A,2020-10-15 11:13:30,宽松舒适
c***t,颜色:35 浅褐色;尺码:170/78A,2020-10-15 08:40:17,太大太长准备换货了
唐***3,颜色:31 米色;尺码:170/78A,2020-10-14 15:14:02,很合身
t***5,颜色:69 藏青色;尺码:175/88A,2020-10-13 21:31:45,裤脚有点长其他都不错
t***u,颜色:31 米色;尺码:160/70A,2020-10-12 16:18:30,裤子很不错，终于买到合适的码了。
大***面,颜色:56 橄榄色;尺码:170/78A,2020-10-11 13:59:07,不错
t***u,颜色:31 米色;尺码:170/78A,2020-10-10 12:34:07,太大了，不过已经换了
u***7,颜色:31 米色;尺码:165/76A,2020-10-10 08:43:40,不错
b***胡,颜色:35 浅褐色;尺码:170/82A,2020-10-09 12:54:23,尺码不准，偏大，偏长
我***了,颜色:09黑色;尺码:170/82A,2020-10-09 08:59:32,更换方便，态度温馨
k***浅,颜色:56 橄榄色;尺码:160/70A,2020-10-08 19:54:25,满意。
土***然,颜色:31 米色;尺码:165/72A,2020-10-08 17:20:19,挺好的，版型可正
t***7,颜色:09黑色;尺码:160/70A,2020-10-06 20:44:44,挺好的
辕***语,颜色:56 橄榄色;尺码:165/76A,2020-10-06 19:48:25,版型很棒
张***书,颜色:35 浅褐色;尺码:180/90B,2020-10-04 17:15:28,不错的好裤子。略贵，但物有所值。
t***2,颜色:09黑色;尺码:165/76A,2020-10-04 15:50:41,面料品质：面料好 其它的话就是肥了点
随***9,颜色:31 米色;尺码:160/70A,2020-10-03 06:07:08,此用户没有填写评论!
席***4,颜色:09黑色;尺码:165/76A,2020-09-30 22:18:38,不错
q***5,颜色:31 米色;尺码:165/76A,2020-09-29 23:42:59,敬告各位，这裤子要去改裤脚，且裤管有点偏大。 质量质感确实是不错的。刚到货差点怀疑人生、寻思着165的腿长门槛啥时候那么高了？
a***豆,颜色:31 米色;尺码:165/72A,2020-09-27 21:12:46,很好
齐***1,颜色:56 橄榄色;尺码:180/90B,2020-09-27 11:02:50,收到 不错 加油
w***3,颜色:31 米色;尺码:175/88A,2020-09-26 14:57:34,地方小 没有优衣库店铺 因为尺**原因来来回回退了好多次货 实在不好意思  裤子是偏宽松偏长的
柳***j,颜色:31 米色;尺码:170/78A,2020-09-24 23:46:11,还行
z***6,颜色:09黑色;尺码:170/78A,2020-09-23 07:30:56,版型可以，秋冬厚度，长度需要自己去裁剪，面料质量如何要穿段时间，水洗后看
z***6,颜色:69 藏青色;尺码:170/78A,2020-09-23 07:30:56,版型可以，厚度秋冬季，长度需要自己去裁剪，面料质量就要穿段时间水洗看看了
东***生,颜色:09黑色;尺码:165/76A,2020-09-21 16:41:40,有点长
l***8,颜色:69 藏青色;尺码:175/88A,2020-09-21 10:43:16,裤子合身，就是印尼人腿有点长，不是大长腿驾驭不了
不***d,颜色:09黑色;尺码:165/76A,2020-09-21 09:50:21,好，很好，很有精神
虚***秋,颜色:31 米色;尺码:160/70A,2020-09-16 11:16:51,*** 这裤子**？我买的160a的裤子给我190身高的战友穿正好 换了两回还是一个** nmsl 我不换了 我还得自己掏钱去给裤子腿裁了 我要国庆之前穿 来不及和你们折腾
江***i,颜色:56 橄榄色;尺码:165/76A,2020-09-16 08:56:38,好评，给我稍微大了点，72a就够了
j***线,颜色:69 藏青色;尺码:170/82A,2020-09-13 17:41:58,正好合适，略长要改下裤脚，夏天穿有点厚，秋天正好
亿***呵,颜色:69 藏青色;尺码:160/70A,2020-09-08 19:50:01,此用户没有填写评论!
关***成,颜色:69 藏青色;尺码:165/72A,2020-09-08 16:19:36,非常合适。。。
l***1,颜色:56 橄榄色;尺码:175/84A,2020-09-05 08:58:51,裤子过于长，需要改短一下
z***8,颜色:31 米色;尺码:165/76A,2020-08-31 13:53:07,码比海澜之家要大。
姚***茶,颜色:56 橄榄色;尺码:160/70A,2020-08-31 07:59:43,此用户没有填写评论!
姚***茶,颜色:09黑色;尺码:160/70A,2020-08-31 07:59:42,材质特性：硬，容易粘毛 厚薄度：厚
b***n,颜色:09黑色;尺码:170/78A,2020-08-30 21:53:50,客服态度极其差，傲慢和无视客户需求，每次发货的面料都不一样，做工好坏层次不齐，只穿了三天然后洗了一次，收衣服准备整理好进箱子，就发现了这个，这个部位是屁股那里，就这质量，我是服气的。
水***晴,颜色:69 藏青色;尺码:180/90B,2020-08-26 18:20:12,以前买过，质量，舒适度都不错。现在活动价格还便宜一些，收到满意。
水***晴,颜色:56 橄榄色;尺码:180/90B,2020-08-26 18:20:12,以前买过，质量，舒适度都不错。现在活动价格还便宜一些，收到满意。
水***晴,颜色:35 浅褐色;尺码:180/90B,2020-08-26 18:20:11,以前买过，质量，舒适度都不错。现在活动价格还便宜一些，收到满意。
