displayUserNick,auctionSku,rateDate,rateContent
秋***歌,颜色分类:68 深蓝色;尺寸:165/78A/XL,2021-02-26 21:44:51,好评
心***哦,颜色分类:64 湖蓝色;尺寸:155/62A/S,2020-12-30 15:59:25,129入手，超级舒服好穿，颜色也好看
我***8,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-29 21:21:53,可以
小***8,颜色分类:64 湖蓝色;尺寸:170/82A/XXL,2020-12-29 21:05:08,比较薄 弹性大
杨***祁,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-29 17:33:11,一如既往的好
s***6,颜色分类:68 深蓝色;尺寸:170/82A/XXL,2020-12-29 16:07:00,裤子是薄款，弹性很大！
阿***皮,颜色分类:68 深蓝色;尺寸:170/82A/XXL,2020-12-29 14:32:52,褪色褪得疯狂qvq
伊***恩,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-12-29 13:18:11,没看到实物，应该是可以的
l***9,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-29 09:14:17,面料柔软 有点薄
a***u,颜色分类:64 湖蓝色;尺寸:155/62A/S,2020-12-28 20:18:09,裤子质感非常好
无***c,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-28 13:49:53,一般
阿***比,颜色分类:64 湖蓝色;尺寸:165/78A/XL,2020-12-28 13:40:12,裤子很好看，特别软特别弹，穿着很好看，显瘦也修饰腿型，就是掉色😭衣服都蓝了
p***z,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-28 12:35:56,不错 女朋友很喜欢
w***6,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-28 12:24:32,面料舒服
z***e,颜色分类:64 湖蓝色;尺寸:165/78A/XL,2020-12-28 00:20:50,我超爱，很显瘦。
实***呀,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-12-27 19:44:33,弹性超级好！穿着劈叉都不会撕开的那种！
罗***c,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-27 15:16:55,164/56穿刚好，很有弹性，不是带拉链的那种
宏***宝,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-27 00:05:52,一如既往地舒适
j***6,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-12-26 07:42:00,很舒服
l***0,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-12-25 20:07:25,现在裤子全短，只有U家的裤子就是够长，还很舒服。
p***t,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-12-25 18:47:30,相见恨晚，小胖子一枚，真的好穿。
z***8,颜色分类:64 湖蓝色;尺寸:155/62A/S,2020-12-25 14:27:49,质量是好的，弹性也很大，就是这季节穿太薄了，适合春秋穿
泥***家,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-25 14:12:34,这条皮筋裤穿着真的很舒服！虽然薄但是10度的天能hold住！没屁股没胯星人表示很满意
星***2,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-25 13:00:12,好穿(✪▽✪)
青***2,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-12-25 11:59:12,很不错
月***篮,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-24 19:48:11,很舒适，一如既往大爱这类裤子
x***1,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-24 12:50:29,弹性很好，褪色极其严重
d***2,颜色分类:64 湖蓝色;尺寸:165/78A/XL,2020-12-24 10:26:38,挺好的，和想象中一样，随意搭都很好看，满意！
s***6,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-24 09:08:42,没去门店看过，到手才发现这条不是真正的牛仔裤，是做成牛仔裤外观的弹力裤，扣子和口袋都是假的。很方便穿脱，也很方便带出门。薄款，这会儿19度，穿着很舒服，甚至有点热。弹力大，80的腰围L码合适，无压迫感，上身就是通常紧身裤的样子，包得很好，有点偏打底裤一点，更适合穿在长款衣服或外套下打底。颜色不错。
s***9,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-12-24 07:32:27,很好很好很好哈哈哈，非常非常非常非常非常不错！
王***2,颜色分类:64 湖蓝色;尺寸:170/82A/XXL,2020-12-23 23:18:07,整体评价：偏薄
本***姓,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-23 21:08:18,真的i了，不勒弹性大，走线工整，面料柔软
l***3,颜色分类:64 湖蓝色;尺寸:165/78A/XL,2020-12-23 20:17:15,好
x***3,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-12-23 17:01:14,很好
a***l,颜色分类:68 深蓝色;尺寸:155/58A/XS,2020-12-23 13:25:18,弹力大，就是薄了点
l***8,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-12-23 11:37:08,上身效果很好，厚度适中，很有弹力。在实体店买过另一个色，现在再入手一条。因为舒适，深色唯一就是脱色
宝***一,颜色分类:68 深蓝色;尺寸:170/82A/XXL,2020-12-23 11:18:05,纯棉好穿
天***0,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-23 11:06:04,喜欢。
四***鱼,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-12-23 09:58:54,比较薄，很软，弹力大
妮***o,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-23 08:37:47,很舒服，有机会上图
天***8,颜色分类:64 湖蓝色;尺寸:155/62A/S,2020-12-22 19:07:07,挺好的，合身舒服
娇***钱,颜色分类:68 深蓝色;尺寸:170/82A/XXL,2020-12-22 17:37:14,优衣库从没让我失望过，舒适，舒适，舒适，合身
t***9,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-22 17:11:01,面料柔软，偏薄，适合打底穿，形正，非常好
x***白,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-12-22 17:09:00,超赞
x***白,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-22 17:09:00,超赞
源***园,颜色分类:64 湖蓝色;尺寸:170/82A/XXL,2020-12-22 16:14:17,超级好的裤子，在店里试过，现在做活动一下拍了两条，听说优衣库质量很好可以穿很多年
f***9,颜色分类:64 湖蓝色;尺寸:165/78A/XL,2020-12-22 14:01:18,此用户没有填写评论!
j***9,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-22 13:05:45,这几天穿稍微厚点薄，其他还不错。
换***2,颜色分类:64 湖蓝色;尺寸:155/62A/S,2020-12-22 12:54:46,好
可***8,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-22 08:25:43,老妈说合身
小***哟,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-12-21 20:25:06,还可以
心***海,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-21 20:07:45,实体没有这个号，导购帮我在网上买的，非常喜欢💕，以后会在来
q***0,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-21 14:32:24,弹力巨大，穿着很舒服。
y***号,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-21 13:52:34,弹性大，柔软轻薄 没有拉链，弹力腰 略微掉色，有轻微异味
g***y,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-12-21 13:31:43,好评
清***8,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-21 09:48:52,好穿，真的好穿 面料很软，比较有弹性，很薄，冬天在里面穿条厚棉裤完全可以，舒适度很好
z***3,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-21 01:49:31,非常舒服
w***4,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-12-20 22:31:12,可以吧
x***白,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-20 08:16:15,超赞
h***8,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-19 17:44:25,惊艳！配上+j合作的羽绒服和长靴！爱了爱了！
柴***m,颜色分类:64 湖蓝色;尺寸:165/78A/XL,2020-12-19 15:36:30,非常舒服，胖子爱了
矜***张,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-12-19 14:34:40,买大一号就好了，弹性很大！
豆***9,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-19 10:58:56,👌
t***1,颜色分类:64 湖蓝色;尺寸:165/78A/XL,2020-12-18 21:10:46,弹性很大，颜色很喜欢。就是太薄了。冬天穿不了。等春天穿
那***猫,颜色分类:64 湖蓝色;尺寸:165/78A/XL,2020-12-17 21:49:39,好
吕***9,颜色分类:64 湖蓝色;尺寸:155/62A/S,2020-12-15 18:54:50,好看，百搭，颜色就是有点淡了
还***啊,颜色分类:64 湖蓝色;尺寸:155/58A/XS,2020-12-15 18:22:04,还行吧(ﾉ_ _)ﾉ前面没有拉链，裤子弹性很大，习惯性好评
z***9,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-15 17:53:41,很好
留***式,颜色分类:64 湖蓝色;尺寸:170/82A/XXL,2020-12-14 23:46:01,很好不错
鬼***伶,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-12-14 23:30:38,第N条，之前穿松了褪色了，就再来买一条，对胖子太友好了，面料感觉改进了，更舒服了
莹***醒,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-14 21:32:20,很好 就是买了一条199的。看到有活动再买一条
r***蝎,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-14 17:03:18,当靴裤穿，非常不错～
l***r,颜色分类:68 深蓝色;尺寸:170/82A/XXL,2020-12-14 15:59:03,是正品，和实体店一样，价格还优惠，果断转粉
l***r,颜色分类:64 湖蓝色;尺寸:170/82A/XXL,2020-12-14 15:59:03,宝贝收到了，很惊喜，质量非常好，很满意的一次购物。我会继续回购的，店家值得信赖
f***4,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-14 11:12:09,很薄，但是料子比较舒服，适合天气不冷的地方穿
t***1,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-12-13 17:44:21,舒服
大***g,颜色分类:64 湖蓝色;尺寸:170/82A/XXL,2020-12-13 16:46:00,很可以
村***牛,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-13 14:56:36,此用户没有填写评论!
匡***5,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-13 11:23:13,实体店买过一条，觉得很好穿，又来买一条不同色系的。这条裤子柔软，弹力大，冬天套靴子很方便。
h***e,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-12-13 10:50:24,弹性很好 很不戳
t***0,颜色分类:68 深蓝色;尺寸:155/58A/XS,2020-12-13 07:35:42,腿粗不能买，会显腿粗
奕***i,颜色分类:64 湖蓝色;尺寸:165/78A/XL,2020-12-12 21:56:32,优衣库的东西都非常喜欢，很舒服
r***7,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-12-12 20:07:15,腰围刚刚好，适合夏天穿，弹性大
蝴***拉,颜色分类:65 宝蓝色;尺寸:160/66A/M,2020-12-12 18:38:15,此用户没有填写评论!
蝴***拉,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-12 18:38:15,此用户没有填写评论!
t***6,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-12-12 16:50:56,此用户没有填写评论!
我***g,颜色分类:64 湖蓝色;尺寸:165/78A/XL,2020-12-12 12:29:33,冬天穿是有点薄了，但是颜色好看
水***丹,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-12 10:30:36,很舒服
w***2,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-12 10:18:05,挺好的
z***1,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-12-12 09:04:37,好评
h***g,颜色分类:68 深蓝色;尺寸:170/82A/XXL,2020-12-11 19:30:56,这条裤子太值得买了.首先保暖性很高，摸上去非常的紧实，十二月初的上海就穿这一条裤子也不觉得冷。然后这裤子包容性很高。弹性超级大，回弹也不错，对胖子很友好。穿起来一点不勒，活动的开。就是会掉色，刚买来洗几遍再穿吧。
d***怡,颜色分类:65 宝蓝色;尺寸:155/62A/S,2020-12-11 19:24:58,双十一买的，买了不到一个月，又降价了。当时还有保价，保价了客服也说不给赔，让找天猫助理&hellip;来回踢皮球。
m***7,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-12-11 13:12:56,就是掉色严重，估计穿了还会把内裤或浅色上衣染色！
香***飞,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-11 11:53:51,一直信赖
宝***9,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-11 10:11:05,此用户没有填写评论!
动***3,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-10 23:50:46,好高兴啊啊啊啊啊啊啊
瓶***儿,颜色分类:64 湖蓝色;尺寸:155/62A/S,2020-12-10 23:16:22,165 45kg，买了62A，可套棉裤穿，单穿有点点宽松。
c***5,颜色分类:64 湖蓝色;尺寸:165/78A/XL,2020-12-10 20:24:57,一直就在他家买，好穿
李***2,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-10 18:15:00,裤子很舒服
n***x,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-12-10 09:58:59,湖蓝色真好好看，深蓝色太难看了，好老气╮(╯▽╰)╭
n***x,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-10 09:58:59,湖蓝色真好好看，深蓝色太难看了，好老气╮(╯▽╰)╭
r***i,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-12-10 09:58:03,深蓝色褪色严重，建议不要买，指甲里都是蓝色的。
w***4,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-09 21:14:25,160.92斤，这个码正好，可以套秋裤。买了两条本来想留一条，太合适舒服了，都要了
w***4,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-12-09 21:13:57,160.92斤，这个码正好，可以套秋裤。买了两条本来想留一条，太合适舒服了，都要了
a***w,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-09 20:09:06,妈妈很满意
范***研,颜色分类:68 深蓝色;尺寸:155/62A/S,2020-12-09 10:31:37,裤子买的码有点小，弹力挺大的，所以就不换了。
k***鹅,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-12-08 22:16:52,此用户没有填写评论!
架***瓷,颜色分类:65 宝蓝色;尺寸:170/82A/XXL,2020-12-08 21:35:31,优衣库每年不知买多少。
架***瓷,颜色分类:68 深蓝色;尺寸:170/82A/XXL,2020-12-08 21:35:31,舒服。
架***瓷,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-12-08 21:35:31,好
希***忆,颜色分类:68 深蓝色;尺寸:170/82A/XXL,2020-12-08 19:16:57,穿着很舒服，很有弹性动起来很方便
z***3,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-08 18:50:27,今年最最最喜欢的裤子
x***2,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-12-08 18:45:41,超有弹性，筷子腿，很满意。
矛***己,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-08 07:31:59,巨好穿
矛***己,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-12-08 07:31:59,巨好穿
滨***安,颜色分类:68 深蓝色;尺寸:155/62A/S,2020-12-07 20:24:52,会褪色
5***e,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-07 20:15:13,店大欺客！说好购满500元送靠枕，结果付完款系统分成二个单就不送了，问客服也不回话！牛仔裤洗了一次就变成抹布了！
y***2,颜色分类:68 深蓝色;尺寸:170/82A/XXL,2020-12-07 13:45:50,此用户没有填写评论!
c***宁,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-12-07 09:06:01,好
s***9,颜色分类:64 湖蓝色;尺寸:170/82A/XXL,2020-12-06 19:29:45,质量特别好，性价比很高，发货速度也很快，总体来说我非常满意！店家态度也很nice哦，已经推荐给朋友了~
9***金,颜色分类:64 湖蓝色;尺寸:155/62A/S,2020-12-06 12:21:08,喜欢
t***8,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-12-06 10:22:53,总体来说还不错吧
人***w,颜色分类:64 湖蓝色;尺寸:165/78A/XL,2020-12-05 23:20:19,裤子弹性很棒，中间物流出了一些问题，客服也帮我解决了，有机会会再回购一条
韩***青,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-05 22:15:35,很满意的一次购物，商家服务好，发货神速，物流也很给力，宝贝收到后非常喜欢，买得放心，用得安心趁着活动入手划算，发货快，包装得好，非常不错，全新体验，赞赞赞！很好，物流很快，东西很给力，性价比很高！
x***2,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-12-05 18:25:16,比实体店便宜不少，尺寸合适，价格实惠。但总感觉没有实体店质量好，容易起球。
l***5,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-05 13:24:17,优衣库这款真的超级好穿，合体但是又不紧绷
y***9,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-12-05 12:59:41,弹性很大，很不错
m***8,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-05 12:18:45,满意
杨***银,颜色分类:64 湖蓝色;尺寸:155/62A/S,2020-12-05 10:39:35,满意
l***s,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-12-05 08:14:20,裤子大小合适，弹力很大，是薄款，适合夏季穿。
s***o,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-04 23:10:06,好看舒服美丽
老***z,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-04 23:07:12,质量很好
上***6,颜色分类:68 深蓝色;尺寸:155/62A/S,2020-12-04 20:36:57,真的是物美价廉
我***堡,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-12-04 19:07:45,一般般好紧 不适合梨型身材
2***i,颜色分类:68 深蓝色;尺寸:155/62A/S,2020-12-04 16:30:54,"裤子好看,就是深蓝色比黑色偏小一码！"
缘***飘,颜色分类:68 深蓝色;尺寸:170/82A/XXL,2020-12-04 11:50:33,买了无数条u家的高弹牛仔裤了。胖子的福音。不过这个深蓝色竟然掉色。弄了我一手蓝呼呼的。。一定要洗一洗再穿。把浮色洗掉。
c***l,颜色分类:64 湖蓝色;尺寸:155/62A/S,2020-12-04 10:53:30,很好看呦，也很舒服，我身高161体重46，里面还穿了加薄绒的打底裤，很显瘦
