displayUserNick,auctionSku,rateDate,rateContent
h***t,颜色分类:10 水粉色;尺寸:160/66A/M,2021-02-27 17:12:27,挺好的
t***8,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-25 15:28:53,很舒服
x***1,颜色分类:08 深灰色;尺寸:165/78A/XL,2021-02-25 15:17:55,好
x***1,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-25 15:17:55,好
t***1,颜色分类:09 黑色;尺寸:170/82A/XXL,2021-02-25 13:53:32,总体来说很修饰腿型 很不错 适合梨形身材
x***n,颜色分类:53 草绿色;尺寸:175/88B/XXXL,2021-02-25 12:51:56,面料舒服
翔***高,颜色分类:10 水粉色;尺寸:160/66A/M,2021-02-25 11:11:30,还可以
t***6,颜色分类:09 黑色;尺寸:155/58A/XS,2021-02-25 10:14:06,太喜欢啦，还要在回购一条，我158  100斤，梨型身材，xs 刚刚好显瘦一绝
据***3,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-25 10:00:31,脏，有很多白印，卖家也不给解决
j***c,颜色分类:10 水粉色;尺寸:165/78A/XL,2021-02-25 09:48:08,很好
亿***莉,颜色分类:30 浅米色;尺寸:160/66A/M,2021-02-25 09:02:20,裤型非常好，面料滑滑的有质感，至于是否起球待我穿几天再评价
n***g,颜色分类:10 水粉色;尺寸:170/82A/XXL,2021-02-25 08:19:46,很好穿的裤子，完美修饰腿型，显得腿很修长。针织面料，舒服柔软，不易起皱，黑色百搭，粉色优雅，不愧为优家神裤系列之一。
n***g,颜色分类:09 黑色;尺寸:170/82A/XXL,2021-02-25 08:17:28,很好穿的裤子，完美修饰腿型，显得腿很修长。针织面料，舒服柔软，不易起皱，黑色百搭，粉色优雅，不愧为优家神裤系列之一。
t***0,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-24 23:58:58,版型一般般 略显腿粗 但是胜在舒服 当家居服也不错 尤其是腰围 对于我这种水桶腰来说简直是福音 穿上去毫无束缚感 等降价再买一条其他颜色
c***6,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-24 23:54:56,超级好穿
李***琦,颜色分类:09 黑色;尺寸:155/58A/XS,2021-02-24 22:46:44,强烈推荐
c***1,颜色分类:30 浅米色;尺寸:160/66A/M,2021-02-24 22:37:15,非常喜欢
田***瘩,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-24 21:06:52,164.120穿m，很合适。工作裤妥妥的。
六***1,颜色分类:30 浅米色;尺寸:155/58A/XS,2021-02-24 20:37:30,还不错
s***4,颜色分类:10 水粉色;尺寸:160/70A/L,2021-02-24 20:12:04,特别舒服的针织面料
小***3,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-24 20:03:48,裤子穿起来很舒服，厚度适中，
一***珍,颜色分类:09 黑色;尺寸:155/58A/XS,2021-02-24 18:42:18,喜欢，好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评
紫***0,颜色分类:53 草绿色;尺寸:160/66A/M,2021-02-24 18:06:18,物流快，质量好.价格优
小***2,颜色分类:30 浅米色;尺寸:160/66A/M,2021-02-24 13:39:35,一般般，有点显胖，不知道洗了会不会变形
婕***6,颜色分类:30 浅米色;尺寸:160/70A/L,2021-02-24 09:06:08,面料舒服，买了两条不同颜色
吉***6,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-23 23:21:55,裤子穿着很舒服，160、60公斤梨形身材。穿Ｌ码臀部刚好，腰松了一丁点。挺显瘦的。
杨***7,颜色分类:08 深灰色;尺寸:155/58A/XS,2021-02-23 21:04:12,裤子显腿长，小个子也能穿的，155穿到脚踝那，就是藏不住小肚子哈
r***4,颜色分类:08 深灰色;尺寸:160/66A/M,2021-02-23 19:17:22,垂顺 修饰肉肉
葫***主,颜色分类:30 浅米色;尺寸:165/78A/XL,2021-02-23 19:12:17,穿一会就脏了。
t***1,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-23 18:22:56,挺好的
苹***3,颜色分类:09 黑色;尺寸:155/58A/XS,2021-02-23 17:13:07,感觉不是很好看，怎么搭配啊&hellip;&hellip;
只***8,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-23 16:42:31,很好
只***8,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-23 16:41:54,很舒服，回购款
l***5,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-23 13:19:19,合适
小***铛,颜色分类:53 草绿色;尺寸:175/88B/XXXL,2021-02-23 13:14:34,舒适！
小***铛,颜色分类:08 深灰色;尺寸:175/88B/XXXL,2021-02-23 13:14:34,舒适！
伍***k,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-23 12:04:47,好！
r***y,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-23 09:40:36,面料不厚，质量优良，中规中矩，适合春夏。
m***0,颜色分类:10 水粉色;尺寸:160/66A/M,2021-02-22 22:15:14,166 58穿M正好，给大家参考
可***森,颜色分类:30 浅米色;尺寸:160/66A/M,2021-02-22 21:45:42,整体评价：优衣库的裤子真的是神裤啦！！ 面料材质：柔软的针织面料，我的腿还是有点粗，穿浅色的居然也不会太显粗～ 版型风格：可休闲可正式吧，照着模特搭配衬衫是比较正式的感觉，还可以搭配休闲的卫衣毛衣也都好看～ 原价199，我是129入的，不知道会不会再继续降价，反正买个开心啦哈哈哈😄
a***1,颜色分类:30 浅米色;尺寸:160/70A/L,2021-02-22 19:51:01,裤子很舒适，穿上飒飒的，就是可能易起球
l***z,颜色分类:09 黑色;尺寸:155/58A/XS,2021-02-22 18:31:10,好
傻***8,颜色分类:30 浅米色;尺寸:155/62A/S,2021-02-22 18:00:39,裤子很好看
t***4,颜色分类:08 深灰色;尺寸:155/58A/XS,2021-02-22 17:48:15,简直了，质感太好了，款示太好了！好喜欢这种有中线的裤子，有型有范
s***l,颜色分类:08 深灰色;尺寸:170/82A/XXL,2021-02-22 17:27:55,不错，喜欢，有点买大了，不过改一改腰就可以了，赞👍
g***8,颜色分类:09 黑色;尺寸:155/58A/XS,2021-02-22 16:10:19,好看好穿，买来就降价
z***i,颜色分类:30 浅米色;尺寸:155/62A/S,2021-02-22 10:12:22,裤子收到了，很好。之前在实体店买了一条黑色的，M码，感觉腰有点儿宽，这次买的S的，腰正好，但臀围有点儿紧。给之后要下手的美女一个参考。身高163，体重51，穿M和S都可。
l***1,颜色分类:30 浅米色;尺寸:155/62A/S,2021-02-22 10:07:26,配大衣 🉑 好舒服啊 买个米白色之后还下单了黑色 我的身高体重：162 115 平时M 这个S 我感觉优衣库的裤子尺码偏大 这个S刚好 长度 然后还有宽 都🉑 版型风格：百搭 面料材质：不知道会不会起球 反正穿着舒服 穿一季也行
张***2,颜色分类:09 黑色;尺寸:170/82A/XXL,2021-02-22 09:42:46,买大了，版型直筒，垂感好
原***浆,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-22 09:06:59,155小个子穿正好，膝盖不鼓包
n***静,颜色分类:53 草绿色;尺寸:155/58A/XS,2021-02-21 20:59:43,漂亮，舒服，显瘦
天***舞,颜色分类:09 黑色;尺寸:170/82A/XXL,2021-02-21 18:46:45,给妈妈买的，很满意，又下单了灰色
a***a,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-21 18:23:48,160  ，55kg。材质很不错，M码还算合适，比较显肚子和胯，减肥提上日程，唉
风***1,颜色分类:10 水粉色;尺寸:160/70A/L,2021-02-21 15:50:52,休闲，舒适。
s***1,颜色分类:30 浅米色;尺寸:160/66A/M,2021-02-21 12:23:04,好
爽***n,颜色分类:08 深灰色;尺寸:160/66A/M,2021-02-21 11:53:53,很好看
爽***n,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-21 11:53:53,很好看
春***娘,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-21 09:43:18,简单大方的设计，适合通勤，非常满意。
l***s,颜色分类:53 草绿色;尺寸:155/58A/XS,2021-02-21 09:13:20,刚收到货，就发现又降了二十块钱，哎又损失了三十块钱。但又懒得退了。就这样吧
春***娘,颜色分类:53 草绿色;尺寸:160/66A/M,2021-02-20 20:43:49,跟着模特照片，配了一身，有初夏的感觉，清爽好看
美***1,颜色分类:09 黑色;尺寸:155/58A/XS,2021-02-20 15:43:15,店里没有xs，这里买的很合身，还便宜了
k***x,颜色分类:10 水粉色;尺寸:155/62A/S,2021-02-20 11:47:10,很好
方***6,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-19 15:00:16,太好看了
优***e,颜色分类:09 黑色;尺寸:175/88B/XXXL,2021-02-19 14:14:02,整体评价：穿着好舒服
k***c,颜色分类:09 黑色;尺寸:155/58A/XS,2021-02-19 07:23:33,很赞，在实体店试了，没有加小吗，这个正合适，垂感很好。很舒服！
m***7,颜色分类:09 黑色;尺寸:175/88B/XXXL,2021-02-18 21:16:10,布料非常舒服，尺码也超合适，准备回购一条
希***3,颜色分类:30 浅米色;尺寸:160/70A/L,2021-02-18 13:54:14,柔软，好搭配
l***0,颜色分类:09 黑色;尺寸:155/58A/XS,2021-02-16 20:11:18,版型风格：很垂顺！对矮个子特别友好 搭配建议：比较百搭，还想入其它色
t***8,颜色分类:30 浅米色;尺寸:155/62A/S,2021-02-16 18:44:14,OK
涟***起,颜色分类:10 水粉色;尺寸:160/66A/M,2021-02-15 20:32:21,颜色也不错，
涟***起,颜色分类:30 浅米色;尺寸:160/66A/M,2021-02-15 20:32:21,料子舒服
氤***泣,颜色分类:53 草绿色;尺寸:155/58A/XS,2021-02-14 18:01:34,这个草绿色绝了，和水泥色似的，倒是穿着很舒服，就留下了
小***铛,颜色分类:09 黑色;尺寸:175/88B/XXXL,2021-02-12 22:03:11,准备再买两条，非常好！
z***3,颜色分类:30 浅米色;尺寸:160/66A/M,2021-02-12 17:51:58,捡漏太完美了
你***老,颜色分类:10 水粉色;尺寸:155/58A/XS,2021-02-12 17:34:36,物流很快，面料也很舒服，颜色也特别好看，太合适了，简直完美！
安***子,颜色分类:30 浅米色;尺寸:160/66A/M,2021-02-12 15:07:02,很好很喜欢
抱***睡,颜色分类:08 深灰色;尺寸:175/88B/XXXL,2021-02-12 02:14:45,久坐站起来膝盖那会鼓包
g***h,颜色分类:08 深灰色;尺寸:155/62A/S,2021-02-11 23:20:21,162..53kg，s码合适，这裤子的码数偏大，舒服，穿了几次膝盖没有起包，洗了后裤头橡皮筋处会有点变波浪（有点变形），没有抽绳，129入，偏薄适合广东春夏秋，偏软贴屁股有点显内裤痕，显🦵直
珊***5,颜色分类:30 浅米色;尺寸:155/58A/XS,2021-02-11 21:17:03,好看是好看的 但是XS有点小了   我的身高体重：158 90斤不到
n***a,颜色分类:09 黑色;尺寸:155/58A/XS,2021-02-11 13:09:11,这条裤子小个子穿真是绝了，长度刚好显腿长又不拖地，就是颜色有点少
夏***7,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-11 08:05:48,特别舒服
l***e,颜色分类:53 草绿色;尺寸:170/82A/XXL,2021-02-10 07:26:51,我我妈买的，腰围大了点
冀***亮,颜色分类:10 水粉色;尺寸:160/70A/L,2021-02-09 16:37:00,配同色上衣，漂亮
雨***0,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-09 11:27:59,不错，实惠。码数够大。
景***8,颜色分类:10 水粉色;尺寸:155/58A/XS,2021-02-09 11:21:01,好舒服
猴***喵,颜色分类:10 水粉色;尺寸:155/58A/XS,2021-02-08 01:56:00,好好看
呜***9,颜色分类:30 浅米色;尺寸:155/62A/S,2021-02-07 22:37:40,腿粗的妹子慎选
叽***咔,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-07 09:23:29,裤子垂顺感很强，版型很好
s***9,颜色分类:08 深灰色;尺寸:155/62A/S,2021-02-06 17:33:07,工作服
s***9,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-06 17:33:07,工作服
水***a,颜色分类:30 浅米色;尺寸:155/58A/XS,2021-02-06 13:55:36,我的身高体重：155  90斤  梨形身材  这辈子买到的最合适的裤子，没有之一 很垂坠，我不知道什么是鼓包，反正看起来没觉得有啥问题。  摸起来也很舒服，滑滑的。  比较适合春秋，夏天在空调房也不错。  入手价129，买了绿色粉色白色。
t***7,颜色分类:30 浅米色;尺寸:160/66A/M,2021-02-05 13:19:16,舒服
v***u,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-04 15:47:02,买了好几条
v***u,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-04 15:46:38,非常推荐，版型超好，买了好几条
浪***想,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-04 13:39:48,活动价入手太划算啦  神裤！
浪***想,颜色分类:08 深灰色;尺寸:160/66A/M,2021-02-04 13:38:46,超级直的裤子 质量也很好 不愧是优衣库哦！
t***0,颜色分类:30 浅米色;尺寸:170/82A/XXL,2021-02-04 13:13:27,性价比超高的产品，推荐。
a***3,颜色分类:30 浅米色;尺寸:160/66A/M,2021-02-04 12:27:56,一身都是优衣库，不要太舒服
h***l,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-03 23:23:31,很舒服很合适，等降价再买几条
w***9,颜色分类:30 浅米色;尺寸:160/66A/M,2021-02-03 17:13:59,舒适，百搭。就是有些显内裤边，其他都挺好
莫***苗,颜色分类:09 黑色;尺寸:155/58A/XS,2021-02-03 09:20:27,很舒服的裤子 感觉春天够穿了买了两个颜色 超级棒的裤子
l***x,颜色分类:10 水粉色;尺寸:160/66A/M,2021-02-02 21:03:49,值得在在入一条。颜色喜欢。
小***1,颜色分类:10 水粉色;尺寸:155/58A/XS,2021-02-02 17:35:40,版型风格：完美  165  92斤 垂感特别好，面料特别舒服，浅米色有点发绿就没买
漠***溪,颜色分类:30 浅米色;尺寸:155/62A/S,2021-02-02 12:29:51,"129入的，还算划算。面料柔软舒服,百搭 155.93,s比xs 上身好"
花***海,颜色分类:10 水粉色;尺寸:155/58A/XS,2021-02-01 18:09:11,裤子颜色好看，面料柔软，很好很好。
方***r,颜色分类:09 黑色;尺寸:155/58A/XS,2021-02-01 12:53:47,xs裤头合适但好像臀围不够 两边口袋会被撑开 有点卡档 料子很舒服
梦***l,颜色分类:09 黑色;尺寸:155/58A/XS,2021-02-01 11:59:52,很好穿，万能搭配！！主要很舒服！搞活动的时候买的！很值得！！！喜欢喜欢喜欢。
m***1,颜色分类:30 浅米色;尺寸:160/66A/M,2021-02-01 08:14:38,很好
m***1,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-01 08:13:05,很好
z***y,颜色分类:09 黑色;尺寸:155/58A/XS,2021-01-31 23:51:21,我来给大家参考一下吧  158/96 买的xs 因为实体店试的s腰有点大 就来网店试试看 效果也还可以就留下了 因为大腿太粗穿着有点烟管裤的感觉 职场一点 长度到脚踝 我臀部也大会贴身所以需要穿无痕的或者长上衣  穿s是宽松直筒阔腿裤 略垂一点到鞋面上 也是好看的相当休闲 我买的黑色 感觉浅色还是更适合瘦子  有打折可以q我一下！打算再把s也入了！
烟***清,颜色分类:09 黑色;尺寸:165/78A/XL,2021-01-31 13:50:43,面料舒服，买了三条，穿了一天感觉肯定会起球。
我***店,颜色分类:09 黑色;尺寸:160/66A/M,2021-01-31 11:48:33,版型好，穿着舒适，单穿好看，配西服外套穿简直土爆了。面料看起来很容易起球。随便穿穿还可以的。
静***头,颜色分类:30 浅米色;尺寸:160/66A/M,2021-01-30 14:21:45,材质挺舒服的！
l***2,颜色分类:09 黑色;尺寸:160/66A/M,2021-01-29 11:58:25,很舒服
t***7,颜色分类:09 黑色;尺寸:155/62A/S,2021-01-29 00:31:17,会起球会起球会起球
小***浅,颜色分类:08 深灰色;尺寸:160/66A/M,2021-01-28 23:29:20,宽松
爱***妮,颜色分类:09 黑色;尺寸:160/66A/M,2021-01-28 21:29:38,舒服极了
她***1,颜色分类:09 黑色;尺寸:160/66A/M,2021-01-28 18:32:48,不错
萨***思,颜色分类:09 黑色;尺寸:155/62A/S,2021-01-28 15:22:30,好穿的款式，等到好价立马入手
阿***3,颜色分类:09 黑色;尺寸:160/70A/L,2021-01-28 11:03:50,好
投***浆,颜色分类:30 浅米色;尺寸:155/62A/S,2021-01-28 06:53:26,不咋样
w***7,颜色分类:09 黑色;尺寸:155/58A/XS,2021-01-27 17:56:56,好
t***7,颜色分类:30 浅米色;尺寸:155/62A/S,2021-01-27 10:56:33,S，160，48.穿s码刚好，之前已经买了黑色了，这次囤个米色。 弹性很不错，垂感也很强 不透 很舒服的面料 做工还是挺好的
f***n,颜色分类:09 黑色;尺寸:160/66A/M,2021-01-26 21:20:22,非常好
s***p,颜色分类:09 黑色;尺寸:155/58A/XS,2021-01-26 12:37:49,如果不是为了特殊码号，不建议早买，不值
m***e,颜色分类:30 浅米色;尺寸:165/78A/XL,2021-01-26 11:29:24,此用户没有填写评论!
孙***s,颜色分类:09 黑色;尺寸:155/62A/S,2021-01-25 21:48:40,刚买完就降价 这个针织材质 薄软 比较适合春夏 但是缺点是膝盖很容易鼓包 而且这个材质穿个三四回肯定会起球 想买的姐妹可以蹲降价 版型还是不错的 直筒阔腿 很显瘦 灰色买了 颜色不太好看 黑色米色比较推荐 上身图是灰色 不好看
q***c,颜色分类:08 深灰色;尺寸:170/82A/XXL,2021-01-25 19:54:48,此用户没有填写评论!
1***波,颜色分类:08 深灰色;尺寸:160/66A/M,2021-01-25 18:57:12,好
x***_,颜色分类:09 黑色;尺寸:170/82A/XXL,2021-01-25 10:41:07,很舒服的面料
v***l,颜色分类:09 黑色;尺寸:165/78A/XL,2021-01-25 09:36:02,挺好，穿时间长容易顶膝盖&hellip;初穿惊艳，再穿就&hellip;
你***6,颜色分类:30 浅米色;尺寸:155/62A/S,2021-01-24 14:49:06,版型不错，160.48kg选的s码
青***9,颜色分类:30 浅米色;尺寸:155/62A/S,2021-01-24 14:36:04,我的姐妹说像睡衣，我还买了两条，我哭辽，，💆&zwj;♀️💆&zwj;♀️💆&zwj;♀️ xs腰刚好腿短了，s腿刚好腰大了，所以我两个号都买了，我真机灵！
9***人,颜色分类:09 黑色;尺寸:155/62A/S,2021-01-24 11:03:26,版型很喜欢
t***9,颜色分类:30 浅米色;尺寸:160/66A/M,2021-01-23 11:33:37,质量非常好，柔软舒适，裤型优美，显身材。158，116斤，穿M码。
小***2,颜色分类:30 浅米色;尺寸:160/66A/M,2021-01-23 10:51:24,满意非常满意，在小红书App上看到美女博主分享下单买的，错不了！
t***7,颜色分类:09 黑色;尺寸:155/58A/XS,2021-01-22 16:09:40,质量不错，活动的时候购买性价比比较高
t***8,颜色分类:53 草绿色;尺寸:175/88B/XXXL,2021-01-21 18:51:11,质量很好，就是码数偏大，上班非常适合
小***啦,颜色分类:08 深灰色;尺寸:155/58A/XS,2021-01-20 07:23:24,xs完美
万***0,颜色分类:09 黑色;尺寸:155/58A/XS,2021-01-19 13:21:54,155/85，网店居然有xs码，果断退了实体店买的s码，在这里下单，对小矮子太友好了，第一次在优衣库买到腰围裤长都这么合适的裤子，人称上班快乐裤
水***陈,颜色分类:53 草绿色;尺寸:170/82A/XXL,2021-01-19 08:08:55,同款开始买的深灰色，后来模特图草绿色配一套很好看，就又给妈妈草绿色配一套，很棒，妈妈喜欢裤子说穿着舒服，厚度适合春夏
t***2,颜色分类:10 水粉色;尺寸:160/66A/M,2021-01-17 11:31:57,很满意，很喜欢
t***4,颜色分类:09 黑色;尺寸:155/58A/XS,2021-01-16 21:05:35,舒服版型好就是腰对我来说还是有点大
z***w,颜色分类:09 黑色;尺寸:155/58A/XS,2021-01-13 16:20:31,太好穿了，对小个子非常友好，长度刚刚好，赶紧又买了一条灰色的
1***好,颜色分类:09 黑色;尺寸:155/58A/XS,2021-01-13 13:53:05,超级舒服，就是不知道膝盖会不会鼓包。
韬***我,颜色分类:30 浅米色;尺寸:155/58A/XS,2021-01-12 23:29:46,在店里试过，店里没有xs，正好官网做活动，赶紧买两条！米色不会透内裤。穿上很舒适。
韬***我,颜色分类:09 黑色;尺寸:155/58A/XS,2021-01-12 23:29:46,在店里试过，店里没有xs，正好官网做活动，赶紧买两条！
s***1,颜色分类:10 水粉色;尺寸:170/82A/XXL,2021-01-12 20:32:27,配同色上衣非常好看
啊***得,颜色分类:10 水粉色;尺寸:155/58A/XS,2021-01-11 19:36:02,好舒服吖，是两爽爽的面料，准确的说有点像以前那种&ldquo;的确良&rdquo;（还是这个&ldquo;凉&rdquo;?），准备外穿的，不过还是家居吧。
