displayUserNick,auctionSku,rateDate,rateContent
宝***铱,颜色分类:09 黑色;尺码:155/62A/S,2021-02-27 14:03:13,有点大了，
邢***1,颜色分类:67 海蓝色;尺码:165/78A/XL,2020-11-11 10:20:47,超级舒服
a***t,颜色分类:09 黑色;尺码:155/62A/S,2020-11-11 09:47:28,好看，买来屯着夏天穿吧
闲***3,颜色分类:35 浅褐色;尺码:165/78A/XL,2020-11-11 07:35:24,喜欢特别合适
奥***猫,颜色分类:67 海蓝色;尺码:155/62A/S,2020-11-11 04:24:01,很舒服！164 55kg穿s正好
迪***砣,颜色分类:09 黑色;尺码:160/66A/M,2020-11-11 04:03:18,挺好的
桃***怪,颜色分类:09 黑色;尺码:155/62A/S,2020-11-10 16:43:37,面料柔软舒适。价格便宜，唯一缺点就是容易皱。
2***c,颜色分类:09 黑色;尺码:160/66A/M,2020-11-09 23:01:36,这个是真的好，材料和做工都特别精致，做工真的非常棒，我觉着我可以推荐给我朋友买
h***u,颜色分类:09 黑色;尺码:170/82A/XXL,2020-11-09 18:30:19,这个裤子的腰围太神奇了吧，谁170能有这么大的腰，果断到手以后，拆了抽绳换成松紧。
蒜***侠,颜色分类:02 浅灰色;尺码:155/62A/S,2020-11-08 22:36:34,重燃对优衣库的热情了，十分舒服，在实体店买到最后一条灰蓝s码后火速赶来包抄，版型垂感好到已经有执念了，外穿家居三条嫌少。。。易皱穿穿就顺了，这个价格要啥自行车。
爱***8,颜色分类:09 黑色;尺码:160/66A/M,2020-11-08 21:25:47,穿着舒适，就是怕坐起来皱
o***j,颜色分类:67 海蓝色;尺码:160/70A/L,2020-11-05 22:53:32,买了N条 太舒服了 睡觉必备
江***哦,颜色分类:35 浅褐色;尺码:160/66A/M,2020-11-05 14:14:09,正品款式不错质量好
v***u,颜色分类:02 浅灰色;尺码:155/62A/S,2020-11-04 23:17:08,153的小矮子穿高跟鞋的话长度刚好，很舒服，价格巨合适。
钻***境,颜色分类:67 海蓝色;尺码:160/66A/M,2020-11-04 18:36:13,很喜欢，跟实体店的一样啊！
2***l,颜色分类:35 浅褐色;尺码:160/66A/M,2020-11-03 21:55:26,漂亮好穿！终于把我从束脚裤的痛苦里解救出来了！
徐***1,颜色分类:02 浅灰色;尺码:160/66A/M,2020-11-02 15:02:35,垃圾
喵***5,颜色分类:09 黑色;尺码:160/66A/M,2020-10-28 17:56:11,这条做睡裤我不太喜欢这个料子，拆了包装就留下来了
t***g,颜色分类:09 黑色;尺码:155/62A/S,2020-10-28 12:21:32,舒服
桃***9,颜色分类:09 黑色;尺码:160/70A/L,2020-10-22 22:55:53,好穿
r***5,颜色分类:35 浅褐色;尺码:155/62A/S,2020-10-20 14:25:38,裤子给妈妈也入了 浅褐色很显档次 薄 款式好
o***j,颜色分类:02 浅灰色;尺码:155/62A/S,2020-10-17 20:01:13,优衣库最舒服的睡裤！店里买了一条 里面又在网上下单两条！！
张***驹,颜色分类:09 黑色;尺码:155/62A/S,2020-10-16 17:58:16,夏裤
h***c,颜色分类:02 浅灰色;尺码:160/66A/M,2020-10-15 10:07:06,舒适有型。
c***9,颜色分类:02 浅灰色;尺码:160/66A/M,2020-10-14 18:36:13,此用户没有填写评论!
p***9,颜色分类:09 黑色;尺码:165/78A/XL,2020-10-09 11:33:17,还好。
滺***心,颜色分类:35 浅褐色;尺码:160/70A/L,2020-10-08 23:07:01,仅试穿一下，身高160厘米，体重125斤。L号略长略肥如图。比春季那款黑色尺寸大些，如果洗后可以稍微缩水应该更合身一点，可以外穿的家居裤，我和先生一直人手两三条。居家可穿四季，出门北方可穿多半年时间。好搭配，推荐购买！
滺***心,颜色分类:67 海蓝色;尺码:160/70A/L,2020-10-08 23:07:01,仅试穿一下，身高160厘米，体重125斤。L号略长略肥如图。比春季那款黑色尺寸大些，如果洗后可以稍微缩水应该更合身一点，可以外穿的家居裤，我和先生一直人手两三条。居家可穿四季，出门北方可穿多半年时间。好搭配，推荐购买！
b***t,颜色分类:35 浅褐色;尺码:155/62A/S,2020-10-03 13:27:09,实体店买了条黑色的，好好穿，再来买一条不同颜色的，就是腰围有点大，要拿去改下。广东天气炎热，好穿极了，凉快。
王***1,颜色分类:67 海蓝色;尺码:155/58A/XS,2020-10-03 10:40:52,此用户没有填写评论!
w***5,颜色分类:35 浅褐色;尺码:160/66A/M,2020-10-01 11:53:09,挺好
神***x,颜色分类:09 黑色;尺码:160/70A/L,2020-09-30 17:09:41,可外穿可家居，料子也舒服透气
神***x,颜色分类:67 海蓝色;尺码:160/70A/L,2020-09-30 17:09:41,貌似稍微有点脱色，洗的时候放了几张色片沾了颜色
t***2,颜色分类:02 浅灰色;尺码:155/58A/XS,2020-09-29 20:29:44,此用户没有填写评论!
定***候,颜色分类:67 海蓝色;尺码:155/58A/XS,2020-09-27 12:46:03,夏天穿 秋天会冷
w***1,颜色分类:09 黑色;尺码:160/70A/L,2020-09-27 12:22:41,材质很一般
丘***白,颜色分类:09 黑色;尺码:170/82A/XXL,2020-09-26 15:19:21,170/65kg拍xxl太大了，提都提不起来，换了xl稍微有点大，和我体格差不多的可以拍l码。
丘***白,颜色分类:09 黑色;尺码:165/78A/XL,2020-09-26 15:17:15,产品总体不错，包装严实。再说商家服务：点赞啦。最后点评快递：发货很快。其他就是感谢店家打折送券活动，毕竟便宜好货更实在。希望店家多多优惠，及时通知老客户，促成回购。祝生意兴隆。
e***g,颜色分类:09 黑色;尺码:170/82A/XXL,2020-09-26 13:14:51,尺寸合适，舒适清凉，很好！
e***g,颜色分类:67 海蓝色;尺码:170/82A/XXL,2020-09-26 13:14:51,尺寸合适，舒适清凉，很好！
小***e,颜色分类:35 浅褐色;尺码:155/62A/S,2020-09-25 10:28:56,质量太舒服！版型好看显腿长！而且抽绳设计很复古！好看！
原***3,颜色分类:02 浅灰色;尺码:170/82A/XXL,2020-09-25 03:44:24,不知道为啥洗完就不亮了 没有洗之前那么缎面光泽度 穿着感觉还行吧 主要布料挺软的 没有很多弹性  坐了没一会儿就起褶儿了，一洗之后使劲甩甩就又平了 如果想要松垮拖到脚后跟长度的 就往大了选吧，160斤的腿穿着很宽松
久***违,颜色分类:09 黑色;尺码:160/66A/M,2020-09-24 11:53:36,挺显瘦的，感觉上面配小款得衣服会比较好一点
t***5,颜色分类:35 浅褐色;尺码:165/78A/XL,2020-09-23 19:41:36,不错哟！！！
蒲***5,颜色分类:67 海蓝色;尺码:155/58A/XS,2020-09-23 10:56:27,此用户没有填写评论!
t***7,颜色分类:35 浅褐色;尺码:155/58A/XS,2020-09-23 00:30:01,好看就完事了啊！版型超可
天***2,颜色分类:02 浅灰色;尺码:155/62A/S,2020-09-22 21:43:23,太太太皱了，不建议买
烟***n,颜色分类:02 浅灰色;尺码:155/62A/S,2020-09-21 18:08:52,希望出更多颜色~
爱***8,颜色分类:09 黑色;尺码:155/62A/S,2020-09-19 12:55:29,买过一条这种料子的，感觉很好
a***d,颜色分类:09 黑色;尺码:175/88B/XXXL,2020-09-18 23:51:35,这是家居裤吧。。。很丑呃呃呃
陆***0,颜色分类:02 浅灰色;尺码:155/62A/S,2020-09-18 19:42:26,这个季节穿好舒服呢，压的话送一起折子，但是过水后甩开，就全部平整了
咫***a,颜色分类:35 浅褐色;尺码:155/62A/S,2020-09-18 16:44:29,颜色好看，缎纹的有光泽显得高级，可以外穿的款式
j***e,颜色分类:67 海蓝色;尺码:160/70A/L,2020-09-18 15:04:03,162，62公斤表示太大了。
j***u,颜色分类:09 黑色;尺码:160/66A/M,2020-09-17 18:37:29,试穿很好。
灰***8,颜色分类:02 浅灰色;尺码:160/66A/M,2020-09-16 20:13:00,衣服基本都是优衣库，继续加购哈哈😄
f***7,颜色分类:67 海蓝色;尺码:155/62A/S,2020-09-16 18:13:53,还不错
兔***娘,颜色分类:35 浅褐色;尺码:155/62A/S,2020-09-16 11:55:35,挺好小一个号下单合适
t***1,颜色分类:09 黑色;尺码:155/62A/S,2020-09-15 19:44:05,太显瘦了，超级喜欢
骆***政,颜色分类:09 黑色;尺码:160/66A/M,2020-09-15 15:35:02,品牌优衣库，合身舒服！
骆***政,颜色分类:67 海蓝色;尺码:160/66A/M,2020-09-15 15:35:02,品牌优衣库，合身舒服！
学***5,颜色分类:09 黑色;尺码:160/66A/M,2020-09-15 14:47:31,舒服，布料很好，快递很快，就是客服的回复无语了，永远不在线
虚***令,颜色分类:02 浅灰色;尺码:155/62A/S,2020-09-15 08:22:25,挺好的，颜色我很喜欢。
p***8,颜色分类:09 黑色;尺码:160/70A/L,2020-09-14 19:00:14,这条也是中国制造，略厚一点，春秋都可穿！
s***4,颜色分类:35 浅褐色;尺码:155/62A/S,2020-09-14 11:34:32,舒适，大方，喜欢。
c***x,颜色分类:09 黑色;尺码:155/62A/S,2020-09-13 16:55:03,买大了一码，不过老妈穿正好合适，xs码有货了再买一条
w***7,颜色分类:09 黑色;尺码:160/70A/L,2020-09-12 20:05:58,此用户没有填写评论!
x***8,颜色分类:67 海蓝色;尺码:155/58A/XS,2020-09-10 13:55:21,158身高，47kg，xs号穿着刚合适
小***c,颜色分类:67 海蓝色;尺码:155/62A/S,2020-09-10 09:20:22,材质很舒服
徐***啦,颜色分类:09 黑色;尺码:170/82A/XXL,2020-09-09 23:12:24,喜欢！
少***花,颜色分类:67 海蓝色;尺码:155/62A/S,2020-09-09 07:52:48,实体没有码，在官网下了单，除了容易皱，是自己满意的
忠***头,颜色分类:09 黑色;尺码:155/62A/S,2020-09-08 17:04:18,平时紧身长裤买大号，直筒阔腿买的中号，这个看了具体尺寸，尝试买的小号居然正好，可以外出穿。
诺***亚,颜色分类:67 海蓝色;尺码:175/88B/XXXL,2020-09-08 16:33:18,很光滑。有一点像睡衣的感觉。
t***4,颜色分类:35 浅褐色;尺码:160/70A/L,2020-09-08 11:16:42,买两条了
r***6,颜色分类:67 海蓝色;尺码:160/70A/L,2020-09-08 09:13:22,做工精细，穿着舒适
深***i,颜色分类:67 海蓝色;尺码:160/70A/L,2020-09-08 04:21:22,买了三个颜色，手感挺喜欢的，就是看参考买大了，应该买小一码的
深***i,颜色分类:02 浅灰色;尺码:160/70A/L,2020-09-08 04:21:22,买了三个颜色，手感挺喜欢的，就是看参考买大了，应该买小一码的
深***i,颜色分类:09 黑色;尺码:160/70A/L,2020-09-08 04:21:22,买了三个颜色，手感挺喜欢的，就是看参考买大了，应该买小一码的
茶***朱,颜色分类:02 浅灰色;尺码:155/58A/XS,2020-09-07 21:13:14,为什么文科阅读材料这么多啊，真的要疯了 裤子很好，可以外穿，我觉得黑色可能会更瘦
汐***e,颜色分类:67 海蓝色;尺码:155/62A/S,2020-09-05 10:46:53,好
倩***5,颜色分类:35 浅褐色;尺码:160/66A/M,2020-09-04 09:22:44,163/51，想买宽松的当睡裤的，结果太大了点，还好在家穿，大一点也无妨。
倩***5,颜色分类:02 浅灰色;尺码:160/66A/M,2020-09-04 09:22:44,163/51，想买宽松的当睡裤的，结果太大了点，还好在家穿，大一点也无妨。
大***花,颜色分类:67 海蓝色;尺码:155/58A/XS,2020-09-03 21:57:01,我觉得有色差。买的海蓝色看图片颜色淡淡的蓝灰蓝灰的，但实际上颜色略重，不太适合年轻姑娘~
t***1,颜色分类:02 浅灰色;尺码:155/58A/XS,2020-09-03 10:33:33,第二次购买了，很喜欢，包装和质量都好。
0***l,颜色分类:67 海蓝色;尺码:155/62A/S,2020-08-31 09:34:45,实体店没有S号，99圆的裤子还发顺丰，太惊喜！
t***1,颜色分类:02 浅灰色;尺码:155/58A/XS,2020-08-28 10:30:07,每件物品都独立完好包装，非常满意。线上线下购物体验一如既往好，感谢。
s***8,颜色分类:67 海蓝色;尺码:155/62A/S,2020-08-27 16:45:08,很舒服 实体店没有S号 店员下单的 不需要邮费
小***8,颜色分类:09 黑色;尺码:160/70A/L,2020-08-25 15:38:56,太大了
w***面,颜色分类:35 浅褐色;尺码:155/58A/XS,2020-08-25 08:07:02,面料是舒服的那种，可是十分容易刮坏，勾坏。
v***5,颜色分类:67 海蓝色;尺码:160/66A/M,2020-08-23 10:51:56,挺凉快的
t***0,颜色分类:35 浅褐色;尺码:155/62A/S,2020-08-22 16:33:39,此用户没有填写评论!
宝***1,颜色分类:02 浅灰色;尺码:160/66A/M,2020-08-22 11:57:56,阔以  颜色很好看
