displayUserNick,auctionSku,rateDate,rateContent
张***1,颜色分类:69 藏青色;尺码:165/72A/S,2021-03-01 15:37:31,薄款买下夏天穿
铁***屋,颜色分类:08 深灰色;尺码:165/72A/S,2021-02-10 23:08:02,一般
j***7,颜色分类:32 深米色;尺码:170/80A/M,2021-02-10 11:15:03,好
b***x,颜色分类:69 藏青色;尺码:175/88A/L,2021-02-08 12:15:45,给我爸穿了
安***1,颜色分类:08 深灰色;尺码:175/88A/L,2021-02-07 18:39:59,挺不错
w***2,颜色分类:08 深灰色;尺码:165/72A/S,2021-02-06 19:38:07,版型很好搭
t***2,颜色分类:32 深米色;尺码:180/96B/XL,2021-02-06 16:35:29,好评！
彭***2,颜色分类:32 深米色;尺码:170/80A/M,2021-02-05 21:30:32,很好看，身高173。体重64，买m的很合身， 穿着很舒适
w***0,颜色分类:32 深米色;尺码:165/72A/S,2021-02-05 18:40:27,还行吧
博***8,颜色分类:32 深米色;尺码:170/80A/M,2021-02-05 13:35:30,好评
t***8,颜色分类:08 深灰色;尺码:175/88A/L,2021-02-05 09:30:13,给男朋友买的
浅***介,颜色分类:08 深灰色;尺码:165/72A/S,2021-02-04 16:49:20,材质不错穿着合适
一***y,颜色分类:32 深米色;尺码:170/80A/M,2021-02-04 12:31:56,确实比较薄，但是裤型好看
q***9,颜色分类:32 深米色;尺码:180/96B/XL,2021-02-04 11:32:45,质量好，闭眼入
t***4,颜色分类:08 深灰色;尺码:185/104C/XXL,2021-02-04 08:39:42,第三次购买了，必须棒棒的
o***v,颜色分类:32 深米色;尺码:165/72A/S,2021-02-04 07:48:04,回购同款
t***0,颜色分类:32 深米色;尺码:165/72A/S,2021-02-03 23:47:17,裤子非常不错，就是薄了点，
s***a,颜色分类:69 藏青色;尺码:185/104C/XXL,2021-02-03 09:28:43,优衣库对孕妈真是太友好啦，哈哈哈哈哈～裤子宽松肥大，等肚子再大一点就能穿啦，点赞哟！
d***5,颜色分类:08 深灰色;尺码:175/88A/L,2021-02-02 17:50:14,😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃
d***5,颜色分类:32 深米色;尺码:175/88A/L,2021-02-02 17:50:14,😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃
秋***啊,颜色分类:32 深米色;尺码:170/80A/M,2021-02-02 17:15:04,💚赶上做活动的时候买的，这个价格一分钱一分货❤️，从外观看很美💙，材质做工都不错💜，感觉买值了，还有物流超级快，点赞！
这***e,颜色分类:32 深米色;尺码:165/72A/S,2021-02-01 12:01:55,好
f***l,颜色分类:08 深灰色;尺码:185/104C/XXL,2021-01-31 22:15:02,版型无敌，穿着舒服，深灰不是很灰
x***3,颜色分类:32 深米色;尺码:165/72A/S,2021-01-31 18:59:04,发货速度很快，东西包装的很好，价格优惠，我很满意👍，还会回购
巴***5,颜色分类:69 藏青色;尺码:170/80A/M,2021-01-31 13:55:32,趁着降价回购第二条
t***8,颜色分类:69 藏青色;尺码:185/120C/XXXXL,2021-01-21 18:31:37,此用户没有填写评论!
t***8,颜色分类:69 藏青色;尺码:185/120C/XXXXL,2021-01-18 19:36:52,好评合身好评好评合身好评好评合身好评好评合身好评好评合身好评好评合身好评好评合身好评好评合身好评好评合身好评，
k***u,颜色分类:32 深米色;尺码:175/88A/L,2021-01-18 09:52:03,裤子稍微有点薄其他还行
宋***7,颜色分类:08 深灰色;尺码:165/72A/S,2021-01-16 12:00:14,买优衣库基本都还可以
p***d,颜色分类:32 深米色;尺码:170/80A/M,2021-01-07 10:31:18,穿着非常舒服
t***8,颜色分类:08 深灰色;尺码:170/80A/M,2021-01-06 20:38:02,东西很好，申通令人难受，太晚不送就不送，什么叫未能与您取得联系？一星不跑
c***2,颜色分类:08 深灰色;尺码:170/80A/M,2021-01-06 13:50:17,此用户没有填写评论!
解***4,颜色分类:32 深米色;尺码:165/72A/S,2021-01-01 12:19:56,物流丢件，客服不主动联系、在线客服回复速度极慢，态度极其蛮横。让我反复跑自行核实，那我请问要你们有何用？真的是大爷，店大欺客呗？
t***0,颜色分类:69 藏青色;尺码:175/88A/L,2020-12-31 10:27:33,不是很好
佘***n,颜色分类:32 深米色;尺码:165/72A/S,2020-12-29 13:46:40,好
t***8,颜色分类:32 深米色;尺码:185/120C/XXXXL,2020-12-27 13:21:24,好评好评合身好评好评合身好评好评合身好评好评合身好评好评合身好评好评合身好评，
m***r,颜色分类:32 深米色;尺码:170/80A/M,2020-12-24 11:26:57,可以
闯***神,颜色分类:32 深米色;尺码:175/88A/L,2020-12-19 15:30:52,裤子是薄的
c***6,颜色分类:69 藏青色;尺码:185/104C/XXL,2020-12-18 15:11:06,这是的垃圾 码数差的太多  希望大家还是不要购买  客服也是没用 半天都回复不了一个消息  木头人
t***3,颜色分类:32 深米色;尺码:170/80A/M,2020-12-16 12:21:03,此用户没有填写评论!
s***a,颜色分类:69 藏青色;尺码:180/96B/XL,2020-12-15 10:37:12,啊！表白一下万能的优衣库，真是什么裤子都能买到～孕期眼见着家里裤子逐渐开始变紧，好焦虑，结果在优衣库找到这款松紧老爹裤，买大一点很宽松，应该能陪伴到卸货啦，哈哈哈哈～
丶***酱,颜色分类:69 藏青色;尺码:170/80A/M,2020-12-14 02:37:08,可以！
繁***白,颜色分类:08 深灰色;尺码:170/80A/M,2020-12-10 22:51:33,裤子还不错，但是我好像买小了一点点，腰带也好难用
哈***了,颜色分类:32 深米色;尺码:175/88A/L,2020-12-10 20:27:22,不错不知道是第几条优衣库，感觉可以，挺舒服的，就是不能穿皮带
伤***歌,颜色分类:69 藏青色;尺码:170/80A/M,2020-12-10 18:11:44,这套调料盒和油壶真的太好了，非常方便。
穿***子,颜色分类:08 深灰色;尺码:175/88A/L,2020-12-10 13:32:35,冲冲冲冲冲冲真不错
t***4,颜色分类:08 深灰色;尺码:170/80A/M,2020-12-09 12:31:05,还行
陈***赐,颜色分类:69 藏青色;尺码:165/72A/S,2020-12-09 11:47:02,不错
2***i,颜色分类:08 深灰色;尺码:165/72A/S,2020-12-09 09:43:12,好看，划算
咪***r,颜色分类:32 深米色;尺码:165/72A/S,2020-12-08 15:18:34,此用户没有填写评论!
m***o,颜色分类:08 深灰色;尺码:170/80A/M,2020-12-06 23:41:56,不错的裤子，料子不错，希望能够穿的时间长一些。
樱***4,颜色分类:08 深灰色;尺码:170/80A/M,2020-12-06 17:42:49,裤子穿着很舒服
s***6,颜色分类:08 深灰色;尺码:165/72A/S,2020-12-05 23:34:56,裤子很薄
z***离,颜色分类:32 深米色;尺码:170/80A/M,2020-12-05 18:54:57,很好
z***离,颜色分类:69 藏青色;尺码:170/80A/M,2020-12-05 18:54:57,很好
t***5,颜色分类:69 藏青色;尺码:165/72A/S,2020-12-05 18:29:28,裤子不错，试了下，不大不小刚刚好，质量好的也没话说，老板服务态度也很好，非常喜欢这次的成果，下次一定还来这家店买其它款式的衣服。
j***7,颜色分类:08 深灰色;尺码:170/80A/M,2020-12-05 14:00:45,无话可说，挺好的，建议单独洗，不易皱，很宽松，身材好的建议买小一码，虽然不知道长度会不会短很多
j***7,颜色分类:32 深米色;尺码:170/80A/M,2020-12-05 14:00:45,无话可说，挺好的，建议单独洗，不易皱，很宽松，身材好的建议买小一码，虽然不知道长度会不会短很多
h***m,颜色分类:32 深米色;尺码:170/80A/M,2020-12-05 08:29:11,一如既往的薄，孩子长得快，对付穿一年吧
l***0,颜色分类:69 藏青色;尺码:175/88A/L,2020-12-04 16:36:36,说实话，更像居家服多点
预***0,颜色分类:32 深米色;尺码:170/80A/M,2020-12-03 18:42:21,裤子一如既往的好，好评
小***3,颜色分类:32 深米色;尺码:170/80A/M,2020-12-03 10:21:43,布料是薄的，容易皱，买来天气热的时候穿，适合大腿粗壮的。前两天去逛实体店，发现又降价了，心塞～
y***9,颜色分类:08 深灰色;尺码:170/80A/M,2020-12-03 08:34:47,裤子很好看，双12再买！
陈***赐,颜色分类:08 深灰色;尺码:165/72A/S,2020-12-02 18:50:03,非常好
对***气,颜色分类:08 深灰色;尺码:175/88A/L,2020-12-02 17:14:43,合适舒服
邹***5,颜色分类:08 深灰色;尺码:165/72A/S,2020-12-01 22:42:04,对我这种肚纸上肉多的人来说很友好
m***o,颜色分类:32 深米色;尺码:165/72A/S,2020-12-01 16:17:44,买的第二件 通勤穿太舒服啦 而且还好看 （其实还买了米色深灰色海蓝色）
苏***野,颜色分类:32 深米色;尺码:170/80A/M,2020-12-01 15:26:14,此用户没有填写评论!
同***g,颜色分类:32 深米色;尺码:165/72A/S,2020-11-30 23:47:51,可以
t***8,颜色分类:69 藏青色;尺码:165/72A/S,2020-11-30 18:14:01,很好，穿起来特别的舒服。哈哈哈哈哈哈哈哈哈。
钱***杰,颜色分类:08 深灰色;尺码:180/96B/XL,2020-11-30 15:54:42,此用户没有填写评论!
t***8,颜色分类:08 深灰色;尺码:165/72A/S,2020-11-30 15:53:23,不错，就是薄了点
我***里,颜色分类:08 深灰色;尺码:180/96B/XL,2020-11-30 08:37:31,优衣库666666666666
k***z,颜色分类:69 藏青色;尺码:170/80A/M,2020-11-30 08:32:49,很满意
1***k,颜色分类:08 深灰色;尺码:165/72A/S,2020-11-29 23:32:49,除了优衣库还有啥牌子，今年都没出啥好看的衣服
8***y,颜色分类:32 深米色;尺码:170/80A/M,2020-11-29 10:17:20,很好很不错
狸***安,颜色分类:69 藏青色;尺码:165/72A/S,2020-11-29 02:49:26,买来上班当做制服裤穿的，可以以假乱真比较挺括很舒服，买了一条之后又追加了两条
f***p,颜色分类:08 深灰色;尺码:170/80A/M,2020-11-28 18:48:40,一如即往的优秀，符合预期
王***0,颜色分类:08 深灰色;尺码:175/88A/L,2020-11-28 17:40:38,比较薄
l***2,颜色分类:69 藏青色;尺码:165/72A/S,2020-11-28 13:45:22,今年双十一优衣库衣服折扣力度太小，买三件退一件。希望双十二能更优惠
s***陈,颜色分类:08 深灰色;尺码:170/80A/M,2020-11-28 08:45:56,此用户没有填写评论!
t***7,颜色分类:32 深米色;尺码:165/72A/S,2020-11-28 00:09:20,太薄了，适合夏天，不适合冬天
y***8,颜色分类:08 深灰色;尺码:170/80A/M,2020-11-27 18:38:22,裤子很好穿，很合身。
t***6,颜色分类:32 深米色;尺码:170/80A/M,2020-11-27 18:08:08,版型不错，但是洗完之后很皱
0***i,颜色分类:69 藏青色;尺码:180/96B/XL,2020-11-27 13:59:59,千万不要相信优衣库搞活动。保价一过 立马降价。
b***蛋,颜色分类:08 深灰色;尺码:165/72A/S,2020-11-27 12:21:31,优衣库的质量还是在的，如果可以更便宜就好啦
潘***0,颜色分类:32 深米色;尺码:165/72A/S,2020-11-27 11:30:09,马马虎虎，比起纯棉的还差点意思，容易起皱，比较薄，适合夏天穿，还有就是屁股上只有一个袋子，这设计我没想通😂
a***1,颜色分类:32 深米色;尺码:175/88A/L,2020-11-27 09:16:05,好！！！！！！！！！！！！！！！！！
我***3,颜色分类:69 藏青色;尺码:175/88A/L,2020-11-26 13:47:36,此用户没有填写评论!
摇***者,颜色分类:08 深灰色;尺码:170/80A/M,2020-11-26 10:06:03,东西是不错，就是客服没有活人在。
t***2,颜色分类:69 藏青色;尺码:180/96B/XL,2020-11-26 00:21:38,二次回购
陈***8,颜色分类:08 深灰色;尺码:180/96B/XL,2020-11-25 21:23:32,穿的很舒服，就是没想到其他的裤子xxl。这条xl，还是大了。
q***8,颜色分类:32 深米色;尺码:175/88A/L,2020-11-25 15:50:51,此用户没有填写评论!
巢***3,颜色分类:69 藏青色;尺码:165/72A/S,2020-11-25 13:40:00,此用户没有填写评论!
b***殇,颜色分类:69 藏青色;尺码:170/80A/M,2020-11-25 10:21:17,便宜，非常好的，开心
x***5,颜色分类:08 深灰色;尺码:180/96B/XL,2020-11-25 09:44:52,一如既往的满意
y***t,颜色分类:08 深灰色;尺码:170/80A/M,2020-11-24 22:56:29,一如既往的好，全五星好评，谢谢！
j***聪,颜色分类:32 深米色;尺码:170/80A/M,2020-11-24 18:32:17,薄了
p***e,颜色分类:69 藏青色;尺码:175/88A/L,2020-11-24 16:27:28,不错，样式阔以，感觉比九分裤要长些，不是很标准的九分裤
听***8,颜色分类:69 藏青色;尺码:165/72A/S,2020-11-24 15:11:16,nice
蓝***鼠,颜色分类:32 深米色;尺码:165/72A/S,2020-11-24 13:36:04,价格很合适啊，白搭的裤子，給那我家那狗穿刚好
f***c,颜色分类:32 深米色;尺码:165/72A/S,2020-11-24 11:23:23,很好
t***3,颜色分类:32 深米色;尺码:165/72A/S,2020-11-24 10:08:54,适合我这个长肉的 哈哈
t***4,颜色分类:32 深米色;尺码:170/80A/M,2020-11-24 08:48:33,不错，适合夏天穿
狸***安,颜色分类:69 藏青色;尺码:170/80A/M,2020-11-24 02:30:06,裤子在店里试过了，很好穿，用来代替公司发的制服裤，一六二，一百三十斤，穿小码刚好，腰围76，臀围90多，穿起来还是偏宽松
h***3,颜色分类:08 深灰色;尺码:170/80A/M,2020-11-23 21:37:09,nice
s***o,颜色分类:32 深米色;尺码:185/112C/XXXL,2020-11-23 20:35:32,儿子喜欢，码偏大
紫***l,颜色分类:08 深灰色;尺码:165/72A/S,2020-11-23 20:00:25,对胖子不友好，退了
t***6,颜色分类:08 深灰色;尺码:185/104C/XXL,2020-11-23 16:55:06,裤子非常舒服，尺码合适，材质很不错。满意。
铃***1,颜色分类:69 藏青色;尺码:170/80A/M,2020-11-23 13:24:04,好看，穿上特别修身，直筒裤
大***蕉,颜色分类:69 藏青色;尺码:165/72A/S,2020-11-22 21:36:19,不错
q***i,颜色分类:32 深米色;尺码:165/72A/S,2020-11-22 17:46:23,纯棉的裤子，版型很不错，就是太容易皱了！！！
a***0,颜色分类:69 藏青色;尺码:165/72A/S,2020-11-22 14:29:47,质量不错，173cm，52kg，s码合身，给大家参考一下。
小***洺,颜色分类:08 深灰色;尺码:180/96B/XL,2020-11-21 22:27:49,9号物流显示已收件。但是没收到货。至今一直联系客服和物流，客服不管，快递那边一直说帮我查。简直了。
小***e,颜色分类:08 深灰色;尺码:175/88A/L,2020-11-21 21:18:03,发货很快，包装的很好，价格也特别实惠
小***e,颜色分类:69 藏青色;尺码:175/88A/L,2020-11-21 21:18:03,很满意的一次购物，商家服务好，发货神速，物流也很给力
t***4,颜色分类:69 藏青色;尺码:170/80A/M,2020-11-21 21:08:02,双十一优惠很多
日***横,颜色分类:32 深米色;尺码:175/88A/L,2020-11-21 20:18:45,今年优衣库不搞活动也罢  要买的还是会买  但是也请你把衣服分开装好吧..
阿***发,颜色分类:32 深米色;尺码:180/96B/XL,2020-11-21 15:18:56,还行吧，系裤腰带不方便。
阿***发,颜色分类:08 深灰色;尺码:180/96B/XL,2020-11-21 15:18:56,还行吧，系裤腰带不方便。
阿***发,颜色分类:69 藏青色;尺码:180/96B/XL,2020-11-21 15:18:56,还行吧，系裤腰带不方便。
浅***烟,颜色分类:32 深米色;尺码:165/72A/S,2020-11-21 12:15:53,很有feel
h***人,颜色分类:08 深灰色;尺码:165/72A/S,2020-11-21 11:49:40,厚薄适中，秋天初冬都可以穿，版型很好，宽松有垂坠感。
暴***花,颜色分类:32 深米色;尺码:175/88A/L,2020-11-20 23:49:07,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物
乂***乂,颜色分类:08 深灰色;尺码:170/80A/M,2020-11-20 19:38:29,客服不理人，说好的双11可以退差价，后面跟我说退不了，客服态度差的要*，发来的裤子质量***差，地摊货都比这好
陈***发,颜色分类:08 深灰色;尺码:170/80A/M,2020-11-20 17:57:48,垃圾中的垃圾，双十一过后想再买两件备着，然后拍了2件m**深灰色的，然后收到一件卡其色一件深灰色2件都是l**，然后联系客服，客服是在干嘛？全没人，好嘛，等了几小时，来了一个，然后要拍裤子拍这拍哪，拍完了，然后说要等3天有专员来处理你这个退货问题？你有事嘛？是你们发错货，什么玩意儿，搞得好像我买错尺码然后找你们换一样
h***唐,颜色分类:32 深米色;尺码:170/80A/M,2020-11-20 13:00:24,居然比在店里面小一点
黑***片,颜色分类:08 深灰色;尺码:165/72A/S,2020-11-20 12:41:24,很好
y***9,颜色分类:69 藏青色;尺码:175/88A/L,2020-11-20 10:32:23,很好
吴***保,颜色分类:69 藏青色;尺码:170/80A/M,2020-11-20 08:16:03,感觉偏大码，其他还好。
o***n,颜色分类:32 深米色;尺码:170/80A/M,2020-11-20 08:14:42,二次购买，满意
m***贝,颜色分类:08 深灰色;尺码:165/72A/S,2020-11-19 23:23:21,质量挺好的呢
y***r,颜色分类:32 深米色;尺码:165/72A/S,2020-11-19 22:05:59,比店里便宜，裤腿跟我留的短的长裤也差不多，可惜不是直筒
z***7,颜色分类:69 藏青色;尺码:170/80A/M,2020-11-19 21:56:55,之前买了米色很满意，等这次活动入手藏青色，太沾灰了&hellip;
迪***y,颜色分类:69 藏青色;尺码:170/80A/M,2020-11-19 15:32:01,很好
迪***y,颜色分类:08 深灰色;尺码:170/80A/M,2020-11-19 15:32:01,棉的。很好
t***4,颜色分类:69 藏青色;尺码:175/88A/L,2020-11-19 14:56:32,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，收到了包装很好还会在买!用着不错对产品相当满意挺好的很不错，搞活动买到还不错。用习惯了，觉得用着还可以包装完整 使用过评价效果发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。"
叫***大,颜色分类:69 藏青色;尺码:175/88A/L,2020-11-19 11:49:26,货已经收到，当你看到这条评论时，说明我对此商品的还是觉得可以的，要不然就其他评论反应了。虽然我很想很想很想很想每一件宝贝都用心写评价，但真的真的真的真的真的超级超级超级累而且费脑子，所以就凑字数了。
凡***e,颜色分类:32 深米色;尺码:175/88A/L,2020-11-19 10:33:14,舒适没毛病！优衣库的特点
c***7,颜色分类:32 深米色;尺码:170/80A/M,2020-11-19 09:47:02,不错不错
小***曦,颜色分类:32 深米色;尺码:170/80A/M,2020-11-19 00:52:16,发货速度，包装还可以，裤子不错，期待质量！
t***9,颜色分类:69 藏青色;尺码:185/104C/XXL,2020-11-18 21:25:19,非常喜欢，非常好
5***9,颜色分类:08 深灰色;尺码:165/72A/S,2020-11-18 20:48:13,这裤子版型超好看！！！ 很显腿直 洗了不会掉色 不好的一点就是容易起褶皱吧  相同款还买过驼色跟深褐色  175 125穿起来超合适的 快给男朋友买起来！！！ xs码女孩子可以穿
炫***煌,颜色分类:69 藏青色;尺码:165/72A/S,2020-11-18 19:39:49,好家伙，在朋友那里看了一下，就决定买一条，体验完果然不错。
q***3,颜色分类:69 藏青色;尺码:175/88A/L,2020-11-18 19:27:14,优衣库的衣服都穿得舒服。
灰***星,颜色分类:08 深灰色;尺码:170/80A/M,2020-11-18 18:56:27,终于收到贝了，东西很好，价美物廉，谢谢掌柜的!说实在，这是我淘宝购物来让意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少
p***4,颜色分类:08 深灰色;尺码:165/72A/S,2020-11-18 18:52:29,很好，167，65公斤穿这个号刚刚好，不长不短，很修身，裤腰也合适。
j***5,颜色分类:69 藏青色;尺码:170/80A/M,2020-11-18 17:05:35,好看
余***焉,颜色分类:08 深灰色;尺码:185/112C/XXXL,2020-11-18 14:38:15,适合大肚子肥佬，虽然9分裤，但是买大裤长就刚好😅
s***7,颜色分类:08 深灰色;尺码:175/88A/L,2020-11-18 14:19:01,希望多出点颜色 这个颜色凑合😂
s***7,颜色分类:69 藏青色;尺码:175/88A/L,2020-11-18 14:18:41,买了超级多次了
m***u,颜色分类:32 深米色;尺码:175/88A/L,2020-11-18 13:45:58,客服形同虚设
t***4,颜色分类:08 深灰色;尺码:170/80A/M,2020-11-18 11:41:09,裤子还行，就是发货是真的慢，从下单到收到货，有一个星期，这个很烦。而且感觉裤子同码但是比店里试的时候大了点，可能是自己洗的原因吧。
t***5,颜色分类:32 深米色;尺码:170/80A/M,2020-11-18 09:48:20,材质意想不到的舒服，款式也不错，男朋友很满意
其***栒,颜色分类:08 深灰色;尺码:170/80A/M,2020-11-18 09:43:38,此用户没有填写评论!
啦***事,颜色分类:32 深米色;尺码:170/80A/M,2020-11-18 09:36:13,材质与价格都不是一个档次
我***8,颜色分类:32 深米色;尺码:170/80A/M,2020-11-17 22:44:49,裤子很舒服，之前实体店买的，双11价格美丽
我***8,颜色分类:69 藏青色;尺码:170/80A/M,2020-11-17 22:44:49,裤子很舒服
空***康,颜色分类:32 深米色;尺码:165/72A/S,2020-11-17 21:59:17,很好很喜欢哈哈哈不错不错的
g***g,颜色分类:08 深灰色;尺码:175/88A/L,2020-11-17 18:55:41,感觉很不错，有机会再买一条黑色的，物流慢了点
f***q,颜色分类:08 深灰色;尺码:185/104C/XXL,2020-11-17 18:51:48,非常好
西***2,颜色分类:32 深米色;尺码:170/80A/M,2020-11-17 16:38:24,裤子偏宽松，好看
听***g,颜色分类:69 藏青色;尺码:170/80A/M,2020-11-17 15:53:08,裤子版型宽松，还行
彭***梅,颜色分类:32 深米色;尺码:170/80A/M,2020-11-17 14:54:33,第一次在网上购买优衣库的衣服，没想到真的很好，质量没得说，做工也非常精细，绝对是正品。
糖***在,颜色分类:32 深米色;尺码:170/80A/M,2020-11-17 13:46:36,太容易皱了！！！
不***9,颜色分类:08 深灰色;尺码:165/72A/S,2020-11-17 12:47:07,质量外观都很满意，衬衫大了一点，不过去门店换货很方便。
g***0,颜色分类:32 深米色;尺码:170/80A/M,2020-11-17 11:43:06,好穿不贵
h***3,颜色分类:32 深米色;尺码:180/96B/XL,2020-11-17 11:15:51,版型很不错，不会显腿粗，做活动还比线下店便宜。
冯***y,颜色分类:08 深灰色;尺码:170/80A/M,2020-11-17 09:57:58,是优衣库的忠实粉丝了
c***1,颜色分类:69 藏青色;尺码:170/80A/M,2020-11-17 09:15:51,双十一的价格还可以，适合春秋穿
c***豆,颜色分类:32 深米色;尺码:170/80A/M,2020-11-16 21:50:24,给我爸买的，还行
t***0,颜色分类:08 深灰色;尺码:165/72A/S,2020-11-16 20:26:35,裤子质量很好，大小合适。
t***4,颜色分类:69 藏青色;尺码:170/80A/M,2020-11-16 16:38:35,优衣库不多说，永远的神!
小***4,颜色分类:08 深灰色;尺码:170/80A/M,2020-11-16 16:33:10,第二次购买了 穿的非常舒服
珍***4,颜色分类:32 深米色;尺码:165/72A/S,2020-11-16 12:18:40,还不错，稍微短了一点
l***1,颜色分类:69 藏青色;尺码:175/88A/L,2020-11-16 12:18:19,尺码偏大
刘***a,颜色分类:08 深灰色;尺码:165/72A/S,2020-11-16 11:18:21,店里试过，挺好的
