displayUserNick,auctionSku,rateDate,rateContent
f***f,颜色分类:10 水粉色;尺码:155/80A/S,2021-03-02 12:26:56,材质很舒服
李***。,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-18 08:41:39,不错
t***1,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-18 08:23:21,穿着舒适，
排***姐,颜色分类:10 水粉色;尺码:165/92A/XL,2021-02-18 00:23:08,249买的，收到就降到199，临近春节，又是疫情期间快递停运，没法退货，退差价也不给退，就是冷冰冰一句可以七天无理由退货，对优衣库的做法太失望！
g***2,颜色分类:10 水粉色;尺码:155/80A/S,2021-02-17 18:35:02,优衣库的睡衣，质量没的说！
小***7,颜色分类:10 水粉色;尺码:160/88A/L,2021-02-17 17:04:52,很好，满意
k***5,颜色分类:09 黑色;尺码:160/88A/L,2021-02-16 20:14:40,入手价 1。8。9.  muji ，舒雅，同类款式，只有优衣库的最便宜
可***3,颜色分类:69 藏青色;尺码:155/80A/S,2021-02-16 19:56:36,很好，睡衣太舒服了
王***7,颜色分类:69 藏青色;尺码:155/80A/S,2021-02-16 17:08:38,一般吧，157，110斤，买的S号，上衣我穿有点小了，裤子倒是挺宽松正好，冲着优衣库牌子买的，怎么感觉跟没有牌子卖的睡衣差不多阿，给个好评吧，下水穿过在来评价
c***0,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-16 01:40:00,好穿，但是171表示上衣偏大，裤子短
小***境,颜色分类:09 黑色;尺码:155/80A/S,2021-02-15 23:00:09,喜欢这个面料，码数也很合身！
l***5,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-15 19:37:12,五星好评
阿***2,颜色分类:69 藏青色;尺码:165/92A/XL,2021-02-14 21:12:34,舒适，有型，颜色选择太少，肤色暗沉的除了藏蓝色没有选择了不然再买一套。
x***白,颜色分类:69 藏青色;尺码:165/92A/XL,2021-02-14 21:06:30,等下了水来追评
风***4,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-02-14 18:50:14,好
郭***南,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-14 11:08:30,粘毛毛
妈***馆,颜色分类:69 藏青色;尺码:175/108C/XXXL,2021-02-14 07:34:35,挺薄的，品质不配这个价格啊！
l***e,颜色分类:09 黑色;尺码:160/84A/M,2021-02-14 03:08:26,舒服
x***9,颜色分类:09 黑色;尺码:155/80A/S,2021-02-13 14:07:50,不错
c***3,颜色分类:10 水粉色;尺码:170/100B/XXL,2021-02-13 08:57:20,非常舒服
c***3,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-02-13 08:57:20,非常舒服
s***i,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-12 15:35:56,差评，2.7到货，刚买就降价，还不补差价
栀***央,颜色分类:69 藏青色;尺码:160/84A/M,2021-02-12 15:24:57,好评
蹭***磨,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-09 21:34:39,很好
啊***得,颜色分类:69 藏青色;尺码:150/76A/XS,2021-02-09 16:55:21,有明显白色的压条印还是白色的，干搓是搓不掉的。烦躁！
骑***牛,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-09 16:20:46,好看呀
麦***花,颜色分类:69 藏青色;尺码:160/84A/M,2021-02-08 23:54:14,洗了穿身上才发现掉毛很严重，床单内裤上全部都是黑色的，联系多次客服，都没了音讯。200多的睡衣质量都这么差劲吗？写着上海发货，结果从赤峰发货？
爱***糖,颜色分类:69 藏青色;尺码:160/84A/M,2021-02-08 23:10:16,穿着好舒服！而且好看！准备再入手一套发现涨价了🤣
t***9,颜色分类:09 黑色;尺码:150/76A/XS,2021-02-08 19:42:49,非常合适，很喜欢
v***1,颜色分类:69 藏青色;尺码:165/92A/XL,2021-02-08 15:53:06,很喜欢
m***p,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-08 12:42:51,非常好非常好非常舒服非常舒服，适合！
长***o,颜色分类:69 藏青色;尺码:155/80A/S,2021-02-07 15:17:27,我穿着太舒服了 立刻给我妈买了一套 大家都觉得舒服又好穿！
嘟***猪,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-02-06 19:02:26,睡衣超好，柔软舒适不起球
t***2,颜色分类:09 黑色;尺码:160/88A/L,2021-02-06 16:12:46,是棉质的但是很垂顺。刚拿到手就试穿了一下。很喜欢！比想象中好～
维***2,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-06 15:50:10,质量很单薄，不值得249，劝退。 5天之内收到了，然后就降价50元，然后还没有差价保险，也是醉了&hellip;&hellip; 一生黑
r***g,颜色分类:69 藏青色;尺码:155/80A/S,2021-02-06 11:27:59,很棒
h***0,颜色分类:69 藏青色;尺码:155/80A/S,2021-02-05 20:54:53,还不错穿着蛮舒服
国***5,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-05 16:21:06,质量不错，就是码数买小了！洗了也没法换了！
h***1,颜色分类:09 黑色;尺码:175/108C/XXXL,2021-02-04 23:37:16,很舒服 就是黑色有点深蓝感
l***7,颜色分类:10 水粉色;尺码:160/84A/M,2021-02-04 23:21:41,太宽了点，有点薄
我***长,颜色分类:69 藏青色;尺码:165/92A/XL,2021-02-04 22:40:35,我老婆说穿的特别舒服，就是有点沾毛，总体来说挺满意
长***嗨,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-04 19:59:33,优衣库睡衣yyds！！！
放***i,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-04 19:35:15,刚收到打开会有味道，清洗后就没有了。藏青色耐看，显白。上身很舒服，就是上身合适，下身稍微有一点点长了。。。
小***p,颜色分类:10 水粉色;尺码:155/80A/S,2021-02-04 11:48:56,好
x***t,颜色分类:69 藏青色;尺码:165/92A/XL,2021-02-04 08:45:37,穿着舒适颜色有点显旧
张***0,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-04 06:38:57,挺好
t***4,颜色分类:69 藏青色;尺码:160/84A/M,2021-02-03 14:58:24,又买又退，第三次才买到合适的码，好在物有所值！真的超级舒服！！
z***子,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-02-03 13:23:46,有点儿薄，现在穿。
s***9,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-03 09:09:55,号码有点大 穿m就合适 但不知道洗完锁不锁水 穿大不穿小 质量挺好的 就是有白到 衣服折叠的地方有白痕
t***2,颜色分类:10 水粉色;尺码:175/108C/XXXL,2021-02-02 20:29:49,很舒服，妈妈很喜欢。
海***r,颜色分类:10 水粉色;尺码:160/84A/M,2021-02-02 11:46:05,很好👍
z***1,颜色分类:10 水粉色;尺码:165/92A/XL,2021-02-01 22:08:34,很舒服，就是买完就降价了
8***q,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-02-01 18:01:30,面料舒适，轻薄透气
l***5,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-01 17:13:38,料子很舒服，有点凉飕飕的。
橙***子,颜色分类:10 水粉色;尺码:165/92A/XL,2021-02-01 17:09:42,妈妈很喜欢
s***n,颜色分类:09 黑色;尺码:160/88A/L,2021-02-01 13:44:36,发货快，质量也不错，喜欢喜欢
s***5,颜色分类:09 黑色;尺码:160/84A/M,2021-02-01 09:20:54,不错
万***文,颜色分类:10 水粉色;尺码:170/100B/XXL,2021-01-31 23:29:19,尺寸拍错大了些，但穿着舒适
w***8,颜色分类:10 水粉色;尺码:160/84A/M,2021-01-31 23:10:45,棉质还行，还没穿
s***e,颜色分类:09 黑色;尺码:155/80A/S,2021-01-31 21:01:25,非常好看，舒服
无***8,颜色分类:09 黑色;尺码:175/108C/XXXL,2021-01-31 20:19:45,不明白为什么扣子是反方向的！
t***2,颜色分类:10 水粉色;尺码:160/84A/M,2021-01-31 17:25:57,质量有保证 继续关注
翼***玲,颜色分类:69 藏青色;尺码:165/92A/XL,2021-01-31 13:59:25,非常柔软的衣服 比较薄款，北方室内比较热的话推荐！
b***7,颜色分类:10 水粉色;尺码:160/84A/M,2021-01-30 20:40:55,很好
n***g,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-30 19:23:34,舒服，薄款
y***帆,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-30 16:45:12,挺好的
j***6,颜色分类:10 水粉色;尺码:155/80A/S,2021-01-30 15:19:26,不错 大小正好
爱***6,颜色分类:09 黑色;尺码:175/108C/XXXL,2021-01-30 15:02:09,前后买了两套，刚到没几天，降价了50元，跟客服沟通，说不给退差价！优衣库的好感都败没了。。衣服总体偏薄款，有轻微掉毛现象。
预***8,颜色分类:10 水粉色;尺码:160/88A/L,2021-01-30 13:44:58,纯绵的，非常舒服，值得信赖的牌子
j***8,颜色分类:10 水粉色;尺码:170/100B/XXL,2021-01-30 13:22:38,买大了，尺码很正规的。不退了在拍一套吧！
2***2,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-29 12:23:19,买了刚到，穿上发现破了，而且还降价了五十。为啥现在优衣库质量这么差？跟客服反映也没搭理我。
琉***6,颜色分类:69 藏青色;尺码:155/80A/S,2021-01-29 09:30:11,好
c***i,颜色分类:09 黑色;尺码:170/100B/XXL,2021-01-29 08:37:35,睡衣超喜欢，买的第二套
v***0,颜色分类:09 黑色;尺码:160/84A/M,2021-01-27 20:22:52,很满意！！！！！！！！
h***1,颜色分类:10 水粉色;尺码:155/80A/S,2021-01-27 16:55:46,穿着睡觉很舒服
天***1,颜色分类:09 黑色;尺码:175/108C/XXXL,2021-01-26 14:32:55,薄
夏***4,颜色分类:10 水粉色;尺码:150/76A/XS,2021-01-24 17:49:50,挺好的
一***7,颜色分类:09 黑色;尺码:155/80A/S,2021-01-24 15:52:46,偏薄款，布料还是舒服
胡***9,颜色分类:69 藏青色;尺码:165/92A/XL,2021-01-23 18:52:45,不错呀
v***0,颜色分类:69 藏青色;尺码:155/80A/S,2021-01-23 10:52:45,面料柔软舒适 尺码正常 想要宽松一点就买大一码 裤子腰部有拉绳 可随意调节松紧度
h***0,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-23 00:05:52,好评
长***o,颜色分类:69 藏青色;尺码:165/92A/XL,2021-01-22 23:09:17,超级好穿 非常显瘦 立刻又给我妈买了一件
t***1,颜色分类:69 藏青色;尺码:160/84A/M,2021-01-22 19:48:31,很喜欢😀
姜***0,颜色分类:10 水粉色;尺码:160/84A/M,2021-01-21 13:55:28,料子舒服，不错。袖子偏短。
亲***森,颜色分类:69 藏青色;尺码:165/92A/XL,2021-01-21 08:39:28,可以
m***兴,颜色分类:09 黑色;尺码:175/108C/XXXL,2021-01-20 07:40:23,很好
b***3,颜色分类:69 藏青色;尺码:155/80A/S,2021-01-19 21:35:43,可以，挺薄的
y***7,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-19 08:33:15,非常好👍非常舒服，特别好，面料巨棒
金***林,颜色分类:10 水粉色;尺码:160/84A/M,2021-01-17 20:23:22,冰冰凉的 柔软亲肤
c***i,颜色分类:09 黑色;尺码:175/108C/XXXL,2021-01-17 19:52:45,喜欢😘
y***o,颜色分类:69 藏青色;尺码:160/84A/M,2021-01-17 19:13:57,大小合适，纯棉布的，就是有点贵，好评
c***9,颜色分类:10 水粉色;尺码:160/84A/M,2021-01-14 00:38:59,好看又舒服 睡觉不束缚
t***7,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-09 18:27:00,很舒服
t***1,颜色分类:69 藏青色;尺码:165/92A/XL,2021-01-05 12:43:05,柔软舒适不掉色
t***1,颜色分类:10 水粉色;尺码:165/92A/XL,2021-01-05 12:43:05,柔软舒适
q***q,颜色分类:69 藏青色;尺码:160/84A/M,2021-01-03 18:30:59,去店里看到卖199
言***a,颜色分类:69 藏青色;尺码:165/95/L,2020-12-30 22:22:49,商品质量很好，值得购买，推荐推荐，物流特别快，款式很不错，推荐
浅***7,颜色分类:69 藏青色;尺码:165/95/L,2020-12-29 23:10:11,大牌范的家居服，优衣库面料就是好，睡觉穿巨舒适！准备再收两个颜色
