displayUserNick,auctionSku,rateDate,rateContent
w***8,颜色分类:69 藏青色;尺码:185/115/XXXL,2021-03-01 19:15:48,谢谢
t***3,颜色分类:69 藏青色;尺码:180/105/XL,2021-02-04 18:18:56,裤子很薄，穿着舒适
d***6,颜色分类:09 黑色;尺码:180/105/XL,2021-02-03 21:54:07,这裤子版型很棒，垂坠感。。99块值了
爽***买,颜色分类:69 藏青色;尺码:170/95/M,2021-02-03 14:36:34,还行 一米七165斤  9分当长裤穿 裤脚有点宽松
h***2,颜色分类:69 藏青色;尺码:165/90/S,2021-02-03 13:36:09,很软很舒适，版型很好
地***0,颜色分类:09 黑色;尺码:165/90/S,2021-02-03 09:04:51,挺薄的，不适合天气冷的时候穿
谢***8,颜色分类:09 黑色;尺码:170/95/M,2021-02-03 08:58:35,又轻又软，宽松舒服，薄款。
谢***8,颜色分类:69 藏青色;尺码:170/95/M,2021-02-03 08:58:35,孩子爸爸很喜欢，又轻又软，高170，67公斤，M码很宽松，如果想穿出九分裤的感觉，建议买S码。
奈***仔,颜色分类:69 藏青色;尺码:165/90/S,2021-02-03 08:51:35,宽松舒服
宫***嬲,颜色分类:69 藏青色;尺码:175/100/L,2021-02-02 19:51:43,同款给老公又买了一条。
t***9,颜色分类:69 藏青色;尺码:165/90/S,2021-02-02 15:15:42,同事喜欢，转手了。
佰***薇,颜色分类:69 藏青色;尺码:165/90/S,2021-02-01 18:40:29,一下子买了几条裤子，儿子喜欢
t***7,颜色分类:09 黑色;尺码:165/90/S,2021-02-01 14:44:16,真垃圾的东西，千万别买这个裤子，客服也跟个**一样，就会说那一句话，眼睛都**，起那么多球都说没有，真坑
e***c,颜色分类:09 黑色;尺码:170/95/M,2021-02-01 09:13:29,东西很快就收到了 质量很好 很合适使用 方便需要的时候就用上 物超所值
吴***a,颜色分类:69 藏青色;尺码:175/100/L,2021-01-31 22:52:27,布料有弹性很柔软，不过应该不耐穿的。
h***5,颜色分类:69 藏青色;尺码:165/90/S,2021-01-30 23:53:31,不错
j***i,颜色分类:09 黑色;尺码:175/100/L,2021-01-30 15:12:31,满分哈。很合适177  74kg正好
卑***白,颜色分类:69 藏青色;尺码:170/95/M,2021-01-26 18:28:46,试穿了下，穿着很舒服，还没穿出去看看
t***s,颜色分类:69 藏青色;尺码:165/90/S,2021-01-25 16:30:20,面料很柔软穿上去很舒服，休闲风满满
黄***6,颜色分类:69 藏青色;尺码:165/90/S,2021-01-25 15:42:54,很好女生穿的s刚好
z***8,颜色分类:09 黑色;尺码:165/90/S,2021-01-21 01:38:50,比灯芯绒款薄。173、64，大小合适
z***一,颜色分类:69 藏青色;尺码:185/110/XXL,2021-01-18 13:17:22,很好
骆***斗,颜色分类:69 藏青色;尺码:165/90/S,2021-01-08 10:06:38,此用户没有填写评论!
淘***名,颜色分类:09 黑色;尺码:170/95/M,2021-01-05 03:20:40,衣服不错啊 比较喜欢优衣库
z***4,颜色分类:09 黑色;尺码:170/95/M,2021-01-04 13:37:48,垃圾
y***j,颜色分类:09 黑色;尺码:185/110/XXL,2021-01-02 20:01:05,再次购买很舒服
y***j,颜色分类:69 藏青色;尺码:185/110/XXL,2021-01-02 19:30:45,买给老人168高180斤穿上合适给大家借鉴
s***d,颜色分类:09 黑色;尺码:165/90/S,2021-01-02 12:01:13,料子比较薄，但手感不错
j***嵘,颜色分类:09 黑色;尺码:180/105/XL,2020-12-31 13:04:22,裤子质量很好，很舒服
j***嵘,颜色分类:09 黑色;尺码:180/105/XL,2020-12-30 21:45:06,此用户没有填写评论!
卖***卖,颜色分类:69 藏青色;尺码:185/115/XXXL,2020-12-30 19:08:33,好評
夜***下,颜色分类:69 藏青色;尺码:170/95/M,2020-12-30 12:57:59,挺好
s***4,颜色分类:69 藏青色;尺码:175/100/L,2020-12-29 14:36:07,卖家商品不错，包裹严实，在运输过程中安全收货时商品完好，商品质量很好，感觉物超所值，是一次不错的交易，值得称赞的卖家，值得称赞的商品。
s***4,颜色分类:09 黑色;尺码:175/100/L,2020-12-29 14:36:07,卖家商品不错，包裹严实，在运输过程中安全收货时商品完好，商品质量很好，感觉物超所值，是一次不错的交易，值得称赞的卖家，值得称赞的商品。
c***o,颜色分类:09 黑色;尺码:170/95/M,2020-12-28 16:17:58,挺好看
y***5,颜色分类:69 藏青色;尺码:185/110/XXL,2020-12-28 15:38:25,喜欢，满意。
邓***7,颜色分类:09 黑色;尺码:165/90/S,2020-12-28 14:48:27,有点失望
陈***涛,颜色分类:09 黑色;尺码:175/100/L,2020-12-28 11:58:10,非常好！
q***0,颜色分类:09 黑色;尺码:175/100/L,2020-12-27 23:44:04,双十一的宝贝收到了，太惊喜了，质量非常好，性价比很高，真是出乎我的意料！
沉***擦,颜色分类:69 藏青色;尺码:170/95/M,2020-12-27 19:24:05,穿是真的好穿，起球也是真的起球
年***高,颜色分类:09 黑色;尺码:165/90/S,2020-12-27 13:13:08,喜欢
郑***宇,颜色分类:69 藏青色;尺码:170/95/M,2020-12-26 20:44:42,不错
l***e,颜色分类:69 藏青色;尺码:165/90/S,2020-12-25 15:28:12,不错
叽***飞,颜色分类:69 藏青色;尺码:165/90/S,2020-12-25 14:01:40,还可以，夏天穿
孙***浩,颜色分类:09 黑色;尺码:170/95/M,2020-12-25 12:16:03,垃圾 从家不差评 这个真是垃圾
小***逛,颜色分类:69 藏青色;尺码:180/105/XL,2020-12-25 09:42:54,双12确实很划算，买的这几款都很喜欢，大爱，质量也很好，就是码有点偏大，建议去实体店试尺寸，回来买买买。
t***7,颜色分类:09 黑色;尺码:170/95/M,2020-12-24 21:53:06,不错，和门店的一致
t***8,颜色分类:69 藏青色;尺码:175/100/L,2020-12-24 20:29:34,此用户没有填写评论!
星***迹,颜色分类:09 黑色;尺码:170/95/M,2020-12-24 19:25:25,很一般 感觉不值99元 特别薄，基本穿上几天就会起球了，，，退起啦太麻烦了，就这样吧 最多值25...
穿***鞋,颜色分类:69 藏青色;尺码:175/100/L,2020-12-24 11:48:11,价格便宜，质量还算可以，发货速度比较快，给个好评吧！
l***让,颜色分类:69 藏青色;尺码:185/120/XXXXL,2020-12-23 14:33:38,非常满意
晋***6,颜色分类:09 黑色;尺码:170/95/M,2020-12-23 12:46:52,太薄了
w***g,颜色分类:09 黑色;尺码:180/105/XL,2020-12-22 20:24:36,给老公买的 买大了 也挺单薄的 衣服厚度适合夏天
咿***g,颜色分类:09 黑色;尺码:175/100/L,2020-12-22 20:12:41,买了深蓝，又再买条黑的
r***k,颜色分类:69 藏青色;尺码:180/105/XL,2020-12-22 08:02:10,料子和舒适度不错
r***k,颜色分类:09 黑色;尺码:180/105/XL,2020-12-22 08:02:10,裤子不错
d***c,颜色分类:69 藏青色;尺码:185/110/XXL,2020-12-22 05:02:22,便宜又好看
w***平,颜色分类:09 黑色;尺码:170/95/M,2020-12-21 17:26:11,很舒服
求***姐,颜色分类:69 藏青色;尺码:180/105/XL,2020-12-21 17:01:21,第三条了，舒服。
七***立,颜色分类:69 藏青色;尺码:170/95/M,2020-12-21 14:42:11,还好，
a***6,颜色分类:69 藏青色;尺码:170/95/M,2020-12-21 11:47:06,居家好评，能做睡裤
s***2,颜色分类:69 藏青色;尺码:165/90/S,2020-12-21 11:27:37,很舒服显瘦，洗过一次未发现质量问题，降价时入手比较划算
t***4,颜色分类:69 藏青色;尺码:185/115/XXXL,2020-12-20 20:52:47,面料，唯一的缺点
怪***牙,颜色分类:09 黑色;尺码:170/95/M,2020-12-20 14:04:30,材质穿着挺舒服的，也挺薄的，就是裤管比较宽松，可能适合较温暖的时候穿
f***1,颜色分类:69 藏青色;尺码:165/90/S,2020-12-20 01:17:34,很舒服，就是薄得有点像睡裤
小***2,颜色分类:09 黑色;尺码:170/95/M,2020-12-20 00:27:25,在店里买的 穿着舒适 又在网上回购两条
d***魇,颜色分类:09 黑色;尺码:175/100/L,2020-12-19 18:59:58,默认好评
k***e,颜色分类:09 黑色;尺码:170/95/M,2020-12-19 17:30:41,在店里试过的，看搞活动就直接下单了，体验很棒，五星好评！
乔***婵,颜色分类:69 藏青色;尺码:170/95/M,2020-12-19 14:09:01,物美价廉
k***1,颜色分类:69 藏青色;尺码:185/115/XXXL,2020-12-19 11:35:47,很好
刘***1,颜色分类:09 黑色;尺码:180/105/XL,2020-12-18 22:54:17,很舒服
w***平,颜色分类:09 黑色;尺码:170/95/M,2020-12-18 22:09:58,好看
t***5,颜色分类:09 黑色;尺码:175/100/L,2020-12-18 19:17:04,很好看，上身不显腿粗
x***7,颜色分类:69 藏青色;尺码:170/95/M,2020-12-17 20:48:26,没啥好说的，就是赞
l***s,颜色分类:09 黑色;尺码:180/105/XL,2020-12-17 14:42:23,还不错，之前买过别的颜色的，黑色也很好看。
迈***禹,颜色分类:09 黑色;尺码:165/90/S,2020-12-17 12:10:15,优衣库向来没让我失望过
t***1,颜色分类:09 黑色;尺码:175/100/L,2020-12-16 23:32:22,穿着很舒服，软软的，很满意。
钢***弟,颜色分类:69 藏青色;尺码:170/95/M,2020-12-16 18:25:21,舒服呀
夏***笑,颜色分类:09 黑色;尺码:170/95/M,2020-12-16 16:10:58,此用户没有填写评论!
千***千,颜色分类:69 藏青色;尺码:175/100/L,2020-12-16 14:55:58,很好很合身很舒服很赞
咖***k,颜色分类:69 藏青色;尺码:185/110/XXL,2020-12-16 13:31:17,不错哒
t***3,颜色分类:69 藏青色;尺码:180/105/XL,2020-12-16 08:33:39,非常好
充***生,颜色分类:69 藏青色;尺码:180/105/XL,2020-12-15 23:09:59,裤子还可以，很软，不像牛仔裤也不像西裤那种布料，反正穿起来还有点舒适。
榕***8,颜色分类:69 藏青色;尺码:170/95/M,2020-12-15 22:29:21,配送速度快，服务态度好，东西不错。
c***4,颜色分类:09 黑色;尺码:165/90/S,2020-12-15 22:21:27,面料柔软舒适，版型好，不算太薄，适合春秋穿
c***4,颜色分类:69 藏青色;尺码:165/90/S,2020-12-15 22:21:27,特别喜欢，女的当长裤穿也OK，弹性很大，颜色漂亮，平时女装XL**，这条S码就合适
c***8,颜色分类:09 黑色;尺码:180/105/XL,2020-12-15 12:01:11,面料很舒服，柔软，适合春秋穿，但配的腰带太丑，准备换一根。
k***8,颜色分类:09 黑色;尺码:170/95/M,2020-12-14 17:44:41,挺好挺舒服的
非***家,颜色分类:09 黑色;尺码:180/105/XL,2020-12-14 15:07:26,不错，看起来像牛仔裤，穿起来超舒服
陈***澎,颜色分类:09 黑色;尺码:165/90/S,2020-12-14 10:55:11,容易起球，总体不错
m***3,颜色分类:69 藏青色;尺码:170/95/M,2020-12-13 20:07:16,比较薄 适合居家穿
李***2,颜色分类:09 黑色;尺码:175/100/L,2020-12-13 18:58:36,趁便宜入手
t***1,颜色分类:09 黑色;尺码:170/95/M,2020-12-13 07:47:57,非常🉑️，很舒服外穿或者做睡裤都是很好
t***6,颜色分类:09 黑色;尺码:170/95/M,2020-12-13 01:01:37,原价149块钱买了两条回来，觉得合适就剪了吊牌，结果才过了几天回头再看，降价了三分之一，只卖99块钱了？！也不保价的，我**再也不会买你家原价的衣服了！！！！！！🙂
幸***a,颜色分类:69 藏青色;尺码:165/90/S,2020-12-12 23:23:37,裤子还可以，穿起来挺舒服的，就是稍稍有点小贵。
幸***a,颜色分类:09 黑色;尺码:165/90/S,2020-12-12 23:23:37,裤子还可以，穿起来挺舒服的，就是稍稍有点小贵。
b***9,颜色分类:09 黑色;尺码:170/95/M,2020-12-12 19:21:51,不错，秋季买过一条藏蓝色的，再买一条黑的。
0***0,颜色分类:09 黑色;尺码:170/95/M,2020-12-12 17:12:30,"nn裤子质量很好,🚗很舒适,面料摸起来手感🏄也不错。很舒服,面料👯质感满意,上身效果不📹错。很显瘦,穿着合适📁,材质很不错。还比实🌎体店便宜,颜色非常好🌷看。尺寸合适。裤子非🎥常舒服,非常有特色的📂裤子,"
h***0,颜色分类:09 黑色;尺码:175/100/L,2020-12-12 15:03:25,比较薄 裆很大 感觉适合家里穿 而且是化纤，感觉会比较容易沾灰
c***w,颜色分类:09 黑色;尺码:165/90/S,2020-12-12 13:19:11,好评
c***w,颜色分类:69 藏青色;尺码:165/90/S,2020-12-12 13:19:11,好评
贺***e,颜色分类:09 黑色;尺码:165/90/S,2020-12-11 19:11:55,好
贺***e,颜色分类:69 藏青色;尺码:165/90/S,2020-12-11 19:11:55,好
y***4,颜色分类:69 藏青色;尺码:170/95/M,2020-12-11 14:01:27,此用户没有填写评论!
西***狼,颜色分类:69 藏青色;尺码:175/100/L,2020-12-11 13:29:25,这个颜色款式都很好，就是太薄了。不适合秋冬的。
t***3,颜色分类:69 藏青色;尺码:165/90/S,2020-12-11 08:45:46,好东西
s***0,颜色分类:69 藏青色;尺码:175/100/L,2020-12-11 02:04:42,好穿 但感觉容易变形
s***0,颜色分类:09 黑色;尺码:175/100/L,2020-12-11 02:04:42,好穿 但感觉容易变形
a***9,颜色分类:69 藏青色;尺码:180/105/XL,2020-12-10 18:06:02,不错
求***姐,颜色分类:69 藏青色;尺码:180/105/XL,2020-12-10 07:21:06,这款裤子舒适度很好，不过布面材质有点勾线款，非常怕钩挂，会出来很长的线头。
d***r,颜色分类:69 藏青色;尺码:180/105/XL,2020-12-10 00:50:36,为啥我在实体店试了加大刚好，买回来发现加大有丶长。。
t***7,颜色分类:09 黑色;尺码:180/105/XL,2020-12-09 20:27:33,good
t***n,颜色分类:69 藏青色;尺码:165/90/S,2020-12-09 14:17:35,穿了2天还没洗就2侧磨毛严重 问了客服一问三不理 非常失望
倒***9,颜色分类:69 藏青色;尺码:185/110/XXL,2020-12-09 11:03:13,刚好适合。
a***4,颜色分类:09 黑色;尺码:170/95/M,2020-12-08 19:43:29,还可以，本人172/70kg，选的M，比较薄夏天合适
肥***哒,颜色分类:69 藏青色;尺码:170/95/M,2020-12-07 17:37:30,💌终于对它下手了，颜值是真的没话说❤，材质很好，物美价廉，趁活动赶紧囤起来
l***5,颜色分类:69 藏青色;尺码:170/95/M,2020-12-07 11:57:07,一般般吧，有点个肥，穿着确实挺舒服
邓***霞,颜色分类:09 黑色;尺码:170/95/M,2020-12-07 10:07:39,非常满意
欧***立,颜色分类:09 黑色;尺码:180/105/XL,2020-12-06 21:23:25,不错
t***3,颜色分类:09 黑色;尺码:170/95/M,2020-12-06 10:57:04,99块，质量有点差，穿了三四天就开始出现勾线了。
钟***邦,颜色分类:69 藏青色;尺码:170/95/M,2020-12-06 10:06:42,很喜欢
w***7,颜色分类:69 藏青色;尺码:175/100/L,2020-12-06 07:15:56,喜欢
w***7,颜色分类:09 黑色;尺码:175/100/L,2020-12-06 07:14:31,很喜欢
m***花,颜色分类:09 黑色;尺码:175/100/L,2020-12-06 05:07:03,此用户没有填写评论!
居***6,颜色分类:09 黑色;尺码:170/95/M,2020-12-05 23:11:36,这条裤子真的无敌巨显瘦 而且十分舒适 不买***哈哈哈哈（强烈推荐
q***5,颜色分类:09 黑色;尺码:170/95/M,2020-12-05 18:38:32,这么多年，我买东西，评论都是很认真的，应该称得上良心买家。我能好评尽量好评，能5分尽量5分。知道卖家也不容易。
t***1,颜色分类:09 黑色;尺码:165/90/S,2020-12-05 14:49:27,洗一次就這樣 客服不靠譜處理很囉嗦
梦***客,颜色分类:09 黑色;尺码:165/90/S,2020-12-05 11:57:09,很薄啊，感觉不划算了
漂***8,颜色分类:09 黑色;尺码:180/105/XL,2020-12-05 03:47:02,容易拉丝，穿一次就抽丝了
漂***8,颜色分类:69 藏青色;尺码:180/105/XL,2020-12-05 03:45:51,容易抽丝
风***6,颜色分类:09 黑色;尺码:170/95/M,2020-12-04 21:39:30,可以买偏小一码数的，我买的感觉有点大了
经***生,颜色分类:69 藏青色;尺码:170/95/M,2020-12-04 18:53:58,一般吧 挺薄的
可***雅,颜色分类:09 黑色;尺码:175/100/L,2020-12-04 14:03:58,裤型很好，给男朋友买的，穿起来显得腿又直又长，买的时候超级优惠，质量很好，穿到现在还没有出现任何起球，磨损的现象，很好。还会回购
j***5,颜色分类:09 黑色;尺码:165/90/S,2020-12-04 13:21:01,太薄了看到男朋友穿的 感觉他好冷
k***e,颜色分类:69 藏青色;尺码:180/105/XL,2020-12-03 20:18:25,不错
德***影,颜色分类:09 黑色;尺码:175/100/L,2020-12-03 16:03:50,这个裤子真的很容易勾线，啥都没挂到都勾线了，另外裤子比较薄 185，体重75㎏买这个码刚刚好合适
c***0,颜色分类:69 藏青色;尺码:165/90/S,2020-12-02 22:54:37,宝贝非常棒，是自己想要的那种风格，到货也很快，谢谢老板，服务五颗星
金***9,颜色分类:09 黑色;尺码:175/100/L,2020-12-02 12:22:14,裤子质量很好，柔软舒适，就是很薄，很薄
h***0,颜色分类:69 藏青色;尺码:175/100/L,2020-12-02 01:17:07,老公之前在线下实体店试过很舒服，便关注了，这次趁着双十一有优惠就毫不犹豫地拍下，也很适合大广东最近的气候穿，赞赞赞～
t***8,颜色分类:09 黑色;尺码:175/100/L,2020-12-01 18:00:30,可以
腐***人,颜色分类:69 藏青色;尺码:170/95/M,2020-12-01 15:27:53,刚穿第一天就起球 掉线 极度糟糕的一次购物体验 差评安排上了
i***4,颜色分类:69 藏青色;尺码:180/105/XL,2020-12-01 15:09:30,此用户没有填写评论!
l***4,颜色分类:09 黑色;尺码:175/100/L,2020-12-01 11:41:07,衣服材质感觉挺好的，穿上之后也挺舒适的，就是有一个问题，这个裤子的松紧带应该是坏了的，穿上基本就掉下来，如果没有那根裤带绳子，基本没法穿，但系了绳子，又有点勒腰，舒适感就降低很多了，因为穿了两天，实在受不了就没穿了，联系客服，客服应该是比较忙吧，回复的时候我又不在线，所以错过了七天无理由退货。后来说给我联系专员，等了专员三天，又自动收货了，还是没法退换货，也没有说裤带松是否是正常，无法处理。以上是如实的体验感受，感受不太好。优衣库是大店，客服比较忙，专员也比较忙，都能拖到过了七天无理由退款，自动收货后给你答复，而且还是没有建设性的答复，以上属实。
h***e,颜色分类:09 黑色;尺码:170/95/M,2020-12-01 11:10:23,设计师觉得很好的今生今世纠结啊
希***亚,颜色分类:09 黑色;尺码:170/95/M,2020-11-30 21:51:35,有点薄
w***6,颜色分类:09 黑色;尺码:165/90/S,2020-11-30 20:42:56,裤子质量不错，大品牌值得信赖！
j***5,颜色分类:09 黑色;尺码:170/95/M,2020-11-30 20:02:49,裤子很软，穿上效果有点亮亮的，但是不骚，很稳重的感觉
嘟***薰,颜色分类:09 黑色;尺码:170/95/M,2020-11-30 16:19:30,好
小***泓,颜色分类:69 藏青色;尺码:175/100/L,2020-11-30 15:47:49,好
肥***呆,颜色分类:69 藏青色;尺码:185/115/XXXL,2020-11-29 23:04:16,很舒服，感觉这种材质很柔软第一次尝试很惊喜很舒服，还不会褶皱。
超***丞,颜色分类:69 藏青色;尺码:170/95/M,2020-11-29 18:44:43,薄薄的质感很舒服，很显瘦，我大腿粗也遮住了
幻***字,颜色分类:69 藏青色;尺码:170/95/M,2020-11-29 18:03:01,"裤子很宽松，不厚，173cm,145斤穿m码合适"
幻***字,颜色分类:09 黑色;尺码:170/95/M,2020-11-29 18:03:01,"裤子很宽松，不厚，173cm,145斤穿m码合适"
x***7,颜色分类:09 黑色;尺码:170/95/M,2020-11-29 17:32:33,一如既往的质量还可以。
s***c,颜色分类:69 藏青色;尺码:165/90/S,2020-11-29 16:21:29,裤子很棒很柔软
m***3,颜色分类:09 黑色;尺码:180/105/XL,2020-11-29 12:10:29,喜欢！肥瘦合适！长度也合适！太喜欢了 合适时秋天穿，不冷不热
j***涵,颜色分类:69 藏青色;尺码:175/100/L,2020-11-29 09:55:48,东西挺好的 码数合适 跟平常买的差不多 会继续支持
白***x,颜色分类:09 黑色;尺码:165/90/S,2020-11-29 08:52:38,店里试过
白***x,颜色分类:09 黑色;尺码:175/100/L,2020-11-29 08:52:38,店里试过
