displayUserNick,auctionSku,rateDate,rateContent
j***2,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-24 20:24:14,面料舒服，百搭
不***a,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-06 09:32:57,面料材质：柔软 有点透，不是非常厚实
碟***l,颜色分类:09 黑色;尺码:155/80A/S,2021-02-05 19:28:35,柔软舒适，优家衣服买不够
l***a,颜色分类:09 黑色;尺码:155/80A/S,2021-02-05 19:03:11,线下没看到卖的，这个羊绒还算舒服，就是脖子那儿有点儿扎
米***1,颜色分类:69 藏青色;尺码:155/80A/S,2021-02-05 12:05:37,毛衣很软糯，买的S码，很贴身，正合适 不厚
诸***8,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-04 19:59:44,买大了一个号，怕缩水，大小合适。就是挺薄的，毕竟价格在那里
醉***林,颜色分类:09 黑色;尺码:160/88A/L,2021-02-04 16:53:30,好穿，手洗了一次没什么问题，羊绒真的手感太好了，穿过就不想再穿其他的。黑色高领很好看，穿上感觉自己也可以请丁海寅吃顿饭（想*吃） 我168/50，穿m正合身，穿l号是稍宽松的感觉，（其实s也能穿）
s***9,颜色分类:31 米色;尺码:165/92A/XL,2021-02-04 16:15:13,这款偏小
l***5,颜色分类:31 米色;尺码:160/88A/L,2021-02-04 09:55:57,颜色漂亮，大小合适
西***漠,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-04 09:26:49,贵了
笨***a,颜色分类:45 柠檬黄色;尺码:165/92A/XL,2021-02-04 03:57:25,399就还行
丨***柚,颜色分类:09 黑色;尺码:160/84A/M,2021-02-03 22:30:34,较薄。买了天气就变暖和了！！还没机会穿
张***r,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-03 18:38:06,还不出去比较薄，但是有筋骨，还没穿不知道起球不
y***x,颜色分类:09 黑色;尺码:155/80A/S,2021-02-03 18:23:04,挺好看，百搭，暖和
j***3,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-03 17:23:02,轻软保暖，非常舒服。170，65kg。
h***2,颜色分类:31 米色;尺码:160/84A/M,2021-02-03 14:40:59,此用户没有填写评论!
晚***烟,颜色分类:08 深灰色;尺码:160/88A/L,2021-02-03 12:35:58,给妈妈买的，妈妈很喜欢&hellip;衣服摸着很软和，手感很好&hellip;
t***1,颜色分类:02 浅灰色;尺码:155/80A/S,2021-02-02 22:16:06,买了白色的后又回购灰色的，好穿好看
t***1,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-02 21:52:55,是我喜欢的颜色，保暖性好，穿上身舒适度👌
i***n,颜色分类:09 黑色;尺码:160/84A/M,2021-02-02 13:24:16,看了评价特意买大一号，果然偏小，有点担心洗过以后缩水。非常软糯保暖性好，应该是羊绒。经典款百搭
n***p,颜色分类:39 棕黑色;尺码:165/92A/XL,2021-02-02 06:12:30,好
一***酒,颜色分类:45 柠檬黄色;尺码:170/100B/XXL,2021-02-01 19:06:10,很好，买了多件，这件稍微有点儿扎，颜色不是正黄，确是姜黄。
小***7,颜色分类:09 黑色;尺码:155/80A/S,2021-02-01 17:16:14,优衣库质量应该还是信得过吧
小***9,颜色分类:09 黑色;尺码:160/84A/M,2021-02-01 13:36:44,整体评价：衣服很好，看了几天才买到
漓***当,颜色分类:09 黑色;尺码:160/84A/M,2021-02-01 11:36:41,可以买大一号，质量可以
l***3,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-01 11:00:53,宝贝柔软，手感非常好，可亲肤穿，就是不知道缩水不？
t***9,颜色分类:45 柠檬黄色;尺码:155/80A/S,2021-01-31 21:39:51,摸上去还算柔软，这个价格可以了。不错！
s***e,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-31 20:58:06,面料材质：有点小失望，与我其他的羊绒衫比起来，滑滑凉凉还有点扎，并不亲肤
h***5,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-31 19:18:47,白色薄透，但软和，穿着舒服，年货节便宜好多，值了。
m***9,颜色分类:09 黑色;尺码:160/84A/M,2021-01-31 17:12:00,好
东***猪,颜色分类:39 棕黑色;尺码:160/84A/M,2021-01-31 13:22:33,非常薄，也懒得退了，凑合穿吧
l***r,颜色分类:09 黑色;尺码:155/80A/S,2021-01-31 11:22:20,广东湿冷的天气确实顶不住了 狠下心买下来只穿了一次 因为买回来后广东的天气再没有冷过了 心累
c***1,颜色分类:09 黑色;尺码:160/88A/L,2021-01-30 21:12:36,稍微有点薄，故意买大了码数，可以在里面穿厚一点，下水后希望不要变形。
c***7,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-30 19:26:37,起静电严重，羊绒？
l***1,颜色分类:31 米色;尺码:155/80A/S,2021-01-30 15:30:59,非常好搭衣服，399，又重新买了灰色的，
乐***7,颜色分类:09 黑色;尺码:155/80A/S,2021-01-30 14:33:34,还好～
q***6,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-30 10:29:49,还不错还不错还不错还不错还不错还不错
s***9,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-30 08:10:11,掉毛，特别薄，这些年买的优衣库衣服最差的一件
t***6,颜色分类:08 深灰色;尺码:160/88A/L,2021-01-29 20:10:11,薄厚适中，号挺准的，看评论说偏小，结果买大了，颜色挺好，穿着舒适。
l***8,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-29 12:13:01,不错，配衣服很好
车***0,颜色分类:09 黑色;尺码:160/84A/M,2021-01-29 10:29:36,偏薄了些，399的价格还是不错的
l***9,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-29 09:46:02,薄
h***0,颜色分类:02 浅灰色;尺码:160/84A/M,2021-01-28 22:57:36,很不错的羊绒衫~~有半高领的就更好了
w***8,颜色分类:31 米色;尺码:160/84A/M,2021-01-28 14:53:57,薄，颜色还可以吧
z***0,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-28 14:31:49,质量不错
5***e,颜色分类:09 黑色;尺码:160/84A/M,2021-01-28 11:06:45,挺好的
8***酒,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-28 09:03:41,先买了件米色，因为好穿好搭，所以又买了黑色和白色，米色比其他两件略大一丢丢（如图1）。因为没贴身穿，到货的时候衣服也没有头发香水味之类的，所以买来没洗就穿了，每件大概都穿了三四回这样，昨天忍不住洗了白色那件，细节：冷水手洗、羊毛专用洗衣液、金纺浸泡、400转速甩干。好家伙！拿出来的时候我感觉400快就这么没了，立刻蒸汽熨烫让衣服复原，今天干了，拿来跟黑色的比了比，还是短了（如图2），又烫了一回，终于差不多了（如图3），天啊！洗件衣服很伺候孙子似的，真是人傻钱多！
h***1,颜色分类:09 黑色;尺码:155/80A/S,2021-01-28 08:16:50,还可以就是有点薄吧！又买了一件白色性价比一般感觉会起球！
白***6,颜色分类:08 深灰色;尺码:155/80A/S,2021-01-27 22:42:27,面料舒服，紧身版型，比较薄，但这个价买到已经很划算啦，喜欢😘
七***6,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-27 16:45:03,好
j***陌,颜色分类:09 黑色;尺码:155/80A/S,2021-01-27 15:25:41,去年给自己买了三件，给爸妈买了两件。今年又给自己囤了四件，给爸妈又买了两件。可见他的性价比有多高。去年给自己买了三件，给爸妈买了两件。今年又给自己囤了四件，给爸妈又买了两件。可见这个羊绒的性价比有多高。 我的身高体重：161、44，去年买的XS，正好。今年的XS比去年小了一些，拍S码也可以。
j***陌,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-27 15:25:41,去年给自己买了三件，给爸妈买了两件。今年又给自己囤了四件，给爸妈又买了两件。可见他的性价比有多高。去年给自己买了三件，给爸妈买了两件。今年又给自己囤了四件，给爸妈又买了两件。可见这个羊绒的性价比有多高。
0***g,颜色分类:31 米色;尺码:165/92A/XL,2021-01-27 12:32:35,感觉没有去年买的好，总体还好吧
静***萱,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-27 11:56:15,挺好的
五***夕,颜色分类:09 黑色;尺码:160/84A/M,2021-01-27 09:58:35,暖和，很好穿！
j***9,颜色分类:09 黑色;尺码:160/84A/M,2021-01-27 08:38:49,款式简洁大方质化
郭***生,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-27 00:30:47,胜在性价比高，冬天内搭真少不了，已经买了三个颜色了
郭***生,颜色分类:02 浅灰色;尺码:160/84A/M,2021-01-27 00:30:47,胜在性价比高，冬天内搭真少不了，已经买了三个颜色了
c***7,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-26 22:54:48,去年买了件红色的，好穿柔软，今年入件白色的。好看。
y***n,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-26 21:30:58,活动买的，质量不错
f***u,颜色分类:39 棕黑色;尺码:160/88A/L,2021-01-26 17:49:04,此用户没有填写评论!
摩***兹,颜色分类:02 浅灰色;尺码:160/84A/M,2021-01-26 16:08:04,偶尔刷到的M码灰色、价格合适就入了、很保暖
王***留,颜色分类:45 柠檬黄色;尺码:155/80A/S,2021-01-26 15:31:40,很好，喜欢，实惠！
小***4,颜色分类:02 浅灰色;尺码:160/84A/M,2021-01-26 15:26:40,超级爱
宝***哥,颜色分类:09 黑色;尺码:155/80A/S,2021-01-26 14:50:24,喜欢。
彩***2,颜色分类:09 黑色;尺码:160/84A/M,2021-01-26 13:25:54,比较薄，160/55合适，满意
爱***y,颜色分类:09 黑色;尺码:160/88A/L,2021-01-26 13:12:42,不是很厚的，但高龄还是比较暖，黑色百搭，好看
苹***8,颜色分类:31 米色;尺码:160/88A/L,2021-01-26 12:12:47,去年也买过两件，同样尺码今年比去年小
苹***8,颜色分类:09 黑色;尺码:160/88A/L,2021-01-26 12:12:47,去年也买过两件，同样尺码今年比去年小
z***t,颜色分类:02 浅灰色;尺码:165/92A/XL,2021-01-26 11:14:39,很好！
娟***2,颜色分类:09 黑色;尺码:160/84A/M,2021-01-26 07:41:23,很少评价，这次非得给，羊绒衫质量好，穿着很温暖！良心价！先买了一件，觉得好又补了一件，就是喜欢的色颜没有我穿的码号了。
g***3,颜色分类:31 米色;尺码:165/92A/XL,2021-01-25 21:28:11,穿上美美哒
向***6,颜色分类:02 浅灰色;尺码:160/84A/M,2021-01-25 21:06:38,作为基础打底的羊绒衫，款式简单大方好搭配衣服，面料轻薄，柔软顺滑有弹性，穿上还是挺舒服的，保暖不扎，性价比高，值得入手！
禁***笑,颜色分类:09 黑色;尺码:155/80A/S,2021-01-25 20:16:37,可以，绒绒的很暖和，应该买大一号的
宋***2,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-25 19:33:29,很好买了5个颜色
宋***2,颜色分类:31 米色;尺码:160/88A/L,2021-01-25 19:33:28,很好，买了5个颜色
t***8,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-25 19:03:04,贵
r***n,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-25 19:02:13,毛衣领口有个开线断线的洞。本想退货，但已经下架买不到了，只能自己缝补了一下。
c***4,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-25 12:35:56,还行，原价的话我是不会买的，打折入手还能接受
t***1,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-25 12:28:18,很温柔无瑕疵 平时穿s，看评论说码小买了m，大了 百搭 很薄，白色微透 总之很喜欢
甜***n,颜色分类:09 黑色;尺码:160/84A/M,2021-01-25 08:29:05,发货快质量好
p***y,颜色分类:02 浅灰色;尺码:155/80A/S,2021-01-25 01:42:55,好评
t***5,颜色分类:02 浅灰色;尺码:160/88A/L,2021-01-24 19:51:51,领子再低一点就好了，161/56-57，穿着很宽松 感觉再小一码应该可以，灰色不透，不是很干净的灰色是有点杂色的那种，同时买了一件白色，实在太透了，退了，质地还算软糯，性价比较高，平时内搭一下可以
h***w,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-24 19:17:37,满意
主***猫,颜色分类:02 浅灰色;尺码:155/80A/S,2021-01-24 15:28:00,和往年的比，1是薄了，没那么保暖，2是领子改成比较松和薄的织法，还是没那么保暖，所以不是很满意
y***5,颜色分类:31 米色;尺码:165/92A/XL,2021-01-24 10:32:35,今年一口气收了三件不同款式的米色，可以搭配穿戴。☺️
李***米,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-24 10:13:15,质量不错，但是没有去年的厚，白色有点透，不建议买，可以买灰色的
t***8,颜色分类:09 黑色;尺码:155/80A/S,2021-01-24 02:18:32,整体评价：非常好，好搭配，轻柔保暖 版型风格：基础款 面料材质：全山羊绒 我的身高体重：157/50kg
宝***2,颜色分类:45 柠檬黄色;尺码:160/84A/M,2021-01-24 01:02:43,好
f***n,颜色分类:09 黑色;尺码:160/84A/M,2021-01-23 21:28:31,很好，性价比超高。
r***e,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-23 21:05:28,毛衣手感很好，厚度尚可，性价比超高，这次一共在优家买了四件毛衣，水洗以后都没有缩水变形，质量不错。
y***戚,颜色分类:31 米色;尺码:165/92A/XL,2021-01-23 18:48:20,今年尺码偏小，每年都会添几件，挺好的。
李***m,颜色分类:09 黑色;尺码:155/80A/S,2021-01-23 17:23:57,整体评价：很好 版型风格：修身 面料材质：非常柔软 我的身高体重：150 / 45
x***d,颜色分类:09 黑色;尺码:155/80A/S,2021-01-23 16:47:17,去年买过的穿了没起球，希望今年买的一样好
一***绿,颜色分类:02 浅灰色;尺码:160/84A/M,2021-01-23 13:51:07,喜欢，终于买到了一件合适的
茉***6,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-23 08:07:13,柔软，但除了高领部分，其余部分确实薄，白色显透。刚收到的衣服拿出来有明显静电，399元也就是400元的价位我觉得还是偏贵了，至于之前买699元简直是虚高。
上***臂,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-22 18:09:56,优家的羊绒衫购买多次了，性价比高，基础款，穿着也挺保暖的
w***0,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-22 09:12:20,"真的超级喜欢，非常支持，质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。"
雪***树,颜色分类:31 米色;尺码:160/84A/M,2021-01-21 20:26:03,很满意
雪***树,颜色分类:09 黑色;尺码:160/84A/M,2021-01-21 20:25:29,非常满意，买了好多件了
t***2,颜色分类:31 米色;尺码:155/80A/S,2021-01-21 18:22:08,挺暖的，较薄！
天***点,颜色分类:09 黑色;尺码:160/84A/M,2021-01-21 16:57:38,打底经典款，羊绒衫正常的厚薄，穿上觉得柔软舒适比较保暖，M号对我来说有点宽松，袖子偏长。
张***蓉,颜色分类:09 黑色;尺码:160/88A/L,2021-01-21 16:42:09,多次购买值得信赖
t***8,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-21 15:17:02,好看百搭
b***y,颜色分类:02 浅灰色;尺码:155/80A/S,2021-01-21 13:40:32,第二件了，超值，力荐
奶***1,颜色分类:45 柠檬黄色;尺码:155/80A/S,2021-01-20 10:26:26,很亮的颜色做内搭调换不错！
l***l,颜色分类:31 米色;尺码:155/80A/S,2021-01-20 09:25:57,毛衣大小尺码合适，颜色比图片上的略暗，也蛮好看！
a***8,颜色分类:31 米色;尺码:160/84A/M,2021-01-19 22:03:16,很好
沙***m,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-19 21:18:15,没有去年买的好，手感不及之前的柔软。还特别静电，单拿着衣服都噼里啪啦的静电！
y***0,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-19 15:52:48,白色很漂亮
依***0,颜色分类:09 黑色;尺码:155/80A/S,2021-01-19 14:58:53,穿一天，起那么多毛球
温***豆,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-19 09:55:03,160，105斤，大小合适。前年也是活动价买了灰色和米色，今年买了白色，感觉今年这件白色的静电较大。
t***6,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-18 19:54:01,就是看到
若***草,颜色分类:31 米色;尺码:160/84A/M,2021-01-18 18:07:35,真香，第二件了
杨***儿,颜色分类:09 黑色;尺码:160/84A/M,2021-01-18 17:05:54,第一次洗掉毛掉得厉害！这款比圆领的厚！
幸***爱,颜色分类:39 棕黑色;尺码:160/84A/M,2021-01-18 13:31:57,优衣库的羊绒衫挺好穿的，这是高龄系列买的第三件了，都是399入手的，没蹲过299，看之后有没有机会，前面买了红色s，深灰色s，这次入了棕红色m，有宽松一点，不会特别的修身，这次材质摸起来便硬呢，没有之前买的深灰色和红色来的软糯，不过也是很保暖的，内搭挺适合的
橙***柚,颜色分类:39 棕黑色;尺码:160/88A/L,2021-01-18 10:52:10,好
f***g,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-18 10:19:31,太单薄了，还透明。退了。
傲***7,颜色分类:09 黑色;尺码:160/88A/L,2021-01-18 09:24:10,171，58，买L码打底穿正合适。XL腋下太宽松了，搭西装不好看。
傲***7,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-18 09:22:12,之前试过Xl码，太大了不适合打底穿。L码更修身。 面料材质：白色特别软。买了黑白各一件，黑色稍硬。 我的身高体重：171cm，58kg
安***顿,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-17 15:38:17,白色属于百搭款，用料可以，折扣后和前几年价格差不多。
安***顿,颜色分类:31 米色;尺码:160/84A/M,2021-01-17 15:38:17,优衣库的羊绒衫属于经典款，用料不错，各种颜色内搭都很好，今年入了米色和白色。
a***n,颜色分类:31 米色;尺码:160/88A/L,2021-01-17 14:15:23,挺好的
k***2,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-17 10:44:36,划算
t***6,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-17 10:08:25,第二件，好
d***m,颜色分类:02 浅灰色;尺码:160/88A/L,2021-01-17 07:51:17,柔软舒适
m***u,颜色分类:02 浅灰色;尺码:160/84A/M,2021-01-16 22:40:07,颜色好看，奇怪今年居然灰色有剩，质地还好，性价比很高，推荐
t***8,颜色分类:39 棕黑色;尺码:160/84A/M,2021-01-16 21:08:03,除了贵无他
b***i,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-16 20:32:16,此用户没有填写评论!
白***光,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-15 13:20:20,第二次买了
t***2,颜色分类:31 米色;尺码:160/84A/M,2021-01-15 13:14:25,颜色很好看
w***9,颜色分类:09 黑色;尺码:155/80A/S,2021-01-15 08:35:49,式样好，穿着舒适
t***0,颜色分类:09 黑色;尺码:160/88A/L,2021-01-15 08:29:11,质量非常好，每年都会买
菲***3,颜色分类:09 黑色;尺码:160/84A/M,2021-01-14 14:27:53,每年都买，又薄又暖重点丢洗衣机洗不起球不缩水哈哈哈哈，这么优秀的衣服怎能不爱
李***子,颜色分类:31 米色;尺码:165/92A/XL,2021-01-14 08:22:48,很好看很柔软。
y***a,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-14 07:17:18,面料材质：不如前几年的软糯了
c***a,颜色分类:09 黑色;尺码:160/84A/M,2021-01-13 18:28:36,每年一件，性价比高
f***4,颜色分类:09 黑色;尺码:155/80A/S,2021-01-13 17:51:56,轻盈保暖
m***e,颜色分类:31 米色;尺码:160/88A/L,2021-01-13 14:43:08,不错
a***z,颜色分类:08 深灰色;尺码:160/88A/L,2021-01-13 13:42:36,毛衣很好，买大一码，合适
童***3,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-13 13:29:16,第一次买的一件黑色挺好的，又加购了两件，结果质量完全不一样，特别薄最主要还是领子那里很容易塌下去
f***7,颜色分类:08 深灰色;尺码:155/80A/S,2021-01-13 13:26:06,衣服确实比去年薄一些，质量还是可以
t***1,颜色分类:31 米色;尺码:160/88A/L,2021-01-12 21:15:41,行
小***四,颜色分类:09 黑色;尺码:155/80A/S,2021-01-12 21:08:19,衣服不错
小***爱,颜色分类:39 棕黑色;尺码:160/84A/M,2021-01-12 19:04:37,买过多次，质量依然很好。100斤160厘米，m刚刚好。
t***0,颜色分类:69 藏青色;尺码:155/80A/S,2021-01-12 14:11:53,可以
t***8,颜色分类:69 藏青色;尺码:155/80A/S,2021-01-12 13:22:14,有点薄，再厚点就完美了。
天***鱼,颜色分类:02 浅灰色;尺码:160/84A/M,2021-01-12 09:12:09,打底羊绒衫，保暖舒适，今年的优衣库基本都涨价了
w***g,颜色分类:02 浅灰色;尺码:160/88A/L,2021-01-11 23:46:11,这款偏小得厉害，给90斤的侄女穿了
s***g,颜色分类:09 黑色;尺码:155/80A/S,2021-01-11 21:50:03,真的很好看
祁***萱,颜色分类:02 浅灰色;尺码:155/80A/S,2021-01-11 20:50:49,很好👍合身
z***8,颜色分类:09 黑色;尺码:160/88A/L,2021-01-11 20:32:12,挺好的，就是薄了一点，买了2件都可以
z***8,颜色分类:39 棕黑色;尺码:160/84A/M,2021-01-11 20:32:02,挺好的，就是薄了一点，买了2件都可以
x***a,颜色分类:02 浅灰色;尺码:160/88A/L,2021-01-11 19:23:00,399的价还可以，原价就不值了
x***a,颜色分类:09 黑色;尺码:160/88A/L,2021-01-11 19:22:59,399的价还可以，原价就不值了
l***o,颜色分类:08 深灰色;尺码:165/92A/XL,2021-01-11 16:42:54,399入 有点扎人 没有去年买的灰色同款舒服柔软 看洗洗之后会不会软一点
m***1,颜色分类:31 米色;尺码:160/84A/M,2021-01-11 08:57:00,再厚一些就完美了
v***b,颜色分类:31 米色;尺码:160/88A/L,2021-01-10 22:39:21,软糯，颜色也很好看。只是比去年的似乎短一些
张***0,颜色分类:31 米色;尺码:160/88A/L,2021-01-10 20:27:00,软软糯糯手感好，优衣库我的最爱
t***o,颜色分类:09 黑色;尺码:160/88A/L,2021-01-10 16:29:19,不错，值。
风***6,颜色分类:45 柠檬黄色;尺码:175/108C/XXXL,2021-01-10 16:06:49,非常满意
爽***b,颜色分类:02 浅灰色;尺码:160/88A/L,2021-01-10 13:54:14,优点：软，轻，穿上舒服。缺点：比较大静电。冬天温度不太低的天气穿。期待能出更厚的。
安***n,颜色分类:08 深灰色;尺码:160/88A/L,2021-01-10 13:24:23,优家第五件羊绒衫，厚度和前年，去年的厚度差不多，162/54，如果有中灰色就好了，深灰色有点太深了
x***n,颜色分类:09 黑色;尺码:160/84A/M,2021-01-09 21:47:18,拍大一码更合适，里面穿一件无领羊绒衫正好，冬天就是怕冷。优衣库的羊绒衫也很好哟，柔软舒适好看。
赵***9,颜色分类:39 棕黑色;尺码:160/84A/M,2021-01-09 20:54:19,这件衣服真的是惊喜，物美价廉，立刻回购了白色的
s***9,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-09 20:37:11,优衣库两翻领羊绒衫质地还不错哦。
g***锅,颜色分类:31 米色;尺码:165/92A/XL,2021-01-09 19:53:08,给大嫂买的 希望她能喜欢
t***k,颜色分类:31 米色;尺码:155/80A/S,2021-01-09 19:45:41,偏小 要买大一码 羊绒摸着有丢丢刺 不是很柔软贴肤的那种
z***5,颜色分类:09 黑色;尺码:155/80A/S,2021-01-09 19:33:40,手感柔软，面料薄
