displayUserNick,auctionSku,rateDate,rateContent
黛***l,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-27 12:26:33,挺好的
y***1,颜色分类:01 乳白色;尺码:165/92A/XL,2021-01-30 21:56:24,很好，之前买过2件一件红色一件黑色，天冷时穿上软软的暖暖的，合身洗了也不怎幺缩水，可惜黑色那件丢了，今年想起又买了两件。值得推荐购买。
y***1,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-30 21:56:24,很好，之前买过2件一件红色一件黑色，天冷时穿上软软的暖暖的，合身洗了也不怎幺缩水，可惜黑色那件丢了，今年想起又买了两件。值得推荐购买。
赵***女,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-30 19:40:56,不知道是不是水洗了，好像变有点紧
蒋***大,颜色分类:15 珊瑚红色;尺码:160/88A/L,2021-01-30 18:50:27,买了黑色又入手的大红色，都很好看，还想入手蓝色的，等再降价吧
曾***7,颜色分类:09 黑色;尺码:160/84A/M,2021-01-30 18:28:20,衣服很好，薄的，今年冬天感觉不太冷，打底穿完全够了，108穿M刚好，129包邮还是不错的！
暴***5,颜色分类:09 黑色;尺码:160/88A/L,2021-01-30 18:26:51,挺好的。这是 我买的第三件了
l***6,颜色分类:15 珊瑚红色;尺码:160/88A/L,2021-01-30 15:58:51,颜色挺好的，弹性不太好
f***a,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-01-30 14:51:59,好
f***a,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-30 14:51:46,好
田***儿,颜色分类:09 黑色;尺码:160/84A/M,2021-01-30 14:32:40,这件买的黑色，看着就很普通了。有点薄，不过相信优衣库的质量不会让俺失望的
爱***6,颜色分类:09 黑色;尺码:160/88A/L,2021-01-30 13:57:46,挺好的
t***1,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-30 11:47:18,打底衫非常棒，完美的无可挑剔！爱了！！！
n***i,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-30 09:41:36,纯羊毛的打底衫， 比较薄，搭配西装和衬衫都合适， 1.62米，116斤，m很紧，l正好，留了l
s***g,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-30 00:18:36,去年买了黑色的很好穿，水洗不掉色不缩水，也不扎脖子。这次又买了一件白色，方便搭配穿。这次买的没有去年的柔软，但做工还可以
y***5,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-29 22:48:06,160，96斤，S码合适。
余***琪,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-29 20:29:08,摸着没有门店的手感，感觉不像100%羊毛
王***腊,颜色分类:15 珊瑚红色;尺码:160/88A/L,2021-01-29 20:21:42,此用户没有填写评论!
t***3,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-29 20:04:00,很不错的衣服，很不错
无***薇,颜色分类:08 深灰色;尺码:160/84A/M,2021-01-29 18:16:46,很好
f***5,颜色分类:01 乳白色;尺码:165/92A/XL,2021-01-29 16:46:21,很好！
爱***子,颜色分类:15 珊瑚红色;尺码:160/84A/M,2021-01-29 15:56:57,不是图片的红，是暗红
l***5,颜色分类:01 乳白色;尺码:170/100B/XXL,2021-01-29 15:43:54,好评！
赖***燕,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-29 14:18:09,喜欢呢
s***m,颜色分类:09 黑色;尺码:160/84A/M,2021-01-29 13:32:23,弹性很好，穿着不紧绷，舒适，柔软不扎人，很有型，特别好
2***8,颜色分类:08 深灰色;尺码:160/84A/M,2021-01-29 12:43:01,买了四个颜色，比平时大一号刚好，性价比很高的衣服。
彭***9,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-29 11:56:16,比较薄，贴身穿不错的。
t***4,颜色分类:15 珊瑚红色;尺码:155/80A/S,2021-01-29 11:53:36,颜色稍微深了点，没有图片上的红
舒***乐,颜色分类:08 深灰色;尺码:165/92A/XL,2021-01-29 11:52:20,🌈质量很好，买的很合我心意💕，棒棒哒！✨需要的亲们可以放心购买
永***8,颜色分类:01 乳白色;尺码:170/100B/XXL,2021-01-29 10:07:44,好看，非常暖和
y***子,颜色分类:15 珊瑚红色;尺码:155/80A/S,2021-01-29 09:10:39,有点松垮，不知为什么，158cm44斤码也是对的，有点绛红色～
遥***西,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-29 07:22:30,买回来一直没穿，今天拿出来一看，直接烂了一个洞，领口还有粉底，比之前买的黑色灰色明显小于个尺码。差评
砂***王,颜色分类:09 黑色;尺码:160/88A/L,2021-01-29 06:56:05,很正的黑色，我和妈妈一人一件，黑色打底穿，配我的大衣🧥很修身，有弹性，摸着手感舒服，也可以单穿，领子很贴合脖子不松垮有型。价格也给力。满意
砂***王,颜色分类:15 珊瑚红色;尺码:160/88A/L,2021-01-29 06:56:04,给妈妈买的，摸着手感挺舒服，毛衣比较薄，打底穿合适，颜色偏枣红，新年穿很喜庆，很修身，也有弹性
野***h,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-28 21:11:34,白色很衬皮肤，做打底美美哒，等不及降价到99元了，怕没有尺码，129入手的。
野***h,颜色分类:09 黑色;尺码:160/88A/L,2021-01-28 21:11:33,之前买过灰色和深灰色，穿着挺舒服的，黑色是我一直想要的延安市，本想等99再买，又怕号码不全了，129下手了。
一***a,颜色分类:09 黑色;尺码:160/84A/M,2021-01-28 20:49:49,很喜欢，不错，薄薄的
宝***9,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-01-28 19:52:32,面料材质：面料柔软舒适透气
f***4,颜色分类:15 珊瑚红色;尺码:160/88A/L,2021-01-28 19:48:46,不错，质量也很好，老客户了，自从爱上优衣库就是买买买，停不下手，喜欢，赞一个，好评！
w***9,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-28 19:43:05,此用户没有填写评论!
m***a,颜色分类:08 深灰色;尺码:155/80A/S,2021-01-28 19:39:24,这件衣服做打底真的不错，前两年也买过，但是穿了1年后衣服上就破了还多洞，不知道啥原因？
欢***曦,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-28 19:18:43,白色是稍微有点透，不太适合外穿
a***i,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-28 19:01:05,颜色很好搭，发货也及时
马***i,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-28 18:51:46,整体评价：非常非常非常非常非常非常非常非常好正品正品
我***懒,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-28 18:08:35,今次衣服上有点小的染色。
t***3,颜色分类:09 黑色;尺码:160/84A/M,2021-01-28 17:18:02,不错哦
虫***丁,颜色分类:15 珊瑚红色;尺码:160/88A/L,2021-01-28 16:47:44,还是优衣库的款式好
v***8,颜色分类:09 黑色;尺码:160/84A/M,2021-01-28 16:42:18,这个价格，这个品质的衣服就还好吧，没有那么惊艳，我买的m号，个人觉得码偏大，有点过于宽松了。
