displayUserNick,auctionSku,rateDate,rateContent
f***8,颜色分类:19 酒红色;尺码:160/84A/M,2021-02-27 12:32:42,发货快，正品
燕***2,颜色分类:09 黑色;尺码:155/80A/S,2021-01-21 09:38:36,黑色的总不会出错。轻薄，夏天专用。紫色的退掉了，紫色的不是很显瘦但是很显白很温柔，要搭配浅色系白色。
卡***5,颜色分类:71 浅蓝紫色;尺码:160/84A/M,2021-01-20 14:39:29,好看
t***4,颜色分类:19 酒红色;尺码:160/84A/M,2021-01-17 20:38:37,好看，性价比还可以
h***5,颜色分类:09 黑色;尺码:160/84A/M,2021-01-16 18:54:29,不错
5***f,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-12 21:46:35,挺好的
梅***z,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-10 22:16:12,超级显性感，很喜欢哦。169，126斤故意买的大一号，这种款型设计就适合穿宽松点的。太美啦，裤子裙子都超级搭。
王***6,颜色分类:71 浅蓝紫色;尺码:155/80A/S,2021-01-10 12:16:11,衣服颜色很漂亮，款式好看，一如既往的好好好
t***s,颜色分类:71 浅蓝紫色;尺码:160/88A/L,2021-01-10 00:26:38,上身凉爽，春夏都可以 我的身高体重：176CM，60kg
踏***8,颜色分类:09 黑色;尺码:160/88A/L,2021-01-09 17:38:22,是我喜欢的款式，里面加个打底效果挺不错！
白***0,颜色分类:02 浅灰色;尺码:160/84A/M,2021-01-08 22:53:02,169，108斤，这个码刚好，要是有白色就更好了
1***4,颜色分类:09 黑色;尺码:160/88A/L,2021-01-05 17:56:13,穿上很有女人味，遮肉效果超级棒，推荐
a***2,颜色分类:19 酒红色;尺码:155/80A/S,2021-01-05 08:58:43,透 夏天穿 好。小心勾丝 正常码 还没穿
a***1,颜色分类:19 酒红色;尺码:160/84A/M,2021-01-04 06:18:17,衣服非常满意，百搭，是我喜欢的款式，买来夏天搭配裙子的
c***i,颜色分类:09 黑色;尺码:155/80A/S,2021-01-02 23:00:49,到手惊艳，超级显瘦！自己配个内搭，可盐可甜~
水***贝,颜色分类:09 黑色;尺码:160/84A/M,2021-01-02 20:52:27,很薄，里面需加吊带，上身凉凉的，感觉m码s码没啥区别 我的身高体重：158cm52kg
青***1,颜色分类:09 黑色;尺码:155/80A/S,2020-12-31 19:12:54,165公分，买了两件，一件黑色，一件酒红，选的小码，穿上挺不错的，
葡***豆,颜色分类:19 酒红色;尺码:165/92A/XL,2020-12-29 10:41:09,发货速度很快，卖家服务也好，目前很满意
s***j,颜色分类:71 浅蓝紫色;尺码:160/84A/M,2020-12-27 12:06:26,质量好
h***8,颜色分类:71 浅蓝紫色;尺码:150/76A/XS,2020-12-26 20:17:08,不错！为夏天囤货，穿上冰冰凉凉，需要打底，应该挺好配。日常穿着不错，上班应该也OK。不错，推荐入手
海***风,颜色分类:09 黑色;尺码:165/92A/XL,2020-12-26 15:27:53,很好
符***苗,颜色分类:19 酒红色;尺码:155/80A/S,2020-12-26 11:36:05,活动价存货春夏穿的，看着不错
香***年,颜色分类:19 酒红色;尺码:160/88A/L,2020-12-26 10:34:43,喜欢酒红色，版型也不错，里面配个吊带，小心别勾丝。等待夏天。
j***5,颜色分类:09 黑色;尺码:165/92A/XL,2020-12-25 15:46:14,打折79买的，薄透型，内需穿背心
你***么,颜色分类:09 黑色;尺码:155/80A/S,2020-12-24 13:49:24,正合身，里面配小吊带，也挺好看
今***3,颜色分类:09 黑色;尺码:160/88A/L,2020-12-24 10:47:28,不错，大小合适！
t***w,颜色分类:09 黑色;尺码:160/84A/M,2020-12-23 22:42:57,很薄，透的，款式很好，价格便宜
菲***1,颜色分类:09 黑色;尺码:160/84A/M,2020-12-23 13:14:18,好看
t***8,颜色分类:71 浅蓝紫色;尺码:160/84A/M,2020-12-22 19:59:23,颜色很好看型也好，等降价再买一件
金***4,颜色分类:19 酒红色;尺码:160/88A/L,2020-12-22 10:17:29,很漂亮，就是买了不俩天就降价了。心里有些不平衡。
z***6,颜色分类:71 浅蓝紫色;尺码:155/80A/S,2020-12-21 20:48:08,轻薄透气，适合内搭吊带，颜色温柔好看，亲肤不扎。晚上灯光下拍不出真实颜色。。。
l***9,颜色分类:09 黑色;尺码:170/100B/XXL,2020-12-21 20:23:20,不错哦
羊***6,颜色分类:71 浅蓝紫色;尺码:165/92A/XL,2020-12-21 14:41:05,物美价廉，非常喜欢，很显瘦。
t***2,颜色分类:09 黑色;尺码:150/76A/XS,2020-12-20 18:25:57,挺好的
浅***田,颜色分类:09 黑色;尺码:160/84A/M,2020-12-20 17:57:26,设计好看，这个价格很值
z***6,颜色分类:71 浅蓝紫色;尺码:160/84A/M,2020-12-20 15:42:50,喜欢
z***6,颜色分类:02 浅灰色;尺码:160/84A/M,2020-12-20 15:42:50,喜欢
z***6,颜色分类:09 黑色;尺码:160/84A/M,2020-12-20 15:42:50,喜欢
t***1,颜色分类:71 浅蓝紫色;尺码:160/84A/M,2020-12-20 12:58:27,超舒服的蝙蝠衫，168，98斤正好
木***3,颜色分类:09 黑色;尺码:160/84A/M,2020-12-20 12:06:05,哈哈，降价了再入一件降低成本
h***m,颜色分类:71 浅蓝紫色;尺码:160/88A/L,2020-12-20 00:33:22,四件都超级喜欢。优衣库的超级粉。衣柜几乎全是优衣库了。咋办？😂
l***1,颜色分类:09 黑色;尺码:160/84A/M,2020-12-19 20:18:16,质量不错，价格也很合适
l***e,颜色分类:71 浅蓝紫色;尺码:160/88A/L,2020-12-19 13:40:39,美，喜欢
l***e,颜色分类:09 黑色;尺码:160/88A/L,2020-12-19 13:40:39,美，超喜欢
o***g,颜色分类:09 黑色;尺码:155/80A/S,2020-12-19 13:21:30,特别好
a***8,颜色分类:09 黑色;尺码:155/80A/S,2020-12-19 09:36:56,买了灰和黑，黑色更好看
l***1,颜色分类:09 黑色;尺码:165/92A/XL,2020-12-18 23:48:13,买了半年闲，放着明年穿的。
黑***8,颜色分类:71 浅蓝紫色;尺码:160/88A/L,2020-12-18 20:10:13,很薄，透，有点丝的感觉
a***3,颜色分类:71 浅蓝紫色;尺码:175/108C/XXXL,2020-12-18 19:02:00,不错
养***熊,颜色分类:09 黑色;尺码:165/92A/XL,2020-12-18 19:01:17,物美价廉物流快，懒得去实体店排队，宽松版，买的大一点显瘦，165，60。
8***l,颜色分类:09 黑色;尺码:160/84A/M,2020-12-18 15:58:04,期待酒红色
禾***序,颜色分类:19 酒红色;尺码:165/92A/XL,2020-12-18 07:21:55,其他的还好就是太透了。必须穿打底。
倾***人,颜色分类:09 黑色;尺码:160/84A/M,2020-12-17 18:27:20,性价比挺高，黑色显气质。
孙***4,颜色分类:71 浅蓝紫色;尺码:175/108C/XXXL,2020-12-17 14:20:20,好评
开***石,颜色分类:09 黑色;尺码:160/84A/M,2020-12-17 12:39:55,性价比高，质量好，值得购买
z***6,颜色分类:19 酒红色;尺码:160/84A/M,2020-12-17 02:38:18,喜欢，又回购了3件。
m***g,颜色分类:71 浅蓝紫色;尺码:160/88A/L,2020-12-17 00:08:33,薄透 夏天适合 反季买划算 淡紫色很温柔
光***兰,颜色分类:19 酒红色;尺码:160/84A/M,2020-12-16 22:06:39,喜欢等着夏天穿的
光***兰,颜色分类:19 酒红色;尺码:160/84A/M,2020-12-16 22:00:21,好好好好好好好喜欢等着夏天穿
w***m,颜色分类:19 酒红色;尺码:165/92A/XL,2020-12-16 18:12:39,美丽
冯***1,颜色分类:02 浅灰色;尺码:165/92A/XL,2020-12-16 13:00:47,衣服很漂亮，版型好看，颜色也好看，就是要穿打底。
肖***3,颜色分类:02 浅灰色;尺码:165/92A/XL,2020-12-16 11:05:35,喜欢优衣库的风格，穿着很舒服
肖***3,颜色分类:09 黑色;尺码:165/92A/XL,2020-12-16 11:05:35,喜欢优衣库的风格，穿着很舒服
g***n,颜色分类:09 黑色;尺码:160/84A/M,2020-12-16 10:10:09,里面得买个合适的内搭
l***n,颜色分类:71 浅蓝紫色;尺码:160/84A/M,2020-12-16 09:07:17,高158重118合适
c***9,颜色分类:09 黑色;尺码:165/92A/XL,2020-12-15 21:56:14,确实很透，里面自己要配搭。
m***8,颜色分类:19 酒红色;尺码:160/88A/L,2020-12-15 19:52:00,显瘦，很不错噢
l***0,颜色分类:19 酒红色;尺码:160/88A/L,2020-12-15 16:20:13,很好看，超值，又果断入手一件黑色
鱼***界,颜色分类:09 黑色;尺码:160/88A/L,2020-12-15 16:05:29,不错！
逝***藤,颜色分类:09 黑色;尺码:150/76A/XS,2020-12-15 15:07:48,挺好的
蓝***7,颜色分类:19 酒红色;尺码:160/88A/L,2020-12-15 12:40:17,很好
j***儿,颜色分类:19 酒红色;尺码:150/76A/XS,2020-12-15 09:49:51,款式简洁，上身显气质，适合任何年龄段，不带明显品牌印记，四色均入。
j***儿,颜色分类:02 浅灰色;尺码:150/76A/XS,2020-12-15 09:19:38,款式简洁，上身显气质，适合任何年龄段，不带明显品牌印记，四色均入。
j***儿,颜色分类:71 浅蓝紫色;尺码:150/76A/XS,2020-12-15 09:18:58,款式简洁，上身显气质，适合任何年龄段，不带明显品牌印记，四色均入。
绿***＠,颜色分类:19 酒红色;尺码:160/88A/L,2020-12-15 07:13:04,很好看，但要穿打底。
k***1,颜色分类:09 黑色;尺码:150/76A/XS,2020-12-14 22:15:17,很透的一件衣服，需要内搭，但很不错
大***涂,颜色分类:71 浅蓝紫色;尺码:175/108C/XXXL,2020-12-14 21:49:15,买大一点穿成宽松款的不贴身上非常显瘦
h***i,颜色分类:19 酒红色;尺码:150/76A/XS,2020-12-14 20:04:01,小码穿着正合适希望不会缩水，比较透要穿内搭。
乔***哒,颜色分类:19 酒红色;尺码:150/76A/XS,2020-12-14 19:14:47,料子是有点硬度的针织面料，不会起球。属于透视装，有点小性感，这个季节穿在里面做内搭也很不错～
橄***小,颜色分类:09 黑色;尺码:165/92A/XL,2020-12-14 17:25:39,好
橄***小,颜色分类:19 酒红色;尺码:165/92A/XL,2020-12-14 17:25:39,好
x***6,颜色分类:09 黑色;尺码:155/80A/S,2020-12-14 11:40:34,双11买了酒红，59块钱，等了好久都不降价，这次双十二入了黑色，一样的价，好开心。里面搭件小背心，搭配裙子穿，太美了。
棉***2,颜色分类:19 酒红色;尺码:160/84A/M,2020-12-14 10:41:16,喜欢优衣库的风格，上身很舒服，上次买过一件黑色的，还没有穿，这几天有优惠就再收一件，里面要穿打底衫，不然太透了 等天气暖和了就可以穿了 ，非常满意的一次购物！
童***嘟,颜色分类:09 黑色;尺码:160/88A/L,2020-12-13 21:16:03,里面加件背心挺好看的，便宜
小***月,颜色分类:19 酒红色;尺码:165/92A/XL,2020-12-13 17:22:26,好看，穿着很舒服，可以遮住小肚肚
h***n,颜色分类:02 浅灰色;尺码:155/80A/S,2020-12-13 11:54:45,质感不错，舒适
j***儿,颜色分类:09 黑色;尺码:150/76A/XS,2020-12-13 09:58:40,出人意料的好，大气。
j***y,颜色分类:02 浅灰色;尺码:155/80A/S,2020-12-13 07:26:13,整体评价：上身很舒服，也是很凉爽的料子，就是很透，里面要穿打底
y***g,颜色分类:09 黑色;尺码:160/88A/L,2020-12-12 23:09:09,意外挺好看
l***6,颜色分类:71 浅蓝紫色;尺码:155/80A/S,2020-12-12 21:12:07,紫色控关注了一段时间，59这个价格算最优惠了，一直等到双十二才购买，只是要等到明年开春才能穿，面料蛮舒服的，蝙蝠袖挺好。
水***彤,颜色分类:19 酒红色;尺码:155/80A/S,2020-12-12 17:56:39,此用户没有填写评论!
x***y,颜色分类:19 酒红色;尺码:155/80A/S,2020-12-11 19:13:17,挺不错，搭配浅色下装效果应该会更好
t***3,颜色分类:09 黑色;尺码:165/92A/XL,2020-12-11 18:22:27,非常意外的显瘦、性感好看，家里都是优衣库的衣服
w***g,颜色分类:19 酒红色;尺码:160/88A/L,2020-12-11 18:19:26,感觉超值，超满意！
曦***姨,颜色分类:19 酒红色;尺码:160/88A/L,2020-12-11 15:32:21,刚买完不久就降价，不爽，还是要等促销买才华算呀，姐妹们，血的教训呀
a***i,颜色分类:09 黑色;尺码:160/88A/L,2020-12-11 15:14:38,挺好看的，买了两个，穿着舒服
冬***6,颜色分类:09 黑色;尺码:150/76A/XS,2020-12-10 00:49:19,质量好 样子不错
z***5,颜色分类:09 黑色;尺码:155/80A/S,2020-12-07 18:08:18,不针对衣服本身发表任何负面评价，这条评价专门针对优衣库线上客服和管理。第一，优衣库线上客服服务差早有耳闻，但淘宝这么多年亲身体验了一次史上最差服务，真是差的令人发指，花钱找不开心的一次购物体验，客服永远不会及时回复消息，出了问题只会机械化的敷衍，不主动站在消费者角度解决问题。第二，承诺的七天无理由退换，实际只能退不能换，换货需要重新下单，而且差价需要主动申请，不申请则不退，显然是利用商家优势地位强迫消费者接受其不合理规则，准备向消协举报这一问题，远离店大欺客的线上优衣库幸福一生，就这样。
z***5,颜色分类:02 浅灰色;尺码:155/80A/S,2020-12-07 18:08:18,不针对衣服本身发表任何负面评价，这条评价专门针对优衣库线上客服和管理。第一，优衣库线上客服服务差早有耳闻，但淘宝这么多年亲身体验了一次史上最差服务，真是差的令人发指，花钱找不开心的一次购物体验，客服永远不会及时回复消息，出了问题只会机械化的敷衍，不主动站在消费者角度解决问题。第二，承诺的七天无理由退换，实际只能退不能换，换货需要重新下单，而且差价需要主动申请，不申请则不退，显然是利用商家优势地位强迫消费者接受其不合理规则，准备向消协举报这一问题，远离店大欺客的线上优衣库幸福一生，就这样。
霭***猪,颜色分类:09 黑色;尺码:160/88A/L,2020-12-07 16:07:41,好看的，居然显瘦
x***0,颜色分类:09 黑色;尺码:160/88A/L,2020-12-07 15:54:31,59入手，很好看
x***0,颜色分类:02 浅灰色;尺码:160/88A/L,2020-12-07 15:54:31,59入手，很好看
i***0,颜色分类:19 酒红色;尺码:160/84A/M,2020-12-06 10:41:43,面料舒适
毛***块,颜色分类:19 酒红色;尺码:160/84A/M,2020-12-05 09:04:54,双十一优惠买很不错
y***9,颜色分类:71 浅蓝紫色;尺码:160/84A/M,2020-12-04 14:53:13,不错
f***1,颜色分类:19 酒红色;尺码:165/92A/XL,2020-11-30 21:20:12,透明 130斤穿着挺好
木***夏,颜色分类:09 黑色;尺码:155/80A/S,2020-11-30 18:18:02,整体评价：好看 等夏天～
沉***度,颜色分类:19 酒红色;尺码:165/92A/XL,2020-11-30 15:03:15,此用户没有填写评论!
春***石,颜色分类:09 黑色;尺码:165/92A/XL,2020-11-30 09:19:37,黑色百搭
春***石,颜色分类:02 浅灰色;尺码:165/92A/XL,2020-11-30 09:19:37,挺好的，个人感觉稍微有些缩水别买小了
春***石,颜色分类:19 酒红色;尺码:165/92A/XL,2020-11-30 09:19:37,喜欢这个颜色
x***c,颜色分类:09 黑色;尺码:165/92A/XL,2020-11-29 20:24:44,媳妇指定的款式，双十一购物狂欢节活动凑单购买，媳妇很是喜欢。
咫***a,颜色分类:09 黑色;尺码:155/80A/S,2020-11-29 18:45:59,看到这个图种的草，挺好的，留着夏天穿
诣***堂,颜色分类:19 酒红色;尺码:150/76A/XS,2020-11-29 15:16:28,还是黑色好看
c***z,颜色分类:09 黑色;尺码:160/84A/M,2020-11-28 22:39:13,很好呢
r***9,颜色分类:09 黑色;尺码:170/100B/XXL,2020-11-28 18:49:03,满意
z***6,颜色分类:19 酒红色;尺码:150/76A/XS,2020-11-28 16:33:23,这个价买到超划算，纠结要不要再入一个颜色
t***8,颜色分类:71 浅蓝紫色;尺码:155/80A/S,2020-11-27 23:45:18,很温柔的颜色，即便现在冷还不能穿也要买回来。
远***e,颜色分类:19 酒红色;尺码:160/88A/L,2020-11-27 22:41:24,没穿呢，不搭配好，真的太阿姨的说！
咖***多,颜色分类:02 浅灰色;尺码:150/76A/XS,2020-11-26 21:44:38,非常显瘦，可休闲，可正式，主要看下身怎样搭配。面料非常清爽。一定要穿打底。
s***n,颜色分类:19 酒红色;尺码:160/84A/M,2020-11-26 21:28:31,还没穿，好评先。
t***0,颜色分类:19 酒红色;尺码:160/84A/M,2020-11-26 19:20:44,此用户没有填写评论!
b***5,颜色分类:19 酒红色;尺码:165/92A/XL,2020-11-26 14:10:13,天吖，地吖，优衣库居然对烂衣服，买回来现在才拆开，才知道。烂几个大洞，真是气
m***m,颜色分类:09 黑色;尺码:165/92A/XL,2020-11-25 13:02:00,多次购买，非常不错，好评。
幸***7,颜色分类:19 酒红色;尺码:160/88A/L,2020-11-25 10:53:31,囤着的，明年穿。
芒***8,颜色分类:09 黑色;尺码:160/84A/M,2020-11-25 10:02:04,好穿
w***1,颜色分类:09 黑色;尺码:150/76A/XS,2020-11-24 12:58:53,很好
d***7,颜色分类:71 浅蓝紫色;尺码:160/88A/L,2020-11-24 07:31:08,打底挺好
d***7,颜色分类:19 酒红色;尺码:160/88A/L,2020-11-24 07:31:08,此用户没有填写评论!
秋***4,颜色分类:19 酒红色;尺码:155/80A/S,2020-11-23 12:22:03,针织衫比较透需要穿内搭
小***人,颜色分类:19 酒红色;尺码:160/88A/L,2020-11-23 10:37:07,爱优衣库1万年
m***8,颜色分类:09 黑色;尺码:160/88A/L,2020-11-23 07:58:31,好评
j***8,颜色分类:19 酒红色;尺码:155/80A/S,2020-11-22 10:21:37,上身效果很好
春***间,颜色分类:71 浅蓝紫色;尺码:160/84A/M,2020-11-22 09:09:12,OK
春***间,颜色分类:02 浅灰色;尺码:160/84A/M,2020-11-22 09:09:12,OK
l***9,颜色分类:02 浅灰色;尺码:165/92A/XL,2020-11-21 16:52:14,很好
l***9,颜色分类:19 酒红色;尺码:165/92A/XL,2020-11-21 16:52:14,很好
l***9,颜色分类:71 浅蓝紫色;尺码:165/92A/XL,2020-11-21 16:52:14,很好
w***舒,颜色分类:19 酒红色;尺码:160/88A/L,2020-11-21 16:16:08,好看，宽松版型，特休闲
f***e,颜色分类:09 黑色;尺码:160/84A/M,2020-11-21 13:31:09,透明需要打底，很凉快
a***i,颜色分类:71 浅蓝紫色;尺码:160/88A/L,2020-11-21 01:20:13,不错，挺好看的
c***c,颜色分类:02 浅灰色;尺码:155/80A/S,2020-11-20 14:25:35,这个有些大
