displayUserNick,auctionSku,rateDate,rateContent
w***6,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-27 10:39:32,好
f***1,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-19 10:48:22,一般身材选M就可以了，下单了好几个码数回来试，也是折腾，153.92斤，L也能穿，宽松了其实不好看，没有了那种调调。皮肤不白还是选米色吧。
x***7,颜色分类:54 绿色;尺码:150/76A/XS,2021-02-19 09:26:30,颜色款式非常美，但面料非常容易毛
a***3,颜色分类:54 绿色;尺码:155/80A/S,2021-02-18 22:08:07,此用户没有填写评论!
我***鱼,颜色分类:54 绿色;尺码:160/88A/L,2021-02-18 21:12:39,好看
七***淘,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-18 15:03:01,买大一码合适，版型很好看，想入其他颜色了，不知道洗完会不会变型
p***7,颜色分类:54 绿色;尺码:160/84A/M,2021-02-18 14:33:59,颜色挺正的，确实不能买平时的码，真的会太贴身，所以我买的大一码，也是贴身款，但是不是很贴，不错，不扎
z***d,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-18 12:50:02,好看。建议买大一码
a***佳,颜色分类:09 黑色;尺码:150/76A/XS,2021-02-17 21:11:58,完美
t***5,颜色分类:30 浅米色;尺码:165/92A/XL,2021-02-17 13:39:29,好！不起球的料子！有垂感！颜色正！喜欢😍
j***9,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-16 21:45:03,好好看，浅米色百搭，面料也舒适不沾身，考虑再买一件别的颜色
c***9,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-15 01:08:47,质量好，好打理，百搭，材质是硬的挺刮型
田***2,颜色分类:59 墨绿色;尺码:165/92A/XL,2021-02-14 14:43:14,喜欢，做工精良，穿着显瘦，恨不得还买件同款
z***6,颜色分类:59 墨绿色;尺码:165/92A/XL,2021-02-13 07:42:43,不错 喜欢的颜色
东***卿,颜色分类:54 绿色;尺码:155/80A/S,2021-02-12 22:39:57,绿色好好看！
o***汕,颜色分类:54 绿色;尺码:155/80A/S,2021-02-10 15:42:12,质量很一般 偏硬 但是款式打底还是不错 春夏穿正好
李***琼,颜色分类:54 绿色;尺码:160/84A/M,2021-02-10 15:04:13,就是款式好看，穿一天就勾丝，质量不好
妍***衣,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-09 21:16:46,质感很好，颜色也很美，超级喜欢。
小***人,颜色分类:54 绿色;尺码:160/88A/L,2021-02-09 20:22:23,这件偏小 建议去店里试试
加***鸡,颜色分类:09 黑色;尺码:160/84A/M,2021-02-09 13:10:48,版型好
s***i,颜色分类:09 黑色;尺码:160/88A/L,2021-02-08 14:12:58,黑色百搭，适合初夏
徐***盈,颜色分类:54 绿色;尺码:155/80A/S,2021-02-08 13:06:21,显白
m***5,颜色分类:59 墨绿色;尺码:155/80A/S,2021-02-07 20:47:19,还行
w***s,颜色分类:54 绿色;尺码:150/76A/XS,2021-02-07 09:11:15,一般舒适 但很复古
j***0,颜色分类:54 绿色;尺码:150/76A/XS,2021-02-07 08:27:31,还不错
o***汕,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-07 08:24:24,质量不怎么样 容易变形偏硬 但是版型好看
j***8,颜色分类:54 绿色;尺码:170/100B/XXL,2021-02-06 21:24:48,很春天
想***6,颜色分类:54 绿色;尺码:170/100B/XXL,2021-02-06 19:56:48,虽然这个季节买短袖有点奇怪，可真的好看
何***婆,颜色分类:30 浅米色;尺码:165/92A/XL,2021-02-06 14:50:31,这件衣服面料感觉象冰丝的，凉凉的
j***3,颜色分类:59 墨绿色;尺码:160/88A/L,2021-02-06 13:48:40,往大了买就对了
l***6,颜色分类:54 绿色;尺码:160/84A/M,2021-02-06 09:53:20,喜欢。
可***h,颜色分类:09 黑色;尺码:160/84A/M,2021-02-05 19:19:37,很喜欢
北***9,颜色分类:09 黑色;尺码:160/88A/L,2021-02-05 18:22:14,胳肢窝那里总感觉夹了一点
t***0,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-05 11:06:52,好
m***9,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-04 16:53:34,本想等降价再买的，懒得退了，这件不错
花***3,颜色分类:59 墨绿色;尺码:160/84A/M,2021-02-04 16:38:57,颜色有点深了。不抬肤色。初夏可以穿。也许会不一样的感jio
w***8,颜色分类:54 绿色;尺码:170/100B/XXL,2021-02-04 09:01:18,很好看，估计天太热穿不了
e***d,颜色分类:59 墨绿色;尺码:160/88A/L,2021-02-04 07:10:25,身高168，体重108，买的L，其实M会更修身些
陈***贝,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-03 14:56:24,此用户没有填写评论!
陈***贝,颜色分类:59 墨绿色;尺码:165/92A/XL,2021-02-03 14:56:24,此用户没有填写评论!
绵***果,颜色分类:59 墨绿色;尺码:160/88A/L,2021-02-03 12:25:27,显瘦啊感觉，面料也舒服
l***泡,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-03 11:00:21,简单大方，奶白色，喜欢
y***7,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-02 22:09:15,凉凉的，面料硬挺，很知性，就是容易皱
t***1,颜色分类:59 墨绿色;尺码:165/92A/XL,2021-02-02 13:15:03,好
t***7,颜色分类:59 墨绿色;尺码:150/76A/XS,2021-02-02 01:35:29,好
乐***7,颜色分类:54 绿色;尺码:155/80A/S,2021-02-01 23:03:27,还好～
小***b,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-01 22:46:34,特别好看，显瘦
j***0,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-01 20:08:47,很显瘦诶
p***r,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-01 11:00:48,质量很一般，有勾丝的线头，胜在款式不错。
s***e,颜色分类:59 墨绿色;尺码:170/100B/XXL,2021-01-31 19:03:50,就是容易抽丝  还有尺码比较修身
翦***韭,颜色分类:54 绿色;尺码:170/100B/XXL,2021-01-31 15:48:46,感觉没必要选大两码，有点大了，绿色很衬肤色
f***3,颜色分类:30 浅米色;尺码:155/80A/S,2021-01-31 10:49:07,此用户没有填写评论!
y***a,颜色分类:09 黑色;尺码:160/88A/L,2021-01-30 18:59:36,非常好！
5***x,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-30 18:38:27,黑色很精致 喜欢 建议买大一码
晶***l,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-28 14:58:50,材质不太喜欢，不值这个价
毛***8,颜色分类:09 黑色;尺码:160/84A/M,2021-01-28 08:47:00,好看
j***o,颜色分类:54 绿色;尺码:160/84A/M,2021-01-27 21:57:49,搭配建议：配外面那件黑色针织开衫非常match！ 整体评价：纸片人的福音！
s***毛,颜色分类:54 绿色;尺码:160/88A/L,2021-01-27 21:31:00,穿起来冰冰凉凉的，夏天穿应该很舒服。颜色显白。版型显瘦
魏***5,颜色分类:54 绿色;尺码:160/88A/L,2021-01-27 20:30:38,此用户没有填写评论!
l***d,颜色分类:54 绿色;尺码:160/84A/M,2021-01-27 14:37:18,颜色超好看！穿着凉凉的很舒服，冬天只能当内搭。
a***u,颜色分类:54 绿色;尺码:165/92A/XL,2021-01-26 20:18:43,整体评价：好看，很春天。母上大人很是满意。让我再买一件别的色给她。难得提出这种request。阿女就满足你吧。哈哈哈哈哈 版型风格：领子好看，袖子藏肉，葫芦娃最爱。
黑***8,颜色分类:09 黑色;尺码:160/88A/L,2021-01-26 16:48:44,很精致漂亮
熊***g,颜色分类:59 墨绿色;尺码:170/100B/XXL,2021-01-26 15:21:25,有设计感，布料厚实。
s***3,颜色分类:54 绿色;尺码:160/84A/M,2021-01-26 09:37:23,好看 希望不要降价
一***雨,颜色分类:30 浅米色;尺码:160/88A/L,2021-01-25 22:35:54,整体评价：衣服质感没有想象的那么柔软 有点失望 居然还有一个线头（花原价第一时间买新品，可能没什么特别大的问题，但消费体验确实不够好）
t***6,颜色分类:59 墨绿色;尺码:160/84A/M,2021-01-25 19:57:17,紧身款，建议买大一码
h***0,颜色分类:09 黑色;尺码:155/80A/S,2021-01-23 13:58:58,好看！
