displayUserNick,auctionSku,rateDate,rateContent
w***8,颜色:65 宝蓝色;尺码:165/84A/S,2021-03-04 17:28:04,合适
不***叔,颜色:65 宝蓝色;尺码:185/112C/XXL,2021-02-09 18:54:42,面料不亲肤，不舒服
东***柏,颜色:65 宝蓝色;尺码:165/84A/S,2021-02-08 21:33:43,挺好的
w***7,颜色:65 宝蓝色;尺码:165/84A/S,2021-02-08 16:20:37,好
r***6,颜色:65 宝蓝色;尺码:165/84A/S,2021-02-07 21:56:37,折扣价不错，再降就再入手
不***气,颜色:65 宝蓝色;尺码:170/92A/M,2021-02-07 15:46:34,衣服比较柔软 整体质量不错
t***2,颜色:65 宝蓝色;尺码:185/128C/XXXXL,2021-02-07 14:56:30,可以
海***蓝,颜色:65 宝蓝色;尺码:175/100A/L,2021-02-06 21:45:40,很喜欢，好看，早就关注这衣服了，优惠价格的时候买下了。
百***充,颜色:65 宝蓝色;尺码:175/100A/L,2021-02-05 21:48:52,衬衫不错。  还行。  也不知道自己是什么丑造型、衣服美过人。
d***0,颜色:65 宝蓝色;尺码:165/84A/S,2021-02-05 11:28:52,衣服做工很好，很合适
x***凉,颜色:65 宝蓝色;尺码:165/84A/S,2021-02-05 10:47:03,160，49kg的女生，想不到穿男款的s码也可以。而且幸好没买xs码，不然就穿出紧身衣的效果了。没想到，s码既不紧，也没有很大，如果想再宽松点下次可以尝试下m码。不想把衬衫穿成IT理工男的那种紧身效果，还得感谢xs码被买断货了哈哈哈哈哈哈，让我有机会不出错。         我还没有图片，因为气温低，还不能穿出去玩，也还没有开学，就懒得出去拍图了。但是我还是决定认真的写下这个评价。因为，我当时想买而犹豫不决的时候，看评价都没有相关身高的女孩子的评价，就很难受，但是硬着头皮买了，正好缺一件条纹衬衫。希望我的评价可以给想买的女孩子一个参考，毕竟悄咪咪说一句，个人觉得男装的衬衫比女装的好看。有了这次成功的经验，下次就可以放心的买s码和m码了。
q***7,颜色:65 宝蓝色;尺码:185/112C/XXL,2021-02-05 09:26:05,好评
蔡***6,颜色:65 宝蓝色;尺码:170/92A/M,2021-02-04 22:45:28,穿起来有点皱，其他还好！颜色比图片上淡
您***黑,颜色:65 宝蓝色;尺码:175/100A/L,2021-02-03 22:13:23,💌心仪已久，果断下手，用过之后感觉很不错，果然名副其实👍
f***s,颜色:65 宝蓝色;尺码:180/108B/XL,2021-02-03 21:39:00,好看
t***7,颜色:65 宝蓝色;尺码:170/92A/M,2021-02-03 19:31:08,nice
细***甜,颜色:65 宝蓝色;尺码:175/100A/L,2021-02-03 10:34:02,很舒服，老公穿起来好看
r***1,颜色:65 宝蓝色;尺码:160/76A/XS,2021-02-02 16:31:58,不是特别瘦的女生真的可以选s码，我xs小了
快***8,颜色:65 宝蓝色;尺码:180/108B/XL,2021-02-01 21:49:25,全棉柔软，衣服有型有款。180，75kg穿着合适。
t***止,颜色:65 宝蓝色;尺码:170/92A/M,2021-02-01 00:04:40,优衣库普遍偏大，所以买小了一码，穿起来差不多，修身，稍微大一点点就好，袖子有点短，不过没有线头还不错，不是很厚那种，聚划算买的便宜
m***c,颜色:65 宝蓝色;尺码:180/108B/XL,2021-01-31 21:33:21,"很好, 很合身, 一如以往的好"
丸***3,颜色:65 宝蓝色;尺码:175/100A/L,2021-01-31 18:03:54,好评
t***5,颜色:65 宝蓝色;尺码:180/108B/XL,2021-01-30 21:47:57,很好，穿上好看，洋气
q***3,颜色:65 宝蓝色;尺码:180/108B/XL,2021-01-30 17:06:07,整体评价：好 材质特性：软 上身效果：合身 厚薄度：始终 面料品质：舒适
匿***c,颜色:65 宝蓝色;尺码:165/84A/S,2021-01-30 12:52:34,挺好的 纯棉 第一次洗了有一些掉色  171 61 正好
g***i,颜色:65 宝蓝色;尺码:175/100A/L,2021-01-29 20:10:06,还行
g***1,颜色:65 宝蓝色;尺码:180/108B/XL,2021-01-28 19:42:02,物流差评！衣服还可以！就是买完就降价了！坑
李***7,颜色:65 宝蓝色;尺码:175/100A/L,2021-01-20 23:12:06,好
s***7,颜色:65 宝蓝色;尺码:185/120C/XXXL,2021-01-19 01:40:27,很好很好！
t***8,颜色:65 宝蓝色;尺码:180/108B/XL,2021-01-18 04:35:29,和描述的一样好，质量特好，号码也很合适，又选了一件。
觉***p,颜色:65 宝蓝色;尺码:175/100A/L,2021-01-18 03:08:12,反正中规中矩，百搭好看
z***2,颜色:65 宝蓝色;尺码:175/100A/L,2021-01-14 15:11:12,衣服较薄。一分钱一分货
墙***0,颜色:65 宝蓝色;尺码:170/92A/M,2021-01-12 23:25:46,老客户了
巨***5,颜色:65 宝蓝色;尺码:185/128C/XXXXL,2021-01-11 21:56:11,孩子穿着很不错👍
a***q,颜色:65 宝蓝色;尺码:180/108B/XL,2021-01-11 10:20:03,不错，比较软的质感
m***6,颜色:65 宝蓝色;尺码:180/108B/XL,2021-01-09 22:31:47,挺不错的，就是就是纯棉的容易有折
h***李,颜色:65 宝蓝色;尺码:175/100A/L,2021-01-08 21:02:05,优衣库的衬衫还是挺不错的！！！！
h***1,颜色:65 宝蓝色;尺码:165/84A/S,2021-01-08 18:23:12,很喜欢这个款式，害怕买大了，穿上还可以。
殷***1,颜色:65 宝蓝色;尺码:175/100A/L,2021-01-07 15:38:06,价格非常的美丽，东西还是不错的，会继续回购！全五分！奈斯奈斯～大品牌！值得信赖的！效果超级好！贵有贵的道理！很棒的商品！
s***1,颜色:65 宝蓝色;尺码:175/100A/L,2021-01-06 10:52:12,性价比高，衣服也好看。
最***y,颜色:65 宝蓝色;尺码:175/100A/L,2021-01-06 01:11:34,帅的
p***g,颜色:65 宝蓝色;尺码:165/84A/S,2021-01-05 21:24:55,颜色版型都很好看
z***2,颜色:65 宝蓝色;尺码:175/100A/L,2021-01-05 10:09:13,穿着很舒服的一件衣服，外穿内穿都合适
工***a,颜色:65 宝蓝色;尺码:180/108B/XL,2021-01-05 08:25:10,和商场里看中的一模一样，正好看见降价了就下单了。
l***6,颜色:65 宝蓝色;尺码:175/100A/L,2021-01-04 09:54:05,整体评价：宝贝已收到🎈，超级喜欢，颜值高又实用，超级喜欢！❥❥❥
t***4,颜色:65 宝蓝色;尺码:165/84A/S,2021-01-03 14:14:41,质感不错 尺寸合适
s***3,颜色:65 宝蓝色;尺码:165/84A/S,2021-01-03 00:46:43,打折的时候入手的，感觉比较划算
n***y,颜色:65 宝蓝色;尺码:165/84A/S,2021-01-02 23:27:58,版型很好看，比普通衬衫稍微宽松一些
白***d,颜色:65 宝蓝色;尺码:185/120C/XXXL,2021-01-02 16:08:24,款式新颖别致
s***0,颜色:65 宝蓝色;尺码:170/92A/M,2021-01-02 15:56:15,复刻前年的款，看到活动就立马下单了
嘿***哥,颜色:65 宝蓝色;尺码:160/76A/XS,2021-01-02 13:48:13,可以的
也***样,颜色:65 宝蓝色;尺码:170/92A/M,2021-01-02 12:03:26,等降价才买的，129还不错
w***9,颜色:65 宝蓝色;尺码:185/112C/XXL,2021-01-01 21:43:49,满意，实体店看过，码数小，网上直接买的大码
疯***兔,颜色:65 宝蓝色;尺码:165/84A/S,2021-01-01 21:31:34,便宜又方便，省的大排队，真棒
茉***1,颜色:65 宝蓝色;尺码:170/92A/M,2021-01-01 00:52:41,🉑️
t***0,颜色:65 宝蓝色;尺码:170/92A/M,2020-12-31 21:01:10,衣服的尺寸真心不错，棒棒的，推荐170/60M供参考
橄***k,颜色:65 宝蓝色;尺码:185/112C/XXL,2020-12-31 14:20:55,很好，物美价廉，值得拥有
蛋***哒,颜色:65 宝蓝色;尺码:170/92A/M,2020-12-31 06:53:28,此用户没有填写评论!
m***云,颜色:65 宝蓝色;尺码:180/108B/XL,2020-12-30 22:20:22,比实体店优惠很多，好看
d***0,颜色:65 宝蓝色;尺码:180/108B/XL,2020-12-29 11:05:01,现在变成128了，我199买的。心碎💔
k***1,颜色:65 宝蓝色;尺码:180/108B/XL,2020-12-29 09:03:29,好评，身高185 82KG，很合身
付***洁,颜色:65 宝蓝色;尺码:170/92A/M,2020-12-27 21:36:17,有人要换过吗m码发现买大了
t***1,颜色:65 宝蓝色;尺码:165/84A/S,2020-12-27 18:30:15,经典的水洗衬衫第二件了
开***～,颜色:65 宝蓝色;尺码:160/76A/XS,2020-12-26 22:39:16,挺好
j***8,颜色:65 宝蓝色;尺码:175/100A/L,2020-12-26 21:48:59,胸前口袋掉线了还寄给我，不开心
魔***0,颜色:65 宝蓝色;尺码:175/100A/L,2020-12-26 21:02:50,非常不错
橘***华,颜色:65 宝蓝色;尺码:170/92A/M,2020-12-23 09:34:16,好穿，买来配个毛背心，休闲好看
t***c,颜色:65 宝蓝色;尺码:180/108B/XL,2020-12-20 14:55:31,好
不***吉,颜色:65 宝蓝色;尺码:160/76A/XS,2020-12-20 12:40:41,非常好，之前那件有瑕疵，换了一件。
z***2,颜色:65 宝蓝色;尺码:175/100A/L,2020-12-18 21:18:14,和图片一样
q***5,颜色:65 宝蓝色;尺码:165/84A/S,2020-12-18 15:18:40,跟实体店一样
w***1,颜色:65 宝蓝色;尺码:170/92A/M,2020-12-17 15:47:54,线下门店自提，很方便
t***9,颜色:65 宝蓝色;尺码:160/76A/XS,2020-12-13 11:30:12,good
