displayUserNick,auctionSku,rateDate,rateContent
j***9,颜色:66 蓝色;尺码:165/84A/S,2021-03-05 13:13:37,不错
p***°,颜色:66 蓝色;尺码:170/92A/M,2021-02-20 09:24:56,上身效果：很好
小***n,颜色:66 蓝色;尺码:165/84A/S,2021-02-19 22:33:23,好评 发货物流很快
t***1,颜色:66 蓝色;尺码:165/84A/S,2021-02-17 09:48:51,一如既往的好
威***7,颜色:64 湖蓝色;尺码:170/92A/M,2021-02-16 23:39:33,合适，优秀！
j***8,颜色:66 蓝色;尺码:180/108B/XL,2021-02-14 22:12:52,很时尚，很漂亮，180  180   xl码
购***8,颜色:64 湖蓝色;尺码:170/92A/M,2021-02-14 00:40:36,很好
c***5,颜色:66 蓝色;尺码:170/92A/M,2021-02-13 15:47:23,布料很好👍
k***好,颜色:64 湖蓝色;尺码:165/84A/S,2021-02-11 17:56:28,衣服好看！
c***悲,颜色:66 蓝色;尺码:180/108B/XL,2021-02-11 15:12:13,还行
柠***8,颜色:66 蓝色;尺码:185/120C/XXXL,2021-02-10 14:25:25,号码有点偏大
z***4,颜色:66 蓝色;尺码:175/100A/L,2021-02-10 10:16:50,很好很好
独***湾,颜色:66 蓝色;尺码:185/120C/XXXL,2021-02-08 20:11:45,还行
g***6,颜色:66 蓝色;尺码:175/100A/L,2021-02-08 17:17:30,感觉还不错
t***6,颜色:66 蓝色;尺码:170/92A/M,2021-02-08 17:15:45,还可以
q***7,颜色:66 蓝色;尺码:185/112C/XXL,2021-02-08 16:51:35,好评
千***寻,颜色:66 蓝色;尺码:170/92A/M,2021-02-07 21:05:32,还不错
不***气,颜色:66 蓝色;尺码:170/92A/M,2021-02-07 15:46:34,质量不错 版型帅气
d***8,颜色:66 蓝色;尺码:170/92A/M,2021-02-07 01:05:22,是理想中的产品💖，质量不错，物流也很快，值得点赞！
l***3,颜色:66 蓝色;尺码:170/92A/M,2021-02-05 14:25:38,挺好看，177 65穿m合适
蔡***6,颜色:66 蓝色;尺码:170/92A/M,2021-02-04 22:45:28,挺好的
王***坤,颜色:66 蓝色;尺码:165/84A/S,2021-02-04 19:21:13,挺合身
超***角,颜色:66 蓝色;尺码:180/108B/XL,2021-02-04 18:11:43,有点偏大
往***以,颜色:66 蓝色;尺码:180/108B/XL,2021-02-03 18:28:29,第一次买优衣库的衣服，款式料子特别喜欢，本人180.57kg喜欢宽松点的朋友可以参考。
w***r,颜色:66 蓝色;尺码:180/108B/XL,2021-02-03 14:53:22,好
放***火,颜色:66 蓝色;尺码:175/100A/L,2021-02-02 12:57:26,好东西
独***6,颜色:64 湖蓝色;尺码:175/100A/L,2021-02-02 09:32:57,设计很好看，颜色也不会特别鲜艳，纯棉的摸起来很舒服，当然，褶皱也很多
王***涵,颜色:64 湖蓝色;尺码:170/92A/M,2021-01-31 19:26:22,很好
q***3,颜色:64 湖蓝色;尺码:180/108B/XL,2021-01-30 17:06:07,整体评价：颜色尺寸适合我 材质特性：软 舒适 厚薄度：适中
t***白,颜色:66 蓝色;尺码:185/128C/XXXXL,2021-01-25 13:45:12,棒棒棒👍🏻
j***蓝,颜色:66 蓝色;尺码:185/112C/XXL,2021-01-19 22:04:11,老公190 200多斤，穿很显瘦，只有优衣库的大码男装又好看又洋气又质量好
做***师,颜色:64 湖蓝色;尺码:160/76A/XS,2021-01-14 12:36:51,整体评价：穿起来蛮文艺、显年轻  材质特性：比较柔和，舒服 上身效果：合身 尺码推荐：我172厘米，52公斤。穿最小码刚好。 厚薄度：比较薄 面料品质：比较柔和
t***5,颜色:66 蓝色;尺码:170/92A/M,2021-01-13 18:13:45,123
小***橱,颜色:66 蓝色;尺码:160/76A/XS,2021-01-13 08:23:52,非常好看，叠搭扎裤子里很好，而且不会像其他衬衣一大堆，显瘦，版型细节太好了，推荐
t***1,颜色:66 蓝色;尺码:175/100A/L,2021-01-12 07:07:45,还可以吧
h***李,颜色:66 蓝色;尺码:175/100A/L,2021-01-08 21:02:05,优衣库的衬衫还是挺不错的！！！！
李***5,颜色:64 湖蓝色;尺码:170/92A/M,2021-01-06 12:36:27,在店里看到的，可惜没有想要的码，还好网上有立马就下单了，男朋友超喜欢。
p***6,颜色:64 湖蓝色;尺码:180/108B/XL,2021-01-04 19:57:30,好看的
空***师,颜色:66 蓝色;尺码:185/112C/XXL,2021-01-04 08:12:20,宝贝收到没有色差，是我想要的颜色，优衣库就是优，好评！
乌***别,颜色:66 蓝色;尺码:185/120C/XXXL,2021-01-03 21:18:22,整体评价：非常不错，多次购买，很舒服
y***8,颜色:66 蓝色;尺码:160/76A/XS,2021-01-02 14:41:21,款式不错，早买才有XS码，价格一般吧。
嘿***哥,颜色:66 蓝色;尺码:160/76A/XS,2021-01-02 13:46:58,衣服很合身
云***7,颜色:64 湖蓝色;尺码:165/84A/S,2021-01-01 19:17:28,不错，本地发货快！
m***n,颜色:64 湖蓝色;尺码:165/84A/S,2020-12-31 17:12:29,165 100斤 穿s宽松 特别好
t***2,颜色:66 蓝色;尺码:165/84A/S,2020-12-30 22:20:49,合适！170-50供参考
三***8,颜色:64 湖蓝色;尺码:165/84A/S,2020-12-30 13:06:29,可以
兜***跑,颜色:66 蓝色;尺码:165/84A/S,2020-12-30 09:52:07,女士穿也很好看！
威***v,颜色:66 蓝色;尺码:180/108B/XL,2020-12-29 12:20:43,好评
a***雪,颜色:64 湖蓝色;尺码:185/112C/XXL,2020-12-29 01:37:59,不错
m***y,颜色:66 蓝色;尺码:175/100A/L,2020-12-29 00:25:58,还没穿。
j***g,颜色:64 湖蓝色;尺码:170/92A/M,2020-12-28 12:03:02,质量很过关，品质有保障，相当不错的选择，好多朋友看我用都想买，我都推荐了💛看起来还不错，包装的很仔细，价格也非常公道，还会继续买买买！✌外观设计漂亮，尺寸大小合适，包装仔细完整，宝贝手感不错，感觉很好，发货速度快，服务态度一流，给力！5星好评！
1***x,颜色:66 蓝色;尺码:170/92A/M,2020-12-26 11:14:02,好。。。。。。。。。。。。。
阿***哦,颜色:66 蓝色;尺码:165/84A/S,2020-12-23 17:27:23,款式和质量都在线
a***雪,颜色:66 蓝色;尺码:185/112C/XXL,2020-12-22 15:36:37,好
娜***9,颜色:66 蓝色;尺码:180/108B/XL,2020-12-02 20:46:33,老公很喜欢，不错哦
