displayUserNick,auctionSku,rateDate,rateContent
z***g,颜色分类:00 白色;尺码:160/88A/L,2021-02-26 21:31:03,好
豆***5,颜色分类:00 白色;尺码:160/84A/M,2020-07-11 21:21:59,花色很喜欢，非常喜欢
小***2,颜色分类:00 白色;尺码:155/80A/S,2020-07-11 21:07:24,喜欢，犹豫很多次入了的一件衣服。
s***1,颜色分类:00 白色;尺码:160/84A/M,2020-07-11 20:05:16,裙子穿起来很舒服，老公说好看。
江***线,颜色分类:09 黑色;尺码:160/84A/M,2020-07-11 19:26:40,上身效果很好，很凉快，而且喜欢两个袋子，散步放手机方便，163穿s感觉有点偏长，正常可以考虑xs
绿***旅,颜色分类:00 白色;尺码:160/88A/L,2020-07-11 11:50:16,这个嚓嚓作响的布料我实在是难以相信是纯棉&hellip;&hellip;觉得是100%聚酯纤维比较相符-_-  但是看在我穿上可以的份上留下了&hellip;&hellip;
橘***雨,颜色分类:00 白色;尺码:160/84A/M,2020-07-10 01:06:45,面料很喜欢，花色太漂亮
w***m,颜色分类:09 黑色;尺码:160/88A/L,2020-07-09 20:36:29,此用户没有填写评论!
c***n,颜色分类:00 白色;尺码:160/84A/M,2020-07-09 20:22:07,花色很棒
l***r,颜色分类:00 白色;尺码:155/80A/S,2020-07-09 17:00:50,"好看得很！162,55公斤穿S合适！满意，两个花色都喜欢"
高***我,颜色分类:00 白色;尺码:160/88A/L,2020-07-09 12:16:04,尺码买大了 不合适 咸鱼出 仅试穿  用户名：高歌共我
小***嘎,颜色分类:09 黑色;尺码:160/88A/L,2020-07-08 21:46:49,非常好穿，又去实体店买了另外两条裙子
h***x,颜色分类:00 白色;尺码:155/80A/S,2020-07-08 21:28:21,可可** 又宽松太舒服了吧 姐妹们冲啊！！！！！就随便搭个小包包就十分可爱
l***e,颜色分类:00 白色;尺码:160/88A/L,2020-07-08 20:38:38,花色好看，面料不太透气，尺码偏大。
果***7,颜色分类:00 白色;尺码:155/80A/S,2020-07-08 19:36:23,挺好看的，系个腰带也不错，有点大，自己改了一下，同事都没看出来。快递很快，活动买挺划算。
安***b,颜色分类:00 白色;尺码:155/80A/S,2020-07-08 19:19:28,好
美***美,颜色分类:00 白色;尺码:155/80A/S,2020-07-08 14:26:34,应该是被别人试穿过的，粉底蹭在领口洗了都没掉，想换货还没货了，不开心。
t***4,颜色分类:00 白色;尺码:160/84A/M,2020-07-08 13:42:53,一如既往的好
通***鹰,颜色分类:00 白色;尺码:160/84A/M,2020-07-08 09:24:24,美
星***缘,颜色分类:00 白色;尺码:155/80A/S,2020-07-08 07:18:24,颜色挺好看。但这个面料有点硬，还容易起褶子。洗完后还得熨
c***x,颜色分类:00 白色;尺码:155/80A/S,2020-07-07 23:19:20,裙子颜色好看，穿上也舒服。
g***妍,颜色分类:00 白色;尺码:155/80A/S,2020-07-07 21:37:46,买到了小号，160.104穿着合适
火***6,颜色分类:00 白色;尺码:155/80A/S,2020-07-07 20:46:59,很不错，喜欢
春***3,颜色分类:00 白色;尺码:160/84A/M,2020-07-07 20:21:43,好看 美美的
洪***1,颜色分类:00 白色;尺码:160/88A/L,2020-07-07 18:58:27,整体评价：清新甜美 面料材质：棉硬 版型风格：宽松 搭配建议：可爱甜美 我的身高体重：168/120
木***与,颜色分类:09 黑色;尺码:160/84A/M,2020-07-07 18:41:22,此用户没有填写评论!
动***游,颜色分类:00 白色;尺码:160/84A/M,2020-07-07 18:31:12,此用户没有填写评论!
t***5,颜色分类:09 黑色;尺码:155/80A/S,2020-07-07 16:56:54,要是XS号就完美啦。
p***0,颜色分类:00 白色;尺码:155/80A/S,2020-07-07 15:59:15,太好看了，还很好穿，非常凉快，爱了爱了
大***猪,颜色分类:00 白色;尺码:160/88A/L,2020-07-07 15:55:00,孕8个月，168，体重120斤，穿着很宽松，做孕检凉快方便。等生完孩子扎个腰带也能穿。
沙***仔,颜色分类:00 白色;尺码:155/80A/S,2020-07-07 14:30:47,还凑活吧
n***e,颜色分类:00 白色;尺码:155/80A/S,2020-07-07 08:44:18,布料会响，花色也没这么鲜艳，还行吧
呀***路,颜色分类:09 黑色;尺码:155/80A/S,2020-07-07 08:05:07,颜色漂亮，款式简单，美哒哒
m***y,颜色分类:09 黑色;尺码:155/80A/S,2020-07-06 22:25:04,看着不好看，穿上身不错哦！是单层的，很凉快。自己配了一个披肩，休闲风。戴上腰带又是另外一种风格
我***妮,颜色分类:09 黑色;尺码:160/88A/L,2020-07-06 19:24:57,很漂亮的水果花，面料凉快、花色靓丽、长度合适、剪裁完美。适合不同年龄风格的女生。香吗？
c***3,颜色分类:00 白色;尺码:155/80A/S,2020-07-06 10:24:43,喜欢
t***2,颜色分类:00 白色;尺码:155/80A/S,2020-07-05 20:31:32,好
爱***7,颜色分类:00 白色;尺码:160/84A/M,2020-07-05 20:24:19,和女儿买的亲子装
青***1,颜色分类:00 白色;尺码:160/88A/L,2020-07-05 18:58:19,布料很薄很凉快，但是很挺阔。今年看够了小碎花买个大花洗洗眼睛
q***0,颜色分类:00 白色;尺码:160/84A/M,2020-07-05 13:12:58,喜欢
晨***3,颜色分类:00 白色;尺码:155/80A/S,2020-07-05 11:59:14,很好看，就是有些瑕疵，领口很脏，印花有一小点污点，觉得不影响美观就懒得退了
一***9,颜色分类:00 白色;尺码:155/80A/S,2020-07-05 10:24:47,这个连衣裙超级美啊
王***3,颜色分类:00 白色;尺码:155/80A/S,2020-07-04 23:25:36,超级喜欢啊 哈哈哈 看见第一眼我就喜欢上了 买回来穿上有点像孕妇装😂 可是我还是很喜欢 穿出去第一眼像睡衣 可是我就是很喜欢很喜欢这件衣服啊 太合我心意了 超级喜欢啊 哈哈哈 看见第一眼我就喜欢上了 买回来穿上有点像孕妇装😂 可是我还是很喜欢 穿出去第一眼像睡衣 可是我就是很喜欢很喜欢这件衣服啊 太合我心意了 超级喜欢啊 哈哈哈 看见第一眼我就喜欢上了 买回来穿上有点像孕妇装😂 可是我还是很喜欢 穿出去第一眼像睡衣 可是我就是很喜欢很喜欢这件衣服啊 太合我心意了
j***6,颜色分类:00 白色;尺码:160/88A/L,2020-07-04 18:55:16,好评
吴***2,颜色分类:00 白色;尺码:160/84A/M,2020-07-04 18:41:06,比老款的布料薄，为了和女儿配亲子装买的，女儿很喜欢这个花色
n***4,颜色分类:00 白色;尺码:155/80A/S,2020-07-04 10:40:36,衣服很不错的，物流也很快的，真棒！
无***7,颜色分类:00 白色;尺码:160/84A/M,2020-07-04 10:11:01,和女儿配的母女装，显瘦有时间上个图
无***7,颜色分类:09 黑色;尺码:160/88A/L,2020-07-04 10:11:01,和女儿配的母女装，显瘦有时间上个图
风***0,颜色分类:00 白色;尺码:160/84A/M,2020-07-04 06:32:03,材质写的是100%纯棉，实际是雨衣的性质，透气性很差。我已经把商标剪了，也没法退了
月***画,颜色分类:00 白色;尺码:160/88A/L,2020-07-04 00:38:56,这款裙子2个颜色都买了。对于小麦肤色的我而言，白色的效果没有黑色的好看。这款裙子很迷，虽然花型一样颜色不一样可上身的感觉确是2种风格。只能说设计师就是设计师，同一个色彩和花色就是能玩出花样来，让人停不下来购买的欲望。
月***画,颜色分类:09 黑色;尺码:160/88A/L,2020-07-04 00:14:43,上身很合身，面料是比较硬挺的细密薄棉，轻且有型，版型显瘦。花色真的很漂亮，这款我2个颜色都买了。黑色适合不是白皮的妹子，而且比白色的显瘦，我本人是小麦肤色，穿这个颜色的比白色的好看。白色的我穿着有点像睡裙的感觉，而且比黑色的显胖一些，效果没黑色的好。曾犹豫要不要退掉白色的，后来还是喜欢想天热穿这个凉快，可以换着穿就又留下了。上述给其他妹子一个参考。
玲***妹,颜色分类:00 白色;尺码:155/80A/S,2020-07-03 23:21:16,很喜欢这件裙子，配个腰带修身显瘦，颜色光彩夺目，回头率很高呀，哈哈！优衣库的衣服价位合适，品质也好值得购买，性价比高！
0***0,颜色分类:00 白色;尺码:155/80A/S,2020-07-03 22:47:10,很鲜艳 买了为和娃配亲子
7***连,颜色分类:00 白色;尺码:155/80A/S,2020-07-03 20:45:16,身高164体重50公斤，这个S码刚好，料子舒服，一直买优衣库的衣服，总体挺好看，好评好好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评
m***6,颜色分类:09 黑色;尺码:160/88A/L,2020-07-03 20:15:16,"168，62kg, 感觉再小一码也可以穿。轻薄，喜欢花色。"
t***6,颜色分类:00 白色;尺码:155/80A/S,2020-07-03 19:22:49,实物太美了，抓住青春的小尾巴，和闺女搭了亲子
b***e,颜色分类:09 黑色;尺码:155/80A/S,2020-07-03 19:12:09,好
s***o,颜色分类:09 黑色;尺码:155/80A/S,2020-07-03 14:08:16,很随意！很方便！很舒服！很合适...S码也可以妥妥的穿到生。而且有兜儿。同款裙子不同花买了三条...
t***8,颜色分类:00 白色;尺码:155/80A/S,2020-07-03 12:43:38,蛮喜欢
c***t,颜色分类:00 白色;尺码:155/80A/S,2020-07-03 12:35:17,非常适合拍照呀📷
梦***店,颜色分类:09 黑色;尺码:160/84A/M,2020-07-03 10:10:59,面料材质：看图片 整体评价：很美 版型风格：符合自己的调调 我的身高体重：净高164，重58
x***4,颜色分类:00 白色;尺码:160/84A/M,2020-07-03 08:03:13,好看，扎个腰带刚刚好
星***星,颜色分类:00 白色;尺码:160/84A/M,2020-07-02 22:17:39,棉布质地，夏天穿挺透气，搭亲子装很好看。
z***8,颜色分类:00 白色;尺码:155/80A/S,2020-07-02 22:16:08,太喜欢这个花色了！
l***e,颜色分类:00 白色;尺码:155/80A/S,2020-07-02 21:45:35,超好看的
青***y,颜色分类:00 白色;尺码:160/88A/L,2020-07-02 20:15:49,裙子好看，穿着凉快。已经安利给我的姐妹了
刘***2,颜色分类:00 白色;尺码:160/88A/L,2020-07-02 20:15:25,面料材质：雨衣 跟女儿配亲子装
z***7,颜色分类:00 白色;尺码:155/80A/S,2020-07-02 18:09:29,亲子装，还可以
m***0,颜色分类:09 黑色;尺码:155/80A/S,2020-07-02 17:09:07,很好看 穿着喜欢
赵***宝,颜色分类:00 白色;尺码:160/84A/M,2020-07-02 09:24:15,还可以
老***9,颜色分类:00 白色;尺码:155/80A/S,2020-07-02 08:39:40,之前在实体店买了一件，这次加够一件给孩子，搞个亲子装穿穿。
我***2,颜色分类:09 黑色;尺码:155/80A/S,2020-07-02 00:06:44,估计迟点会到99，但怕买不到码，真的很大呢
s***6,颜色分类:00 白色;尺码:160/84A/M,2020-07-01 15:51:29,嗯，找个时间改短些就好了
董***雪,颜色分类:00 白色;尺码:155/80A/S,2020-07-01 15:32:30,很好看，买来当亲子装的
七***主,颜色分类:00 白色;尺码:160/88A/L,2020-07-01 15:19:40,布料有些硬挺，不是软软的，版型尚可
色***3,颜色分类:00 白色;尺码:155/80A/S,2020-07-01 15:03:05,两个色都收了，完美！
色***3,颜色分类:09 黑色;尺码:155/80A/S,2020-07-01 15:02:44,两个色都收了，完美！
跳***猪,颜色分类:09 黑色;尺码:155/80A/S,2020-07-01 12:50:17,好
跳***猪,颜色分类:00 白色;尺码:155/80A/S,2020-07-01 12:50:17,好
彭***场,颜色分类:00 白色;尺码:155/80A/S,2020-07-01 12:28:41,好
木***与,颜色分类:00 白色;尺码:160/84A/M,2020-07-01 12:14:46,此用户没有填写评论!
忆***6,颜色分类:00 白色;尺码:160/88A/L,2020-07-01 11:53:09,好看，喜欢！和宝贝的亲子装！！！
e***6,颜色分类:00 白色;尺码:160/84A/M,2020-07-01 11:27:45,物美价廉，系上腰带巨美无比哦
我***赵,颜色分类:00 白色;尺码:155/80A/S,2020-07-01 10:39:39,布料很舒服，就是有点像睡衣
楼***闲,颜色分类:09 黑色;尺码:160/84A/M,2020-07-01 10:36:40,面料材质：挺括哒布料，不贴身 版型风格：剪裁简单，好搭配 我的身高体重：165cm  65kg  M号刚好
x***3,颜色分类:00 白色;尺码:160/88A/L,2020-07-01 08:48:25,这件真不错，显瘦，要不是去实体店看的，看图片觉得土气，其实一点儿也不土
很***里,颜色分类:09 黑色;尺码:160/84A/M,2020-07-01 00:13:35,款式还行，不满意布料的材质，要不是老妈穿的刚好，觉得还行，要不就退了
王***2,颜色分类:00 白色;尺码:160/88A/L,2020-07-01 00:13:26,感觉像的确良，面料挺括，穿着方便，可以配腰带，可以不配，胖子的福音
宋***7,颜色分类:00 白色;尺码:160/88A/L,2020-06-30 21:48:11,还不错，加条腰带更漂亮。
上***4,颜色分类:00 白色;尺码:160/84A/M,2020-06-30 21:34:03,买来和娃娃当亲子装的，不错，喜欢
h***8,颜色分类:09 黑色;尺码:160/84A/M,2020-06-30 21:20:10,薄薄的面料，印花很好看，还可以和孩子穿亲子装。就可惜快递不是顺丰和EMS，有点慢。
t***9,颜色分类:00 白色;尺码:160/88A/L,2020-06-30 20:50:57,，，，，，，
t***g,颜色分类:00 白色;尺码:160/84A/M,2020-06-30 17:51:56,此用户没有填写评论!
d***5,颜色分类:09 黑色;尺码:160/84A/M,2020-06-30 17:45:10,东西不错。
梅***8,颜色分类:09 黑色;尺码:155/80A/S,2020-06-30 16:20:31,裙子很喜欢，面料很舒服，版型也好！
聂***2,颜色分类:00 白色;尺码:155/80A/S,2020-06-30 13:16:56,喜欢，面料很舒服，版型好，穿上它心情会变好😄
撄***t,颜色分类:09 黑色;尺码:155/80A/S,2020-06-30 13:08:04,买它！！！美就完事儿了。我感觉绿色这个比白色要好看。绿色皱了也不容易看出来，宽松舒适不热还美，怎么可以不买！ 整体评价：太好了！买！ 面料材质：棉，不是非常容易皱。 版型风格：温柔恬静风 搭配建议：芭蕾鞋+发带+小衫 我的身高体重：162，51
果***9,颜色分类:00 白色;尺码:160/88A/L,2020-06-30 12:29:42,很可爱，和闺女是亲子装，都说好看！
酷***蛙,颜色分类:00 白色;尺码:160/84A/M,2020-06-30 11:57:14,穿起来很舒服。凉快。
不***朵,颜色分类:09 黑色;尺码:155/80A/S,2020-06-30 11:34:05,料子爽滑舒适，花色好看，可休闲可职业
x***m,颜色分类:00 白色;尺码:160/88A/L,2020-06-30 11:27:11,图案太好看了！！而且很凉爽
n***z,颜色分类:09 黑色;尺码:160/84A/M,2020-06-30 11:11:06,168 120合适
钻***惑,颜色分类:00 白色;尺码:160/84A/M,2020-06-30 10:50:19,裙子套装都入手了，就是上衣没有码了只能当外套穿了，里面配个白色的背心穿，超级喜欢这样花花的料子，这样的价格算是性价比挺高的了
狼***意,颜色分类:00 白色;尺码:160/88A/L,2020-06-30 08:56:04,胸部那里有一点紧
维***曲,颜色分类:00 白色;尺码:160/84A/M,2020-06-30 07:54:22,很喜欢舒服，亲子
赌***蕉,颜色分类:00 白色;尺码:155/80A/S,2020-06-29 21:59:03,整体评价：很好看，比较显白，青春活力，很喜欢  面料材质：不是那种棉的，但是很舒服，很透气  版型风格：自己搭了一条腰带，黑色白色都可以 挺好看，显身材，有伞裙的感觉了  搭配建议：单穿感觉有点胳膊粗怎么办？我也不知道怎么搭配衣服咯  我的身高体重：165的身高买155s没有压力！！
诚***5,颜色分类:09 黑色;尺码:160/84A/M,2020-06-29 20:06:03,本来想买白色的，因为大家晒图白色的特别好看！结果看了一会后白色的没有了，于是买了黑色的（下单后，白色的又有了），试穿了一下，我自己很满意！快50岁的大妈我很满意哦！布料很薄，较软，穿在身上很舒服，本来是打算在家里穿穿的，但现在感觉加一件小上衣也能穿着去上班呢。老公拍照不在行，加上我表情比较呆板，所以照片的整体上的效果没有现实中看得好看。 谢谢店家有这么性价比高的宝贝！
l***1,颜色分类:09 黑色;尺码:155/80A/S,2020-06-29 20:04:28,很喜欢这样的花色，希望以后多出几款，优衣库是年年必购之家
小***鸢,颜色分类:00 白色;尺码:160/84A/M,2020-06-29 16:44:45,面料没弹性，胳膊粗的小姐姐可以买稍微大点的，配腰带更好看
青***妮,颜色分类:00 白色;尺码:160/88A/L,2020-06-29 15:51:03,整体评价：一般 面料材质：不透气闷热 版型风格：领口为啥不做低一点，要凉快好多 搭配建议：有口袋还是蛮好的
么***人,颜色分类:00 白色;尺码:155/80A/S,2020-06-29 15:47:47,很漂亮，很宽松，很凉快
t***8,颜色分类:00 白色;尺码:160/84A/M,2020-06-29 11:46:16,当孕妇裙穿 不错 体重104 身高167 给大家参考
迪***1,颜色分类:00 白色;尺码:155/80A/S,2020-06-29 11:28:33,很喜欢，好看，料子是瞅瞅的
清***4,颜色分类:00 白色;尺码:155/80A/S,2020-06-29 08:56:56,全棉的，配色很好看！
l***1,颜色分类:00 白色;尺码:155/80A/S,2020-06-28 23:25:46,我穿大了一点，不过腰间系一条腰带整体就太好看了
安***拉,颜色分类:00 白色;尺码:160/84A/M,2020-06-28 23:02:50,纠结了半天还是自留啦，花色不是我的风格为了跟宝宝配亲子装才买的，结果发现穿着还挺合适，面料和宝宝穿的不一样，偏硬些
小***1,颜色分类:00 白色;尺码:155/80A/S,2020-06-28 22:11:33,此用户没有填写评论!
水***8,颜色分类:00 白色;尺码:160/84A/M,2020-06-28 22:11:17,裙子收到了，大小合适，面料蛮舒服，今年的合作款很漂亮，让优衣库多一种风格，很喜欢
l***m,颜色分类:09 黑色;尺码:160/88A/L,2020-06-28 20:11:42,面料薄薄的，挺刮有型，两侧有口袋，穿上凉快舒适！花色好看，上班可外搭黑色小西装 特别职业范儿！！优衣库的设计师合作款太好穿了，闭眼入！！
邓***5,颜色分类:00 白色;尺码:160/84A/M,2020-06-28 19:47:12,漂亮，终于买到白色的了。尺码也非常合适。不配腰带穿着很可爱。自己配个腰带也好看。打折划算。
k***a,颜色分类:00 白色;尺码:155/80A/S,2020-06-28 19:07:28,面料轻薄，165，97，很合适，很宽松，适合夏天
淡***李,颜色分类:00 白色;尺码:155/80A/S,2020-06-28 18:31:13,衣服质量还不错，不透，款式好看
r***1,颜色分类:00 白色;尺码:155/80A/S,2020-06-28 16:29:03,特别好看，衣料薄而不透，大爱
赵***4,颜色分类:00 白色;尺码:155/80A/S,2020-06-28 14:07:38,薄而不透，40岁穿上像20岁的，就是袖口有些大，容易走光。
s***猪,颜色分类:00 白色;尺码:160/84A/M,2020-06-28 13:58:14,布料很舒服，花色很亮眼，就是我有点小胖
t***0,颜色分类:00 白色;尺码:160/84A/M,2020-06-28 08:46:01,虽然不收腰，被吐槽想睡衣，但是超级喜欢图案，所以舍不得退。意外的是爸妈和叔叔阿姨都觉得好看。 我的身高体重：168 115
青***往,颜色分类:00 白色;尺码:160/84A/M,2020-06-28 04:04:00,跟我闺女买的亲子装，可她不爱穿啊！
