displayUserNick,auctionSku,rateDate,rateContent
m***4,颜色:11 粉红色;尺码:175/100A/L,2021-03-05 12:21:30,颜色有点暗
沫***8,颜色:30 浅米色;尺码:165/84A/S,2021-02-12 23:45:20,好看
z***6,颜色:30 浅米色;尺码:170/92A/M,2021-02-12 21:30:38,发货快，包装严实，商品质量非常好，比专柜便宜很多，客服服务态度也特别好，好评🌵值得购买！没有什么味道，用起来还可以😘，没有不舒服的地方😶，所以我还蛮喜欢的🆒是正品，跟商店里买的是一样的，在这网购方便快捷，品质放心，还会光顾！.^◡^.包装很好，质量非常棒，宝贝完全符合卖家的描述，可以放心购买😍感谢🙏趁着优惠，赶紧入手，是正品，包装也非常的好，没有破损，质量也是没得说，棒👍
z***6,颜色:66 蓝色;尺码:170/92A/M,2021-02-12 21:30:38,质量非常好，非常满意的一次购物。客服有问必答，非常专业以前一直都是在实体店买，这次选择了网上买，不光是正品，价格还实惠！真的推荐啊，快递速度特别的快，爱了爱了宝贝收到，物流很快，描述相符，比较满意，好评，推荐已经收到啦，很不错，还有赠品，性价比太高啦，爱了爱了值得购买的产品，做工非常精细，比想象中的好，推荐大家尝试
龚***擦,颜色:66 蓝色;尺码:185/128C/XXXXL,2021-02-12 18:06:19,二百四十斤穿着还有点大其实3X就可以，4X就是大点，衣服面料很舒服值这个价这要是勾子得三百大洋了吧！性价比不错
赊***h,颜色:11 粉红色;尺码:175/100A/L,2021-02-12 13:23:07,很好
贝***思,颜色:11 粉红色;尺码:170/92A/M,2021-02-12 12:25:25,不错之前日本买过一件墨绿，喜欢两边口袋设计
z***6,颜色:01 乳白色;尺码:160/76A/XS,2021-02-11 22:17:21,很柔软，帽子有点厚啊
道***见,颜色:30 浅米色;尺码:165/84A/S,2021-02-11 21:40:02,顺丰物流很快，之前买了件黑色的，这次又买了件米色，好评
s***5,颜色:30 浅米色;尺码:185/120C/XXXL,2021-02-11 21:27:20,男友身高185，体重90公斤，买了3xl穿上正好，质量和颜色都很好，男友很喜欢。
来***拉,颜色:66 蓝色;尺码:175/100A/L,2021-02-11 20:55:52,中意，穿上很好看，快递哥辛苦了，
f***e,颜色:30 浅米色;尺码:170/92A/M,2021-02-11 20:50:08,175，体重130，M码刚刚好。
t***7,颜色:11 粉红色;尺码:175/100A/L,2021-02-11 14:40:00,还行
y***1,颜色:09 黑色;尺码:180/108B/XL,2021-02-11 14:31:43,正品，棒棒哒，价格很优惠，总而言之挺好的，还会再买
l***n,颜色:08 深灰色;尺码:180/108B/XL,2021-02-11 11:51:31,质量还不错，春秋天穿都好看
黄***8,颜色:09 黑色;尺码:170/92A/M,2021-02-11 10:43:56,这系列买了很多次了！舒适！
w***9,颜色:08 深灰色;尺码:175/100A/L,2021-02-11 09:52:40,OK，这里事常规款，不是厚款
1***8,颜色:11 粉红色;尺码:185/112C/XXL,2021-02-10 23:45:34,挺好的
一***来,颜色:05 天灰色;尺码:165/84A/S,2021-02-10 20:01:21,不错，蛮合适的，挺喜欢的
刘***你,颜色:30 浅米色;尺码:170/92A/M,2021-02-10 18:46:00,非常好
山***笋,颜色:09 黑色;尺码:165/84A/S,2021-02-10 17:00:13,非常好，不薄也不厚！
僦***帅,颜色:30 浅米色;尺码:170/92A/M,2021-02-10 16:37:56,还行
八***莫,颜色:11 粉红色;尺码:175/100A/L,2021-02-10 13:43:22,挺好的毛衫
g***5,颜色:01 乳白色;尺码:185/112C/XXL,2021-02-10 11:47:19,已经收到啦，很不错，还有赠品，性价比太高啦，爱了爱了
无***徒,颜色:05 天灰色;尺码:175/100A/L,2021-02-10 11:27:04,还不错，符合预期
l***g,颜色:08 深灰色;尺码:170/92A/M,2021-02-10 10:28:20,尺码推荐：171，70kg，穿m码稍宽松，很合适。
l***g,颜色:11 粉红色;尺码:180/108B/XL,2021-02-10 09:25:07,很好
l***g,颜色:66 蓝色;尺码:180/108B/XL,2021-02-10 09:25:07,很好，喜欢
陈***6,颜色:11 粉红色;尺码:165/84A/S,2021-02-10 08:00:57,好看，袖口比较宽。保暖(｡･&omega;･｡)
胡***山,颜色:05 天灰色;尺码:180/108B/XL,2021-02-10 07:02:33,发的顺丰超级快，柔软舒适，内里不起球，之前买过同款黄色，这次买的浅灰色来搭配外套   181/85 XL适中  上身效果很棒
心***脑,颜色:05 天灰色;尺码:170/92A/M,2021-02-10 01:45:42,质感还可以，还没穿不知道后期怎么样 本人身高170，体重126刚刚合适吧
最***座,颜色:30 浅米色;尺码:185/112C/XXL,2021-02-10 01:34:26,就这
朱***7,颜色:66 蓝色;尺码:175/100A/L,2021-02-10 01:14:04,喜欢穿宽松的，推荐买S，自选买了L，喜欢优衣库！帽子有型，不会软塌塌的！
骏***0,颜色:05 天灰色;尺码:180/108B/XL,2021-02-09 23:03:15,偏宽松，厚实！偏瘦可以买小一码！
正***啊,颜色:05 天灰色;尺码:165/84A/S,2021-02-09 17:35:38,149入，有点偏贵，不过百搭，男女都可以穿，料子不错
阿***珂,颜色:05 天灰色;尺码:185/128C/XXXXL,2021-02-09 15:58:47,一如既往的好 不多说
r***7,颜色:11 粉红色;尺码:175/100A/L,2021-02-09 14:35:45,不错不错
w***见,颜色:05 天灰色;尺码:165/84A/S,2021-02-09 13:10:27,好看
f***m,颜色:09 黑色;尺码:185/120C/XXXL,2021-02-09 12:57:23,买的时候没细看以为是普通卫衣，为什么它里面设计了个兜？？？整个版型都毁了。这个兜是干什么用的我搞不懂，他有很强的功能性？？？见过显肚子的衣服，没见过显肚子显得比我本来的肚子还大一圈的衣服
名***了,颜色:30 浅米色;尺码:165/84A/S,2021-02-09 12:44:25,穿着舒适 尤其是帽子很服帖 袖口附近略有线头 总体满意
杨***6,颜色:66 蓝色;尺码:160/76A/XS,2021-02-09 11:15:39,颜色版型都很好，做工实在是太不给力了，袖口腋窝处都是线头，粗糙的很！
每***卡,颜色:01 乳白色;尺码:170/92A/M,2021-02-09 11:01:20,上身效果很好看
j***r,颜色:66 蓝色;尺码:185/112C/XXL,2021-02-09 10:00:17,衣服不错，穿起来很有型
d***5,颜色:05 天灰色;尺码:175/100A/L,2021-02-09 09:43:39,整体评价：好 上身效果：合身 厚薄度：厚度可以 面料品质：棉质柔软
t***d,颜色:11 粉红色;尺码:175/100A/L,2021-02-09 09:21:35,都是线头，这是我买过品质最差的优衣库了
柏***牟,颜色:30 浅米色;尺码:180/108B/XL,2021-02-08 23:14:40,还不错～质量也OK～
t***9,颜色:30 浅米色;尺码:170/92A/M,2021-02-08 21:28:35,买回来没多久，左手袖子就脱线了，质量有点差
r***e,颜色:05 天灰色;尺码:170/92A/M,2021-02-08 21:24:33,一般
屠***河,颜色:30 浅米色;尺码:180/108B/XL,2021-02-08 19:00:49,面料一般，并且洗了一次之后缩水很厉害
烟***雪,颜色:30 浅米色;尺码:175/100A/L,2021-02-08 17:39:20,蛮舒服的，颜色好看。
t***9,颜色:05 天灰色;尺码:165/84A/S,2021-02-08 16:47:53,好 好好
向***8,颜色:05 天灰色;尺码:165/84A/S,2021-02-08 14:05:08,物流非常快，衣服质量也不错，女，175/55kg，正好，不断宽松也不紧绷，觉得两个兜有点小
t***5,颜色:66 蓝色;尺码:180/108B/XL,2021-02-08 13:58:37,实物蓝色比图片稍浅一点，也可以接受，衣服薄厚正常算春秋款的
y***g,颜色:11 粉红色;尺码:165/84A/S,2021-02-08 13:36:45,等着降价卖的，爆喜欢
o***o,颜色:30 浅米色;尺码:180/108B/XL,2021-02-08 12:08:35,整体评价：不错 材质特性：棉柔 上身效果：满意显瘦 厚薄度：适中
t***6,颜色:05 天灰色;尺码:165/84A/S,2021-02-08 11:32:29,还行吧
饺***s,颜色:09 黑色;尺码:165/84A/S,2021-02-08 11:22:04,给男朋友买的 他很喜欢 有点薄&hellip;适合春天暖和了穿&hellip;
t***4,颜色:05 天灰色;尺码:175/100A/L,2021-02-08 09:27:09,看这掉毛掉的，根本没法洗，还洗废我一条裤子
d***t,颜色:05 天灰色;尺码:175/100A/L,2021-02-08 08:57:33,款式不错
天***呀,颜色:30 浅米色;尺码:170/92A/M,2021-02-08 08:04:05,衣服舒适，料子舒服
l***0,颜色:30 浅米色;尺码:175/100A/L,2021-02-07 22:18:22,款式非常满意 孩子穿上很帅气
