displayUserNick,auctionSku,rateDate,rateContent
祝***波,颜色:03 灰色;尺码:170/92A/M,2021-03-01 07:44:29,还不错
印***头,颜色:09 黑色;尺码:175/100A/L,2020-11-23 13:55:54,满意
e***7,颜色:03 灰色;尺码:170/92A/M,2020-11-23 08:22:00,相当实用
l***t,颜色:69 藏青色;尺码:185/112C/XXL,2020-11-22 22:22:14,轻薄 很舒服  方便携带
多***3,颜色:69 藏青色;尺码:175/100A/L,2020-11-22 10:58:11,"东西质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次"
永***泡,颜色:69 藏青色;尺码:180/108B/XL,2020-11-21 23:27:36,好评！
y***x,颜色:03 灰色;尺码:175/100A/L,2020-11-21 16:54:56,这个衣服买了好几件了 ，夏天穿很好
l***2,颜色:09 黑色;尺码:185/128C/XXXXL,2020-11-21 13:54:37,优衣库真的是刚发现的宝藏品牌，我老公高胖身材，优衣库的大码真棒，面料，做工很不错，性价比高，从此迷上优衣库，最近多次购买，每次都好多件，真心是买的很欢喜
p***1,颜色:69 藏青色;尺码:170/92A/M,2020-11-20 13:41:11,很薄漂亮
青***5,颜色:69 藏青色;尺码:175/100A/L,2020-11-20 11:07:41,很好的，第二件了。
n***5,颜色:69 藏青色;尺码:165/84A/S,2020-11-20 09:47:03,好
t***3,颜色:45 柠檬黄色;尺码:175/100A/L,2020-11-20 08:53:41,此用户没有填写评论!
t***3,颜色:09 黑色;尺码:175/100A/L,2020-11-20 08:53:41,此用户没有填写评论!
m***k,颜色:03 灰色;尺码:170/92A/M,2020-11-19 23:38:53,已经有oh sunny两件。觉得优衣库这款好薄，舒服。原价准备入手的，一直不降价，130多太划算了。
木***狸,颜色:03 灰色;尺码:170/92A/M,2020-11-19 23:10:42,和实体店看的一样，但划算太多了！优衣库防晒衣太可了！！
大***闹,颜色:03 灰色;尺码:180/108B/XL,2020-11-19 19:42:37,优衣库，没的说，里里外外都是！
w***6,颜色:09 黑色;尺码:185/112C/XXL,2020-11-19 11:42:33,优衣库衣服品质保证
t***7,颜色:03 灰色;尺码:170/92A/M,2020-11-18 18:27:06,老歌很喜欢
天***姐,颜色:09 黑色;尺码:185/120C/XXXL,2020-11-18 15:13:14,实物与图片描述一致！收到包装完整，发货速度非常快，包装非常仔细、严实，很满意的一次购物。很好价格优惠，非常满意，真的很喜欢。
z***5,颜色:69 藏青色;尺码:180/108B/XL,2020-11-18 14:25:57,双十一活动买的，和去年买的材质不同，薄挺好的
爱***3,颜色:69 藏青色;尺码:175/100A/L,2020-11-18 11:52:09,衣服是不错，就是第一次穿这个牌子没想到号码偏大，1号下的单收到货发现偏大之后，想换货，结果就这么一个简单的问题跟客服联系半天也回答不明白，一个劲的让我提供订单编号，提供了过会又要，真是可以，还不如机器人，可能店大顾客多，不缺这十个八个
t***0,颜色:69 藏青色;尺码:175/100A/L,2020-11-18 11:32:13,好评
那***1,颜色:69 藏青色;尺码:175/100A/L,2020-11-17 16:40:39,149买的  还不错
猪***p,颜色:69 藏青色;尺码:175/100A/L,2020-11-17 16:24:55,质量好没色差
y***三,颜色:03 灰色;尺码:170/92A/M,2020-11-17 16:17:02,很合适
露***买,颜色:03 灰色;尺码:175/100A/L,2020-11-16 21:41:40,轻薄便携；颜色正，灰色不挑年龄；兜带拉锁特别好。买小了送给老爸，又给老公加购一件。
露***买,颜色:03 灰色;尺码:180/108B/XL,2020-11-16 21:19:18,轻薄，可收纳；特别好的是兜带拉锁。老爸老公一人一件～
呆***客,颜色:03 灰色;尺码:175/100A/L,2020-11-16 20:33:16,还不错哦，优衣库的衣服很赞
j***3,颜色:69 藏青色;尺码:170/92A/M,2020-11-16 20:00:43,质量ok，价格略贵
j***3,颜色:09 黑色;尺码:175/100A/L,2020-11-16 20:00:43,衣服质量其实还是可以的，就略贵
g***3,颜色:69 藏青色;尺码:185/120C/XXXL,2020-11-16 18:39:46,质量及款式都不错
t***6,颜色:69 藏青色;尺码:170/92A/M,2020-11-16 17:37:21,挺好的
打***我,颜色:09 黑色;尺码:175/100A/L,2020-11-16 16:01:54,好
饥***丽,颜色:03 灰色;尺码:175/100A/L,2020-11-16 13:52:08,自己有一件女款，趁着活动给我老公买一件同款当情侣装！
w***1,颜色:09 黑色;尺码:185/120C/XXXL,2020-11-16 12:15:30,薄如蝉翼，给老公买的没穿呢，天冷了，自己之前有个白色的夏天防嗮穿，
g***7,颜色:03 灰色;尺码:175/100A/L,2020-11-16 11:21:40,衣服不错
知***a,颜色:69 藏青色;尺码:185/112C/XXL,2020-11-16 08:15:38,很好穿
t***y,颜色:03 灰色;尺码:170/92A/M,2020-11-15 23:04:15,满意！
m***8,颜色:69 藏青色;尺码:180/108B/XL,2020-11-15 21:39:16,蛮好的
猪***2,颜色:09 黑色;尺码:180/108B/XL,2020-11-15 20:32:57,好
t***0,颜色:45 柠檬黄色;尺码:175/100A/L,2020-11-15 18:48:15,质量很好，很喜欢
t***0,颜色:69 藏青色;尺码:175/100A/L,2020-11-15 18:48:15,质量很好，很喜欢
流***0,颜色:69 藏青色;尺码:175/100A/L,2020-11-15 16:55:55,不错
a***s,颜色:09 黑色;尺码:175/100A/L,2020-11-15 15:59:37,好
d***g,颜色:69 藏青色;尺码:180/108B/XL,2020-11-15 14:44:58,不错
回***兮,颜色:69 藏青色;尺码:175/100A/L,2020-11-15 14:27:43,收到了，衣服还不错，挺舒服
e***1,颜色:03 灰色;尺码:175/100A/L,2020-11-15 14:27:35,质量很好，没问题
红***7,颜色:03 灰色;尺码:180/108B/XL,2020-11-15 12:06:28,囤货的
陈***a,颜色:09 黑色;尺码:175/100A/L,2020-11-15 10:19:16,外套很薄，担心会破但其实不会
乐***妞,颜色:03 灰色;尺码:180/108B/XL,2020-11-14 23:20:31,不错
爱***悠,颜色:03 灰色;尺码:175/100A/L,2020-11-14 20:11:14,今年降价也太慢了
t***7,颜色:69 藏青色;尺码:180/108B/XL,2020-11-14 19:19:43,满意
怀***狗,颜色:03 灰色;尺码:165/84A/S,2020-11-14 12:37:37,还可以
c***蔡,颜色:69 藏青色;尺码:185/112C/XXL,2020-11-14 12:03:19,衣服很轻薄。便于携带。
r***h,颜色:69 藏青色;尺码:175/100A/L,2020-11-14 09:58:25,客户服务非常差！人工客服根本找不到！问非所答一直自动回复！根本找不到人去处理问题！
水***0,颜色:03 灰色;尺码:170/92A/M,2020-11-14 01:13:51,挺好，薄薄的。一家三口都买了防晒衣.。
l***6,颜色:09 黑色;尺码:175/100A/L,2020-11-13 22:39:18,优衣库还是不错的双十一买性价比高
t***7,颜色:69 藏青色;尺码:170/92A/M,2020-11-13 20:21:25,完美，还会回购
t***1,颜色:03 灰色;尺码:180/108B/XL,2020-11-13 15:57:34,很好，双十一减价不少，不错
g***r,颜色:69 藏青色;尺码:165/84A/S,2020-11-13 08:14:57,给爸爸买的，不错！
w***8,颜色:69 藏青色;尺码:180/108B/XL,2020-11-13 07:55:37,挺好的  喜欢
o***0,颜色:09 黑色;尺码:180/108B/XL,2020-11-12 09:54:40,整体厚度很好 质量不错
流***雪,颜色:69 藏青色;尺码:180/108B/XL,2020-11-12 09:51:00,东西不错，符合我的要求，薄款帽衫，兜上有拉锁。
j***0,颜色:69 藏青色;尺码:180/108B/XL,2020-11-12 00:18:10,一如既往的好，相信品牌，会继续支持
a***t,颜色:03 灰色;尺码:170/92A/M,2020-11-11 22:18:34,尺码推荐：169cm，64kg穿M合适
x***i,颜色:69 藏青色;尺码:180/108B/XL,2020-11-11 22:09:55,优衣库这款衣服很舒服，值得购买。
喵***4,颜色:09 黑色;尺码:185/128C/XXXXL,2020-11-11 14:54:14,整体评价：不错很透气防点小水
东***2,颜色:69 藏青色;尺码:175/100A/L,2020-11-11 12:03:37,很轻很薄，夏日穿吧
m***5,颜色:09 黑色;尺码:180/108B/XL,2020-11-10 21:47:48,今年夏天在实体店铺试好的，一直没有降价，终于功夫不负有心人，这次双十一让我等到了降价，入手了，不错，和实体店试的一样
s***p,颜色:69 藏青色;尺码:170/92A/M,2020-11-10 21:40:23,好看，虽然看起来样式简单，但上身效果特别好
陈***0,颜色:45 柠檬黄色;尺码:175/100A/L,2020-11-10 13:21:34,包装像是别人退货的，里面衣服很乱，虽然对衣服品质不影响，但是拜托！也要重新贴好衣服再发货吧！至少不影响买家心情。
桃***9,颜色:69 藏青色;尺码:175/100A/L,2020-11-10 10:48:24,之前买过一件丢了，复购产品，在广东秋天穿够了。
f***7,颜色:69 藏青色;尺码:170/92A/M,2020-11-10 09:26:38,超级好 降价了 很划算
晏***e,颜色:69 藏青色;尺码:170/92A/M,2020-11-10 07:02:47,衣服挺好看的，打折优惠多多
l***八,颜色:03 灰色;尺码:175/100A/L,2020-11-09 23:44:03,超级好
y***g,颜色:03 灰色;尺码:170/92A/M,2020-11-09 20:22:09,物流很慢，衣服款式不错，已经有蓝色款了，这次买个灰色的试试。
孤***拜,颜色:09 黑色;尺码:185/112C/XXL,2020-11-09 18:56:20,质量好
5***m,颜色:69 藏青色;尺码:175/100A/L,2020-11-09 17:56:06,好评！
5***m,颜色:09 黑色;尺码:175/100A/L,2020-11-09 17:56:06,好评！
天***7,颜色:03 灰色;尺码:175/100A/L,2020-11-09 00:07:10,好评
吴***7,颜色:69 藏青色;尺码:175/100A/L,2020-11-08 17:10:41,不错，比平时便宜，划算。
温***s,颜色:03 灰色;尺码:170/92A/M,2020-11-08 16:18:23,第一次买优衣库的防晒，双十一打折先屯上
t***8,颜色:69 藏青色;尺码:180/108B/XL,2020-11-08 13:08:44,很轻薄 质量很不错
y***4,颜色:03 灰色;尺码:180/108B/XL,2020-11-08 12:44:41,非常不错，多次购买，做活动时候买很优惠，快递也是特别快
黄***8,颜色:09 黑色;尺码:185/112C/XXL,2020-11-08 09:39:01,不错
五***9,颜色:69 藏青色;尺码:180/108B/XL,2020-11-08 07:01:04,完美！
r***9,颜色:03 灰色;尺码:180/108B/XL,2020-11-07 19:05:39,挺好的实惠
k***7,颜色:03 灰色;尺码:175/100A/L,2020-11-07 16:49:04,比线下专卖店便宜100元，这就是双11的福利，做工精细，号码标准，非常满意。
天***雪,颜色:69 藏青色;尺码:175/100A/L,2020-11-07 16:15:47,反季购买，价格优惠，适合春秋季节穿，出行便于收纳。至于是否防紫外线无法考证！
依***佳,颜色:69 藏青色;尺码:175/100A/L,2020-11-07 13:35:00,很好
l***5,颜色:69 藏青色;尺码:185/112C/XXL,2020-11-07 13:12:30,质量不错
m***y,颜色:69 藏青色;尺码:165/84A/S,2020-11-07 08:34:32,好穿，划算
t***6,颜色:03 灰色;尺码:170/92A/M,2020-11-06 21:30:16,宝贝收到了，包装很结实，应该是个好东西，先给好评了
t***9,颜色:69 藏青色;尺码:175/100A/L,2020-11-06 20:40:25,不错，挺好的，值得购买！
汪***娓,颜色:03 灰色;尺码:175/100A/L,2020-11-06 18:23:24,可以
m***1,颜色:09 黑色;尺码:175/100A/L,2020-11-06 16:50:55,男朋友很喜欢，觉得黑色很搭，感觉很时尚
道***大,颜色:69 藏青色;尺码:185/112C/XXL,2020-11-06 11:35:24,不错
会***条,颜色:69 藏青色;尺码:175/100A/L,2020-11-05 23:12:07,和实体店没差别，面料很柔软很舒服，穿起来挺舒服的。快递也很给力，就是客服回复的太慢了！一定要先去实体店试好了自己的尺码再来网店买，不然退个货都找不到人。
a***1,颜色:69 藏青色;尺码:180/108B/XL,2020-11-05 20:02:38,很舒服
d***8,颜色:45 柠檬黄色;尺码:180/108B/XL,2020-11-05 18:05:23,家里人手一件，太实用了
t***8,颜色:69 藏青色;尺码:185/128C/XXXXL,2020-11-04 22:43:03,质量很好。价格比实体店便宜。
倚***语,颜色:69 藏青色;尺码:185/112C/XXL,2020-11-04 20:00:21,蛮好的。
y***e,颜色:03 灰色;尺码:175/100A/L,2020-11-04 16:22:49,还行吧
我***2,颜色:69 藏青色;尺码:185/112C/XXL,2020-11-03 18:45:44,挺不错的～以前在线下购买，只有xl 稍微紧一点，现在大一个尺码正好～
没***扯,颜色:03 灰色;尺码:180/108B/XL,2020-11-03 14:15:42,整体评价：物美价廉 上身效果：很合身舒服 厚薄度：很薄
大***翁,颜色:69 藏青色;尺码:180/108B/XL,2020-11-03 13:18:53,好评
f***y,颜色:09 黑色;尺码:180/108B/XL,2020-11-03 00:06:51,还可以
s***o,颜色:09 黑色;尺码:185/128C/XXXXL,2020-11-02 23:59:32,大小合适
h***7,颜色:69 藏青色;尺码:175/100A/L,2020-11-01 19:02:13,不错
红***蟹,颜色:69 藏青色;尺码:170/92A/M,2020-11-01 12:23:16,挺好
g***赖,颜色:69 藏青色;尺码:185/120C/XXXL,2020-10-29 12:20:48,质量非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。收到货，第一时间拆包装，感觉质量还是比较好的，与卖家描述的还是一致的，非常满意，发货速度比较快，物流公司服务态度很好，运送速度很快，总的来说这次是很满意的一次购物，感谢卖家。
l***8,颜色:69 藏青色;尺码:165/84A/S,2020-10-26 09:55:53,不错
甜***6,颜色:69 藏青色;尺码:175/100A/L,2020-10-25 23:35:29,买给老爸的 170 150穿L很合适
小***淋,颜色:57 深橄榄色;尺码:180/108B/XL,2020-10-17 16:22:21,不错
马***2,颜色:69 藏青色;尺码:180/108B/XL,2020-10-17 12:24:03,整体评价：非常好哦 厚薄度：春秋夏天都适用 面料品质：好 材质特性：好 上身效果：很不错 尺码推荐：182身高 180体重 XL
d***啊,颜色:03 灰色;尺码:170/92A/M,2020-10-15 11:51:22,好评
方***政,颜色:57 深橄榄色;尺码:170/92A/M,2020-10-13 21:00:16,质量比去年买的有所下降，也还可以
k***5,颜色:69 藏青色;尺码:180/108B/XL,2020-10-07 17:40:33,非常不错
2***荣,颜色:03 灰色;尺码:175/100A/L,2020-10-04 12:01:24,此用户没有填写评论!
小***e,颜色:09 黑色;尺码:185/112C/XXL,2020-10-03 19:54:36,给爸爸买的～他挺喜欢的
相***谁,颜色:65 宝蓝色;尺码:170/92A/M,2020-09-28 20:18:16,这件衣服我非常喜欢，实物比图片颜色饱满，呈深蓝色的，很好看。但在穿着中有点开线，感谢优衣库为我提供了换货售后，现在穿上感觉内心很满足。
b***e,颜色:65 宝蓝色;尺码:180/108B/XL,2020-09-28 09:36:22,给爸爸买的，老人家喜欢
k***6,颜色:65 宝蓝色;尺码:160/76A/XS,2020-09-26 13:57:09,女生也能穿
韩***好,颜色:65 宝蓝色;尺码:175/100A/L,2020-09-25 15:11:11,给弟弟买的，弟弟很喜欢，棒
t***3,颜色:69 藏青色;尺码:180/108B/XL,2020-09-24 18:27:32,衣服质量很好，穿着舒服
h***5,颜色:09 黑色;尺码:185/112C/XXL,2020-09-24 10:38:00,此用户没有填写评论!
相***谁,颜色:65 宝蓝色;尺码:170/92A/M,2020-09-23 05:16:58,略微有点色差，实物比图片颜色好看多了，很满意。
蜷***蜷,颜色:69 藏青色;尺码:180/108B/XL,2020-09-21 17:15:32,物流一般 衣服挺好
t***1,颜色:69 藏青色;尺码:185/128C/XXXXL,2020-09-21 16:40:04,尺码推荐：爸爸平时穿195的，这个码可以穿，哈哈，终于可以买到合适的了
大***o,颜色:69 藏青色;尺码:180/108B/XL,2020-09-21 13:59:31,不错
黏***雨,颜色:65 宝蓝色;尺码:170/92A/M,2020-09-20 19:16:33,还可以叭
脂***挂,颜色:03 灰色;尺码:170/92A/M,2020-09-18 12:40:44,此用户没有填写评论!
小***事,颜色:09 黑色;尺码:175/100A/L,2020-09-18 09:21:50,此用户没有填写评论!
s***j,颜色:03 灰色;尺码:180/108B/XL,2020-09-18 09:17:26,老爸非常喜欢
t***2,颜色:03 灰色;尺码:175/100A/L,2020-09-18 08:13:46,整体评价：很不错
t***菱,颜色:69 藏青色;尺码:185/120C/XXXL,2020-09-17 21:23:43,衣服很薄 穿起来好看 但是天气热的时候晒起来还是热
家***子,颜色:09 黑色;尺码:160/76A/XS,2020-09-17 20:18:41,非常喜欢
i***9,颜色:69 藏青色;尺码:180/108B/XL,2020-09-17 17:46:23,上身效果：非常好。 厚薄度：轻薄透气，不闷热。
糖***4,颜色:03 灰色;尺码:170/92A/M,2020-09-17 15:08:03,应该买平时穿的码
m***g,颜色:03 灰色;尺码:180/108B/XL,2020-09-16 22:31:53,挺好的，穿上去很轻便
z***1,颜色:03 灰色;尺码:175/100A/L,2020-09-16 09:31:10,好用
a***i,颜色:03 灰色;尺码:180/108B/XL,2020-09-15 21:53:15,很合身
嘿***京,颜色:03 灰色;尺码:175/100A/L,2020-09-14 11:38:32,之前在实体店试过，终于降价了50元，果断买下
x***1,颜色:57 深橄榄色;尺码:175/100A/L,2020-09-14 11:06:22,喜欢
g***r,颜色:69 藏青色;尺码:175/100A/L,2020-09-13 20:02:07,不错不错不错不错的衣服
v***2,颜色:65 宝蓝色;尺码:175/100A/L,2020-09-13 12:21:17,还不错 买完就降价了
y***o,颜色:03 灰色;尺码:180/108B/XL,2020-09-11 21:16:28,防水面料，灰色看着很舒服
向***路,颜色:69 藏青色;尺码:185/120C/XXXL,2020-09-11 18:46:54,很好，很漂亮。
e***3,颜色:03 灰色;尺码:170/92A/M,2020-09-11 14:48:58,可以
h***6,颜色:69 藏青色;尺码:185/112C/XXL,2020-09-11 12:17:41,东西很好，正好搞活动打折入手，👍，希望经常搞活动
王***7,颜色:69 藏青色;尺码:185/128C/XXXXL,2020-09-10 05:38:01,很好。
s***0,颜色:65 宝蓝色;尺码:180/108B/XL,2020-09-09 17:43:50,刚收到就发现降价了
m***n,颜色:03 灰色;尺码:170/92A/M,2020-09-09 15:01:17,实物如描述，包装严实，尺码正。
a***6,颜色:57 深橄榄色;尺码:175/100A/L,2020-09-08 16:07:36,尺码推荐：偏小些 面料品质：舒服
t***5,颜色:69 藏青色;尺码:180/108B/XL,2020-09-07 23:29:40,衣服很好！但是我收到货3天后就降价了，还没有退款服务。
乌***王,颜色:03 灰色;尺码:180/108B/XL,2020-09-07 19:35:11,终于等到降价了
瞌***爷,颜色:03 灰色;尺码:175/100A/L,2020-09-07 13:53:07,上身效果很好，夏天骑车通勤很合适。通气性好，穿着不闷。
t***2,颜色:57 深橄榄色;尺码:175/100A/L,2020-09-05 09:02:20,老顾客了，非常好，做工质量都很好，现在一家人都穿优衣库，以后有需要一定会首选这里。好评！
c***9,颜色:03 灰色;尺码:170/92A/M,2020-09-05 00:16:24,不错  老爸喜欢
小***8,颜色:69 藏青色;尺码:175/100A/L,2020-09-03 16:42:23,老爸很喜欢
n***9,颜色:03 灰色;尺码:175/100A/L,2020-09-02 11:56:36,此用户没有填写评论!
鱼***卡,颜色:69 藏青色;尺码:175/100A/L,2020-09-01 23:25:43,🉑️
f***9,颜色:65 宝蓝色;尺码:175/100A/L,2020-09-01 19:27:34,此用户没有填写评论!
h***e,颜色:69 藏青色;尺码:180/108B/XL,2020-08-31 21:43:44,买给爸爸的，上身效果很好， 轻薄透气不闷热，穿着舒服，和店里一模一样，爸爸很满意，质量很好，第二件了。平民价格，穿着舒适实用。
蜜***2,颜色:03 灰色;尺码:185/128C/XXXXL,2020-08-30 18:23:46,一直喜欢他家的衣服，外观干净漂亮，做工很不错，没发现什么瑕疵，个人感觉大小也挺合适，找了很久选的这款，大爱！
y***e,颜色:03 灰色;尺码:175/100A/L,2020-08-29 20:16:54,好评
y***t,颜色:03 灰色;尺码:175/100A/L,2020-08-27 15:35:17,还可以 做活动的时候买比较划算！
y***t,颜色:69 藏青色;尺码:175/100A/L,2020-08-27 15:35:16,还可以 做活动的时候买比较划算！
o***6,颜色:03 灰色;尺码:180/108B/XL,2020-08-26 19:30:11,质量不错
梦***哎,颜色:65 宝蓝色;尺码:185/112C/XXL,2020-08-26 14:40:15,买给爸爸穿的、很好
t***2,颜色:03 灰色;尺码:175/100A/L,2020-08-26 12:02:53,很好，178，70kg，L合适，给大家个参考
