displayUserNick,auctionSku,rateDate,rateContent
薰***中,颜色:00 白色;尺码:175/100A/L,2021-03-04 21:26:07,合身
h***0,颜色:09 黑色;尺码:175/100A/L,2021-03-02 07:14:59,价格不错面料过得去，主要服务好退换方便
h***0,颜色:08 深灰色;尺码:175/100A/L,2021-03-02 07:14:59,服务售后很好方便
j***u,颜色:03 灰色;尺码:175/100A/L,2021-03-01 22:02:20,质量一般，拼单买的
阳***a,颜色:09 黑色;尺码:175/100A/L,2021-03-01 21:23:10,买的衣服收到了，质量还行，多次购买了，5分好评。
阳***a,颜色:63 天蓝色;尺码:175/100A/L,2021-03-01 21:23:10,买的衣服收到了，质量还行，多次购买了，5分好评。
d***n,颜色:00 白色;尺码:185/112C/XXL,2021-03-01 15:41:34,好
胡***5,颜色:03 灰色;尺码:175/100A/L,2021-03-01 15:01:21,穿上很舒适
t***8,颜色:03 灰色;尺码:170/92A/M,2021-03-01 12:43:37,还不错。
微***l,颜色:09 黑色;尺码:180/108B/XL,2021-02-28 22:45:33,之前买过质量特别不错，寻思这次多买两件，刚买完就有活动降价，好闹心😠
5***0,颜色:08 深灰色;尺码:175/100A/L,2021-02-28 20:38:27,有点薄，偏小
5***0,颜色:00 白色;尺码:175/100A/L,2021-02-28 20:38:27,有点薄
s***n,颜色:09 黑色;尺码:170/92A/M,2021-02-28 17:32:50,不错👍
1***i,颜色:00 白色;尺码:175/100A/L,2021-02-28 15:14:52,不错
站***央,颜色:66 蓝色;尺码:175/100A/L,2021-02-28 12:06:38,可以 每年都买几件跑步时候换着穿
l***0,颜色:09 黑色;尺码:180/108B/XL,2021-02-28 11:22:45,发货快，价格实惠，大小合适。
l***0,颜色:08 深灰色;尺码:180/108B/XL,2021-02-28 11:22:45,夏天穿还是不错的，发货快。
l***0,颜色:69 藏青色;尺码:180/108B/XL,2021-02-28 11:20:39,大小合适，夏天家里外面穿挺好。
s***y,颜色:09 黑色;尺码:180/108B/XL,2021-02-27 17:32:44,￼
t***9,颜色:00 白色;尺码:175/100A/L,2021-02-27 14:47:39,以前在实体店买过，这次抱着试试的心态在网上买了两件，面料衣型非常满意，准备再买两件，身边的朋友也准备跟风
t***9,颜色:09 黑色;尺码:175/100A/L,2021-02-27 14:47:39,以前在实体店买过，这次抱着试试的心态在网上买了两件，面料衣型非常满意，准备再买两件，身边的朋友也准备跟风
1***y,颜色:56 橄榄色;尺码:165/84A/S,2021-02-27 11:45:15,之前买过深灰色的，质量很好。
阿***4,颜色:09 黑色;尺码:180/108B/XL,2021-02-27 11:16:23,赞
l***7,颜色:09 黑色;尺码:175/100A/L,2021-02-26 20:20:10,挺好挺好挺好挺好挺好挺好挺好挺好挺好挺好
s***7,颜色:63 天蓝色;尺码:175/100A/L,2021-02-26 13:35:55,这个款式我已经给老公买了十几件了，夏天穿吸汗还透气，凉快！质量没话说，物美价廉，值得入手，隔一段时间看看有没有新颜色！
1***z,颜色:09 黑色;尺码:175/100A/L,2021-02-25 08:26:48,很可
z***y,颜色:63 天蓝色;尺码:170/92A/M,2021-02-25 01:07:15,6666
z***y,颜色:56 橄榄色;尺码:170/92A/M,2021-02-25 01:07:15,6666
l***2,颜色:09 黑色;尺码:175/100A/L,2021-02-24 22:38:55,很一般
海***g,颜色:08 深灰色;尺码:180/108B/XL,2021-02-23 22:04:06,此用户没有填写评论!
海***g,颜色:00 白色;尺码:180/108B/XL,2021-02-23 22:04:06,此用户没有填写评论!
购***具,颜色:08 深灰色;尺码:175/100A/L,2021-02-23 21:27:15,体感不错，干的快，穿着舒服
小***赎,颜色:09 黑色;尺码:175/100A/L,2021-02-23 21:07:30,记得把弟弟今年底可能才能看能刺激才能吃几次**kdj**
l***b,颜色:03 灰色;尺码:175/100A/L,2021-02-23 18:32:22,很好
h***n,颜色:00 白色;尺码:170/92A/M,2021-02-21 20:20:48,此用户没有填写评论!
h***n,颜色:66 蓝色;尺码:170/92A/M,2021-02-21 20:20:48,此用户没有填写评论!
t***9,颜色:63 天蓝色;尺码:170/92A/M,2021-02-21 18:15:04,发了两件一模一样的，退的运费还要自己出，吐了
z***8,颜色:56 橄榄色;尺码:180/108B/XL,2021-02-21 06:29:22,很好穿&hellip;
t***4,颜色:09 黑色;尺码:170/92A/M,2021-02-20 17:52:28,面料品质：很好，还会回购
a***4,颜色:03 灰色;尺码:180/108B/XL,2021-02-19 11:30:59,一如既往的好，买了几年了
a***4,颜色:63 天蓝色;尺码:180/108B/XL,2021-02-19 11:30:59,一如既往的好，买了几年了
t***3,颜色:09 黑色;尺码:165/84A/S,2021-02-18 16:13:22,挺不错的，感谢优衣库
w***3,颜色:63 天蓝色;尺码:175/100A/L,2021-02-13 20:39:19,蛮好的
t***7,颜色:09 黑色;尺码:165/84A/S,2021-02-13 18:59:21,漂亮
r***4,颜色:09 黑色;尺码:165/84A/S,2021-02-13 15:41:08,超划算
张***0,颜色:00 白色;尺码:175/100A/L,2021-02-11 19:59:52,白色太透了，只能当睡衣穿了
t***4,颜色:00 白色;尺码:175/100A/L,2021-02-10 21:07:54,好，很好，非常好！
黑***虎,颜色:09 黑色;尺码:175/100A/L,2021-02-10 16:48:14,还行
t***4,颜色:08 深灰色;尺码:175/100A/L,2021-02-10 16:40:25,料子偏薄，上身可以
x***5,颜色:63 天蓝色;尺码:180/108B/XL,2021-02-10 09:51:24,好
x***5,颜色:00 白色;尺码:180/108B/XL,2021-02-10 09:51:24,好
t***0,颜色:66 蓝色;尺码:175/100A/L,2021-02-09 16:29:43,衣服不大不小，穿着正好，稍微薄，身高1.78，体重75公斤，只是这件衣服被人拆开过，同时买的黄色那件就没拆开过
t***8,颜色:09 黑色;尺码:175/100A/L,2021-02-09 14:21:38,很好
t***8,颜色:69 藏青色;尺码:175/100A/L,2021-02-09 14:21:37,很好
a***c,颜色:56 橄榄色;尺码:170/92A/M,2021-02-08 11:02:30,好
x***o,颜色:08 深灰色;尺码:180/108B/XL,2021-02-07 20:18:50,好
n***h,颜色:69 藏青色;尺码:180/108B/XL,2021-02-07 13:49:39,老客
n***h,颜色:09 黑色;尺码:180/108B/XL,2021-02-07 13:49:38,老客
天***0,颜色:03 灰色;尺码:180/108B/XL,2021-02-07 11:44:21,178高160体重穿这这个码正好，质量好舒服
忍***咩,颜色:00 白色;尺码:175/100A/L,2021-02-05 23:04:05,不错，好评
p***1,颜色:66 蓝色;尺码:175/100A/L,2021-02-05 17:07:55,二次回购
唐***4,颜色:56 橄榄色;尺码:175/100A/L,2021-02-05 15:26:26,两件同号，但尺码仿佛差了一个码。
薰***1,颜色:63 天蓝色;尺码:175/100A/L,2021-02-04 23:58:30,好评
y***4,颜色:00 白色;尺码:180/108B/XL,2021-02-04 16:31:24,我父亲指定要这个。
y***4,颜色:69 藏青色;尺码:180/108B/XL,2021-02-04 16:31:24,我父亲指定要这个。
x***b,颜色:63 天蓝色;尺码:175/100A/L,2021-02-04 09:47:59,Very good!
踩***呢,颜色:08 深灰色;尺码:170/92A/M,2021-02-03 22:57:25,挺好的，老公喜欢。
琴***0,颜色:66 蓝色;尺码:175/100A/L,2021-02-03 15:14:09,整体评价：一感觉不错 材质特性：穿着感觉舒适，摸着手感还行 上身效果：可以 厚薄度：较薄，适合夏季穿
琴***0,颜色:08 深灰色;尺码:180/108B/XL,2021-02-03 15:14:09,优衣库衣服常购，属舒适型。此件穿着感觉舒适，摸着手感还行，上身效果不错，布料较薄，适合夏季穿。
琴***0,颜色:56 橄榄色;尺码:180/108B/XL,2021-02-03 15:14:09,优衣库衣服常购，属舒适型。此件穿着感觉舒适，摸着手感还行，上身效果不错，布料较薄，适合夏季穿。
朦***0,颜色:00 白色;尺码:180/108B/XL,2021-02-03 11:38:06,一如既往的舒服
碧***瞳,颜色:03 灰色;尺码:175/100A/L,2021-02-02 19:29:25,衣服不错它脱下破旧的外衣，又开始新的生活；它贪婪地吮吸着春天那清新、甜润的露珠儿，慢慢地长出逗人喜爱的嫩枝绿叶
t***1,颜色:08 深灰色;尺码:180/108B/XL,2021-02-02 15:17:00,优衣库的质量还是可靠的，没问题！
t***1,颜色:03 灰色;尺码:180/108B/XL,2021-02-02 15:17:00,满意，没问题！
m***元,颜色:08 深灰色;尺码:175/100A/L,2021-02-01 06:39:35,很棒啊，质量很好~
上***龙,颜色:08 深灰色;尺码:170/92A/M,2021-01-30 21:20:05,贴身舒适，很OK
j***n,颜色:08 深灰色;尺码:175/100A/L,2021-01-29 10:53:48,喜欢优衣库
秦***啦,颜色:00 白色;尺码:175/100A/L,2021-01-28 18:50:57,速干的面料，180cm/150kg，穿着宽松。
秦***啦,颜色:63 天蓝色;尺码:175/100A/L,2021-01-28 18:50:57,速干的面料，180cm/150kg，穿着宽松。
风***尘,颜色:09 黑色;尺码:165/84A/S,2021-01-27 23:14:02,男款女穿，质感一般，图个便宜
o***a,颜色:00 白色;尺码:185/112C/XXL,2021-01-27 11:26:14,此用户没有填写评论!
小***6,颜色:09 黑色;尺码:170/92A/M,2021-01-26 16:52:45,好
小***6,颜色:63 天蓝色;尺码:170/92A/M,2021-01-26 16:52:45,好
小***6,颜色:69 藏青色;尺码:170/92A/M,2021-01-26 16:52:45,好
阳***子,颜色:09 黑色;尺码:170/92A/M,2021-01-25 20:14:52,帮同事买的，可算到了，石家庄疫情严重，ems在北京呆了几天，廊坊呆了几天，石家庄呆了几天，终于还是送到了
陈***n,颜色:63 天蓝色;尺码:170/92A/M,2021-01-25 19:19:22,质地柔软，没有色差，穿着合身
h***7,颜色:63 天蓝色;尺码:170/92A/M,2021-01-24 13:05:42,好评！
t***7,颜色:00 白色;尺码:185/112C/XXL,2021-01-24 08:13:56,存货！
李***6,颜色:00 白色;尺码:165/84A/S,2021-01-23 19:17:12,此用户没有填写评论!
c***3,颜色:56 橄榄色;尺码:165/84A/S,2021-01-22 15:50:37,舒服的背心，秋冬季节穿的吧，因为是纯棉的，不知道会不会松懈，现在穿在里面保暖。优衣库的东西还是值得信赖的。舒服的背心，秋冬季节穿的吧，因为是纯棉的，不知道会不会松懈，现在穿在里面保暖。优衣库的东西还是值得信赖的。舒服的背心，秋冬季节穿的吧，因为是纯棉的，不知道会不会松懈，现在穿在里面保暖。优衣库的东西还是值得信赖的。
w***1,颜色:56 橄榄色;尺码:175/100A/L,2021-01-22 15:24:32,39元，很好。凉快。
g***9,颜色:03 灰色;尺码:170/92A/M,2021-01-21 22:38:22,可以
w***d,颜色:63 天蓝色;尺码:170/92A/M,2021-01-21 18:43:31,做工还行，但是尺码不统一，比我之前买的其他颜色的长了三四厘米&hellip;
r***z,颜色:69 藏青色;尺码:175/100A/L,2021-01-21 11:20:57,一如既往的好
s***n,颜色:09 黑色;尺码:165/84A/S,2021-01-20 17:23:31,好
t***9,颜色:08 深灰色;尺码:175/100A/L,2021-01-20 13:28:29,可以
珑***子,颜色:08 深灰色;尺码:175/100A/L,2021-01-19 22:20:53,打底夏天当短T都可以~
珑***子,颜色:09 黑色;尺码:175/100A/L,2021-01-19 22:20:53,打底夏天当短T都可以~
哄***觉,颜色:08 深灰色;尺码:180/108B/XL,2021-01-19 20:52:57,不错不错
阿***拽,颜色:00 白色;尺码:180/108B/XL,2021-01-19 18:06:24,很划算，质量很好很划算，质量很好
阿***拽,颜色:03 灰色;尺码:180/108B/XL,2021-01-19 18:06:24,很划算，质量很好
p***i,颜色:08 深灰色;尺码:180/108B/XL,2021-01-19 15:42:39,图个方便，但不便宜
p***i,颜色:03 灰色;尺码:180/108B/XL,2021-01-19 15:42:39,图个方便但更贵
河***界,颜色:00 白色;尺码:175/100A/L,2021-01-18 13:32:43,不错
江***j,颜色:09 黑色;尺码:180/108B/XL,2021-01-18 11:02:08,活动价入手，赞
n***4,颜色:63 天蓝色;尺码:175/100A/L,2021-01-17 23:24:14,舒服
n***4,颜色:03 灰色;尺码:175/100A/L,2021-01-17 23:24:14,舒服
劳***子,颜色:09 黑色;尺码:180/108B/XL,2021-01-17 21:18:34,一般般，好薄！
a***1,颜色:03 灰色;尺码:175/100A/L,2021-01-17 17:52:48,上身效果：不错很合身
何***1,颜色:66 蓝色;尺码:170/92A/M,2021-01-17 13:42:45,做工细腻
j***0,颜色:08 深灰色;尺码:175/100A/L,2021-01-16 04:19:47,合身👍
z***3,颜色:09 黑色;尺码:180/108B/XL,2021-01-14 23:48:33,很不错
最***子,颜色:69 藏青色;尺码:180/108B/XL,2021-01-14 22:13:29,性价比超高
最***子,颜色:09 黑色;尺码:180/108B/XL,2021-01-14 22:13:29,性价比超高
l***5,颜色:09 黑色;尺码:170/92A/M,2021-01-12 18:44:47,非常薄，这个价格如果是优衣库的就还算合理，夏天穿还可以
t***6,颜色:03 灰色;尺码:170/92A/M,2021-01-12 11:55:06,舒适
t***y,颜色:00 白色;尺码:170/92A/M,2021-01-11 11:05:40,打底穿，衬衫看不出来
w***1,颜色:09 黑色;尺码:180/108B/XL,2021-01-11 10:58:46,感觉没有店里的好
五***粉,颜色:00 白色;尺码:175/100A/L,2021-01-11 07:23:41,常年回购的打底衫
和***者,颜色:03 灰色;尺码:170/92A/M,2021-01-10 15:42:47,不错，就是很少搞活动
m***i,颜色:66 蓝色;尺码:175/100A/L,2021-01-07 13:17:16,不错
f***o,颜色:08 深灰色;尺码:175/100A/L,2021-01-06 18:56:14,阔以
t***4,颜色:09 黑色;尺码:170/92A/M,2021-01-06 09:54:22,衣服质量很好 洗了好几次没问题 爱了
t***4,颜色:00 白色;尺码:170/92A/M,2021-01-06 09:54:22,非常好
t***2,颜色:08 深灰色;尺码:180/108B/XL,2021-01-03 08:18:09,**咯估计M8X51您咯系咯了快哟了李雨诺咯好伙计了哟
我***愚,颜色:03 灰色;尺码:180/108B/XL,2021-01-02 22:19:42,作内搭很好，第二次回购了！
咱***乐,颜色:69 藏青色;尺码:180/108B/XL,2021-01-02 21:17:37,好评，好评。我是一个很懒的人，很懒的人，大家懂的，让我认认真真写评价那是不可能的，所以我编了这条评论，只要好评的，就这个闪亮登场了，💪💪💪
老***档,颜色:56 橄榄色;尺码:175/100A/L,2021-01-02 17:30:19,没有上一次好，差太多。
d***o,颜色:08 深灰色;尺码:180/108B/XL,2021-01-02 13:55:53,买来打底穿的。非常合适！
1***z,颜色:08 深灰色;尺码:180/108B/XL,2021-01-02 12:50:41,挺好的
恭***6,颜色:00 白色;尺码:180/108B/XL,2021-01-02 04:32:11,不错
m***8,颜色:08 深灰色;尺码:170/92A/M,2021-01-01 23:22:50,宝贝确实很棒，个人非常喜欢，朋友也说好来着，推荐购买
t***4,颜色:63 天蓝色;尺码:175/100A/L,2021-01-01 17:18:45,够简约，穿起来感觉也无不适。
y***1,颜色:08 深灰色;尺码:170/92A/M,2021-01-01 08:38:08,挺好
姚***琼,颜色:00 白色;尺码:165/84A/S,2020-12-31 16:48:52,还可以吧，凑单买的
一***9,颜色:09 黑色;尺码:170/92A/M,2020-12-30 16:35:29,很实惠
小***蓝,颜色:08 深灰色;尺码:175/100A/L,2020-12-29 23:09:27,恕我直言，越南生产的还是更加舒服一些！质量也更好！
张***3,颜色:09 黑色;尺码:180/108B/XL,2020-12-29 15:49:52,此用户没有填写评论!
梅***e,颜色:56 橄榄色;尺码:175/100A/L,2020-12-29 13:25:56,挺好，薄款，性价比高
c***n,颜色:09 黑色;尺码:180/108B/XL,2020-12-28 21:27:34,面料舒适，版型好看，简约而不简单。
c***n,颜色:66 蓝色;尺码:180/108B/XL,2020-12-28 21:27:12,面料舒适，版型好看，简约而不简单。
t***w,颜色:00 白色;尺码:175/100A/L,2020-12-28 16:09:18,好，喜欢
t***w,颜色:24 亮橙色;尺码:175/100A/L,2020-12-28 16:09:18,好，喜欢
q***6,颜色:03 灰色;尺码:170/92A/M,2020-12-28 12:36:21,舒服
跃***风,颜色:00 白色;尺码:175/100A/L,2020-12-27 22:50:42,nice~~性价比高
f***e,颜色:00 白色;尺码:180/108B/XL,2020-12-27 21:10:26,质量不错
f***e,颜色:08 深灰色;尺码:180/108B/XL,2020-12-27 21:10:26,质量不错
0***0,颜色:00 白色;尺码:170/92A/M,2020-12-27 19:50:58,不错，就是价格偏高
l***6,颜色:69 藏青色;尺码:180/108B/XL,2020-12-27 18:39:35,儿子穿，前后买了三件
f***展,颜色:09 黑色;尺码:170/92A/M,2020-12-27 10:08:54,品质好
f***展,颜色:69 藏青色;尺码:170/92A/M,2020-12-27 10:08:31,品质好
晶***9,颜色:00 白色;尺码:170/92A/M,2020-12-26 19:44:31,尺码太小了，内衣拆完包装不能换
w***k,颜色:08 深灰色;尺码:180/108B/XL,2020-12-26 14:58:45,非常喜欢 运动用
小***6,颜色:09 黑色;尺码:170/92A/M,2020-12-26 14:32:11,还好
清***人,颜色:09 黑色;尺码:175/100A/L,2020-12-26 11:03:33,可以
子***子,颜色:56 橄榄色;尺码:165/84A/S,2020-12-26 09:29:26,还可以
子***子,颜色:09 黑色;尺码:165/84A/S,2020-12-26 09:29:26,还可以
小***6,颜色:00 白色;尺码:170/92A/M,2020-12-25 19:24:41,不错
小***6,颜色:03 灰色;尺码:170/92A/M,2020-12-25 19:24:41,不错
福***8,颜色:66 蓝色;尺码:180/108B/XL,2020-12-25 18:05:23,全家都是优衣库迷，里里外外都是优衣库，款式很淑雅 质感很好 非常舒服，物流超快，包装很好，客服服务到位，
福***8,颜色:03 灰色;尺码:180/108B/XL,2020-12-25 18:05:23,全家都是优衣库迷，里里外外都是优衣库，款式很淑雅 质感很好 非常舒服，物流超快，包装很好，客服服务到位，
隋***殷,颜色:63 天蓝色;尺码:170/92A/M,2020-12-25 13:12:32,很舒服的T恤
t***9,颜色:08 深灰色;尺码:175/100A/L,2020-12-24 16:46:18,东西不错，物流很快
刘***h,颜色:03 灰色;尺码:175/100A/L,2020-12-23 20:30:32,尺寸刚好，面料还行，很适合作内搭穿
c***a,颜色:00 白色;尺码:180/108B/XL,2020-12-23 11:27:31,物美价廉，双12的产品，喜欢又喜欢，经常有活动，经常光顾哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦
留***影,颜色:08 深灰色;尺码:175/100A/L,2020-12-23 09:21:49,很一般
g***6,颜色:69 藏青色;尺码:175/100A/L,2020-12-22 19:46:23,优衣库的衣服质量没的说，穿着舒服
o***o,颜色:63 天蓝色;尺码:175/100A/L,2020-12-22 19:39:48,性价比很高，挺舒服的
t***3,颜色:09 黑色;尺码:170/92A/M,2020-12-22 17:16:56,质量可以，版型较宽松，可以拍细一码
澜***辰,颜色:00 白色;尺码:175/100A/L,2020-12-22 17:01:01,做活动价格实惠，面料舒适
澜***辰,颜色:00 白色;尺码:170/92A/M,2020-12-22 17:01:01,做活动价格实惠，面料舒适
p***8,颜色:66 蓝色;尺码:175/100A/L,2020-12-22 14:58:17,优衣库的服务很差，特别是在线客服，处理问题也很拖，这样的服务少见，物流更是差，快递员跑路虚假签收。
p***8,颜色:63 天蓝色;尺码:175/100A/L,2020-12-22 14:58:17,此用户没有填写评论!
p***8,颜色:56 橄榄色;尺码:175/100A/L,2020-12-22 14:58:17,此用户没有填写评论!
