displayUserNick,auctionSku,rateDate,rateContent
啄***哥,颜色:60 浅蓝色;尺码:185/112C/XXL,2021-03-05 12:53:29,非常好！
巅***寞,颜色:09 黑色;尺码:180/108B/XL,2021-03-02 19:25:32,挺好额
s***3,颜色:10 水粉色;尺码:170/92A/M,2021-03-02 18:56:03,这个粉色绝了，人见人夸
s***5,颜色:41 杏黄色;尺码:165/84A/S,2021-03-02 18:55:36,好看。很薄
一***茶,颜色:02 浅灰色;尺码:175/100A/L,2021-03-02 18:00:14,ok
罗***0,颜色:09 黑色;尺码:170/92A/M,2021-03-02 17:54:35,质量不错
小***6,颜色:10 水粉色;尺码:180/108B/XL,2021-03-02 16:36:07,买来送给弟弟的，弟弟很喜欢
未***7,颜色:41 杏黄色;尺码:170/92A/M,2021-03-02 16:22:46,好看，男女生都可以穿
想***9,颜色:41 杏黄色;尺码:170/92A/M,2021-03-02 12:57:07,这个衣服的版型不好，L号买大了，换了M号，过了水就和L号一样长😤
s***9,颜色:60 浅蓝色;尺码:170/92A/M,2021-03-02 10:42:20,整体评价：上身不咋好看，可能要皮肤白的人穿吧，有点显老气
小***人,颜色:69 藏青色;尺码:175/100A/L,2021-03-02 09:52:53,好评
小***人,颜色:41 杏黄色;尺码:175/100A/L,2021-03-02 09:52:53,好评
蟹***西,颜色:10 水粉色;尺码:175/100A/L,2021-03-02 09:15:58,经典百搭，粉红色很显白
v***w,颜色:41 杏黄色;尺码:185/112C/XXL,2021-03-02 08:47:01,颜色好看
v***w,颜色:41 杏黄色;尺码:175/100A/L,2021-03-02 08:47:01,颜色好看
低***哥,颜色:30 浅米色;尺码:175/100A/L,2021-03-02 00:14:06,很暖色，质地与型号匹配，175-65。买的175l的。
z***6,颜色:56 橄榄色;尺码:185/128C/XXXXL,2021-03-01 23:14:05,产品质量，客服服务态度特别好，很喜欢，好评
d***2,颜色:41 杏黄色;尺码:170/92A/M,2021-03-01 22:59:02,舒服好看 颜色很春天
晏***淼,颜色:05 天灰色;尺码:170/92A/M,2021-03-01 17:13:30,很不错
啄***哥,颜色:05 天灰色;尺码:185/120C/XXXL,2021-03-01 12:40:55,非常好！
d***1,颜色:41 杏黄色;尺码:170/92A/M,2021-03-01 10:05:20,面料很柔软，颜色很清新，春季正合适。
七***後,颜色:56 橄榄色;尺码:175/100A/L,2021-03-01 09:20:31,&mdash;&mdash;多年以后，面对行刑队，奥雷里亚诺&middot;布恩迪亚上校将会回想起父亲带他去见识冰块的那个遥远的下午。
t***e,颜色:41 杏黄色;尺码:175/100A/L,2021-03-01 08:57:23,黄色很阳光活泼 买大了很多 不过我也能接受 160cm 45  L码真的很大 屁股全部被盖住 不能接受超级oversize的 不要买L 衣服是很好看的!!
宝***蛋,颜色:41 杏黄色;尺码:175/100A/L,2021-03-01 08:33:50,很不错。发货速度快服务好
0***3,颜色:10 水粉色;尺码:175/100A/L,2021-03-01 00:26:09,好看 耶耶耶
暮***临,颜色:41 杏黄色;尺码:175/100A/L,2021-02-28 22:45:20,可以的好看
暮***临,颜色:60 浅蓝色;尺码:175/100A/L,2021-02-28 22:45:20,可以，很好看
第***楼,颜色:60 浅蓝色;尺码:175/100A/L,2021-02-28 21:58:30,满意！
卡***7,颜色:41 杏黄色;尺码:170/92A/M,2021-02-28 20:17:07,好看
多***8,颜色:10 水粉色;尺码:185/112C/XXL,2021-02-28 20:14:45,衣服质量不错，尺码合适很满意！！！
高***导,颜色:30 浅米色;尺码:175/100A/L,2021-02-28 19:05:17,不错。很好
c***o,颜色:09 黑色;尺码:185/120C/XXXL,2021-02-28 16:45:56,此用户没有填写评论!
盈***5,颜色:41 杏黄色;尺码:175/100A/L,2021-02-28 13:08:55,颜色好看，上身款松，是想要的感觉。
丹***单,颜色:41 杏黄色;尺码:165/84A/S,2021-02-28 10:30:36,颜色好看
小***蓝,颜色:41 杏黄色;尺码:180/108B/XL,2021-02-28 09:58:21,颜色太粉嫩啦，不适合我这样的中老年人😺😺😺
陈***巴,颜色:41 杏黄色;尺码:170/92A/M,2021-02-28 09:31:09,整体评价：非常好，舒适度很高，版型也很好看。
a***9,颜色:41 杏黄色;尺码:170/92A/M,2021-02-28 00:49:57,衣服明显是别人穿过的，衣服上还有污渍。跟客服说竟无人搭理
t***2,颜色:05 天灰色;尺码:170/92A/M,2021-02-27 22:55:04,好好的好好的好好的好好的
冯***y,颜色:30 浅米色;尺码:170/92A/M,2021-02-27 21:10:07,好
b***o,颜色:05 天灰色;尺码:185/128C/XXXXL,2021-02-27 20:03:58,Ds~🏕颜色很正单〰️穿或者打底都很合适，🔜买了两件当情侣装，🌙穿着真是绝配！🧸很干净显白，🔹不起球不掉色，🎰穿着很有型版型很大，🍄大品牌！🎨值得信赖！💫纯色简约版型OK，用料很厚实，决对对得起⚡️⚡️这个价格！🔻领口走线严密，🎰质量一如既往的好➰
t***2,颜色:41 杏黄色;尺码:170/92A/M,2021-02-27 17:46:47,170女生，M码袖子长短是够的，但整体不够宽松
t***2,颜色:05 天灰色;尺码:170/92A/M,2021-02-27 17:46:47,170女生，M码袖子长短是够的，但是整体感觉不够宽松
轩***i,颜色:60 浅蓝色;尺码:175/100A/L,2021-02-27 15:18:09,满意
轩***i,颜色:10 水粉色;尺码:175/100A/L,2021-02-27 15:18:09,满意
m***l,颜色:05 天灰色;尺码:185/112C/XXL,2021-02-27 11:29:42,老公185，体重180，穿上正合身
5***惜,颜色:41 杏黄色;尺码:170/92A/M,2021-02-27 10:17:57,颜色很好看，非常显白
8***8,颜色:56 橄榄色;尺码:165/84A/S,2021-02-27 04:42:38,很好
花***丶,颜色:09 黑色;尺码:175/100A/L,2021-02-27 00:36:15,产品质量，客服服务态度特别好，很喜欢，好评
赛***吃,颜色:69 藏青色;尺码:180/108B/XL,2021-02-26 23:08:00,可以
谢***宝,颜色:60 浅蓝色;尺码:175/100A/L,2021-02-26 19:20:56,不错
t***2,颜色:02 浅灰色;尺码:180/108B/XL,2021-02-26 18:17:33,快递是店里发来的嘛？连个外包装都没有。
t***1,颜色:60 浅蓝色;尺码:170/92A/M,2021-02-26 18:15:34,好
想***9,颜色:10 水粉色;尺码:175/100A/L,2021-02-26 13:56:29,感觉这个颜色大男孩穿的好看，就给侄子了，别说还真不错。
想***9,颜色:41 杏黄色;尺码:175/100A/L,2021-02-26 13:56:29,穿大了，给老公穿了，买了件小一**做情侣卫衣穿😊
马***7,颜色:41 杏黄色;尺码:175/100A/L,2021-02-26 12:57:43,我觉得还可以，我老公不喜欢，觉得身子太长了
t***8,颜色:41 杏黄色;尺码:175/100A/L,2021-02-26 12:43:11,衣服质量就那样，价格贵了些，
s***1,颜色:41 杏黄色;尺码:165/84A/S,2021-02-26 12:12:15,黄色挺好看的
j***h,颜色:30 浅米色;尺码:165/84A/S,2021-02-26 11:52:03,163 53kg这个码正好，里面可以内搭一件t
向***9,颜色:05 天灰色;尺码:165/84A/S,2021-02-26 10:28:45,很好
l***5,颜色:60 浅蓝色;尺码:175/100A/L,2021-02-25 22:47:04,很好，推荐购买。
女***o,颜色:41 杏黄色;尺码:170/92A/M,2021-02-25 22:03:30,衣服很好看，质量也很好，物流也很快，非常喜欢。
z***l,颜色:10 水粉色;尺码:180/108B/XL,2021-02-25 21:44:36,好
罗***0,颜色:41 杏黄色;尺码:165/84A/S,2021-02-25 21:38:19,好看
蓝***娟,颜色:10 水粉色;尺码:175/100A/L,2021-02-25 18:23:21,还行
蓝***娟,颜色:05 天灰色;尺码:175/100A/L,2021-02-25 18:23:21,还行
e***t,颜色:10 水粉色;尺码:170/92A/M,2021-02-25 17:39:30,不错不错
逸***逸,颜色:10 水粉色;尺码:185/112C/XXL,2021-02-25 16:39:50,挺舒服的 买了当情侣装
t***4,颜色:56 橄榄色;尺码:170/92A/M,2021-02-25 16:33:16,很好，就有一点这个是针织的。穿起来很好看
t***2,颜色:56 橄榄色;尺码:185/112C/XXL,2021-02-25 15:25:53,蛮好的
l***2,颜色:10 水粉色;尺码:170/92A/M,2021-02-25 13:51:30,粉色给老婆买的，非常喜欢
我***酥,颜色:02 浅灰色;尺码:160/76A/XS,2021-02-25 13:27:08,挺好的
i***1,颜色:60 浅蓝色;尺码:165/84A/S,2021-02-25 09:32:30,不错，很喜欢，就是跟图片颜色稍微有点不一样
诠***迩,颜色:41 杏黄色;尺码:175/100A/L,2021-02-25 08:55:11,172   106斤   穿L码正好
红***糖,颜色:60 浅蓝色;尺码:165/84A/S,2021-02-24 18:51:23,颜色大小都合适
s***5,颜色:41 杏黄色;尺码:175/100A/L,2021-02-24 18:25:21,不错。挺好的。
w***3,颜色:05 天灰色;尺码:185/112C/XXL,2021-02-24 17:06:18,很喜欢，很好
x***e,颜色:05 天灰色;尺码:180/108B/XL,2021-02-24 16:44:10,买第二件了
线***x,颜色:41 杏黄色;尺码:170/92A/M,2021-02-24 15:14:09,尺码选的很合适，很满意~
1***户,颜色:41 杏黄色;尺码:175/100A/L,2021-02-24 14:33:42,黄色淡淡的很好看，实体店又入的蓝色和灰色，蓝色也是有点点淡，不炸非常好看，166 116斤l正好oversize的，非常好看，打算再来件粉色
廖***韩,颜色:41 杏黄色;尺码:170/92A/M,2021-02-24 13:30:15,净身高159.5厘米 体重94斤，胸围89厘米，穿M略微宽松，照片无他相机自然滤镜晚上拍摄，实物童款黄色颜色略深一些，成人款偏淡些，素颜还是有点偏皮肤黄 ，平时化点淡妆这个颜色还是可以接受的。
刘***2,颜色:10 水粉色;尺码:175/100A/L,2021-02-24 11:39:06,宝贝收到了，包装很结实，应该是个好东西，先给好评了宝贝与描述基本一致，发货很快，值得一买宝贝收到了，和描述一样，很喜欢
m***咩,颜色:41 杏黄色;尺码:175/100A/L,2021-02-24 08:14:38,衣服不错
心***步,颜色:41 杏黄色;尺码:175/100A/L,2021-02-24 08:13:04,好
稷***零,颜色:02 浅灰色;尺码:170/92A/M,2021-02-23 23:50:36,很好哦
石***0,颜色:30 浅米色;尺码:160/76A/XS,2021-02-23 21:15:04,As^^🏕鹅黄色真的🌾很好看！非常衬肤色，🌟纯棉面料，颜色好看，💫春天的颜色，🎫显白喜欢。很喜欢这件🎍🎍简简单单的卫衣，黑黄皮也🏕可以驾驭的了，一直信赖优衣库。🤹&zwj;♂️质量还是一如既往的好，🎰搭配白裤子很清爽。颜色很正&hellip;正是想要🎗🎗找的衣服，单穿比较⚡️⚡️精神不拉垮～
赛***吃,颜色:30 浅米色;尺码:165/84A/S,2021-02-23 20:25:37,不错
x***g,颜色:41 杏黄色;尺码:175/100A/L,2021-02-23 19:35:03,167cm 140斤 上身瘦下身胖 穿这个码数很宽松 小一码收身效果好一点 可惜码数不全了 但是这个颜色超好看的  我不爱穿宽身衣服的也留下了 同时买的店里另外两款超显胖 退了 就留下了这个嫩黄色
嘟***5,颜色:56 橄榄色;尺码:185/128C/XXXXL,2021-02-23 19:22:08,不错
s***7,颜色:10 水粉色;尺码:165/84A/S,2021-02-23 19:12:19,材质特性：面料有些软，不知道洗完会不会变形 上身效果：162，104斤S码穿不出宽松的感觉，应该买M码，不过我宽松的外套不多，再大的话套外套费劲 尺码推荐：M码以上吧
z***6,颜色:10 水粉色;尺码:185/112C/XXL,2021-02-23 18:23:17,我jue的还行
t***8,颜色:60 浅蓝色;尺码:175/100A/L,2021-02-23 16:19:32,好看～男女都可以穿
t***8,颜色:10 水粉色;尺码:170/92A/M,2021-02-23 16:19:32,很舒服柔软 粉色很显嫩！
j***1,颜色:09 黑色;尺码:170/92A/M,2021-02-23 15:25:11,跟实体店买的一模一样，非常好
a***y,颜色:60 浅蓝色;尺码:170/92A/M,2021-02-23 13:37:15,166，115斤左右，m略宽松，水蓝色有点偏暗
a***y,颜色:41 杏黄色;尺码:170/92A/M,2021-02-23 13:37:15,166，115斤左右，m略宽松，黄色很好看，适合春天哈哈哈哈
新***9,颜色:10 水粉色;尺码:175/100A/L,2021-02-23 11:58:19,好看
反***7,颜色:10 水粉色;尺码:185/112C/XXL,2021-02-23 10:39:17,挺好的
z***k,颜色:10 水粉色;尺码:165/84A/S,2021-02-23 07:34:19,衣服非常好
t***5,颜色:41 杏黄色;尺码:165/84A/S,2021-02-22 22:46:54,挺厚的，质量不错
c***m,颜色:41 杏黄色;尺码:180/108B/XL,2021-02-22 22:19:25,柔软
金***4,颜色:02 浅灰色;尺码:175/100A/L,2021-02-22 22:17:32,材质很柔软，穿上特别舒服，版型也非常棒！哈哈
t***7,颜色:41 杏黄色;尺码:170/92A/M,2021-02-22 21:42:04,好看、颜色很春天
y***g,颜色:02 浅灰色;尺码:165/84A/S,2021-02-22 21:36:29,蛮好再买大一号的
t***7,颜色:30 浅米色;尺码:175/100A/L,2021-02-22 20:03:36,颜色很好看，很舒适
t***0,颜色:10 水粉色;尺码:165/84A/S,2021-02-22 18:08:33,赞！
惜***妮,颜色:41 杏黄色;尺码:170/92A/M,2021-02-22 17:33:43,身高175 体重120这个尺码合适 想要宽松的都要大一码 之前买的大两码太大啦！
宁***7,颜色:05 天灰色;尺码:175/100A/L,2021-02-22 17:30:07,满意
静***6,颜色:10 水粉色;尺码:180/108B/XL,2021-02-22 16:54:39,还可以
阿***店,颜色:41 杏黄色;尺码:185/120C/XXXL,2021-02-22 16:40:37,很好！
m***5,颜色:41 杏黄色;尺码:175/100A/L,2021-02-22 15:10:51,领子稍微再大一点就好了，165，50公斤，宽松满意
情***6,颜色:56 橄榄色;尺码:185/112C/XXL,2021-02-22 13:00:00,满意，第二次购买，品质保证，正品
情***6,颜色:05 天灰色;尺码:185/112C/XXL,2021-02-22 13:00:00,满意，第二次购买，品质有保证，正品
v***5,颜色:60 浅蓝色;尺码:160/76A/XS,2021-02-22 12:49:49,颜色：不是图片上那种淡淡的天蓝色，比图片暗淡，发灰那种蓝，可能是男女同款所有这个颜色不能选女生喜欢那种蓝色。如果没在专柜看过颜色的姐妹慎重！ 此外质量很好，洗了两次没变形，目前没起球，很舒服。149元要等到早上才会有xs码可以抢到。
y***0,颜色:09 黑色;尺码:185/120C/XXXL,2021-02-22 10:10:43,美国的GPS、欧洲的伽利略、俄罗斯的格洛纳斯、中国的北斗美国的GPS、欧洲的伽利略、俄罗斯的格洛纳斯、中国的北斗美国的GPS、欧洲的伽利略、俄罗斯的格洛纳斯、中国的北斗美国的GPS、欧洲的伽利略、俄罗斯的格洛纳斯、中国的北斗
y***o,颜色:41 杏黄色;尺码:170/92A/M,2021-02-22 09:51:05,此用户没有填写评论!
爱***1,颜色:09 黑色;尺码:175/100A/L,2021-02-22 09:41:41,不错
爱***1,颜色:30 浅米色;尺码:165/84A/S,2021-02-22 09:41:41,不错
5***e,颜色:56 橄榄色;尺码:180/108B/XL,2021-02-22 09:01:51,买大了
兔***7,颜色:10 水粉色;尺码:175/100A/L,2021-02-22 08:42:05,包装很好，颜值不错，质量也没有问题
兔***7,颜色:41 杏黄色;尺码:175/100A/L,2021-02-22 08:42:05,宝贝已收到🎈，超级喜欢，颜值高又实用，超级喜欢！❥❥❥
酸***1,颜色:41 杏黄色;尺码:170/92A/M,2021-02-22 08:25:20,165.57穿正合适！！！！好看！
p***c,颜色:05 天灰色;尺码:175/100A/L,2021-02-21 22:29:40,挺舒服的，质量也不错
s***6,颜色:02 浅灰色;尺码:185/128C/XXXXL,2021-02-21 22:18:49,从店里试穿那个尺码也不太合适，看到活动就给男朋友买了，他穿着挺好看的，宽松款式，颜色超棒，好评啦~
丹***单,颜色:41 杏黄色;尺码:175/100A/L,2021-02-21 21:51:34,颜色太好看了吧
东***乖,颜色:41 杏黄色;尺码:170/92A/M,2021-02-21 20:35:52,颜色好，春天成立🌸
李***2,颜色:09 黑色;尺码:170/92A/M,2021-02-21 16:38:09,挺好的
h***8,颜色:41 杏黄色;尺码:180/108B/XL,2021-02-21 15:26:09,不错
h***8,颜色:10 水粉色;尺码:180/108B/XL,2021-02-21 15:26:09,不错
林***6,颜色:41 杏黄色;尺码:165/84A/S,2021-02-21 15:21:43,颜色很温柔
l***j,颜色:69 藏青色;尺码:175/100A/L,2021-02-21 14:34:06,很合适
t***6,颜色:41 杏黄色;尺码:170/92A/M,2021-02-21 14:18:41,很喜欢的颜色
原***存,颜色:09 黑色;尺码:175/100A/L,2021-02-21 10:33:02,非常好，穿上很合适，175，70kg，L码刚好
s***5,颜色:60 浅蓝色;尺码:165/84A/S,2021-02-21 09:34:19,好
马***瑞,颜色:41 杏黄色;尺码:180/108B/XL,2021-02-21 09:01:47,此用户没有填写评论!
刘***9,颜色:10 水粉色;尺码:175/100A/L,2021-02-21 08:35:46,很棒
明***9,颜色:41 杏黄色;尺码:180/108B/XL,2021-02-20 23:30:33,卫衣颜色超级棒 后置摄像头颜色拍起来有点深了 前置摄像头拍的颜色是实物颜色 喜欢💕
珠***园,颜色:41 杏黄色;尺码:175/100A/L,2021-02-20 23:04:12,给女儿买的，这个黄色非常好看，还有一个兰色也特别好看，准别降价的时候再买一件
油***l,颜色:10 水粉色;尺码:175/100A/L,2021-02-20 20:55:43,给男朋友买的 穿着超级好看
红***瞳,颜色:41 杏黄色;尺码:175/100A/L,2021-02-20 20:08:47,春天的颜色，小清新，但是洗后微微有点缩水，要减肥了！
1***d,颜色:41 杏黄色;尺码:185/112C/XXL,2021-02-20 17:56:49,推荐的码太大了 还容易起球
如***5,颜色:41 杏黄色;尺码:165/84A/S,2021-02-20 17:02:06,一个字。好！
t***9,颜色:60 浅蓝色;尺码:170/92A/M,2021-02-20 15:08:10,这个baby蓝好好看
z***3,颜色:05 天灰色;尺码:175/100A/L,2021-02-20 15:03:01,男朋友穿起来超级帅，质量也不错，强烈推荐
唇***雅,颜色:60 浅蓝色;尺码:170/92A/M,2021-02-20 13:31:08,满意
唇***雅,颜色:09 黑色;尺码:170/92A/M,2021-02-20 13:31:08,满意
唇***雅,颜色:60 浅蓝色;尺码:175/100A/L,2021-02-20 13:30:45,满意
唇***雅,颜色:09 黑色;尺码:180/108B/XL,2021-02-20 13:30:44,满意
周***妖,颜色:10 水粉色;尺码:175/100A/L,2021-02-20 12:30:10,整体评价：全五星
d***0,颜色:10 水粉色;尺码:165/84A/S,2021-02-20 11:22:00,颜色超好看，很适合春天，建议买大一点，穿起来宽松更好看
爱***年,颜色:05 天灰色;尺码:175/100A/L,2021-02-20 10:57:33,很舒服
l***9,颜色:56 橄榄色;尺码:180/108B/XL,2021-02-20 00:43:18,此用户没有填写评论!
c***t,颜色:41 杏黄色;尺码:170/92A/M,2021-02-19 20:11:51,面料舒服 鹅黄色很显白
信***盘,颜色:10 水粉色;尺码:160/76A/XS,2021-02-19 20:05:18,此用户没有填写评论!
j***6,颜色:09 黑色;尺码:175/100A/L,2021-02-19 19:52:06,尺码有点大，和开衫选的一个尺码要大很多
t***9,颜色:41 杏黄色;尺码:165/84A/S,2021-02-19 17:51:26,有点大，上身效果一般
永***0,颜色:05 天灰色;尺码:185/112C/XXL,2021-02-19 17:11:06,很合适
z***人,颜色:10 水粉色;尺码:175/100A/L,2021-02-19 16:52:36,颜色：不是那种很艳的粉色，偏暗粉红，很喜欢 厚度：薄款，不带绒，适合春季 尺码：175cm／65kg，L码合适
油***毛,颜色:10 水粉色;尺码:170/92A/M,2021-02-19 16:16:37,行 实体没码了
笑***3,颜色:10 水粉色;尺码:175/100A/L,2021-02-19 15:41:39,还行吧 客服是真的烂，信息发过去过一两个小时才回，过两分钟说我们不回复拜拜了，感情我们得等着客服，客服是大爷嘛？
e***y,颜色:41 杏黄色;尺码:175/100A/L,2021-02-19 15:41:04,很不错 和店里买的一模一样
x***e,颜色:30 浅米色;尺码:170/92A/M,2021-02-19 15:35:54,衣服不错，以后还会买
忻***桐,颜色:41 杏黄色;尺码:175/100A/L,2021-02-19 13:38:52,发货很快，纯棉面料，颜色好看，春天的颜色，显白喜欢。
米***d,颜色:41 杏黄色;尺码:170/92A/M,2021-02-19 13:30:48,nice
0***j,颜色:10 水粉色;尺码:170/92A/M,2021-02-19 13:18:42,此用户没有填写评论!
0***j,颜色:10 水粉色;尺码:180/108B/XL,2021-02-19 13:18:42,此用户没有填写评论!
飘***佳,颜色:56 橄榄色;尺码:185/128C/XXXXL,2021-02-19 13:01:52,外公穿上超级完美
飘***佳,颜色:10 水粉色;尺码:185/128C/XXXXL,2021-02-19 13:01:52,颜色太棒啦
