displayUserNick,auctionSku,rateDate,rateContent
a***9,颜色:02 浅灰色;尺码:165/84A/S,2021-02-28 15:44:17,可以。
t***6,颜色:45 柠檬黄色;尺码:175/100A/L,2020-12-26 00:04:19,服务态度特别差&hellip;&hellip;呼的几次都没有人工服务，换颜色也不给换，退货也不给退&hellip;没有见过这么差的解决问题，我头一次碰到，也是头一次给商家差评，上面还标着七天无理有退货
昝***0,颜色:05 天灰色;尺码:165/84A/S,2020-12-21 13:34:07,穿上不太舒服，下摆感觉太紧了
l***5,颜色:02 浅灰色;尺码:175/100A/L,2020-12-21 08:54:04,宝贝很好，不得不说，客服态度也太好了吧！
长***者,颜色:45 柠檬黄色;尺码:180/108B/XL,2020-12-19 17:46:42,面料摸起来很舒服，宽松版的薄厚适中
安***i,颜色:45 柠檬黄色;尺码:170/92A/M,2020-12-18 14:17:27,好
安***i,颜色:09 黑色;尺码:165/84A/S,2020-12-18 14:17:27,好
牛***雅,颜色:69 藏青色;尺码:180/108B/XL,2020-12-17 11:40:43,此用户没有填写评论!
斩***殇,颜色:69 藏青色;尺码:180/108B/XL,2020-12-15 15:24:16,可以
l***8,颜色:69 藏青色;尺码:180/108B/XL,2020-12-14 16:36:15,这个颜色有点老，想买黑色的
张***阳,颜色:11 粉红色;尺码:170/92A/M,2020-12-12 21:05:48,此用户没有填写评论!
衡***子,颜色:45 柠檬黄色;尺码:180/108B/XL,2020-12-12 15:51:17,此用户没有填写评论!
z***3,颜色:57 深橄榄色;尺码:170/92A/M,2020-12-11 20:10:08,垃圾优衣库，退回的衣服告诉我找不到了，让我问物流去，装丫挺的****，以后再也不买了
星***l,颜色:38 深褐色;尺码:170/92A/M,2020-12-11 09:58:09,不会起球 整体挺合身的
奇***e,颜色:45 柠檬黄色;尺码:175/100A/L,2020-12-10 23:02:33,不错不错不错不错
我***0,颜色:45 柠檬黄色;尺码:175/100A/L,2020-12-10 22:32:04,巨坑，双十一买的便宜100块钱，这才多久质量也一般
t***3,颜色:45 柠檬黄色;尺码:175/100A/L,2020-12-10 22:11:14,好评
小***吖,颜色:57 深橄榄色;尺码:180/108B/XL,2020-12-10 19:02:39,换了个码数，客服态度很好！
m***9,颜色:02 浅灰色;尺码:175/100A/L,2020-12-10 16:07:37,棒极了
萍***春,颜色:57 深橄榄色;尺码:165/84A/S,2020-12-10 15:59:56,整体评价：尺码小了，女，167，117，后来去店里换了件大一**紫色的，没想到意外得好看。要不是做设计师的同事陪我一起，我是一辈子都不会考虑紫色的。
z***i,颜色:38 深褐色;尺码:175/100A/L,2020-12-10 14:41:56,可以，老公穿上很合适
p***虫,颜色:57 深橄榄色;尺码:170/92A/M,2020-12-10 13:06:49,可以
t***2,颜色:45 柠檬黄色;尺码:170/92A/M,2020-12-10 09:25:32,衣服洗一次就变形了，不值得这个价
噤***镞,颜色:02 浅灰色;尺码:170/92A/M,2020-12-09 21:30:36,好看的，感觉是浅杏色的
爱***鱼,颜色:11 粉红色;尺码:175/100A/L,2020-12-09 11:29:32,可以
l***5,颜色:45 柠檬黄色;尺码:175/100A/L,2020-12-09 11:17:54,优衣库家的质量还是好 便宜 好看 划得来 百搭款
w***5,颜色:09 黑色;尺码:170/92A/M,2020-12-08 20:56:16,还好吧 就是希望不会起球
t***9,颜色:45 柠檬黄色;尺码:170/92A/M,2020-12-08 10:48:18,优衣库，真的爱了爱了，门店换货真的很方便！
后***菜,颜色:11 粉红色;尺码:175/100A/L,2020-12-08 09:37:12,优衣库的质量真的是可以的。
a***5,颜色:45 柠檬黄色;尺码:185/112C/XXL,2020-12-07 14:46:26,店里没有码子，网上下单的，质感不错，穿着很舒服。
刀***2,颜色:11 粉红色;尺码:175/100A/L,2020-12-07 10:16:16,好看
n***仔,颜色:45 柠檬黄色;尺码:165/84A/S,2020-12-07 09:54:24,质量🉑️
r***o,颜色:57 深橄榄色;尺码:165/84A/S,2020-12-07 09:38:51,买给爸爸的，针不戳，绿色也不戳挺暗的颜色。
年***1,颜色:11 粉红色;尺码:170/92A/M,2020-12-07 08:58:27,很好看的颜色
年***1,颜色:32 深米色;尺码:170/92A/M,2020-12-07 08:58:27,很好穿
小***1,颜色:02 浅灰色;尺码:180/108B/XL,2020-12-07 08:14:43,好
精***9,颜色:45 柠檬黄色;尺码:180/108B/XL,2020-12-06 21:07:02,太完美了，孩子穿上非常帅
e***8,颜色:05 天灰色;尺码:180/108B/XL,2020-12-06 13:11:57,不好，衣服与裤子都在优衣柜买的，都起球，谁买谁后悔
m***飞,颜色:09 黑色;尺码:175/100A/L,2020-12-06 09:55:38,非常nice  太棒了  爱了爱了 买好几件了
l***m,颜色:11 粉红色;尺码:175/100A/L,2020-12-05 16:25:09,好看舒适
s***i,颜色:57 深橄榄色;尺码:175/100A/L,2020-12-04 23:35:09,身高176体重150尺码正合适。颜值有限假装有照片。
z***0,颜色:05 天灰色;尺码:180/108B/XL,2020-12-04 16:07:03,很好
冬***九,颜色:57 深橄榄色;尺码:165/84A/S,2020-12-04 14:32:21,优衣库的衣服真的是一会一个价，双11之前之后都比当时贵，而且过几天调个价，一会又有货了一会又没货了
h***0,颜色:32 深米色;尺码:175/100A/L,2020-12-04 13:58:51,售后服务极差
梅***叶,颜色:38 深褐色;尺码:170/92A/M,2020-12-04 13:30:32,好评啊，建议大家购买哦
t***8,颜色:69 藏青色;尺码:180/108B/XL,2020-12-03 21:45:22,第一次买优衣库的衣服，质量好穿上身舒适柔软，还准备下单一件外衣
南***蛙,颜色:11 粉红色;尺码:175/100A/L,2020-12-03 10:22:38,此用户没有填写评论!
g***o,颜色:57 深橄榄色;尺码:180/108B/XL,2020-12-02 21:39:58,此用户没有填写评论!
c***y,颜色:45 柠檬黄色;尺码:175/100A/L,2020-12-02 19:18:49,很喜欢
a***站,颜色:45 柠檬黄色;尺码:170/92A/M,2020-12-02 17:00:44,好看
兮***豆,颜色:57 深橄榄色;尺码:165/84A/S,2020-12-02 16:15:40,宝贝不错 值得购买
呵***0,颜色:02 浅灰色;尺码:170/92A/M,2020-12-02 15:41:05,好
1***g,颜色:05 天灰色;尺码:180/108B/XL,2020-12-02 15:18:53,正合适，穿着很舒服😌
v***3,颜色:45 柠檬黄色;尺码:180/108B/XL,2020-12-02 14:36:23,穿着喜欢
v***3,颜色:45 柠檬黄色;尺码:170/92A/M,2020-12-02 14:36:23,版型不错，大大的
开***y,颜色:45 柠檬黄色;尺码:175/100A/L,2020-12-02 14:17:19,好看质量挺好，物流也很快，赞！
扛***王,颜色:11 粉红色;尺码:170/92A/M,2020-12-02 12:45:34,宝贝很好看，质量很好，料不错，物流也很快。不错值 很不错
幺***凰,颜色:45 柠檬黄色;尺码:165/84A/S,2020-12-02 11:13:58,穿上身好看 颜色比图片暗点 如果是图片亮点的回更好看，适合秋天穿 现在穿外面要加外套
杨***颂,颜色:02 浅灰色;尺码:185/112C/XXL,2020-12-02 09:30:10,买的时候就剩这一个颜色了，摸着还是很舒服的，老公挺喜欢的
人***始,颜色:05 天灰色;尺码:170/92A/M,2020-12-02 09:18:39,穿起来很舒服，大小合适。
阳***1,颜色:02 浅灰色;尺码:170/92A/M,2020-12-02 01:28:47,挺好的
币***吃,颜色:38 深褐色;尺码:170/92A/M,2020-12-01 21:40:40,可以
币***吃,颜色:02 浅灰色;尺码:170/92A/M,2020-12-01 21:40:40,可以
v***8,颜色:57 深橄榄色;尺码:170/92A/M,2020-12-01 18:35:40,还要加运费&hellip;
瓜***戏,颜色:11 粉红色;尺码:175/100A/L,2020-12-01 18:02:24,颜色面料都很好，穿着舒适！
宝***1,颜色:45 柠檬黄色;尺码:180/108B/XL,2020-12-01 15:32:56,体重190斤，身高178，穿xl合适，颜色还挺好看的，饱和度不是特别高的那种，冬天穿稍微亮一点的颜色还是很好看的
一***的,颜色:38 深褐色;尺码:180/108B/XL,2020-12-01 15:31:15,合身 满意
t***1,颜色:45 柠檬黄色;尺码:175/100A/L,2020-12-01 15:28:35,厚薄度：挺厚的，冬天穿打底很OK 上身效果：他从没有穿过这种颜色，习惯了就很顺眼了 尺码推荐：身高178，体重150，很合适。^_^ 面料品质：比我买的优衣库便宜点的那款要好一些
淘***e,颜色:57 深橄榄色;尺码:165/84A/S,2020-12-01 14:51:39,质量挺好，
l***y,颜色:45 柠檬黄色;尺码:175/100A/L,2020-12-01 13:28:20,整体评价：跟实体店一样一样的，价格比实体便宜
y***2,颜色:45 柠檬黄色;尺码:185/112C/XXL,2020-12-01 13:12:47,码数偏大 穿得舒适 但有点空大
d***8,颜色:05 天灰色;尺码:175/100A/L,2020-12-01 09:39:02,不错
g***8,颜色:45 柠檬黄色;尺码:180/108B/XL,2020-12-01 09:32:24,颜色很正
黄***瓜,颜色:02 浅灰色;尺码:170/92A/M,2020-11-30 23:55:19,买给男朋友的上衣～上身真的很帅很好看！！！喜欢！！！质感也是很舒服的～～～
黄***瓜,颜色:45 柠檬黄色;尺码:170/92A/M,2020-11-30 23:55:18,买给男朋友的上衣～上身真的很帅很好看！！！喜欢！！！质感也是很舒服的～～～
你***啊,颜色:45 柠檬黄色;尺码:165/84A/S,2020-11-30 23:50:10,里面可以套一件衬衫，正好双十一买的，152/52好看子优衣库男装俺都是穿m，很好看很保暖，衣服质量超好！颜色像是紫色，质量没得说，可以选大一号，价格很满意，宽松度很好就是有点长，上身效果：整体简约大方，去店里试过了，尺码推荐：175、75推荐M、修身一点呀_
彩***8,颜色:45 柠檬黄色;尺码:175/100A/L,2020-11-30 22:43:12,优衣库衣服还是可以的。
杨***1,颜色:45 柠檬黄色;尺码:165/84A/S,2020-11-30 18:56:35,质量好，大人也可以。质量好，大人也可以。质量好，大人也可以。质量好，大人也可以。质量好，大人也可以。质量好，大人也可以。质量好，大人也可以。质量好，大人也可以。质量好，大人也可以。质量好，大人也可以。质量好，大人也可以。质量好，大人也可以
t***2,颜色:38 深褐色;尺码:170/92A/M,2020-11-30 18:27:27,还可以
刘***廷,颜色:02 浅灰色;尺码:165/84A/S,2020-11-30 16:13:04,还可以，价格有点高，
q***8,颜色:11 粉红色;尺码:170/92A/M,2020-11-30 16:09:21,挺厚
汤***逸,颜色:11 粉红色;尺码:170/92A/M,2020-11-30 15:53:30,衣服买的颜色发错了，凑合着穿，懒得退换了，衣服质量与描述完全不符，衣服刺鼻味道超级严重，衣领没型，衣服偏小，不是针织，不是纯棉，不是棉，是尼龙或者是更差的布料，透气性很差，穿着不舒服。就算拿来当抹布，也不吸水，这是天猫以来最差的衣服，差评！不知道评价里的好评从哪儿来的。客服服务态度极差，问的问题都没人回复，客服完全不负责任，毫无职业道德。
玻***y,颜色:05 天灰色;尺码:180/108B/XL,2020-11-30 15:05:01,一般，这件有点起球
冬***a,颜色:45 柠檬黄色;尺码:170/92A/M,2020-11-30 15:03:31,整体评价：很不错
t***9,颜色:45 柠檬黄色;尺码:185/112C/XXL,2020-11-30 13:28:48,双十一价格很合适
t***1,颜色:38 深褐色;尺码:170/92A/M,2020-11-30 11:11:39,穿着舒服。
l***4,颜色:57 深橄榄色;尺码:175/100A/L,2020-11-30 09:57:54,很轻，但很暖和，可外穿，太冷还可以在外面加大衣。灰色很百搭哟！
j***1,颜色:45 柠檬黄色;尺码:185/112C/XXL,2020-11-30 09:23:03,颜色很正，第二件一样颜色的衣服了，给老爸买的，很喜欢
c***k,颜色:05 天灰色;尺码:170/92A/M,2020-11-29 23:01:55,一般
c***k,颜色:45 柠檬黄色;尺码:180/108B/XL,2020-11-29 23:01:55,满意
p***e,颜色:05 天灰色;尺码:180/108B/XL,2020-11-29 22:04:54,优衣库这质量也是醉了，穿了一个小时，毛全在手臂上，一套进头，满屋飞着小毛，醉了这质量
l***0,颜色:11 粉红色;尺码:175/100A/L,2020-11-29 22:00:13,很好，复购，衣服穿上很舒服，款式也很喜欢
p***y,颜色:57 深橄榄色;尺码:165/84A/S,2020-11-29 21:38:47,多买几件
t***8,颜色:45 柠檬黄色;尺码:170/92A/M,2020-11-29 21:08:24,不像是正品，比之前买的轻，而且穿在身上的型像也不一样，像盗版。
小***军,颜色:57 深橄榄色;尺码:175/100A/L,2020-11-29 19:53:00,双十一抢购的 质量赞
全***的,颜色:45 柠檬黄色;尺码:170/92A/M,2020-11-29 18:40:49,细节不好，线头特别多
y***4,颜色:11 粉红色;尺码:170/92A/M,2020-11-29 18:24:23,颜色没有图片看起来那么好看，布料水洗后变形比较严重，版型彻底没有了。
e***i,颜色:45 柠檬黄色;尺码:175/100A/L,2020-11-29 18:16:51,收到货啦，物流超级给力，质量也棒棒哒！给10086个赞👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
风***3,颜色:38 深褐色;尺码:170/92A/M,2020-11-29 17:06:40,掌柜的服务态度真好，发货很快。商品质量也相当不错。太喜欢了，谢谢！
旺***y,颜色:05 天灰色;尺码:180/108B/XL,2020-11-29 10:52:30,好
易***人,颜色:57 深橄榄色;尺码:175/100A/L,2020-11-29 10:35:35,此用户没有填写评论!
开***y,颜色:45 柠檬黄色;尺码:165/84A/S,2020-11-29 09:05:29,包装很好，颜值不错，质量也没有问题
林***0,颜色:45 柠檬黄色;尺码:165/84A/S,2020-11-29 08:48:19,好评
刘***6,颜色:45 柠檬黄色;尺码:170/92A/M,2020-11-29 08:05:43,此用户没有填写评论!
g***9,颜色:11 粉红色;尺码:175/100A/L,2020-11-29 07:58:35,双十一在优衣库买了七八件衣服，都很合适，优衣库铁粉
桔***上,颜色:45 柠檬黄色;尺码:170/92A/M,2020-11-29 05:50:54,此用户没有填写评论!
桔***上,颜色:11 粉红色;尺码:170/92A/M,2020-11-29 05:50:54,此用户没有填写评论!
x***6,颜色:11 粉红色;尺码:175/100A/L,2020-11-29 01:38:58,"东西质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。"
傅***卵,颜色:05 天灰色;尺码:180/108B/XL,2020-11-28 20:00:47,质量特别好
f***8,颜色:02 浅灰色;尺码:170/92A/M,2020-11-28 19:41:07,此用户没有填写评论!
2***浅,颜色:69 藏青色;尺码:170/92A/M,2020-11-28 18:18:34,不吹不黑，我买同样两件相差最起码5cm，刚开始不给退，最后结果是淘宝介入退了(因为我把吊牌剪了)
廖***4,颜色:38 深褐色;尺码:175/100A/L,2020-11-28 18:09:19,衣服洗一次就变大了，申请退款了。
l***y,颜色:45 柠檬黄色;尺码:175/100A/L,2020-11-28 14:54:36,舒服，好搭配。同样价格高品质，同样品质低价格。基础款选优衣库真是没错
工***人,颜色:45 柠檬黄色;尺码:175/100A/L,2020-11-28 12:48:46,儿子的衣服基本都是优衣库。
3***c,颜色:02 浅灰色;尺码:165/84A/S,2020-11-28 11:42:20,质感很好，很舒服，有点长，这个价格很划算哦
t***0,颜色:11 粉红色;尺码:175/100A/L,2020-11-28 09:12:03,颜色很靓，衣服很修身，价格很满意👍
s***王,颜色:11 粉红色;尺码:175/100A/L,2020-11-27 22:08:00,质量好。
m***2,颜色:05 天灰色;尺码:180/108B/XL,2020-11-27 21:06:17,比实体店便宜 挺好暖和
苹***梨,颜色:45 柠檬黄色;尺码:180/108B/XL,2020-11-27 19:31:11,合适
t***7,颜色:32 深米色;尺码:170/92A/M,2020-11-27 19:26:25,此用户没有填写评论!
p***i,颜色:32 深米色;尺码:165/84A/S,2020-11-27 16:48:12,此用户没有填写评论!
少***发,颜色:02 浅灰色;尺码:180/108B/XL,2020-11-27 16:34:16,刚好做活动，价格便宜了很多，性价比超高，真的特别划算
雨***2,颜色:02 浅灰色;尺码:180/108B/XL,2020-11-27 15:50:40,质量不错，好看。
大***晨,颜色:45 柠檬黄色;尺码:170/92A/M,2020-11-27 14:53:45,挺厚实，合身，但衣长不长，黄颜色的实物比图片好看
小***e,颜色:02 浅灰色;尺码:180/108B/XL,2020-11-27 14:41:08,质量没毛病，就是买大了去线下门店换货没有货，有点儿麻烦
伊***檬,颜色:38 深褐色;尺码:175/100A/L,2020-11-27 11:39:34,应该还不错 给弟弟买的
相***天,颜色:05 天灰色;尺码:165/84A/S,2020-11-27 11:36:28,此用户没有填写评论!
w***7,颜色:57 深橄榄色;尺码:175/100A/L,2020-11-27 11:30:23,此用户没有填写评论!
鱼***啦,颜色:11 粉红色;尺码:175/100A/L,2020-11-27 11:20:29,超喜欢这个版型！女生买了l码，是我想要的宽松样子～广东怎么还不入冬！
y***c,颜色:45 柠檬黄色;尺码:170/92A/M,2020-11-27 11:13:19,衣服质量是可以的 就是客服都是机器人 没限购硬生生帮我分成两个订单 退款客服也不理 找都找不到人
十***腾,颜色:02 浅灰色;尺码:175/100A/L,2020-11-27 10:55:08,质量好，喜欢。
羊***子,颜色:45 柠檬黄色;尺码:170/92A/M,2020-11-27 09:12:26,好
何***榆,颜色:32 深米色;尺码:175/100A/L,2020-11-27 02:11:14,此用户没有填写评论!
m***福,颜色:57 深橄榄色;尺码:165/84A/S,2020-11-27 00:59:07,卫衣还是蛮不错的，就是我们这边天气还穿不上，短袖都快穿腻了，哈哈
t***4,颜色:09 黑色;尺码:175/100A/L,2020-11-26 23:41:30,🆒是正品，跟商店里买的是一样的，在这网购方便快捷，品质放心，还会光顾！.^◡^.不错，喜欢，性价比高，以后会经常光顾宝贝收到啦，实物真的好看，价格非常实惠，强烈推荐这款，超级喜欢刚好做活动，价格便宜了很多，性价比超高，真的特别划算
资***猫,颜色:45 柠檬黄色;尺码:165/84A/S,2020-11-26 22:23:00,尺寸合适，颜色漂亮，价格优惠。
p***0,颜色:32 深米色;尺码:170/92A/M,2020-11-26 21:09:39,此用户没有填写评论!
c***5,颜色:02 浅灰色;尺码:170/92A/M,2020-11-26 21:01:50,此用户没有填写评论!
陈***7,颜色:57 深橄榄色;尺码:170/92A/M,2020-11-26 20:51:55,好看
t***2,颜色:32 深米色;尺码:170/92A/M,2020-11-26 20:34:21,东西质量不错，与描述相符，推荐大家购买
l***1,颜色:32 深米色;尺码:180/108B/XL,2020-11-26 20:15:55,此用户没有填写评论!
a***7,颜色:32 深米色;尺码:170/92A/M,2020-11-26 19:40:57,此用户没有填写评论!
王***0,颜色:11 粉红色;尺码:170/92A/M,2020-11-26 18:54:30,真的很好，性价比也很高，质量也很好，物流也快啊！一天就到货了！
1***5,颜色:11 粉红色;尺码:175/100A/L,2020-11-26 18:15:29,好看
我***手,颜色:11 粉红色;尺码:175/100A/L,2020-11-26 18:09:37,不错的
s***5,颜色:11 粉红色;尺码:175/100A/L,2020-11-26 17:23:07,此用户没有填写评论!
黑***1,颜色:05 天灰色;尺码:170/92A/M,2020-11-26 17:18:37,此用户没有填写评论!
奥***8,颜色:32 深米色;尺码:165/84A/S,2020-11-26 16:41:23,此用户没有填写评论!
奥***8,颜色:05 天灰色;尺码:165/84A/S,2020-11-26 16:41:23,此用户没有填写评论!
豆***2,颜色:45 柠檬黄色;尺码:175/100A/L,2020-11-26 15:51:56,衣服不错****
凯***王,颜色:38 深褐色;尺码:180/108B/XL,2020-11-26 13:32:20,衣服很好
t***7,颜色:05 天灰色;尺码:180/108B/XL,2020-11-26 12:58:51,质量还可以 非常迅速 非常迅速 非常迅速 非常迅速
c***泪,颜色:02 浅灰色;尺码:175/100A/L,2020-11-26 12:49:25,和实体店一样，质量非常好
l***i,颜色:32 深米色;尺码:170/92A/M,2020-11-26 12:25:47,此用户没有填写评论!
l***i,颜色:05 天灰色;尺码:170/92A/M,2020-11-26 12:25:47,此用户没有填写评论!
美***6,颜色:11 粉红色;尺码:170/92A/M,2020-11-26 12:06:42,粉色真的色差好大，算是葡萄紫叭 不过也可以接受，男的150斤以上还是买l码叭，肚子略小
美***6,颜色:09 黑色;尺码:170/92A/M,2020-11-26 12:06:42,整体评价：看着还好，还没洗。码子合适
陈***7,颜色:32 深米色;尺码:170/92A/M,2020-11-26 12:02:27,特别好看，质量不错。。。
陈***7,颜色:11 粉红色;尺码:170/92A/M,2020-11-26 12:02:27,特别好看，质量不错。。。
粤***8,颜色:38 深褐色;尺码:165/84A/S,2020-11-26 11:20:58,衣服质量很好，而且双11优惠力度很大，值得下手
毅***思,颜色:38 深褐色;尺码:180/108B/XL,2020-11-26 11:16:24,此用户没有填写评论!
毅***思,颜色:32 深米色;尺码:175/100A/L,2020-11-26 11:16:24,此用户没有填写评论!
豆***2,颜色:32 深米色;尺码:170/92A/M,2020-11-26 11:14:18,此用户没有填写评论!
不***孩,颜色:45 柠檬黄色;尺码:175/100A/L,2020-11-26 11:13:41,好穿，
t***8,颜色:45 柠檬黄色;尺码:175/100A/L,2020-11-26 10:57:55,整体评价：比较显白，颜色百搭 材质特性：卫衣棉，很舒服，适合穿打底 厚薄度：秋天穿或者春天穿可以外穿 面料品质：舒服贴身，绵绵的， 上身效果：整体简约大方
超***甜,颜色:05 天灰色;尺码:180/108B/XL,2020-11-26 10:47:16,终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的！说实在，这是我淘宝购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。
w***i,颜色:05 天灰色;尺码:170/92A/M,2020-11-26 09:37:01,整体评价：质量还可以 本来想要别的颜色 结果一活动就没有了 材质特性：质量蛮好的 上身效果：去店里试过还可以 厚薄度：刚好 面料品质：点赞
墨***e,颜色:45 柠檬黄色;尺码:175/100A/L,2020-11-26 09:35:48,优衣库这件还挺满意的，是120入手，穿起来很有型，尺寸还行，没有其它那么偏大，面料很舒服
潮***威,颜色:57 深橄榄色;尺码:175/100A/L,2020-11-26 07:05:28,还好，感觉没实体店的穿起舒服
夜***饭,颜色:32 深米色;尺码:170/92A/M,2020-11-25 23:50:15,还可以，就是双11没抢到，多花了70块&hellip;&hellip;
天***5,颜色:57 深橄榄色;尺码:170/92A/M,2020-11-25 22:57:55,好看
d***头,颜色:45 柠檬黄色;尺码:165/84A/S,2020-11-25 22:37:44,此用户没有填写评论!
龙***怒,颜色:38 深褐色;尺码:175/100A/L,2020-11-25 22:07:04,买大了😂，特别宽松，凑合穿了
夏***1,颜色:05 天灰色;尺码:175/100A/L,2020-11-25 21:56:25,已经要把优衣库的所有男款买一遍了，真的是一家人的衣橱
t***4,颜色:32 深米色;尺码:180/108B/XL,2020-11-25 20:23:03,还可以，我穿大了，颜色跟我皮肤不搭🤪🤪
尚***2,颜色:45 柠檬黄色;尺码:170/92A/M,2020-11-25 20:13:18,颜色喜欢
