displayUserNick,auctionSku,rateDate,rateContent
t***7,颜色:69 藏青色;尺码:165/84A/S,2020-10-11 11:42:35,面料很舒服
美***大,颜色:69 藏青色;尺码:180/108B/XL,2020-08-08 11:41:25,给男朋友买的，他很满意，我也很满意，哈哈哈，涉及隐私，照片就不上了&hellip;&hellip;上身效果很好，尺码是按照之前的尺码买的，材质很好，贴合身材，整体挺好的，夏天穿着挺舒服的！
啦***～,颜色:69 藏青色;尺码:180/108B/XL,2020-08-06 16:20:58,此用户没有填写评论!
j***f,颜色:69 藏青色;尺码:175/100A/L,2020-08-06 10:04:29,舒适，儿子说要集齐一套漫威系列的速干T恤
t***1,颜色:69 藏青色;尺码:175/100A/L,2020-08-06 08:37:08,此用户没有填写评论!
c***8,颜色:69 藏青色;尺码:175/100A/L,2020-08-05 21:52:09,整体评价：性价比高 材质特性：速干透气
i***0,颜色:69 藏青色;尺码:175/100A/L,2020-08-04 19:27:20,不错，纯棉的，性价比优衣库是没得说，好看。不错，纯棉的，性价比优衣库是没得说，好看。不错，纯棉的，性价比优衣库是没得说，好看。不错，纯棉的，性价比优衣库是没得说，好看。不错，纯棉的，性价比优衣库是没得说，好看。不错，纯棉的，性价比优衣库是没得说，好看。
a***t,颜色:69 藏青色;尺码:175/100A/L,2020-08-04 19:26:45,此用户没有填写评论!
富***婆,颜色:69 藏青色;尺码:180/108B/XL,2020-08-04 16:01:45,此用户没有填写评论!
世***哗,颜色:69 藏青色;尺码:170/92A/M,2020-08-02 18:11:41,柔软细腻透气，穿上贴身舒服，质量也很好。图案挺时尚，喜欢。
只***1,颜色:69 藏青色;尺码:180/108B/XL,2020-07-31 20:48:08,透气性还可以 性价比不错
t***2,颜色:69 藏青色;尺码:175/100A/L,2020-07-30 18:09:52,料子不好，痒，穿在身上过敏，摸起来像便宜货，质量堪忧
z***i,颜色:69 藏青色;尺码:175/100A/L,2020-07-29 15:04:23,这个料子没全棉的穿着舒服！
w***u,颜色:69 藏青色;尺码:180/108B/XL,2020-07-29 14:02:14,大小合适，质量也还可以
t***3,颜色:69 藏青色;尺码:180/108B/XL,2020-07-28 18:19:44,好冬冬。
m***4,颜色:69 藏青色;尺码:175/100A/L,2020-07-26 18:23:12,好，薄款，透气
淼***b,颜色:69 藏青色;尺码:175/100A/L,2020-07-25 13:49:49,很好看
沦***丶,颜色:69 藏青色;尺码:170/92A/M,2020-07-25 10:29:54,不错
c***5,颜色:69 藏青色;尺码:165/84A/S,2020-07-24 19:58:12,厚薄度：薄 面料品质：舒适 穿着很舒适透气
海***7,颜色:69 藏青色;尺码:180/108B/XL,2020-07-24 16:15:39,薄款，偏长，质量不错
政***子,颜色:69 藏青色;尺码:175/100A/L,2020-07-24 15:50:53,不错
任***纯,颜色:69 藏青色;尺码:175/100A/L,2020-07-24 07:26:00,衣服不错，就是店大欺客，想和客服沟通一下实在太难了
买***0,颜色:69 藏青色;尺码:170/92A/M,2020-07-23 19:39:56,等着钢铁侠
黑***8,颜色:69 藏青色;尺码:165/84A/S,2020-07-23 17:22:41,特别满意，好评必须好评
s***y,颜色:69 藏青色;尺码:180/108B/XL,2020-07-23 16:05:40,很凉快，很喜欢后背的图案，实体店99还没号
a***g,颜色:69 藏青色;尺码:170/92A/M,2020-07-23 10:49:54,舒适 合适 可以 不透 可以
h***4,颜色:69 藏青色;尺码:175/100A/L,2020-07-22 20:41:06,"质量非常好,与卖家描述的完全一致,非常满意 , 真的很喜欢,完全超期望值,发货速度非常快,包装非常仔细、严实,物流公司服务态度很好,运送速度很快,很满意的一次购物。谢谢!"
颜***0,颜色:69 藏青色;尺码:175/100A/L,2020-07-22 19:34:50,衣服还不错
k***8,颜色:69 藏青色;尺码:180/108B/XL,2020-07-22 11:31:18,衣服很合适，很喜欢
l***m,颜色:69 藏青色;尺码:170/92A/M,2020-07-22 09:51:52,正品，买的放心，满意！
r***0,颜色:69 藏青色;尺码:180/108B/XL,2020-07-22 08:10:01,好
大***妖,颜色:69 藏青色;尺码:180/108B/XL,2020-07-21 18:47:40,很好
h***y,颜色:69 藏青色;尺码:175/100A/L,2020-07-21 18:18:13,材质特性：薄款，有点修身，穿着比较舒服。但是衣服里面有很多线头，客服说此款衣服容易有勾丝，里面咋会勾丝呢，只穿了一会儿，明明就是衣服本身质量有问题，客服还打电话给我（每次都是中午）说这是正常的，每件衣服都这样，因为吊牌剪了无法退货，以后记住了衣服一定要检查里面。
平***你,颜色:69 藏青色;尺码:175/100A/L,2020-07-20 22:25:31,很好。
博***空,颜色:69 藏青色;尺码:180/108B/XL,2020-07-20 10:59:28,精细 面料舒适 合适
t***4,颜色:69 藏青色;尺码:175/100A/L,2020-07-20 08:17:30,款式颜色都不错，要是加些棉质最佳。
e***w,颜色:69 藏青色;尺码:180/108B/XL,2020-07-18 16:14:01,衣服很好，老公喜欢夏天穿在身上感觉舒服。谢谢卖家和快递小哥。
h***u,颜色:69 藏青色;尺码:175/100A/L,2020-07-18 14:28:25,衣服挺好的
老***梦,颜色:69 藏青色;尺码:180/108B/XL,2020-07-18 13:24:21,好穿好看，就是比较显肚子。
g***非,颜色:69 藏青色;尺码:180/108B/XL,2020-07-18 13:00:41,红蓝各一件
潜***网,颜色:69 藏青色;尺码:175/100A/L,2020-07-16 21:06:30,好看
t***3,颜色:69 藏青色;尺码:175/100A/L,2020-07-16 20:57:25,尺码合适，穿着舒服，是喜欢的颜色。
谭***1,颜色:69 藏青色;尺码:175/100A/L,2020-07-16 20:21:57,非常好
茉***4,颜色:69 藏青色;尺码:180/108B/XL,2020-07-15 22:16:38,好评
t***2,颜色:69 藏青色;尺码:170/92A/M,2020-07-15 19:09:41,舒服
t***2,颜色:69 藏青色;尺码:180/108B/XL,2020-07-15 16:28:37,质量非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。
快***君,颜色:69 藏青色;尺码:165/84A/S,2020-07-15 12:47:37,非常好！速干的非常舒服，这已经是第二单了。
我***饼,颜色:69 藏青色;尺码:180/108B/XL,2020-07-15 12:10:27,不错不错不错不错不错
q***b,颜色:69 藏青色;尺码:175/100A/L,2020-07-15 11:36:26,挺好，舒服
虹***线,颜色:69 藏青色;尺码:175/100A/L,2020-07-15 10:46:05,质量好
p***z,颜色:69 藏青色;尺码:180/108B/XL,2020-07-15 10:14:04,颜色好看
b***9,颜色:69 藏青色;尺码:175/100A/L,2020-07-15 08:01:40,给爷爷买的，很合适
小***齐,颜色:69 藏青色;尺码:165/84A/S,2020-07-14 22:50:50,很合身，不错，比店里便宜20块。
微***末,颜色:69 藏青色;尺码:180/108B/XL,2020-07-14 22:44:17,不错
q***1,颜色:69 藏青色;尺码:180/108B/XL,2020-07-14 11:07:19,便宜买的
m***g,颜色:69 藏青色;尺码:180/108B/XL,2020-07-13 23:16:41,衣服比较柔软，透气性能不错。算比较修身的，同时也比较长。
鸟***我,颜色:69 藏青色;尺码:175/100A/L,2020-07-13 22:58:04,实体店前段时间99买的，现在79买，摊薄成本。😂😂😂😂😂😂😂
l***5,颜色:69 藏青色;尺码:180/108B/XL,2020-07-13 19:59:34,好看
怪***g,颜色:69 藏青色;尺码:175/100A/L,2020-07-13 11:37:32,不错
l***i,颜色:69 藏青色;尺码:175/100A/L,2020-07-13 11:26:25,此用户没有填写评论!
t***9,颜色:69 藏青色;尺码:180/108B/XL,2020-07-13 11:04:40,好评！！！
m***t,颜色:69 藏青色;尺码:180/108B/XL,2020-07-13 10:07:27,颜色很显白，透气轻薄
z***7,颜色:69 藏青色;尺码:180/108B/XL,2020-07-12 20:54:33,好评
大***臭,颜色:69 藏青色;尺码:175/100A/L,2020-07-12 11:48:27,透气，非常凉爽，第二件了
蔡***0,颜色:69 藏青色;尺码:175/100A/L,2020-07-11 15:56:59,薄款，透气，舒适，很不错，下次会继续回购。
c***3,颜色:69 藏青色;尺码:180/108B/XL,2020-07-11 12:15:05,很舒服
呆***哒,颜色:69 藏青色;尺码:175/100A/L,2020-07-10 20:43:04,给爸爸买的，说穿起来很凉爽透气，挺舒服的，洗了干得也很快，尺码挺准确的，买的大小刚刚好。
m***0,颜色:69 藏青色;尺码:170/92A/M,2020-07-10 16:53:38,15天内从99元降价到79元，购买时有保价险，但是店铺以各种理由不退差价，各位亲，不要相信保价险
l***9,颜色:69 藏青色;尺码:175/100A/L,2020-07-10 11:50:24,衣服贴身偏长，不知道是这种材料的问题还是本身品质不过关。衣服洗后还是经常会有一股很难闻的异味。表示体验极差，这是我第一次光顾这个品牌，也是最后一次了。
贵***影,颜色:69 藏青色;尺码:175/100A/L,2020-07-10 08:48:09,优衣库的衣服是便宜又好穿
z***4,颜色:69 藏青色;尺码:175/100A/L,2020-07-09 23:05:29,衣服挺好，就是降价太厉害，买的99，今天看下79了。
张***3,颜色:69 藏青色;尺码:175/100A/L,2020-07-09 21:01:46,前面买的衣服后面就降价了，太狗血了，说的有15天价保的，根本就不能申请
0***5,颜色:69 藏青色;尺码:180/108B/XL,2020-07-09 15:17:57,面料很很厚实！
k***1,颜色:69 藏青色;尺码:175/100A/L,2020-07-09 07:19:17,棉料恨舒服
邱***7,颜色:69 藏青色;尺码:175/100A/L,2020-07-08 11:45:49,我们家是优衣库的忠实粉丝。特别是我老公
蝶***2,颜色:69 藏青色;尺码:180/108B/XL,2020-07-06 16:25:16,这件是3件里最满意的一件，尺寸大小也正好，177.155斤，肚子有点大。
李***1,颜色:69 藏青色;尺码:170/92A/M,2020-07-05 23:14:59,好评！
q***t,颜色:69 藏青色;尺码:165/84A/S,2020-07-05 19:19:24,买两件同一码的，一件偏大一件偏小。这个偏小
刀***茜,颜色:69 藏青色;尺码:175/100A/L,2020-07-05 13:28:26,不错
2***y,颜色:69 藏青色;尺码:175/100A/L,2020-07-05 10:59:17,衣服很薄很凉快，宽松版，无色差。
t***2,颜色:69 藏青色;尺码:170/92A/M,2020-07-04 11:58:50,很好
刘***1,颜色:69 藏青色;尺码:175/100A/L,2020-07-03 21:05:55,衣服面料很舒服，颜色很好看，码数刚刚好，就是衫身有点长
魏***0,颜色:69 藏青色;尺码:170/92A/M,2020-07-03 18:41:17,质量不错，快递速度快
l***r,颜色:69 藏青色;尺码:180/108B/XL,2020-07-03 17:51:31,效果不错，日常穿着还是很舒服的
螺***l,颜色:69 藏青色;尺码:175/100A/L,2020-07-03 09:12:10,面料挺柔软舒服的
大***鱼,颜色:69 藏青色;尺码:180/108B/XL,2020-07-02 23:37:43,给我爹地买的 我爹地很喜欢！嘻嘻
c***5,颜色:69 藏青色;尺码:175/100A/L,2020-07-02 18:58:56,不错
b***n,颜色:69 藏青色;尺码:180/108B/XL,2020-07-02 12:41:51,xl比较宽松，老爸很喜欢
t***2,颜色:69 藏青色;尺码:175/100A/L,2020-07-01 22:36:23,送给爸爸的生日礼物，是之前在店里逛的时候看上的，面料滑滑的，感觉很舒服，难得带回家就在网上买了寄回去的
潇***8,颜色:69 藏青色;尺码:170/92A/M,2020-07-01 15:01:24,宝贝颜色好看，没错，是正牌货。
燕***6,颜色:69 藏青色;尺码:180/108B/XL,2020-06-30 16:34:10,还不错
青***3,颜色:69 藏青色;尺码:180/108B/XL,2020-06-30 14:07:20,回购了几次，每年都买这个系列的
青***3,颜色:69 藏青色;尺码:180/108B/XL,2020-06-30 13:54:34,每年都买这个系列
t***3,颜色:69 藏青色;尺码:175/100A/L,2020-06-30 11:24:20,很好，喜欢优衣库
小***7,颜色:69 藏青色;尺码:180/108B/XL,2020-06-30 11:12:39,买给公公的，很满意，大小合适，质量也很好
王***丽,颜色:69 藏青色;尺码:180/108B/XL,2020-06-30 07:31:21,618刚买了就降价，而且不保价
俊***呀,颜色:69 藏青色;尺码:175/100A/L,2020-06-29 14:55:25,买了一次太小了换了大码，衣服不错，速干料子。
归***人,颜色:69 藏青色;尺码:175/100A/L,2020-06-29 13:22:27,给爸爸买的，他说面料很舒服，开心
k***i,颜色:69 藏青色;尺码:175/100A/L,2020-06-29 08:09:43,给公公买的，170，75公斤，给大家参考
w***4,颜色:69 藏青色;尺码:175/100A/L,2020-06-28 21:43:56,在装柜买的衣服真想给一个差评
p***5,颜色:69 藏青色;尺码:180/108B/XL,2020-06-28 17:26:10,一下买了两件送人  很凉快
p***5,颜色:69 藏青色;尺码:170/92A/M,2020-06-28 17:26:10,这个料子适合夏天  挺凉快的
小***敏,颜色:69 藏青色;尺码:180/108B/XL,2020-06-28 13:25:33,质量非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物
t***0,颜色:69 藏青色;尺码:180/108B/XL,2020-06-27 23:37:16,买给爸爸的 面料很棒 轻薄舒适 满意
g***g,颜色:69 藏青色;尺码:185/112C/XXL,2020-06-27 22:11:25,还没收到货就降价了，还不肯退差价
n***2,颜色:69 藏青色;尺码:175/100A/L,2020-06-27 22:06:37,可以。
雨***z,颜色:69 藏青色;尺码:175/100A/L,2020-06-27 11:34:40,给爸爸的不错
t***8,颜色:69 藏青色;尺码:180/108B/XL,2020-06-27 09:57:46,给老爸的   很舒服的料子
z***o,颜色:69 藏青色;尺码:170/92A/M,2020-06-26 22:23:54,可以，速干衣穿着凉快舒服。只是必须要吐槽客服，这节约成本，节约得没有一个线上人工客服，太烂了
x***9,颜色:69 藏青色;尺码:180/108B/XL,2020-06-26 19:47:17,还不错 老爸挺喜欢的 穿着舒服
无***g,颜色:69 藏青色;尺码:175/100A/L,2020-06-26 15:53:30,买给爸爸穿的、爸爸很喜欢
小***云,颜色:69 藏青色;尺码:170/92A/M,2020-06-26 13:20:14,优衣库的衣服质量越来越差，同样的T恤，同样的价格，衣服使用的材质越来越差。前两年买的速干跑步还可以，现在的触感也不行，速干也不行，跑完和棉的差不多竟然积汗，无语。
李***8,颜色:69 藏青色;尺码:180/108B/XL,2020-06-26 12:44:36,好评
果***宝,颜色:69 藏青色;尺码:180/108B/XL,2020-06-26 00:14:16,好
t***e,颜色:69 藏青色;尺码:175/100A/L,2020-06-25 13:42:02,跑步穿着不错
亲***0,颜色:69 藏青色;尺码:180/108B/XL,2020-06-25 09:43:20,老公很喜欢，穿着效果不错。
盛***夏,颜色:69 藏青色;尺码:175/100A/L,2020-06-25 00:56:55,买给公公和老爸的，都很合身哦 老爸说 面料有一丢丢厚
淡***祁,颜色:69 藏青色;尺码:180/108B/XL,2020-06-24 16:40:44,好
z***4,颜色:69 藏青色;尺码:175/100A/L,2020-06-24 13:55:07,物美价廉，布料很舒服
唱***零,颜色:69 藏青色;尺码:175/100A/L,2020-06-24 13:32:25,面料品质：品质好 尺码推荐：尺码合适 厚薄度：薄款透气
j***s,颜色:69 藏青色;尺码:175/100A/L,2020-06-24 01:44:24,挺好的，薄软凉快
t***9,颜色:69 藏青色;尺码:175/100A/L,2020-06-23 17:45:25,给老爸买的，很喜欢
c***1,颜色:69 藏青色;尺码:175/100A/L,2020-06-23 17:44:24,很软很薄适合夏天
布***木,颜色:69 藏青色;尺码:175/100A/L,2020-06-23 14:22:38,样式挺好看的，就是他穿上稍微有一点点小，懒得换了。
s***l,颜色:69 藏青色;尺码:170/92A/M,2020-06-22 19:32:27,好特别好
柠***n,颜色:69 藏青色;尺码:175/100A/L,2020-06-22 17:51:31,这个材质的衣服我全都各买了一件
杨***4,颜色:69 藏青色;尺码:170/92A/M,2020-06-22 16:54:38,挺好
小***w,颜色:69 藏青色;尺码:175/100A/L,2020-06-22 16:22:51,超帅
p***g,颜色:69 藏青色;尺码:180/108B/XL,2020-06-22 15:51:01,父亲节买给爸爸的，料子很舒服！
a***t,颜色:69 藏青色;尺码:170/92A/M,2020-06-21 21:14:38,此用户没有填写评论!
蛋***o,颜色:69 藏青色;尺码:175/100A/L,2020-06-21 20:18:49,料子很好，就是觉得有点小了，老爹很喜欢
f***s,颜色:69 藏青色;尺码:175/100A/L,2020-06-21 19:54:39,。。。。。。。。。。。。。。。
扎***待,颜色:69 藏青色;尺码:180/108B/XL,2020-06-21 13:19:58,爸爸穿着很合适，凉快速干
姚***七,颜色:69 藏青色;尺码:175/100A/L,2020-06-21 10:43:59,好评
t***2,颜色:69 藏青色;尺码:180/108B/XL,2020-06-20 23:50:15,给老爸买的，去年买过同系列，出来新款立刻安排，父亲节礼物哈哈！希望爸爸穿着运动，健健康康的
又***佳,颜色:69 藏青色;尺码:175/100A/L,2020-06-20 18:20:27,很好
w***7,颜色:69 藏青色;尺码:180/108B/XL,2020-06-20 12:47:22,老爸的无限回购款
t***1,颜色:69 藏青色;尺码:175/100A/L,2020-06-20 09:25:09,整体评价：透气性很好，穿上很凉爽，值得回购
放***3,颜色:69 藏青色;尺码:170/92A/M,2020-06-19 22:45:36,整体评价：这个下摆有点长。穿在老爸身上有点像长t。也可能我老豆没站直来拍。需要裁掉一些。
y***4,颜色:69 藏青色;尺码:180/108B/XL,2020-06-19 17:01:49,挺舒服的！
不***s,颜色:69 藏青色;尺码:180/108B/XL,2020-06-18 22:25:05,整体评价：不错 材质特性：透气 上身效果：父亲节礼物 尺码推荐：常规 厚薄度：薄 面料品质：好
购***f,颜色:69 藏青色;尺码:175/100A/L,2020-06-18 22:19:33,很好
谁***霜,颜色:69 藏青色;尺码:160/76A/XS,2020-06-18 18:43:18,此用户没有填写评论!
多***6,颜色:69 藏青色;尺码:180/108B/XL,2020-06-17 16:57:58,物流很给力，衣服不错，尺码正好，优衣库的衣服性价比很高。
折***城,颜色:69 藏青色;尺码:180/108B/XL,2020-06-16 18:26:19,售后太差了，出了问题，连个回复都没有，店大欺客啊，可不来了。
w***9,颜色:69 藏青色;尺码:180/108B/XL,2020-06-16 10:35:15,给家公买的，快干好，图案也很时尚
w***x,颜色:69 藏青色;尺码:180/108B/XL,2020-06-13 18:06:46,早就收到啦，忘记确认了。衣服很好，穿着很舒服
l***9,颜色:69 藏青色;尺码:175/100A/L,2020-06-13 15:29:42,还行
x***5,颜色:69 藏青色;尺码:175/100A/L,2020-06-13 14:51:40,包装严实，物流很快，品质不错。
c***y,颜色:69 藏青色;尺码:175/100A/L,2020-06-13 11:53:54,去年在实体店买过，今年换在网上买，剩了跑路
g***9,颜色:69 藏青色;尺码:175/100A/L,2020-06-12 21:53:24,不错，轻薄透气
g***5,颜色:69 藏青色;尺码:175/100A/L,2020-06-12 18:07:55,发现优衣库的这个客服真的是就是个摆设 问啥都不回复你 还显示已读 太气了
m***n,颜色:69 藏青色;尺码:175/100A/L,2020-06-12 15:57:56,质量不错。
s***y,颜色:69 藏青色;尺码:170/92A/M,2020-06-12 13:19:57,这个面料的短袖买了好几件了，家人很喜欢，面料好清洗不易变形。
m***7,颜色:69 藏青色;尺码:180/108B/XL,2020-06-12 11:28:20,料子舒服，没有色差
l***i,颜色:69 藏青色;尺码:175/100A/L,2020-06-12 11:10:13,爱了
午***冬,颜色:69 藏青色;尺码:175/100A/L,2020-06-11 22:07:35,好评！
萌***狸,颜色:69 藏青色;尺码:180/108B/XL,2020-06-11 15:39:19,很好，夏天穿很舒服。
印***忆,颜色:69 藏青色;尺码:185/112C/XXL,2020-06-11 10:44:31,满意
m***8,颜色:69 藏青色;尺码:180/108B/XL,2020-06-11 09:25:55,还可以，有点显老
y***8,颜色:69 藏青色;尺码:160/76A/XS,2020-06-10 16:32:31,给老爸买的，性价比很高，很合适！赞！全家的衣服基本在优衣库都能买到，真的太棒了！质量也挺好，售后也挺好，一个字就是好！两个字就是很好！三个字就是非常好！反正我说这么多是因为我的淘气值下降了！没办法，但是我说的也是实话，优衣库的衣服质量确实不错的！杠杠的！
玉***豆,颜色:69 藏青色;尺码:175/100A/L,2020-06-10 14:13:05,衣服很舒服～透气～给老爸买的～～很喜欢～
邱***安,颜色:69 藏青色;尺码:175/100A/L,2020-06-10 07:24:27,一直穿这一系列的衣服，喜欢这种面料
b***y,颜色:69 藏青色;尺码:175/100A/L,2020-06-09 16:55:12,老爸穿着合适，面料爽滑。
h***8,颜色:69 藏青色;尺码:175/100A/L,2020-06-09 16:36:14,好 舒适 合身 透光透气好 有弹性
l***9,颜色:69 藏青色;尺码:180/108B/XL,2020-06-09 13:01:26,给爸爸买的，稍大点了，还行
y***u,颜色:69 藏青色;尺码:180/108B/XL,2020-06-09 10:02:37,材质很舒服
c***a,颜色:69 藏青色;尺码:170/92A/M,2020-06-08 21:38:41,很好
p***9,颜色:69 藏青色;尺码:170/92A/M,2020-06-08 20:55:22,很喜欢，在实体店试了，没有码子然后店铺拍的，和实体店一样！不错不错跟满意
l***w,颜色:69 藏青色;尺码:175/100A/L,2020-06-08 20:09:25,舒适合体。
猪***2,颜色:69 藏青色;尺码:180/108B/XL,2020-06-08 09:54:52,很好
c***5,颜色:69 藏青色;尺码:175/100A/L,2020-06-08 09:40:02,整体评价：穿着舒服 面料品质：快干的面料很不错
新***天,颜色:69 藏青色;尺码:180/108B/XL,2020-06-05 20:36:20,很满意
我***6,颜色:69 藏青色;尺码:175/100A/L,2020-06-05 10:29:22,好啊好啊好啊好啊
l***9,颜色:69 藏青色;尺码:175/100A/L,2020-06-05 08:05:43,颜色好看 面料舒服 每年都买
格***罗,颜色:69 藏青色;尺码:180/108B/XL,2020-06-04 22:42:39,整体评价：很棒 材质特性：比较透气，舒服 厚薄度：薄，适合运动 面料品质：比较好
b***j,颜色:69 藏青色;尺码:180/108B/XL,2020-06-04 17:14:59,好评
