displayUserNick,auctionSku,rateDate,rateContent
t***4,颜色:39 棕黑色;尺码:170/92A/M,2021-03-04 23:22:20,非常好看哦
y***7,颜色:49 芥末色;尺码:170/92A/M,2021-02-17 17:05:30,整体评价：好
s***o,颜色:38 深褐色;尺码:170/92A/M,2021-02-17 11:40:51,1米75，76Kg，当时纠结买M还是L，最后买的M的，穿着正合适。
t***9,颜色:49 芥末色;尺码:170/92A/M,2021-02-17 08:00:34,好看好看
秀***3,颜色:38 深褐色;尺码:185/112C/XXL,2021-02-17 07:38:19,衣服质量很好！非常满意！
宝***8,颜色:49 芥末色;尺码:175/100A/L,2021-02-16 14:01:44,价格合适，内外搭都可，买买买，就可惜颜色没得选了
t***7,颜色:39 棕黑色;尺码:170/92A/M,2021-02-16 12:05:07,不错，好
怀***调,颜色:49 芥末色;尺码:175/100A/L,2021-02-15 16:23:09,还可以
4***o,颜色:49 芥末色;尺码:175/100A/L,2021-02-15 15:25:24,恍恍惚惚恍恍惚惚骄傲
李***e,颜色:38 深褐色;尺码:180/108B/XL,2021-02-14 23:36:46,嘿嘿嘿春风宝贝你吧。你在一起就像我这种不喜欢的人的时候也不会觉得难过的时候也可以理解自己喜欢😘！你的人生轨迹就是这样吧！你们的朋友都会给我们自己做一些力所能及的事情都会做什么时候
t***0,颜色:49 芥末色;尺码:175/100A/L,2021-02-14 23:12:07,这件显老，少年穿不好看。
w***1,颜色:49 芥末色;尺码:175/100A/L,2021-02-14 18:59:12,很不错哦
e***2,颜色:39 棕黑色;尺码:170/92A/M,2021-02-14 07:40:35,材质特性：不知道的 上身效果：看人 尺码推荐：m 170/63 面料品质：柔软
幽***已,颜色:38 深褐色;尺码:165/84A/S,2021-02-13 22:46:06,整体评价：不同于以往买的任何UNIQLO非设计师合作款的T恤 材质特性：面料弹性低 尺码推荐：刚上手时觉得很宽大，感觉比UNIQLO的普通T恤大一码，过水之后穿上，实际上只是稍微宽一点而已，可以认为尺寸相当于同码数的卫衣 厚薄度：厚
孤***m,颜色:39 棕黑色;尺码:175/100A/L,2021-02-13 18:45:45,此用户没有填写评论!
猫***伤,颜色:49 芥末色;尺码:175/100A/L,2021-02-13 10:06:24,满意
t***4,颜色:38 深褐色;尺码:185/112C/XXL,2021-02-12 13:18:00,。
默***桐,颜色:39 棕黑色;尺码:185/112C/XXL,2021-02-12 00:15:02,满意
默***桐,颜色:38 深褐色;尺码:185/112C/XXL,2021-02-12 00:15:02,满意
绿***生,颜色:38 深褐色;尺码:170/92A/M,2021-02-11 11:41:35,非常好
玄***丢,颜色:39 棕黑色;尺码:180/108B/XL,2021-02-10 22:48:24,还行吧
w***7,颜色:39 棕黑色;尺码:160/76A/XS,2021-02-10 15:50:04,挺厚实的 颜色也很正
马***啊,颜色:49 芥末色;尺码:170/92A/M,2021-02-10 10:19:53,挺好的，大家都喜欢
天***2,颜色:38 深褐色;尺码:185/112C/XXL,2021-02-10 09:46:36,衣服穿上很服务，颜色纯正，质量很好，很喜欢，物流快，五颗星
h***7,颜色:38 深褐色;尺码:175/100A/L,2021-02-10 09:12:48,袖子有点短，质量挺好
q***3,颜色:39 棕黑色;尺码:170/92A/M,2021-02-10 01:44:31,衣服不错，价格也很实惠，打算再买一个颜色
德***5,颜色:38 深褐色;尺码:180/108B/XL,2021-02-09 21:35:26,整体评价：好看， 材质特性：很舒服 上身效果：合身，但是有点大了
q***0,颜色:38 深褐色;尺码:180/108B/XL,2021-02-09 18:11:41,好
s***9,颜色:38 深褐色;尺码:175/100A/L,2021-02-09 14:54:45,衣服很漂亮
t***0,颜色:38 深褐色;尺码:170/92A/M,2021-02-09 13:27:50,设计合理，质量好，无线头。
j***e,颜色:39 棕黑色;尺码:175/100A/L,2021-02-08 21:03:31,抢到就是赚到
k***s,颜色:49 芥末色;尺码:170/92A/M,2021-02-08 10:25:13,好
三***s,颜色:49 芥末色;尺码:170/92A/M,2021-02-08 00:33:05,很好，以前买过同款，还是很耐穿舒适的，好不容易等到降价了，赶紧买了，打底穿很不错！
h***4,颜色:38 深褐色;尺码:175/100A/L,2021-02-07 20:05:02,是全棉的，面料很厚实。
薰***器,颜色:49 芥末色;尺码:175/100A/L,2021-02-07 18:36:44,好评好评好评好评好评好评好评好评好评好评鸭
孙***森,颜色:39 棕黑色;尺码:165/84A/S,2021-02-07 17:19:06,整体评价：我觉得挺好的，买的时候看见评论里都说好就买了，看到发货的时候挺激动的，到了之后，满怀期待一激动得从快递员那里拿回了寝室，试一下，结果挺不错啊！而且客服小姐姐也特别的好，很有礼貌，客服小姐姐也是秒回我的疑问呢，嘻嘻，下次还会回购哒。
薄***薄,颜色:38 深褐色;尺码:170/92A/M,2021-02-07 17:02:41,纯棉厚实舒服打底外穿这个颜色都OK，值这个价
木***2,颜色:49 芥末色;尺码:185/112C/XXL,2021-02-07 14:53:26,挺好
t***8,颜色:39 棕黑色;尺码:170/92A/M,2021-02-07 14:20:32,发货很快，总体来说不错，棕黑色面料舒适、有质感，继续支持。
c***4,颜色:39 棕黑色;尺码:170/92A/M,2021-02-07 11:54:35,不错
麦***穗,颜色:38 深褐色;尺码:175/100A/L,2021-02-07 10:54:57,囤货
h***a,颜色:49 芥末色;尺码:175/100A/L,2021-02-07 09:11:14,很喜欢面料
大***℡,颜色:38 深褐色;尺码:170/92A/M,2021-02-07 07:35:20,178 60kg 合适
孟***6,颜色:49 芥末色;尺码:170/92A/M,2021-02-06 23:13:48,感觉还行，有点薄，就是不适合冬天穿，适合春天或者秋天穿。
q***n,颜色:49 芥末色;尺码:180/108B/XL,2021-02-06 20:11:41,衣服质量不错，但吊牌就&hellip;
t***2,颜色:38 深褐色;尺码:180/108B/XL,2021-02-06 19:22:15,挺好的，没问题
元***6,颜色:38 深褐色;尺码:170/92A/M,2021-02-06 15:52:33,当家居服，实用。
吴***1,颜色:49 芥末色;尺码:175/100A/L,2021-02-06 12:02:40,用喜欢的
d***e,颜色:38 深褐色;尺码:175/100A/L,2021-02-06 11:36:44,优衣库的基础款性价比是真的高。好评！
l***r,颜色:38 深褐色;尺码:175/100A/L,2021-02-06 09:25:06,活动价购买，面料透气～亲肤舒适，好！
心***天,颜色:38 深褐色;尺码:175/100A/L,2021-02-06 08:27:04,很合适，颜色也很正
t***2,颜色:39 棕黑色;尺码:175/100A/L,2021-02-06 07:05:51,177 80 L 非常合适 就是袖子稍微短了点
木***o,颜色:38 深褐色;尺码:175/100A/L,2021-02-06 00:30:18,挺喜欢这款的  不算厚但是质感很不错 买了好几个颜色了 个人觉得白色和这个颜色最好
峰***雨,颜色:39 棕黑色;尺码:175/100A/L,2021-02-05 19:04:51,质量不错
t***3,颜色:38 深褐色;尺码:180/108B/XL,2021-02-05 16:04:40,不会再买他们家的东西，想换小一号的衣服，咨询客服人员，发了一大堆链接，看的是晕头转向。雇一个真人客服很贵吗？用机器回复顾客问题很高级吗？垃圾！
t***3,颜色:38 深褐色;尺码:175/100A/L,2021-02-05 15:19:52,行
g***1,颜色:38 深褐色;尺码:170/92A/M,2021-02-05 14:13:59,整体评价：真心差，质量让人堪忧，面料摸起来太硬了，凑合当睡觉穿了，根本不值这个价格，并不好，实话实说
红***鼠,颜色:38 深褐色;尺码:165/84A/S,2021-02-05 13:41:16,很适合，打折买开心
小***8,颜色:39 棕黑色;尺码:185/120C/XXXL,2021-02-04 15:28:30,好评
u***森,颜色:39 棕黑色;尺码:165/84A/S,2021-02-04 15:06:00,舒适度不错
t***6,颜色:49 芥末色;尺码:175/100A/L,2021-02-04 12:47:56,给爸爸买的 他很喜欢 176 65 L合适
f***8,颜色:49 芥末色;尺码:180/108B/XL,2021-02-04 12:09:04,好
t***3,颜色:39 棕黑色;尺码:175/100A/L,2021-02-04 10:06:02,175，84kg，刚好
t***3,颜色:49 芥末色;尺码:175/100A/L,2021-02-04 10:06:02,质量不错，是我喜欢的类型
k***钱,颜色:38 深褐色;尺码:180/108B/XL,2021-02-04 08:09:10,整体来说还是很不错的，店家服务态度很好，而且质量也很好，没有异味物超所值，非常满意，期间有点小插曲，店家细致周到的服务让人很感动，祝生意兴隆，还会再来跟实体店没有区别，还便宜，喜欢！当时买的时候还在犹豫价格，买来之后一点都不后悔，而且物流还快，可以入手
x***6,颜色:39 棕黑色;尺码:165/84A/S,2021-02-04 07:29:42,尺寸，做工都不错，一直关注优衣库。 就是，不知道为啥，有两件有淡淡的香味，不知道是小姐姐给装袋还是之前有小姐姐买来试穿过。🤔
l***3,颜色:49 芥末色;尺码:175/100A/L,2021-02-04 07:19:02,还可以
社***4,颜色:49 芥末色;尺码:185/112C/XXL,2021-02-03 23:39:01,185，190斤。xxl很宽松，袖子不长。面料很硬挺，有版型，不是那种像秋衣软了吧唧的。
w***6,颜色:38 深褐色;尺码:175/100A/L,2021-02-03 23:14:18,活动价59买的，非常香啊，一次买了2件，颜色都很帅
邵***g,颜色:38 深褐色;尺码:180/108B/XL,2021-02-03 21:08:17,整体评价：面料舒服，没有多少弹力，宽松版型，179-140上身宽松
h***6,颜色:39 棕黑色;尺码:175/100A/L,2021-02-03 20:33:03,此用户没有填写评论!
l***l,颜色:39 棕黑色;尺码:180/108B/XL,2021-02-03 20:27:39,质量不错
不***耶,颜色:39 棕黑色;尺码:170/92A/M,2021-02-03 18:37:15,比想象中薄一点，59再买
t***文,颜色:38 深褐色;尺码:175/100A/L,2021-02-03 18:32:47,此用户没有填写评论!
秋***1,颜色:38 深褐色;尺码:170/92A/M,2021-02-03 18:03:03,99
藏***梦,颜色:49 芥末色;尺码:180/108B/XL,2021-02-03 13:18:50,大小合身
q***8,颜色:49 芥末色;尺码:175/100A/L,2021-02-03 12:19:45,挺好的，舒适，就是感觉袖子短点了。
阳***y,颜色:49 芥末色;尺码:185/112C/XXL,2021-02-03 10:00:59,不错
空***7,颜色:38 深褐色;尺码:175/100A/L,2021-02-02 20:24:37,非常好👍
t***7,颜色:38 深褐色;尺码:170/92A/M,2021-02-02 19:38:22,好
胡***e,颜色:49 芥末色;尺码:165/84A/S,2021-02-02 17:50:40,好
k***0,颜色:49 芥末色;尺码:180/108B/XL,2021-02-02 17:26:37,176/170穿XL，宽松休闲，全棉厚度中等，芥末色偏绿
和***4,颜色:38 深褐色;尺码:170/92A/M,2021-02-02 16:33:30,还没过水，稍稍僵硬，版型比平常的宽一些，短一些，买了几款长袖T恤，这个最厚实了，适合微胖身材，做工一如既往的精致。
月***阳,颜色:38 深褐色;尺码:165/84A/S,2021-02-02 16:03:58,物美价廉，值得购买
j***6,颜色:38 深褐色;尺码:185/112C/XXL,2021-02-02 14:56:44,太长了，袖子短，
p***i,颜色:38 深褐色;尺码:175/100A/L,2021-02-02 14:02:06,整体评价：比店里便宜50块
g***2,颜色:38 深褐色;尺码:170/92A/M,2021-02-02 13:16:49,价格不错，先买了当着春季再穿，穿着挺舒服，比较宽松，肩膀宽的穿着舒服
t***9,颜色:38 深褐色;尺码:175/100A/L,2021-02-02 11:12:04,181，65 刚好合适，就是袖子稍微有一点点短。
青***白,颜色:49 芥末色;尺码:180/108B/XL,2021-02-02 10:17:57,很好
k***0,颜色:39 棕黑色;尺码:170/92A/M,2021-02-01 19:34:13,满意，，，
快***7,颜色:38 深褐色;尺码:175/100A/L,2021-02-01 18:56:04,孩子一直穿优衣库的衣服，做工面料就是好，大小也合适。
s***k,颜色:38 深褐色;尺码:185/120C/XXXL,2021-02-01 18:30:29,不错不错不错不错
s***g,颜色:49 芥末色;尺码:165/84A/S,2021-02-01 17:32:24,物流很快，衣服感觉还行吧，之前买了件白色打底不错，这个芥末色纯粹是便宜才买的，宽松版型打底不错
绿***健,颜色:39 棕黑色;尺码:170/92A/M,2021-02-01 16:47:14,后面应该还会买一件，棕黑色非常不错
阿***z,颜色:38 深褐色;尺码:175/100A/L,2021-02-01 16:02:19,大小合适，我178 64
b***1,颜色:38 深褐色;尺码:180/108B/XL,2021-02-01 11:08:06,可以，简约，硬挺
j***0,颜色:39 棕黑色;尺码:170/92A/M,2021-02-01 10:35:26,本来买来自己穿的，后面觉得这个码子我爹穿也正好，我自己也有一件白色的了，就给老爹穿了，还行，挺好看的，不过这个不是单纯的棕黑，不和那件设计师合作款卫衣一样，夹杂着一些其他颜色。还有这件衣服质感偏软，和我买的另一个货号的设计师合作款白t质感完全不同。这个更舒服穿着。那个更有型一点
a***l,颜色:38 深褐色;尺码:170/92A/M,2021-01-31 22:26:24,整体评价：很好 材质特性：很好 上身效果：很合适 尺码推荐：合适 厚薄度：比较厚实
w***4,颜色:49 芥末色;尺码:170/92A/M,2021-01-31 20:56:02,不错
z***了,颜色:39 棕黑色;尺码:180/108B/XL,2021-01-31 20:29:19,178 150多 穿XL 合适 颜色很赞！质感也很棒！推荐买
月***阳,颜色:39 棕黑色;尺码:160/76A/XS,2021-01-31 17:07:16,还是得按照正常尺码买，不用买小一号
鸿***6,颜色:38 深褐色;尺码:185/112C/XXL,2021-01-31 16:47:29,177穿这个xxl没点问题
丹***用,颜色:49 芥末色;尺码:165/84A/S,2021-01-31 14:39:06,穿上衣服真的好看
l***7,颜色:49 芥末色;尺码:175/100A/L,2021-01-31 13:39:26,偏宽松，颜色看起来不好看，搭牛仔裤很赞
z***8,颜色:38 深褐色;尺码:175/100A/L,2021-01-31 13:06:53,很有型，遮肚子，内搭外穿都可以
取***啊,颜色:49 芥末色;尺码:170/92A/M,2021-01-31 10:23:30,又买了一件 芥末色也好看
t***阊,颜色:38 深褐色;尺码:180/108B/XL,2021-01-30 19:16:52,满意
王***3,颜色:39 棕黑色;尺码:175/100A/L,2021-01-30 17:36:31,材质特性：辣鸡 面料品质：前面买的同款衣服贴身穿没问题，现在穿，简直难受，年底卖次品？？！太恶心了
h***3,颜色:38 深褐色;尺码:175/100A/L,2021-01-30 14:29:49,170 140斤，强烈建议买L码，之前买M码袖子短了一截，L刚好
t***3,颜色:38 深褐色;尺码:180/108B/XL,2021-01-29 17:57:20,第三件了！
c***u,颜色:39 棕黑色;尺码:165/84A/S,2021-01-29 17:02:05,衣服质感很好，穿上也比较保暖，买衣服认准优衣库跟海澜之家没错。
浪***纪,颜色:39 棕黑色;尺码:175/100A/L,2021-01-29 16:45:06,真的适合胖人，完美
粉***兜,颜色:39 棕黑色;尺码:180/108B/XL,2021-01-29 14:42:49,个人比较喜新厌旧，所以买了老公的尺码，不喜欢了给他穿，面料手感还可以，颜色有点夹花的感觉，不是纯色
t***0,颜色:49 芥末色;尺码:175/100A/L,2021-01-29 12:25:45,衣服很不错，很有型，舒服！买的第二件
h***a,颜色:38 深褐色;尺码:180/108B/XL,2021-01-29 11:07:01,触感舒服，颜色很莫兰迪，适合各种肤色，大小合适，价格合适，完美
蓝***人,颜色:39 棕黑色;尺码:175/100A/L,2021-01-29 10:32:06,版型真的非常好！
紫***诺,颜色:39 棕黑色;尺码:170/92A/M,2021-01-29 09:14:25,这个挺好的
j***i,颜色:38 深褐色;尺码:175/100A/L,2021-01-29 02:48:01,good
我***帆,颜色:49 芥末色;尺码:175/100A/L,2021-01-28 23:32:15,衣服真不戳，厚实的感觉很好🤙🤙🤙 整体评价：真不戳 材质特性：舒适 上身效果：合身 尺码推荐：合适 厚薄度：厚 面料品质：高品质
j***8,颜色:38 深褐色;尺码:170/92A/M,2021-01-28 22:35:17,还行
s***1,颜色:49 芥末色;尺码:170/92A/M,2021-01-28 22:32:20,好！优衣库常买了，网上也很方便，175，68合适。
爱***云,颜色:38 深褐色;尺码:170/92A/M,2021-01-28 22:00:17,质量很好，颜色也不错！
大***牛,颜色:38 深褐色;尺码:170/92A/M,2021-01-28 19:43:30,好
取***啊,颜色:38 深褐色;尺码:170/92A/M,2021-01-28 18:16:22,Ｕ系列闭眼买 简约大方 还想再买两件
听***7,颜色:49 芥末色;尺码:185/112C/XXL,2021-01-28 18:11:13,绝了的颜色
i***贝,颜色:39 棕黑色;尺码:165/84A/S,2021-01-28 16:24:24,我在实体店摸过这款棕黑色感觉特别厚实柔软，仔细看是混杂色的棉线织成，不太一样，穿起来很舒服。 女生身高162体重110斤梨形身材，试穿M袖长稍嫌累赘但当oversize的话也可以，最后选择S宽松合适。
紫***1,颜色:38 深褐色;尺码:175/100A/L,2021-01-28 14:22:23,客服真是绝了，电话打不通，人工客服答非所问，有活人吗？？？？？？？售后服务能好一点吗？
逍***3,颜色:39 棕黑色;尺码:180/108B/XL,2021-01-28 00:52:46,厚实有型。
t***1,颜色:38 深褐色;尺码:175/100A/L,2021-01-27 18:21:07,176 74感觉还大了一点点  基本OK
我***9,颜色:38 深褐色;尺码:175/100A/L,2021-01-27 15:34:03,很合适 领子松紧的 适合那些使劲抻领子的人
q***7,颜色:49 芥末色;尺码:165/84A/S,2021-01-27 08:57:20,好看，标准码
笨***兮,颜色:39 棕黑色;尺码:180/108B/XL,2021-01-26 20:40:50,超级好，价廉物美，很好看，实物比图片好看，衣服很有质感，赚了
a***制,颜色:39 棕黑色;尺码:175/100A/L,2021-01-26 20:18:23,终于99了，这次的口袋打底降价好慢&hellip; 等的我花儿都谢了&hellip;&hellip;&hellip;&hellip;
恰***7,颜色:38 深褐色;尺码:175/100A/L,2021-01-26 14:58:45,优衣库还是香的啊 2021u系列又来了  可以冲了
尘***忆,颜色:39 棕黑色;尺码:165/84A/S,2021-01-26 12:52:40,感觉面料比去年的要薄而且较柔软，这个颜色好看，夹杂着点点红色
茕***6,颜色:49 芥末色;尺码:165/84A/S,2021-01-26 09:23:13,买了两件了，质量很好，版型设计很好，纯棉，个人喜欢。
恬***a,颜色:49 芥末色;尺码:180/108B/XL,2021-01-26 08:18:39,先生穿起来很不错，而且这件t的面料是有点挺括的棉质，可以再囤
安***5,颜色:49 芥末色;尺码:175/100A/L,2021-01-26 06:04:33,厚又硬。
l***n,颜色:38 深褐色;尺码:175/100A/L,2021-01-25 21:26:32,穿着舒服，有型，比较喜欢。
