displayUserNick,auctionSku,rateDate,rateContent
q***1,颜色分类:69 藏青色;尺码:180/105/XL,2021-03-04 17:46:12,东西收到了，
s***z,颜色分类:09 黑色;尺码:170/95/M,2021-01-10 18:42:56,这是我淘宝购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。下次还会再来光顾，老板记得给优惠哦！
t***8,颜色分类:31 米色;尺码:170/95/M,2021-01-10 16:29:48,此用户没有填写评论!
t***8,颜色分类:31 米色;尺码:170/95/M,2021-01-10 14:47:00,此用户没有填写评论!
t***2,颜色分类:00 白色;尺码:180/105/XL,2021-01-08 16:49:39,之前没买过白色，感觉和门店买的有点区别。等后面又来追加吧
z***s,颜色分类:09 黑色;尺码:170/95/M,2021-01-06 14:36:56,唯一一款正常长度的内搭t，优衣库其他的款基本都要塞裤子
t***2,颜色分类:00 白色;尺码:175/100/L,2021-01-06 13:57:40,好
d***9,颜色分类:08 深灰色;尺码:175/100/L,2021-01-06 10:33:58,一如既往的好品质，非常喜欢的一款产品，非常棒！o(*￣︶￣*)o
愿***勾,颜色分类:08 深灰色;尺码:165/90/S,2021-01-04 08:12:53,布料摸着不是很舒服，感觉不是纯棉的，款式还不错
爱***呦,颜色分类:00 白色;尺码:180/105/XL,2021-01-03 22:25:33,还行
严***子,颜色分类:09 黑色;尺码:175/100/L,2021-01-03 19:16:10,还没试
f***c,颜色分类:00 白色;尺码:175/100/L,2021-01-03 09:18:07,质量很好
f***c,颜色分类:08 深灰色;尺码:175/100/L,2021-01-03 09:18:07,质量很好
s***z,颜色分类:09 黑色;尺码:170/95/M,2021-01-01 18:37:38,这是我淘宝购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。下次还会再来光顾，老板记得给优惠哦！
史***坏,颜色分类:00 白色;尺码:170/95/M,2021-01-01 12:42:36,此用户没有填写评论!
天***色,颜色分类:08 深灰色;尺码:170/95/M,2020-12-31 23:58:19,此用户没有填写评论!
我***豪,颜色分类:69 藏青色;尺码:180/105/XL,2020-12-30 08:43:10,AIRism一如既往的舒服
t***8,颜色分类:31 米色;尺码:170/95/M,2020-12-29 13:01:43,这个颜色 挺好
t***8,颜色分类:00 白色;尺码:170/95/M,2020-12-29 13:00:54,这款好白啊
灵***绊,颜色分类:58 深绿色;尺码:170/95/M,2020-12-29 12:08:43,布料舒服，贴身穿打底很好
s***n,颜色分类:69 藏青色;尺码:180/105/XL,2020-12-28 14:41:06,收到
g***6,颜色分类:00 白色;尺码:180/105/XL,2020-12-27 14:04:13,一般
z***s,颜色分类:00 白色;尺码:175/100/L,2020-12-26 12:24:39,身高172厘米，留了m，觉得是优衣库最正常的一件内搭t，heattech内衣贼长，又紧身
w***6,颜色分类:00 白色;尺码:165/90/S,2020-12-26 10:12:14,白色好看！
w***6,颜色分类:09 黑色;尺码:165/90/S,2020-12-26 10:12:14,黑色好看！
t***8,颜色分类:58 深绿色;尺码:170/95/M,2020-12-25 12:13:23,此用户没有填写评论!
t***8,颜色分类:08 深灰色;尺码:170/95/M,2020-12-25 12:13:23,此用户没有填写评论!
王***x,颜色分类:00 白色;尺码:175/100/L,2020-12-24 20:04:26,好产品、好品质、好服务，宝贝确实值这个价钱，在这给商家点个赞👍
t***2,颜色分类:00 白色;尺码:175/100/L,2020-12-24 16:24:41,有一点点透 还没下水 不知道会不会变形
z***1,颜色分类:09 黑色;尺码:175/100/L,2020-12-24 16:00:36,还可以，看的是air面料
z***1,颜色分类:69 藏青色;尺码:175/100/L,2020-12-24 16:00:36,还可以，看的是air面料
z***1,颜色分类:08 深灰色;尺码:175/100/L,2020-12-24 16:00:36,还可以，看的是air面料
t***5,颜色分类:00 白色;尺码:170/95/M,2020-12-24 12:18:48,很好，做内搭很棒。比U系列适合做内搭
a***3,颜色分类:08 深灰色;尺码:175/100/L,2020-12-24 11:42:50,此用户没有填写评论!
a***3,颜色分类:00 白色;尺码:175/100/L,2020-12-24 11:42:50,此用户没有填写评论!
乀***丷,颜色分类:69 藏青色;尺码:160/85/XS,2020-12-23 09:47:57,很棒
l***4,颜色分类:08 深灰色;尺码:185/120/XXXXL,2020-12-23 09:05:30,质量很好，手感舒服！
l***4,颜色分类:69 藏青色;尺码:185/120/XXXXL,2020-12-23 09:05:09,质量很好，手感舒服！
低***4,颜色分类:69 藏青色;尺码:175/100/L,2020-12-22 13:23:19,不错不错 老爸很喜欢
低***4,颜色分类:00 白色;尺码:175/100/L,2020-12-22 13:23:19,不错不错 感觉很舒服
t***6,颜色分类:58 深绿色;尺码:165/90/S,2020-12-22 11:33:53,好的呐
小***偶,颜色分类:09 黑色;尺码:180/105/XL,2020-12-22 09:23:21,希望不会越洗越长
d***7,颜色分类:00 白色;尺码:180/105/XL,2020-12-21 22:22:46,好评
师***友,颜色分类:09 黑色;尺码:175/100/L,2020-12-20 20:50:04,合适
t***7,颜色分类:09 黑色;尺码:175/100/L,2020-12-20 20:37:46,可以的
v***锐,颜色分类:08 深灰色;尺码:170/95/M,2020-12-20 17:08:32,这个材质很好很舒服，闭眼入
e***n,颜色分类:00 白色;尺码:180/105/XL,2020-12-20 15:11:29,很好
t***6,颜色分类:00 白色;尺码:170/95/M,2020-12-20 09:59:10,不错的幺
s***2,颜色分类:00 白色;尺码:175/100/L,2020-12-20 03:58:04,很好
雷***5,颜色分类:00 白色;尺码:165/90/S,2020-12-19 19:51:02,"店家很讲信誉,而且很不错哦,在这家店买东东,我很满意!"
雷***5,颜色分类:09 黑色;尺码:165/90/S,2020-12-19 19:51:02,"店家很讲信誉,而且很不错哦,在这家店买东东,我很满意!"
小***2,颜色分类:09 黑色;尺码:175/100/L,2020-12-19 18:24:17,买了三个款式的黑短袖做打底，都很舒服
s***r,颜色分类:00 白色;尺码:165/90/S,2020-12-19 14:25:32,衣服超级舒服，就是喜欢这种简单的款式。
尹***婧,颜色分类:08 深灰色;尺码:170/95/M,2020-12-19 00:42:23,好评
江***海,颜色分类:08 深灰色;尺码:175/100/L,2020-12-18 21:12:42,此用户没有填写评论!
江***海,颜色分类:58 深绿色;尺码:175/100/L,2020-12-18 21:12:42,此用户没有填写评论!
k***a,颜色分类:09 黑色;尺码:175/100/L,2020-12-18 19:57:20,非常好，物有所值，值得购买，下次还会回购
t***5,颜色分类:08 深灰色;尺码:170/95/M,2020-12-18 10:02:45,挺好
a***8,颜色分类:00 白色;尺码:175/100/L,2020-12-17 17:17:34,除了有点透 其他都挺好
w***1,颜色分类:08 深灰色;尺码:180/105/XL,2020-12-17 12:47:00,还不错，线下实体店没货，颜色挺好
l***芯,颜色分类:00 白色;尺码:165/90/S,2020-12-17 09:20:43,打底舒服，质量很好！
t***2,颜色分类:69 藏青色;尺码:185/115/XXXL,2020-12-17 01:34:49,可以
c***2,颜色分类:69 藏青色;尺码:175/100/L,2020-12-16 22:33:08,确实比39的面料和手感要好很多 毕竟差了40块钱😏
c***x,颜色分类:00 白色;尺码:180/105/XL,2020-12-16 21:48:16,优衣库品质，还不错哦
陆***颉,颜色分类:00 白色;尺码:175/100/L,2020-12-16 21:17:59,好
阿***木,颜色分类:00 白色;尺码:175/100/L,2020-12-16 13:40:41,本人半生白T无数，有的翻领，有的透，有的后，唯独这一件，完美。 一年30件白T，以后就买这个了
a***k,颜色分类:00 白色;尺码:170/95/M,2020-12-16 12:33:33,物流稀烂
l***达,颜色分类:00 白色;尺码:165/90/S,2020-12-15 23:45:56,回购，之前在实体店买过
闫***7,颜色分类:00 白色;尺码:170/95/M,2020-12-15 23:24:17,质量很好 不容易皱 手感也好
f***t,颜色分类:69 藏青色;尺码:170/95/M,2020-12-15 23:11:34,第二次购买 质量不错 物美廉价
心***o,颜色分类:09 黑色;尺码:180/105/XL,2020-12-15 19:21:22,好
心***o,颜色分类:08 深灰色;尺码:180/105/XL,2020-12-15 19:21:22,好
三***m,颜色分类:00 白色;尺码:170/95/M,2020-12-15 13:33:52,舒服好穿
a***赵,颜色分类:00 白色;尺码:170/95/M,2020-12-15 10:03:51,这件还可以，只是价格还是原价买的稍微有点贵了
月***1,颜色分类:00 白色;尺码:175/100/L,2020-12-15 09:31:24,打底外穿都可，挺好的
月***1,颜色分类:08 深灰色;尺码:175/100/L,2020-12-15 09:31:24,这种面料不易变形，挺好的
z***8,颜色分类:00 白色;尺码:180/105/XL,2020-12-14 23:01:52,穿着很舒服
薄***啊,颜色分类:69 藏青色;尺码:160/85/XS,2020-12-14 18:15:55,此用户没有填写评论!
x***3,颜色分类:08 深灰色;尺码:180/105/XL,2020-12-14 14:18:30,很舒服，满意
q***0,颜色分类:09 黑色;尺码:170/95/M,2020-12-14 11:10:02,合我心意
陶***人,颜色分类:00 白色;尺码:175/100/L,2020-12-13 22:42:40,为什么和实体店差这么多
y***5,颜色分类:69 藏青色;尺码:165/90/S,2020-12-13 19:31:21,好
y***5,颜色分类:08 深灰色;尺码:165/90/S,2020-12-13 19:31:21,好
午***主,颜色分类:09 黑色;尺码:180/105/XL,2020-12-12 22:35:50,不偏不倚，裁剪真的有水平，我这么挑T恤的人都觉得好。
z***8,颜色分类:00 白色;尺码:170/95/M,2020-12-12 19:50:33,此用户没有填写评论!
源***x,颜色分类:58 深绿色;尺码:175/100/L,2020-12-12 18:22:36,此用户没有填写评论!
y***6,颜色分类:08 深灰色;尺码:170/95/M,2020-12-10 20:44:23,好
彭***1,颜色分类:00 白色;尺码:170/95/M,2020-12-10 18:38:00,还不错
f***3,颜色分类:69 藏青色;尺码:165/90/S,2020-12-10 02:26:26,正常身材和偏瘦的买小一码合适，尺码表里的各种参数很准确，172cm/56kg参考尺码表买的S码正好。这T上身很有型，就是面料稍硬，有点滑滑的，摸起来反倒不如同时买的39那件舒服。
y***8,颜色分类:08 深灰色;尺码:165/90/S,2020-12-09 20:50:37,一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，物有所值啊，果断好评！性价比很高，很实惠，使用起来感觉很好，非常完美.^◡^.
兰***6,颜色分类:00 白色;尺码:170/95/M,2020-12-09 18:59:52,好评！
想***去,颜色分类:09 黑色;尺码:175/100/L,2020-12-09 15:19:35,好穿~舒适！！
向***1,颜色分类:00 白色;尺码:175/100/L,2020-12-09 11:11:31,质量非常一般，不是纯棉，没有美特斯邦威39一件的好
背***5,颜色分类:00 白色;尺码:165/90/S,2020-12-09 10:46:43,一如既往的好
东***9,颜色分类:00 白色;尺码:175/100/L,2020-12-08 21:38:39,有点硬
l***6,颜色分类:00 白色;尺码:175/100/L,2020-12-08 16:02:04,东西质量还不错，透气轻薄，就是客服有点垃圾，哦我忘了，大牌子没有客服的，只有机器人。快递也是信球，东西都到地方了还得等一天再送来，送来了也不打电话，都不知道啥时候到的，还是下楼拿东西才发现到了，真是服了我直接好家伙
群***外,颜色分类:09 黑色;尺码:180/105/XL,2020-12-07 09:46:14,东西很好   物流很快    简直便宜到爆   物流真的超级超级快     可能是从逛淘宝一来最快的了     真是互惠互利的好手段    高压高呀    实在是高    关键我还没有办法反驳    的确是很好    真是实惠    生活必需品    买到就是赚到     哈哈哈哈哈哈
t***9,颜色分类:09 黑色;尺码:185/115/XXXL,2020-12-07 02:08:44,很好，大小刚刚好。买来过冬的衣服
团***功,颜色分类:00 白色;尺码:180/105/XL,2020-12-06 17:12:21,好
宋***山,颜色分类:69 藏青色;尺码:160/85/XS,2020-12-05 18:16:06,质感还行
宿***女,颜色分类:00 白色;尺码:165/90/S,2020-12-05 11:01:44,这件非常完美！
碧***3,颜色分类:00 白色;尺码:180/105/XL,2020-12-04 23:28:37,纯棉打底，舒适度还是不错的，相信优衣库
我***风,颜色分类:69 藏青色;尺码:165/90/S,2020-12-04 22:27:19,挺好
行***于,颜色分类:00 白色;尺码:175/100/L,2020-12-04 17:00:25,不错
b***c,颜色分类:09 黑色;尺码:185/120/XXXXL,2020-12-04 12:22:52,打底一直穿优衣库，面料柔软，做工好，贴身穿非常舒服，尺码总是断号，趁着双十一活动价格便宜，正好有我的码数一次买了八件
b***c,颜色分类:08 深灰色;尺码:185/120/XXXXL,2020-12-04 12:22:52,打底一直穿优衣库，面料柔软，做工好，贴身穿非常舒服，尺码总是断号，趁着双十一活动价格便宜，正好有我的码数一次买了八件
b***c,颜色分类:58 深绿色;尺码:185/120/XXXXL,2020-12-04 12:22:52,打底一直穿优衣库，面料柔软，做工好，贴身穿非常舒服，尺码总是断号，趁着双十一活动价格便宜，正好有我的码数一次买了八件
b***c,颜色分类:00 白色;尺码:185/120/XXXXL,2020-12-04 12:22:52,打底一直穿优衣库，面料柔软，做工好，贴身穿非常舒服，尺码总是断号，趁着双十一活动价格便宜，正好有我的码数一次买了八件
k***9,颜色分类:58 深绿色;尺码:185/120/XXXXL,2020-12-03 14:48:01,质量很好，喜欢
y***i,颜色分类:00 白色;尺码:165/90/S,2020-12-02 12:06:17,打底穿很实用
a***o,颜色分类:00 白色;尺码:170/95/M,2020-12-02 10:46:42,"It&apos;s very nice and very shiny. Price is just right. Delivered fast to me, it&apos;s just very good to use for designing some thing you would want to look new. Thanks for your great service. 💋 Until my next purchase. I wish your online shop continuous success! Keep it up! 😄😊😻🌷"
大***兄,颜色分类:31 米色;尺码:185/120/XXXXL,2020-12-02 09:57:41,略单薄，材质很棒
大***兄,颜色分类:08 深灰色;尺码:185/120/XXXXL,2020-12-02 09:57:41,略单薄，材质很棒
c***y,颜色分类:08 深灰色;尺码:180/105/XL,2020-12-02 08:07:11,一共买了三件，有一件带了一个防盗扣，不知道为何，生平在淘宝遇到的最差的客服，问什么都不知道，也不解释也不回应，反应时间巨长，特别差的购物体验，肯定不会再光顾了。
小***5,颜色分类:00 白色;尺码:170/95/M,2020-12-01 22:18:06,不好，露个洞！
康***4,颜色分类:08 深灰色;尺码:170/95/M,2020-12-01 13:23:30,问客服
康***4,颜色分类:09 黑色;尺码:165/90/S,2020-12-01 13:20:17,巨幕拖鞋最好玩一直客服牛*
h***n,颜色分类:09 黑色;尺码:170/95/M,2020-12-01 11:20:32,此用户没有填写评论!
h***n,颜色分类:00 白色;尺码:170/95/M,2020-12-01 11:20:32,没有收到货，你们是咋骗吗？
v***4,颜色分类:00 白色;尺码:165/90/S,2020-12-01 11:00:34,买的男款小码 女生穿 特别好 也不透 非常舒服
上***荣,颜色分类:00 白色;尺码:175/100/L,2020-12-01 10:45:29,可以
a***e,颜色分类:58 深绿色;尺码:175/100/L,2020-11-30 14:52:51,改良的材质，以前的很容易越洗越长，双十一买好划算
l***7,颜色分类:08 深灰色;尺码:175/100/L,2020-11-30 06:20:21,滑滑的很舒适，不像纯棉的容易起毛，怒买了三件当打底衫
l***7,颜色分类:00 白色;尺码:175/100/L,2020-11-30 06:20:21,滑滑的很舒适，不像纯棉的容易起毛，怒买了三件当打底衫
t***2,颜色分类:09 黑色;尺码:175/100/L,2020-11-29 23:23:13,时尚百搭
t***2,颜色分类:00 白色;尺码:175/100/L,2020-11-29 23:23:13,时尚百搭
别***e,颜色分类:09 黑色;尺码:170/95/M,2020-11-29 18:22:16,不错
t***1,颜色分类:08 深灰色;尺码:180/105/XL,2020-11-29 17:49:00,尺码很准！
q***9,颜色分类:08 深灰色;尺码:165/90/S,2020-11-29 12:08:26,衣服有异味，还不给处理
w***6,颜色分类:69 藏青色;尺码:165/90/S,2020-11-28 16:27:51,版型合体，面料舒适，做工精细，价格实惠！
w***6,颜色分类:58 深绿色;尺码:165/90/S,2020-11-28 16:27:51,版型合体，面料舒适，做工精细，价格实惠！
o***o,颜色分类:09 黑色;尺码:175/100/L,2020-11-28 15:50:16,一如既往的好穿
j***妮,颜色分类:00 白色;尺码:175/100/L,2020-11-27 22:11:02,在实体店看过，挺好的，每年都买几件打底
f***1,颜色分类:00 白色;尺码:175/100/L,2020-11-27 00:48:18,面料稍微硬，但耐皱，比100%绵更耐穿些
y***3,颜色分类:69 藏青色;尺码:165/90/S,2020-11-27 00:00:33,买很多次了，每次不同颜色，用来打底特别好。经济实惠。
娃***2,颜色分类:00 白色;尺码:165/90/S,2020-11-26 23:39:30,还不错
u***n,颜色分类:09 黑色;尺码:175/100/L,2020-11-26 20:07:40,评价1
s***2,颜色分类:08 深灰色;尺码:180/105/XL,2020-11-26 19:56:06,此用户没有填写评论!
磨***漏,颜色分类:00 白色;尺码:170/95/M,2020-11-26 17:37:29,可以
