displayUserNick,auctionSku,rateDate,rateContent
c***g,主要颜色:00 白色;尺码:160/84A/M,2021-02-27 12:15:52,不错
z***x,主要颜色:15 珊瑚红色;尺码:155/80A/S,2021-02-25 23:26:34,整体评价：不错。 版型风格：休闲，家居 面料材质：棉，舒服 我的身高体重：157.54公斤小码都大，建议加小码.
l***5,主要颜色:61 水蓝色;尺码:165/92A/XL,2021-02-25 22:47:04,很好，宽松款，推荐购买。
l***5,主要颜色:09 黑色;尺码:165/92A/XL,2021-02-25 22:47:04,很好，宽松款，推荐购买。
h***u,主要颜色:50 浅绿色;尺码:165/92A/XL,2021-02-25 22:30:51,特别喜欢这颜色，衣服较宽松，穿着很舒适
z***1,主要颜色:30 浅米色;尺码:165/92A/XL,2021-02-25 22:20:31,好评
z***1,主要颜色:00 白色;尺码:165/92A/XL,2021-02-25 22:20:31,好评
c***7,主要颜色:00 白色;尺码:170/100B/XXL,2021-02-25 20:25:47,买大了，不过也可以当宽松版穿，懒得换了，很好搭配外套。
t***4,主要颜色:30 浅米色;尺码:160/84A/M,2021-02-25 17:52:56,很舒服，版型也好看，特别好
c***2,主要颜色:56 橄榄色;尺码:160/84A/M,2021-02-25 17:33:43,衣服宽大，可以买小一码，面料舒服。
y***1,主要颜色:50 浅绿色;尺码:165/92A/XL,2021-02-25 17:10:50,宽啊宽，袖子短啊，颜色可以，物流快，没了，个子高了买东西太难了
g***1,主要颜色:15 珊瑚红色;尺码:160/84A/M,2021-02-25 16:25:29,挺好看的，宽松版，颜色显白
t***5,主要颜色:30 浅米色;尺码:160/88A/L,2021-02-25 16:02:22,非常好，一直卖这个牌子的
嘻***c,主要颜色:09 黑色;尺码:160/88A/L,2021-02-25 15:55:58,窄，长
s***e,主要颜色:56 橄榄色;尺码:160/84A/M,2021-02-25 15:08:32,好评
5***8,主要颜色:30 浅米色;尺码:160/84A/M,2021-02-25 14:06:46,挺好的
5***8,主要颜色:15 珊瑚红色;尺码:160/84A/M,2021-02-25 14:06:46,挺好的
恒***建,主要颜色:61 水蓝色;尺码:155/80A/S,2021-02-25 12:42:13,质量好，颜色好看，尺寸标准！
小***涡,主要颜色:09 黑色;尺码:160/84A/M,2021-02-25 11:32:45,特别好看，质量特别好，刚买完就被抢光了，优衣库买衣服真的手慢无
凌***胖,主要颜色:00 白色;尺码:160/88A/L,2021-02-25 11:13:00,宽松版型，很喜欢，百搭
d***0,主要颜色:00 白色;尺码:165/92A/XL,2021-02-25 11:03:43,白色有点大
d***0,主要颜色:09 黑色;尺码:165/92A/XL,2021-02-25 11:03:43,买了三个色，偏大，面料很舒服。
d***0,主要颜色:50 浅绿色;尺码:165/92A/XL,2021-02-25 11:03:43,颜色很干净。
l***俐,主要颜色:09 黑色;尺码:150/76A/XS,2021-02-25 10:57:11,买过同款不同色的，好穿，舒适简单大方
超***俗,主要颜色:09 黑色;尺码:160/88A/L,2021-02-25 10:30:24,买了黑色 白色，百搭简单
b***f,主要颜色:30 浅米色;尺码:160/84A/M,2021-02-25 02:44:34,非常满意。现在穿衣都是优衣库了。
b***f,主要颜色:15 珊瑚红色;尺码:160/84A/M,2021-02-25 02:43:05,优衣库的衣服就是好.又买了几件。非常满意。
奈***9,主要颜色:50 浅绿色;尺码:160/84A/M,2021-02-24 23:52:37,好看 好像买个水粉色
e***7,主要颜色:10 水粉色;尺码:150/76A/XS,2021-02-24 22:32:04,宽松显瘦。154，96斤，合适
h***3,主要颜色:00 白色;尺码:155/80A/S,2021-02-24 21:55:37,已经在店里买了两件 又在网上买了白色 特地买大一码 很好看
b***0,主要颜色:00 白色;尺码:155/80A/S,2021-02-24 21:30:10,偏大的款，小蝙蝠袖
z***h,主要颜色:50 浅绿色;尺码:155/80A/S,2021-02-24 21:29:24,超级温柔！
t***2,主要颜色:50 浅绿色;尺码:160/84A/M,2021-02-24 21:24:04,衣服偏大，质量不错
徐***樱,主要颜色:09 黑色;尺码:160/84A/M,2021-02-24 19:49:08,偏大。
贝***5,主要颜色:15 珊瑚红色;尺码:155/80A/S,2021-02-24 19:42:51,很快收到，穿着挺合适的，颜色好看
笨***翔,主要颜色:00 白色;尺码:155/80A/S,2021-02-24 19:23:33,要买小一号
f***i,主要颜色:15 珊瑚红色;尺码:160/88A/L,2021-02-24 19:03:19,宽松款，面料材质不错，就是颜色有点显旧。
马***5,主要颜色:50 浅绿色;尺码:150/76A/XS,2021-02-24 18:55:04,衣服面料很好，就是袖子有点肥，码数买小了调换太麻烦凑合穿吧。
m***9,主要颜色:00 白色;尺码:160/88A/L,2021-02-24 18:41:09,身高163，体重133的胖大姐，穿  L合适。最爱这种白色，干净清爽。
依***1,主要颜色:10 水粉色;尺码:160/88A/L,2021-02-24 18:32:35,太好穿了，舒服。身高162，体重69公斤，刚好。
z***e,主要颜色:61 水蓝色;尺码:160/84A/M,2021-02-24 16:37:09,厚实，基础款
z***0,主要颜色:30 浅米色;尺码:170/100B/XXL,2021-02-24 14:17:17,非常宽松了
z***0,主要颜色:50 浅绿色;尺码:165/92A/XL,2021-02-24 14:16:38,合适舒服。
t***4,主要颜色:30 浅米色;尺码:150/76A/XS,2021-02-24 12:36:25,"穿着舒适,易搭配"
莲***3,主要颜色:61 水蓝色;尺码:165/92A/XL,2021-02-24 11:10:12,买大了，但挺好看
毕***涛,主要颜色:15 珊瑚红色;尺码:155/80A/S,2021-02-24 10:18:10,"真的超级喜欢，非常支持，质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。"
梦***遥,主要颜色:50 浅绿色;尺码:155/80A/S,2021-02-24 10:17:01,无色差，还没试穿，可以搭配衬衫，还可以。
a***r,主要颜色:50 浅绿色;尺码:160/84A/M,2021-02-24 09:34:19,之前买过白色，又入手一件绿色，打底穿还不错
伊***伊,主要颜色:61 水蓝色;尺码:160/88A/L,2021-02-24 07:49:45,优家衣服没有错，就是老买不到合适的码，老缺货
木***呢,主要颜色:56 橄榄色;尺码:160/88A/L,2021-02-23 22:14:49,没别的合适颜色可选，收到货发现橄榄色也挺好看的，79入很划算，172，65公斤，穿这码就可以
周***哒,主要颜色:09 黑色;尺码:150/76A/XS,2021-02-23 22:13:37,好
c***0,主要颜色:50 浅绿色;尺码:160/84A/M,2021-02-23 21:31:02,好
温***9,主要颜色:30 浅米色;尺码:150/76A/XS,2021-02-23 21:08:57,平价，每年都买
欧***强,主要颜色:30 浅米色;尺码:160/84A/M,2021-02-23 20:38:27,好，优秀，料子款式适合春秋季节穿，休闲风格！
我***怡,主要颜色:00 白色;尺码:160/84A/M,2021-02-23 19:03:17,第六件了，完美。
我***怡,主要颜色:30 浅米色;尺码:160/84A/M,2021-02-23 19:02:16,第四件，喜欢
我***怡,主要颜色:09 黑色;尺码:160/88A/L,2021-02-23 19:02:16,喜欢，L号也不错，凑齐了五个颜色了。
未***s,主要颜色:30 浅米色;尺码:160/84A/M,2021-02-23 18:54:01,内搭好看
未***s,主要颜色:09 黑色;尺码:160/84A/M,2021-02-23 18:53:27,合适，内搭好看
t***2,主要颜色:50 浅绿色;尺码:160/84A/M,2021-02-23 17:28:39,衣服很好。 体重108，身高167，M码偏大。 下次S码。
爱***儿,主要颜色:61 水蓝色;尺码:160/84A/M,2021-02-23 16:22:14,舒服，好穿
y***o,主要颜色:50 浅绿色;尺码:160/88A/L,2021-02-23 16:13:32,小清新绿色，春天百搭
t***4,主要颜色:15 珊瑚红色;尺码:160/84A/M,2021-02-23 16:10:35,上次买了件浅绿色的L码觉得大了点，这次早晨5点多钟发现珊瑚红有货了，立马下单买了一个码，M码真合适。身高162，体重126，有点小肚子，穿上不显，供参考
t***2,主要颜色:50 浅绿色;尺码:160/84A/M,2021-02-23 16:09:34,浅绿色很清新，春天的颜色，做工细致，面料舒服。闺女看中了抢去穿了，说我眼光进步了。自己又买了浅粉色。
m***婕,主要颜色:30 浅米色;尺码:165/92A/XL,2021-02-23 14:09:39,质量不错，但是大了
t***3,主要颜色:00 白色;尺码:160/88A/L,2021-02-23 14:05:15,"证明责任的倒置,是指依据法律应当由主张权利的当事人负担的证明责任,改由否认权利的 另一方当事人就法律要件事实的不存在负证 明责任。 （二)类型 1,因新产品制造方法发明专利引起的专利侵权诉 2,因环境污染引起的损害赔偿诉讼 3,建筑物或者其他设施以及建筑物上的搁置物、 悬挂物发生倒塌、脱落、坐落致人损害的侵权诉讼 4,因医疗过失致人损害的诉讼 5 .共同危险行为致人损害的侵权诉讼"
h***g,主要颜色:15 珊瑚红色;尺码:155/80A/S,2021-02-23 13:07:51,好
s***7,主要颜色:61 水蓝色;尺码:155/80A/S,2021-02-23 12:16:18,买了优衣库很多衣服了，一如既往好穿
喜***1,主要颜色:00 白色;尺码:160/88A/L,2021-02-23 11:30:39,很好，满意
s***1,主要颜色:15 珊瑚红色;尺码:150/76A/XS,2021-02-23 10:56:30,好好好好好好好好好好好好好好好好好好
a***p,主要颜色:10 水粉色;尺码:160/84A/M,2021-02-23 10:33:25,宽松版，买小一码
1***i,主要颜色:00 白色;尺码:160/84A/M,2021-02-23 09:27:02,质量很不错，164，57，M宽松一点
糖***豆,主要颜色:15 珊瑚红色;尺码:165/92A/XL,2021-02-22 21:29:41,面料舒服，做工精细，优衣库老顾客了，买了好多件衣服了，质量非常好！推荐给大家放心购买。
徐***1,主要颜色:56 橄榄色;尺码:160/84A/M,2021-02-22 20:41:42,爱了 爱了  特别好
徐***1,主要颜色:30 浅米色;尺码:160/84A/M,2021-02-22 20:41:42,爱了 爱了  特别好
锦***5,主要颜色:10 水粉色;尺码:160/84A/M,2021-02-22 19:49:27,好看 很浅的粉 基本是米色
x***2,主要颜色:50 浅绿色;尺码:160/88A/L,2021-02-22 19:29:59,质量没问题，就是号码偏大，拍大了一码也可以穿
t***3,主要颜色:56 橄榄色;尺码:160/88A/L,2021-02-22 18:20:08,很宽松，舒适版型，颜色也清新，🉑️
d***0,主要颜色:30 浅米色;尺码:165/92A/XL,2021-02-22 18:06:07,买了好几件了，好
y***患,主要颜色:30 浅米色;尺码:160/84A/M,2021-02-22 18:04:55,好看，超级好看，比想象的好看多了。165 98很合适
温***9,主要颜色:61 水蓝色;尺码:155/80A/S,2021-02-22 17:48:20,发货很快。每年都买，性价比可以
晴***e,主要颜色:10 水粉色;尺码:160/88A/L,2021-02-22 17:31:49,穿着很舒服
锦***9,主要颜色:50 浅绿色;尺码:160/88A/L,2021-02-22 17:31:09,非常不错
思***w,主要颜色:15 珊瑚红色;尺码:160/84A/M,2021-02-22 16:14:26,发货快，挺漂亮
4***7,主要颜色:00 白色;尺码:160/88A/L,2021-02-22 15:43:17,舒适，经济实惠，推荐购买。
痴***强,主要颜色:00 白色;尺码:150/76A/XS,2021-02-22 15:24:39,158  96最小码打底刚刚好
w***6,主要颜色:56 橄榄色;尺码:165/92A/XL,2021-02-22 12:38:18,好评
d***8,主要颜色:10 水粉色;尺码:160/88A/L,2021-02-22 11:25:49,满意！
g***q,主要颜色:30 浅米色;尺码:160/88A/L,2021-02-22 10:55:51,整体评价：衣服好，服务差 版型风格：特宽松 面料材质：喜欢 服务太差，转了人工也不回答问题，一个劲地绕圈圈，几天联系客服都无法沟通。如果不试衣服还好，同时又怕纠缠，真想给差评。
l***a,主要颜色:09 黑色;尺码:160/84A/M,2021-02-22 09:50:59,可以
l***a,主要颜色:00 白色;尺码:160/84A/M,2021-02-22 09:50:47,又买了一件
x***n,主要颜色:15 珊瑚红色;尺码:160/84A/M,2021-02-22 09:10:11,颜色好
椰***0,主要颜色:00 白色;尺码:165/92A/XL,2021-02-22 08:56:44,很好
j***7,主要颜色:50 浅绿色;尺码:160/88A/L,2021-02-21 23:40:31,自己买了一件 给老妈买了一件
t***2,主要颜色:30 浅米色;尺码:155/80A/S,2021-02-21 23:11:17,买了米色和浅绿色，上身觉得米色更显白好看，浅绿用来配橄榄绿外套的，顺风快递很赞
t***2,主要颜色:50 浅绿色;尺码:155/80A/S,2021-02-21 23:11:17,162，110，S宽松，买了米色和浅绿，浅绿色用来配橄榄色外套的
t***7,主要颜色:10 水粉色;尺码:160/84A/M,2021-02-21 23:05:59,很舒服，粉色好好看啊！
t***5,主要颜色:15 珊瑚红色;尺码:155/80A/S,2021-02-21 22:05:26,颜色比图片暗，显旧，偏大，但版型比较好看。
r***5,主要颜色:09 黑色;尺码:155/80A/S,2021-02-21 21:49:45,好看，比线下店活动力度大
周***9,主要颜色:50 浅绿色;尺码:160/88A/L,2021-02-21 21:07:08,非常舒服
相***7,主要颜色:56 橄榄色;尺码:160/84A/M,2021-02-21 21:06:18,非常好，舒适
搜***8,主要颜色:50 浅绿色;尺码:155/80A/S,2021-02-21 20:23:26,宽松款，码数有点偏大了
x***8,主要颜色:50 浅绿色;尺码:165/92A/XL,2021-02-21 19:08:54,整体评价：好看 我的身高体重：身高168 体重 140 尺码偏大
波***哈,主要颜色:50 浅绿色;尺码:170/100B/XXL,2021-02-21 18:37:22,不错多次购买了
波***哈,主要颜色:10 水粉色;尺码:165/92A/XL,2021-02-21 18:37:22,不错已多次购买了
太***6,主要颜色:56 橄榄色;尺码:160/88A/L,2021-02-21 18:36:28,衣服有点大，我已经买小一号了。
简***0,主要颜色:50 浅绿色;尺码:155/80A/S,2021-02-21 18:29:19,华夫格的设计好喜欢，版型偏大，不过这个季节宽松一点也好舒服
c***3,主要颜色:10 水粉色;尺码:160/84A/M,2021-02-21 18:10:30,好看，显白，
f***6,主要颜色:50 浅绿色;尺码:170/100B/XXL,2021-02-21 16:14:24,非常好
f***i,主要颜色:00 白色;尺码:155/80A/S,2021-02-21 15:50:23,我觉得还可以在买大一码，158，94，就喜欢优衣库
彩***燕,主要颜色:61 水蓝色;尺码:160/88A/L,2021-02-21 15:17:06,衣服挺不错的，价格便宜，平常喜欢穿宽松的，身高158 体重116 拍的L码稍宽松，优衣库的忠实粉丝，线上线下买不少了，希望质量舒适度一直保持下去，会一直买买买！
彩***燕,主要颜色:15 珊瑚红色;尺码:160/88A/L,2021-02-21 15:17:06,衣服挺不错的，价格便宜，平常喜欢穿宽松的，身高158 体重116 拍的L码稍宽松，优衣库的忠实粉丝，线上线下买不少了，希望质量舒适度一直保持下去，会一直买买买！
s***6,主要颜色:61 水蓝色;尺码:165/92A/XL,2021-02-21 13:45:04,面料真的很舒服，整体有点偏大，但是穿上去很显瘦！
我***宝,主要颜色:00 白色;尺码:165/92A/XL,2021-02-21 11:44:23,入手两件，非常好穿
莫***5,主要颜色:50 浅绿色;尺码:155/80A/S,2021-02-21 11:41:43,质量很好，打底外穿都可，就近发货的，非常快。
李***泽,主要颜色:61 水蓝色;尺码:165/92A/XL,2021-02-21 11:18:10,不错不错 这个颜色是我喜欢 我专门买的大码来搭的  买买买
飘***9,主要颜色:15 珊瑚红色;尺码:160/88A/L,2021-02-21 10:22:55,非常喜欢。
m***a,主要颜色:56 橄榄色;尺码:160/88A/L,2021-02-21 10:22:11,收到，质量不错，颜色很喜欢。就是买大了一点。我身高160Cm，重69公斤。
韩***6,主要颜色:15 珊瑚红色;尺码:170/100B/XXL,2021-02-21 09:40:27,颜色自来旧，不过很舒服
韩***6,主要颜色:61 水蓝色;尺码:170/100B/XXL,2021-02-21 09:40:27,颜色自来旧，不过很舒服
p***6,主要颜色:10 水粉色;尺码:155/80A/S,2021-02-21 08:32:49,挺好
嘿***。,主要颜色:00 白色;尺码:155/80A/S,2021-02-21 01:15:44,好看纯棉 159 92斤
s***6,主要颜色:30 浅米色;尺码:150/76A/XS,2021-02-21 00:03:13,材质做工都好，就是领口偏大，不喜欢，领口再小点才比较优衣库。浅米色很不错啊，百搭又休闲，也很高级感
我***怡,主要颜色:10 水粉色;尺码:160/84A/M,2021-02-20 22:31:18,第二件了，粉色还是蛮不错的，喜欢
t***6,主要颜色:50 浅绿色;尺码:170/100B/XXL,2021-02-20 22:25:28,衣服偏大，要选小一码买，但是材质版型都非常漂亮
s***l,主要颜色:50 浅绿色;尺码:155/80A/S,2021-02-20 20:51:00,好看 尤其搭配奶白色小外套 身高162，体重96斤 S码宽松合适 面料厚实有质感
学***0,主要颜色:09 黑色;尺码:160/84A/M,2021-02-20 20:49:00,东西很好
替***6,主要颜色:61 水蓝色;尺码:160/88A/L,2021-02-20 20:43:22,姐姐很喜欢💕
替***6,主要颜色:15 珊瑚红色;尺码:160/84A/M,2021-02-20 20:42:50,非常不错
t***6,主要颜色:00 白色;尺码:160/84A/M,2021-02-20 19:52:59,好
t***1,主要颜色:61 水蓝色;尺码:160/84A/M,2021-02-20 19:39:50,内搭很不错，便宜好穿
h***h,主要颜色:50 浅绿色;尺码:160/84A/M,2021-02-20 19:36:22,颜色非常好看～版型也不错，休闲最舒服
静***j,主要颜色:50 浅绿色;尺码:150/76A/XS,2021-02-20 19:19:17,挺好的，舒服
我***仙,主要颜色:30 浅米色;尺码:170/100B/XXL,2021-02-20 17:51:04,舒适，划算，我爱优衣库
t***9,主要颜色:61 水蓝色;尺码:160/88A/L,2021-02-20 17:23:12,好
t***4,主要颜色:50 浅绿色;尺码:160/88A/L,2021-02-20 16:36:47,身高162，体重126，L码宽松，下次再买个别的色小一号
m***4,主要颜色:15 珊瑚红色;尺码:160/88A/L,2021-02-20 15:59:47,回购了多件，挺好的。关键便宜啊。
可***1,主要颜色:00 白色;尺码:160/88A/L,2021-02-20 15:45:51,衣服偏大
枫***凝,主要颜色:15 珊瑚红色;尺码:165/92A/XL,2021-02-20 15:30:05,回购
天***8,主要颜色:50 浅绿色;尺码:160/88A/L,2021-02-20 15:02:38,165高，108斤，本人喜欢宽松。之前蓝色买xl，绿色没码，买了l码，感觉两码差不多，xl胸围宽点，其它好像没差。质量好
j***8,主要颜色:00 白色;尺码:160/88A/L,2021-02-20 14:27:45,竟然发了顺丰，一天就收到了，正常码拍的，稍宽松，乳白色很显白，版型也好看
林***彦,主要颜色:15 珊瑚红色;尺码:160/88A/L,2021-02-20 12:35:42,外观干净漂亮，做工很不错，没发现什么瑕疵，个人感觉大小也挺合适，找了很久选的这款，大爱！
田***1,主要颜色:50 浅绿色;尺码:155/80A/S,2021-02-20 12:33:31,适合春秋
t***3,主要颜色:09 黑色;尺码:155/80A/S,2021-02-20 12:32:57,并没有像评论所说的偏大，按正常买就好，157.80斤买s 刚刚好，宽松版穿起来很有感觉，袖子长度刚好，也不会大，质量比前几年第一次买优衣库的时候买的华肤格要好
l***5,主要颜色:50 浅绿色;尺码:155/80A/S,2021-02-20 12:25:13,质量非常好
网***3,主要颜色:56 橄榄色;尺码:160/88A/L,2021-02-20 12:17:55,柔软舒适非常棒👍🏾👍🏾👍🏾柔软舒适非常棒👍🏾👍🏾👍🏾柔软舒适非常棒👍🏾👍🏾👍🏾柔软舒适非常棒👍🏾👍🏾👍🏾柔软舒适非常棒👍🏾👍🏾👍🏾柔软舒适非常棒👍🏾👍🏾👍🏾柔软舒适非常棒👍🏾👍🏾👍🏾
慕***尘,主要颜色:61 水蓝色;尺码:155/80A/S,2021-02-20 12:14:25,很普通一件衣服 穿上后效果很好
t***0,主要颜色:50 浅绿色;尺码:160/88A/L,2021-02-20 11:22:16,舒服
猪***4,主要颜色:00 白色;尺码:165/92A/XL,2021-02-20 08:49:27,非常满意
t***3,主要颜色:50 浅绿色;尺码:155/80A/S,2021-02-19 23:22:20,买了两件，这件给老妈了，她很喜欢，打底非常优秀。之前买了件橄榄色的华夫格裙就觉得这种面料很特别，而且版型比较宽大，这个浅绿颜色也很舒服。
t***3,主要颜色:15 珊瑚红色;尺码:155/80A/S,2021-02-19 23:22:20,买了两件，绿色给了老妈这件红色留给自己了。比较温柔的颜色，上身很好看。
小***草,主要颜色:15 珊瑚红色;尺码:165/92A/XL,2021-02-19 21:52:59,我妈非常喜欢。颜色也很不错。显年轻。
我***5,主要颜色:50 浅绿色;尺码:160/84A/M,2021-02-19 21:07:20,很宽松，质量感觉还可以
小***8,主要颜色:00 白色;尺码:160/88A/L,2021-02-19 20:29:28,很不错，面料舒适。
若***8,主要颜色:50 浅绿色;尺码:170/100B/XXL,2021-02-19 20:28:36,好看
心***s,主要颜色:61 水蓝色;尺码:160/84A/M,2021-02-19 19:20:23,都好
肖***6,主要颜色:15 珊瑚红色;尺码:160/84A/M,2021-02-19 19:16:45,优衣库的衣服质量就是好，黑裤子早就有了，犹豫着买了条灰色的，担心显胖，结果穿上显瘦，好开心，只是衣服M码大了点，够厚，外穿大方。
n***e,主要颜色:15 珊瑚红色;尺码:160/84A/M,2021-02-19 18:44:49,年初三在店里看的，人太多了，小妹妹查询后缺货，买了别的颜色，然后就在网上守着，每天上来看下，终于有货了，赶紧下单，再上去又没有了。发的顺丰，很强大，不得不说，生意超好！
t***3,主要颜色:00 白色;尺码:155/80A/S,2021-02-19 18:30:12,面料挺舒服的，宽松版型。100斤s码足够，白色百搭，薄荷绿也很漂亮。
龙***8,主要颜色:00 白色;尺码:160/84A/M,2021-02-19 18:12:21,质量一如既往的好
f***9,主要颜色:15 珊瑚红色;尺码:160/84A/M,2021-02-19 17:15:52,偏大，给妈妈买的，165.110斤M~大大宽宽的么😬
思***w,主要颜色:61 水蓝色;尺码:160/84A/M,2021-02-19 16:01:16,发货快，很好看
璐***0,主要颜色:30 浅米色;尺码:165/92A/XL,2021-02-19 14:43:17,衣服好看！
q***u,主要颜色:50 浅绿色;尺码:155/80A/S,2021-02-19 14:19:13,挺喜欢的，因为觉得这个牌子好
凤***7,主要颜色:61 水蓝色;尺码:160/84A/M,2021-02-19 14:16:49,高158重120，很合适
t***9,主要颜色:50 浅绿色;尺码:160/88A/L,2021-02-19 13:51:28,还不错，蛮清新的颜色～
世***）,主要颜色:61 水蓝色;尺码:170/100B/XXL,2021-02-19 13:37:44,👍🏻
开***啦,主要颜色:00 白色;尺码:170/100B/XXL,2021-02-19 12:55:16,质量可以，面料舒服，版型可以，颜色喜欢不是惨白那种，又买件珊瑚红色，建议选号码小一号合适
t***5,主要颜色:50 浅绿色;尺码:155/80A/S,2021-02-19 12:35:26,衣服款式是我喜欢的，一一直都有买优家的衣服，质量有保证，做工也很好，不错
雨***子,主要颜色:50 浅绿色;尺码:160/88A/L,2021-02-19 11:49:37,好看！！！163 120刚好
t***2,主要颜色:61 水蓝色;尺码:165/92A/XL,2021-02-19 11:28:00,买了蓝色，很漂亮，身高174 体重130 xl刚刚好  别犹豫赶紧冲！物流也很快 不到24小时就送到了
