displayUserNick,auctionSku,rateDate,rateContent
愿***望,主要颜色:00 白色;尺码:155/80A/S,2021-02-27 12:26:06,喜欢
h***8,主要颜色:34 驼色;尺码:160/84A/M,2021-02-24 14:24:06,好
翔***恋,主要颜色:00 白色;尺码:160/84A/M,2021-02-24 13:32:36,质感好，一如既往地喜欢。
菠***菇,主要颜色:00 白色;尺码:160/88A/L,2021-02-24 11:54:19,不错
a***佳,主要颜色:00 白色;尺码:150/76A/XS,2021-02-24 11:31:05,不错，面料舒适
x***n,主要颜色:00 白色;尺码:160/84A/M,2021-02-24 10:57:23,宽松款，160，102斤，穿着挺大的，不高兴换了
夏***7,主要颜色:00 白色;尺码:160/88A/L,2021-02-24 10:44:55,买小了，要宽松，效果才对
爱***5,主要颜色:00 白色;尺码:155/80A/S,2021-02-24 10:42:01,衣服不错，很薄，纯棉，纯白，打底穿不错。
q***y,主要颜色:00 白色;尺码:160/84A/M,2021-02-24 10:31:45,买大了点
l***9,主要颜色:00 白色;尺码:160/84A/M,2021-02-24 09:20:18,面料舒服，适合打底
吃***豆,主要颜色:00 白色;尺码:150/76A/XS,2021-02-24 08:51:50,喜欢
中***8,主要颜色:00 白色;尺码:165/92A/XL,2021-02-23 23:32:40,好评
七***8,主要颜色:00 白色;尺码:160/88A/L,2021-02-23 21:59:43,打底穿非常舒服
c***u,主要颜色:00 白色;尺码:155/80A/S,2021-02-23 20:56:55,版型还可以，就是质地偏薄，当打底叠穿穿不错，单穿的话会有点透
瑰***r,主要颜色:00 白色;尺码:150/76A/XS,2021-02-23 20:52:03,休闲风，穿着很舒服。
海***宝,主要颜色:00 白色;尺码:160/88A/L,2021-02-23 19:38:43,好评
海***宝,主要颜色:10 水粉色;尺码:160/88A/L,2021-02-23 19:38:06,好评
y***8,主要颜色:00 白色;尺码:155/80A/S,2021-02-23 18:00:25,棉质不错  但是有些透
倔***丹,主要颜色:09 黑色;尺码:160/84A/M,2021-02-23 14:35:25,很好
蜻***3,主要颜色:00 白色;尺码:150/76A/XS,2021-02-23 13:06:07,一如既往的好
m***1,主要颜色:00 白色;尺码:165/92A/XL,2021-02-23 12:59:29,好看，好评。
曦***z,主要颜色:00 白色;尺码:160/88A/L,2021-02-23 12:49:50,好，搭卫衣挺好
芷***见,主要颜色:00 白色;尺码:160/84A/M,2021-02-22 20:31:48,挺好得版型，料子挺好，大小合适
c***8,主要颜色:51 嫩绿色;尺码:165/92A/XL,2021-02-22 18:23:16,又下了三件，面料不错，喜欢
蒲***鹃,主要颜色:00 白色;尺码:150/76A/XS,2021-02-22 17:00:47,搭配建议：百搭款，健身裤，长度屁股刚好遮住 我的身高体重：157，50kg穿上刚好
半***9,主要颜色:00 白色;尺码:155/80A/S,2021-02-22 16:00:20,有点点长
张***静,主要颜色:00 白色;尺码:150/76A/XS,2021-02-22 15:39:26,全棉，轻薄，好看。
t***1,主要颜色:51 嫩绿色;尺码:160/88A/L,2021-02-22 15:30:35,都很合适
加***8,主要颜色:00 白色;尺码:160/84A/M,2021-02-22 12:13:47,身高160体重98斤 买m号太长了 就来打底 长点就长点吧 微透
丑***蛋,主要颜色:09 黑色;尺码:155/80A/S,2021-02-22 12:03:56,非常好，打算再入别的颜色
c***3,主要颜色:00 白色;尺码:165/92A/XL,2021-02-22 12:03:04,绝对是最开心的一次购物，店家服务态度很好，售后也是
x***n,主要颜色:00 白色;尺码:160/84A/M,2021-02-22 09:10:11,薄薄的，好搭
叶***2,主要颜色:00 白色;尺码:155/80A/S,2021-02-22 08:45:56,一如既往的好
佘***波,主要颜色:00 白色;尺码:160/88A/L,2021-02-22 08:23:38,比较长 其他都好
t***0,主要颜色:69 藏青色;尺码:165/92A/XL,2021-02-22 00:00:25,还不错性价比合适
t***0,主要颜色:34 驼色;尺码:165/92A/XL,2021-02-22 00:00:24,还不错性价比合适
粉***r,主要颜色:00 白色;尺码:160/84A/M,2021-02-21 23:13:15,好
粉***r,主要颜色:09 黑色;尺码:160/84A/M,2021-02-21 23:13:15,好
j***n,主要颜色:00 白色;尺码:165/92A/XL,2021-02-21 21:56:41,往外卷边，廉价的样子，很薄
d***5,主要颜色:00 白色;尺码:155/80A/S,2021-02-21 21:25:35,舒适，好穿
q***e,主要颜色:00 白色;尺码:150/76A/XS,2021-02-21 20:23:06,打底衫，99元原价买，
t***5,主要颜色:00 白色;尺码:160/88A/L,2021-02-21 18:34:31,材质很舒服，很百搭，喜欢
z***叶,主要颜色:00 白色;尺码:150/76A/XS,2021-02-21 17:46:08,满意！
妍***8,主要颜色:00 白色;尺码:170/100B/XXL,2021-02-21 17:37:30,店里白色没有大号了，网上买的打底超级合适
孟***a,主要颜色:10 水粉色;尺码:170/100B/XXL,2021-02-21 16:45:44,买大了，可以当睡衣穿
陈***调,主要颜色:00 白色;尺码:155/80A/S,2021-02-21 16:34:40,身高160体重48kg，买s码为宽松版型
t***2,主要颜色:00 白色;尺码:160/88A/L,2021-02-21 16:31:30,面料摸着不错，买来叠穿的
笑***3,主要颜色:09 黑色;尺码:160/88A/L,2021-02-21 14:49:45,160/68kg穿L码像量身订做的一样，不大不小不肥不瘦刚合适，这件打底穿，再拍一件XL驼色外穿，面料太舒服了
x***1,主要颜色:51 嫩绿色;尺码:155/80A/S,2021-02-21 14:30:58,春天的颜色打的穿，好看！
李***泽,主要颜色:00 白色;尺码:160/84A/M,2021-02-21 11:18:10,衣服是真的穿起来舒服  版型我觉得很好看 一直都想要下面有幅度的 哈哈哈哈哈哈 很不错 等降了价我再来买几件
仰***n,主要颜色:00 白色;尺码:150/76A/XS,2021-02-21 10:51:42,在实体店没看到xs码，网上买到了
c***6,主要颜色:00 白色;尺码:165/92A/XL,2021-02-20 23:17:29,此用户没有填写评论!
国***波,主要颜色:00 白色;尺码:165/92A/XL,2021-02-20 20:51:47,原价
冲***0,主要颜色:00 白色;尺码:160/88A/L,2021-02-20 19:51:55,好
c***6,主要颜色:00 白色;尺码:160/88A/L,2021-02-20 19:39:54,码数合适，衣服质量摸着挺柔软
超***堂,主要颜色:00 白色;尺码:160/84A/M,2021-02-20 17:38:18,买大了
欣***云,主要颜色:34 驼色;尺码:160/84A/M,2021-02-20 17:35:44,很休闲的.不会买衣服就上优衣库
a***心,主要颜色:51 嫩绿色;尺码:150/76A/XS,2021-02-20 17:31:26,买了两件不同颜色，很喜欢
l***z,主要颜色:00 白色;尺码:155/80A/S,2021-02-20 17:28:20,很薄 全棉 没有缩水 用来做内搭
s***3,主要颜色:00 白色;尺码:150/76A/XS,2021-02-20 17:14:42,太好了，非常非常喜欢💕
淘***b,主要颜色:00 白色;尺码:165/92A/XL,2021-02-20 15:22:15,白色很透
家***7,主要颜色:69 藏青色;尺码:160/88A/L,2021-02-20 15:17:52,纠结好久决定买藏青色，不错，显瘦，好看。
笨***吐,主要颜色:51 嫩绿色;尺码:175/108C/XXXL,2021-02-20 13:02:31,好评
五***儿,主要颜色:00 白色;尺码:170/100B/XXL,2021-02-20 12:18:57,质量超好！
s***8,主要颜色:00 白色;尺码:150/76A/XS,2021-02-20 10:07:58,合适，就是白色比较透。衣服有点小瑕疵。
t***2,主要颜色:10 水粉色;尺码:165/92A/XL,2021-02-20 09:47:07,买大了一码，当宽松款吧
h***1,主要颜色:00 白色;尺码:165/92A/XL,2021-02-20 00:18:53,不错👍棉质做工版型都很好，尺码也齐全
n***7,主要颜色:00 白色;尺码:160/84A/M,2021-02-19 23:42:49,喜欢
猪***儿,主要颜色:00 白色;尺码:155/80A/S,2021-02-19 20:20:24,打底无敌，手感很好
z***5,主要颜色:00 白色;尺码:155/80A/S,2021-02-19 18:11:44,157，88有点大，但很百搭
朵***6,主要颜色:00 白色;尺码:160/84A/M,2021-02-19 17:22:30,身高163   体重105  个人感觉穿了还是有点太长，后面更长，能包裹住整个屁股，很像老头衫😂 和T恤搭配效果还挺不错
王***6,主要颜色:09 黑色;尺码:155/80A/S,2021-02-19 16:55:28,质量很好，价格也便宜，值得购买
妈***e,主要颜色:00 白色;尺码:160/88A/L,2021-02-19 14:28:28,打底穿  非常棒👍
碧***7,主要颜色:51 嫩绿色;尺码:160/84A/M,2021-02-19 08:25:40,颜色很好看
黄***6,主要颜色:00 白色;尺码:150/76A/XS,2021-02-18 21:11:11,面料手感柔软舒适，我身高1.55米体重112斤穿XS刚好
卡***4,主要颜色:00 白色;尺码:160/84A/M,2021-02-18 21:04:23,很好，很舒服
启***2,主要颜色:00 白色;尺码:160/84A/M,2021-02-18 20:50:56,很时尚
t***3,主要颜色:34 驼色;尺码:160/88A/L,2021-02-18 19:43:30,整体评价：好 版型风格：好 面料材质：好给好评！会回购！
t***3,主要颜色:10 水粉色;尺码:155/80A/S,2021-02-18 19:43:16,颜色温柔质量很好
点***七,主要颜色:00 白色;尺码:160/88A/L,2021-02-18 16:29:34,跟店里一样，店里没我的号了，网店下单，快递到家，方便快捷
y***6,主要颜色:00 白色;尺码:150/76A/XS,2021-02-18 15:51:28,万能打底T恤。
x***0,主要颜色:00 白色;尺码:150/76A/XS,2021-02-18 14:49:51,160米 80斤 合适
x***1,主要颜色:00 白色;尺码:170/100B/XXL,2021-02-18 14:37:48,百搭的打底，没等降价，不过洗后很皱，面料比较薄
快***姐,主要颜色:00 白色;尺码:160/84A/M,2021-02-18 13:44:04,面料舒服，很合适
y***2,主要颜色:00 白色;尺码:155/80A/S,2021-02-18 13:20:23,合适，打底不错，百搭
s***0,主要颜色:00 白色;尺码:150/76A/XS,2021-02-18 10:35:41,XS还是有点长了的，门店没有XS，旗舰店买到，99一件打底白T还是有点小贵的，希望质量扛得住
5***p,主要颜色:00 白色;尺码:150/76A/XS,2021-02-18 09:53:11,酸味很厉害。是薄的面料，可以透出内衣的颜色。
小***熊,主要颜色:00 白色;尺码:150/76A/XS,2021-02-18 08:13:21,160 103 这个长度宽度很合适
轰***1,主要颜色:00 白色;尺码:160/84A/M,2021-02-17 22:48:52,衣服尺码偏大。客服回复特别慢特别慢，而且答非所问，都是套话，上午11点发消息，中午13点25回复，然后再说收不到我的回复所以结束对话，反复好几次，我能一直盯着手机俩小时等回复？？等很久就不回，服务态度极差！以后尽量不买优衣库。
z***6,主要颜色:00 白色;尺码:160/84A/M,2021-02-17 19:53:33,棉质舒服，白色干净清新，内搭好看。
蓝***0,主要颜色:00 白色;尺码:160/84A/M,2021-02-17 19:35:19,很好，版型质量很赞
d***u,主要颜色:51 嫩绿色;尺码:160/84A/M,2021-02-17 14:06:14,不错
h***1,主要颜色:00 白色;尺码:155/80A/S,2021-02-17 10:47:31,好好好好好好
b***4,主要颜色:00 白色;尺码:160/88A/L,2021-02-17 10:33:06,还没有上身，纯棉，做内搭过度，今年比较流行的穿搭。
b***4,主要颜色:34 驼色;尺码:160/88A/L,2021-02-17 10:33:06,买了两个颜色，做内搭和叠穿的过度，质量不错，最近超爱优衣库。
茹***r,主要颜色:00 白色;尺码:160/84A/M,2021-02-17 09:34:24,买了两件可以说非常好叠穿好搭配了
j***g,主要颜色:00 白色;尺码:155/80A/S,2021-02-17 05:18:18,年纪大了才懂了优衣库的好~
邵***茗,主要颜色:00 白色;尺码:155/80A/S,2021-02-16 23:38:48,救活了去年的卫衣， 不过自提的服务态度不怎么样。 越来越接近MUJI的冷淡风。 我们不欠您钱💰
鲜***茶,主要颜色:69 藏青色;尺码:155/80A/S,2021-02-16 17:02:22,五星好评
长***咪,主要颜色:00 白色;尺码:160/84A/M,2021-02-16 02:17:08,质量蛮好
t***9,主要颜色:69 藏青色;尺码:160/84A/M,2021-02-15 22:22:09,优衣库也会有这么差布料的衣服？过水时，水里悬浮密密麻麻细小纤维，最讨厌这样的衣服。本来是想买个安心，看来以后又得换牌子了，一百元买了这么个垃圾。
咕***9,主要颜色:00 白色;尺码:160/88A/L,2021-02-15 10:31:24,有味
j***4,主要颜色:00 白色;尺码:165/92A/XL,2021-02-15 01:28:08,卫衣打底穿，很实用
美***怡,主要颜色:00 白色;尺码:155/80A/S,2021-02-14 19:55:33,挺好
s***8,主要颜色:10 水粉色;尺码:175/108C/XXXL,2021-02-14 17:36:33,好
j***7,主要颜色:00 白色;尺码:160/84A/M,2021-02-14 15:31:05,每次买的白色都不一样-_-  有的奶白有的纯白
秋***月,主要颜色:34 驼色;尺码:160/88A/L,2021-02-14 12:24:45,，
炫***仃,主要颜色:00 白色;尺码:160/88A/L,2021-02-14 10:13:35,除了贵别的没毛病
k***m,主要颜色:34 驼色;尺码:155/80A/S,2021-02-14 10:12:04,hao
c***7,主要颜色:00 白色;尺码:155/80A/S,2021-02-14 09:01:37,哪儿哪儿都好 除了没打折
w***u,主要颜色:00 白色;尺码:155/80A/S,2021-02-13 17:23:01,已经选了小一号，还是很大，去实体店退货退款，为什么营业员非要我确认收货，才让我申请退款退货呢？之前从来没有这样操作过，在线客服也没人工客服搭理，在实体店等着，气*了。到底啥操作？
w***u,主要颜色:10 水粉色;尺码:155/80A/S,2021-02-13 17:23:01,已经选了小一号，还是很大，去实体店退货退款，为什么营业员非要我确认收货，才让我申请退款退货呢？之前从来没有这样操作过，在线客服也没人工客服搭理，在实体店等着，气*了。之前实体店退换货，10来分钟操作完成，这次的营业员非常有问题，非让我先确认收货。
怎***败,主要颜色:00 白色;尺码:160/88A/L,2021-02-13 16:05:36,质地手感非常不错 物超所值
t***8,主要颜色:00 白色;尺码:155/80A/S,2021-02-13 14:40:51,还可以，习惯好许
王***0,主要颜色:00 白色;尺码:155/80A/S,2021-02-13 08:06:48,不错，结束有点长
羽***着,主要颜色:51 嫩绿色;尺码:160/84A/M,2021-02-12 22:48:20,基础搭配款，好穿
x***v,主要颜色:51 嫩绿色;尺码:165/92A/XL,2021-02-12 22:04:26,很好，比较厚实的T恤，打底单穿都可。这个绿很春天。
x***v,主要颜色:69 藏青色;尺码:165/92A/XL,2021-02-12 22:04:26,很好，有点厚度的T恤，打底单穿都可。买了一蓝一绿。
郑***轩,主要颜色:00 白色;尺码:160/84A/M,2021-02-12 16:25:07,好穿、好看、适合，好评
c***d,主要颜色:00 白色;尺码:165/92A/XL,2021-02-12 16:04:08,打底还可以
摩***y,主要颜色:00 白色;尺码:155/80A/S,2021-02-12 14:21:10,打底穿，就是有点长
欧***0,主要颜色:00 白色;尺码:150/76A/XS,2021-02-12 13:55:49,还是这个码合适
t***7,主要颜色:00 白色;尺码:160/88A/L,2021-02-12 10:34:37,质量还好吧，就是太长了
起***n,主要颜色:34 驼色;尺码:150/76A/XS,2021-02-12 01:06:49,只有网上有xs，买到了真不容易！
h***o,主要颜色:00 白色;尺码:155/80A/S,2021-02-11 19:21:09,我感觉有点短应该买中号就合适啦
t***0,主要颜色:10 水粉色;尺码:175/108C/XXXL,2021-02-11 16:56:20,完美
小***洁,主要颜色:00 白色;尺码:155/80A/S,2021-02-11 12:38:23,买的时候白色没有xs，又怕再等等连s都没有了，就只好其他颜色买xs，白色买s码，对于小瘦子确实大一码穿上就明显大了好多，郁闷的是刚收到货就看到白色补货有xs了。
小***洁,主要颜色:51 嫩绿色;尺码:150/76A/XS,2021-02-11 12:38:23,面料好，嫩绿色颜色好看。
h***h,主要颜色:00 白色;尺码:160/88A/L,2021-02-11 06:52:05,必不可少，全家人都很喜欢用。
珊***1,主要颜色:00 白色;尺码:160/84A/M,2021-02-10 23:59:33,69元时没买😫
h***眸,主要颜色:34 驼色;尺码:160/88A/L,2021-02-10 18:43:46,我的身高体重：休闲款，喜欢，快递小哥冒雨派送，感谢。
t***9,主要颜色:34 驼色;尺码:160/88A/L,2021-02-10 14:04:47,一如既往的好，会继续关注。
t***9,主要颜色:00 白色;尺码:160/88A/L,2021-02-10 14:04:47,穿上凉凉的，质量好，会继续关注。
h***i,主要颜色:51 嫩绿色;尺码:170/100B/XXL,2021-02-10 13:47:38,色差严重⋯
t***5,主要颜色:00 白色;尺码:170/100B/XXL,2021-02-10 09:24:30,很好看，很舒服，基础打底
十***8,主要颜色:00 白色;尺码:160/84A/M,2021-02-09 20:31:09,打底很赞
x***8,主要颜色:00 白色;尺码:155/80A/S,2021-02-09 18:57:16,是真的很大，155，44公斤，买的155的码，很宽松。
草***红,主要颜色:00 白色;尺码:165/92A/XL,2021-02-09 14:59:59,转悠了好多店铺，一直没有找到喜欢的。无意中看到这家店铺，一眼相中，果断入手。发货速度挺快的，质量也不错。很满意，有需要还会再来。
耿***x,主要颜色:09 黑色;尺码:160/88A/L,2021-02-09 14:12:15,舒适百搭
t***3,主要颜色:51 嫩绿色;尺码:170/100B/XXL,2021-02-08 22:52:11,很满意的购物，下次还回
罗***6,主要颜色:34 驼色;尺码:160/88A/L,2021-02-08 22:10:59,物美价廉，很OK，比实体店优惠太多了商品收到咯，特别喜欢，一收到就迫不及待地打开了，家人也很满意，这次购物体验不错高颜值，高品质，非常好，一分钱一分货，材质外观和质量一看就很上档次，非常喜欢
a***2,主要颜色:00 白色;尺码:155/80A/S,2021-02-08 20:48:50,很好
a***2,主要颜色:09 黑色;尺码:155/80A/S,2021-02-08 20:48:50,很好
高***。,主要颜色:00 白色;尺码:160/88A/L,2021-02-08 20:41:30,很喜欢这个新的样子、舒舒服服、白白净净。
i***1,主要颜色:00 白色;尺码:160/84A/M,2021-02-08 20:19:29,不错
z***g,主要颜色:00 白色;尺码:160/84A/M,2021-02-08 18:30:30,挺好的
