displayUserNick,auctionSku,rateDate,rateContent
t***0,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-27 09:56:33,暖和
a***8,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-14 10:46:37,黑色反光加沾灰，穿上low爆了
k***o,颜色分类:31 米色;尺码:165/92A/XL,2021-02-14 10:20:11,超级好看舒服暖和
k***o,颜色分类:01 乳白色;尺码:165/92A/XL,2021-02-14 10:20:11,超级好看舒服暖和
流***4,颜色分类:31 米色;尺码:160/88A/L,2021-02-14 09:36:04,第三次买！非常好！略宽松，喜欢！
h***0,颜色分类:08 深灰色;尺码:160/88A/L,2021-02-14 08:50:04,好评
小***k,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-14 00:13:28,面料舒服~乳白很好看
t***噜,颜色分类:09 黑色;尺码:160/88A/L,2021-02-13 15:17:22,很暖和
绿***9,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-13 11:48:16,还行
潮***鼠,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-12 23:52:17,面料舒服，高领很保暖，作内搭非常好
z***9,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-12 18:59:54,打折活动很优惠。
5***海,颜色分类:31 米色;尺码:160/88A/L,2021-02-12 17:46:24,冬天打底穿非常保暖，羽绒服里面加这件摇粒绒就够了，尺码标准，又买了姜黄色和黑色。
流***6,颜色分类:17 枣红色;尺码:165/92A/XL,2021-02-12 14:23:31,好评！
流***6,颜色分类:67 海蓝色;尺码:165/92A/XL,2021-02-12 14:23:07,好评！
t***7,颜色分类:31 米色;尺码:160/88A/L,2021-02-12 14:18:47,到货就迫不及待打开了，果真没有让我失望，质量特别好，颜值也相当高，满意的一次购物
小***g,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-12 12:29:40,囤货囤货！
子***华,颜色分类:31 米色;尺码:160/84A/M,2021-02-11 23:02:57,脖子这块比较紧
s***e,颜色分类:08 深灰色;尺码:165/92A/XL,2021-02-11 20:51:26,非常好
s***y,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-11 18:28:37,79元入不合算
我***1,颜色分类:01 乳白色;尺码:165/92A/XL,2021-02-11 18:27:35,面料材质：柔软保暖。白色好看，好搭衣服。 我的身高体重：160，60。xl稍宽松，我喜欢。
很***呀,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-11 18:22:09,面料挺软的，版型对于中等和偏胖的人来说有点偏紧，介意者可选大一码，整体挺好哒～
眼***芒,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-11 17:06:11,黑的穿的好，又买了一个白的
s***x,颜色分类:08 深灰色;尺码:160/88A/L,2021-02-11 16:45:52,比实体店买的短一寸，料子是一样的
h***e,颜色分类:03 灰色;尺码:165/92A/XL,2021-02-11 13:07:42,实体店没有大码灰色了，给妈妈买的，很好
t***8,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-11 09:24:27,好好好！
t***0,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-11 09:20:38,有点肥大，保暖很好
荷***姑,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-11 08:39:08,好评
荷***姑,颜色分类:31 米色;尺码:160/88A/L,2021-02-11 08:39:08,好评
荷***姑,颜色分类:09 黑色;尺码:160/88A/L,2021-02-11 08:39:08,好评
荷***姑,颜色分类:08 深灰色;尺码:160/88A/L,2021-02-11 08:39:08,好评
f***5,颜色分类:17 枣红色;尺码:160/88A/L,2021-02-10 20:57:56,质量不错，穿着挺舒服的
霍***慧,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-10 16:45:53,黑色超级粘毛   里面会有起球
瑞***8,颜色分类:31 米色;尺码:160/84A/M,2021-02-10 15:50:59,非常满意，物流超快！👍👍
t***1,颜色分类:31 米色;尺码:160/84A/M,2021-02-10 15:13:38,好穿
l***9,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-10 15:11:51,价格划算，发货很快，值得推荐
f***2,颜色分类:67 海蓝色;尺码:165/92A/XL,2021-02-10 13:41:57,好穿，不同的颜色买了三件
t***4,颜色分类:03 灰色;尺码:160/84A/M,2021-02-10 11:42:23,好看，喜欢，推荐购买。
z***9,颜色分类:08 深灰色;尺码:160/84A/M,2021-02-10 11:30:51,挺好的
l***9,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-10 10:12:52,面料舒服 买给媳妇的 挺合适 好评
l***3,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-10 08:03:20,还可以
x***8,颜色分类:31 米色;尺码:160/84A/M,2021-02-10 08:01:35,盲买的款式和大小结果正好，穿衣服也不会露出来非常舒服，喜欢
f***j,颜色分类:03 灰色;尺码:160/88A/L,2021-02-09 20:39:03,喜欢这个颜色，舒适
t***1,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-09 20:03:52,非常满意
m***1,颜色分类:09 黑色;尺码:160/88A/L,2021-02-09 20:00:39,好
m***1,颜色分类:31 米色;尺码:160/88A/L,2021-02-09 20:00:39,还好
m***1,颜色分类:03 灰色;尺码:160/88A/L,2021-02-09 20:00:39,挺好的！
t***0,颜色分类:17 枣红色;尺码:165/92A/XL,2021-02-09 18:23:09,听闻远方有你  动身跋涉千里
k***n,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-09 17:26:53,降价囤个货
e***8,颜色分类:09 黑色;尺码:160/88A/L,2021-02-09 16:21:25,很好
e***8,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-09 16:21:25,很好
x***5,颜色分类:09 黑色;尺码:160/88A/L,2021-02-09 14:17:47,第二次购买，作为内搭很百搭，感觉穿洗几次后有点点起球。
t***1,颜色分类:09 黑色;尺码:160/84A/M,2021-02-09 13:56:22,好
等***花,颜色分类:31 米色;尺码:160/88A/L,2021-02-09 13:27:59,一个款买三个颜色了，舒服！
h***9,颜色分类:09 黑色;尺码:160/88A/L,2021-02-09 12:00:33,第二次购买，真的太百搭了，又轻又暖。一百分，就是有点沾毛！
c***2,颜色分类:17 枣红色;尺码:160/84A/M,2021-02-09 09:34:19,颜色挺正的，不是很暗的，舒服
t***6,颜色分类:31 米色;尺码:160/88A/L,2021-02-09 09:01:42,有点胖，L号也穿得
j***茶,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-08 23:24:43,好评！
g***o,颜色分类:09 黑色;尺码:160/84A/M,2021-02-08 22:03:59,喜欢，软，舒服
沫***8,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-08 19:49:30,柔软
沫***8,颜色分类:31 米色;尺码:155/80A/S,2021-02-08 19:49:30,喜欢
h***1,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-08 15:04:05,好
h***1,颜色分类:09 黑色;尺码:160/84A/M,2021-02-08 15:03:55,好
t***5,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-08 14:37:35,优衣库的摇粒绒不要问了
秋***月,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-08 13:53:00,同一单同款两件，一件收到一件还没发货。。。？ 这包装，没话说！
t***3,颜色分类:09 黑色;尺码:160/84A/M,2021-02-08 11:50:37,特别满意，好评必须好评
绵***苏,颜色分类:31 米色;尺码:155/80A/S,2021-02-08 10:39:08,不错 质量很好 软软的
y***7,颜色分类:31 米色;尺码:155/80A/S,2021-02-08 10:06:18,面料很舒服，颜色暗沉。在这个时间就是金钱的时代，请允许我采用这种最有效率的方式，来完成对这件所购商品的评价。作为一名兼职家庭用品高级采购经理，我采购的物品是全方位多层次的，但不论采购何物，功能、外观、价格、售后都是我必须考虑的四大维度。当你看到这个习惯性好评时，就代表这件商品符合了我这个理性经济人的中等需求，就证明这件商品的总体评价至少在80分以上，至于我认为80分以下的商品，抱歉你绝对看不到这段黄钻买家的习惯性好评。
w***e,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-08 07:01:49,版型风格：看上去很普通，但是内搭好棒 面料材质：商标单穿有点扎皮肤
t***6,颜色分类:67 海蓝色;尺码:160/84A/M,2021-02-08 04:06:15,柔软舒服，大小合适
啊***事,颜色分类:31 米色;尺码:165/92A/XL,2021-02-07 21:09:01,两年前买过一件深灰色，今年把黑色，白色，米色都买了，试了下米色，肩部接缝处有点奇怪，不知道洗完会不会服帖点
s***u,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-07 20:32:45,一直非常信赖优衣库，会继续支持！
t***y,颜色分类:03 灰色;尺码:160/88A/L,2021-02-07 19:02:26,不错
啤***儿,颜色分类:09 黑色;尺码:160/88A/L,2021-02-07 17:41:14,key
啤***儿,颜色分类:67 海蓝色;尺码:160/88A/L,2021-02-07 17:41:14,可以
啤***儿,颜色分类:31 米色;尺码:160/88A/L,2021-02-07 17:41:14,可以
1***u,颜色分类:03 灰色;尺码:160/88A/L,2021-02-07 16:24:58,不错，好评，多次购买！不错，好评，多次购买！不错，好评，多次购买！不错，好评，多次购买！不错，好评，多次购买！不错，好评，多次购买！不错，好评，多次购买！不错，好评，多次购买！不错，好评，多次购买！不错，好评，多次购买！不错，好评，多次购买！不错，好评，多次购买！不错，好评，多次购买！不错，好评，多次购买！不错，好评，多次购买！不错，好评，多次购买！不错，好评，多次购买！不错，好评，多次购买！
暴***2,颜色分类:08 深灰色;尺码:165/92A/XL,2021-02-07 16:21:52,此用户没有填写评论!
胡***呱,颜色分类:09 黑色;尺码:160/88A/L,2021-02-07 14:29:53,打底超好
祥***0,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-07 14:20:06,一般，与实体店相比有点不一样，实体店的厚实
美***中,颜色分类:31 米色;尺码:160/84A/M,2021-02-07 13:14:02,百搭，舒适，暖和
依***弦,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-07 11:31:37,买来当单位工作服很好用
c***n,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-07 08:41:26,很好
吴***活,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-07 07:17:13,很好
小***6,颜色分类:31 米色;尺码:160/84A/M,2021-02-07 00:23:53,很柔软
a***5,颜色分类:18 暗红色;尺码:165/92A/XL,2021-02-06 23:57:17,东西挺好，价格实惠！
t***8,颜色分类:03 灰色;尺码:160/84A/M,2021-02-06 22:27:07,好
t***8,颜色分类:09 黑色;尺码:160/88A/L,2021-02-06 22:27:07,好
赫***8,颜色分类:09 黑色;尺码:160/84A/M,2021-02-06 22:26:03,保价就是摆设
炼***穹,颜色分类:31 米色;尺码:155/80A/S,2021-02-06 22:24:52,刚买完就降价，伤心，衣服颜色不是很衬肤色，洗过缩水，建议买大一码。不过很保暖
y***正,颜色分类:31 米色;尺码:155/80A/S,2021-02-06 22:19:25,优衣库的衣服平价不错，很满意
延***达,颜色分类:01 乳白色;尺码:165/92A/XL,2021-02-06 21:47:43,好看又好穿，买第二件
h***2,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-06 21:45:18,摸着是真的舒服！
玥***7,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-06 21:11:52,还可以，打底不错挺保暖的
玥***7,颜色分类:09 黑色;尺码:160/84A/M,2021-02-06 21:10:01,粘毛，黑色洗的时候感觉不怎么掉色，但是掉毛
未***英,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-06 20:52:52,挺透的
d***4,颜色分类:09 黑色;尺码:155/80A/S,2021-02-06 19:38:49,非常舒服非常好
f***2,颜色分类:03 灰色;尺码:165/92A/XL,2021-02-06 19:11:21,发货速度很快，质量一如既往的好。
孙***氏,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-06 17:46:35,超级舒适的布料，超级百搭，必备的冬天内搭
a***诺,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-06 16:13:09,面料很薄，不值
桃***8,颜色分类:67 海蓝色;尺码:155/80A/S,2021-02-06 16:12:24,非常柔软舒服。
z***g,颜色分类:03 灰色;尺码:160/88A/L,2021-02-06 15:18:58,颜色喜欢，怎么比米色小一点呢？
安***粒,颜色分类:09 黑色;尺码:155/80A/S,2021-02-06 13:23:15,一如既往的好。保暖。打底很好。
搁***4,颜色分类:09 黑色;尺码:160/84A/M,2021-02-06 13:02:51,给妹妹买的，还不错，打底很好
e***6,颜色分类:09 黑色;尺码:160/88A/L,2021-02-06 07:43:31,整体评价：挺好
昌***宁,颜色分类:09 黑色;尺码:155/80A/S,2021-02-06 01:18:31,发现一个问题 优衣库的客服是虚设的 每次有问题都是机器人回  这么大一个旗舰店不应该这样啊！
露***飘,颜色分类:31 米色;尺码:160/88A/L,2021-02-05 15:51:09,挺好
s***5,颜色分类:01 乳白色;尺码:165/92A/XL,2021-02-05 15:50:25,超保暖
浮***蓝,颜色分类:09 黑色;尺码:155/80A/S,2021-02-05 15:39:43,颜色好看，面料柔软，价格划算。
b***a,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-05 15:21:21,宝贝真不错，做的真细心，值得拥有，快递很快是正品，和实体店一样，价格还优惠，果断转粉非常值得信赖的品牌，质量有保障，价格还亲民，相当满意实用性和颜值都非常的赞，我很喜欢，还会再来买的想买的别犹豫哇！没有廉价的感觉，很高端，特别棒！
t***滴,颜色分类:08 深灰色;尺码:160/88A/L,2021-02-05 15:07:36,和实体店的一样
w***9,颜色分类:03 灰色;尺码:160/84A/M,2021-02-05 14:20:15,同事推荐的，值得拥有，颜色好看，舒服，码正。
高***顶,颜色分类:03 灰色;尺码:160/84A/M,2021-02-05 12:45:00,很好啊
花***1,颜色分类:31 米色;尺码:160/88A/L,2021-02-05 11:28:56,买了黑色和灰色，都挺好的。就是黑色有点爱粘毛。
彬***儿,颜色分类:31 米色;尺码:160/88A/L,2021-02-05 10:21:50,h
t***2,颜色分类:09 黑色;尺码:155/80A/S,2021-02-05 10:07:56,打底很舒服，料子厚薄度还行，外面再套盒小马甲，再穿个羽绒服，冬天完全够了
执***5,颜色分类:31 米色;尺码:165/92A/XL,2021-02-05 09:48:29,质量很好，不起球，穿上特别舒服，很保暖！
琪***7,颜色分类:17 枣红色;尺码:160/84A/M,2021-02-05 08:46:03,面料柔软厚实，是用来搭配千鸟格西装用的，现在有点冷，随便打底用一下先。也是被评论种的草，
般***亦,颜色分类:31 米色;尺码:165/92A/XL,2021-02-05 00:10:19,很舒服很好搭的衣服
斯***乐,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-04 22:26:09,物流还行，衣服质量不咋的。衣服价格忽上忽下，服务差。
