displayUserNick,auctionSku,rateDate,rateContent
1***f,主要颜色:00 白色;尺码:165/92A/XL,2021-02-27 11:52:33,超级好穿
l***了,主要颜色:31 米色;尺码:160/84A/M,2021-02-26 12:35:00,很好，没有异味，做工精细，颜色好看，穿着舒服。质量非常好，客服态度非常非常赞，有问题及时给解决了东西质量非常好，与卖家描述的完全一致，非常满意
w***x,主要颜色:00 白色;尺码:170/100B/XXL,2021-02-26 12:28:09,在实体店试穿这款的L码稍有些紧，但是店里没有XXL码，所以线上下单，收到后试穿正是我想要的稍宽松的感觉，喜欢
q***8,主要颜色:54 绿色;尺码:165/92A/XL,2021-02-26 12:16:40,略深一些颜色
薰***9,主要颜色:09 黑色;尺码:170/100B/XXL,2021-02-26 12:02:59,丅恤已收到，质量很好，T恤很厚实，就是买大了一码，不退了
涵***3,主要颜色:54 绿色;尺码:160/84A/M,2021-02-26 11:42:28,54绿色实物有点暗，没图片那么明亮，之前买的米色，这次买了绿色和白色？质量很好
涵***3,主要颜色:00 白色;尺码:160/84A/M,2021-02-26 11:42:28,54绿色实物有点暗，没图片那么明亮，之前买的米色，这次买了绿色和白色？质量很好
林***桃,主要颜色:31 米色;尺码:165/92A/XL,2021-02-26 11:39:19,质量没有在香港澳门买的好
h***l,主要颜色:00 白色;尺码:175/108C/XXXL,2021-02-26 11:22:42,买大了 实体店换货很方便
西***间,主要颜色:09 黑色;尺码:160/88A/L,2021-02-26 10:58:00,大小合适，质量也挺好。
西***间,主要颜色:00 白色;尺码:160/88A/L,2021-02-26 10:58:00,自黑一白，挺好穿。
向***9,主要颜色:65 宝蓝色;尺码:160/84A/M,2021-02-26 10:30:07,很好，颜色好看、款式舒适
t***8,主要颜色:00 白色;尺码:160/84A/M,2021-02-26 10:04:35,好好好 nice 质量很好
d***u,主要颜色:00 白色;尺码:165/92A/XL,2021-02-26 09:55:03,赞
无***止,主要颜色:54 绿色;尺码:160/84A/M,2021-02-26 09:15:22,颜色比图片深点，早知买黑色了
无***止,主要颜色:00 白色;尺码:160/84A/M,2021-02-26 09:15:22,面料很舒服
恒***g,主要颜色:09 黑色;尺码:170/100B/XXL,2021-02-26 08:50:02,面料超舒服，在实体店买了白色，现在还想买件绿色。黑色好显瘦啊！
张***9,主要颜色:00 白色;尺码:170/100B/XXL,2021-02-26 07:49:43,喜欢
摇***5,主要颜色:00 白色;尺码:160/84A/M,2021-02-25 23:59:18,厚实不透，156，m像平时穿s的感觉
时***啊,主要颜色:54 绿色;尺码:160/84A/M,2021-02-25 23:35:58,这个绿色百搭，绝绝子，冲呀
丫***7,主要颜色:00 白色;尺码:160/84A/M,2021-02-25 22:57:14,质量好的
t***3,主要颜色:54 绿色;尺码:165/92A/XL,2021-02-25 22:05:10,绝顶显白（但是不显年轻颜色比图上暗
君***嘟,主要颜色:00 白色;尺码:165/92A/XL,2021-02-25 21:22:50,很好
v***5,主要颜色:00 白色;尺码:170/100B/XXL,2021-02-25 20:52:32,质量很好，160cm 116斤  买了xxl 有一点大
小***窦,主要颜色:00 白色;尺码:155/80A/S,2021-02-25 19:53:15,紧身的
t***2,主要颜色:54 绿色;尺码:160/88A/L,2021-02-25 19:42:57,超级好
芝***2,主要颜色:00 白色;尺码:165/92A/XL,2021-02-25 18:41:29,不错，是正品，料子厚实不易变形
冷***汐,主要颜色:54 绿色;尺码:160/84A/M,2021-02-25 17:54:07,这个颜色在不同光线下表现不一样， 光线暗有点不好看， 光足的话还是蛮好看的。 160 上半身偏瘦，M合身。 材质穿上很舒服，很显身材。
t***5,主要颜色:00 白色;尺码:170/100B/XXL,2021-02-25 17:27:36,165这个码可以盖住pp
打***6,主要颜色:00 白色;尺码:160/88A/L,2021-02-25 17:19:32,简单干净的，&trade;料子也是纯棉的，👲面料变请使织，➖物直都喜欢，🚒超百版型也显瘦。无异味布料比较密实，🌠摸着也比较光滑洗了应该是不会变形那种，🚽料子厚实每年必买的款颜色看着确实也比较高级，🐤显得人白可通勤可休闲，💡随便搭款式版型也不错显瘦一点都不透简单干净的料子也是纯棉的准备再买个黑色的。
狗***鱼,主要颜色:00 白色;尺码:165/92A/XL,2021-02-25 16:47:27,质量很好，如果是要打底外面穿卫衣或者毛衣，建议买大2个码，很容易搭配出效果的！
l***8,主要颜色:00 白色;尺码:165/92A/XL,2021-02-25 16:27:07,优衣库质量还是不错的，今年的比去年的薄点，有点滑滑的感觉
z***5,主要颜色:54 绿色;尺码:160/88A/L,2021-02-25 15:37:19,质量不错，绵质好。
t***9,主要颜色:00 白色;尺码:160/88A/L,2021-02-25 15:11:44,布料质量感觉不错，但送过来衣服真的超级超级皱
小***9,主要颜色:00 白色;尺码:170/100B/XXL,2021-02-25 14:01:57,优衣库的质量有口皆碑，适宜大众，质量尚好，白色T恤衫更显端庄、职业、素雅好搭配，值得拥有！
菩***5,主要颜色:00 白色;尺码:155/80A/S,2021-02-25 13:08:07,很喜欢
a***杆,主要颜色:54 绿色;尺码:175/108C/XXXL,2021-02-25 13:05:11,爱了这个颜色
l***n,主要颜色:00 白色;尺码:160/84A/M,2021-02-25 12:42:17,好，满意
t***8,主要颜色:00 白色;尺码:155/80A/S,2021-02-25 12:21:59,舒服 不透
y***0,主要颜色:00 白色;尺码:170/100B/XXL,2021-02-25 12:13:20,T恤质量很好，领子处尤其厚实，不容易变形。骨架大的美女们可以买大一号。
念***7,主要颜色:54 绿色;尺码:175/108C/XXXL,2021-02-25 11:51:45,整体评价：面料 大小 版型都非常适合胖胖女孩 特别友好
暧***6,主要颜色:54 绿色;尺码:160/88A/L,2021-02-25 11:46:07,尺码偏小，买的时候一定比平时大一码
暧***6,主要颜色:00 白色;尺码:160/88A/L,2021-02-25 11:46:07,尺码偏小，一定比平时大一码
宸***儿,主要颜色:00 白色;尺码:165/92A/XL,2021-02-25 11:22:06,好看百搭舒服 爱了
t***4,主要颜色:54 绿色;尺码:170/100B/XXL,2021-02-25 11:21:07,宝贝已收到，很惊喜，没有色差，没有多余的线条。质量可以。给个好评。
翔***高,主要颜色:00 白色;尺码:160/84A/M,2021-02-25 11:11:21,很好
5***溢,主要颜色:54 绿色;尺码:160/88A/L,2021-02-25 11:09:45,显白
m***u,主要颜色:54 绿色;尺码:170/100B/XXL,2021-02-25 11:07:28,买买买买买买买买买买买买买买买买买买买买 买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买 买买买买买买买买买买买买买买买买买买买买买买买买买买
m***u,主要颜色:31 米色;尺码:170/100B/XXL,2021-02-25 11:07:28,买买买买买买买买买买买买买买买买买买买买 买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买买 买买买买买买买买买买买买买买买买买买买买买买买买买买
j***8,主要颜色:31 米色;尺码:160/84A/M,2021-02-25 11:03:55,非常不错
i***1,主要颜色:51 嫩绿色;尺码:160/88A/L,2021-02-25 09:32:31,不错
i***1,主要颜色:00 白色;尺码:160/88A/L,2021-02-25 09:32:31,不错
t***4,主要颜色:51 嫩绿色;尺码:160/88A/L,2021-02-25 08:19:46,整体评价：超级好看！！！！
v***v,主要颜色:00 白色;尺码:165/92A/XL,2021-02-25 07:53:20,值得推荐
彩***阿,主要颜色:00 白色;尺码:160/88A/L,2021-02-25 07:45:21,摸起来光滑有质感，修身款，比平时的码大一个正好
s***h,主要颜色:54 绿色;尺码:160/88A/L,2021-02-25 00:10:02,身高163体重115穿L非常合身。扩圈领口很平整，颜色也衬肤色，满意！
z***9,主要颜色:00 白色;尺码:175/108C/XXXL,2021-02-24 23:42:14,版型很好，推荐购买
麦***9,主要颜色:31 米色;尺码:170/100B/XXL,2021-02-24 23:37:38,忠实粉丝
z***4,主要颜色:00 白色;尺码:165/92A/XL,2021-02-24 23:28:35,很舒服，滑滑的料子，质量好
毛***豚,主要颜色:51 嫩绿色;尺码:160/84A/M,2021-02-24 23:12:35,好评
毛***豚,主要颜色:00 白色;尺码:165/92A/XL,2021-02-24 23:12:35,好评
h***h,主要颜色:54 绿色;尺码:160/88A/L,2021-02-24 23:07:15,很好很好很好很好很好很好很好
h***h,主要颜色:00 白色;尺码:160/88A/L,2021-02-24 23:07:15,很好很好很好很好很好很好很好
0***a,主要颜色:54 绿色;尺码:170/100B/XXL,2021-02-24 22:44:59,想宽容一点特意买了大码，颜色好看，手感也好
我***哦,主要颜色:00 白色;尺码:160/84A/M,2021-02-24 22:41:13,不错的
小***美,主要颜色:31 米色;尺码:165/92A/XL,2021-02-24 22:28:17,全棉的，比较厚实，适合春天叠穿
非***构,主要颜色:51 嫩绿色;尺码:160/88A/L,2021-02-24 22:06:09,面料舒服，颜色清新，比较厚实
b***0,主要颜色:00 白色;尺码:160/88A/L,2021-02-24 22:05:31,质量很好，很满意。
t***4,主要颜色:08 深灰色;尺码:155/80A/S,2021-02-24 21:34:07,无异味布料比较密实，摸着也比较光滑洗了应该是不会变形那种，料子厚实每年必买的款颜色看着确实也比较高级，显得人白可通勤可休闲，随便搭款式版型也不错显瘦一点都不透简单干净的，料子也是纯棉的准备再买个黑色的。
快***贰,主要颜色:00 白色;尺码:165/92A/XL,2021-02-24 21:18:34,面料偏厚，不透！好看
贺***w,主要颜色:00 白色;尺码:175/108C/XXXL,2021-02-24 20:26:25,这款面料特别舒服，不薄却很凉快的感觉，白色买大一号用来搭在卫衣里
t***7,主要颜色:31 米色;尺码:175/108C/XXXL,2021-02-24 20:05:00,好穿好穿 喜欢喜欢
l***8,主要颜色:09 黑色;尺码:165/92A/XL,2021-02-24 19:50:45,120斤，宽松
爱***日,主要颜色:00 白色;尺码:165/92A/XL,2021-02-24 19:34:18,不错白色也不透
b***y,主要颜色:00 白色;尺码:165/92A/XL,2021-02-24 19:32:17,质感太好了
s***u,主要颜色:00 白色;尺码:165/92A/XL,2021-02-24 19:03:57,好
l***阳,主要颜色:08 深灰色;尺码:155/80A/S,2021-02-24 18:58:35,好评
爱***人,主要颜色:00 白色;尺码:160/88A/L,2021-02-24 18:49:55,好穿 很厚实
李***l,主要颜色:21 浅橙色;尺码:160/88A/L,2021-02-24 18:44:41,好评
李***l,主要颜色:54 绿色;尺码:160/88A/L,2021-02-24 18:43:57,好评
t***7,主要颜色:00 白色;尺码:160/84A/M,2021-02-24 18:30:43,版型非常好 料子也很舒服
t***7,主要颜色:54 绿色;尺码:160/84A/M,2021-02-24 18:30:42,超级显白的颜色 料子也很舒服
h***7,主要颜色:54 绿色;尺码:155/80A/S,2021-02-24 18:07:10,还没试就洗了，应该合身吧
s***m,主要颜色:00 白色;尺码:175/108C/XXXL,2021-02-24 17:53:37,可以，能遮屁股
s***m,主要颜色:09 黑色;尺码:170/100B/XXL,2021-02-24 17:53:37,码数买遭了了，肩膀比自己肩膀宽了一点，衣服像是直直地扩展了一点出去，唉，像个阴影垫肩，海买3x就掉下去了
w***g,主要颜色:00 白色;尺码:155/80A/S,2021-02-24 17:15:32,面料材质：舒服
我***6,主要颜色:71 浅蓝紫色;尺码:165/92A/XL,2021-02-24 17:09:49,衣服料子很舒服
我***6,主要颜色:54 绿色;尺码:165/92A/XL,2021-02-24 17:09:49,衣服料子很舒服
w***3,主要颜色:54 绿色;尺码:170/100B/XXL,2021-02-24 17:06:18,喜欢，好
w***3,主要颜色:00 白色;尺码:165/92A/XL,2021-02-24 17:06:18,喜欢，好，
棒***醣,主要颜色:54 绿色;尺码:160/88A/L,2021-02-24 16:40:13,每年必卖U T 好看
陈***5,主要颜色:00 白色;尺码:165/92A/XL,2021-02-24 16:13:39,优衣库的服饰不得不说真的超级酷😎质量好极了，衣服料子很舒适亲肤🍋比实体店划算的多呢，物美价廉很满意🍉版型好看不容易变形，很修身显瘦🥬百塔又显干净，很完美！
l***1,主要颜色:54 绿色;尺码:160/88A/L,2021-02-24 15:13:45,绿色很漂亮，虽然暂时穿不到但先买没快，怕活动室没这个颜色了
n***8,主要颜色:00 白色;尺码:160/88A/L,2021-02-24 14:36:54,满意
y***8,主要颜色:65 宝蓝色;尺码:165/92A/XL,2021-02-24 14:24:55,好看
z***9,主要颜色:00 白色;尺码:160/84A/M,2021-02-24 14:08:40,面料特别舒服，质量一如既往的好，打算再入一件
t***5,主要颜色:54 绿色;尺码:165/92A/XL,2021-02-24 13:52:24,好看
t***3,主要颜色:09 黑色;尺码:160/88A/L,2021-02-24 13:49:44,好评
z***1,主要颜色:65 宝蓝色;尺码:160/88A/L,2021-02-24 13:30:09,这件衣服的颜色去年就喜欢，去年是没这个颜色了，等到今年发现有了这个颜色，立马下单买了。比较知性的颜色。
c***y,主要颜色:31 米色;尺码:170/100B/XXL,2021-02-24 12:47:42,身高170 体重54 宽松 是想要的T 简单大方
c***y,主要颜色:65 宝蓝色;尺码:170/100B/XXL,2021-02-24 12:47:42,身高170体重54 宽松 简单百搭
a***n,主要颜色:00 白色;尺码:160/88A/L,2021-02-24 12:39:30,质量很不错&hellip;厚实&hellip;百搭款&hellip;
a***n,主要颜色:09 黑色;尺码:160/88A/L,2021-02-24 12:39:30,质量很不错&hellip;厚实&hellip;百搭款&hellip;
a***n,主要颜色:54 绿色;尺码:160/88A/L,2021-02-24 12:39:30,质量很不错&hellip;厚实&hellip;百搭款&hellip;
黄***5,主要颜色:00 白色;尺码:160/84A/M,2021-02-24 12:17:11,质量不错
黄***5,主要颜色:54 绿色;尺码:160/84A/M,2021-02-24 12:17:11,质量不错
s***2,主要颜色:54 绿色;尺码:160/88A/L,2021-02-24 12:15:23,整体评价：质量非常好，性价比很高，一次性买了3个颜色
f***x,主要颜色:54 绿色;尺码:160/84A/M,2021-02-24 12:14:09,颜色好看，面料厚实
国***1,主要颜色:00 白色;尺码:165/92A/XL,2021-02-24 11:26:32,优衣库的衣服质量没得说，很好。
t***0,主要颜色:00 白色;尺码:160/84A/M,2021-02-24 11:20:59,整体很好呀，面料很舒服，上身效果很好，客服推荐的很准哟，厚薄度适中，没有色差已经推荐给好友，是纯棉的，超赞买它，总体来说，超级惊喜
f***1,主要颜色:00 白色;尺码:160/88A/L,2021-02-24 11:11:49,跟实体店一样的，再网上买方便
t***0,主要颜色:54 绿色;尺码:160/88A/L,2021-02-24 10:31:38,好看，属于修身款，可以买大一码
默***治,主要颜色:00 白色;尺码:175/108C/XXXL,2021-02-24 10:25:13,很舒服，值得买
t***1,主要颜色:56 橄榄色;尺码:160/88A/L,2021-02-24 10:13:01,面料很厚  穿着舒服
t***n,主要颜色:54 绿色;尺码:165/92A/XL,2021-02-24 10:10:04,可以可以
诗***5,主要颜色:21 浅橙色;尺码:160/88A/L,2021-02-24 09:16:29,优衣库的彩色春天，163/48梨形身材
雾***藤,主要颜色:51 嫩绿色;尺码:160/88A/L,2021-02-24 08:53:00,嫩绿色挺好看的
大***哒,主要颜色:00 白色;尺码:160/88A/L,2021-02-24 02:24:33,质量挺好
栗***寻,主要颜色:00 白色;尺码:155/80A/S,2021-02-23 23:23:14,很多件了
j***0,主要颜色:31 米色;尺码:175/108C/XXXL,2021-02-23 23:17:22,好
j***0,主要颜色:54 绿色;尺码:175/108C/XXXL,2021-02-23 23:17:22,这个颜色好漂亮
j***0,主要颜色:00 白色;尺码:175/108C/XXXL,2021-02-23 23:17:22,打底单穿都不错
我***3,主要颜色:54 绿色;尺码:160/88A/L,2021-02-23 23:04:33,整体评价：版型常规设计 面料材质：挺厚的，买了白色，看起来不透的， 搭配建议：春天衬衣叠穿，套不套外套都好看的。单穿因为本人腰粗所以怕显腰的可能要拍大一码，我拍的l了，宽松。 我的身高体重：158cm 绿色真的挺好看的，一直都很喜欢绿色，感觉不是纯绿，带点黄色的，衣服本身颜色更好看，配的衬衣也是优衣库的，想再买一件这种衬衣小一点的但是已经下架了。有点儿可以。
我***3,主要颜色:00 白色;尺码:160/88A/L,2021-02-23 23:04:33,白色还没穿，但是是我理想中的白T恤，挺厚，不透，百搭的。
我***1,主要颜色:31 米色;尺码:160/84A/M,2021-02-23 22:58:51,好
l***9,主要颜色:54 绿色;尺码:165/92A/XL,2021-02-23 22:30:34,按肩宽买的XL，实际身高160，这个尺码是我喜欢的，肩宽合适，也不紧身，就是微微宽松的那种，颜色好看！
甜***9,主要颜色:31 米色;尺码:165/92A/XL,2021-02-23 22:29:55,每年都买这款t，面料厚实不易变形，内搭不错，今年买了白色和米色，觉得还是米色更好看，柔和知性，更易搭配，喜欢。
甜***9,主要颜色:00 白色;尺码:165/92A/XL,2021-02-23 22:29:55,每年都买这款t，面料厚实不易变形，内搭不错，今年买了白色和米色，觉得还是米色更好看，柔和知性，更易搭配，喜欢。
爱***m,主要颜色:00 白色;尺码:160/84A/M,2021-02-23 22:01:12,还行把
l***蕾,主要颜色:00 白色;尺码:160/84A/M,2021-02-23 21:57:33,全棉的，穿着非常舒服，太值了！
t***1,主要颜色:54 绿色;尺码:160/88A/L,2021-02-23 21:51:36,好看又舒适，夏天必备！
t***1,主要颜色:31 米色;尺码:160/88A/L,2021-02-23 21:51:36,买了好几件，纯棉的很舒服！
w***0,主要颜色:00 白色;尺码:155/80A/S,2021-02-23 21:49:37,面料太舒服了
k***6,主要颜色:08 深灰色;尺码:155/80A/S,2021-02-23 21:42:11,无异味布料比较密实，摸着也比较光滑洗了应该是不会变形那种，料子厚实每年必买的款颜色看着确实也比较高级，显得人白可通勤可休闲，随便搭款式版型也不错显瘦一点都不透简单干净的料子也是纯棉的准备再买个黑色的。
s***4,主要颜色:54 绿色;尺码:175/108C/XXXL,2021-02-23 21:11:57,168，68以前买的L和XL，看评价里买家秀故意买大好几个**效果不错果断买了最大码，人在衣中晃，果然宽松更显瘦，颜色清新显白，下次有活动买个XXL的其他色，虽然家里这个T各种颜色不下十件了，看到新色还是忍不住入啊
h***l,主要颜色:00 白色;尺码:165/92A/XL,2021-02-23 20:52:03,打底外穿都可
小***8,主要颜色:00 白色;尺码:160/84A/M,2021-02-23 19:37:39,优衣库的衣服质量真的是好。最近狂买了20件，100个赞。
z***8,主要颜色:00 白色;尺码:155/80A/S,2021-02-23 19:23:35,面料和剪裁都很好
走***e,主要颜色:54 绿色;尺码:160/84A/M,2021-02-23 19:20:52,这个很不错 质感很好 版型颜色都不错
s***7,主要颜色:00 白色;尺码:160/88A/L,2021-02-23 19:13:51,162，104斤，喜欢宽松的建议买L码以上的
y***e,主要颜色:00 白色;尺码:165/92A/XL,2021-02-23 19:12:48,百搭基础款，满意。
m***1,主要颜色:00 白色;尺码:155/80A/S,2021-02-23 19:10:25,质量太好了，性价比无敌了
心***6,主要颜色:71 浅蓝紫色;尺码:165/92A/XL,2021-02-23 19:08:23,色彩淡雅，材质舒服。
莱***士,主要颜色:09 黑色;尺码:160/88A/L,2021-02-23 19:05:51,很喜欢的版型，本人164高，提重115斤，这个尺码刚好
t***3,主要颜色:00 白色;尺码:160/88A/L,2021-02-23 18:44:23,质量很好，打底穿也很舒适
张***5,主要颜色:09 黑色;尺码:175/108C/XXXL,2021-02-23 18:19:56,质量挺好
张***5,主要颜色:00 白色;尺码:175/108C/XXXL,2021-02-23 18:19:56,质量挺好
随***2,主要颜色:00 白色;尺码:165/92A/XL,2021-02-23 18:12:25,158，120，梨形身材，XL码很合适，简单搭配牛仔裤就很好。图片的是淡紫色，苹果11promax原图，无滤镜。
随***2,主要颜色:71 浅蓝紫色;尺码:165/92A/XL,2021-02-23 18:12:25,158，120，梨形身材，XL码很合适，简单搭配牛仔裤就很好。图片的是淡紫色，苹果11promax原图，无滤镜。
随***2,主要颜色:31 米色;尺码:165/92A/XL,2021-02-23 18:12:25,158，120，梨形身材，XL码很合适，简单搭配牛仔裤就很好。图片的是淡紫色，苹果11promax原图，无滤镜。
