displayUserNick,auctionSku,rateDate,rateContent
春***1,颜色分类:32 深米色;尺码:165/92A/XL,2021-02-27 15:53:17,很好
皋***居,颜色分类:68 深蓝色;尺码:170/100B/XXL,2021-02-22 16:10:04,活动价99元买的藏蓝色，只恨没有其它颜色可选了。衣服是真的超级舒服，洗了没有缩水，性价比超高。
我***坛,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-22 15:51:04,非常喜欢
t***8,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-22 14:31:24,非常好看！ 就喜欢这种基础款
听***9,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-22 12:41:16,非常好，合身
萌***e,颜色分类:32 深米色;尺码:160/88A/L,2021-02-22 11:18:01,质量没的说哈，平时穿中号，这次买的大号，略宽松，但也很好看。
风***2,颜色分类:68 深蓝色;尺码:160/84A/M,2021-02-22 10:14:48,身高155，体重100斤，M正合适，深蓝色没有色差，这个价格超值，舒服，喜欢。
x***9,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-22 09:33:42,卫衣收到了、买到了又实惠质量不错的优衣裤品牌服饰、XL稍宽松点、运动旅游百搭款、深蓝色的颜色接近牛仔蓝好看、面料柔软、值得购买...
t***5,颜色分类:68 深蓝色;尺码:160/84A/M,2021-02-21 22:31:58,优衣库 就是棒
t***3,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-21 22:17:39,很好!
高***1,颜色分类:32 深米色;尺码:160/88A/L,2021-02-21 21:25:54,质量不错
n***2,颜色分类:32 深米色;尺码:160/88A/L,2021-02-21 20:16:38,舒服，百搭。
t***5,颜色分类:68 深蓝色;尺码:160/84A/M,2021-02-21 17:35:50,做工精细，款式漂亮，面料柔软，货真价实，发货速度超快，所以每款衣服都受到大家的欢迎，优衣库厉害了。
a***7,颜色分类:32 深米色;尺码:155/80A/S,2021-02-21 16:59:09,超好
3***f,颜色分类:68 深蓝色;尺码:160/84A/M,2021-02-21 13:35:27,挺好的
s***5,颜色分类:68 深蓝色;尺码:160/88A/L,2021-02-21 12:25:34,颜色好看，价格美丽，这件衣服上身合适又舒服，有喜欢的继续回购。
玉***n,颜色分类:32 深米色;尺码:160/88A/L,2021-02-21 11:26:54,真的是，很好看的啊！优衣库选对了从来不让人失望，摸起来很舒服的面料，穿起来也百搭的✨
l***m,颜色分类:68 深蓝色;尺码:175/108C/XXXL,2021-02-21 11:24:48,含棉量高，穿着舒适；特地买最大的码，宽松休闲。
檀***5,颜色分类:32 深米色;尺码:160/84A/M,2021-02-21 02:36:37,性价比很高
周***哒,颜色分类:32 深米色;尺码:155/80A/S,2021-02-20 23:39:13,好
水***a,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-20 22:40:25,165，55kg，很合适
t***5,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-20 21:59:41,有瑕疵，客服不回复。
王***鑫,颜色分类:68 深蓝色;尺码:170/100B/XXL,2021-02-20 18:53:58,穿上舒服柔软，就是太薄了，颜色有些老气，适合运动穿，码子偏大，正常买就行
w***9,颜色分类:32 深米色;尺码:160/84A/M,2021-02-20 18:25:53,基本无色差 就是比图片色略暗一些 不算宽松版 感觉要比平时买大一到两码最好 如果是打底穿那就买小一些
习***晶,颜色分类:32 深米色;尺码:170/100B/XXL,2021-02-20 15:50:29,温柔的效果，身高158体重118，穿上打两码，我就喜欢人在衣中晃，尤其这种运动休闲的，质量么我真觉得越来越薄了，无奈
e***8,颜色分类:32 深米色;尺码:160/84A/M,2021-02-20 15:26:59,颜色百搭 内搭外穿都可以 不错！
月***3,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-20 13:19:40,很好
沐***曦,颜色分类:68 深蓝色;尺码:160/88A/L,2021-02-20 12:09:17,质量是真的不错99买的挺香的，只是感觉这个深蓝色有点显老气，不过这个价钱就已经很满足了，喜欢的可以冲了，一点也不亏呀！
t***4,颜色分类:32 深米色;尺码:160/84A/M,2021-02-20 12:01:56,质量还可以，颜色个人觉得比较丑，显得气色不好，而且这个颜色不是纯的，上面有杂色
张***1,颜色分类:32 深米色;尺码:165/92A/XL,2021-02-20 11:18:48,实在不知深米色是怎么来的，不过也只是感觉描述的不理想，颜色是喜欢的，版型也不错
q***1,颜色分类:32 深米色;尺码:160/84A/M,2021-02-20 10:49:57,挺好的
y***7,颜色分类:32 深米色;尺码:160/84A/M,2021-02-19 21:20:28,深米色非常好看，纯棉面料，柔软，薄款，春秋合适。158，58kg，孕6个月的肚子，穿上刚好，还能拉上拉链。
a***6,颜色分类:32 深米色;尺码:160/88A/L,2021-02-19 15:16:13,妈妈超级喜欢。
牧***7,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-19 14:48:10,好
牧***7,颜色分类:32 深米色;尺码:160/84A/M,2021-02-19 14:48:10,好
m***9,颜色分类:68 深蓝色;尺码:170/100B/XXL,2021-02-19 13:03:59,160高127斤，穿的略宽松，长度正好
妖***伙,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-19 12:15:22,是薄款。 拿来搭百褶裙和领结走运动风jk。 穿着很舒服www 好嘢！ 这儿172cm/60kg，穿着xl偏大一点点，是刚好的效果，给各位参考。
音***樱,颜色分类:32 深米色;尺码:160/88A/L,2021-02-19 11:59:53,喜欢😘
波***0,颜色分类:68 深蓝色;尺码:160/84A/M,2021-02-19 11:56:56,收到啦啦啦
l***9,颜色分类:68 深蓝色;尺码:170/100B/XXL,2021-02-19 11:21:42,很好满意！
q***1,颜色分类:32 深米色;尺码:165/92A/XL,2021-02-19 09:47:40,尺寸合适，稍微宽松，面料柔软舒适，深米色上身效果非常不错👍
喜***乔,颜色分类:32 深米色;尺码:160/88A/L,2021-02-18 22:15:54,我身160/120，L码合适。面料较薄适合春秋季节穿。
t***6,颜色分类:32 深米色;尺码:160/88A/L,2021-02-18 16:34:21,基础百搭，颜色好看，显瘦
雨***b,颜色分类:32 深米色;尺码:165/92A/XL,2021-02-18 16:09:18,柔软
y***0,颜色分类:68 深蓝色;尺码:170/100B/XXL,2021-02-18 12:43:23,完美
罗***g,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-18 12:33:59,买了一件大号不能穿给朋友了。又买了这件，穿着正合适。喜欢优衣库里面的衣服，布料舒服。
罗***g,颜色分类:68 深蓝色;尺码:175/108C/XXXL,2021-02-18 12:27:14,下单买的号太大了，原本想退的。春节期间快递大多都休息了，就是有上班的寄费也太高了。正好朋友看到我买的衣服，就试穿了一下正合适就要了，也省的我去退了。衣服质量很好，又下了一单买了一件合适我穿的。
f***n,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-18 12:11:23,挺好的
h***8,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-18 11:52:38,好看，降价太划算了，穿起来合身舒服
梦***鸟,颜色分类:68 深蓝色;尺码:160/88A/L,2021-02-18 10:42:31,优衣库的衣服质量一如既往的好，只是没有买到心怡的颜色。
t***3,颜色分类:32 深米色;尺码:160/84A/M,2021-02-18 10:39:48,面料舒适，很合身。价格实惠，一款不错的衣服。
a***o,颜色分类:68 深蓝色;尺码:170/100B/XXL,2021-02-18 09:42:18,老妈喜欢，谢谢
找***的,颜色分类:68 深蓝色;尺码:170/100B/XXL,2021-02-17 23:34:12,好看也好穿很不错。每次收货都是非常愉快的，可是只要一想到还要给评价，头就大了，幸好万万能的网友总结出来一套通用的网络模板，如果你是想看评论决定买不买这个宝贝，你可以打住了，因为我说的你不一定信，但是我自己却坚定不移的要给好评，为什么呢？我来评价一下这个宝贝价格不错，质量不错，快递不错，老板不错。
钱***8,颜色分类:32 深米色;尺码:155/80A/S,2021-02-17 20:40:08,可以
维***术,颜色分类:32 深米色;尺码:160/88A/L,2021-02-17 17:33:01,还行吧
锦***5,颜色分类:32 深米色;尺码:160/88A/L,2021-02-17 17:00:01,有点偏大，厚实
马***1,颜色分类:32 深米色;尺码:165/92A/XL,2021-02-17 14:56:41,最喜欢的就是拉链卫衣、茧形羽绒服、格子衬衫。
鑫***a,颜色分类:32 深米色;尺码:160/84A/M,2021-02-17 10:45:14,这次评价一下吧，第一颜色没啥问题很好撘配，过年依然坚持发货，快递小哥过年送货也及时，谢谢！第二，这款衣服和去年的同款面料相比次了很多，前面有评价说太软了不成型和太薄了，其实是面料太稀疏导致有薄软不成型。号码也比去年同款的要宽很多，所以穿起来感觉大了很好多，要想穿的合身就小一码，想宽松就正常码拍。总之这次购物不算满意，本来这种衣服可有可无，但看在颜色和过年发货的工作人员和快递小哥辛苦的工作的份上收了。希望对后面的买手有帮助。
1***q,颜色分类:32 深米色;尺码:165/92A/XL,2021-02-17 10:42:48,99块要什么自行车哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈好好好
江***换,颜色分类:68 深蓝色;尺码:170/100B/XXL,2021-02-17 08:56:36,和我想的不一样，质量没问题就是太软了，没有型的衣服，身高165体重105穿这个码不算大。
t***3,颜色分类:68 深蓝色;尺码:170/100B/XXL,2021-02-16 22:05:28,在店里试过 没有妈**尺码就在网上买了
t***9,颜色分类:32 深米色;尺码:160/88A/L,2021-02-16 20:32:19,正品，质量好。就是颜色有点深
t***9,颜色分类:32 深米色;尺码:165/92A/XL,2021-02-16 19:00:44,大小合适，可以
l***g,颜色分类:68 深蓝色;尺码:160/88A/L,2021-02-16 10:57:45,图片看不出颜色，到货后发现颜色还不错，有点牛仔蓝的意思，选大一码，宽松，穿着挺舒服。
沈***影,颜色分类:32 深米色;尺码:165/92A/XL,2021-02-15 21:41:43,春节还发货真的可！！！颜色是淡咖啡色，和图片稍稍有点色差。比较薄，二十多度穿OK！
q***y,颜色分类:68 深蓝色;尺码:170/100B/XXL,2021-02-15 21:23:55,很好
t***9,颜色分类:32 深米色;尺码:165/92A/XL,2021-02-15 20:07:26,我很喜欢，么么叽
丁***4,颜色分类:32 深米色;尺码:165/92A/XL,2021-02-15 19:17:50,挺好的
落***草,颜色分类:32 深米色;尺码:160/84A/M,2021-02-15 17:33:01,我妈很喜欢，穿上也很合适，面料舒服
c***子,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-15 16:37:39,颜色喜欢质量不错！
l***u,颜色分类:32 深米色;尺码:165/92A/XL,2021-02-15 10:50:10,颜色有点深。 搭配建议：配再大衣皮衣里面应该都好看，单穿也可以 我的身高体重：165  132斤。这个码宽松
t***0,颜色分类:68 深蓝色;尺码:160/88A/L,2021-02-14 22:51:55,门店自提的，97/件，上身还不错的，这个价格蛮合适的。
8***x,颜色分类:32 深米色;尺码:165/92A/XL,2021-02-14 19:45:43,衣服质量挺好的，快递小哥送到家，感谢老板春节依旧发货
t***0,颜色分类:32 深米色;尺码:160/88A/L,2021-02-14 15:42:19,买了许多件优衣库，这次打折便宜又购买了一件，满意，物流太给力了，春节也不休息2一3天就到了，做工依然是很精细，特意看了评论，说是修身款，平时M码数，这次放大了一码太合适了，，非常感谢美眉们的评价也给后面的集美们一个参考吧！
刘***妈,颜色分类:32 深米色;尺码:160/84A/M,2021-02-14 11:02:14,价廉物美，优衣库的衣服做工精细，柔软舒适，版型很好，价格实惠，一年四季都是优衣库。
w***2,颜色分类:32 深米色;尺码:160/88A/L,2021-02-14 09:51:51,满意
大***吃,颜色分类:32 深米色;尺码:160/84A/M,2021-02-13 18:20:33,初二一大早顺丰就送到家门口，优衣库的服务太暖心了
w***7,颜色分类:32 深米色;尺码:160/84A/M,2021-02-07 20:33:57,不错呀，春秋可以取代风衣，深米色好搭配，开车短打扮更利落。
