displayUserNick,auctionSku,rateDate,rateContent
睡***思,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-27 15:25:10,很好
山***4,颜色分类:11 粉红色;尺码:160/88A/L,2021-02-23 10:10:23,😃大品牌！值得信赖！效果超级好！贵有贵的道理！很棒的商品！
弄***t,颜色分类:11 粉红色;尺码:155/80A/S,2021-02-23 09:20:05,很好跟实体店没有区别，还便宜，喜欢！
周***6,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-22 20:25:35,还有优衣库旗舰店好，尺码有大号，虽然真的超级大，但是穿的舒服也太爽啦，价格这么便宜必须冲！
阳***喵,颜色分类:11 粉红色;尺码:160/84A/M,2021-02-22 19:35:20,特别粉嫩的颜色 买的第二件 超舒服
心***5,颜色分类:11 粉红色;尺码:160/84A/M,2021-02-22 10:07:17,很好很好
s***0,颜色分类:11 粉红色;尺码:160/88A/L,2021-02-21 12:21:31,回购，满意
t***8,颜色分类:02 浅灰色;尺码:165/92A/XL,2021-02-21 04:14:22,帮我妈买的，很柔软舒服
希***白,颜色分类:17 枣红色;尺码:155/80A/S,2021-02-20 23:39:40,这件回购三件了，59超值还不是容易起球的面料特别舒服，还希望多出点好搭的颜色啊！168cm/50kg平胸宽肩穿s合适
s***h,颜色分类:17 枣红色;尺码:160/88A/L,2021-02-20 17:32:12,很舒服
李***8,颜色分类:01 乳白色;尺码:170/100B/XXL,2021-02-20 11:25:02,这个质量一般，如果不是过年在老家回不去就会退了
小***套,颜色分类:11 粉红色;尺码:160/88A/L,2021-02-20 09:17:11,领子套头稍微费点劲 其他很完美
t***9,颜色分类:11 粉红色;尺码:155/80A/S,2021-02-20 00:03:27,还可以
流***9,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-19 22:45:41,买大了一码
j***6,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-19 22:38:27,稍大了一点，面料柔软，缺点是不太吸汗😂
5***7,颜色分类:11 粉红色;尺码:160/84A/M,2021-02-19 17:38:18,柔软保暖
初***几,颜色分类:08 深灰色;尺码:160/84A/M,2021-02-19 16:51:57,买了深灰和浅灰两件 内搭很舒服
胜***莱,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-19 14:15:35,物美价廉，穿着舒服
t***3,颜色分类:08 深灰色;尺码:155/80A/S,2021-02-19 12:08:06,这个颜色很好看，也很保暖，喜欢，本来想买咖色的，没了，这个颜色也好搭衣服。
小***1,颜色分类:11 粉红色;尺码:160/84A/M,2021-02-19 09:04:48,挺好
t***0,颜色分类:17 枣红色;尺码:155/80A/S,2021-02-19 08:05:23,舒服柔软 买了两个颜色
橙***l,颜色分类:02 浅灰色;尺码:165/92A/XL,2021-02-19 07:31:38,拍了很多次了，好评
云***3,颜色分类:09 黑色;尺码:155/80A/S,2021-02-18 19:35:55,粘毛
s***1,颜色分类:38 深褐色;尺码:155/80A/S,2021-02-18 19:34:15,很软很软，特亲肤，就是感觉不能刮蹭
y***3,颜色分类:17 枣红色;尺码:165/92A/XL,2021-02-18 14:38:18,衣服很柔软没有清洗，希望不起球。
y***3,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-18 14:32:16,买了宽松尺码，希望不起球。
盈***姐,颜色分类:02 浅灰色;尺码:155/80A/S,2021-02-18 12:44:55,这个一般
m***7,颜色分类:17 枣红色;尺码:160/88A/L,2021-02-18 12:01:28,这个红色有点挑人，价格便宜就留下了
卡***2,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-18 08:55:07,还行
梦***8,颜色分类:11 粉红色;尺码:160/84A/M,2021-02-18 08:50:08,穿着很柔软，就是起静电，起静电，起静电，一点棉都没有，冬天穿脱纸质啦啦的静电
翠***4,颜色分类:02 浅灰色;尺码:160/88A/L,2021-02-17 20:44:00,好好好好好好好好好
今***雨,颜色分类:11 粉红色;尺码:160/88A/L,2021-02-17 19:11:30,此用户没有填写评论!
芸***芊,颜色分类:11 粉红色;尺码:160/84A/M,2021-02-17 10:54:15,软糯舒适，款式宽松，比较百搭的打底衫！
z***0,颜色分类:17 枣红色;尺码:155/80A/S,2021-02-16 21:35:03,很柔软，不错
t***7,颜色分类:17 枣红色;尺码:160/88A/L,2021-02-16 21:08:12,穿起来挺舒服的
n***l,颜色分类:11 粉红色;尺码:160/84A/M,2021-02-16 21:04:44,很百搭，买了好几件，柔软舒适，也很保暖
t***1,颜色分类:38 深褐色;尺码:165/92A/XL,2021-02-16 20:42:51,很软
易***的,颜色分类:17 枣红色;尺码:160/88A/L,2021-02-16 20:35:14,好评
易***的,颜色分类:11 粉红色;尺码:160/88A/L,2021-02-16 20:35:14,好评
绿***葵,颜色分类:02 浅灰色;尺码:160/84A/M,2021-02-16 19:47:56,还可以，打底穿不错！
彼***7,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-16 19:16:31,柔软，看面料应该会起球，能穿一季就行。
不***菇,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-16 12:17:46,此用户没有填写评论!
w***3,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-16 00:13:18,粉红色不太显肤色，版型宽松，不是纯棉。
x***l,颜色分类:17 枣红色;尺码:160/84A/M,2021-02-15 20:55:08,网购了这么多年，这是我第一次这么认真的对待。我怀着忐忑的心情拿着手机盯着屏幕，迟迟不敢下手。我怕我一旦说出来，老板会觉得我在拍马*，是不是想为了那几块钱的红包，又怕我的评价会误导后来的网友。为了写这次评价，我鼓起勇气喝了3瓶啤酒才有信心。记得第一次喝酒还是对初恋表白的那天，今天又是同样的心情，拼了，为了不辜负老板对我的期望，我一定会客观，公正，如实的写下自己的评价：这是我这开心的一次网购，谢谢！！！
t***2,颜色分类:17 枣红色;尺码:155/80A/S,2021-02-15 14:56:37,整体评价：满意 版型风格：宽松 面料材质：针织 入了浅灰，深褐色和枣红色，枣红看起来高级一些，深褐色比较一般，浅灰好搭衣服，个人觉得浅灰和枣红比深褐色厚实。
x***山,颜色分类:08 深灰色;尺码:160/88A/L,2021-02-15 13:02:32,喜欢
枫***动,颜色分类:09 黑色;尺码:155/80A/S,2021-02-15 10:39:52,还不错不错不错不错不错
祈***缘,颜色分类:17 枣红色;尺码:165/92A/XL,2021-02-14 23:14:49,很柔软 老妈很喜欢
媛***贸,颜色分类:11 粉红色;尺码:160/88A/L,2021-02-14 16:40:08,弹性大，蝴蝶袖，穿上好看，粉色略不好搭配，很柔软。
雨***徨,颜色分类:17 枣红色;尺码:160/88A/L,2021-02-14 10:36:53,非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好
官***e,颜色分类:38 深褐色;尺码:165/92A/XL,2021-02-14 09:13:45,好，穿着很舒服
t***7,颜色分类:11 粉红色;尺码:155/80A/S,2021-02-14 01:53:40,领稍微有点紧，但可以接受，宽松版型 买了三款打底，同一尺码不同版型和尺寸，拍了对比照供参考（见图）
人***里,颜色分类:17 枣红色;尺码:155/80A/S,2021-02-13 22:00:43,非常柔软舒服，颜色也漂亮，活动价太香了
宇***的,颜色分类:01 乳白色;尺码:170/100B/XXL,2021-02-13 22:00:18,舒服！好看！很合适～
宁***嘞,颜色分类:17 枣红色;尺码:155/80A/S,2021-02-13 21:27:04,还没穿，颜色可以～
安***尘,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-13 19:50:19,料子很舒服
s***i,颜色分类:11 粉红色;尺码:165/92A/XL,2021-02-13 18:57:27,不错哦，和店里的一样，之前去店里买没有这个颜色了，在旗舰店买到啦，开心
依***e,颜色分类:17 枣红色;尺码:165/92A/XL,2021-02-13 18:33:47,喜庆的颜色，好穿！
橙***l,颜色分类:02 浅灰色;尺码:165/92A/XL,2021-02-13 15:35:36,这款拍了好多件了，自留了几个颜色，又推荐给亲朋好友，好评
v***e,颜色分类:11 粉红色;尺码:160/84A/M,2021-02-13 13:31:59,好看
覃***8,颜色分类:17 枣红色;尺码:155/80A/S,2021-02-13 10:52:11,很软，很好穿！
t***4,颜色分类:38 深褐色;尺码:155/80A/S,2021-02-13 08:57:52,大年初二收到的  看下图👇🏻👇🏻    啥也不多说了   牛年牛气冲天心想事成！
t***4,颜色分类:09 黑色;尺码:155/80A/S,2021-02-13 08:57:52,大年初二收到的  看下图👇🏻👇🏻    啥也不多说了   牛年牛气冲天心想事成！
k***兔,颜色分类:17 枣红色;尺码:155/80A/S,2021-02-13 04:04:49,宝贝收到，物流很快，描述相符，比较满意，好评，推荐。
v***g,颜色分类:01 乳白色;尺码:165/92A/XL,2021-02-12 23:41:22,超软超舒服，跟优衣库的长袖家居服是一种料子！穿在卫衣里打底非常棒！买了xl码但大一点其实没关系，摸起来应该是不会起球
t***7,颜色分类:09 黑色;尺码:155/80A/S,2021-02-12 20:39:12,老粉丝！
d***7,颜色分类:11 粉红色;尺码:155/80A/S,2021-02-12 19:42:20,很好
d***7,颜色分类:08 深灰色;尺码:155/80A/S,2021-02-12 19:42:20,很好
d***7,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-12 19:41:50,非常好
t***5,颜色分类:11 粉红色;尺码:155/80A/S,2021-02-12 12:22:38,大小合适，领口有些紧
v***a,颜色分类:11 粉红色;尺码:160/84A/M,2021-02-12 04:25:38,超级舒服
l***o,颜色分类:02 浅灰色;尺码:155/80A/S,2021-02-11 20:27:18,手感太好了
我***1,颜色分类:01 乳白色;尺码:170/100B/XXL,2021-02-11 18:11:55,整体评价：白色百搭，喜欢这颜色及面料，因此挑的尺码大了也没有退换。 面料材质：柔软舒服保暖。 我的身高体重：160cm60kg，太宽松。应该买xl的。
我***1,颜色分类:02 浅灰色;尺码:165/92A/XL,2021-02-11 18:11:55,版型风格：宽松休闲 面料材质：柔软保暖 我的身高体重：160厘米60公斤，很宽松，其实L码更合适。
银***1,颜色分类:17 枣红色;尺码:165/92A/XL,2021-02-11 17:46:02,很好
开***猪,颜色分类:17 枣红色;尺码:155/80A/S,2021-02-11 15:18:34,好～
z***5,颜色分类:17 枣红色;尺码:155/80A/S,2021-02-11 12:25:10,这款衣服的面料软软糯糯，穿上太舒服了。休闲版的宽松袖子更增加了它的魅力。趁着有活动先后拍下来同款不同色的两件衣服，价格亲民。还会继续观注其它款式的。好评！
t***2,颜色分类:11 粉红色;尺码:155/80A/S,2021-02-11 12:19:52,160cm110斤，比较修身，但不会显肚子，不会勒脖子，衣服好看的
沸***9,颜色分类:17 枣红色;尺码:155/80A/S,2021-02-11 11:27:22,还可以吧，颜色蛮好看
夜***5,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-11 11:08:51,打底缺一件白色，一直很想要白色，又觉得白色不好打理，穿一季就发黄了，家里都是黑，灰色深色系的，这个先买了深灰和红色，觉得不错很好打理，就买了白色，哈哈，买对了，拯救了不少外套，赞
钟***s,颜色分类:38 深褐色;尺码:155/80A/S,2021-02-11 10:41:59,着实好看
e***0,颜色分类:38 深褐色;尺码:155/80A/S,2021-02-11 10:36:30,面料舒服，颜色不太合适，送给家婆了，她很喜欢
t***6,颜色分类:09 黑色;尺码:155/80A/S,2021-02-10 22:14:36,降价了
k***9,颜色分类:02 浅灰色;尺码:155/80A/S,2021-02-10 18:45:00,颜色很正。柔软舒适。顺丰发货很快。
雨***半,颜色分类:17 枣红色;尺码:155/80A/S,2021-02-10 14:37:33,颜色正，面料特别舒适，亲肤柔软透气，值得购买。
甜***0,颜色分类:11 粉红色;尺码:160/84A/M,2021-02-10 14:34:01,以前一直很喜欢优衣库，也买了很多～过年回家来了在网上买了一个针织衫，然后还没洗就发现上面有勾丝的情况。应该是客服没有检查就发货了，联系了客服之后解决方案就是换货。但是真的是很麻烦了，不想换，就这样吧，本次体验感真的不怎么样&hellip;
浅***沙,颜色分类:38 深褐色;尺码:155/80A/S,2021-02-10 13:47:02,穿的是挺舒服的，可是为啥褪色这么严重啊
波***5,颜色分类:11 粉红色;尺码:160/84A/M,2021-02-10 13:44:16,摸上去很柔软，品质有保障
n***m,颜色分类:11 粉红色;尺码:160/84A/M,2021-02-10 12:25:47,面料材质：摸起来很软，很舒服。颜色比想象中的要浅很多，里面掺杂着别的颜色，看起来像极了粉米色～
z***5,颜色分类:02 浅灰色;尺码:155/80A/S,2021-02-10 11:58:14,面料柔软，合身.
荷***风,颜色分类:02 浅灰色;尺码:160/88A/L,2021-02-10 11:49:35,挺软的
m***1,颜色分类:38 深褐色;尺码:160/84A/M,2021-02-10 11:45:50,还可以
t***5,颜色分类:01 乳白色;尺码:165/92A/XL,2021-02-10 11:29:31,很软和，喜欢耶耶耶
z***然,颜色分类:02 浅灰色;尺码:155/80A/S,2021-02-10 11:25:44,很柔软啊，应该很舒服吧，洗了还没穿，快递超快的，相信优衣库
欧***3,颜色分类:09 黑色;尺码:155/80A/S,2021-02-10 10:09:22,不是纯黑色！！！！颜色像是比较深的藏青色，材质一般，起球起球起球
c***a,颜色分类:08 深灰色;尺码:155/80A/S,2021-02-10 00:28:10,很好，第二次买了
聪***c,颜色分类:02 浅灰色;尺码:160/88A/L,2021-02-09 22:47:52,料子很软很舒服，希望别起球
草***杰,颜色分类:02 浅灰色;尺码:155/80A/S,2021-02-09 22:11:35,非常满意，同款买了2件
空***柝,颜色分类:08 深灰色;尺码:155/80A/S,2021-02-09 21:18:44,穿上还挺显瘦的
水***1,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-09 20:00:09,质量赞爆
于***3,颜色分类:11 粉红色;尺码:160/88A/L,2021-02-09 19:08:43,客服太差了，根本没人回复，发了个坏的过来，七天无理由退换货是假的，想要换货，还得有码数，而且只能退了重新拍。比唯品会和京东的服务差远了！！大家都别买，出了问题根本联系不上客服
t***8,颜色分类:38 深褐色;尺码:165/92A/XL,2021-02-09 19:00:19,衣服收到了，看着还是可以的，洗过了有点掉色，还没穿，所以还不知道起不起球，当时没有活动，还贴了运费买的，刚收到就搞活动了，所以又买了一件红色的，希望不起球吧
z***i,颜色分类:09 黑色;尺码:155/80A/S,2021-02-09 15:26:39,买了三件了  舒服贴身
清***3,颜色分类:02 浅灰色;尺码:165/92A/XL,2021-02-09 14:53:35,不错，物美价廉。
小***3,颜色分类:17 枣红色;尺码:160/88A/L,2021-02-09 12:56:26,很软，质量不错
简***1,颜色分类:38 深褐色;尺码:165/92A/XL,2021-02-09 11:19:01,好舒服的面料，优衣库不会让人失望
m***8,颜色分类:38 深褐色;尺码:155/80A/S,2021-02-09 10:19:57,这个很舒服穿，想买多件白色没货了
心***9,颜色分类:01 乳白色;尺码:165/92A/XL,2021-02-09 09:15:32,柔软有弹力，喜欢。
行***山,颜色分类:17 枣红色;尺码:160/88A/L,2021-02-09 08:30:30,柔软，但是棉质的还是会更亲肤一些。
一***霞,颜色分类:17 枣红色;尺码:155/80A/S,2021-02-08 22:57:46,疯狂打call 好舒服！
一***霞,颜色分类:17 枣红色;尺码:160/88A/L,2021-02-08 22:57:16,柔软到不行！
笙***说,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-08 21:47:57,线下我也买了好几件，来回换着穿，脖子没有那么紧，对我比较友好因为我又胖了。。。
笙***说,颜色分类:01 乳白色;尺码:170/100B/XXL,2021-02-08 21:47:08,买了好几件，软糯舒服，快递也准时，好评，不错。
那***开,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-08 20:25:46,起球球
c***3,颜色分类:08 深灰色;尺码:155/80A/S,2021-02-08 19:49:13,此用户没有填写评论!
紫***7,颜色分类:08 深灰色;尺码:165/92A/XL,2021-02-08 19:24:52,挺好的
橙***l,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-08 19:04:42,特别好，宽松舒适，价格实惠，好评
婷***1,颜色分类:17 枣红色;尺码:155/80A/S,2021-02-08 18:58:20,手感柔软，但是有点起球，暗红色没有黑色好看。
t***6,颜色分类:38 深褐色;尺码:155/80A/S,2021-02-08 18:56:39,挺好的
t***8,颜色分类:11 粉红色;尺码:160/84A/M,2021-02-08 16:23:28,回购款，给妈妈买的。很宽松的款式，直接穿可按平时尺码，贴身打底可买小一到两个号，弹力很大。颜色很温柔，手感柔软，小灯笼袖好看。
t***8,颜色分类:17 枣红色;尺码:155/80A/S,2021-02-08 16:23:28,回购款。第三件了，之前买的xs号也宽松，高领稍服贴些，用来打底。s更宽松，也有另一种味道。颜色好看好搭的，枣红色。
t***7,颜色分类:17 枣红色;尺码:160/84A/M,2021-02-08 15:09:26,喜欢你了 这款产品第三件了 爱了爱的
t***2,颜色分类:38 深褐色;尺码:160/88A/L,2021-02-08 14:15:09,这种针织衫是宽松版的，我买的是平时穿的码，大了，不换了，太费事了
y***9,颜色分类:11 粉红色;尺码:165/92A/XL,2021-02-08 12:29:55,挺好啊
y***3,颜色分类:01 乳白色;尺码:165/92A/XL,2021-02-08 11:31:11,穿上非常舒服，面料柔软，宽松版型，超级喜欢.
y***3,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-08 11:31:11,穿上非常舒服，面料柔软，宽松版型，超级喜欢.
y***3,颜色分类:17 枣红色;尺码:165/92A/XL,2021-02-08 11:31:11,穿上非常舒服，面料柔软，宽松版型，超级喜欢.
潮***7,颜色分类:02 浅灰色;尺码:155/80A/S,2021-02-08 10:36:10,这件后背有一处勾丝了
t***2,颜色分类:38 深褐色;尺码:155/80A/S,2021-02-08 10:16:39,双十一买了黑色，这次入手褐色。有点起球，但我买的这两色不太容易看出起球，看评论区说白色起球挺明显的。
赵***3,颜色分类:17 枣红色;尺码:160/88A/L,2021-02-07 17:50:06,满意的衣服
你***错,颜色分类:02 浅灰色;尺码:165/92A/XL,2021-02-07 15:19:47,买了两件
t***4,颜色分类:08 深灰色;尺码:155/80A/S,2021-02-07 13:42:42,此用户没有填写评论!
t***4,颜色分类:09 黑色;尺码:155/80A/S,2021-02-07 13:42:42,此用户没有填写评论!
烟***溪,颜色分类:11 粉红色;尺码:160/84A/M,2021-02-07 11:58:09,亲肤柔软，颜色大气，袖口是收紧的，身上也宽松，内外穿都可以
喜***圭,颜色分类:17 枣红色;尺码:165/92A/XL,2021-02-07 10:36:40,回购了一件 打底太合适了
小***沐,颜色分类:09 黑色;尺码:160/88A/L,2021-02-07 04:41:30,第二件，打底从来不嫌多
蜗***奔,颜色分类:17 枣红色;尺码:160/88A/L,2021-02-06 23:58:55,买了深灰色高腰宽腿裤特意买的上衣配！
木***雀,颜色分类:08 深灰色;尺码:165/92A/XL,2021-02-06 23:26:56,性价比非常高🍀，可以放心购买👍，做工非常精致🌈，值得购买😜！
江***鱼,颜色分类:01 乳白色;尺码:165/92A/XL,2021-02-06 22:27:12,前后买了白和黑，都很百搭！断码了，这个码也还行宽松舒服！喜欢宽松点的一般不胖的L码就可以的。
f***7,颜色分类:17 枣红色;尺码:165/92A/XL,2021-02-06 19:59:33,之前在实体店买过黑色的，面料舒适。其他颜色当时没号了，就在网点下单了，正好包邮。但是，下单三天后接到电话，自动语音说缺货，让我退款。但同时，同款同色好还在卖。问客服，回复特别慢。告知我虽然外面显示有货，其实没货。后来我又下了一单同款同色号，当天就发货了。后面仍然有同款同色号在售卖。不知道是什么原因，我怀疑是当时下单用了几块钱的红包，和店铺的首单减钱&hellip;&hellip;后来客服让我申请退款并投诉，最后赔付了30%的红包。真是无语&hellip;&hellip;
f***7,颜色分类:08 深灰色;尺码:165/92A/XL,2021-02-06 19:59:33,之前在实体店买过黑色的，面料舒适。其他颜色当时没号了，就在网点下单了，正好包邮。但是，下单三天后接到电话，自动语音说缺货，让我退款。但同时，同款同色好还在卖。问客服，回复特别慢。告知我虽然外面显示有货，其实没货。后来我又下了一单同款同色号，当天就发货了。后面仍然有同款同色号在售卖。不知道是什么原因，我怀疑是当时下单用了几块钱的红包，和店铺的首单减钱&hellip;&hellip;后来客服让我申请退款并投诉，最后赔付了30%的红包。真是无语&hellip;&hellip;
f***7,颜色分类:38 深褐色;尺码:165/92A/XL,2021-02-06 19:57:45,之前在实体店买过黑色的，面料舒适。其他颜色当时没号了，就在网点下单了，正好包邮。但是，下单三天后接到电话，自动语音说缺货，让我退款。但同时，同款同色好还在卖。问客服，回复特别慢。告知我虽然外面显示有货，其实没货。后来我又下了一单同款同色号，当天就发货了。后面仍然有同款同色号在售卖。不知道是什么原因，我怀疑是当时下单用了几块钱的红包，和店铺的首单减钱&hellip;&hellip;后来客服让我申请退款并投诉，最后赔付了30%的红包。真是无语&hellip;&hellip;
l***u,颜色分类:17 枣红色;尺码:165/92A/XL,2021-02-06 18:14:10,完美打底，买了不同色。
l***u,颜色分类:38 深褐色;尺码:165/92A/XL,2021-02-06 18:14:10,完美打底，买了不同色。
l***7,颜色分类:11 粉红色;尺码:155/80A/S,2021-02-06 18:10:34,终于收到我需要的宝贝了，东西很好，是一次满意的购物经历，很满意。东西正是我需要的，收到的时候包装完整，打开后让我很惊喜的是，实物比我想象中的还要好！不得不竖起大拇指。下次有需要的时候我还会再来的，到时候希望还是像这回一样。
l***7,颜色分类:02 浅灰色;尺码:155/80A/S,2021-02-06 18:10:34,终于收到我需要的宝贝了，东西很好，是一次满意的购物经历，很满意。东西正是我需要的，收到的时候包装完整，打开后让我很惊喜的是，实物比我想象中的还要好！不得不竖起大拇指。下次有需要的时候我还会再来的，到时候希望还是像这回一样。
w***4,颜色分类:09 黑色;尺码:160/84A/M,2021-02-06 16:46:13,舒服，穿了几次也没起球，还挺暖和
那***光,颜色分类:17 枣红色;尺码:165/92A/XL,2021-02-06 16:42:05,喜欢 适合广东过年
草***杰,颜色分类:17 枣红色;尺码:155/80A/S,2021-02-06 14:59:01,衣衣质量很好，保暖舒适，尺码偏大，平时M码这款S刚好，
夜***郎,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-06 13:24:50,可以
澜***辰,颜色分类:11 粉红色;尺码:160/84A/M,2021-02-06 13:22:11,超级舒服颜色超级好看，性价比太高了
喵***谱,颜色分类:08 深灰色;尺码:160/88A/L,2021-02-06 12:55:58,质量很好
t***4,颜色分类:17 枣红色;尺码:155/80A/S,2021-02-06 11:56:00,冲着袖子拍的  实拍图  不错不错很喜欢！不知道黑色褐色还会出现嘛  期待哦～
t***6,颜色分类:01 乳白色;尺码:170/100B/XXL,2021-02-06 10:59:00,白色有点透了，能看到内衣的颜色！
夜***5,颜色分类:08 深灰色;尺码:160/88A/L,2021-02-06 09:17:14,入了深灰，退了褐色，感觉hold不住啊，打底外面配优家的格子衬衫，款式很赞，舒服
夜***5,颜色分类:17 枣红色;尺码:160/88A/L,2021-02-06 09:14:36,168.120，m和l都能穿，质量款式都很好，过年买红色喜庆一点，领子很赞，两用，非常贴合，我脖子不算短，不翻高度也很适合，这个我买了三件三个色，贴身穿也柔软舒服， 还想买买买
d***i,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-06 09:14:30,买大了，希望缩水。颜色柔和，可以。顺丰快递。
曹***1,颜色分类:17 枣红色;尺码:160/88A/L,2021-02-06 08:45:52,颜色不错，喜欢
曹***1,颜色分类:08 深灰色;尺码:160/88A/L,2021-02-06 08:45:18,很好终于抢到了
t***2,颜色分类:11 粉红色;尺码:160/84A/M,2021-02-06 07:16:18,穿上非常舒服，面料柔软，宽松版型，对我们有肚子朋友穿特别遮肉肉，特价买的很划算，就这一种颜色也很喜欢，要是有别的颜在买一件，赞了
u***我,颜色分类:09 黑色;尺码:160/84A/M,2021-02-06 06:38:45,这上衣很不错，买了两件，超级舒服的
温***6,颜色分类:17 枣红色;尺码:160/84A/M,2021-02-06 00:35:24,打折优惠，穿着舒适。
文***笋,颜色分类:09 黑色;尺码:160/84A/M,2021-02-06 00:11:19,oooooooooooook
e***y,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-05 22:55:21,不好意思，确认晚了，产品收到了，包装挺好的，很多次购买了 还是一如既往的好 很开心 物流也还不错。看上去很实在很满意，质量很好。很不错的一次购物，与卖家描述的一模一样。
e***y,颜色分类:38 深褐色;尺码:155/80A/S,2021-02-05 22:53:36,柔软舒适不好意思，确认晚了，产品收到了，包装挺好的，很多次购买了 还是一如既往的好 很开心 物流也还不错。看上去很实在很满意，质量很好。很不错的一次购物，与卖家描述的一模一样。
7***林,颜色分类:01 乳白色;尺码:170/100B/XXL,2021-02-05 22:40:57,东西质量非常好，与卖家描述的完全一致，非常满意正品，买的放心，价钱也公道，满意！是理想中的产品，质量不错，物流也很快，值得点赞
凝***雪,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-05 22:14:24,衣服不错，面料特别舒服
平***w,颜色分类:17 枣红色;尺码:160/84A/M,2021-02-05 21:57:20,价廉物美，喜欢，好看，颜色亮。
b***1,颜色分类:01 乳白色;尺码:170/100B/XXL,2021-02-05 21:38:14,挺容易起球，买大了
古***泉,颜色分类:09 黑色;尺码:155/80A/S,2021-02-05 21:11:27,百搭好穿，155的尺码衣服肩宽平铺38，上身效果不错，脖子那略紧了点
t***9,颜色分类:09 黑色;尺码:155/80A/S,2021-02-05 21:06:06,黑色百搭，这个同款买了三件，还买了酒红色和粉色都很好看，面料非常舒服，1米62 49公斤，买的S号挺合适的，打底和外穿都可以。
t***9,颜色分类:11 粉红色;尺码:155/80A/S,2021-02-05 21:05:03,这款打底面料很舒服，袖子有一点设计感，所以外穿也没有问题，领子虽然有点高，但是不会勒脖子，这个颜色很好看，很衬肤色，同款买了三件。1米62 49公斤，买的S号刚好合适，有点宽松。
i***c,颜色分类:02 浅灰色;尺码:160/88A/L,2021-02-05 19:53:47,好看！很柔软
兔***仔,颜色分类:38 深褐色;尺码:160/84A/M,2021-02-05 19:10:40,这个颜色很好看哦
