displayUserNick,auctionSku,rateDate,rateContent
水***象,颜色分类:31 米色;尺码:160/88A/L,2021-02-27 13:02:40,正合适，满意。
夏***c,颜色分类:69 藏青色;尺码:165/92A/XL,2021-02-09 19:24:01,好好穿～好暖和！！跟我姑娘亲子装～
y***i,颜色分类:69 藏青色;尺码:165/92A/XL,2021-02-09 13:38:37,好
l***7,颜色分类:09 黑色;尺码:160/88A/L,2021-02-09 13:11:05,宝贝质量很好，价格实惠公道，老婆很喜欢，值得拥有和推荐一下！！！
h***d,颜色分类:35 浅褐色;尺码:165/92A/XL,2021-02-09 09:08:23,非常好，在门店里试过的，但是码没有的。网上看看，刚刚好有货，赶紧下单。
泡***芙,颜色分类:31 米色;尺码:160/88A/L,2021-02-08 15:31:05,158 50买了l号给大家做个参考 质量很好，就是袖子没有绒，有点冷
t***6,颜色分类:09 黑色;尺码:160/84A/M,2021-02-08 15:14:22,衣服质量很好，多次购买
l***4,颜色分类:31 米色;尺码:160/88A/L,2021-02-08 11:45:28,很好，亲肤保暖，本人161高，106斤，M码很合身！
金***箩,颜色分类:25 橙色;尺码:165/92A/XL,2021-02-07 21:06:12,中间身上的绒毛暖和，可袖子没有绒毛！149元买的
芳***5,颜色分类:31 米色;尺码:165/92A/XL,2021-02-07 18:44:37,门店没有码数了，果断到官店来买，和门店的一样，质量没的说，一直买优衣库
姚***4,颜色分类:35 浅褐色;尺码:160/84A/M,2021-02-07 08:32:16,喜欢
f***2,颜色分类:69 藏青色;尺码:165/92A/XL,2021-02-06 21:28:20,物流快！衣服质量满意！
福***媛,颜色分类:25 橙色;尺码:170/100B/XXL,2021-02-06 21:07:21,橘色很衬肤色，很好看！
x***7,颜色分类:69 藏青色;尺码:160/84A/M,2021-02-06 12:56:48,很好，品控质量一流，十年一直买这个品牌
d***s,颜色分类:31 米色;尺码:160/88A/L,2021-02-06 08:08:12,好看，暖和。
t***2,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-05 21:14:53,很合适，很喜欢！优衣库的衣服可以！
小***9,颜色分类:31 米色;尺码:165/92A/XL,2021-02-05 16:33:06,164 106穿着刚刚好，实体店没有了，在网上看见有跟老公一人一件，又暖和又便宜 好评，不掉毛 冬天穿而且没有什么静电 优衣库以后质量不错
冷***少,颜色分类:64 湖蓝色;尺码:160/88A/L,2021-02-05 13:39:13,宝贝很不错！
缌***随,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-04 23:15:46,还可以
愿***a,颜色分类:31 米色;尺码:160/84A/M,2021-02-04 22:22:56,好看，可惜天气热了
力***易,颜色分类:31 米色;尺码:165/92A/XL,2021-02-04 21:05:01,身上有绒，两袖子没有绒哦，单薄了点
如***4,颜色分类:31 米色;尺码:160/88A/L,2021-02-04 13:32:05,衣服不错 就是快递啊 你为什么中途静止不动了呢 我以为年后才能到呢
y***8,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-03 18:30:06,还可以，穿起来不显胖，不臃肿，也保暖
a***l,颜色分类:31 米色;尺码:160/84A/M,2021-02-03 13:41:04,不错！
y***n,颜色分类:06 铅灰色;尺码:165/92A/XL,2021-02-03 13:05:01,还可以，身高160.体重120刚刚好
珍***8,颜色分类:35 浅褐色;尺码:160/88A/L,2021-02-02 21:12:33,好！很好！非常好！
k***n,颜色分类:31 米色;尺码:160/88A/L,2021-02-02 13:00:18,满意
d***e,颜色分类:69 藏青色;尺码:165/92A/XL,2021-02-01 22:05:04,暖和，划算，上夜班穿刚刚好
维***术,颜色分类:09 黑色;尺码:160/88A/L,2021-02-01 19:56:28,还行
张***7,颜色分类:31 米色;尺码:160/84A/M,2021-02-01 18:37:38,合适
张***7,颜色分类:06 铅灰色;尺码:160/84A/M,2021-02-01 18:37:38,合适
我***g,颜色分类:25 橙色;尺码:170/100B/XXL,2021-02-01 16:11:48,面料材质：还不错
c***j,颜色分类:31 米色;尺码:165/92A/XL,2021-02-01 02:01:49,优衣库物美价廉
t***0,颜色分类:69 藏青色;尺码:160/84A/M,2021-02-01 01:05:15,跟我在实体店买的一模一样！还是一样的好，开心
t***0,颜色分类:31 米色;尺码:160/88A/L,2021-02-01 01:02:27,宝贝心仪很久了，趁活动时候买真的太划算了，喜欢的不要犹豫啊
x***y,颜色分类:06 铅灰色;尺码:170/100B/XXL,2021-01-31 23:36:04,收到货后试了一下，喜欢穿的宽松点儿，特意买大一码，值得拥有。
m***4,颜色分类:06 铅灰色;尺码:165/92A/XL,2021-01-31 23:06:37,配阿姨逛街 阿姨看上了同款，袖子里面是没有毛的，外面再穿羽绒服也不会影响抬手
张***7,颜色分类:09 黑色;尺码:160/84A/M,2021-01-31 19:36:30,合适
张***7,颜色分类:25 橙色;尺码:160/84A/M,2021-01-31 19:36:30,合适
陆***9,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-31 19:10:57,我的身高体重：155，120 面料材质：棉 搭配建议：搭配的优家的毛呢A字裙，也可以搭牛仔裤 版型风格：休闲 整体评价：前后身里面有绒，袖子上没有，不过袖子里面是毛圈的，感觉也挺厚
月***非,颜色分类:09 黑色;尺码:160/84A/M,2021-01-31 17:44:28,160穿了比较小
j***1,颜色分类:31 米色;尺码:160/84A/M,2021-01-31 17:01:09,正品，比店里便宜了好多，好喜欢！
c***c,颜色分类:31 米色;尺码:165/92A/XL,2021-01-31 16:06:49,一直没失望过，跟老妈一人一件，很满意，毛毛也比往年的要厚实，满意
c***c,颜色分类:09 黑色;尺码:160/88A/L,2021-01-31 16:05:34,比男装厚多了，毛比往年的也好太多，羊羔毛的，也厚，对优衣库没失望过，这个颜色买给老**，穿的我很好
h***e,颜色分类:35 浅褐色;尺码:165/92A/XL,2021-01-31 13:34:54,很好
艳***鱼,颜色分类:31 米色;尺码:160/88A/L,2021-01-31 12:26:19,好评！
l***3,颜色分类:35 浅褐色;尺码:165/92A/XL,2021-01-31 09:53:22,买给妈妈，妈妈很喜欢。
搞***质,颜色分类:31 米色;尺码:165/92A/XL,2021-01-30 21:18:36,垃圾快递。
乔***o,颜色分类:31 米色;尺码:160/84A/M,2021-01-30 21:00:38,整体评价：不错 面料材质：比较软 版型风格：修身 搭配建议：休闲
方***1,颜色分类:31 米色;尺码:160/84A/M,2021-01-30 20:28:42,好
j***3,颜色分类:09 黑色;尺码:170/100B/XXL,2021-01-30 18:42:15,物美价廉，有活动的时候囤点真的蛮好的。
我***娃,颜色分类:64 湖蓝色;尺码:160/84A/M,2021-01-30 17:05:59,在店里试了，但没码数了，有点雾霾蓝
m***y,颜色分类:25 橙色;尺码:170/100B/XXL,2021-01-30 13:49:44,一如既往地很好！
辰***界,颜色分类:35 浅褐色;尺码:160/88A/L,2021-01-30 10:08:43,整体评价：试穿很棒，衣服质量好
s***p,颜色分类:31 米色;尺码:160/84A/M,2021-01-30 09:36:02,衣服不错，穿上暖和舒服
黯***妹,颜色分类:31 米色;尺码:150/76A/XS,2021-01-29 21:55:14,面料材质：很舒服，轻便但暖 版型风格：非常好看，我个子不高穿也好看
t***9,颜色分类:69 藏青色;尺码:165/92A/XL,2021-01-29 21:03:24,不错
c***混,颜色分类:31 米色;尺码:160/88A/L,2021-01-29 13:22:45,质量没得说，跟专卖店一样，特别特别喜欢，而且价格优惠
黄***a,颜色分类:35 浅褐色;尺码:165/92A/XL,2021-01-29 12:37:06,挺好的。
y***4,颜色分类:31 米色;尺码:165/92A/XL,2021-01-29 08:09:23,衣服质量没有以前后了，现在质量太薄了
娃***0,颜色分类:31 米色;尺码:170/100B/XXL,2021-01-28 21:39:13,跟专柜的一样
奶***a,颜色分类:06 铅灰色;尺码:170/100B/XXL,2021-01-28 18:53:54,非常满意！很柔软舒适
下***啦,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-01-27 21:18:36,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物， 再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好!不得不得竖起大拇指，希望更多的朋友信赖。店主态度特好，下次还来希望下次还有机会合作祝你生意兴隆质量非常好真出乎我的意料包装非常仔细非常感谢。祝生意兴隆。"
里***楞,颜色分类:64 湖蓝色;尺码:165/92A/XL,2021-01-27 20:25:09,很好！店里没货了，网购香！
z***1,颜色分类:69 藏青色;尺码:165/92A/XL,2021-01-27 19:03:59,好
n***a,颜色分类:06 铅灰色;尺码:160/88A/L,2021-01-27 17:25:50,之前买过铅灰色的裤子，这次就拍了铅灰色的外套凑成一身了。衣服很保暖，但袖子里面没有绒毛。拍的时候赶上活动价129挺优惠的，五分好评了。
c***e,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-27 16:44:03,此用户没有填写评论!
c***n,颜色分类:25 橙色;尺码:165/92A/XL,2021-01-27 11:17:35,打底非常不错！又轻薄又保暖，打折很便宜～值得购买！
c***k,颜色分类:31 米色;尺码:165/92A/XL,2021-01-27 00:04:50,不错的 超级柔软 暖乎乎毛茸茸
黄***子,颜色分类:64 湖蓝色;尺码:160/88A/L,2021-01-26 19:16:05,手居然没有加绒
t***7,颜色分类:35 浅褐色;尺码:155/80A/S,2021-01-26 16:06:29,好东西质量非常好。下次一定还会回来的呢。卖家态度很热情，发货速度很快。
b***8,颜色分类:69 藏青色;尺码:165/92A/XL,2021-01-26 14:50:40,袖子是薄的，不过也是很暖和
w***i,颜色分类:64 湖蓝色;尺码:170/100B/XXL,2021-01-25 14:59:08,有点小不适合140斤的我，袖子没有毛，129元性价比不太高。
2***a,颜色分类:35 浅褐色;尺码:160/84A/M,2021-01-25 11:54:37,网上149，门店199，还是网店更优惠
l***o,颜色分类:25 橙色;尺码:165/92A/XL,2021-01-25 00:19:04,给闺蜜带的，大小合适，我们这里店铺号码不全了
t***0,颜色分类:25 橙色;尺码:165/92A/XL,2021-01-24 23:08:36,很舒服，保暖性也👌
森***9,颜色分类:25 橙色;尺码:155/80A/S,2021-01-24 20:03:02,暖和修身，最重要的是没有静电，绝对纯棉
l***5,颜色分类:25 橙色;尺码:165/92A/XL,2021-01-24 07:37:17,质量很好，但袖子是单层的
l***g,颜色分类:31 米色;尺码:155/80A/S,2021-01-24 00:30:02,舒适且保暖
t***0,颜色分类:35 浅褐色;尺码:160/88A/L,2021-01-23 21:02:42,没想到优衣库的衣服这么舒服&hellip;这件版型也很好看
w***q,颜色分类:06 铅灰色;尺码:170/100B/XXL,2021-01-23 20:48:44,挺好的，舒服
你***6,颜色分类:31 米色;尺码:160/84A/M,2021-01-23 19:48:26,很好
放***猪,颜色分类:09 黑色;尺码:160/88A/L,2021-01-23 19:42:14,优家深粉，每次入优家衣衣只要相中样子，选好自己号码。然后闭眼入，收到货后一定是超级合适喜欢，超爱！
y***8,颜色分类:25 橙色;尺码:170/100B/XXL,2021-01-23 02:15:00,很好
8***d,颜色分类:25 橙色;尺码:170/100B/XXL,2021-01-22 23:54:34,160-92斤。。。XXL都不觉得大。未达到oversize￼风格￼￼
天***汝,颜色分类:09 黑色;尺码:170/100B/XXL,2021-01-22 22:44:13,这衣服，除了胳膊是真厚实啊，胳膊就是毛圈单层，这个操作也是无语，不过在办公室穿穿很方便。买大了两个码依然没有感觉很大。
富***熙,颜色分类:31 米色;尺码:160/88A/L,2021-01-22 19:15:36,很好
t***0,颜色分类:06 铅灰色;尺码:160/84A/M,2021-01-22 18:51:55,颜色不是自己想要的，懒得退了，将就穿哈
j***7,颜色分类:31 米色;尺码:160/84A/M,2021-01-22 18:41:12,此用户没有填写评论!
j***7,颜色分类:06 铅灰色;尺码:160/84A/M,2021-01-22 18:41:12,此用户没有填写评论!
t***9,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-22 17:45:37,优衣库的衣服穿起来确实不错，舒服保暖，价格也亲民，很不错。
精***女,颜色分类:06 铅灰色;尺码:160/88A/L,2021-01-22 11:01:06,比平台推荐的买大一码，结果非常合身，衣服摸着很柔软舒服，物美价廉
1***3,颜色分类:31 米色;尺码:160/84A/M,2021-01-21 15:30:25,我的身高体重：156/50 刚好合适 两个袖子不加绒 有点点凉 还有口袋比较浅 手机漏半截出来 其他都挺好
t***6,颜色分类:31 米色;尺码:155/80A/S,2021-01-21 14:40:09,袖子没有会比较冷的吧
里***z,颜色分类:25 橙色;尺码:165/92A/XL,2021-01-20 20:54:42,给妈妈买的 很ok妈妈喜欢
x***8,颜色分类:35 浅褐色;尺码:155/80A/S,2021-01-20 19:31:35,厚实，很舒服，就是颜色有点色差
快***贝,颜色分类:31 米色;尺码:165/92A/XL,2021-01-20 19:11:43,非常暖和！一如既往的喜欢！
t***h,颜色分类:25 橙色;尺码:165/92A/XL,2021-01-20 12:34:31,好看
t***h,颜色分类:25 橙色;尺码:160/88A/L,2021-01-20 12:34:30,好看
夏***0,颜色分类:31 米色;尺码:165/92A/XL,2021-01-20 11:01:11,好
还***颖,颜色分类:31 米色;尺码:170/100B/XXL,2021-01-19 22:12:34,衣服很好看！
西***9,颜色分类:31 米色;尺码:170/100B/XXL,2021-01-19 17:10:37,此用户没有填写评论!
浅***思,颜色分类:35 浅褐色;尺码:160/84A/M,2021-01-19 16:18:00,挺不错的，优衣库这个价格还是值得入的
z***4,颜色分类:31 米色;尺码:165/92A/XL,2021-01-19 14:33:56,很合身，很暖和，158/55穿这个码挺合适
l***g,颜色分类:06 铅灰色;尺码:165/92A/XL,2021-01-19 10:01:23,衣服很柔软，但袖子太薄了，和身上厚度差太多不确定什么时候穿合适。
安***主,颜色分类:31 米色;尺码:160/88A/L,2021-01-18 21:10:56,大小合适，做工挺好，料子也舒服，就是颜色让我误以为发错货，米色看起来也像灰色
未***忘,颜色分类:25 橙色;尺码:170/100B/XXL,2021-01-18 14:47:13,老妈126在店里试了XL还是小，店员说只能网上送货到家，干脆就来天猫旗舰店买了，合适
h***q,颜色分类:25 橙色;尺码:170/100B/XXL,2021-01-18 11:52:37,衣服很柔软，橙色好看，比图片暗一点
j***4,颜色分类:69 藏青色;尺码:165/92A/XL,2021-01-18 09:42:55,袖子没有绒，冬天有点尴尬😅
简***o,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-18 07:03:41,好
超***e,颜色分类:06 铅灰色;尺码:165/92A/XL,2021-01-17 19:42:47,整体都还不错
a***3,颜色分类:09 黑色;尺码:170/100B/XXL,2021-01-16 20:56:54,很不错，就是袖子部分没有绒，穿着手臂有点冷
t***n,颜色分类:31 米色;尺码:160/88A/L,2021-01-16 20:51:50,买了两件
t***8,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-16 20:28:34,暖和
烟***欺,颜色分类:31 米色;尺码:165/92A/XL,2021-01-16 12:25:01,米色其实更像浅灰色。衣服里的毛毛手感特别好。买来在家随意穿穿感觉挺不错
奥***1,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-16 07:39:06,好 很好
守***星,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-16 02:18:04,优衣库的衣服基本不出错，很暖和。
苹***6,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-15 22:12:51,还行
哈***姐,颜色分类:31 米色;尺码:170/100B/XXL,2021-01-15 22:11:13,颜色不好看
橙***0,颜色分类:09 黑色;尺码:155/80A/S,2021-01-15 20:34:26,很暖和，不错，衣服也不重
唱***零,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-15 11:19:56,好评
c***3,颜色分类:64 湖蓝色;尺码:165/92A/XL,2021-01-14 22:55:01,质量好，换货服务也很好。
木***尔,颜色分类:31 米色;尺码:165/92A/XL,2021-01-14 22:40:08,不错
小***e,颜色分类:31 米色;尺码:160/84A/M,2021-01-14 21:27:39,很好穿
y***0,颜色分类:31 米色;尺码:165/92A/XL,2021-01-14 18:23:11,OK
y***0,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-14 18:22:48,OK
y***0,颜色分类:35 浅褐色;尺码:165/92A/XL,2021-01-14 18:22:48,OK
h***9,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-14 18:00:39,OK，可惜没有帽子里面是黑色的了
浪***舞,颜色分类:25 橙色;尺码:160/88A/L,2021-01-14 14:09:10,很满意，跟商场里试穿的一样。
z***2,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-01-14 08:36:42,之前买过一件黑色终于等到藏青色有尺码了
沉***8,颜色分类:64 湖蓝色;尺码:160/84A/M,2021-01-13 22:35:03,好看
v***1,颜色分类:06 铅灰色;尺码:160/84A/M,2021-01-13 20:21:48,给妈妈买的，拉链的话，稍微窄了点，但买大一码，袖子又太长了
t***1,颜色分类:31 米色;尺码:160/88A/L,2021-01-13 19:41:09,还不错
t***1,颜色分类:35 浅褐色;尺码:160/88A/L,2021-01-13 17:59:10,好舒服好软和爱了爱了 版型风格：很正 我的身高体重：160cm/45kg 大码刚刚好（里面有衣服
想***吗,颜色分类:06 铅灰色;尺码:170/100B/XXL,2021-01-13 12:48:41,性价比很高 虽然还没开始穿
y***y,颜色分类:09 黑色;尺码:170/100B/XXL,2021-01-13 11:50:08,这是一个好评模版很好很好很好很好很好很好很好很好这是一个好评模版很好很好很好很好很好很好很好很好这是一个好评模版很好很好很好很好很好很好很好很好这是一个好评模版很好很好很好很好很好很好很好很好这是一个好评模版很好很好很好很好很好很好很好很好这是一个好评模版很好很好很好很好很好很好很好很好
t***7,颜色分类:31 米色;尺码:165/92A/XL,2021-01-13 06:50:30,买大了一个码穿着合适
猴***宏,颜色分类:31 米色;尺码:170/100B/XXL,2021-01-12 22:49:11,167.，56穿l，袖子刚好到手心一半，内搭外穿都可
t***5,颜色分类:31 米色;尺码:160/88A/L,2021-01-12 20:44:31,149入手的，特别喜欢！ 优衣库，物美价廉。
s***h,颜色分类:25 橙色;尺码:170/100B/XXL,2021-01-12 19:15:23,跟实体店不一样
t***0,颜色分类:69 藏青色;尺码:165/92A/XL,2021-01-12 09:53:25,衣服料子和样子都很好是我喜欢的类型！
d***n,颜色分类:64 湖蓝色;尺码:170/100B/XXL,2021-01-11 20:37:46,超好 最近两年爱上了优衣库 嘻嘻嘻 很舒服
l***6,颜色分类:25 橙色;尺码:170/100B/XXL,2021-01-11 19:23:28,以前也买过这款，感觉挺不错，趁价格好，又买了四件给四个老人家，轻便又暖和，很舒服，也很好搭配，随便套上就能出门，棒！
l***6,颜色分类:25 橙色;尺码:160/88A/L,2021-01-11 19:23:27,以前也买过这款，感觉挺不错，趁价格好，又买了四件给四个老人家，轻便又暖和，很舒服，也很好搭配，随便套上就能出门，棒！
周***1,颜色分类:35 浅褐色;尺码:160/84A/M,2021-01-11 19:04:22,160 90斤 M码非常合身，好看
z***9,颜色分类:64 湖蓝色;尺码:160/88A/L,2021-01-11 13:17:34,网上比实体店便宜，这两天天气阴冷，袖子没有绒还是穿不了
t***1,颜色分类:31 米色;尺码:160/88A/L,2021-01-11 13:01:56,很好，也很暖和，适合在空调间办公室穿，袖子虽然没毛毛，但是也不冷的，不错
m***风,颜色分类:06 铅灰色;尺码:165/92A/XL,2021-01-11 10:19:05,物流快，质量很好，很暖和，舒服！
k***x,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-11 09:58:00,行，有优惠
夕***6,颜色分类:31 米色;尺码:165/92A/XL,2021-01-10 22:16:21,身高168买了xl，感觉还行吧，可能xxl更好，女装衣长真是捉急啊，冬装都做那么短
5***a,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-01-10 22:07:37,不错 就是价格波动好大 才刚收货就降价
t***9,颜色分类:35 浅褐色;尺码:160/84A/M,2021-01-10 22:02:26,一如既往的好，之前有一段时间特别喜欢这条运动裤和连帽外套，但是最终249没下去手，一晃两年过去了，终于降到可接受的程度了，裤子的版型可以再进步一些，卫衣也很好看
w***0,颜色分类:06 铅灰色;尺码:165/92A/XL,2021-01-10 21:20:05,宝贝收到了，还没有打开，最近买了太多的东西！很少有退回货的习惯，浪费时间和精力，只要差不多都会签收，如今网购太方便了了，要努力赚钱钱！才会买到更好，更好的！！！！！！
胡***ツ,颜色分类:31 米色;尺码:170/100B/XXL,2021-01-10 21:06:01,线下没有想要的码数， 163，50kg穿xxl很宽松，到屁股下面，有点后悔没买xl，比较喜欢偏合身一点的
林***e,颜色分类:31 米色;尺码:165/92A/XL,2021-01-10 20:14:41,很好
骑***女,颜色分类:31 米色;尺码:165/92A/XL,2021-01-10 19:07:15,里面的毛毛很柔软舒服，买来当居家服穿，尺寸有点选大了，L码应该就行了。
折***夜,颜色分类:31 米色;尺码:160/84A/M,2021-01-10 18:37:42,129买的，特别划算，希望内层不会掉毛。
l***8,颜色分类:06 铅灰色;尺码:155/80A/S,2021-01-10 16:52:20,买了两件外套，一件给姐姐，一个给弟弟 他俩超喜欢，依依灰常百搭又保暖，简直爱的不要不要哒！好评！五星
m***8,颜色分类:09 黑色;尺码:170/100B/XXL,2021-01-10 15:13:04,身高164 体重116 买的XXL很好！长度很够！也不显大 黑色百搭 挺暖和的，里面可以搭个黑色高领打底衫！nice！
梧***i,颜色分类:64 湖蓝色;尺码:160/84A/M,2021-01-10 13:26:45,不错，很保暖，大爱优衣库
宝***7,颜色分类:09 黑色;尺码:170/100B/XXL,2021-01-10 11:03:02,还不错，大小合适
j***e,颜色分类:06 铅灰色;尺码:155/80A/S,2021-01-09 22:55:33,正品，很好
z***6,颜色分类:06 铅灰色;尺码:170/100B/XXL,2021-01-09 22:53:28,很满意
z***8,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-09 22:24:03,同事买了推荐给我的，穿着很舒服，很喜欢～
小***贝,颜色分类:31 米色;尺码:160/84A/M,2021-01-09 20:56:43,保暖性好，适合南方。
z***3,颜色分类:25 橙色;尺码:165/92A/XL,2021-01-09 18:29:08,满意
飞***购,颜色分类:69 藏青色;尺码:165/92A/XL,2021-01-09 14:32:50,很好，如果有袖子也加绒的款就好了。买大了两码，稍显宽松。
摩***墓,颜色分类:64 湖蓝色;尺码:160/84A/M,2021-01-09 13:40:54,去年买过一件，很好穿，里外都不容易起球，内穿外搭都可以，使用率很高，可惜袖子被84褪色了，今年再买一件，只不过没有去年的灰绿色了，个人更喜欢那个颜色。给妈妈也买了一件，她也满意。
