displayUserNick,auctionSku,rateDate,rateContent
r***3,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-27 09:38:14,挺好的
简***女,颜色分类:51 嫩绿色;尺码:155/80A/S,2021-02-07 22:48:22,人是有执念的，就如对这件清新绿的卫衣的念念不忘，一见倾心的色彩淡然得刚刚好，速干的面料提升了衣服的质感和廓形。因为腿型不够好，所以一年四季几乎都穿裙子的我，还是更喜欢用这件卫衣去搭配裙子，而且很合我心意的长度适合搭很多风格的裙子。
l***7,颜色分类:51 嫩绿色;尺码:160/88A/L,2021-02-07 18:38:38,可以
e***t,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-07 18:35:38,材料很舒服，颜色很奶的那种，超喜欢
如***3,颜色分类:14 玛瑙红色;尺码:165/92A/XL,2021-02-07 16:08:45,满意，颜色挺好看的，面料有点像太空棉那种，但不厚
浅***9,颜色分类:01 乳白色;尺码:170/100B/XXL,2021-02-06 15:36:15,太空棉的材质
莫***0,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-05 09:03:26,太空棉类型的，但是比较薄
w***j,颜色分类:51 嫩绿色;尺码:160/84A/M,2021-02-04 16:30:46,此用户没有填写评论!
牧***7,颜色分类:05 天灰色;尺码:160/84A/M,2021-02-04 14:34:57,好
旺***0,颜色分类:08 深灰色;尺码:165/92A/XL,2021-02-04 11:22:12,好
旺***0,颜色分类:14 玛瑙红色;尺码:160/88A/L,2021-02-04 11:22:12,好
不***霞,颜色分类:05 天灰色;尺码:160/88A/L,2021-02-03 00:33:42,好看，超级喜欢😘
毛***e,颜色分类:51 嫩绿色;尺码:155/80A/S,2021-02-02 14:17:36,S和m都买了，大小没差多少，春天穿可以，短款的，颜色好看
毛***e,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-02 14:17:36,S和m都买了，大小没差多少，春天穿可以，短款的，颜色好看
t***7,颜色分类:51 嫩绿色;尺码:150/76A/XS,2021-02-02 11:39:51,面料材质都还挺好的，布料舒适，整体穿着感觉也行。
h***8,颜色分类:51 嫩绿色;尺码:155/80A/S,2021-02-01 22:11:56,太空棉的，还行
悠***s,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-01 15:18:12,年货节经常屯优衣库的衣服，基础百搭～～
l***0,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-01 11:42:08,好
薇***娜,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-01 10:38:13,优衣库的旺旺客服永远都没活人！！！差评！！！
清***4,颜色分类:05 天灰色;尺码:160/88A/L,2021-01-31 16:23:02,好看
哎***卜,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-31 11:53:35,值得购买的产品，做工非常精细，比想象中的好，推荐大家尝试
矮***呀,颜色分类:51 嫩绿色;尺码:155/80A/S,2021-01-30 12:34:27,好看的，绿色显白～穿着很舒服，冰凉凉，实体店199，搞活动线上129入的。
梦***y,颜色分类:14 玛瑙红色;尺码:175/108C/XXXL,2021-01-29 23:33:21,很满意，面料滑溜，颜色很正
小***5,颜色分类:05 天灰色;尺码:160/84A/M,2021-01-29 21:15:16,显瘦，颜色好搭。
s***8,颜色分类:14 玛瑙红色;尺码:155/80A/S,2021-01-29 20:53:12,非常满意！如果有小肚子的话不推荐这件衣服短款，刚好露出小腹。
秋***p,颜色分类:08 深灰色;尺码:160/88A/L,2021-01-29 15:42:46,第一次买小了，换大一码，商家态度很好，给五星好评。
静***5,颜色分类:51 嫩绿色;尺码:165/92A/XL,2021-01-28 13:47:44,好评
x***1,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-28 12:40:49,挺不错的，好看好看，物流很快
t***3,颜色分类:51 嫩绿色;尺码:160/84A/M,2021-01-28 11:42:01,一如既往地好
花***7,颜色分类:30 浅米色;尺码:160/84A/M,2021-01-28 10:54:53,好评
e***7,颜色分类:01 乳白色;尺码:165/92A/XL,2021-01-28 09:36:21,超级好穿，类似太空棉的面料，穿着蛮舒服，衣服裁剪流畅，帽子设计的非常好看，挺括有型。正常号码入手即可，稍微有些短款，搭配运动裤帅极了。
恋***米,颜色分类:14 玛瑙红色;尺码:165/92A/XL,2021-01-27 20:13:31,普通人穿优衣库🙈这个衣服料子起静电哦
蜻***3,颜色分类:51 嫩绿色;尺码:150/76A/XS,2021-01-27 13:27:19,帽子大，有点高腰款，绿色很有春天的气息
w***b,颜色分类:01 乳白色;尺码:150/76A/XS,2021-01-27 11:40:18,有弹力，穿上舒服有型。是我想要的样子 。闭眼入。
马***先,颜色分类:51 嫩绿色;尺码:160/84A/M,2021-01-27 11:13:29,可以，穿起来很好看。
k***g,颜色分类:01 乳白色;尺码:170/100B/XXL,2021-01-26 21:16:43,很满意
m***i,颜色分类:01 乳白色;尺码:150/76A/XS,2021-01-26 20:28:14,面料有点像太空棉 有一定的括型 秋春适合
清***7,颜色分类:05 天灰色;尺码:160/84A/M,2021-01-26 20:23:11,衣服穿在身上很舒服，尺码按照平时的去拍就行，好看的。
清***7,颜色分类:14 玛瑙红色;尺码:160/84A/M,2021-01-26 20:23:11,很喜欢这件衣服，尺码标准好看，关注很久了趁这次搞活动一口气买了俩件。
l***e,颜色分类:14 玛瑙红色;尺码:150/76A/XS,2021-01-26 18:38:44,红色颜色如图，嗯...个人不大喜欢实物的红色.懒得退了
y***9,颜色分类:14 玛瑙红色;尺码:170/100B/XXL,2021-01-26 17:36:17,颜色很正，很亮眼呀，过年穿喜庆。不是修身款，版型大，瘦的姐妹最好买小一号。
轻***8,颜色分类:05 天灰色;尺码:170/100B/XXL,2021-01-25 22:24:06,好评！
老***空,颜色分类:14 玛瑙红色;尺码:165/92A/XL,2021-01-25 10:23:59,挺好的，跟店里一样。
a***n,颜色分类:14 玛瑙红色;尺码:160/88A/L,2021-01-25 07:52:39,还没穿就降价快一半，真是醉了
若***妹,颜色分类:51 嫩绿色;尺码:150/76A/XS,2021-01-24 18:54:31,很好看！颜色很清新。期待春天
a***8,颜色分类:51 嫩绿色;尺码:160/88A/L,2021-01-24 09:33:14,168  55kg穿L刚好，短款，里面套个长打底不错。颜色美
t***7,颜色分类:05 天灰色;尺码:170/100B/XXL,2021-01-23 12:43:32,好看
m***目,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-23 12:37:41,差评，刚收货就降价，瞬间没穿的想法了
o***子,颜色分类:05 天灰色;尺码:160/88A/L,2021-01-21 20:20:05,给表妹买的，穿着显青春
m***4,颜色分类:14 玛瑙红色;尺码:160/88A/L,2021-01-20 12:52:38,颜色很鲜艳，是正红
荷***萍,颜色分类:51 嫩绿色;尺码:165/92A/XL,2021-01-17 21:03:40,价格略贵，但颜色很仙
王***3,颜色分类:01 乳白色;尺码:165/92A/XL,2021-01-17 16:30:20,刚收到货就降价100元   联系客服服务态度差  还不给退差价  差评差评
兜***糖,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-16 08:22:43,抱着试试看的心态买了这个小吸尘器，拿到快递后第一时间打开用了，白色很有质感，橡皮灰灰尘残渣神**很轻松就吸入了，孩子学习效率也高了不错是好东西
吧***y,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-15 16:03:17,好评
豆***7,颜色分类:51 嫩绿色;尺码:160/88A/L,2021-01-14 17:07:28,很好看
豆***7,颜色分类:14 玛瑙红色;尺码:160/84A/M,2021-01-14 17:07:28,颜色好看！
璐***蜜,颜色分类:14 玛瑙红色;尺码:165/92A/XL,2021-01-14 08:15:52,很轻，所以很薄，这种穿了是不暖和的，颜色倒是我喜欢的。
凤***0,颜色分类:51 嫩绿色;尺码:160/84A/M,2021-01-13 17:02:09,版型很好
t***9,颜色分类:51 嫩绿色;尺码:160/88A/L,2021-01-12 00:26:31,帽子是很挺的那种，绿色还行吧，没图片好看
悦***晶,颜色分类:51 嫩绿色;尺码:155/80A/S,2021-01-10 20:27:41,面料柔软舒适，里面可以搭配底衫，搭配白裤子很好看
s***o,颜色分类:14 玛瑙红色;尺码:160/84A/M,2021-01-10 18:15:50,短款，速干，颜色挺正的。
t***4,颜色分类:05 天灰色;尺码:160/88A/L,2021-01-10 15:10:44,面料好舒服，非常好穿减龄的卫衣，爱了
y***饭,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-07 10:24:00,不错
c***7,颜色分类:14 玛瑙红色;尺码:165/92A/XL,2021-01-06 19:12:22,颜色很正，偏宽松
y***z,颜色分类:05 天灰色;尺码:175/108C/XXXL,2021-01-06 18:56:14,颜色挺喜欢的，因不喜太短小，尺码买大了2号，稍显宽松了些。
s***i,颜色分类:14 玛瑙红色;尺码:160/84A/M,2021-01-06 09:14:59,东西很好，服务很棒。
兔***9,颜色分类:05 天灰色;尺码:160/84A/M,2021-01-04 22:03:13,颜色很棒，触感轻柔
w***y,颜色分类:51 嫩绿色;尺码:160/84A/M,2021-01-04 14:21:57,这款之前就买过，好穿，今年出了新颜色，绿色很喜欢，很正
钱***悦,颜色分类:51 嫩绿色;尺码:155/80A/S,2021-01-03 20:52:19,很好看，店里面试过了，很轻，颜色也不夸张，很可以
啊***得,颜色分类:51 嫩绿色;尺码:155/80A/S,2021-01-02 17:39:28,此用户没有填写评论!
t***5,颜色分类:05 天灰色;尺码:175/108C/XXXL,2020-12-23 08:38:02,剪裁 面料 颜色都令人满意
