displayUserNick,auctionSku,rateDate,rateContent
李***9,颜色分类:31 米色;尺码:160/88A/L,2021-02-26 21:25:43,好
很***气,颜色分类:46 鹅黄色;尺码:160/84A/M,2021-02-08 20:37:49,超级好看 版型绝了 是一件乍看平平无奇 穿上身好看max的套头衫
圆***7,颜色分类:31 米色;尺码:150/76A/XS,2021-02-08 14:15:14,先买了裤子看到有同色上衣特别心动，看着是会显肩宽的版型，所以选了最小号，刚开始有点不习惯因为太短了，160/96
y***8,颜色分类:71 浅蓝紫色;尺码:165/92A/XL,2021-02-07 11:11:28,很好，做活动时准备再入一件米色的
p***g,颜色分类:09 黑色;尺码:160/88A/L,2021-02-06 07:45:44,很好看呀！哈哈哈😄！
t***9,颜色分类:31 米色;尺码:155/80A/S,2021-02-05 13:12:31,百搭款，短短的，
t***6,颜色分类:31 米色;尺码:155/80A/S,2021-02-03 12:43:18,颜色好高级 喜欢~有点泡泡袖的设计 显肩宽 短款设计显腰细 必入单品👌
c***5,颜色分类:71 浅蓝紫色;尺码:155/80A/S,2021-02-03 07:51:24,款式颜色都好好看，就等春天啦
e***7,颜色分类:31 米色;尺码:160/84A/M,2021-02-01 12:19:09,整体评价：U系列这批货真心不错！喜欢欧美时尚的不要错过了。  版型风格：160/48kg ，全套买了M不后悔，一丢丢的宽松，穿出了态度。
谜***夜,颜色分类:31 米色;尺码:160/88A/L,2021-01-31 11:58:41,好穿呀
s***g,颜色分类:31 米色;尺码:160/84A/M,2021-01-26 16:11:44,颜色超好看 介于奶酪灰绿和奶茶色之间，比之前u系列的卫衣更短款下摆收的更紧一些
a***y,颜色分类:71 浅蓝紫色;尺码:160/84A/M,2021-01-25 13:12:07,颜色很好看，适合小个子
s***t,颜色分类:71 浅蓝紫色;尺码:150/76A/XS,2021-01-24 15:55:18,下摆收得比较紧很短，袖子是蓬蓬的，和普通卫衣的型不一样，我觉得更好看，适合肩窄星人。
